01/080101/010078A,01-080101-010078A
01/010009A,01-010009A
01/010009TC,01-010009TC
01/010009TM,01-010009TM
01/010009TP,01-010009TP
01/010010A,01-010010A
01/010010TC,01-010010TC
01/010010TM,01-010010TM
01/010010TP,01-010010TP
01/010011A,01-010011A
01/010011TC,01-010011TC
01/010011TM,01-010011TM
01/010011TP,01-010011TP
01/010012A,01-010012A
01/010012TC,01-010012TC
01/010012TM,01-010012TM
01/010012TP,01-010012TP
01/010013A,01-010013A
01/010013TC,01-010013TC
01/010013TM,01-010013TM
01/010013TP,01-010013TP
01/010014A,01-010014A
01/010014TC,01-010014TC
01/010014TM,01-010014TM
01/010014TP,01-010014TP
01/010015A,01-010015A
01/010016A,01-010016A
01/010016TC,01-010016TC
01/010016TM,01-010016TM
01/010016TP,01-010016TP
01/010017A,01-010017A
01/010017TC,01-010017TC
01/010017TM,01-010017TM
01/010017TP,01-010017TP
01/010018A,01-010018A
01/010018TC,01-010018TC
01/010018TM,01-010018TM
01/010018TP,01-010018TP
01/010019A,01-010019A
01/010019TC,01-010019TC
01/010019TM,01-010019TM
01/010019TP,01-010019TP
01/010020A,01-010020A
01/010020TC,01-010020TC
01/010020TM,01-010020TM
01/010020TP,01-010020TP
01/010021A,01-010021A
01/010021TC,01-010021TC
01/010021TM,01-010021TM
01/010021TP,01-010021TP
01/010022A,01-010022A
01/010022TC,01-010022TC
01/010022TM,01-010022TM
01/010022TP,01-010022TP
01/010023A,01-010023A
01/010023TC,01-010023TC
01/010023TM,01-010023TM
01/010023TP,01-010023TP
01/010024A,01-010024A
01/010024TC,01-010024TC
01/010024TM,01-010024TM
01/010024TP,01-010024TP
01/010025A,01-010025A
01/010025TC,01-010025TC
01/010025TM,01-010025TM
01/010025TP,01-010025TP
01/010026A,01-010026A
01/010026TC,01-010026TC
01/010026TM,01-010026TM
01/010026TP,01-010026TP
01/010027A,01-010027A
01/010027TC,01-010027TC
01/010027TM,01-010027TM
01/010027TP,01-010027TP
01/010028A,01-010028A
01/010028TM,01-010028TM
01/010028TP,01-010028TP
01/010029A,01-010029A
01/010029TC,01-010029TC
01/010029TM,01-010029TM
01/010029TP,01-010029TP
01/010030A,01-010030A
01/010030TC,01-010030TC
01/010030TM,01-010030TM
01/010030TP,01-010030TP
01/010031A,01-010031A
01/010031TC,01-010031TC
01/010031TM,01-010031TM
01/010031TP,01-010031TP
01/010032A,01-010032A
01/010032TC,01-010032TC
01/010032TM,01-010032TM
01/010032TP,01-010032TP
01/010035A,01-010035A
01/010035TC,01-010035TC
01/010035TM,01-010035TM
01/010035TP,01-010035TP
01/010036A,01-010036A
01/010036TC,01-010036TC
01/010036TM,01-010036TM
01/010036TP,01-010036TP
01/010037A,01-010037A
01/010037TC,01-010037TC
01/010037TM,01-010037TM
01/010037TP,01-010037TP
01/010039TC,01-010039TC
01/010039TM,01-010039TM
01/010040TC,01-010040TC
01/010040TM,01-010040TM
01/010041TC,01-010041TC
01/010041TM,01-010041TM
01/010042TC,01-010042TC
01/010042TM,01-010042TM
01/010043TC,01-010043TC
01/010043TM,01-010043TM
01/010044TC,01-010044TC
01/010044TM,01-010044TM
01/010045A,01-010045A
01/010045TC,01-010045TC
01/010045TM,01-010045TM
01/010045TP,01-010045TP
01/010046A,01-010046A
01/010046TC,01-010046TC
01/010046TM,01-010046TM
01/010046TP,01-010046TP
01/010047A,01-010047A
01/010047TC,01-010047TC
01/010047TM,01-010047TM
01/010047TP,01-010047TP
01/010048A,01-010048A
01/010048TC,01-010048TC
01/010048TM,01-010048TM
01/010048TP,01-010048TP
01/010049A,01-010049A
01/010049TC,01-010049TC
01/010049TM,01-010049TM
01/010049TP,01-010049TP
01/010050A,01-010050A
01/010050TC,01-010050TC
01/010050TM,01-010050TM
01/010050TP,01-010050TP
01/010051A,01-010051A
01/010051TC,01-010051TC
01/010051TM,01-010051TM
01/010051TP,01-010051TP
01/010052A,01-010052A
01/010052TC,01-010052TC
01/010052TM,01-010052TM
01/010052TP,01-010052TP
01/010053A,01-010053A
01/010053TC,01-010053TC
01/010053TM,01-010053TM
01/010053TP,01-010053TP
01/010054A,01-010054A
01/010054TC,01-010054TC
01/010054TM,01-010054TM
01/010054TP,01-010054TP
01/010055A,01-010055A
01/010055TC,01-010055TC
01/010055TM,01-010055TM
01/010055TP,01-010055TP
01/010056A,01-010056A
01/010056TC,01-010056TC
01/010056TM,01-010056TM
01/010056TP,01-010056TP
01/010057A,01-010057A
01/010057TC,01-010057TC
01/010057TM,01-010057TM
01/010057TP,01-010057TP
01/010058A,01-010058A
01/010058TC,01-010058TC
01/010058TM,01-010058TM
01/010058TP,01-010058TP
01/010059A,01-010059A
01/010059TC,01-010059TC
01/010059TM,01-010059TM
01/010059TP,01-010059TP
01/010060A,01-010060A
01/010060TC,01-010060TC
01/010060TM,01-010060TM
01/010060TP,01-010060TP
01/010061A,01-010061A
01/010061TC,01-010061TC
01/010061TM,01-010061TM
01/010061TP,01-010061TP
01/010062A,01-010062A
01/010062TC,01-010062TC
01/010062TM,01-010062TM
01/010062TP,01-010062TP
01/010063A,01-010063A
01/010063TC,01-010063TC
01/010063TM,01-010063TM
01/010064A,01-010064A
01/010064TC,01-010064TC
01/010064TM,01-010064TM
01/010065TM,01-010065TM
01/010066A,01-010066A
01/010066TC,01-010066TC
01/010067A,01-010067A
01/010067TC,01-010067TC
01/010068A,01-010068A
01/010068TM,01-010068TM
01/010068TP,01-010068TP
01/010069A,01-010069A
01/010069TC,01-010069TC
01/010069TM,01-010069TM
01/010069TP,01-010069TP
01/010070A,01-010070A
01/010070TM,01-010070TM
01/010070TP,01-010070TP
01/010071A,01-010071A
01/010071TC,01-010071TC
01/010071TM,01-010071TM
01/010071TP,01-010071TP
01/010073A,01-010073A
01/010073TC,01-010073TC
01/010073TM,01-010073TM
01/010073TP,01-010073TP
01/010074A,01-010074A
01/010074TC,01-010074TC
01/010075A,01-010075A
01/010075TC,01-010075TC
01/010076A,01-010076A
01/010076TC,01-010076TC
01/010076TM,01-010076TM
01/010076TP,01-010076TP
01/010077A,01-010077A
01/010077TC,01-010077TC
01/010077TM,01-010077TM
01/010077TP,01-010077TP
02/020001A,02-020001A
02/020001TC,02-020001TC
02/020001TM,02-020001TM
02/020001TP,02-020001TP
02/020002A,02-020002A
02/020002TC,02-020002TC
02/020002TM,02-020002TM
02/020002TP,02-020002TP
02/020004A,02-020004A
02/020004TC,02-020004TC
02/020005A,02-020005A
02/020005TC,02-020005TC
03/02010301/030079A,03-02010301-030079A
03/02010301/030079TC,03-02010301-030079TC
03/02010301/030079TP,03-02010301-030079TP
03/02010301/030080TM,03-02010301-030080TM
03/02010301/030081A,03-02010301-030081A
03/02010301/030081TC,03-02010301-030081TC
03/02010301/030081TM,03-02010301-030081TM
03/02010301/030081TP,03-02010301-030081TP
03/02010301/030082A,03-02010301-030082A
03/02010301/030082TC,03-02010301-030082TC
03/02010301/030082TP,03-02010301-030082TP
03/02010301/030083TM,03-02010301-030083TM
03/02010301/030084A,03-02010301-030084A
03/02010301/030084TC,03-02010301-030084TC
03/02010301/030084TP,03-02010301-030084TP
03/02010301/030085TM,03-02010301-030085TM
03/02010301/030086A,03-02010301-030086A
03/02010301/030086TC,03-02010301-030086TC
03/02010301/030086TP,03-02010301-030086TP
03/02010301/030087TM,03-02010301-030087TM
03/02010301/030088A,03-02010301-030088A
03/02010301/030088TC,03-02010301-030088TC
03/02010301/030088TP,03-02010301-030088TP
03/02010301/030089TM,03-02010301-030089TM
03/02010301/030090A,03-02010301-030090A
03/02010301/030090TC,03-02010301-030090TC
03/02010301/030090TM,03-02010301-030090TM
03/02010301/030090TP,03-02010301-030090TP
03/02010301/030091A,03-02010301-030091A
03/02010301/030091TC,03-02010301-030091TC
03/02010301/030091TM,03-02010301-030091TM
03/02010301/030091TP,03-02010301-030091TP
03/02010301/030092A,03-02010301-030092A
03/02010301/030092TC,03-02010301-030092TC
03/02010301/030092TM,03-02010301-030092TM
03/02010301/030092TP,03-02010301-030092TP
03/02010301/030093A,03-02010301-030093A
03/02010301/030093TC,03-02010301-030093TC
03/02010301/030093TM,03-02010301-030093TM
03/02010301/030093TP,03-02010301-030093TP
03/02010301/030094A,03-02010301-030094A
03/02010301/030094TC,03-02010301-030094TC
03/02010301/030094TM,03-02010301-030094TM
03/02010301/030094TP,03-02010301-030094TP
03/02010301/030095A,03-02010301-030095A
03/02010301/030095TC,03-02010301-030095TC
03/02010301/030095TM,03-02010301-030095TM
03/02010301/030095TP,03-02010301-030095TP
03/02010301/030096A,03-02010301-030096A
03/02010301/030096TC,03-02010301-030096TC
03/02010301/030096TM,03-02010301-030096TM
03/02010301/030096TP,03-02010301-030096TP
03/02010301/030097A,03-02010301-030097A
03/02010301/030097TC,03-02010301-030097TC
03/02010301/030097TM,03-02010301-030097TM
03/02010301/030097TP,03-02010301-030097TP
03/02010301/030100A,03-02010301-030100A
03/02010301/030100TC,03-02010301-030100TC
03/02010301/030100TP,03-02010301-030100TP
03/02010301/030101A,03-02010301-030101A
03/02010301/030101TC,03-02010301-030101TC
03/02010301/030101TP,03-02010301-030101TP
03/02010301/030102A,03-02010301-030102A
03/02010301/030102TC,03-02010301-030102TC
03/02010301/030102TM,03-02010301-030102TM
03/02010301/030102TP,03-02010301-030102TP
03/02010301/030103TM,03-02010301-030103TM
03/02010301/030104TM,03-02010301-030104TM
03/030001A,03-030001A
03/030001TC,03-030001TC
03/030001TM,03-030001TM
03/030001TP,03-030001TP
03/030002A,03-030002A
03/030002TC,03-030002TC
03/030002TM,03-030002TM
03/030002TP,03-030002TP
03/030003A,03-030003A
03/030003TP,03-030003TP
03/030004A,03-030004A
03/030004TC,03-030004TC
03/030004TM,03-030004TM
03/030004TP,03-030004TP
03/030005A,03-030005A
03/030005TC,03-030005TC
03/030005TM,03-030005TM
03/030005TP,03-030005TP
03/030006A,03-030006A
03/030006TC,03-030006TC
03/030006TM,03-030006TM
03/030006TP,03-030006TP
03/030007A,03-030007A
03/030007TC,03-030007TC
03/030007TM,03-030007TM
03/030007TP,03-030007TP
03/030008A,03-030008A
03/030008TC,03-030008TC
03/030008TM,03-030008TM
03/030008TP,03-030008TP
03/030012A,03-030012A
03/030012TC,03-030012TC
03/030012TM,03-030012TM
03/030012TP,03-030012TP
03/030013A,03-030013A
03/030013TP,03-030013TP
03/030014A,03-030014A
03/030014TC,03-030014TC
03/030014TM,03-030014TM
03/030014TP,03-030014TP
03/030015A,03-030015A
03/030015TC,03-030015TC
03/030015TM,03-030015TM
03/030015TP,03-030015TP
03/030016A,03-030016A
03/030016TC,03-030016TC
03/030016TM,03-030016TM
03/030016TP,03-030016TP
03/030018A,03-030018A
03/030018TC,03-030018TC
03/030018TM,03-030018TM
03/030018TP,03-030018TP
03/030025A,03-030025A
03/030025TC,03-030025TC
03/030025TM,03-030025TM
03/030025TP,03-030025TP
03/030026A,03-030026A
03/030026TC,03-030026TC
03/030026TP,03-030026TP
03/030027A,03-030027A
03/030027TC,03-030027TC
03/030027TP,03-030027TP
03/030028A,03-030028A
03/030028TC,03-030028TC
03/030028TP,03-030028TP
03/030029A,03-030029A
03/030029TC,03-030029TC
03/030029TP,03-030029TP
03/030030A,03-030030A
03/030030TC,03-030030TC
03/030030TM,03-030030TM
03/030030TP,03-030030TP
03/030031A,03-030031A
03/030031TC,03-030031TC
03/030031TP,03-030031TP
03/030032A,03-030032A
03/030032TC,03-030032TC
03/030032TM,03-030032TM
03/030032TP,03-030032TP
03/030033A,03-030033A
03/030033TC,03-030033TC
03/030033TP,03-030033TP
03/030034A,03-030034A
03/030034TC,03-030034TC
03/030034TP,03-030034TP
03/030035A,03-030035A
03/030035TC,03-030035TC
03/030035TP,03-030035TP
03/030036A,03-030036A
03/030036TC,03-030036TC
03/030036TM,03-030036TM
03/030036TP,03-030036TP
03/030039A,03-030039A
03/030039TC,03-030039TC
03/030039TM,03-030039TM
03/030039TP,03-030039TP
03/030040A,03-030040A
03/030040TC,03-030040TC
03/030040TP,03-030040TP
03/030041A,03-030041A
03/030041TC,03-030041TC
03/030041TP,03-030041TP
03/030042A,03-030042A
03/030042TC,03-030042TC
03/030042TM,03-030042TM
03/030042TP,03-030042TP
03/030043A,03-030043A
03/030043TC,03-030043TC
03/030043TM,03-030043TM
03/030043TP,03-030043TP
03/030044A,03-030044A
03/030045A,03-030045A
03/030045TC,03-030045TC
03/030045TM,03-030045TM
03/030045TP,03-030045TP
03/030046A,03-030046A
03/030047A,03-030047A
03/030047TC,03-030047TC
03/030047TM,03-030047TM
03/030047TP,03-030047TP
03/030049A,03-030049A
03/030049TC,03-030049TC
03/030049TM,03-030049TM
03/030049TP,03-030049TP
03/030050A,03-030050A
03/030050TC,03-030050TC
03/030050TP,03-030050TP
03/030051A,03-030051A
03/030052A,03-030052A
03/030053A,03-030053A
03/030054A,03-030054A
03/030054TC,03-030054TC
03/030054TM,03-030054TM
03/030054TP,03-030054TP
03/030055A,03-030055A
03/030055TC,03-030055TC
03/030055TP,03-030055TP
03/030056A,03-030056A
03/030056TC,03-030056TC
03/030056TP,03-030056TP
03/030057A,03-030057A
03/030057TC,03-030057TC
03/030057TM,03-030057TM
03/030057TP,03-030057TP
03/030058A,03-030058A
03/030058TC,03-030058TC
03/030058TM,03-030058TM
03/030058TP,03-030058TP
03/030059A,03-030059A
03/030059TC,03-030059TC
03/030059TM,03-030059TM
03/030059TP,03-030059TP
03/030060A,03-030060A
03/030060TC,03-030060TC
03/030060TM,03-030060TM
03/030060TP,03-030060TP
03/030061A,03-030061A
03/030061TC,03-030061TC
03/030061TM,03-030061TM
03/030061TP,03-030061TP
03/030062A,03-030062A
03/030062TC,03-030062TC
03/030062TM,03-030062TM
03/030062TP,03-030062TP
03/030063A,03-030063A
03/030063TC,03-030063TC
03/030063TM,03-030063TM
03/030063TP,03-030063TP
03/030064A,03-030064A
03/030064TC,03-030064TC
03/030064TP,03-030064TP
03/030065A,03-030065A
03/030065TC,03-030065TC
03/030065TM,03-030065TM
03/030065TP,03-030065TP
03/030066A,03-030066A
03/030066TC,03-030066TC
03/030066TM,03-030066TM
03/030066TP,03-030066TP
03/030067A,03-030067A
03/030068A,03-030068A
03/030068TC,03-030068TC
03/030068TM,03-030068TM
03/030068TP,03-030068TP
03/030070A,03-030070A
03/030070TC,03-030070TC
03/030070TP,03-030070TP
03/030071A,03-030071A
03/030071TC,03-030071TC
03/030071TP,03-030071TP
03/030072A,03-030072A
03/030072TC,03-030072TC
03/030072TM,03-030072TM
03/030072TP,03-030072TP
03/030073A,03-030073A
03/030073TC,03-030073TC
03/030073TM,03-030073TM
03/030073TP,03-030073TP
03/030074A,03-030074A
03/030074TC,03-030074TC
03/030074TM,03-030074TM
03/030074TP,03-030074TP
03/030075A,03-030075A
03/030075TC,03-030075TC
03/030075TM,03-030075TM
03/030075TP,03-030075TP
03/030076A,03-030076A
03/030076TC,03-030076TC
03/030076TM,03-030076TM
03/030076TP,03-030076TP
03/030077A,03-030077A
03/030077TC,03-030077TC
03/030077TM,03-030077TM
03/030077TP,03-030077TP
03/030078A,03-030078A
03/030078TC,03-030078TC
03/030078TM,03-030078TM
03/030078TP,03-030078TP
04/040001TM,04-040001TM
04/040002A,04-040002A
04/040002TC,04-040002TC
04/040002TM,04-040002TM
04/040002TP,04-040002TP
04/040003A,04-040003A
04/040003TC,04-040003TC
04/040003TM,04-040003TM
04/040003TP,04-040003TP
04/040004A,04-040004A
04/040004TC,04-040004TC
04/040004TM,04-040004TM
04/040004TP,04-040004TP
04/040008A,04-040008A
04/040008TC,04-040008TC
04/040008TP,04-040008TP
04/040009A,04-040009A
04/040009TC,04-040009TC
04/040009TM,04-040009TM
04/040009TP,04-040009TP
04/040010A,04-040010A
04/040010TC,04-040010TC
04/040010TM,04-040010TM
04/040010TP,04-040010TP
04/040011A,04-040011A
04/040011TC,04-040011TC
04/040011TM,04-040011TM
04/040011TP,04-040011TP
04/040012A,04-040012A
04/040012TC,04-040012TC
04/040012TM,04-040012TM
04/040012TP,04-040012TP
04/040013A,04-040013A
04/040013TC,04-040013TC
04/040013TM,04-040013TM
04/040013TP,04-040013TP
04/040014A,04-040014A
04/040014TC,04-040014TC
04/040014TM,04-040014TM
04/040014TP,04-040014TP
04/040015A,04-040015A
04/040015TC,04-040015TC
04/040015TM,04-040015TM
04/040015TP,04-040015TP
04/040016A,04-040016A
04/040016TC,04-040016TC
04/040016TM,04-040016TM
04/040016TP,04-040016TP
04/040017A,04-040017A
04/040017TC,04-040017TC
04/040017TM,04-040017TM
04/040017TP,04-040017TP
04/040018A,04-040018A
04/040018TC,04-040018TC
04/040018TM,04-040018TM
04/040018TP,04-040018TP
04/040019A,04-040019A
04/040019TC,04-040019TC
04/040019TM,04-040019TM
04/040019TP,04-040019TP
04/040020A,04-040020A
04/040020TC,04-040020TC
04/040020TM,04-040020TM
04/040020TP,04-040020TP
05/0709/070901A,05-0709-070901A
05/0709/070901TC,05-0709-070901TC
05/0709/070901TM,05-0709-070901TM
05/0709/070901TP,05-0709-070901TP
05/0709/070902A,05-0709-070902A
05/0709/070902TC,05-0709-070902TC
05/0709/070902TM,05-0709-070902TM
05/0709/070902TP,05-0709-070902TP
05/0709/070903A,05-0709-070903A
05/0709/070903TC,05-0709-070903TC
05/0709/070903TM,05-0709-070903TM
05/0709/070903TP,05-0709-070903TP
05/0709/070904A,05-0709-070904A
05/0709/070904TC,05-0709-070904TC
05/0709/070904TM,05-0709-070904TM
05/0709/070904TP,05-0709-070904TP
05/0709/070905AA,05-0709-070905AA
05/0709/070905ATC,05-0709-070905ATC
05/0709/070905ATP,05-0709-070905ATP
05/0709/070905BA,05-0709-070905BA
05/0709/070905BTC,05-0709-070905BTC
05/0709/070905BTP,05-0709-070905BTP
05/0709/070906AA,05-0709-070906AA
05/0709/070906ATC,05-0709-070906ATC
05/0709/070906ATM,05-0709-070906ATM
05/0709/070906ATP,05-0709-070906ATP
05/0709/070906BA,05-0709-070906BA
05/0709/070906BTC,05-0709-070906BTC
05/0709/070906BTM,05-0709-070906BTM
05/0709/070906BTP,05-0709-070906BTP
05/0709/070908A,05-0709-070908A
05/0709/070908TC,05-0709-070908TC
05/0709/070908TM,05-0709-070908TM
05/0709/070908TP,05-0709-070908TP
05/0709/070909A,05-0709-070909A
05/0709/070909TC,05-0709-070909TC
05/0709/070909TM,05-0709-070909TM
05/0709/070909TP,05-0709-070909TP
05/0709/070910A,05-0709-070910A
05/0709/070910TC,05-0709-070910TC
05/0709/070910TM,05-0709-070910TM
05/0709/070910TP,05-0709-070910TP
05/0709/070921AA,05-0709-070921AA
05/0709/070921ATC,05-0709-070921ATC
05/0709/070921ATP,05-0709-070921ATP
05/0709/070921BA,05-0709-070921BA
05/0709/070921BTC,05-0709-070921BTC
05/0709/070921BTP,05-0709-070921BTP
05/0709/070952A,05-0709-070952A
05/0709/070952TC,05-0709-070952TC
05/0709/070952TM,05-0709-070952TM
05/0709/070952TP,05-0709-070952TP
05/0709/070953A,05-0709-070953A
05/0709/070953TC,05-0709-070953TC
05/0709/070953TP,05-0709-070953TP
05/0709/070954A,05-0709-070954A
05/0709/070954TC,05-0709-070954TC
05/0709/070954TP,05-0709-070954TP
05/0709/070955A,05-0709-070955A
05/0709/070955TC,05-0709-070955TC
05/0709/070955TP,05-0709-070955TP
05/050001A,05-050001A
05/050001TC,05-050001TC
05/050001TM,05-050001TM
05/050001TP,05-050001TP
05/050002A,05-050002A
05/050002TC,05-050002TC
05/050002TM,05-050002TM
05/050002TP,05-050002TP
05/050003A,05-050003A
05/050003TC,05-050003TC
05/050003TM,05-050003TM
05/050003TP,05-050003TP
05/050004A,05-050004A
05/050004TC,05-050004TC
05/050004TM,05-050004TM
05/050004TP,05-050004TP
05/050005A,05-050005A
05/050005TC,05-050005TC
05/050005TM,05-050005TM
05/050005TP,05-050005TP
05/050006A,05-050006A
05/050006TC,05-050006TC
05/050006TM,05-050006TM
05/050006TP,05-050006TP
05/050007A,05-050007A
05/050007TC,05-050007TC
05/050007TM,05-050007TM
05/050007TP,05-050007TP
05/050009A,05-050009A
05/050009TC,05-050009TC
05/050009TM,05-050009TM
05/050009TP,05-050009TP
05/050101A,05-050101A
05/050101TP,05-050101TP
05/050102A,05-050102A
05/050102TP,05-050102TP
05/050103A,05-050103A
05/050103TP,05-050103TP
05/050104A,05-050104A
05/050104TC,05-050104TC
05/050104TM,05-050104TM
05/050104TP,05-050104TP
05/050105A,05-050105A
05/050105TC,05-050105TC
05/050105TP,05-050105TP
05/050201A,05-050201A
05/050201TC,05-050201TC
05/050201TM,05-050201TM
05/050201TP,05-050201TP
05/050202A,05-050202A
05/050202TC,05-050202TC
05/050202TM,05-050202TM
05/050202TP,05-050202TP
05/050203A,05-050203A
05/050203TC,05-050203TC
05/050203TM,05-050203TM
05/050203TP,05-050203TP
05/050204A,05-050204A
05/050204TC,05-050204TC
05/050204TM,05-050204TM
05/050204TP,05-050204TP
05/050205A,05-050205A
05/050205TC,05-050205TC
05/050205TM,05-050205TM
05/050205TP,05-050205TP
05/050206A,05-050206A
05/050206TC,05-050206TC
05/050206TM,05-050206TM
