Año	Residencia provincia código	Residencia provincia nombre	Edad (grandes grupos)	Sexo	Relación lugar de residencia y nacimiento	Personas
1998	22	Huesca	65 y más	Hombres	3 - Misma CA y distinta provincia	1290
1998	22	Huesca	65 y más	Hombres	4 - Distinta CA	2535
1998	22	Huesca	65 y más	Hombres	5 - Nacidos en el extranjero	156
1998	22	Huesca	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	11958
1998	22	Huesca	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	9066
1998	22	Huesca	65 y más	Mujeres	3 - Misma CA y distinta provincia	1569
1998	22	Huesca	65 y más	Mujeres	4 - Distinta CA	3174
1998	22	Huesca	65 y más	Mujeres	5 - Nacidos en el extranjero	182
1998	44	Teruel	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	4119
1998	44	Teruel	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	3564
1998	44	Teruel	0 a 15	Hombres	3 - Misma CA y distinta provincia	1538
1998	44	Teruel	0 a 15	Hombres	4 - Distinta CA	699
1998	44	Teruel	0 a 15	Hombres	5 - Nacidos en el extranjero	64
1998	44	Teruel	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	4139
1998	44	Teruel	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	3384
1998	44	Teruel	0 a 15	Mujeres	3 - Misma CA y distinta provincia	1504
1998	44	Teruel	0 a 15	Mujeres	4 - Distinta CA	653
1998	44	Teruel	0 a 15	Mujeres	5 - Nacidos en el extranjero	63
1998	44	Teruel	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	22345
1998	44	Teruel	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	10961
1998	44	Teruel	16 a 64	Hombres	3 - Misma CA y distinta provincia	2565
1998	44	Teruel	16 a 64	Hombres	4 - Distinta CA	6046
1998	44	Teruel	16 a 64	Hombres	5 - Nacidos en el extranjero	480
1998	44	Teruel	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	18801
1998	44	Teruel	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	11149
1998	44	Teruel	16 a 64	Mujeres	3 - Misma CA y distinta provincia	2597
1998	44	Teruel	16 a 64	Mujeres	4 - Distinta CA	5712
1998	44	Teruel	16 a 64	Mujeres	5 - Nacidos en el extranjero	451
1998	44	Teruel	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	11638
1998	44	Teruel	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	3026
1998	44	Teruel	65 y más	Hombres	3 - Misma CA y distinta provincia	390
1998	44	Teruel	65 y más	Hombres	4 - Distinta CA	1478
1998	44	Teruel	65 y más	Hombres	5 - Nacidos en el extranjero	52
1998	44	Teruel	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	12974
1998	44	Teruel	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	4021
1998	44	Teruel	65 y más	Mujeres	3 - Misma CA y distinta provincia	536
1998	44	Teruel	65 y más	Mujeres	4 - Distinta CA	1769
1998	44	Teruel	65 y más	Mujeres	5 - Nacidos en el extranjero	56
1998	50	Zaragoza	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	44237
1998	50	Zaragoza	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	11131
1998	50	Zaragoza	0 a 15	Hombres	3 - Misma CA y distinta provincia	435
1998	50	Zaragoza	0 a 15	Hombres	4 - Distinta CA	3233
1998	50	Zaragoza	0 a 15	Hombres	5 - Nacidos en el extranjero	540
1998	50	Zaragoza	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	42337
1998	50	Zaragoza	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	10585
1998	50	Zaragoza	0 a 15	Mujeres	3 - Misma CA y distinta provincia	388
1998	50	Zaragoza	0 a 15	Mujeres	4 - Distinta CA	3121
1998	50	Zaragoza	0 a 15	Mujeres	5 - Nacidos en el extranjero	511
1998	50	Zaragoza	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	149469
1998	50	Zaragoza	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	54051
1998	50	Zaragoza	16 a 64	Hombres	3 - Misma CA y distinta provincia	17477
1998	50	Zaragoza	16 a 64	Hombres	4 - Distinta CA	48358
1998	50	Zaragoza	16 a 64	Hombres	5 - Nacidos en el extranjero	5571
1998	50	Zaragoza	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	140198
1998	50	Zaragoza	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	57318
1998	50	Zaragoza	16 a 64	Mujeres	3 - Misma CA y distinta provincia	19207
1998	50	Zaragoza	16 a 64	Mujeres	4 - Distinta CA	50676
1998	50	Zaragoza	16 a 64	Mujeres	5 - Nacidos en el extranjero	5151
1998	50	Zaragoza	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	28909
1998	50	Zaragoza	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	16437
1998	50	Zaragoza	65 y más	Hombres	3 - Misma CA y distinta provincia	7198
1998	50	Zaragoza	65 y más	Hombres	4 - Distinta CA	13218
1998	50	Zaragoza	65 y más	Hombres	5 - Nacidos en el extranjero	446
1998	50	Zaragoza	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	35814
1998	50	Zaragoza	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	24884
1998	50	Zaragoza	65 y más	Mujeres	3 - Misma CA y distinta provincia	10476
1998	50	Zaragoza	65 y más	Mujeres	4 - Distinta CA	19211
1998	50	Zaragoza	65 y más	Mujeres	5 - Nacidos en el extranjero	617
1999	22	Huesca	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	7636
1999	22	Huesca	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	4022
1999	22	Huesca	0 a 15	Hombres	3 - Misma CA y distinta provincia	787
1999	22	Huesca	0 a 15	Hombres	4 - Distinta CA	1642
1999	22	Huesca	0 a 15	Hombres	5 - Nacidos en el extranjero	124
1999	22	Huesca	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	7200
1999	22	Huesca	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	3712
1999	22	Huesca	0 a 15	Mujeres	3 - Misma CA y distinta provincia	682
1999	22	Huesca	0 a 15	Mujeres	4 - Distinta CA	1529
1999	22	Huesca	0 a 15	Mujeres	5 - Nacidos en el extranjero	115
1999	22	Huesca	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	29688
1999	22	Huesca	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	18335
1999	22	Huesca	16 a 64	Hombres	3 - Misma CA y distinta provincia	4558
1999	22	Huesca	16 a 64	Hombres	4 - Distinta CA	11533
1999	22	Huesca	16 a 64	Hombres	5 - Nacidos en el extranjero	1108
1999	22	Huesca	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	24981
1999	22	Huesca	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	19407
1999	22	Huesca	16 a 64	Mujeres	3 - Misma CA y distinta provincia	4434
1999	22	Huesca	16 a 64	Mujeres	4 - Distinta CA	11378
1999	22	Huesca	16 a 64	Mujeres	5 - Nacidos en el extranjero	1007
1999	22	Huesca	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	11902
1999	22	Huesca	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	6051
1999	22	Huesca	65 y más	Hombres	3 - Misma CA y distinta provincia	1292
1999	22	Huesca	65 y más	Hombres	4 - Distinta CA	2605
1999	22	Huesca	65 y más	Hombres	5 - Nacidos en el extranjero	157
1999	22	Huesca	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	12073
1999	22	Huesca	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	9182
1999	22	Huesca	65 y más	Mujeres	3 - Misma CA y distinta provincia	1625
1999	22	Huesca	65 y más	Mujeres	4 - Distinta CA	3246
1999	22	Huesca	65 y más	Mujeres	5 - Nacidos en el extranjero	185
1999	44	Teruel	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	4273
1999	44	Teruel	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	3332
1999	44	Teruel	0 a 15	Hombres	3 - Misma CA y distinta provincia	1411
1999	44	Teruel	0 a 15	Hombres	4 - Distinta CA	592
1999	44	Teruel	0 a 15	Hombres	5 - Nacidos en el extranjero	56
1999	44	Teruel	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	4214
1999	44	Teruel	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	3175
1999	44	Teruel	0 a 15	Mujeres	3 - Misma CA y distinta provincia	1360
1999	44	Teruel	0 a 15	Mujeres	4 - Distinta CA	570
1999	44	Teruel	0 a 15	Mujeres	5 - Nacidos en el extranjero	56
1999	44	Teruel	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	21646
1999	44	Teruel	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	10884
1999	44	Teruel	16 a 64	Hombres	3 - Misma CA y distinta provincia	2642
1999	44	Teruel	16 a 64	Hombres	4 - Distinta CA	5951
1999	44	Teruel	16 a 64	Hombres	5 - Nacidos en el extranjero	473
1999	44	Teruel	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	18155
1999	44	Teruel	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	11043
1999	44	Teruel	16 a 64	Mujeres	3 - Misma CA y distinta provincia	2674
1999	44	Teruel	16 a 64	Mujeres	4 - Distinta CA	5591
1999	44	Teruel	16 a 64	Mujeres	5 - Nacidos en el extranjero	449
1999	44	Teruel	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	11744
1999	44	Teruel	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	3056
1999	44	Teruel	65 y más	Hombres	3 - Misma CA y distinta provincia	389
1999	44	Teruel	65 y más	Hombres	4 - Distinta CA	1508
1999	44	Teruel	65 y más	Hombres	5 - Nacidos en el extranjero	57
1999	44	Teruel	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	13121
1999	44	Teruel	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	4053
1999	44	Teruel	65 y más	Mujeres	3 - Misma CA y distinta provincia	517
1999	44	Teruel	65 y más	Mujeres	4 - Distinta CA	1805
1999	44	Teruel	65 y más	Mujeres	5 - Nacidos en el extranjero	56
1999	50	Zaragoza	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	43990
1999	50	Zaragoza	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	10556
1999	50	Zaragoza	0 a 15	Hombres	3 - Misma CA y distinta provincia	384
1999	50	Zaragoza	0 a 15	Hombres	4 - Distinta CA	3021
1999	50	Zaragoza	0 a 15	Hombres	5 - Nacidos en el extranjero	584
1999	50	Zaragoza	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	42044
1999	50	Zaragoza	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	9988
1999	50	Zaragoza	0 a 15	Mujeres	3 - Misma CA y distinta provincia	361
1999	50	Zaragoza	0 a 15	Mujeres	4 - Distinta CA	2895
1999	50	Zaragoza	0 a 15	Mujeres	5 - Nacidos en el extranjero	517
1999	50	Zaragoza	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	152441
1999	50	Zaragoza	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	54684
1999	50	Zaragoza	16 a 64	Hombres	3 - Misma CA y distinta provincia	17017
1999	50	Zaragoza	16 a 64	Hombres	4 - Distinta CA	48271
1999	50	Zaragoza	16 a 64	Hombres	5 - Nacidos en el extranjero	5939
1999	50	Zaragoza	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	143258
1999	50	Zaragoza	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	57849
1999	50	Zaragoza	16 a 64	Mujeres	3 - Misma CA y distinta provincia	18704
1999	50	Zaragoza	16 a 64	Mujeres	4 - Distinta CA	50438
1999	50	Zaragoza	16 a 64	Mujeres	5 - Nacidos en el extranjero	5468
1999	50	Zaragoza	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	30461
1999	50	Zaragoza	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	17152
1999	50	Zaragoza	65 y más	Hombres	3 - Misma CA y distinta provincia	7386
1999	50	Zaragoza	65 y más	Hombres	4 - Distinta CA	13832
1999	50	Zaragoza	65 y más	Hombres	5 - Nacidos en el extranjero	454
1999	50	Zaragoza	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	37653
1999	50	Zaragoza	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	25901
1999	50	Zaragoza	65 y más	Mujeres	3 - Misma CA y distinta provincia	10721
1999	50	Zaragoza	65 y más	Mujeres	4 - Distinta CA	20135
1999	50	Zaragoza	65 y más	Mujeres	5 - Nacidos en el extranjero	642
2000	22	Huesca	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	7849
2000	22	Huesca	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	3734
2000	22	Huesca	0 a 15	Hombres	3 - Misma CA y distinta provincia	764
2000	22	Huesca	0 a 15	Hombres	4 - Distinta CA	1606
2000	22	Huesca	0 a 15	Hombres	5 - Nacidos en el extranjero	171
2000	22	Huesca	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	7424
2000	22	Huesca	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	3455
2000	22	Huesca	0 a 15	Mujeres	3 - Misma CA y distinta provincia	679
2000	22	Huesca	0 a 15	Mujeres	4 - Distinta CA	1489
2000	22	Huesca	0 a 15	Mujeres	5 - Nacidos en el extranjero	161
2000	22	Huesca	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	29543
2000	22	Huesca	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	18665
2000	22	Huesca	16 a 64	Hombres	3 - Misma CA y distinta provincia	4722
2000	22	Huesca	16 a 64	Hombres	4 - Distinta CA	12028
2000	22	Huesca	16 a 64	Hombres	5 - Nacidos en el extranjero	1503
2000	22	Huesca	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	24961
2000	22	Huesca	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	19554
2000	22	Huesca	16 a 64	Mujeres	3 - Misma CA y distinta provincia	4564
2000	22	Huesca	16 a 64	Mujeres	4 - Distinta CA	11767
2000	22	Huesca	16 a 64	Mujeres	5 - Nacidos en el extranjero	1247
2000	22	Huesca	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	12162
2000	22	Huesca	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	6149
2000	22	Huesca	65 y más	Hombres	3 - Misma CA y distinta provincia	1357
2000	22	Huesca	65 y más	Hombres	4 - Distinta CA	2739
2000	22	Huesca	65 y más	Hombres	5 - Nacidos en el extranjero	171
2000	22	Huesca	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	12258
2000	22	Huesca	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	9367
2000	22	Huesca	65 y más	Mujeres	3 - Misma CA y distinta provincia	1673
2000	22	Huesca	65 y más	Mujeres	4 - Distinta CA	3380
2000	22	Huesca	65 y más	Mujeres	5 - Nacidos en el extranjero	193
2000	44	Teruel	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	4448
2000	44	Teruel	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	3132
2000	44	Teruel	0 a 15	Hombres	3 - Misma CA y distinta provincia	1303
2000	44	Teruel	0 a 15	Hombres	4 - Distinta CA	613
2000	44	Teruel	0 a 15	Hombres	5 - Nacidos en el extranjero	78
2000	44	Teruel	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	4360
2000	44	Teruel	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	2989
2000	44	Teruel	0 a 15	Mujeres	3 - Misma CA y distinta provincia	1260
2000	44	Teruel	0 a 15	Mujeres	4 - Distinta CA	574
2000	44	Teruel	0 a 15	Mujeres	5 - Nacidos en el extranjero	67
2000	44	Teruel	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	21423
2000	44	Teruel	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	11039
2000	44	Teruel	16 a 64	Hombres	3 - Misma CA y distinta provincia	2854
2000	44	Teruel	16 a 64	Hombres	4 - Distinta CA	6256
2000	44	Teruel	16 a 64	Hombres	5 - Nacidos en el extranjero	687
2000	44	Teruel	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	18082
2000	44	Teruel	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	11160
2000	44	Teruel	16 a 64	Mujeres	3 - Misma CA y distinta provincia	2852
2000	44	Teruel	16 a 64	Mujeres	4 - Distinta CA	5790
2000	44	Teruel	16 a 64	Mujeres	5 - Nacidos en el extranjero	541
2000	44	Teruel	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	11870
2000	44	Teruel	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	3171
2000	44	Teruel	65 y más	Hombres	3 - Misma CA y distinta provincia	393
2000	44	Teruel	65 y más	Hombres	4 - Distinta CA	1575
2000	44	Teruel	65 y más	Hombres	5 - Nacidos en el extranjero	58
2000	44	Teruel	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	13215
2000	44	Teruel	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	4200
2000	44	Teruel	65 y más	Mujeres	3 - Misma CA y distinta provincia	525
2000	44	Teruel	65 y más	Mujeres	4 - Distinta CA	1900
2000	44	Teruel	65 y más	Mujeres	5 - Nacidos en el extranjero	58
2000	50	Zaragoza	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	44917
2000	50	Zaragoza	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	10155
2000	50	Zaragoza	0 a 15	Hombres	3 - Misma CA y distinta provincia	374
2000	50	Zaragoza	0 a 15	Hombres	4 - Distinta CA	3148
2000	50	Zaragoza	0 a 15	Hombres	5 - Nacidos en el extranjero	772
2000	50	Zaragoza	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	42708
2000	50	Zaragoza	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	9655
2000	50	Zaragoza	0 a 15	Mujeres	3 - Misma CA y distinta provincia	352
2000	50	Zaragoza	0 a 15	Mujeres	4 - Distinta CA	2957
2000	50	Zaragoza	0 a 15	Mujeres	5 - Nacidos en el extranjero	699
2000	50	Zaragoza	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	153268
2000	50	Zaragoza	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	55757
2000	50	Zaragoza	16 a 64	Hombres	3 - Misma CA y distinta provincia	16779
2000	50	Zaragoza	16 a 64	Hombres	4 - Distinta CA	49059
2000	50	Zaragoza	16 a 64	Hombres	5 - Nacidos en el extranjero	7241
2000	50	Zaragoza	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	144313
2000	50	Zaragoza	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	58473
2000	50	Zaragoza	16 a 64	Mujeres	3 - Misma CA y distinta provincia	18388
2000	50	Zaragoza	16 a 64	Mujeres	4 - Distinta CA	51005
2000	50	Zaragoza	16 a 64	Mujeres	5 - Nacidos en el extranjero	6429
2000	50	Zaragoza	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	31336
2000	50	Zaragoza	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	17565
2000	50	Zaragoza	65 y más	Hombres	3 - Misma CA y distinta provincia	7544
2000	50	Zaragoza	65 y más	Hombres	4 - Distinta CA	14283
2000	50	Zaragoza	65 y más	Hombres	5 - Nacidos en el extranjero	496
2000	50	Zaragoza	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	38653
2000	50	Zaragoza	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	26570
2000	50	Zaragoza	65 y más	Mujeres	3 - Misma CA y distinta provincia	11023
2000	50	Zaragoza	65 y más	Mujeres	4 - Distinta CA	20753
2000	50	Zaragoza	65 y más	Mujeres	5 - Nacidos en el extranjero	699
2001	22	Huesca	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	7990
2001	22	Huesca	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	3404
2001	22	Huesca	0 a 15	Hombres	3 - Misma CA y distinta provincia	731
2001	22	Huesca	0 a 15	Hombres	4 - Distinta CA	1505
2001	22	Huesca	0 a 15	Hombres	5 - Nacidos en el extranjero	242
2001	22	Huesca	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	7598
2001	22	Huesca	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	3142
2001	22	Huesca	0 a 15	Mujeres	3 - Misma CA y distinta provincia	657
2001	22	Huesca	0 a 15	Mujeres	4 - Distinta CA	1381
2001	22	Huesca	0 a 15	Mujeres	5 - Nacidos en el extranjero	233
2001	22	Huesca	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	29049
2001	22	Huesca	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	18707
2001	22	Huesca	16 a 64	Hombres	3 - Misma CA y distinta provincia	4749
2001	22	Huesca	16 a 64	Hombres	4 - Distinta CA	12040
2001	22	Huesca	16 a 64	Hombres	5 - Nacidos en el extranjero	2396
2001	22	Huesca	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	24626
2001	22	Huesca	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	19467
2001	22	Huesca	16 a 64	Mujeres	3 - Misma CA y distinta provincia	4542
2001	22	Huesca	16 a 64	Mujeres	4 - Distinta CA	11693
2001	22	Huesca	16 a 64	Mujeres	5 - Nacidos en el extranjero	1672
2001	22	Huesca	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	12312
2001	22	Huesca	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	6139
2001	22	Huesca	65 y más	Hombres	3 - Misma CA y distinta provincia	1389
2001	22	Huesca	65 y más	Hombres	4 - Distinta CA	2836
2001	22	Huesca	65 y más	Hombres	5 - Nacidos en el extranjero	173
2001	22	Huesca	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	12339
2001	22	Huesca	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	9463
2001	22	Huesca	65 y más	Mujeres	3 - Misma CA y distinta provincia	1718
2001	22	Huesca	65 y más	Mujeres	4 - Distinta CA	3463
2001	22	Huesca	65 y más	Mujeres	5 - Nacidos en el extranjero	204
2001	44	Teruel	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	4616
2001	44	Teruel	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	2915
2001	44	Teruel	0 a 15	Hombres	3 - Misma CA y distinta provincia	1191
2001	44	Teruel	0 a 15	Hombres	4 - Distinta CA	564
2001	44	Teruel	0 a 15	Hombres	5 - Nacidos en el extranjero	149
2001	44	Teruel	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	4513
2001	44	Teruel	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	2769
2001	44	Teruel	0 a 15	Mujeres	3 - Misma CA y distinta provincia	1132
2001	44	Teruel	0 a 15	Mujeres	4 - Distinta CA	531
2001	44	Teruel	0 a 15	Mujeres	5 - Nacidos en el extranjero	138
2001	44	Teruel	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	20942
2001	44	Teruel	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	11065
2001	44	Teruel	16 a 64	Hombres	3 - Misma CA y distinta provincia	2946
2001	44	Teruel	16 a 64	Hombres	4 - Distinta CA	6166
2001	44	Teruel	16 a 64	Hombres	5 - Nacidos en el extranjero	1123
2001	44	Teruel	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	17560
2001	44	Teruel	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	11139
2001	44	Teruel	16 a 64	Mujeres	3 - Misma CA y distinta provincia	2935
2001	44	Teruel	16 a 64	Mujeres	4 - Distinta CA	5711
2001	44	Teruel	16 a 64	Mujeres	5 - Nacidos en el extranjero	782
2001	44	Teruel	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	11915
2001	44	Teruel	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	3197
2001	44	Teruel	65 y más	Hombres	3 - Misma CA y distinta provincia	397
2001	44	Teruel	65 y más	Hombres	4 - Distinta CA	1624
2001	44	Teruel	65 y más	Hombres	5 - Nacidos en el extranjero	64
2001	44	Teruel	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	13337
2001	44	Teruel	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	4251
2001	44	Teruel	65 y más	Mujeres	3 - Misma CA y distinta provincia	547
2001	44	Teruel	65 y más	Mujeres	4 - Distinta CA	1952
2001	44	Teruel	65 y más	Mujeres	5 - Nacidos en el extranjero	62
2001	50	Zaragoza	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	44694
2001	50	Zaragoza	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	9526
2001	50	Zaragoza	0 a 15	Hombres	3 - Misma CA y distinta provincia	359
2001	50	Zaragoza	0 a 15	Hombres	4 - Distinta CA	2869
