Mes y año	Mes (código)	Sexo	UE28-UE27-UE25	UE25	UE27	UE28	Número de contratos	Provincia código	Provincia nombre
Abril 2019	201904	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	1096	22	Huesca
Abril 2019	201904	Hombres	Españoles	ESPAÑA	Españoles	Españoles	1927	44	Teruel
Abril 2019	201904	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	239	44	Teruel
Abril 2019	201904	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	38	44	Teruel
Abril 2019	201904	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	299	44	Teruel
Abril 2019	201904	Hombres	Españoles	ESPAÑA	Españoles	Españoles	12710	50	Zaragoza
Abril 2019	201904	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1608	50	Zaragoza
Abril 2019	201904	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	217	50	Zaragoza
Abril 2019	201904	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	3861	50	Zaragoza
Abril 2019	201904	Hombres	No consta	No consta	No consta	No consta	3	50	Zaragoza
Abril 2019	201904	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	2482	22	Huesca
Abril 2019	201904	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	640	22	Huesca
Abril 2019	201904	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	65	22	Huesca
Abril 2019	201904	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	340	22	Huesca
Abril 2019	201904	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	1540	44	Teruel
Abril 2019	201904	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	176	44	Teruel
Abril 2019	201904	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	16	44	Teruel
Abril 2019	201904	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	118	44	Teruel
Abril 2019	201904	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	11948	50	Zaragoza
Abril 2019	201904	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1530	50	Zaragoza
Abril 2019	201904	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	205	50	Zaragoza
Abril 2019	201904	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	1947	50	Zaragoza
Marzo 2019	201903	Hombres	Españoles	ESPAÑA	Españoles	Españoles	2955	22	Huesca
Marzo 2019	201903	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	537	22	Huesca
Marzo 2019	201903	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	87	22	Huesca
Marzo 2019	201903	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	825	22	Huesca
Marzo 2019	201903	Hombres	No consta	No consta	No consta	No consta	1	22	Huesca
Marzo 2019	201903	Hombres	Españoles	ESPAÑA	Españoles	Españoles	1840	44	Teruel
Marzo 2019	201903	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	219	44	Teruel
Marzo 2019	201903	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	33	44	Teruel
Marzo 2019	201903	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	338	44	Teruel
Marzo 2019	201903	Hombres	Españoles	ESPAÑA	Españoles	Españoles	12860	50	Zaragoza
Marzo 2019	201903	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1384	50	Zaragoza
Marzo 2019	201903	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	229	50	Zaragoza
Marzo 2019	201903	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	3067	50	Zaragoza
Marzo 2019	201903	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	2474	22	Huesca
Marzo 2019	201903	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	407	22	Huesca
Marzo 2019	201903	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	65	22	Huesca
Marzo 2019	201903	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	344	22	Huesca
Marzo 2019	201903	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	1505	44	Teruel
Marzo 2019	201903	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	170	44	Teruel
Marzo 2019	201903	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	16	44	Teruel
Marzo 2019	201903	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	92	44	Teruel
Marzo 2019	201903	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	12363	50	Zaragoza
Marzo 2019	201903	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1210	50	Zaragoza
Marzo 2019	201903	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	200	50	Zaragoza
Marzo 2019	201903	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	1974	50	Zaragoza
Febrero 2019	201902	Hombres	Españoles	ESPAÑA	Españoles	Españoles	2448	22	Huesca
Febrero 2019	201902	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	375	22	Huesca
Febrero 2019	201902	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	60	22	Huesca
Febrero 2019	201902	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	639	22	Huesca
Febrero 2019	201902	Hombres	Españoles	ESPAÑA	Españoles	Españoles	1651	44	Teruel
Febrero 2019	201902	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	190	44	Teruel
Febrero 2019	201902	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	39	44	Teruel
Febrero 2019	201902	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	284	44	Teruel
Febrero 2019	201902	Hombres	No consta	No consta	No consta	No consta	1	44	Teruel
Febrero 2019	201902	Hombres	Españoles	ESPAÑA	Españoles	Españoles	12148	50	Zaragoza
Febrero 2019	201902	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1509	50	Zaragoza
Febrero 2019	201902	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	188	50	Zaragoza
Febrero 2019	201902	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	2812	50	Zaragoza
Febrero 2019	201902	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	2219	22	Huesca
Febrero 2019	201902	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	239	22	Huesca
Febrero 2019	201902	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	43	22	Huesca
Febrero 2019	201902	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	232	22	Huesca
Febrero 2019	201902	Mujeres	No consta	No consta	No consta	No consta	1	22	Huesca
Febrero 2019	201902	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	1361	44	Teruel
Febrero 2019	201902	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	136	44	Teruel
Febrero 2019	201902	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	19	44	Teruel
Febrero 2019	201902	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	93	44	Teruel
Febrero 2019	201902	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	11811	50	Zaragoza
Febrero 2019	201902	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1148	50	Zaragoza
Febrero 2019	201902	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	181	50	Zaragoza
Febrero 2019	201902	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	1753	50	Zaragoza
Enero 2019	201901	Hombres	Españoles	ESPAÑA	Españoles	Españoles	2602	22	Huesca
Enero 2019	201901	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	365	22	Huesca
Enero 2019	201901	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	41	22	Huesca
Enero 2019	201901	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	725	22	Huesca
Enero 2019	201901	Hombres	No consta	No consta	No consta	No consta	1	22	Huesca
Enero 2019	201901	Hombres	Españoles	ESPAÑA	Españoles	Españoles	1808	44	Teruel
Enero 2019	201901	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	252	44	Teruel
Enero 2019	201901	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	34	44	Teruel
Enero 2019	201901	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	367	44	Teruel
Enero 2019	201901	Hombres	Españoles	ESPAÑA	Españoles	Españoles	14583	50	Zaragoza
Enero 2019	201901	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1509	50	Zaragoza
Enero 2019	201901	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	1	50	Zaragoza
Enero 2019	201901	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	220	50	Zaragoza
Enero 2019	201901	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	3305	50	Zaragoza
Enero 2019	201901	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	2437	22	Huesca
Enero 2019	201901	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	233	22	Huesca
Enero 2019	201901	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	47	22	Huesca
Enero 2019	201901	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	268	22	Huesca
Enero 2019	201901	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	1411	44	Teruel
Enero 2019	201901	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	164	44	Teruel
Enero 2019	201901	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	27	44	Teruel
Enero 2019	201901	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	88	44	Teruel
Enero 2019	201901	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	13940	50	Zaragoza
Enero 2019	201901	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1271	50	Zaragoza
Enero 2019	201901	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	162	50	Zaragoza
Enero 2019	201901	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	1989	50	Zaragoza
Enero 2019	201901	Mujeres	No consta	No consta	No consta	No consta	1	50	Zaragoza
Diciembre 2018	201812	Hombres	Españoles	ESPAÑA	Españoles	Españoles	2433	22	Huesca
Diciembre 2018	201812	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	280	22	Huesca
Diciembre 2018	201812	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	78	22	Huesca
Diciembre 2018	201812	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	582	22	Huesca
Diciembre 2018	201812	Hombres	Españoles	ESPAÑA	Españoles	Españoles	1408	44	Teruel
Diciembre 2018	201812	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	137	44	Teruel
Diciembre 2018	201812	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	29	44	Teruel
Diciembre 2018	201812	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	270	44	Teruel
Diciembre 2018	201812	Hombres	Españoles	ESPAÑA	Españoles	Españoles	11733	50	Zaragoza
Diciembre 2018	201812	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1206	50	Zaragoza
Diciembre 2018	201812	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	1	50	Zaragoza
Diciembre 2018	201812	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	145	50	Zaragoza
Diciembre 2018	201812	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	2783	50	Zaragoza
Diciembre 2018	201812	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	2474	22	Huesca
Diciembre 2018	201812	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	287	22	Huesca
Diciembre 2018	201812	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	76	22	Huesca
Diciembre 2018	201812	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	295	22	Huesca
Diciembre 2018	201812	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	1251	44	Teruel
Diciembre 2018	201812	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	156	44	Teruel
Diciembre 2018	201812	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	18	44	Teruel
Diciembre 2018	201812	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	87	44	Teruel
Diciembre 2018	201812	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	12611	50	Zaragoza
Diciembre 2018	201812	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1209	50	Zaragoza
Diciembre 2018	201812	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	141	50	Zaragoza
