Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	CCAA
2014	86	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2014	180	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2013	101	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2013	182	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2012	100	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2012	207	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2011	100	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2011	202	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2017	862	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2017	1740	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2016	868	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2016	1775	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2015	722	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2015	1611	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2014	741	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2014	1494	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2013	743	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2013	1471	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2012	665	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2012	1311	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2011	763	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2011	1650	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2017	429	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2017	52	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2016	383	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2016	48	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2015	375	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2015	38	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2014	323	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2014	31	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2013	361	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2013	31	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2012	324	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2012	27	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2011	354	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2011	35	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2017	3261	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2017	162	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2016	2975	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2016	166	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2015	2660	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2015	164	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2014	2521	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2014	161	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2013	2431	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2013	155	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2012	2861	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2012	126	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2011	3572	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2011	177	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2017	2247	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2017	163	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2016	2213	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2016	176	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2015	2062	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2015	160	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2014	1810	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2014	153	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2013	1737	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2013	164	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2012	1952	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2012	136	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2011	2292	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2011	191	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2017	3106	9	Ocupaciones elementales	Hombres	Aragón
2017	1367	9	Ocupaciones elementales	Mujeres	Aragón
2016	2724	9	Ocupaciones elementales	Hombres	Aragón
2016	1293	9	Ocupaciones elementales	Mujeres	Aragón
2015	2447	9	Ocupaciones elementales	Hombres	Aragón
2015	1136	9	Ocupaciones elementales	Mujeres	Aragón
2014	2010	9	Ocupaciones elementales	Hombres	Aragón
2014	1039	9	Ocupaciones elementales	Mujeres	Aragón
2013	1856	9	Ocupaciones elementales	Hombres	Aragón
2013	937	9	Ocupaciones elementales	Mujeres	Aragón
2012	1911	9	Ocupaciones elementales	Hombres	Aragón
2012	840	9	Ocupaciones elementales	Mujeres	Aragón
2011	2423	9	Ocupaciones elementales	Hombres	Aragón
2011	1125	9	Ocupaciones elementales	Mujeres	Aragón
2013	1	NC	No consta	Hombres	Aragón
2013	1	NC	No consta	Mujeres	Aragón
