Comarca código	Comarca nombre	Nivel estudios (agregado)	Situación preferente	Personas residentes viviendas familiares
12	Tarazona y el Moncayo	Analfabetos - Sin estudios	Parados	24
12	Tarazona y el Moncayo	Primer grado	Ocupados	975
12	Tarazona y el Moncayo	Primer grado	Parados	192
12	Tarazona y el Moncayo	Segundo grado	Ocupados	3439
12	Tarazona y el Moncayo	Segundo grado	Parados	451
12	Tarazona y el Moncayo	Tercer grado	Ocupados	826
12	Tarazona y el Moncayo	Tercer grado	Parados	95
13	Campo de Borja	Analfabetos - Sin estudios	Ocupados	280
13	Campo de Borja	Analfabetos - Sin estudios	Parados	32
13	Campo de Borja	Primer grado	Ocupados	1047
13	Campo de Borja	Primer grado	Parados	100
13	Campo de Borja	Segundo grado	Ocupados	3579
13	Campo de Borja	Segundo grado	Parados	363
13	Campo de Borja	Tercer grado	Ocupados	653
13	Campo de Borja	Tercer grado	Parados	48
14	Aranda	Analfabetos - Sin estudios	Ocupados	176
14	Aranda	Analfabetos - Sin estudios	Parados	27
14	Aranda	Primer grado	Ocupados	889
14	Aranda	Primer grado	Parados	103
14	Aranda	Segundo grado	Ocupados	1890
14	Aranda	Segundo grado	Parados	221
14	Aranda	Tercer grado	Ocupados	244
14	Aranda	Tercer grado	Parados	21
15	Ribera Alta del Ebro	Analfabetos - Sin estudios	Ocupados	250
15	Ribera Alta del Ebro	Analfabetos - Sin estudios	Parados	53
15	Ribera Alta del Ebro	Primer grado	Ocupados	1628
15	Ribera Alta del Ebro	Primer grado	Parados	143
15	Ribera Alta del Ebro	Segundo grado	Ocupados	6271
15	Ribera Alta del Ebro	Segundo grado	Parados	524
15	Ribera Alta del Ebro	Tercer grado	Ocupados	931
15	Ribera Alta del Ebro	Tercer grado	Parados	68
16	Valdejalón	Analfabetos - Sin estudios	Ocupados	424
16	Valdejalón	Analfabetos - Sin estudios	Parados	136
16	Valdejalón	Primer grado	Ocupados	1800
16	Valdejalón	Primer grado	Parados	217
16	Valdejalón	Segundo grado	Ocupados	5692
16	Valdejalón	Segundo grado	Parados	549
16	Valdejalón	Tercer grado	Ocupados	1195
16	Valdejalón	Tercer grado	Parados	94
17	D.C. Zaragoza	Analfabetos - Sin estudios	Ocupados	7484
17	D.C. Zaragoza	Analfabetos - Sin estudios	Parados	1612
17	D.C. Zaragoza	Primer grado	Ocupados	32697
17	D.C. Zaragoza	Primer grado	Parados	5686
17	D.C. Zaragoza	Segundo grado	Ocupados	167876
17	D.C. Zaragoza	Segundo grado	Parados	22102
17	D.C. Zaragoza	Tercer grado	Ocupados	72901
17	D.C. Zaragoza	Tercer grado	Parados	7214
18	Ribera Baja del Ebro	Analfabetos - Sin estudios	Ocupados	112
18	Ribera Baja del Ebro	Analfabetos - Sin estudios	Parados	10
18	Ribera Baja del Ebro	Primer grado	Ocupados	775
18	Ribera Baja del Ebro	Primer grado	Parados	68
18	Ribera Baja del Ebro	Segundo grado	Ocupados	2442
18	Ribera Baja del Ebro	Segundo grado	Parados	166
18	Ribera Baja del Ebro	Tercer grado	Ocupados	358
18	Ribera Baja del Ebro	Tercer grado	Parados	36
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Analfabetos - Sin estudios	Ocupados	349
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Analfabetos - Sin estudios	Parados	50
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Primer grado	Ocupados	1095
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Primer grado	Parados	149
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Segundo grado	Ocupados	3097
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Segundo grado	Parados	366
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Tercer grado	Ocupados	466
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Tercer grado	Parados	57
20	Comunidad de Calatayud	Analfabetos - Sin estudios	Ocupados	499
20	Comunidad de Calatayud	Analfabetos - Sin estudios	Parados	91
20	Comunidad de Calatayud	Primer grado	Ocupados	3048
20	Comunidad de Calatayud	Primer grado	Parados	364
20	Comunidad de Calatayud	Segundo grado	Ocupados	8903
20	Comunidad de Calatayud	Segundo grado	Parados	939
20	Comunidad de Calatayud	Tercer grado	Ocupados	2060
20	Comunidad de Calatayud	Tercer grado	Parados	190
21	Campo de Cariñena	Analfabetos - Sin estudios	Ocupados	131
21	Campo de Cariñena	Analfabetos - Sin estudios	Parados	15
21	Campo de Cariñena	Primer grado	Ocupados	575
21	Campo de Cariñena	Primer grado	Parados	52
21	Campo de Cariñena	Segundo grado	Ocupados	2794
21	Campo de Cariñena	Segundo grado	Parados	307
21	Campo de Cariñena	Tercer grado	Ocupados	461
21	Campo de Cariñena	Tercer grado	Parados	51
22	Campo de Belchite	Analfabetos - Sin estudios	Ocupados	132
22	Campo de Belchite	Analfabetos - Sin estudios	Parados	7
22	Campo de Belchite	Primer grado	Ocupados	446
22	Campo de Belchite	Primer grado	Parados	50
22	Campo de Belchite	Segundo grado	Ocupados	1196
22	Campo de Belchite	Segundo grado	Parados	128
22	Campo de Belchite	Tercer grado	Ocupados	182
22	Campo de Belchite	Tercer grado	Parados	18
23	Bajo Martín	Analfabetos - Sin estudios	Ocupados	59
23	Bajo Martín	Analfabetos - Sin estudios	Parados	3
23	Bajo Martín	Primer grado	Ocupados	671
23	Bajo Martín	Primer grado	Parados	39
23	Bajo Martín	Segundo grado	Ocupados	1429
23	Bajo Martín	Segundo grado	Parados	86
23	Bajo Martín	Tercer grado	Ocupados	259
23	Bajo Martín	Tercer grado	Parados	26
24	Campo de Daroca	Analfabetos - Sin estudios	Ocupados	115
24	Campo de Daroca	Analfabetos - Sin estudios	Parados	9
24	Campo de Daroca	Primer grado	Ocupados	540
24	Campo de Daroca	Primer grado	Parados	34
24	Campo de Daroca	Segundo grado	Ocupados	1282
24	Campo de Daroca	Segundo grado	Parados	107
24	Campo de Daroca	Tercer grado	Ocupados	340
24	Campo de Daroca	Tercer grado	Parados	26
25	Jiloca	Analfabetos - Sin estudios	Ocupados	109
25	Jiloca	Analfabetos - Sin estudios	Parados	10
25	Jiloca	Primer grado	Ocupados	1060
25	Jiloca	Primer grado	Parados	61
25	Jiloca	Segundo grado	Ocupados	2847
25	Jiloca	Segundo grado	Parados	166
25	Jiloca	Tercer grado	Ocupados	764
25	Jiloca	Tercer grado	Parados	50
26	Cuencas Mineras	Analfabetos - Sin estudios	Ocupados	95
26	Cuencas Mineras	Analfabetos - Sin estudios	Parados	13
26	Cuencas Mineras	Primer grado	Ocupados	800
26	Cuencas Mineras	Primer grado	Parados	127
26	Cuencas Mineras	Segundo grado	Ocupados	1813
26	Cuencas Mineras	Segundo grado	Parados	210
26	Cuencas Mineras	Tercer grado	Ocupados	328
26	Cuencas Mineras	Tercer grado	Parados	30
27	Andorra-Sierra de Arcos	Analfabetos - Sin estudios	Ocupados	149
27	Andorra-Sierra de Arcos	Analfabetos - Sin estudios	Parados	27
27	Andorra-Sierra de Arcos	Primer grado	Ocupados	648
27	Andorra-Sierra de Arcos	Primer grado	Parados	104
27	Andorra-Sierra de Arcos	Segundo grado	Ocupados	1991
27	Andorra-Sierra de Arcos	Segundo grado	Parados	249
27	Andorra-Sierra de Arcos	Tercer grado	Ocupados	509
27	Andorra-Sierra de Arcos	Tercer grado	Parados	41
28	Bajo Aragón	Analfabetos - Sin estudios	Ocupados	170
28	Bajo Aragón	Analfabetos - Sin estudios	Parados	13
28	Bajo Aragón	Primer grado	Ocupados	1775
28	Bajo Aragón	Primer grado	Parados	131
28	Bajo Aragón	Segundo grado	Ocupados	6789
28	Bajo Aragón	Segundo grado	Parados	504
28	Bajo Aragón	Tercer grado	Ocupados	1590
28	Bajo Aragón	Tercer grado	Parados	100
29	Comunidad de Teruel	Analfabetos - Sin estudios	Ocupados	614
29	Comunidad de Teruel	Analfabetos - Sin estudios	Parados	81
29	Comunidad de Teruel	Primer grado	Ocupados	2750
29	Comunidad de Teruel	Primer grado	Parados	224
29	Comunidad de Teruel	Segundo grado	Ocupados	9950
29	Comunidad de Teruel	Segundo grado	Parados	796
29	Comunidad de Teruel	Tercer grado	Ocupados	4183
29	Comunidad de Teruel	Tercer grado	Parados	274
30	Maestrazgo	Analfabetos - Sin estudios	Ocupados	129
30	Maestrazgo	Analfabetos - Sin estudios	Parados	7
30	Maestrazgo	Primer grado	Ocupados	299
30	Maestrazgo	Primer grado	Parados	16
30	Maestrazgo	Segundo grado	Ocupados	799
30	Maestrazgo	Segundo grado	Parados	41
30	Maestrazgo	Tercer grado	Ocupados	141
30	Maestrazgo	Tercer grado	Parados	8
31	Sierra de Albarracín	Analfabetos - Sin estudios	Ocupados	101
31	Sierra de Albarracín	Analfabetos - Sin estudios	Parados	1
31	Sierra de Albarracín	Primer grado	Ocupados	411
31	Sierra de Albarracín	Primer grado	Parados	7
31	Sierra de Albarracín	Segundo grado	Ocupados	1009
31	Sierra de Albarracín	Segundo grado	Parados	76
31	Sierra de Albarracín	Tercer grado	Ocupados	246
31	Sierra de Albarracín	Tercer grado	Parados	11
32	Gúdar-Javalambre	Analfabetos - Sin estudios	Ocupados	212
32	Gúdar-Javalambre	Analfabetos - Sin estudios	Parados	9
32	Gúdar-Javalambre	Primer grado	Ocupados	665
32	Gúdar-Javalambre	Primer grado	Parados	47
32	Gúdar-Javalambre	Segundo grado	Ocupados	1732
32	Gúdar-Javalambre	Segundo grado	Parados	163
32	Gúdar-Javalambre	Tercer grado	Ocupados	361
32	Gúdar-Javalambre	Tercer grado	Parados	20
33	Matarraña / Matarranya	Analfabetos - Sin estudios	Ocupados	241
33	Matarraña / Matarranya	Analfabetos - Sin estudios	Parados	4
33	Matarraña / Matarranya	Primer grado	Ocupados	776
33	Matarraña / Matarranya	Primer grado	Parados	17
33	Matarraña / Matarranya	Segundo grado	Ocupados	1807
33	Matarraña / Matarranya	Segundo grado	Parados	127
33	Matarraña / Matarranya	Tercer grado	Ocupados	343
33	Matarraña / Matarranya	Tercer grado	Parados	19
