Mes (código)	Mes y año	Sector de actividad	Sexo	Afiliaciones en alta	'Aragón'
201709	Septiembre 2017	Construcción	Mujeres	3522	Aragón
201709	Septiembre 2017	Servicios	Hombres	168736	Aragón
201709	Septiembre 2017	Servicios	Mujeres	219807	Aragón
201706	Junio 2017	Agricultura, ganadería y pesca	Hombres	39088	Aragón
201706	Junio 2017	Agricultura, ganadería y pesca	Mujeres	10675	Aragón
201706	Junio 2017	Industria y energía	Hombres	72799	Aragón
201706	Junio 2017	Industria y energía	Mujeres	23301	Aragón
201706	Junio 2017	Construcción	Hombres	29833	Aragón
201706	Junio 2017	Construcción	Mujeres	3488	Aragón
201706	Junio 2017	Servicios	Hombres	167418	Aragón
201706	Junio 2017	Servicios	Mujeres	214582	Aragón
201703	Marzo 2017	Agricultura, ganadería y pesca	Hombres	28077	Aragón
201703	Marzo 2017	Agricultura, ganadería y pesca	Mujeres	7156	Aragón
201703	Marzo 2017	Industria y energía	Hombres	71405	Aragón
201703	Marzo 2017	Industria y energía	Mujeres	22533	Aragón
201703	Marzo 2017	Construcción	Hombres	28683	Aragón
201703	Marzo 2017	Construcción	Mujeres	3472	Aragón
201703	Marzo 2017	Servicios	Hombres	163925	Aragón
201703	Marzo 2017	Servicios	Mujeres	213901	Aragón
201612	Diciembre 2016	Agricultura, ganadería y pesca	Hombres	28159	Aragón
201612	Diciembre 2016	Agricultura, ganadería y pesca	Mujeres	7207	Aragón
201612	Diciembre 2016	Industria y energía	Hombres	69501	Aragón
201612	Diciembre 2016	Industria y energía	Mujeres	21650	Aragón
201612	Diciembre 2016	Construcción	Hombres	27982	Aragón
201612	Diciembre 2016	Construcción	Mujeres	3460	Aragón
201612	Diciembre 2016	Servicios	Hombres	162445	Aragón
201612	Diciembre 2016	Servicios	Mujeres	215021	Aragón
201609	Septiembre 2016	Agricultura, ganadería y pesca	Hombres	31454	Aragón
201609	Septiembre 2016	Agricultura, ganadería y pesca	Mujeres	8456	Aragón
201609	Septiembre 2016	Industria y energía	Hombres	70157	Aragón
201609	Septiembre 2016	Industria y energía	Mujeres	22029	Aragón
201609	Septiembre 2016	Construcción	Hombres	28689	Aragón
201609	Septiembre 2016	Construcción	Mujeres	3432	Aragón
201609	Septiembre 2016	Servicios	Hombres	160611	Aragón
201609	Septiembre 2016	Servicios	Mujeres	210031	Aragón
201606	Junio 2016	Agricultura, ganadería y pesca	Hombres	37805	Aragón
201606	Junio 2016	Agricultura, ganadería y pesca	Mujeres	10784	Aragón
201606	Junio 2016	Industria y energía	Hombres	70612	Aragón
201606	Junio 2016	Industria y energía	Mujeres	21809	Aragón
201606	Junio 2016	Construcción	Hombres	29002	Aragón
201606	Junio 2016	Construcción	Mujeres	3463	Aragón
201606	Junio 2016	Servicios	Hombres	162349	Aragón
201606	Junio 2016	Servicios	Mujeres	208347	Aragón
201603	Marzo 2016	Agricultura, ganadería y pesca	Hombres	27460	Aragón
201603	Marzo 2016	Agricultura, ganadería y pesca	Mujeres	7022	Aragón
201603	Marzo 2016	Industria y energía	Hombres	69220	Aragón
201603	Marzo 2016	Industria y energía	Mujeres	21293	Aragón
201603	Marzo 2016	Construcción	Hombres	27638	Aragón
201603	Marzo 2016	Construcción	Mujeres	3403	Aragón
201603	Marzo 2016	Servicios	Hombres	158861	Aragón
201603	Marzo 2016	Servicios	Mujeres	209006	Aragón
201512	Diciembre 2015	Agricultura, ganadería y pesca	Hombres	27532	Aragón
201512	Diciembre 2015	Agricultura, ganadería y pesca	Mujeres	7148	Aragón
201512	Diciembre 2015	Industria y energía	Hombres	68157	Aragón
201512	Diciembre 2015	Industria y energía	Mujeres	20951	Aragón
201512	Diciembre 2015	Construcción	Hombres	27450	Aragón
201512	Diciembre 2015	Construcción	Mujeres	3361	Aragón
201512	Diciembre 2015	Servicios	Hombres	157500	Aragón
201512	Diciembre 2015	Servicios	Mujeres	209477	Aragón
201509	Septiembre 2015	Agricultura, ganadería y pesca	Hombres	30661	Aragón
201509	Septiembre 2015	Agricultura, ganadería y pesca	Mujeres	8317	Aragón
201509	Septiembre 2015	Industria y energía	Hombres	68815	Aragón
201509	Septiembre 2015	Industria y energía	Mujeres	21278	Aragón
201509	Septiembre 2015	Construcción	Hombres	28575	Aragón
201509	Septiembre 2015	Construcción	Mujeres	3317	Aragón
201509	Septiembre 2015	Servicios	Hombres	156299	Aragón
201509	Septiembre 2015	Servicios	Mujeres	204304	Aragón
201506	Junio 2015	Agricultura, ganadería y pesca	Hombres	36780	Aragón
201506	Junio 2015	Agricultura, ganadería y pesca	Mujeres	10610	Aragón
201506	Junio 2015	Industria y energía	Hombres	68073	Aragón
201506	Junio 2015	Industria y energía	Mujeres	20960	Aragón
201506	Junio 2015	Construcción	Hombres	28322	Aragón
201506	Junio 2015	Construcción	Mujeres	3305	Aragón
201506	Junio 2015	Servicios	Hombres	158114	Aragón
201506	Junio 2015	Servicios	Mujeres	203616	Aragón
201503	Marzo 2015	Agricultura, ganadería y pesca	Hombres	27362	Aragón
201503	Marzo 2015	Agricultura, ganadería y pesca	Mujeres	6990	Aragón
201503	Marzo 2015	Industria y energía	Hombres	66922	Aragón
201503	Marzo 2015	Industria y energía	Mujeres	20295	Aragón
201503	Marzo 2015	Construcción	Hombres	26674	Aragón
201503	Marzo 2015	Construcción	Mujeres	3284	Aragón
201503	Marzo 2015	Servicios	Hombres	155509	Aragón
201503	Marzo 2015	Servicios	Mujeres	203815	Aragón
201412	Diciembre 2014	Agricultura, ganadería y pesca	Hombres	27101	Aragón
201412	Diciembre 2014	Agricultura, ganadería y pesca	Mujeres	7098	Aragón
201412	Diciembre 2014	Industria y energía	Hombres	65880	Aragón
201412	Diciembre 2014	Industria y energía	Mujeres	20343	Aragón
201412	Diciembre 2014	Construcción	Hombres	26094	Aragón
201412	Diciembre 2014	Construcción	Mujeres	3318	Aragón
201412	Diciembre 2014	Servicios	Hombres	153416	Aragón
201412	Diciembre 2014	Servicios	Mujeres	204799	Aragón
201409	Septiembre 2014	Agricultura, ganadería y pesca	Hombres	30347	Aragón
201409	Septiembre 2014	Agricultura, ganadería y pesca	Mujeres	8438	Aragón
201409	Septiembre 2014	Industria y energía	Hombres	66399	Aragón
201409	Septiembre 2014	Industria y energía	Mujeres	20788	Aragón
201409	Septiembre 2014	Construcción	Hombres	27360	Aragón
201409	Septiembre 2014	Construcción	Mujeres	3342	Aragón
201409	Septiembre 2014	Servicios	Hombres	152017	Aragón
201409	Septiembre 2014	Servicios	Mujeres	199684	Aragón
201406	Junio 2014	Agricultura, ganadería y pesca	Hombres	37171	Aragón
201406	Junio 2014	Agricultura, ganadería y pesca	Mujeres	10947	Aragón
201406	Junio 2014	Industria y energía	Hombres	66730	Aragón
201406	Junio 2014	Industria y energía	Mujeres	20630	Aragón
201406	Junio 2014	Construcción	Hombres	27429	Aragón
201406	Junio 2014	Construcción	Mujeres	3370	Aragón
201406	Junio 2014	Servicios	Hombres	153888	Aragón
201406	Junio 2014	Servicios	Mujeres	199582	Aragón
201403	Marzo 2014	Agricultura, ganadería y pesca	Hombres	27116	Aragón
201403	Marzo 2014	Agricultura, ganadería y pesca	Mujeres	7026	Aragón
201403	Marzo 2014	Industria y energía	Hombres	66137	Aragón
201403	Marzo 2014	Industria y energía	Mujeres	20373	Aragón
201403	Marzo 2014	Construcción	Hombres	26824	Aragón
201403	Marzo 2014	Construcción	Mujeres	3397	Aragón
201403	Marzo 2014	Servicios	Hombres	150238	Aragón
201403	Marzo 2014	Servicios	Mujeres	198806	Aragón
201312	Diciembre 2013	Agricultura, ganadería y pesca	Hombres	26922	Aragón
201312	Diciembre 2013	Agricultura, ganadería y pesca	Mujeres	7130	Aragón
201312	Diciembre 2013	Industria y energía	Hombres	65445	Aragón
201312	Diciembre 2013	Industria y energía	Mujeres	20128	Aragón
201312	Diciembre 2013	Construcción	Hombres	26708	Aragón
201312	Diciembre 2013	Construcción	Mujeres	3469	Aragón
201312	Diciembre 2013	Servicios	Hombres	149684	Aragón
201312	Diciembre 2013	Servicios	Mujeres	199940	Aragón
201309	Septiembre 2013	Agricultura, ganadería y pesca	Hombres	30981	Aragón
201309	Septiembre 2013	Agricultura, ganadería y pesca	Mujeres	8640	Aragón
201309	Septiembre 2013	Industria y energía	Hombres	66808	Aragón
201309	Septiembre 2013	Industria y energía	Mujeres	20753	Aragón
201309	Septiembre 2013	Construcción	Hombres	28065	Aragón
201309	Septiembre 2013	Construcción	Mujeres	3504	Aragón
201309	Septiembre 2013	Servicios	Hombres	148958	Aragón
201309	Septiembre 2013	Servicios	Mujeres	196250	Aragón
201306	Junio 2013	Agricultura, ganadería y pesca	Hombres	35742	Aragón
201306	Junio 2013	Agricultura, ganadería y pesca	Mujeres	10659	Aragón
201306	Junio 2013	Industria y energía	Hombres	67329	Aragón
201306	Junio 2013	Industria y energía	Mujeres	20540	Aragón
201306	Junio 2013	Construcción	Hombres	28589	Aragón
201306	Junio 2013	Construcción	Mujeres	3610	Aragón
201306	Junio 2013	Servicios	Hombres	150564	Aragón
201306	Junio 2013	Servicios	Mujeres	196537	Aragón
201303	Marzo 2013	Agricultura, ganadería y pesca	Hombres	27533	Aragón
201303	Marzo 2013	Agricultura, ganadería y pesca	Mujeres	7287	Aragón
201303	Marzo 2013	Industria y energía	Hombres	66860	Aragón
201303	Marzo 2013	Industria y energía	Mujeres	20397	Aragón
201303	Marzo 2013	Construcción	Hombres	28086	Aragón
201303	Marzo 2013	Construcción	Mujeres	3711	Aragón
201303	Marzo 2013	Servicios	Hombres	148571	Aragón
201303	Marzo 2013	Servicios	Mujeres	196860	Aragón
201212	Diciembre 2012	Agricultura, ganadería y pesca	Hombres	27976	Aragón
201212	Diciembre 2012	Agricultura, ganadería y pesca	Mujeres	7598	Aragón
201212	Diciembre 2012	Industria y energía	Hombres	67589	Aragón
201212	Diciembre 2012	Industria y energía	Mujeres	20671	Aragón
201212	Diciembre 2012	Construcción	Hombres	29461	Aragón
201212	Diciembre 2012	Construcción	Mujeres	3910	Aragón
201212	Diciembre 2012	Servicios	Hombres	150130	Aragón
201212	Diciembre 2012	Servicios	Mujeres	200108	Aragón
201209	Septiembre 2012	Agricultura, ganadería y pesca	Hombres	33007	Aragón
201209	Septiembre 2012	Agricultura, ganadería y pesca	Mujeres	9659	Aragón
201209	Septiembre 2012	Industria y energía	Hombres	69700	Aragón
201209	Septiembre 2012	Industria y energía	Mujeres	21402	Aragón
201209	Septiembre 2012	Construcción	Hombres	32784	Aragón
201209	Septiembre 2012	Construcción	Mujeres	4106	Aragón
201209	Septiembre 2012	Servicios	Hombres	151631	Aragón
201209	Septiembre 2012	Servicios	Mujeres	199309	Aragón
201206	Junio 2012	Agricultura, ganadería y pesca	Hombres	37380	Aragón
201206	Junio 2012	Agricultura, ganadería y pesca	Mujeres	10948	Aragón
201206	Junio 2012	Industria y energía	Hombres	70333	Aragón
201206	Junio 2012	Industria y energía	Mujeres	21336	Aragón
201206	Junio 2012	Construcción	Hombres	33942	Aragón
201206	Junio 2012	Construcción	Mujeres	4252	Aragón
201206	Junio 2012	Servicios	Hombres	152992	Aragón
201206	Junio 2012	Servicios	Mujeres	195068	Aragón
201203	Marzo 2012	Agricultura, ganadería y pesca	Hombres	29263	Aragón
201203	Marzo 2012	Agricultura, ganadería y pesca	Mujeres	7603	Aragón
201203	Marzo 2012	Industria y energía	Hombres	70431	Aragón
201203	Marzo 2012	Industria y energía	Mujeres	21467	Aragón
201203	Marzo 2012	Construcción	Hombres	34172	Aragón
201203	Marzo 2012	Construcción	Mujeres	4393	Aragón
201203	Marzo 2012	Servicios	Hombres	151589	Aragón
201203	Marzo 2012	Servicios	Mujeres	192610	Aragón
201112	Diciembre 2011	Agricultura, ganadería y pesca	Hombres	26604	Aragón
201112	Diciembre 2011	Agricultura, ganadería y pesca	Mujeres	7492	Aragón
201112	Diciembre 2011	Industria y energía	Hombres	70933	Aragón
201112	Diciembre 2011	Industria y energía	Mujeres	21938	Aragón
201112	Diciembre 2011	Construcción	Hombres	35312	Aragón
201112	Diciembre 2011	Construcción	Mujeres	4594	Aragón
201112	Diciembre 2011	Servicios	Hombres	153514	Aragón
201112	Diciembre 2011	Servicios	Mujeres	194322	Aragón
201109	Septiembre 2011	Agricultura, ganadería y pesca	Hombres	28324	Aragón
201109	Septiembre 2011	Agricultura, ganadería y pesca	Mujeres	8724	Aragón
201109	Septiembre 2011	Industria y energía	Hombres	72874	Aragón
201109	Septiembre 2011	Industria y energía	Mujeres	22841	Aragón
201109	Septiembre 2011	Construcción	Hombres	38285	Aragón
201109	Septiembre 2011	Construcción	Mujeres	4793	Aragón
201109	Septiembre 2011	Servicios	Hombres	155148	Aragón
201109	Septiembre 2011	Servicios	Mujeres	194290	Aragón
201109	Septiembre 2011	Sin clasificar	Hombres	189	Aragón
201109	Septiembre 2011	Sin clasificar	Mujeres	233	Aragón
201106	Junio 2011	Agricultura, ganadería y pesca	Hombres	30088	Aragón
201106	Junio 2011	Agricultura, ganadería y pesca	Mujeres	9653	Aragón
201106	Junio 2011	Industria y energía	Hombres	73635	Aragón
201106	Junio 2011	Industria y energía	Mujeres	22881	Aragón
201106	Junio 2011	Construcción	Hombres	39462	Aragón
201106	Junio 2011	Construcción	Mujeres	4948	Aragón
201106	Junio 2011	Servicios	Hombres	155604	Aragón
201106	Junio 2011	Servicios	Mujeres	191463	Aragón
201106	Junio 2011	Sin clasificar	Hombres	437	Aragón
201106	Junio 2011	Sin clasificar	Mujeres	54	Aragón
201103	Marzo 2011	Agricultura, ganadería y pesca	Hombres	25919	Aragón
201103	Marzo 2011	Agricultura, ganadería y pesca	Mujeres	7593	Aragón
201103	Marzo 2011	Industria y energía	Hombres	73569	Aragón
201103	Marzo 2011	Industria y energía	Mujeres	22727	Aragón
201103	Marzo 2011	Construcción	Hombres	39871	Aragón
201103	Marzo 2011	Construcción	Mujeres	5012	Aragón
201103	Marzo 2011	Servicios	Hombres	155031	Aragón
201103	Marzo 2011	Servicios	Mujeres	193199	Aragón
201103	Marzo 2011	Sin clasificar	Hombres	328	Aragón
201103	Marzo 2011	Sin clasificar	Mujeres	46	Aragón
201012	Diciembre 2010	Agricultura, ganadería y pesca	Hombres	27246	Aragón
201012	Diciembre 2010	Agricultura, ganadería y pesca	Mujeres	7916	Aragón
201012	Diciembre 2010	Industria y energía	Hombres	73644	Aragón
201012	Diciembre 2010	Industria y energía	Mujeres	22767	Aragón
201012	Diciembre 2010	Construcción	Hombres	40373	Aragón
201012	Diciembre 2010	Construcción	Mujeres	5191	Aragón
201012	Diciembre 2010	Servicios	Hombres	155681	Aragón
201012	Diciembre 2010	Servicios	Mujeres	196526	Aragón
201012	Diciembre 2010	Sin clasificar	Hombres	476	Aragón
201012	Diciembre 2010	Sin clasificar	Mujeres	49	Aragón
201009	Septiembre 2010	Agricultura, ganadería y pesca	Hombres	29266	Aragón
201009	Septiembre 2010	Agricultura, ganadería y pesca	Mujeres	9119	Aragón
201009	Septiembre 2010	Industria y energía	Hombres	75659	Aragón
201009	Septiembre 2010	Industria y energía	Mujeres	23632	Aragón
201009	Septiembre 2010	Construcción	Hombres	43442	Aragón
201009	Septiembre 2010	Construcción	Mujeres	5366	Aragón
201009	Septiembre 2010	Servicios	Hombres	155256	Aragón
201009	Septiembre 2010	Servicios	Mujeres	193240	Aragón
201009	Septiembre 2010	Sin clasificar	Hombres	373	Aragón
201009	Septiembre 2010	Sin clasificar	Mujeres	43	Aragón
201006	Junio 2010	Agricultura, ganadería y pesca	Hombres	29224	Aragón
201006	Junio 2010	Agricultura, ganadería y pesca	Mujeres	9421	Aragón
201006	Junio 2010	Industria y energía	Hombres	76033	Aragón
201006	Junio 2010	Industria y energía	Mujeres	23388	Aragón
201006	Junio 2010	Construcción	Hombres	45349	Aragón
201006	Junio 2010	Construcción	Mujeres	5562	Aragón
201006	Junio 2010	Servicios	Hombres	157053	Aragón
201006	Junio 2010	Servicios	Mujeres	192060	Aragón
201006	Junio 2010	Sin clasificar	Hombres	339	Aragón
201006	Junio 2010	Sin clasificar	Mujeres	28	Aragón
201003	Marzo 2010	Agricultura, ganadería y pesca	Hombres	26374	Aragón
201003	Marzo 2010	Agricultura, ganadería y pesca	Mujeres	7693	Aragón
201003	Marzo 2010	Industria y energía	Hombres	75453	Aragón
201003	Marzo 2010	Industria y energía	Mujeres	23268	Aragón
201003	Marzo 2010	Construcción	Hombres	44398	Aragón
201003	Marzo 2010	Construcción	Mujeres	5633	Aragón
201003	Marzo 2010	Servicios	Hombres	155754	Aragón
201003	Marzo 2010	Servicios	Mujeres	192689	Aragón
201003	Marzo 2010	Sin clasificar	Hombres	314	Aragón
201003	Marzo 2010	Sin clasificar	Mujeres	40	Aragón
