Provincia código	Provincia nombre	Tipo estudios	Edad	Sexo	Personas residentes viviendas familiares
44	Teruel	Ciencias Sociales	45 a 64	Hombres	178
44	Teruel	Ciencias Sociales	65 y más	Hombres	70
44	Teruel	Artes y Humanidades	25 a 44	Mujeres	505
44	Teruel	Artes y Humanidades	45 a 64	Mujeres	100
44	Teruel	Artes y Humanidades	65 y más	Mujeres	21
44	Teruel	Artes y Humanidades	25 a 44	Hombres	315
44	Teruel	Artes y Humanidades	45 a 64	Hombres	119
44	Teruel	Artes y Humanidades	65 y más	Hombres	34
44	Teruel	Informática	25 a 44	Mujeres	124
44	Teruel	Informática	45 a 64	Mujeres	3
44	Teruel	Informática	65 y más	Mujeres	1
44	Teruel	Informática	25 a 44	Hombres	141
44	Teruel	Informática	45 a 64	Hombres	13
44	Teruel	Ingenierías	25 a 44	Mujeres	146
44	Teruel	Ingenierías	45 a 64	Mujeres	11
44	Teruel	Ingenierías	65 y más	Mujeres	3
44	Teruel	Ingenierías	25 a 44	Hombres	530
44	Teruel	Ingenierías	45 a 64	Hombres	138
44	Teruel	Ingenierías	65 y más	Hombres	29
44	Teruel	Formación Técnica e Industrial	25 a 44	Mujeres	629
44	Teruel	Formación Técnica e Industrial	45 a 64	Mujeres	71
44	Teruel	Formación Técnica e Industrial	65 y más	Mujeres	7
44	Teruel	Formación Técnica e Industrial	25 a 44	Hombres	2369
44	Teruel	Formación Técnica e Industrial	45 a 64	Hombres	531
44	Teruel	Formación Técnica e Industrial	65 y más	Hombres	37
44	Teruel	Ciencias	25 a 44	Mujeres	207
44	Teruel	Ciencias	45 a 64	Mujeres	38
44	Teruel	Ciencias	65 y más	Mujeres	2
44	Teruel	Ciencias	25 a 44	Hombres	211
44	Teruel	Ciencias	45 a 64	Hombres	78
44	Teruel	Ciencias	65 y más	Hombres	7
44	Teruel	Arquitectura o Construcción	25 a 44	Mujeres	71
44	Teruel	Arquitectura o Construcción	45 a 64	Mujeres	5
44	Teruel	Arquitectura o Construcción	25 a 44	Hombres	111
44	Teruel	Arquitectura o Construcción	45 a 64	Hombres	56
44	Teruel	Arquitectura o Construcción	65 y más	Hombres	8
44	Teruel	Agricultura, Veterinaria,...	25 a 44	Mujeres	87
44	Teruel	Agricultura, Veterinaria,...	45 a 64	Mujeres	9
44	Teruel	Agricultura, Veterinaria,...	65 y más	Mujeres	4
44	Teruel	Agricultura, Veterinaria,...	25 a 44	Hombres	357
44	Teruel	Agricultura, Veterinaria,...	45 a 64	Hombres	70
44	Teruel	Agricultura, Veterinaria,...	65 y más	Hombres	21
44	Teruel	Salud, Servicios Sociales	25 a 44	Mujeres	1597
44	Teruel	Salud, Servicios Sociales	45 a 64	Mujeres	331
44	Teruel	Salud, Servicios Sociales	65 y más	Mujeres	43
44	Teruel	Salud, Servicios Sociales	25 a 44	Hombres	357
44	Teruel	Salud, Servicios Sociales	45 a 64	Hombres	206
44	Teruel	Salud, Servicios Sociales	65 y más	Hombres	53
44	Teruel	Otros Servicios	25 a 44	Mujeres	342
44	Teruel	Otros Servicios	45 a 64	Mujeres	62
44	Teruel	Otros Servicios	65 y más	Mujeres	4
44	Teruel	Otros Servicios	25 a 44	Hombres	138
44	Teruel	Otros Servicios	45 a 64	Hombres	53
44	Teruel	Otros Servicios	65 y más	Hombres	12
50	Zaragoza	Derecho	25 a 44	Mujeres	4527
50	Zaragoza	Derecho	45 a 64	Mujeres	600
50	Zaragoza	Derecho	65 y más	Mujeres	82
50	Zaragoza	Derecho	25 a 44	Hombres	3677
50	Zaragoza	Derecho	45 a 64	Hombres	1398
50	Zaragoza	Derecho	65 y más	Hombres	662
50	Zaragoza	Magisterio, Educación infantil...	25 a 44	Mujeres	6419
50	Zaragoza	Magisterio, Educación infantil...	45 a 64	Mujeres	3449
50	Zaragoza	Magisterio, Educación infantil...	65 y más	Mujeres	1564
50	Zaragoza	Magisterio, Educación infantil...	25 a 44	Hombres	1770
50	Zaragoza	Magisterio, Educación infantil...	45 a 64	Hombres	1565
50	Zaragoza	Magisterio, Educación infantil...	65 y más	Hombres	548
50	Zaragoza	Ciencias Sociales	25 a 44	Mujeres	14928
50	Zaragoza	Ciencias Sociales	45 a 64	Mujeres	2451
50	Zaragoza	Ciencias Sociales	65 y más	Mujeres	560
50	Zaragoza	Ciencias Sociales	25 a 44	Hombres	8581
50	Zaragoza	Ciencias Sociales	45 a 64	Hombres	3039
50	Zaragoza	Ciencias Sociales	65 y más	Hombres	992
50	Zaragoza	Artes y Humanidades	25 a 44	Mujeres	5398
50	Zaragoza	Artes y Humanidades	45 a 64	Mujeres	2042
50	Zaragoza	Artes y Humanidades	65 y más	Mujeres	304
50	Zaragoza	Artes y Humanidades	25 a 44	Hombres	3146
50	Zaragoza	Artes y Humanidades	45 a 64	Hombres	1413
50	Zaragoza	Artes y Humanidades	65 y más	Hombres	323
50	Zaragoza	Informática	25 a 44	Mujeres	2640
50	Zaragoza	Informática	45 a 64	Mujeres	83
50	Zaragoza	Informática	65 y más	Mujeres	16
50	Zaragoza	Informática	25 a 44	Hombres	2766
50	Zaragoza	Informática	45 a 64	Hombres	196
50	Zaragoza	Informática	65 y más	Hombres	26
50	Zaragoza	Ingenierías	25 a 44	Mujeres	1703
50	Zaragoza	Ingenierías	45 a 64	Mujeres	128
50	Zaragoza	Ingenierías	65 y más	Mujeres	19
50	Zaragoza	Ingenierías	25 a 44	Hombres	6870
50	Zaragoza	Ingenierías	45 a 64	Hombres	2608
50	Zaragoza	Ingenierías	65 y más	Hombres	584
50	Zaragoza	Formación Técnica e Industrial	25 a 44	Mujeres	5154
50	Zaragoza	Formación Técnica e Industrial	45 a 64	Mujeres	699
50	Zaragoza	Formación Técnica e Industrial	65 y más	Mujeres	114
50	Zaragoza	Formación Técnica e Industrial	25 a 44	Hombres	21016
50	Zaragoza	Formación Técnica e Industrial	45 a 64	Hombres	6875
50	Zaragoza	Formación Técnica e Industrial	65 y más	Hombres	912
50	Zaragoza	Ciencias	25 a 44	Mujeres	2621
50	Zaragoza	Ciencias	45 a 64	Mujeres	548
50	Zaragoza	Ciencias	65 y más	Mujeres	124
50	Zaragoza	Ciencias	25 a 44	Hombres	2524
50	Zaragoza	Ciencias	45 a 64	Hombres	1159
50	Zaragoza	Ciencias	65 y más	Hombres	277
50	Zaragoza	Arquitectura o Construcción	25 a 44	Mujeres	406
50	Zaragoza	Arquitectura o Construcción	45 a 64	Mujeres	115
50	Zaragoza	Arquitectura o Construcción	65 y más	Mujeres	23
50	Zaragoza	Arquitectura o Construcción	25 a 44	Hombres	936
50	Zaragoza	Arquitectura o Construcción	45 a 64	Hombres	744
50	Zaragoza	Arquitectura o Construcción	65 y más	Hombres	138
50	Zaragoza	Agricultura, Veterinaria,...	25 a 44	Mujeres	881
50	Zaragoza	Agricultura, Veterinaria,...	45 a 64	Mujeres	102
50	Zaragoza	Agricultura, Veterinaria,...	65 y más	Mujeres	16
50	Zaragoza	Agricultura, Veterinaria,...	25 a 44	Hombres	1812
50	Zaragoza	Agricultura, Veterinaria,...	45 a 64	Hombres	431
50	Zaragoza	Agricultura, Veterinaria,...	65 y más	Hombres	210
50	Zaragoza	Salud, Servicios Sociales	25 a 44	Mujeres	11122
50	Zaragoza	Salud, Servicios Sociales	45 a 64	Mujeres	4294
50	Zaragoza	Salud, Servicios Sociales	65 y más	Mujeres	623
50	Zaragoza	Salud, Servicios Sociales	25 a 44	Hombres	3167
50	Zaragoza	Salud, Servicios Sociales	45 a 64	Hombres	2376
50	Zaragoza	Salud, Servicios Sociales	65 y más	Hombres	749
50	Zaragoza	Otros Servicios	25 a 44	Mujeres	4568
50	Zaragoza	Otros Servicios	45 a 64	Mujeres	849
50	Zaragoza	Otros Servicios	65 y más	Mujeres	96
50	Zaragoza	Otros Servicios	25 a 44	Hombres	2495
50	Zaragoza	Otros Servicios	45 a 64	Hombres	1122
50	Zaragoza	Otros Servicios	65 y más	Hombres	507
