Año	Residencia provincia nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
2003	Teruel	Extranjeros	03	Magreb	África	Mujeres	378
2003	Teruel	Extranjeros	04	Resto de África	África	Mujeres	54
2003	Teruel	Extranjeros	05	América del Norte	América	Mujeres	4
2003	Teruel	Extranjeros	06	Resto de América	América	Mujeres	903
2003	Teruel	Extranjeros	07	Asia	Asia	Mujeres	47
2003	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	1
2003	Zaragoza	Españoles	01	UE-15	Europa	Mujeres	427015
2003	Zaragoza	Extranjeros	01	UE-15	Europa	Mujeres	1264
2003	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	5115
2003	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	1848
2003	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	1647
2003	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	148
2003	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	9921
2003	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	535
2003	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	8
2003	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	10
2004	Huesca	Españoles	01	UE-15	Europa	Mujeres	100116
2004	Huesca	Extranjeros	01	UE-15	Europa	Mujeres	448
2004	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	1341
2004	Huesca	Extranjeros	03	Magreb	África	Mujeres	638
2004	Huesca	Extranjeros	04	Resto de África	África	Mujeres	302
2004	Huesca	Extranjeros	05	América del Norte	América	Mujeres	29
2004	Huesca	Extranjeros	06	Resto de América	América	Mujeres	1982
2004	Huesca	Extranjeros	07	Asia	Asia	Mujeres	71
2004	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	13
2004	Teruel	Españoles	01	UE-15	Europa	Mujeres	65294
2004	Teruel	Extranjeros	01	UE-15	Europa	Mujeres	169
2004	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	1170
2004	Teruel	Extranjeros	03	Magreb	África	Mujeres	480
2004	Teruel	Extranjeros	04	Resto de África	África	Mujeres	65
2004	Teruel	Extranjeros	05	América del Norte	América	Mujeres	4
2004	Teruel	Extranjeros	06	Resto de América	América	Mujeres	1011
2004	Teruel	Extranjeros	07	Asia	Asia	Mujeres	66
2004	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	1
2004	Zaragoza	Españoles	01	UE-15	Europa	Mujeres	429209
2004	Zaragoza	Extranjeros	01	UE-15	Europa	Mujeres	1490
2004	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	7518
2004	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	2283
2004	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	1972
2004	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	176
2004	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	12079
2004	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	765
2004	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	7
2004	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	11
2005	Huesca	Españoles	01	UE-25	Europa	Mujeres	99851
2005	Huesca	Extranjeros	01	UE-25	Europa	Mujeres	734
2005	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	1796
2005	Huesca	Extranjeros	03	Magreb	África	Mujeres	828
2005	Huesca	Extranjeros	04	Resto de África	África	Mujeres	358
2005	Huesca	Extranjeros	05	América del Norte	América	Mujeres	29
2005	Huesca	Extranjeros	06	Resto de América	América	Mujeres	2295
2005	Huesca	Extranjeros	07	Asia	Asia	Mujeres	83
2005	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	21
2005	Teruel	Españoles	01	UE-25	Europa	Mujeres	64953
2005	Teruel	Extranjeros	01	UE-25	Europa	Mujeres	351
2005	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	1474
2005	Teruel	Extranjeros	03	Magreb	África	Mujeres	626
2005	Teruel	Extranjeros	04	Resto de África	África	Mujeres	76
2005	Teruel	Extranjeros	05	América del Norte	América	Mujeres	7
2005	Teruel	Extranjeros	06	Resto de América	América	Mujeres	1253
2005	Teruel	Extranjeros	07	Asia	Asia	Mujeres	77
2005	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	1
2005	Zaragoza	Españoles	01	UE-25	Europa	Mujeres	429678
2005	Zaragoza	Extranjeros	01	UE-25	Europa	Mujeres	2080
2005	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	10345
2005	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	2858
2005	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	2341
2005	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	187
2005	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	13508
2005	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	1048
2005	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	10
2005	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	11
2006	Huesca	Españoles	01	UE-25	Europa	Mujeres	99903
2006	Huesca	Extranjeros	01	UE-25	Europa	Mujeres	863
2006	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	2295
2006	Huesca	Extranjeros	03	Magreb	África	Mujeres	1037
2006	Huesca	Extranjeros	04	Resto de África	África	Mujeres	409
2006	Huesca	Extranjeros	05	América del Norte	América	Mujeres	23
2006	Huesca	Extranjeros	06	Resto de América	América	Mujeres	2389
2006	Huesca	Extranjeros	07	Asia	Asia	Mujeres	107
2006	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	14
2006	Teruel	Españoles	01	UE-25	Europa	Mujeres	64614
2006	Teruel	Extranjeros	01	UE-25	Europa	Mujeres	415
2006	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	1838
2006	Teruel	Extranjeros	03	Magreb	África	Mujeres	679
2006	Teruel	Extranjeros	04	Resto de África	África	Mujeres	68
2006	Teruel	Extranjeros	05	América del Norte	América	Mujeres	7
2006	Teruel	Extranjeros	06	Resto de América	América	Mujeres	1356
2006	Teruel	Extranjeros	07	Asia	Asia	Mujeres	111
2006	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	3
2006	Zaragoza	Españoles	01	UE-25	Europa	Mujeres	429582
2006	Zaragoza	Extranjeros	01	UE-25	Europa	Mujeres	2416
2006	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	12458
2006	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	3138
2006	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	2438
2006	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	143
2006	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	13302
2006	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	1190
2006	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	7
2006	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	7
2007	Huesca	Españoles	01	UE-27	Europa	Mujeres	99773
2007	Huesca	Extranjeros	01	UE-27	Europa	Mujeres	3767
2007	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	337
2007	Huesca	Extranjeros	03	Magreb	África	Mujeres	1145
2007	Huesca	Extranjeros	04	Resto de África	África	Mujeres	445
2007	Huesca	Extranjeros	05	América del Norte	América	Mujeres	19
2007	Huesca	Extranjeros	06	Resto de América	América	Mujeres	2510
2007	Huesca	Extranjeros	07	Asia	Asia	Mujeres	123
2007	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	10
2007	Teruel	Españoles	01	UE-27	Europa	Mujeres	64271
2007	Teruel	Extranjeros	01	UE-27	Europa	Mujeres	2944
2007	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	122
2007	Teruel	Extranjeros	03	Magreb	África	Mujeres	797
2007	Teruel	Extranjeros	04	Resto de África	África	Mujeres	52
2007	Teruel	Extranjeros	05	América del Norte	América	Mujeres	8
2007	Teruel	Extranjeros	06	Resto de América	América	Mujeres	1466
2007	Teruel	Extranjeros	07	Asia	Asia	Mujeres	121
2007	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	3
2007	Zaragoza	Españoles	01	UE-27	Europa	Mujeres	429906
2007	Zaragoza	Extranjeros	01	UE-27	Europa	Mujeres	18754
2007	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	1258
2007	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	3482
2007	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	2556
2007	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	140
2007	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	14278
2007	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	1356
2007	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	8
2007	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	8
2008	Huesca	Españoles	01	UE-27	Europa	Mujeres	99868
2008	Huesca	Extranjeros	01	UE-27	Europa	Mujeres	5149
2008	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	398
2008	Huesca	Extranjeros	03	Magreb	África	Mujeres	1450
2008	Huesca	Extranjeros	04	Resto de África	África	Mujeres	463
2008	Huesca	Extranjeros	05	América del Norte	América	Mujeres	21
2008	Huesca	Extranjeros	06	Resto de América	América	Mujeres	2815
2008	Huesca	Extranjeros	07	Asia	Asia	Mujeres	160
2008	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	8
2008	Teruel	Españoles	01	UE-27	Europa	Mujeres	63796
2008	Teruel	Extranjeros	01	UE-27	Europa	Mujeres	3802
2008	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	136
2008	Teruel	Extranjeros	03	Magreb	África	Mujeres	993
2008	Teruel	Extranjeros	04	Resto de África	África	Mujeres	45
2008	Teruel	Extranjeros	05	América del Norte	América	Mujeres	11
2008	Teruel	Extranjeros	06	Resto de América	América	Mujeres	1625
2008	Teruel	Extranjeros	07	Asia	Asia	Mujeres	135
2008	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	4
2008	Zaragoza	Españoles	01	UE-27	Europa	Mujeres	430474
2008	Zaragoza	Extranjeros	01	UE-27	Europa	Mujeres	25021
2008	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	1435
2008	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	4017
2008	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	2681
2008	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	146
2008	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	16275
2008	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	1569
2008	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	9
2008	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	9
2009	Huesca	Españoles	01	UE-27	Europa	Mujeres	100046
2009	Huesca	Extranjeros	01	UE-27	Europa	Mujeres	5954
2009	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	423
2009	Huesca	Extranjeros	03	Magreb	África	Mujeres	1688
2009	Huesca	Extranjeros	04	Resto de África	África	Mujeres	550
2009	Huesca	Extranjeros	05	América del Norte	América	Mujeres	19
2009	Huesca	Extranjeros	06	Resto de América	América	Mujeres	2933
2009	Huesca	Extranjeros	07	Asia	Asia	Mujeres	159
2009	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	7
2009	Teruel	Españoles	01	UE-27	Europa	Mujeres	63444
2009	Teruel	Extranjeros	01	UE-27	Europa	Mujeres	4126
2009	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	144
2009	Teruel	Extranjeros	03	Magreb	África	Mujeres	1257
2009	Teruel	Extranjeros	04	Resto de África	África	Mujeres	51
2009	Teruel	Extranjeros	05	América del Norte	América	Mujeres	11
2009	Teruel	Extranjeros	06	Resto de América	América	Mujeres	1787
2009	Teruel	Extranjeros	07	Asia	Asia	Mujeres	195
2009	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	3
2009	Zaragoza	Españoles	01	UE-27	Europa	Mujeres	432017
2009	Zaragoza	Extranjeros	01	UE-27	Europa	Mujeres	28022
2009	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	1542
2009	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	4874
2009	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	2920
2009	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	159
2009	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	17278
2009	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	2028
2009	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	8
2009	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	9
2010	Huesca	Españoles	01	UE-27	Europa	Mujeres	99909
2010	Huesca	Extranjeros	01	UE-27	Europa	Mujeres	6187
2010	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	430
2010	Huesca	Extranjeros	03	Magreb	África	Mujeres	1793
2010	Huesca	Extranjeros	04	Resto de África	África	Mujeres	577
2010	Huesca	Extranjeros	05	América del Norte	América	Mujeres	25
2010	Huesca	Extranjeros	06	Resto de América	América	Mujeres	2936
2010	Huesca	Extranjeros	07	Asia	Asia	Mujeres	175
2010	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	10
2010	Teruel	Españoles	01	UE-27	Europa	Mujeres	63088
2010	Teruel	Extranjeros	01	UE-27	Europa	Mujeres	4044
2010	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	144
2010	Teruel	Extranjeros	03	Magreb	África	Mujeres	1430
2010	Teruel	Extranjeros	04	Resto de África	África	Mujeres	51
2010	Teruel	Extranjeros	05	América del Norte	América	Mujeres	13
2010	Teruel	Extranjeros	06	Resto de América	América	Mujeres	1751
2010	Teruel	Extranjeros	07	Asia	Asia	Mujeres	190
2010	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	3
2010	Zaragoza	Españoles	01	UE-27	Europa	Mujeres	432911
2010	Zaragoza	Extranjeros	01	UE-27	Europa	Mujeres	29099
2010	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	1524
2010	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	5366
2010	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	3059
2010	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	144
2010	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	16858
2010	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	2183
2010	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	9
2010	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	9
2011	Huesca	Españoles	01	UE-27	Europa	Mujeres	99841
2011	Huesca	Extranjeros	01	UE-27	Europa	Mujeres	6521
2011	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	445
2011	Huesca	Extranjeros	03	Magreb	África	Mujeres	1874
2011	Huesca	Extranjeros	04	Resto de África	África	Mujeres	577
2011	Huesca	Extranjeros	05	América del Norte	América	Mujeres	26
2011	Huesca	Extranjeros	06	Resto de América	América	Mujeres	2641
2011	Huesca	Extranjeros	07	Asia	Asia	Mujeres	202
2011	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	10
2011	Teruel	Españoles	01	UE-27	Europa	Mujeres	62862
2011	Teruel	Extranjeros	01	UE-27	Europa	Mujeres	4181
2011	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	143
2011	Teruel	Extranjeros	03	Magreb	África	Mujeres	1528
2011	Teruel	Extranjeros	04	Resto de África	África	Mujeres	58
2011	Teruel	Extranjeros	05	América del Norte	América	Mujeres	12
2011	Teruel	Extranjeros	06	Resto de América	América	Mujeres	1574
2011	Teruel	Extranjeros	07	Asia	Asia	Mujeres	237
2011	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	4
2011	Zaragoza	Españoles	01	UE-27	Europa	Mujeres	434059
2011	Zaragoza	Extranjeros	01	UE-27	Europa	Mujeres	29785
2011	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	1583
2011	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	5426
2011	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	3076
2011	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	155
2011	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	15962
2011	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	2209
2011	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	7
2011	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	9
2012	Huesca	Españoles	01	UE-27	Europa	Mujeres	99544
2012	Huesca	Extranjeros	01	UE-27	Europa	Mujeres	6916
2012	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	453
2012	Huesca	Extranjeros	03	Magreb	África	Mujeres	1867
2012	Huesca	Extranjeros	04	Resto de África	África	Mujeres	583
2012	Huesca	Extranjeros	05	América del Norte	América	Mujeres	30
