Municipio código	Municipio nombre	Municipio montaña	Municipio zona desfavorecida	Municipio superficie, medida
44237	Urrea de Gaén	No es zona montañosa	Zona desfavorecida	41,1
44238	Utrillas	Sistema Ibérico	No es zona desfavorecida	39,8
44239	Valacloche	Sistema Ibérico	No es zona desfavorecida	15
44240	Valbona	Sistema Ibérico	No es zona desfavorecida	40,7
44241	Valdealgorfa	No es zona montañosa	Zona desfavorecida	46,9
44243	Valdecuenca	Sistema Ibérico	No es zona desfavorecida	18,6
44244	Valdelinares	Sistema Ibérico	No es zona desfavorecida	55,1
44245	Valdeltormo	No es zona montañosa	Zona desfavorecida	16
44246	Valderrobres	Sistema Ibérico	No es zona desfavorecida	124
44247	Valjunquera	No es zona montañosa	Zona desfavorecida	41,8
44249	Vallecillo (El)	Sistema Ibérico	No es zona desfavorecida	21,6
44250	Veguillas de la Sierra	Sistema Ibérico	No es zona desfavorecida	13,7
44251	Villafranca del Campo	No es zona montañosa	Zona desfavorecida	66,5
44252	Villahermosa del Campo	No es zona montañosa	Zona desfavorecida	19,2
44256	Villanueva del Rebollar de la Sierra	Sistema Ibérico	No es zona desfavorecida	19
44257	Villar del Cobo	Sistema Ibérico	No es zona desfavorecida	54,1
44258	Villar del Salz	Sistema Ibérico	No es zona desfavorecida	38,7
44260	Villarluengo	Sistema Ibérico	No es zona desfavorecida	159,9
44261	Villarquemado	Sistema Ibérico	No es zona desfavorecida	56,4
44262	Villarroya de los Pinares	Sistema Ibérico	No es zona desfavorecida	66,4
44263	Villastar	Sistema Ibérico	No es zona desfavorecida	39
44264	Villel	Sistema Ibérico	No es zona desfavorecida	85,4
44265	Vinaceite	No es zona montañosa	Zona desfavorecida	50,1
44266	Visiedo	Sistema Ibérico	No es zona desfavorecida	48,9
44267	Vivel del Río Martín	Sistema Ibérico	No es zona desfavorecida	51,2
44268	Zoma (La)	Sistema Ibérico	No es zona desfavorecida	14,5
50001	Abanto	No es zona montañosa	Zona desfavorecida	63,8
50002	Acered	No es zona montañosa	Zona desfavorecida	30,4
50003	Agón	No es zona montañosa	No es zona desfavorecida	18,5
50004	Aguarón	No es zona montañosa	Zona desfavorecida	36,6
50005	Aguilón	No es zona montañosa	Zona desfavorecida	59,5
50006	Ainzón	No es zona montañosa	No es zona desfavorecida	40,5
50007	Aladrén	No es zona montañosa	Zona desfavorecida	21,1
50008	Alagón	No es zona montañosa	No es zona desfavorecida	24,2
50009	Alarba	No es zona montañosa	Zona desfavorecida	19
50010	Alberite de San Juan	No es zona montañosa	No es zona desfavorecida	11,2
50011	Albeta	No es zona montañosa	No es zona desfavorecida	2,7
50012	Alborge	No es zona montañosa	Zona desfavorecida	4,8
50013	Alcalá de Ebro	No es zona montañosa	No es zona desfavorecida	9,9
50014	Alcalá de Moncayo	No es zona montañosa	No es zona desfavorecida	13,8
50015	Alconchel de Ariza	No es zona montañosa	Zona desfavorecida	34,9
50016	Aldehuela de Liestos	No es zona montañosa	Zona desfavorecida	38
50017	Alfajarín	No es zona montañosa	No es zona desfavorecida	137,6
50018	Alfamén	No es zona montañosa	Zona desfavorecida	102
50019	Alforque	No es zona montañosa	Zona desfavorecida	10,6
50020	Alhama de Aragón	No es zona montañosa	Zona desfavorecida	31,1
50021	Almochuel	No es zona montañosa	Zona desfavorecida	32
50022	Almolda (La)	No es zona montañosa	Zona desfavorecida	131,3
50023	Almonacid de la Cuba	No es zona montañosa	Zona desfavorecida	55,2
50024	Almonacid de la Sierra	No es zona montañosa	Zona desfavorecida	54,1
50025	Almunia de Doña Godina (La)	No es zona montañosa	Zona desfavorecida	56,7
50026	Alpartir	No es zona montañosa	Zona desfavorecida	27,1
50027	Ambel	No es zona montañosa	No es zona desfavorecida	61,5
50028	Anento	No es zona montañosa	Zona desfavorecida	21,5
50029	Aniñón	No es zona montañosa	Zona desfavorecida	52,5
50030	Añón de Moncayo	Moncayo	No es zona desfavorecida	64,2
50031	Aranda de Moncayo	No es zona montañosa	Zona desfavorecida	91,2
50032	Arándiga	No es zona montañosa	Zona desfavorecida	50,2
50033	Ardisa	No es zona montañosa	No es zona desfavorecida	27,3
50034	Ariza	No es zona montañosa	Zona desfavorecida	103,1
50035	Artieda	Pirineos	No es zona desfavorecida	13,6
50036	Asín	No es zona montañosa	No es zona desfavorecida	18,5
50037	Atea	No es zona montañosa	Zona desfavorecida	34,7
50038	Ateca	No es zona montañosa	Zona desfavorecida	84,7
50039	Azuara	No es zona montañosa	Zona desfavorecida	165,8
50040	Badules	No es zona montañosa	Zona desfavorecida	20,1
50041	Bagüés	Pirineos	No es zona desfavorecida	30,7
50042	Balconchán	No es zona montañosa	Zona desfavorecida	19,4
50043	Bárboles	No es zona montañosa	No es zona desfavorecida	15,7
50044	Bardallur	No es zona montañosa	No es zona desfavorecida	27,3
50045	Belchite	No es zona montañosa	Zona desfavorecida	273,7
50046	Belmonte de Gracián	No es zona montañosa	Zona desfavorecida	43,7
50047	Berdejo	No es zona montañosa	Zona desfavorecida	19,4
50048	Berrueco	No es zona montañosa	Zona desfavorecida	19,5
50050	Bijuesca	No es zona montañosa	Zona desfavorecida	57,1
50051	Biota	No es zona montañosa	No es zona desfavorecida	128,8
50052	Bisimbre	No es zona montañosa	No es zona desfavorecida	11,2
50053	Boquiñeni	No es zona montañosa	No es zona desfavorecida	18,9
50054	Bordalba	No es zona montañosa	Zona desfavorecida	41,6
50055	Borja	No es zona montañosa	No es zona desfavorecida	107,3
50056	Botorrita	No es zona montañosa	No es zona desfavorecida	19,8
50057	Brea de Aragón	No es zona montañosa	Zona desfavorecida	13,4
50058	Bubierca	No es zona montañosa	Zona desfavorecida	29,5
50059	Bujaraloz	No es zona montañosa	Zona desfavorecida	120,9
50060	Bulbuente	No es zona montañosa	No es zona desfavorecida	25,4
50061	Bureta	No es zona montañosa	No es zona desfavorecida	11,9
50062	Burgo de Ebro (El)	No es zona montañosa	No es zona desfavorecida	24,9
50063	Buste (El)	No es zona montañosa	No es zona desfavorecida	7,6
50064	Cabañas de Ebro	No es zona montañosa	No es zona desfavorecida	8,5
50065	Cabolafuente	No es zona montañosa	Zona desfavorecida	39,2
50066	Cadrete	No es zona montañosa	No es zona desfavorecida	11,9
50067	Calatayud	No es zona montañosa	Zona desfavorecida	154,2
50068	Calatorao	No es zona montañosa	Zona desfavorecida	48,1
50069	Calcena	Moncayo	No es zona desfavorecida	64,7
50070	Calmarza	No es zona montañosa	Zona desfavorecida	28,1
50071	Campillo de Aragón	No es zona montañosa	Zona desfavorecida	36,9
50072	Carenas	No es zona montañosa	Zona desfavorecida	31,2
50073	Cariñena	No es zona montañosa	Zona desfavorecida	82,5
50074	Caspe	No es zona montañosa	Zona desfavorecida	503,2
50075	Castejón de Alarba	No es zona montañosa	Zona desfavorecida	17,6
50076	Castejón de las Armas	No es zona montañosa	Zona desfavorecida	16,2
50077	Castejón de Valdejasa	No es zona montañosa	No es zona desfavorecida	110,1
50078	Castiliscar	No es zona montañosa	No es zona desfavorecida	40,7
50079	Cervera de la Cañada	No es zona montañosa	Zona desfavorecida	29,2
50080	Cerveruela	No es zona montañosa	Zona desfavorecida	23,5
50081	Cetina	No es zona montañosa	Zona desfavorecida	79,1
50082	Cimballa	No es zona montañosa	Zona desfavorecida	31,9
50083	Cinco Olivas	No es zona montañosa	Zona desfavorecida	2,3
50084	Clarés de Ribota	No es zona montañosa	Zona desfavorecida	18,7
50085	Codo	No es zona montañosa	Zona desfavorecida	11,4
50086	Codos	No es zona montañosa	Zona desfavorecida	62,7
50087	Contamina	No es zona montañosa	Zona desfavorecida	13,7
50088	Cosuenda	No es zona montañosa	Zona desfavorecida	31,7
50089	Cuarte de Huerva	No es zona montañosa	No es zona desfavorecida	8,9
50090	Cubel	No es zona montañosa	Zona desfavorecida	58,6
50091	Cuerlas (Las)	No es zona montañosa	Zona desfavorecida	32,6
50092	Chiprana	No es zona montañosa	Zona desfavorecida	39
50093	Chodes	No es zona montañosa	Zona desfavorecida	16
50094	Daroca	No es zona montañosa	Zona desfavorecida	52
50095	Ejea de los Caballeros	No es zona montañosa	No es zona desfavorecida	609,9
50096	Embid de Ariza	No es zona montañosa	Zona desfavorecida	41,3
50098	Encinacorba	No es zona montañosa	Zona desfavorecida	36,7
50099	Épila	No es zona montañosa	Zona desfavorecida	194,3
50100	Erla	No es zona montañosa	No es zona desfavorecida	19
50101	Escatrón	No es zona montañosa	Zona desfavorecida	94,6
50102	Fabara	No es zona montañosa	Zona desfavorecida	101,6
50104	Farlete	No es zona montañosa	No es zona desfavorecida	104,1
50105	Fayón	No es zona montañosa	Zona desfavorecida	67,2
50106	Fayos (Los)	No es zona montañosa	No es zona desfavorecida	3,9
50107	Figueruelas	No es zona montañosa	No es zona desfavorecida	17
50108	Fombuena	No es zona montañosa	Zona desfavorecida	26,4
50109	Frago (El)	No es zona montañosa	No es zona desfavorecida	33,8
50110	Frasno (El)	No es zona montañosa	Zona desfavorecida	48,6
50111	Fréscano	No es zona montañosa	No es zona desfavorecida	18,4
50113	Fuendejalón	No es zona montañosa	No es zona desfavorecida	75,8
50114	Fuendetodos	No es zona montañosa	Zona desfavorecida	62,2
50115	Fuentes de Ebro	No es zona montañosa	No es zona desfavorecida	141,7
50116	Fuentes de Jiloca	No es zona montañosa	Zona desfavorecida	27,4
50117	Gallocanta	No es zona montañosa	Zona desfavorecida	29,7
50118	Gallur	No es zona montañosa	No es zona desfavorecida	41,7
50119	Gelsa	No es zona montañosa	No es zona desfavorecida	72
50120	Godojos	No es zona montañosa	Zona desfavorecida	16,8
50121	Gotor	No es zona montañosa	Zona desfavorecida	15,5
50122	Grisel	Moncayo	No es zona desfavorecida	14,5
50123	Grisén	No es zona montañosa	No es zona desfavorecida	4,8
50124	Herrera de los Navarros	No es zona montañosa	Zona desfavorecida	105
50125	Ibdes	No es zona montañosa	Zona desfavorecida	56,3
50126	Illueca	No es zona montañosa	Zona desfavorecida	24,9
50128	Isuerre	Pirineos	No es zona desfavorecida	20,1
50129	Jaraba	No es zona montañosa	Zona desfavorecida	42,8
50130	Jarque de Moncayo	No es zona montañosa	Zona desfavorecida	43
50131	Jaulín	No es zona montañosa	No es zona desfavorecida	46,1
50132	Joyosa (La)	No es zona montañosa	No es zona desfavorecida	6,5
50133	Lagata	No es zona montañosa	Zona desfavorecida	23,7
50134	Langa del Castillo	No es zona montañosa	Zona desfavorecida	50,1
50135	Layana	No es zona montañosa	Zona desfavorecida	3,7
50136	Lécera	No es zona montañosa	Zona desfavorecida	109,2
50137	Leciñena	No es zona montañosa	No es zona desfavorecida	178,6
50138	Lechón	No es zona montañosa	Zona desfavorecida	17,5
50139	Letux	No es zona montañosa	Zona desfavorecida	30,1
50140	Litago	Moncayo	No es zona desfavorecida	15,3
50141	Lituénigo	No es zona montañosa	No es zona desfavorecida	11,4
50142	Lobera de Onsella	Pirineos	No es zona desfavorecida	32,2
50143	Longares	No es zona montañosa	Zona desfavorecida	46
50144	Longás	Pirineos	No es zona desfavorecida	49,2
50146	Lucena de Jalón	No es zona montañosa	Zona desfavorecida	10,3
50147	Luceni	No es zona montañosa	No es zona desfavorecida	27,1
50148	Luesia	Pirineos	No es zona desfavorecida	126,8
50149	Luesma	No es zona montañosa	Zona desfavorecida	29,4
50150	Lumpiaque	No es zona montañosa	Zona desfavorecida	29,5
50151	Luna	No es zona montañosa	No es zona desfavorecida	308,9
50152	Maella	No es zona montañosa	Zona desfavorecida	174,9
50153	Magallón	No es zona montañosa	No es zona desfavorecida	78,6
50154	Mainar	No es zona montañosa	Zona desfavorecida	34
50155	Malanquilla	No es zona montañosa	Zona desfavorecida	36,6
50156	Maleján	No es zona montañosa	No es zona desfavorecida	0,1
50157	Malón	No es zona montañosa	No es zona desfavorecida	5,7
50159	Maluenda	No es zona montañosa	Zona desfavorecida	40,1
50160	Mallén	No es zona montañosa	No es zona desfavorecida	37,4
50161	Manchones	No es zona montañosa	Zona desfavorecida	26,8
50162	Mara	No es zona montañosa	Zona desfavorecida	21,1
50163	María de Huerva	No es zona montañosa	No es zona desfavorecida	108,1
50164	Mediana de Aragón	No es zona montañosa	No es zona desfavorecida	90,6
50165	Mequinenza	No es zona montañosa	Zona desfavorecida	307,2
50166	Mesones de Isuela	No es zona montañosa	Zona desfavorecida	48,5
50167	Mezalocha	No es zona montañosa	Zona desfavorecida	60,6
50168	Mianos	Pirineos	No es zona desfavorecida	14,8
50169	Miedes de Aragón	No es zona montañosa	Zona desfavorecida	55,4
50170	Monegrillo	No es zona montañosa	No es zona desfavorecida	183,2
50171	Moneva	No es zona montañosa	Zona desfavorecida	61,4
50172	Monreal de Ariza	No es zona montañosa	Zona desfavorecida	62,1
50173	Monterde	No es zona montañosa	Zona desfavorecida	55,9
50174	Montón	No es zona montañosa	Zona desfavorecida	17,6
50175	Morata de Jalón	No es zona montañosa	Zona desfavorecida	45,9
50176	Morata de Jiloca	No es zona montañosa	Zona desfavorecida	23,1
50177	Morés	No es zona montañosa	Zona desfavorecida	21,5
50178	Moros	No es zona montañosa	Zona desfavorecida	53,5
50179	Moyuela	No es zona montañosa	Zona desfavorecida	42,8
50180	Mozota	No es zona montañosa	No es zona desfavorecida	8,7
50181	Muel	No es zona montañosa	Zona desfavorecida	79,2
50182	Muela (La)	No es zona montañosa	No es zona desfavorecida	143,5
50183	Munébrega	No es zona montañosa	Zona desfavorecida	41
50184	Murero	No es zona montañosa	Zona desfavorecida	18,2
50185	Murillo de Gállego	No es zona montañosa	No es zona desfavorecida	54,7
50186	Navardún	No es zona montañosa	Zona desfavorecida	24,5
50187	Nigüella	No es zona montañosa	Zona desfavorecida	30,4
50188	Nombrevilla	No es zona montañosa	Zona desfavorecida	17,6
50189	Nonaspe	No es zona montañosa	Zona desfavorecida	111,4
50190	Novallas	No es zona montañosa	No es zona desfavorecida	11,4
50191	Novillas	No es zona montañosa	No es zona desfavorecida	25,3
50192	Nuévalos	No es zona montañosa	Zona desfavorecida	41,8
50193	Nuez de Ebro	No es zona montañosa	No es zona desfavorecida	8,2
50194	Olvés	No es zona montañosa	Zona desfavorecida	20,2
50195	Orcajo	No es zona montañosa	Zona desfavorecida	28,4
50196	Orera	No es zona montañosa	Zona desfavorecida	19,8
50197	Orés	No es zona montañosa	No es zona desfavorecida	54,5
50198	Oseja	Moncayo	No es zona desfavorecida	12,5
50199	Osera de Ebro	No es zona montañosa	No es zona desfavorecida	24,6
50200	Paniza	No es zona montañosa	Zona desfavorecida	47,3
50201	Paracuellos de Jiloca	No es zona montañosa	Zona desfavorecida	32
50202	Paracuellos de la Ribera	No es zona montañosa	Zona desfavorecida	15
50203	Pastriz	No es zona montañosa	No es zona desfavorecida	16,5
50204	Pedrola	No es zona montañosa	No es zona desfavorecida	113,7
50205	Pedrosas (Las)	No es zona montañosa	No es zona desfavorecida	18,3
50206	Perdiguera	No es zona montañosa	No es zona desfavorecida	109,8
50207	Piedratajada	No es zona montañosa	No es zona desfavorecida	22,5
50208	Pina de Ebro	No es zona montañosa	No es zona desfavorecida	309,2
50209	Pinseque	No es zona montañosa	No es zona desfavorecida	16,1
50210	Pintanos (Los)	Pirineos	No es zona desfavorecida	79,6
50211	Plasencia de Jalón	No es zona montañosa	Zona desfavorecida	34,8
50212	Pleitas	No es zona montañosa	No es zona desfavorecida	2,1
50213	Plenas	No es zona montañosa	Zona desfavorecida	37,9
50214	Pomer	Moncayo	No es zona desfavorecida	33,1
50215	Pozuel de Ariza	No es zona montañosa	Zona desfavorecida	22,6
50216	Pozuelo de Aragón	No es zona montañosa	No es zona desfavorecida	32,1
50217	Pradilla de Ebro	No es zona montañosa	No es zona desfavorecida	25,4
50218	Puebla de Albortón	No es zona montañosa	Zona desfavorecida	76,3
50219	Puebla de Alfindén (La)	No es zona montañosa	No es zona desfavorecida	17
50220	Puendeluna	No es zona montañosa	No es zona desfavorecida	9,9
50221	Purujosa	Moncayo	No es zona desfavorecida	35,4
50222	Quinto	No es zona montañosa	No es zona desfavorecida	118,3
50223	Remolinos	No es zona montañosa	No es zona desfavorecida	18,5
50224	Retascón	No es zona montañosa	Zona desfavorecida	25,2
50225	Ricla	No es zona montañosa	Zona desfavorecida	90,7
50227	Romanos	No es zona montañosa	Zona desfavorecida	19,5
50228	Rueda de Jalón	No es zona montañosa	Zona desfavorecida	107,4
50229	Ruesca	No es zona montañosa	Zona desfavorecida	11,6
50230	Sádaba	No es zona montañosa	No es zona desfavorecida	129,5
50231	Salillas de Jalón	No es zona montañosa	Zona desfavorecida	2,5
50232	Salvatierra de Esca	Pirineos	No es zona desfavorecida	81,2
50233	Samper del Salz	No es zona montañosa	Zona desfavorecida	11,5
50234	San Martín de la Virgen de Moncayo	Moncayo	No es zona desfavorecida	5,4
50235	San Mateo de Gállego	No es zona montañosa	No es zona desfavorecida	71,6
50236	Santa Cruz de Grío	No es zona montañosa	Zona desfavorecida	19,5
50237	Santa Cruz de Moncayo	No es zona montañosa	No es zona desfavorecida	4
50238	Santa Eulalia de Gállego	No es zona montañosa	No es zona desfavorecida	29,6
50239	Santed	No es zona montañosa	Zona desfavorecida	17,8
50240	Sástago	No es zona montañosa	Zona desfavorecida	301
50241	Saviñán	No es zona montañosa	Zona desfavorecida	15,5
50242	Sediles	No es zona montañosa	Zona desfavorecida	11,7
50243	Sestrica	No es zona montañosa	Zona desfavorecida	40,9
50244	Sierra de Luna	No es zona montañosa	No es zona desfavorecida	43,4
50245	Sigüés	Pirineos	No es zona desfavorecida	101,8
50246	Sisamón	No es zona montañosa	Zona desfavorecida	41,6
50247	Sobradiel	No es zona montañosa	No es zona desfavorecida	12,1
50248	Sos del Rey Católico	Pirineos	No es zona desfavorecida	216,6
50249	Tabuenca	No es zona montañosa	No es zona desfavorecida	85,7
50250	Talamantes	Moncayo	No es zona desfavorecida	46,9
50251	Tarazona	No es zona montañosa	No es zona desfavorecida	244
50252	Tauste	No es zona montañosa	No es zona desfavorecida	405,2
50253	Terrer	No es zona montañosa	Zona desfavorecida	33,8
50254	Tierga	No es zona montañosa	Zona desfavorecida	66,1
50255	Tobed	No es zona montañosa	Zona desfavorecida	37,9
50256	Torralba de los Frailes	No es zona montañosa	Zona desfavorecida	59,2
50257	Torralba de Ribota	No es zona montañosa	Zona desfavorecida	32,5
50258	Torralbilla	No es zona montañosa	Zona desfavorecida	25,9
50259	Torrehermosa	No es zona montañosa	Zona desfavorecida	21,1
50260	Torrelapaja	No es zona montañosa	Zona desfavorecida	15,7
50261	Torrellas	No es zona montañosa	No es zona desfavorecida	2,5
50262	Torres de Berrellén	No es zona montañosa	No es zona desfavorecida	53,8
50263	Torrijo de la Cañada	No es zona montañosa	Zona desfavorecida	74,6
50264	Tosos	No es zona montañosa	Zona desfavorecida	68,6
50265	Trasmoz	No es zona montañosa	No es zona desfavorecida	18,3
50266	Trasobares	Moncayo	No es zona desfavorecida	71,8
50267	Uncastillo	Pirineos	No es zona desfavorecida	230,9
50268	Undués de Lerda	Pirineos	No es zona desfavorecida	43
50269	Urrea de Jalón	No es zona montañosa	Zona desfavorecida	25,6
50270	Urriés	Pirineos	No es zona desfavorecida	37,3
50271	Used	No es zona montañosa	Zona desfavorecida	85,3
50272	Utebo	No es zona montañosa	No es zona desfavorecida	17,7
50273	Valdehorna	No es zona montañosa	Zona desfavorecida	7,9
50274	Val de San Martín	No es zona montañosa	Zona desfavorecida	25,7
50275	Valmadrid	No es zona montañosa	Zona desfavorecida	50,6
50276	Valpalmas	No es zona montañosa	No es zona desfavorecida	39,8
50277	Valtorres	No es zona montañosa	Zona desfavorecida	3,3
50278	Velilla de Ebro	No es zona montañosa	No es zona desfavorecida	59,8
50279	Velilla de Jiloca	No es zona montañosa	Zona desfavorecida	10,4
50280	Vera de Moncayo	No es zona montañosa	No es zona desfavorecida	27,7
50281	Vierlas	No es zona montañosa	No es zona desfavorecida	2,7
50282	Vilueña (La)	No es zona montañosa	Zona desfavorecida	8,6
50283	Villadoz	No es zona montañosa	Zona desfavorecida	17,2
50284	Villafeliche	No es zona montañosa	Zona desfavorecida	22,5
50285	Villafranca de Ebro	No es zona montañosa	No es zona desfavorecida	63,6
50286	Villalba de Perejil	No es zona montañosa	Zona desfavorecida	13,3
50287	Villalengua	No es zona montañosa	Zona desfavorecida	40,2
50288	Villanueva de Gállego	No es zona montañosa	No es zona desfavorecida	76
50289	Villanueva de Jiloca	No es zona montañosa	Zona desfavorecida	7,3
50290	Villanueva de Huerva	No es zona montañosa	Zona desfavorecida	78,4
50291	Villar de los Navarros	No es zona montañosa	Zona desfavorecida	49,5
50292	Villarreal de Huerva	No es zona montañosa	Zona desfavorecida	27,1
50293	Villarroya de la Sierra	No es zona montañosa	Zona desfavorecida	91,6
50294	Villarroya del Campo	No es zona montañosa	Zona desfavorecida	16,9
50295	Vistabella	No es zona montañosa	Zona desfavorecida	21,8
50296	Zaida (La)	No es zona montañosa	Zona desfavorecida	17,3
50297	Zaragoza	No es zona montañosa	No es zona desfavorecida	973,7
50298	Zuera	No es zona montañosa	No es zona desfavorecida	332,2
50901	Biel	Pirineos	No es zona desfavorecida	130,7
50902	Marracos	No es zona montañosa	No es zona desfavorecida	17,1
50903	Villamayor de Gállego	No es zona montañosa	No es zona desfavorecida	89,4
