Año	Provincia	Municipio	Entidad singular	Núcleo/diseminado	Personas
2019	22-Huesca	22015-Alcalá del Obispo	220150003 - Ola	22015000301 - Ola	32
2019	22-Huesca	22015-Alcalá del Obispo	220150004 - Pueyo de Fañanás	22015000401 - Pueyo de Fañanás	72
2019	22-Huesca	22015-Alcalá del Obispo	220150004 - Pueyo de Fañanás	22015000499 - *Diseminado*	3
2019	22-Huesca	22016-Alcampell	220160001 - Alcampell	22016000101 - Alcampell	615
2019	22-Huesca	22016-Alcampell	220160001 - Alcampell	22016000199 - *Diseminado*	16
2019	22-Huesca	22017-Alcolea de Cinca	220170001 - Alcolea de Cinca	22017000101 - Alcolea de Cinca	1068
2019	22-Huesca	22017-Alcolea de Cinca	220170001 - Alcolea de Cinca	22017000199 - *Diseminado*	87
2019	22-Huesca	22018-Alcubierre	220180001 - Alcubierre	22018000101 - Alcubierre	360
2019	22-Huesca	22019-Alerre	220190001 - Alerre	22019000101 - Alerre	199
2019	22-Huesca	22020-Alfántega	220200001 - Alfántega	22020000101 - Alfántega	130
2019	22-Huesca	22021-Almudévar	220210001 - Almudévar	22021000101 - Almudévar	2078
2019	22-Huesca	22021-Almudévar	220210001 - Almudévar	22021000199 - *Diseminado*	2
2019	22-Huesca	22021-Almudévar	220210002 - Artasona del Llano	22021000201 - Artasona del Llano	81
2019	22-Huesca	22021-Almudévar	220210003 - San Jorge	22021000301 - San Jorge	104
2019	22-Huesca	22021-Almudévar	220210003 - San Jorge	22021000399 - *Diseminado*	10
2019	22-Huesca	22021-Almudévar	220210004 - Valsalada	22021000401 - Valsalada	103
2019	22-Huesca	22021-Almudévar	220210004 - Valsalada	22021000499 - *Diseminado*	1
2019	22-Huesca	22022-Almunia de San Juan	220220001 - Almunia de San Juan	22022000101 - Almunia de San Juan	637
2019	22-Huesca	22022-Almunia de San Juan	220220001 - Almunia de San Juan	22022000199 - *Diseminado*	15
2019	22-Huesca	22022-Almunia de San Juan	220220002 - Ariéstolas	22022000201 - Ariéstolas	6
2019	22-Huesca	22023-Almuniente	220230001 - Almuniente	22023000101 - Almuniente	148
2019	22-Huesca	22023-Almuniente	220230001 - Almuniente	22023000199 - *Diseminado*	3
2019	22-Huesca	22023-Almuniente	220230002 - Frula	22023000201 - Frula	303
2019	22-Huesca	22023-Almuniente	220230002 - Frula	22023000299 - *Diseminado*	6
2019	22-Huesca	22024-Alquézar	220240001 - Alquézar	22024000101 - Alquézar	207
2019	22-Huesca	22024-Alquézar	220240001 - Alquézar	22024000199 - *Diseminado*	23
2019	22-Huesca	22024-Alquézar	220240002 - Radiquero	22024000201 - Radiquero	67
2019	22-Huesca	22024-Alquézar	220240002 - Radiquero	22024000299 - *Diseminado*	1
2019	22-Huesca	22024-Alquézar	220240003 - San Pelegrín	22024000399 - *Diseminado*	5
2019	22-Huesca	22025-Altorricón	220250001 - Altorricón	22025000101 - Altorricón	1307
2019	22-Huesca	22025-Altorricón	220250001 - Altorricón	22025000199 - *Diseminado*	110
2019	22-Huesca	22027-Angüés	220270001 - Angüés	22027000101 - Angüés	236
2019	22-Huesca	22027-Angüés	220270001 - Angüés	22027000199 - *Diseminado*	1
2019	22-Huesca	22027-Angüés	220270002 - Bespén	22027000201 - Bespén	63
2019	22-Huesca	22027-Angüés	220270003 - Velillas	22027000301 - Velillas	54
2019	22-Huesca	22028-Ansó	220280001 - Ansó	22028000101 - Ansó	401
2019	22-Huesca	22028-Ansó	220280001 - Ansó	22028000199 - *Diseminado*	4
2019	22-Huesca	22029-Antillón	220290001 - Antillón	22029000101 - Antillón	140
2019	22-Huesca	22032-Aragüés del Puerto	220320001 - Aragüés del Puerto	22032000101 - Aragüés del Puerto	111
2019	22-Huesca	22032-Aragüés del Puerto	220320001 - Aragüés del Puerto	22032000199 - *Diseminado*	4
2019	22-Huesca	22035-Arén	220350001 - Arén	22035000101 - Arén	211
2019	22-Huesca	22035-Arén	220350001 - Arén	22035000199 - *Diseminado*	4
2019	22-Huesca	22035-Arén	220350003 - Betesa	22035000301 - Betesa	2
2019	22-Huesca	22035-Arén	220350004 - Campamento	22035000499 - *Diseminado*	27
2019	22-Huesca	22035-Arén	220350005 - Casa Consistorial	22035000599 - *Diseminado*	12
2019	22-Huesca	22035-Arén	220350006 - Molinos (Los)	22035000699 - *Diseminado*	3
2019	22-Huesca	22035-Arén	220350007 - Puimolar	22035000799 - *Diseminado*	2
2019	22-Huesca	22035-Arén	220350008 - Rivera de Vall	22035000899 - *Diseminado*	5
2019	22-Huesca	22035-Arén	220350009 - San Martín	22035000999 - *Diseminado*	4
2019	22-Huesca	22035-Arén	220350010 - Sas (El)	22035001099 - *Diseminado*	17
2019	22-Huesca	22035-Arén	220350011 - Sobrecastell	22035001199 - *Diseminado*	26
2019	22-Huesca	22036-Argavieso	220360001 - Argavieso	22036000101 - Argavieso	93
2019	22-Huesca	22036-Argavieso	220360001 - Argavieso	22036000199 - *Diseminado*	2
2019	22-Huesca	22037-Arguis	220370001 - Arguis	22037000101 - Arguis	105
2019	22-Huesca	22037-Arguis	220370001 - Arguis	22037000199 - *Diseminado*	18
2019	22-Huesca	22037-Arguis	220370002 - Bentué de Rasal	22037000201 - Bentué de Rasal	4
2019	22-Huesca	22039-Ayerbe	220390001 - Ayerbe	22039000101 - Ayerbe	936
2019	22-Huesca	22039-Ayerbe	220390001 - Ayerbe	22039000199 - *Diseminado*	13
2019	22-Huesca	22039-Ayerbe	220390002 - Fontellas	22039000201 - Fontellas	16
2019	22-Huesca	22039-Ayerbe	220390003 - Losanglis	22039000301 - Losanglis	44
2019	22-Huesca	22040-Azanuy-Alins	220400001 - Alins del Monte	22040000101 - Alins del Monte	5
2019	22-Huesca	22040-Azanuy-Alins	220400001 - Alins del Monte	22040000199 - *Diseminado*	1
2019	22-Huesca	22040-Azanuy-Alins	220400002 - Azanuy	22040000201 - Azanuy	158
2019	22-Huesca	22040-Azanuy-Alins	220400002 - Azanuy	22040000299 - *Diseminado*	4
2019	22-Huesca	22041-Azara	220410001 - Azara	22041000101 - Azara	169
2019	22-Huesca	22041-Azara	220410001 - Azara	22041000199 - *Diseminado*	2
2019	22-Huesca	22042-Azlor	220420001 - Azlor	22042000101 - Azlor	141
2019	22-Huesca	22042-Azlor	220420001 - Azlor	22042000199 - *Diseminado*	2
2019	22-Huesca	22043-Baells	220430001 - Baells	22043000101 - Baells	62
2019	22-Huesca	22043-Baells	220430002 - Nacha	22043000201 - Nacha	37
2019	22-Huesca	22043-Baells	220430003 - Zurita	22043000399 - *Diseminado*	5
2019	22-Huesca	22044-Bailo	220440001 - Alastuey	22044000101 - Alastuey	16
2019	22-Huesca	22044-Bailo	220440002 - Arbués	22044000201 - Arbués	11
2019	22-Huesca	22044-Bailo	220440003 - Arrés	22044000301 - Arrés	42
2019	22-Huesca	22044-Bailo	220440004 - Bailo	22044000401 - Bailo	135
2019	22-Huesca	22044-Bailo	220440005 - Larués	22044000501 - Larués	63
2019	22-Huesca	22045-Baldellou	220450001 - Baldellou	22045000101 - Baldellou	76
2019	22-Huesca	22046-Ballobar	220460001 - Ballobar	22046000101 - Ballobar	806
2019	22-Huesca	22046-Ballobar	220460001 - Ballobar	22046000199 - *Diseminado*	6
2019	22-Huesca	22047-Banastás	220470001 - Banastás	22047000101 - Banastás	293
2019	22-Huesca	22047-Banastás	220470001 - Banastás	22047000199 - *Diseminado*	2
2019	22-Huesca	22048-Barbastro	220480001 - Barbastro	22048000101 - Barbastro	16587
2019	22-Huesca	22048-Barbastro	220480001 - Barbastro	22048000199 - *Diseminado*	319
2019	22-Huesca	22048-Barbastro	220480002 - Burceat	22048000201 - Burceat	19
2019	22-Huesca	22048-Barbastro	220480003 - Cregenzán	22048000301 - Cregenzán	54
2019	22-Huesca	22049-Barbués	220490001 - Barbués	22049000101 - Barbués	78
2019	22-Huesca	22050-Barbuñales	220500001 - Barbuñales	22050000101 - Barbuñales	96
2019	22-Huesca	22051-Bárcabo	220510001 - Almazorre	22051000101 - Almazorre	21
2019	22-Huesca	22051-Bárcabo	220510002 - Bárcabo	22051000201 - Bárcabo	27
2019	22-Huesca	22051-Bárcabo	220510003 - Betorz	22051000301 - Betorz	15
2019	22-Huesca	22051-Bárcabo	220510004 - Eripol	22051000401 - Eripol	10
2019	22-Huesca	22051-Bárcabo	220510005 - Hospitaled	22051000501 - Hospitaled	8
2019	22-Huesca	22051-Bárcabo	220510006 - Lecina	22051000601 - Lecina	13
2019	22-Huesca	22051-Bárcabo	220510007 - Santa María de la Nuez	22051000701 - Santa María de la Nuez	6
2019	22-Huesca	22051-Bárcabo	220510008 - Suelves	22051000801 - Suelves	3
2019	22-Huesca	22052-Belver de Cinca	220520001 - Belver de Cinca	22052000101 - Belver de Cinca	1249
2019	22-Huesca	22052-Belver de Cinca	220520002 - Monte Julia	22052000201 - Monte Julia	19
2019	22-Huesca	22052-Belver de Cinca	220520003 - San Miguel	22052000301 - San Miguel	5
2019	22-Huesca	22052-Belver de Cinca	220520004 - Valonga	22052000401 - Valonga	2
2019	22-Huesca	22053-Benabarre	220530001 - Aler	22053000101 - Aler	34
2019	22-Huesca	22053-Benabarre	220530001 - Aler	22053000199 - *Diseminado*	7
2019	22-Huesca	22053-Benabarre	220530002 - Antenza	22053000201 - Antenza	10
2019	22-Huesca	22053-Benabarre	220530003 - Benabarre	22053000301 - Benabarre	900
2019	22-Huesca	22053-Benabarre	220530003 - Benabarre	22053000399 - *Diseminado*	33
2019	22-Huesca	22053-Benabarre	220530004 - Caladrones	22053000401 - Caladrones	45
2019	22-Huesca	22053-Benabarre	220530005 - Castillo del Pla	22053000501 - Castillo del Pla	11
2019	22-Huesca	22053-Benabarre	220530005 - Castillo del Pla	22053000599 - *Diseminado*	8
2019	22-Huesca	22053-Benabarre	220530006 - Ciscar	22053000601 - Ciscar	14
2019	22-Huesca	22053-Benabarre	220530007 - Estaña	22053000701 - Estaña	6
2019	22-Huesca	22053-Benabarre	220530008 - Pilzán	22053000801 - Pilzán	5
2019	22-Huesca	22053-Benabarre	220530008 - Pilzán	22053000899 - *Diseminado*	5
2019	22-Huesca	22053-Benabarre	220530009 - Purroy de la Solana	22053000901 - Purroy de la Solana	39
2019	22-Huesca	22053-Benabarre	220530009 - Purroy de la Solana	22053000902 - Purroy viejo	1
2019	22-Huesca	22053-Benabarre	220530009 - Purroy de la Solana	22053000999 - *Diseminado*	6
2019	22-Huesca	22054-Benasque	220540001 - Anciles	22054000101 - Anciles	175
2019	22-Huesca	22054-Benasque	220540001 - Anciles	22054000199 - *Diseminado*	3
2019	22-Huesca	22054-Benasque	220540002 - Benasque	22054000201 - Benasque	1627
2019	22-Huesca	22054-Benasque	220540002 - Benasque	22054000299 - *Diseminado*	29
2019	22-Huesca	22054-Benasque	220540003 - Cerler	22054000301 - Cerler	313
2019	22-Huesca	22054-Benasque	220540003 - Cerler	22054000399 - *Diseminado*	8
2019	22-Huesca	22055-Berbegal	220550001 - Berbegal	22055000101 - Berbegal	347
2019	22-Huesca	22057-Bielsa	220570001 - Bielsa	22057000101 - Bielsa	294
2019	22-Huesca	22057-Bielsa	220570002 - Chisagüés	22057000201 - Chisagüés	13
2019	22-Huesca	22057-Bielsa	220570003 - Espierba	22057000301 - Espierba	10
2019	22-Huesca	22057-Bielsa	220570003 - Espierba	22057000399 - *Diseminado*	30
2019	22-Huesca	22057-Bielsa	220570004 - Javierre	22057000401 - Javierre	42
2019	22-Huesca	22057-Bielsa	220570004 - Javierre	22057000499 - *Diseminado*	5
2019	22-Huesca	22057-Bielsa	220570005 - Parzán	22057000501 - Parzán	55
2019	22-Huesca	22057-Bielsa	220570005 - Parzán	22057000599 - *Diseminado*	4
2019	22-Huesca	22057-Bielsa	220570006 - Salinas de Bielsa	22057000601 - Salinas de Bielsa	4
2019	22-Huesca	22058-Bierge	220580001 - Almunias de Rodellar (Las)	22058000101 - Almunias de Rodellar (Las)	15
2019	22-Huesca	22058-Bierge	220580002 - Bierge	22058000201 - Bierge	147
2019	22-Huesca	22058-Bierge	220580002 - Bierge	22058000299 - *Diseminado*	1
2019	22-Huesca	22058-Bierge	220580003 - Morrano	22058000301 - Morrano	9
2019	22-Huesca	22058-Bierge	220580004 - Rodellar	22058000401 - Rodellar	43
2019	22-Huesca	22058-Bierge	220580005 - Pedruel	22058000501 - Pedruel	5
2019	22-Huesca	22058-Bierge	220580007 - San Román	22058000799 - *Diseminado*	5
2019	22-Huesca	22058-Bierge	220580009 - Yaso	22058000901 - Yaso	14
2019	22-Huesca	22059-Biescas	220590001 - Aso de Sobremonte	22059000101 - Aso de Sobremonte	32
2019	22-Huesca	22059-Biescas	220590002 - Barbenuta	22059000201 - Barbenuta	6
2019	22-Huesca	22059-Biescas	220590003 - Betés de Sobremonte	22059000301 - Betés de Sobremonte	13
2019	22-Huesca	22059-Biescas	220590004 - Biescas	22059000401 - Biescas	1123
2019	22-Huesca	22059-Biescas	220590004 - Biescas	22059000499 - *Diseminado*	1
2019	22-Huesca	22059-Biescas	220590005 - Escuer	22059000501 - Escuer	35
2019	22-Huesca	22059-Biescas	220590006 - Espierre	22059000601 - Espierre	4
2019	22-Huesca	22059-Biescas	220590007 - Gavín	22059000701 - Gavín	95
2019	22-Huesca	22059-Biescas	220590008 - Javierre del Obispo	22059000801 - Javierre del Obispo	16
2019	22-Huesca	22059-Biescas	220590009 - Oliván	22059000901 - Oliván	30
2019	22-Huesca	22059-Biescas	220590010 - Orós Alto	22059001001 - Orós Alto	20
2019	22-Huesca	22059-Biescas	220590011 - Orós Bajo	22059001101 - Orós Bajo	22
2019	22-Huesca	22059-Biescas	220590012 - Piedrafita de Jaca	22059001201 - Piedrafita de Jaca	38
2019	22-Huesca	22059-Biescas	220590013 - Yosa de Sobremonte	22059001301 - Yosa de Sobremonte	28
2019	22-Huesca	22060-Binaced	220600001 - Binaced	22060000101 - Binaced	1395
2019	22-Huesca	22060-Binaced	220600001 - Binaced	22060000199 - *Diseminado*	11
2019	22-Huesca	22060-Binaced	220600002 - Valcarca	22060000201 - Valcarca	169
2019	22-Huesca	22061-Binéfar	220610001 - Binéfar	22061000101 - Binéfar	9312
2019	22-Huesca	22061-Binéfar	220610001 - Binéfar	22061000199 - *Diseminado*	249
2019	22-Huesca	22062-Bisaurri	220620001 - Arasán	22062000101 - Arasán	23
2019	22-Huesca	22062-Bisaurri	220620002 - Bisaurri	22062000201 - Bisaurri	58
2019	22-Huesca	22062-Bisaurri	220620002 - Bisaurri	22062000299 - *Diseminado*	5
2019	22-Huesca	22062-Bisaurri	220620003 - Gabás	22062000301 - Gabás	27
2019	22-Huesca	22062-Bisaurri	220620004 - San Feliu de Veri	22062000401 - San Feliu de Veri	6
2019	22-Huesca	22062-Bisaurri	220620004 - San Feliu de Veri	22062000499 - *Diseminado*	15
2019	22-Huesca	22062-Bisaurri	220620005 - San Martín de Veri	22062000501 - San Martín de Veri	15
2019	22-Huesca	22062-Bisaurri	220620006 - Urmella	22062000601 - Urmella	13
2019	22-Huesca	22062-Bisaurri	220620006 - Urmella	22062000699 - *Diseminado*	5
2019	22-Huesca	22063-Biscarrués	220630001 - Biscarrués	22063000101 - Biscarrués	160
2019	22-Huesca	22063-Biscarrués	220630002 - Erés	22063000201 - Erés	15
2019	22-Huesca	22063-Biscarrués	220630003 - Piedramorrera	22063000301 - Piedramorrera	7
2019	22-Huesca	22064-Blecua y Torres	220640001 - Blecua	22064000101 - Blecua	72
2019	22-Huesca	22064-Blecua y Torres	220640002 - Torres de Montes	22064000201 - Torres de Montes	110
2019	22-Huesca	22066-Boltaña	220660001 - Ascaso	22066000199 - *Diseminado*	6
2019	22-Huesca	22066-Boltaña	220660002 - Boltaña	22066000201 - Boltaña	859
2019	22-Huesca	22066-Boltaña	220660002 - Boltaña	22066000299 - *Diseminado*	3
2019	22-Huesca	22066-Boltaña	220660003 - Campodarbe	22066000399 - *Diseminado*	2
2019	22-Huesca	22066-Boltaña	220660004 - Margudgued	22066000401 - Margudgued	99
2019	22-Huesca	22066-Boltaña	220660005 - Morillo de Sampietro	22066000599 - *Diseminado*	4
2019	22-Huesca	22066-Boltaña	220660006 - Pueyo de Morcat (El)	22066000699 - *Diseminado*	5
2019	22-Huesca	22066-Boltaña	220660007 - Sieste	22066000799 - *Diseminado*	17
2019	22-Huesca	22066-Boltaña	220660008 - Valle (La)	22066000899 - *Diseminado*	9
2019	22-Huesca	22066-Boltaña	220660009 - Aguilar	22066000999 - *Diseminado*	4
2019	22-Huesca	22066-Boltaña	220660010 - Matidero	22066001099 - *Diseminado*	3
2019	22-Huesca	22066-Boltaña	220660011 - Seso	22066001199 - *Diseminado*	2
2019	22-Huesca	22066-Boltaña	220660012 - Silves	22066001299 - *Diseminado*	3
2019	22-Huesca	22067-Bonansa	220670001 - Bonansa	22067000101 - Bonansa	69
2019	22-Huesca	22067-Bonansa	220670002 - Cirés	22067000299 - *Diseminado*	4
2019	22-Huesca	22067-Bonansa	220670004 - Bibiles	22067000499 - *Diseminado*	4
2019	22-Huesca	22067-Bonansa	220670005 - Buira	22067000599 - *Diseminado*	8
2019	22-Huesca	22067-Bonansa	220670007 - Torre de Buira	22067000799 - *Diseminado*	3
2019	22-Huesca	22068-Borau	220680001 - Borau	22068000101 - Borau	74
2019	22-Huesca	22069-Broto	220690001 - Asín de Broto	22069000101 - Asín de Broto	20
2019	22-Huesca	22069-Broto	220690002 - Bergua	22069000201 - Bergua	26
2019	22-Huesca	22069-Broto	220690003 - Broto	22069000301 - Broto	262
2019	22-Huesca	22069-Broto	220690003 - Broto	22069000399 - *Diseminado*	5
2019	22-Huesca	22069-Broto	220690004 - Buesa	22069000401 - Buesa	43
2019	22-Huesca	22069-Broto	220690005 - Oto	22069000501 - Oto	69
2019	22-Huesca	22069-Broto	220690006 - Sarvisé	22069000601 - Sarvisé	97
2019	22-Huesca	22072-Caldearenas	220720001 - Anzánigo	22072000101 - Anzánigo	29
2019	22-Huesca	22072-Caldearenas	220720002 - Aquilué	22072000201 - Aquilué	18
2019	22-Huesca	22072-Caldearenas	220720003 - Caldearenas	22072000301 - Caldearenas	27
2019	22-Huesca	22072-Caldearenas	220720003 - Caldearenas	22072000399 - *Diseminado*	28
2019	22-Huesca	22072-Caldearenas	220720004 - Estallo	22072000401 - Estallo	10
2019	22-Huesca	22072-Caldearenas	220720005 - Javierrelatre	22072000501 - Javierrelatre	60
2019	22-Huesca	22072-Caldearenas	220720006 - Latre	22072000601 - Latre	20
2019	22-Huesca	22072-Caldearenas	220720007 - San Vicente	22072000701 - San Vicente	21
2019	22-Huesca	22072-Caldearenas	220720008 - Serué	22072000801 - Serué	16
2019	22-Huesca	22074-Campo	220740001 - Beleder	22074000199 - *Diseminado*	7
2019	22-Huesca	22074-Campo	220740002 - Campo	22074000201 - Campo	271
2019	22-Huesca	22075-Camporrells	220750001 - Camporrells	22075000101 - Camporrells	133
2019	22-Huesca	22075-Camporrells	220750001 - Camporrells	22075000199 - *Diseminado*	1
2019	22-Huesca	22076-Canal de Berdún	220760001 - Berdún	22076000101 - Berdún	190
2019	22-Huesca	22076-Canal de Berdún	220760001 - Berdún	22076000199 - *Diseminado*	12
2019	22-Huesca	22076-Canal de Berdún	220760002 - Biniés	22076000201 - Biniés	35
2019	22-Huesca	22076-Canal de Berdún	220760003 - Majones	22076000301 - Majones	9
2019	22-Huesca	22076-Canal de Berdún	220760004 - Martes	22076000401 - Martes	23
2019	22-Huesca	22076-Canal de Berdún	220760004 - Martes	22076000499 - *Diseminado*	3
2019	22-Huesca	22076-Canal de Berdún	220760005 - Villarreal de la Canal	22076000501 - Villarreal de la Canal	36
2019	22-Huesca	22076-Canal de Berdún	220760005 - Villarreal de la Canal	22076000599 - *Diseminado*	6
2019	22-Huesca	22077-Candasnos	220770001 - Candasnos	22077000101 - Candasnos	462
2019	22-Huesca	22078-Canfranc	220780001 - Canfranc	22078000101 - Canfranc	77
2019	22-Huesca	22078-Canfranc	220780002 - Canfranc-Estación	22078000201 - Canfranc-Estación	455
2019	22-Huesca	22078-Canfranc	220780002 - Canfranc-Estación	22078000299 - *Diseminado*	8
2019	22-Huesca	22079-Capdesaso	220790001 - Capdesaso	22079000101 - Capdesaso	198
2019	22-Huesca	22080-Capella	220800001 - Capella	22080000101 - Capella	269
2019	22-Huesca	22080-Capella	220800001 - Capella	22080000199 - *Diseminado*	4
2019	22-Huesca	22080-Capella	220800002 - Laguarres	22080000201 - Laguarres	58
2019	22-Huesca	22080-Capella	220800002 - Laguarres	22080000299 - *Diseminado*	6
2019	22-Huesca	22080-Capella	220800003 - Pociello	22080000301 - Pociello	12
2019	22-Huesca	22081-Casbas de Huesca	220810001 - Casbas de Huesca	22081000101 - Casbas de Huesca	91
2019	22-Huesca	22081-Casbas de Huesca	220810001 - Casbas de Huesca	22081000102 - Bastarás	5
2019	22-Huesca	22081-Casbas de Huesca	220810001 - Casbas de Huesca	22081000199 - *Diseminado*	3
2019	22-Huesca	22081-Casbas de Huesca	220810002 - Junzano	22081000201 - Junzano	36
2019	22-Huesca	22081-Casbas de Huesca	220810003 - Labata	22081000301 - Labata	46
2019	22-Huesca	22081-Casbas de Huesca	220810004 - Panzano	22081000402 - Panzano	20
2019	22-Huesca	22081-Casbas de Huesca	220810005 - Sieso de Huesca	22081000501 - Sieso de Huesca	58
2019	22-Huesca	22081-Casbas de Huesca	220810006 - Santa Cilia de Panzano	22081000601 - Santa Cilia de Panzano	11
2019	22-Huesca	22082-Castejón del Puente	220820001 - Castejón del Puente	22082000101 - Barrio Armentera	30
2019	22-Huesca	22082-Castejón del Puente	220820001 - Castejón del Puente	22082000102 - Castejón del Puente	284
2019	22-Huesca	22082-Castejón del Puente	220820001 - Castejón del Puente	22082000199 - *Diseminado*	4
2019	22-Huesca	22083-Castejón de Monegros	220830001 - Castejón de Monegros	22083000101 - Castejón de Monegros	522
2019	22-Huesca	22084-Castejón de Sos	220840001 - Castejón de Sos	22084000101 - Castejón de Sos	572
2019	22-Huesca	22084-Castejón de Sos	220840001 - Castejón de Sos	22084000199 - *Diseminado*	8
2019	22-Huesca	22084-Castejón de Sos	220840002 - Liri	22084000201 - Liri	41
2019	22-Huesca	22084-Castejón de Sos	220840003 - Ramastué	22084000301 - Ramastué	11
2019	22-Huesca	22084-Castejón de Sos	220840003 - Ramastué	22084000399 - *Diseminado*	3
2019	22-Huesca	22084-Castejón de Sos	220840004 - Run (El)	22084000401 - Run (El)	112
2019	22-Huesca	22085-Castelflorite	220850001 - Castelflorite	22085000101 - Castelflorite	104
2019	22-Huesca	22085-Castelflorite	220850001 - Castelflorite	22085000199 - *Diseminado*	2
2019	22-Huesca	22086-Castiello de Jaca	220860001 - Aratorés	22086000101 - Aratorés	30
2019	22-Huesca	22086-Castiello de Jaca	220860001 - Aratorés	22086000199 - *Diseminado*	5
2019	22-Huesca	22086-Castiello de Jaca	220860002 - Castiello de Jaca	22086000201 - Castiello de Jaca	201
2019	22-Huesca	22086-Castiello de Jaca	220860002 - Castiello de Jaca	22086000299 - *Diseminado*	7
2019	22-Huesca	22087-Castigaleu	220870001 - Castigaleu	22087000101 - Castigaleu	38
2019	22-Huesca	22087-Castigaleu	220870001 - Castigaleu	22087000199 - *Diseminado*	46
2019	22-Huesca	22088-Castillazuelo	220880001 - Castillazuelo	22088000101 - Castillazuelo	162
2019	22-Huesca	22089-Castillonroy	220890001 - Castillonroy	22089000101 - Castillonroy	309
2019	22-Huesca	22089-Castillonroy	220890001 - Castillonroy	22089000199 - *Diseminado*	3
2019	22-Huesca	22089-Castillonroy	220890003 - Santa Ana	22089000399 - *Diseminado*	1
2019	22-Huesca	22090-Colungo	220900001 - Asque	22090000101 - Asque	12
2019	22-Huesca	22090-Colungo	220900002 - Colungo	22090000201 - Colungo	98
2019	22-Huesca	22094-Chalamera	220940001 - Chalamera	22094000101 - Chalamera	98
2019	22-Huesca	22094-Chalamera	220940001 - Chalamera	22094000199 - *Diseminado*	8
2019	22-Huesca	22095-Chía	220950001 - Chía	22095000101 - Chía	83
2019	22-Huesca	22096-Chimillas	220960001 - Chimillas	22096000101 - Chimillas	387
2019	22-Huesca	22096-Chimillas	220960001 - Chimillas	22096000199 - *Diseminado*	6
2019	22-Huesca	22099-Esplús	220990001 - Esplús	22099000101 - Esplús	523
