Mes y año	Mes (código)	Sexo	Número de contratos	Comarca código	Comarca nombre
Septiembre 2019	201909	Mujeres	17360	17	Central
Septiembre 2019	201909	Mujeres	241	18	Ribera Baja del Ebro
Septiembre 2019	201909	Mujeres	222	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Septiembre 2019	201909	Mujeres	644	20	Comunidad de Calatayud
Septiembre 2019	201909	Mujeres	283	21	Campo de Cariñena
Septiembre 2019	201909	Mujeres	39	22	Campo de Belchite
Septiembre 2019	201909	Mujeres	72	23	Bajo Martín
Septiembre 2019	201909	Mujeres	31	24	Campo de Daroca
Septiembre 2019	201909	Mujeres	97	25	Jiloca
Septiembre 2019	201909	Mujeres	108	26	Cuencas Mineras
Septiembre 2019	201909	Mujeres	162	27	Andorra-Sierra de Arcos
Septiembre 2019	201909	Mujeres	783	28	Bajo Aragón
Septiembre 2019	201909	Mujeres	767	29	Comunidad de Teruel
Septiembre 2019	201909	Mujeres	37	30	Maestrazgo
Septiembre 2019	201909	Mujeres	49	31	Sierra de Albarracín
Septiembre 2019	201909	Mujeres	138	32	Gúdar-Javalambre
Septiembre 2019	201909	Mujeres	113	33	Matarraña / Matarranya
Agosto 2019	201908	Hombres	274	01	La Jacetania
Agosto 2019	201908	Hombres	229	02	Alto Gállego
Agosto 2019	201908	Hombres	148	03	Sobrarbe
Agosto 2019	201908	Hombres	166	04	La Ribagorza
Agosto 2019	201908	Hombres	492	05	Cinco Villas
Agosto 2019	201908	Hombres	1510	06	Hoya de Huesca / Plana de Uesca
Agosto 2019	201908	Hombres	442	07	Somontano de Barbastro
Agosto 2019	201908	Hombres	697	08	Cinca Medio
Agosto 2019	201908	Hombres	774	09	La Litera / La Llitera
Agosto 2019	201908	Hombres	201	10	Los Monegros
Agosto 2019	201908	Hombres	1169	11	Bajo Cinca / Baix Cinca
Agosto 2019	201908	Hombres	312	12	Tarazona y el Moncayo
Agosto 2019	201908	Hombres	194	13	Campo de Borja
Agosto 2019	201908	Hombres	43	14	Aranda
Agosto 2019	201908	Hombres	1332	15	Ribera Alta del Ebro
Agosto 2019	201908	Hombres	2090	16	Valdejalón
Agosto 2019	201908	Hombres	12098	17	Central
Agosto 2019	201908	Hombres	277	18	Ribera Baja del Ebro
Agosto 2019	201908	Hombres	488	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Agosto 2019	201908	Hombres	969	20	Comunidad de Calatayud
Agosto 2019	201908	Hombres	433	21	Campo de Cariñena
Agosto 2019	201908	Hombres	43	22	Campo de Belchite
Agosto 2019	201908	Hombres	106	23	Bajo Martín
Agosto 2019	201908	Hombres	49	24	Campo de Daroca
Agosto 2019	201908	Hombres	113	25	Jiloca
Agosto 2019	201908	Hombres	115	26	Cuencas Mineras
Agosto 2019	201908	Hombres	98	27	Andorra-Sierra de Arcos
Agosto 2019	201908	Hombres	373	28	Bajo Aragón
Agosto 2019	201908	Hombres	998	29	Comunidad de Teruel
Agosto 2019	201908	Hombres	29	30	Maestrazgo
Agosto 2019	201908	Hombres	77	31	Sierra de Albarracín
Agosto 2019	201908	Hombres	133	32	Gúdar-Javalambre
Agosto 2019	201908	Hombres	84	33	Matarraña / Matarranya
Agosto 2019	201908	Mujeres	278	01	La Jacetania
Agosto 2019	201908	Mujeres	188	02	Alto Gállego
Agosto 2019	201908	Mujeres	147	03	Sobrarbe
Agosto 2019	201908	Mujeres	142	04	La Ribagorza
Agosto 2019	201908	Mujeres	337	05	Cinco Villas
Agosto 2019	201908	Mujeres	1335	06	Hoya de Huesca / Plana de Uesca
Agosto 2019	201908	Mujeres	306	07	Somontano de Barbastro
Agosto 2019	201908	Mujeres	331	08	Cinca Medio
Agosto 2019	201908	Mujeres	301	09	La Litera / La Llitera
Agosto 2019	201908	Mujeres	115	10	Los Monegros
Agosto 2019	201908	Mujeres	698	11	Bajo Cinca / Baix Cinca
Agosto 2019	201908	Mujeres	248	12	Tarazona y el Moncayo
Agosto 2019	201908	Mujeres	183	13	Campo de Borja
Agosto 2019	201908	Mujeres	21	14	Aranda
Agosto 2019	201908	Mujeres	782	15	Ribera Alta del Ebro
Agosto 2019	201908	Mujeres	1010	16	Valdejalón
Agosto 2019	201908	Mujeres	10698	17	Central
Agosto 2019	201908	Mujeres	251	18	Ribera Baja del Ebro
Agosto 2019	201908	Mujeres	203	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Agosto 2019	201908	Mujeres	541	20	Comunidad de Calatayud
Agosto 2019	201908	Mujeres	226	21	Campo de Cariñena
Agosto 2019	201908	Mujeres	49	22	Campo de Belchite
Agosto 2019	201908	Mujeres	73	23	Bajo Martín
Agosto 2019	201908	Mujeres	31	24	Campo de Daroca
Agosto 2019	201908	Mujeres	104	25	Jiloca
Agosto 2019	201908	Mujeres	132	26	Cuencas Mineras
Agosto 2019	201908	Mujeres	108	27	Andorra-Sierra de Arcos
Agosto 2019	201908	Mujeres	367	28	Bajo Aragón
Agosto 2019	201908	Mujeres	770	29	Comunidad de Teruel
Agosto 2019	201908	Mujeres	33	30	Maestrazgo
Agosto 2019	201908	Mujeres	49	31	Sierra de Albarracín
Agosto 2019	201908	Mujeres	146	32	Gúdar-Javalambre
Agosto 2019	201908	Mujeres	106	33	Matarraña / Matarranya
Julio 2019	201907	Hombres	502	01	La Jacetania
Julio 2019	201907	Hombres	409	02	Alto Gállego
Julio 2019	201907	Hombres	462	03	Sobrarbe
Julio 2019	201907	Hombres	369	04	La Ribagorza
Julio 2019	201907	Hombres	610	05	Cinco Villas
Julio 2019	201907	Hombres	1588	06	Hoya de Huesca / Plana de Uesca
Julio 2019	201907	Hombres	596	07	Somontano de Barbastro
Julio 2019	201907	Hombres	837	08	Cinca Medio
Julio 2019	201907	Hombres	700	09	La Litera / La Llitera
Julio 2019	201907	Hombres	331	10	Los Monegros
Julio 2019	201907	Hombres	2264	11	Bajo Cinca / Baix Cinca
Julio 2019	201907	Hombres	380	12	Tarazona y el Moncayo
Julio 2019	201907	Hombres	246	13	Campo de Borja
Julio 2019	201907	Hombres	122	14	Aranda
Julio 2019	201907	Hombres	1570	15	Ribera Alta del Ebro
Julio 2019	201907	Hombres	2173	16	Valdejalón
Julio 2019	201907	Hombres	16238	17	Central
Julio 2019	201907	Hombres	345	18	Ribera Baja del Ebro
Julio 2019	201907	Hombres	1015	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Julio 2019	201907	Hombres	1348	20	Comunidad de Calatayud
Julio 2019	201907	Hombres	596	21	Campo de Cariñena
Julio 2019	201907	Hombres	47	22	Campo de Belchite
Julio 2019	201907	Hombres	113	23	Bajo Martín
Julio 2019	201907	Hombres	66	24	Campo de Daroca
Julio 2019	201907	Hombres	200	25	Jiloca
Julio 2019	201907	Hombres	212	26	Cuencas Mineras
Julio 2019	201907	Hombres	152	27	Andorra-Sierra de Arcos
Julio 2019	201907	Hombres	628	28	Bajo Aragón
Julio 2019	201907	Hombres	1541	29	Comunidad de Teruel
Julio 2019	201907	Hombres	46	30	Maestrazgo
Julio 2019	201907	Hombres	90	31	Sierra de Albarracín
Julio 2019	201907	Hombres	226	32	Gúdar-Javalambre
Julio 2019	201907	Hombres	132	33	Matarraña / Matarranya
Julio 2019	201907	Mujeres	575	01	La Jacetania
Julio 2019	201907	Mujeres	414	02	Alto Gállego
Julio 2019	201907	Mujeres	474	03	Sobrarbe
Julio 2019	201907	Mujeres	338	04	La Ribagorza
Julio 2019	201907	Mujeres	390	05	Cinco Villas
Julio 2019	201907	Mujeres	1525	06	Hoya de Huesca / Plana de Uesca
Julio 2019	201907	Mujeres	445	07	Somontano de Barbastro
Julio 2019	201907	Mujeres	499	08	Cinca Medio
Julio 2019	201907	Mujeres	320	09	La Litera / La Llitera
Julio 2019	201907	Mujeres	212	10	Los Monegros
Julio 2019	201907	Mujeres	1402	11	Bajo Cinca / Baix Cinca
Julio 2019	201907	Mujeres	332	12	Tarazona y el Moncayo
Julio 2019	201907	Mujeres	223	13	Campo de Borja
Julio 2019	201907	Mujeres	73	14	Aranda
Julio 2019	201907	Mujeres	835	15	Ribera Alta del Ebro
Julio 2019	201907	Mujeres	1251	16	Valdejalón
Julio 2019	201907	Mujeres	15076	17	Central
Julio 2019	201907	Mujeres	212	18	Ribera Baja del Ebro
Julio 2019	201907	Mujeres	431	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Julio 2019	201907	Mujeres	868	20	Comunidad de Calatayud
Julio 2019	201907	Mujeres	359	21	Campo de Cariñena
Julio 2019	201907	Mujeres	39	22	Campo de Belchite
Julio 2019	201907	Mujeres	79	23	Bajo Martín
Julio 2019	201907	Mujeres	77	24	Campo de Daroca
Julio 2019	201907	Mujeres	126	25	Jiloca
Julio 2019	201907	Mujeres	165	26	Cuencas Mineras
Julio 2019	201907	Mujeres	165	27	Andorra-Sierra de Arcos
Julio 2019	201907	Mujeres	528	28	Bajo Aragón
Julio 2019	201907	Mujeres	865	29	Comunidad de Teruel
Julio 2019	201907	Mujeres	60	30	Maestrazgo
Julio 2019	201907	Mujeres	91	31	Sierra de Albarracín
Julio 2019	201907	Mujeres	220	32	Gúdar-Javalambre
Julio 2019	201907	Mujeres	142	33	Matarraña / Matarranya
Junio 2019	201906	Hombres	339	01	La Jacetania
Junio 2019	201906	Hombres	249	02	Alto Gállego
Junio 2019	201906	Hombres	274	03	Sobrarbe
Junio 2019	201906	Hombres	264	04	La Ribagorza
Junio 2019	201906	Hombres	714	05	Cinco Villas
Junio 2019	201906	Hombres	1468	06	Hoya de Huesca / Plana de Uesca
Junio 2019	201906	Hombres	458	07	Somontano de Barbastro
Junio 2019	201906	Hombres	707	08	Cinca Medio
Junio 2019	201906	Hombres	500	09	La Litera / La Llitera
Junio 2019	201906	Hombres	238	10	Los Monegros
Junio 2019	201906	Hombres	2818	11	Bajo Cinca / Baix Cinca
Junio 2019	201906	Hombres	407	12	Tarazona y el Moncayo
Junio 2019	201906	Hombres	215	13	Campo de Borja
Junio 2019	201906	Hombres	116	14	Aranda
Junio 2019	201906	Hombres	1333	15	Ribera Alta del Ebro
Junio 2019	201906	Hombres	3422	16	Valdejalón
Junio 2019	201906	Hombres	15692	17	Central
Junio 2019	201906	Hombres	398	18	Ribera Baja del Ebro
Junio 2019	201906	Hombres	1162	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Junio 2019	201906	Hombres	1177	20	Comunidad de Calatayud
Junio 2019	201906	Hombres	471	21	Campo de Cariñena
Junio 2019	201906	Hombres	33	22	Campo de Belchite
Junio 2019	201906	Hombres	169	23	Bajo Martín
Junio 2019	201906	Hombres	77	24	Campo de Daroca
Junio 2019	201906	Hombres	193	25	Jiloca
Junio 2019	201906	Hombres	131	26	Cuencas Mineras
Junio 2019	201906	Hombres	109	27	Andorra-Sierra de Arcos
Junio 2019	201906	Hombres	510	28	Bajo Aragón
Junio 2019	201906	Hombres	1406	29	Comunidad de Teruel
Junio 2019	201906	Hombres	28	30	Maestrazgo
Junio 2019	201906	Hombres	67	31	Sierra de Albarracín
Junio 2019	201906	Hombres	150	32	Gúdar-Javalambre
Junio 2019	201906	Hombres	124	33	Matarraña / Matarranya
Junio 2019	201906	Mujeres	375	01	La Jacetania
Junio 2019	201906	Mujeres	229	02	Alto Gállego
Junio 2019	201906	Mujeres	287	03	Sobrarbe
Junio 2019	201906	Mujeres	235	04	La Ribagorza
Junio 2019	201906	Mujeres	427	05	Cinco Villas
Junio 2019	201906	Mujeres	1346	06	Hoya de Huesca / Plana de Uesca
Junio 2019	201906	Mujeres	361	07	Somontano de Barbastro
Junio 2019	201906	Mujeres	459	08	Cinca Medio
Junio 2019	201906	Mujeres	268	09	La Litera / La Llitera
Junio 2019	201906	Mujeres	154	10	Los Monegros
Junio 2019	201906	Mujeres	1608	11	Bajo Cinca / Baix Cinca
Junio 2019	201906	Mujeres	311	12	Tarazona y el Moncayo
Junio 2019	201906	Mujeres	227	13	Campo de Borja
Junio 2019	201906	Mujeres	81	14	Aranda
Junio 2019	201906	Mujeres	857	15	Ribera Alta del Ebro
Junio 2019	201906	Mujeres	1584	16	Valdejalón
Junio 2019	201906	Mujeres	14711	17	Central
Junio 2019	201906	Mujeres	298	18	Ribera Baja del Ebro
Junio 2019	201906	Mujeres	431	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Junio 2019	201906	Mujeres	891	20	Comunidad de Calatayud
Junio 2019	201906	Mujeres	276	21	Campo de Cariñena
Junio 2019	201906	Mujeres	39	22	Campo de Belchite
Junio 2019	201906	Mujeres	74	23	Bajo Martín
Junio 2019	201906	Mujeres	54	24	Campo de Daroca
Junio 2019	201906	Mujeres	106	25	Jiloca
Junio 2019	201906	Mujeres	114	26	Cuencas Mineras
Junio 2019	201906	Mujeres	122	27	Andorra-Sierra de Arcos
Junio 2019	201906	Mujeres	444	28	Bajo Aragón
Junio 2019	201906	Mujeres	932	29	Comunidad de Teruel
Junio 2019	201906	Mujeres	35	30	Maestrazgo
Junio 2019	201906	Mujeres	46	31	Sierra de Albarracín
Junio 2019	201906	Mujeres	103	32	Gúdar-Javalambre
Junio 2019	201906	Mujeres	107	33	Matarraña / Matarranya
Mayo 2019	201905	Hombres	266	01	La Jacetania
Mayo 2019	201905	Hombres	245	02	Alto Gállego
Mayo 2019	201905	Hombres	178	03	Sobrarbe
Mayo 2019	201905	Hombres	156	04	La Ribagorza
Mayo 2019	201905	Hombres	497	05	Cinco Villas
Mayo 2019	201905	Hombres	1450	06	Hoya de Huesca / Plana de Uesca
Mayo 2019	201905	Hombres	563	07	Somontano de Barbastro
Mayo 2019	201905	Hombres	920	08	Cinca Medio
Mayo 2019	201905	Hombres	528	09	La Litera / La Llitera
Mayo 2019	201905	Hombres	251	10	Los Monegros
Mayo 2019	201905	Hombres	3890	11	Bajo Cinca / Baix Cinca
Mayo 2019	201905	Hombres	533	12	Tarazona y el Moncayo
Mayo 2019	201905	Hombres	223	13	Campo de Borja
Mayo 2019	201905	Hombres	102	14	Aranda
Mayo 2019	201905	Hombres	1338	15	Ribera Alta del Ebro
Mayo 2019	201905	Hombres	3359	16	Valdejalón
Mayo 2019	201905	Hombres	16011	17	Central
Mayo 2019	201905	Hombres	537	18	Ribera Baja del Ebro
Mayo 2019	201905	Hombres	2230	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Mayo 2019	201905	Hombres	816	20	Comunidad de Calatayud
Mayo 2019	201905	Hombres	509	21	Campo de Cariñena
Mayo 2019	201905	Hombres	36	22	Campo de Belchite
Mayo 2019	201905	Hombres	195	23	Bajo Martín
Mayo 2019	201905	Hombres	48	24	Campo de Daroca
Mayo 2019	201905	Hombres	89	25	Jiloca
Mayo 2019	201905	Hombres	132	26	Cuencas Mineras
Mayo 2019	201905	Hombres	99	27	Andorra-Sierra de Arcos
Mayo 2019	201905	Hombres	585	28	Bajo Aragón
Mayo 2019	201905	Hombres	1602	29	Comunidad de Teruel
Mayo 2019	201905	Hombres	44	30	Maestrazgo
Mayo 2019	201905	Hombres	79	31	Sierra de Albarracín
Mayo 2019	201905	Hombres	153	32	Gúdar-Javalambre
Mayo 2019	201905	Hombres	135	33	Matarraña / Matarranya
Mayo 2019	201905	Mujeres	286	01	La Jacetania
Mayo 2019	201905	Mujeres	197	02	Alto Gállego
Mayo 2019	201905	Mujeres	161	03	Sobrarbe
Mayo 2019	201905	Mujeres	113	04	La Ribagorza
Mayo 2019	201905	Mujeres	331	05	Cinco Villas
Mayo 2019	201905	Mujeres	1263	06	Hoya de Huesca / Plana de Uesca
Mayo 2019	201905	Mujeres	346	07	Somontano de Barbastro
Mayo 2019	201905	Mujeres	468	08	Cinca Medio
Mayo 2019	201905	Mujeres	245	09	La Litera / La Llitera
Mayo 2019	201905	Mujeres	155	10	Los Monegros
Mayo 2019	201905	Mujeres	1760	11	Bajo Cinca / Baix Cinca
Mayo 2019	201905	Mujeres	382	12	Tarazona y el Moncayo
Mayo 2019	201905	Mujeres	193	13	Campo de Borja
Mayo 2019	201905	Mujeres	72	14	Aranda
Mayo 2019	201905	Mujeres	706	15	Ribera Alta del Ebro
Mayo 2019	201905	Mujeres	1979	16	Valdejalón
Mayo 2019	201905	Mujeres	15428	17	Central
Mayo 2019	201905	Mujeres	329	18	Ribera Baja del Ebro
Mayo 2019	201905	Mujeres	769	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Mayo 2019	201905	Mujeres	573	20	Comunidad de Calatayud
Mayo 2019	201905	Mujeres	319	21	Campo de Cariñena
Mayo 2019	201905	Mujeres	30	22	Campo de Belchite
Mayo 2019	201905	Mujeres	53	23	Bajo Martín
Mayo 2019	201905	Mujeres	62	24	Campo de Daroca
Mayo 2019	201905	Mujeres	94	25	Jiloca
Mayo 2019	201905	Mujeres	122	26	Cuencas Mineras
Mayo 2019	201905	Mujeres	118	27	Andorra-Sierra de Arcos
Mayo 2019	201905	Mujeres	510	28	Bajo Aragón
Mayo 2019	201905	Mujeres	769	29	Comunidad de Teruel
Mayo 2019	201905	Mujeres	17	30	Maestrazgo
Mayo 2019	201905	Mujeres	48	31	Sierra de Albarracín
Mayo 2019	201905	Mujeres	132	32	Gúdar-Javalambre
Mayo 2019	201905	Mujeres	104	33	Matarraña / Matarranya
Abril 2019	201904	Hombres	347	01	La Jacetania
Abril 2019	201904	Hombres	290	02	Alto Gállego
Abril 2019	201904	Hombres	236	03	Sobrarbe
Abril 2019	201904	Hombres	144	04	La Ribagorza
Abril 2019	201904	Hombres	391	05	Cinco Villas
Abril 2019	201904	Hombres	1096	06	Hoya de Huesca / Plana de Uesca
Abril 2019	201904	Hombres	376	07	Somontano de Barbastro
Abril 2019	201904	Hombres	447	08	Cinca Medio
Abril 2019	201904	Hombres	275	09	La Litera / La Llitera
Abril 2019	201904	Hombres	272	10	Los Monegros
Abril 2019	201904	Hombres	1462	11	Bajo Cinca / Baix Cinca
Abril 2019	201904	Hombres	383	12	Tarazona y el Moncayo
Abril 2019	201904	Hombres	173	13	Campo de Borja
Abril 2019	201904	Hombres	54	14	Aranda
Abril 2019	201904	Hombres	1271	15	Ribera Alta del Ebro
Abril 2019	201904	Hombres	963	16	Valdejalón
Abril 2019	201904	Hombres	12631	17	Central
Abril 2019	201904	Hombres	402	18	Ribera Baja del Ebro
Abril 2019	201904	Hombres	1182	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Abril 2019	201904	Hombres	378	20	Comunidad de Calatayud
Abril 2019	201904	Hombres	225	21	Campo de Cariñena
Abril 2019	201904	Hombres	39	22	Campo de Belchite
Abril 2019	201904	Hombres	156	23	Bajo Martín
Abril 2019	201904	Hombres	21	24	Campo de Daroca
Abril 2019	201904	Hombres	72	25	Jiloca
Abril 2019	201904	Hombres	123	26	Cuencas Mineras
Abril 2019	201904	Hombres	115	27	Andorra-Sierra de Arcos
Abril 2019	201904	Hombres	369	28	Bajo Aragón
Abril 2019	201904	Hombres	1327	29	Comunidad de Teruel
Abril 2019	201904	Hombres	49	30	Maestrazgo
Abril 2019	201904	Hombres	70	31	Sierra de Albarracín
Abril 2019	201904	Hombres	108	32	Gúdar-Javalambre
Abril 2019	201904	Hombres	114	33	Matarraña / Matarranya
Abril 2019	201904	Mujeres	371	01	La Jacetania
Abril 2019	201904	Mujeres	247	02	Alto Gállego
Abril 2019	201904	Mujeres	310	03	Sobrarbe
Abril 2019	201904	Mujeres	129	04	La Ribagorza
Abril 2019	201904	Mujeres	264	05	Cinco Villas
Abril 2019	201904	Mujeres	1007	06	Hoya de Huesca / Plana de Uesca
Abril 2019	201904	Mujeres	329	07	Somontano de Barbastro
Abril 2019	201904	Mujeres	323	08	Cinca Medio
Abril 2019	201904	Mujeres	159	09	La Litera / La Llitera
Abril 2019	201904	Mujeres	117	10	Los Monegros
Abril 2019	201904	Mujeres	676	11	Bajo Cinca / Baix Cinca
Abril 2019	201904	Mujeres	357	12	Tarazona y el Moncayo
Abril 2019	201904	Mujeres	207	13	Campo de Borja
Abril 2019	201904	Mujeres	43	14	Aranda
Abril 2019	201904	Mujeres	691	15	Ribera Alta del Ebro
Abril 2019	201904	Mujeres	605	16	Valdejalón
Abril 2019	201904	Mujeres	12216	17	Central
Abril 2019	201904	Mujeres	192	18	Ribera Baja del Ebro
Abril 2019	201904	Mujeres	337	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Abril 2019	201904	Mujeres	378	20	Comunidad de Calatayud
Abril 2019	201904	Mujeres	107	21	Campo de Cariñena
Abril 2019	201904	Mujeres	55	22	Campo de Belchite
Abril 2019	201904	Mujeres	75	23	Bajo Martín
Abril 2019	201904	Mujeres	37	24	Campo de Daroca
