Año	Residencia comarca código	Residencia comarca nombre	Edad (grandes grupos)	Sexo	Personas
1998	26	Cuencas Mineras	16 a 64	Mujeres	2758
1998	26	Cuencas Mineras	65 y más	Mujeres	1270
1998	27	Andorra-Sierra de Arcos	0 a 15	Mujeres	992
1998	27	Andorra-Sierra de Arcos	16 a 64	Mujeres	3502
1998	27	Andorra-Sierra de Arcos	65 y más	Mujeres	1223
1998	28	Bajo Aragón	0 a 15	Mujeres	1960
1998	28	Bajo Aragón	16 a 64	Mujeres	7687
1998	28	Bajo Aragón	65 y más	Mujeres	3337
1998	29	Comunidad de Teruel	0 a 15	Mujeres	3235
1998	29	Comunidad de Teruel	16 a 64	Mujeres	12516
1998	29	Comunidad de Teruel	65 y más	Mujeres	5422
1998	30	Maestrazgo	0 a 15	Mujeres	211
1998	30	Maestrazgo	16 a 64	Mujeres	961
1998	30	Maestrazgo	65 y más	Mujeres	613
1998	31	Sierra de Albarracín	0 a 15	Mujeres	280
1998	31	Sierra de Albarracín	16 a 64	Mujeres	1244
1998	31	Sierra de Albarracín	65 y más	Mujeres	921
1998	32	Gúdar-Javalambre	0 a 15	Mujeres	530
1998	32	Gúdar-Javalambre	16 a 64	Mujeres	1903
1998	32	Gúdar-Javalambre	65 y más	Mujeres	1252
1998	33	Matarraña / Matarranya	0 a 15	Mujeres	543
1998	33	Matarraña / Matarranya	16 a 64	Mujeres	2293
1998	33	Matarraña / Matarranya	65 y más	Mujeres	1553
1999	01	La Jacetania	0 a 15	Mujeres	1032
1999	01	La Jacetania	16 a 64	Mujeres	4791
1999	01	La Jacetania	65 y más	Mujeres	2088
1999	02	Alto Gállego	0 a 15	Mujeres	776
1999	02	Alto Gállego	16 a 64	Mujeres	3755
1999	02	Alto Gállego	65 y más	Mujeres	1336
1999	03	Sobrarbe	0 a 15	Mujeres	386
1999	03	Sobrarbe	16 a 64	Mujeres	1794
1999	03	Sobrarbe	65 y más	Mujeres	952
1999	04	La Ribagorza	0 a 15	Mujeres	601
1999	04	La Ribagorza	16 a 64	Mujeres	3118
1999	04	La Ribagorza	65 y más	Mujeres	1786
1999	05	Cinco Villas	0 a 15	Mujeres	2016
1999	05	Cinco Villas	16 a 64	Mujeres	8984
1999	05	Cinco Villas	65 y más	Mujeres	3889
1999	06	Hoya de Huesca / Plana de Uesca	0 a 15	Mujeres	3984
1999	06	Hoya de Huesca / Plana de Uesca	16 a 64	Mujeres	18695
1999	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujeres	7247
1999	07	Somontano de Barbastro	0 a 15	Mujeres	1523
1999	07	Somontano de Barbastro	16 a 64	Mujeres	6473
1999	07	Somontano de Barbastro	65 y más	Mujeres	2991
1999	08	Cinca Medio	0 a 15	Mujeres	1470
1999	08	Cinca Medio	16 a 64	Mujeres	6540
1999	08	Cinca Medio	65 y más	Mujeres	2708
1999	09	La Litera / La Llitera	0 a 15	Mujeres	1080
1999	09	La Litera / La Llitera	16 a 64	Mujeres	5452
1999	09	La Litera / La Llitera	65 y más	Mujeres	2664
1999	10	Los Monegros	0 a 15	Mujeres	1181
1999	10	Los Monegros	16 a 64	Mujeres	6164
1999	10	Los Monegros	65 y más	Mujeres	3039
1999	11	Bajo Cinca / Baix Cinca	0 a 15	Mujeres	1629
1999	11	Bajo Cinca / Baix Cinca	16 a 64	Mujeres	6681
1999	11	Bajo Cinca / Baix Cinca	65 y más	Mujeres	2667
1999	12	Tarazona y el Moncayo	0 a 15	Mujeres	823
1999	12	Tarazona y el Moncayo	16 a 64	Mujeres	4116
1999	12	Tarazona y el Moncayo	65 y más	Mujeres	2095
1999	13	Campo de Borja	0 a 15	Mujeres	851
1999	13	Campo de Borja	16 a 64	Mujeres	3933
1999	13	Campo de Borja	65 y más	Mujeres	2061
1999	14	Aranda	0 a 15	Mujeres	570
1999	14	Aranda	16 a 64	Mujeres	2447
1999	14	Aranda	65 y más	Mujeres	965
1999	15	Ribera Alta del Ebro	0 a 15	Mujeres	1450
1999	15	Ribera Alta del Ebro	16 a 64	Mujeres	6365
1999	15	Ribera Alta del Ebro	65 y más	Mujeres	2862
1999	16	Valdejalón	0 a 15	Mujeres	1336
1999	16	Valdejalón	16 a 64	Mujeres	6062
1999	16	Valdejalón	65 y más	Mujeres	2909
1999	17	Central	0 a 15	Mujeres	43851
1999	17	Central	16 a 64	Mujeres	218969
1999	17	Central	65 y más	Mujeres	65886
1999	18	Ribera Baja del Ebro	0 a 15	Mujeres	592
1999	18	Ribera Baja del Ebro	16 a 64	Mujeres	2774
1999	18	Ribera Baja del Ebro	65 y más	Mujeres	1350
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0 a 15	Mujeres	799
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 64	Mujeres	3665
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 y más	Mujeres	1800
1999	20	Comunidad de Calatayud	0 a 15	Mujeres	2099
1999	20	Comunidad de Calatayud	16 a 64	Mujeres	10748
1999	20	Comunidad de Calatayud	65 y más	Mujeres	6560
1999	21	Campo de Cariñena	0 a 15	Mujeres	546
1999	21	Campo de Cariñena	16 a 64	Mujeres	2700
1999	21	Campo de Cariñena	65 y más	Mujeres	1503
1999	22	Campo de Belchite	0 a 15	Mujeres	189
1999	22	Campo de Belchite	16 a 64	Mujeres	1187
1999	22	Campo de Belchite	65 y más	Mujeres	878
1999	23	Bajo Martín	0 a 15	Mujeres	430
1999	23	Bajo Martín	16 a 64	Mujeres	2043
1999	23	Bajo Martín	65 y más	Mujeres	1325
1999	24	Campo de Daroca	0 a 15	Mujeres	259
1999	24	Campo de Daroca	16 a 64	Mujeres	1511
1999	24	Campo de Daroca	65 y más	Mujeres	1127
1999	25	Jiloca	0 a 15	Mujeres	766
1999	25	Jiloca	16 a 64	Mujeres	3660
1999	25	Jiloca	65 y más	Mujeres	2475
1999	26	Cuencas Mineras	0 a 15	Mujeres	710
1999	26	Cuencas Mineras	16 a 64	Mujeres	2670
1999	26	Cuencas Mineras	65 y más	Mujeres	1312
1999	27	Andorra-Sierra de Arcos	0 a 15	Mujeres	938
1999	27	Andorra-Sierra de Arcos	16 a 64	Mujeres	3407
1999	27	Andorra-Sierra de Arcos	65 y más	Mujeres	1262
1999	28	Bajo Aragón	0 a 15	Mujeres	1933
1999	28	Bajo Aragón	16 a 64	Mujeres	7561
1999	28	Bajo Aragón	65 y más	Mujeres	3399
1999	29	Comunidad de Teruel	0 a 15	Mujeres	3123
1999	29	Comunidad de Teruel	16 a 64	Mujeres	12333
1999	29	Comunidad de Teruel	65 y más	Mujeres	5435
1999	30	Maestrazgo	0 a 15	Mujeres	196
1999	30	Maestrazgo	16 a 64	Mujeres	934
1999	30	Maestrazgo	65 y más	Mujeres	614
1999	31	Sierra de Albarracín	0 a 15	Mujeres	267
1999	31	Sierra de Albarracín	16 a 64	Mujeres	1208
1999	31	Sierra de Albarracín	65 y más	Mujeres	936
1999	32	Gúdar-Javalambre	0 a 15	Mujeres	501
1999	32	Gúdar-Javalambre	16 a 64	Mujeres	1855
1999	32	Gúdar-Javalambre	65 y más	Mujeres	1249
1999	33	Matarraña / Matarranya	0 a 15	Mujeres	511
1999	33	Matarraña / Matarranya	16 a 64	Mujeres	2241
1999	33	Matarraña / Matarranya	65 y más	Mujeres	1545
2000	01	La Jacetania	0 a 15	Mujeres	1072
2000	01	La Jacetania	16 a 64	Mujeres	4969
2000	01	La Jacetania	65 y más	Mujeres	2146
2000	02	Alto Gállego	0 a 15	Mujeres	736
2000	02	Alto Gállego	16 a 64	Mujeres	3819
2000	02	Alto Gállego	65 y más	Mujeres	1373
2000	03	Sobrarbe	0 a 15	Mujeres	374
2000	03	Sobrarbe	16 a 64	Mujeres	1869
2000	03	Sobrarbe	65 y más	Mujeres	965
2000	04	La Ribagorza	0 a 15	Mujeres	603
2000	04	La Ribagorza	16 a 64	Mujeres	3218
2000	04	La Ribagorza	65 y más	Mujeres	1850
2000	05	Cinco Villas	0 a 15	Mujeres	1989
2000	05	Cinco Villas	16 a 64	Mujeres	9242
2000	05	Cinco Villas	65 y más	Mujeres	4027
2000	06	Hoya de Huesca / Plana de Uesca	0 a 15	Mujeres	3980
2000	06	Hoya de Huesca / Plana de Uesca	16 a 64	Mujeres	18856
2000	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujeres	7409
2000	07	Somontano de Barbastro	0 a 15	Mujeres	1552
2000	07	Somontano de Barbastro	16 a 64	Mujeres	6675
2000	07	Somontano de Barbastro	65 y más	Mujeres	3092
2000	08	Cinca Medio	0 a 15	Mujeres	1470
2000	08	Cinca Medio	16 a 64	Mujeres	6583
2000	08	Cinca Medio	65 y más	Mujeres	2738
2000	09	La Litera / La Llitera	0 a 15	Mujeres	1088
2000	09	La Litera / La Llitera	16 a 64	Mujeres	5471
2000	09	La Litera / La Llitera	65 y más	Mujeres	2663
2000	10	Los Monegros	0 a 15	Mujeres	1172
2000	10	Los Monegros	16 a 64	Mujeres	6163
2000	10	Los Monegros	65 y más	Mujeres	3107
2000	11	Bajo Cinca / Baix Cinca	0 a 15	Mujeres	1587
2000	11	Bajo Cinca / Baix Cinca	16 a 64	Mujeres	6721
2000	11	Bajo Cinca / Baix Cinca	65 y más	Mujeres	2718
2000	12	Tarazona y el Moncayo	0 a 15	Mujeres	896
2000	12	Tarazona y el Moncayo	16 a 64	Mujeres	4153
2000	12	Tarazona y el Moncayo	65 y más	Mujeres	2120
2000	13	Campo de Borja	0 a 15	Mujeres	847
2000	13	Campo de Borja	16 a 64	Mujeres	3962
2000	13	Campo de Borja	65 y más	Mujeres	2135
2000	14	Aranda	0 a 15	Mujeres	552
2000	14	Aranda	16 a 64	Mujeres	2438
2000	14	Aranda	65 y más	Mujeres	992
2000	15	Ribera Alta del Ebro	0 a 15	Mujeres	1471
2000	15	Ribera Alta del Ebro	16 a 64	Mujeres	6466
2000	15	Ribera Alta del Ebro	65 y más	Mujeres	2902
2000	16	Valdejalón	0 a 15	Mujeres	1362
2000	16	Valdejalón	16 a 64	Mujeres	6281
2000	16	Valdejalón	65 y más	Mujeres	2963
2000	17	Central	0 a 15	Mujeres	44363
2000	17	Central	16 a 64	Mujeres	220785
2000	17	Central	65 y más	Mujeres	67663
2000	18	Ribera Baja del Ebro	0 a 15	Mujeres	630
2000	18	Ribera Baja del Ebro	16 a 64	Mujeres	2792
2000	18	Ribera Baja del Ebro	65 y más	Mujeres	1379
2000	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0 a 15	Mujeres	762
2000	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 64	Mujeres	3651
2000	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 y más	Mujeres	1820
2000	20	Comunidad de Calatayud	0 a 15	Mujeres	2094
2000	20	Comunidad de Calatayud	16 a 64	Mujeres	10987
2000	20	Comunidad de Calatayud	65 y más	Mujeres	6845
2000	21	Campo de Cariñena	0 a 15	Mujeres	519
2000	21	Campo de Cariñena	16 a 64	Mujeres	2732
2000	21	Campo de Cariñena	65 y más	Mujeres	1516
2000	22	Campo de Belchite	0 a 15	Mujeres	201
2000	22	Campo de Belchite	16 a 64	Mujeres	1324
2000	22	Campo de Belchite	65 y más	Mujeres	998
2000	23	Bajo Martín	0 a 15	Mujeres	418
2000	23	Bajo Martín	16 a 64	Mujeres	2009
2000	23	Bajo Martín	65 y más	Mujeres	1345
2000	24	Campo de Daroca	0 a 15	Mujeres	259
2000	24	Campo de Daroca	16 a 64	Mujeres	1544
2000	24	Campo de Daroca	65 y más	Mujeres	1148
2000	25	Jiloca	0 a 15	Mujeres	764
2000	25	Jiloca	16 a 64	Mujeres	3642
2000	25	Jiloca	65 y más	Mujeres	2525
2000	26	Cuencas Mineras	0 a 15	Mujeres	673
2000	26	Cuencas Mineras	16 a 64	Mujeres	2645
2000	26	Cuencas Mineras	65 y más	Mujeres	1349
2000	27	Andorra-Sierra de Arcos	0 a 15	Mujeres	888
2000	27	Andorra-Sierra de Arcos	16 a 64	Mujeres	3390
2000	27	Andorra-Sierra de Arcos	65 y más	Mujeres	1299
2000	28	Bajo Aragón	0 a 15	Mujeres	1897
2000	28	Bajo Aragón	16 a 64	Mujeres	7693
2000	28	Bajo Aragón	65 y más	Mujeres	3425
2000	29	Comunidad de Teruel	0 a 15	Mujeres	3172
2000	29	Comunidad de Teruel	16 a 64	Mujeres	12795
2000	29	Comunidad de Teruel	65 y más	Mujeres	5601
2000	30	Maestrazgo	0 a 15	Mujeres	199
2000	30	Maestrazgo	16 a 64	Mujeres	931
2000	30	Maestrazgo	65 y más	Mujeres	618
2000	31	Sierra de Albarracín	0 a 15	Mujeres	258
2000	31	Sierra de Albarracín	16 a 64	Mujeres	1197
2000	31	Sierra de Albarracín	65 y más	Mujeres	958
2000	32	Gúdar-Javalambre	0 a 15	Mujeres	495
2000	32	Gúdar-Javalambre	16 a 64	Mujeres	1909
2000	32	Gúdar-Javalambre	65 y más	Mujeres	1245
2000	33	Matarraña / Matarranya	0 a 15	Mujeres	486
2000	33	Matarraña / Matarranya	16 a 64	Mujeres	2214
2000	33	Matarraña / Matarranya	65 y más	Mujeres	1533
2001	01	La Jacetania	0 a 15	Mujeres	1079
2001	01	La Jacetania	16 a 64	Mujeres	5062
2001	01	La Jacetania	65 y más	Mujeres	2165
2001	02	Alto Gállego	0 a 15	Mujeres	677
2001	02	Alto Gállego	16 a 64	Mujeres	3776
2001	02	Alto Gállego	65 y más	Mujeres	1399
2001	03	Sobrarbe	0 a 15	Mujeres	369
2001	03	Sobrarbe	16 a 64	Mujeres	1858
2001	03	Sobrarbe	65 y más	Mujeres	996
2001	04	La Ribagorza	0 a 15	Mujeres	610
2001	04	La Ribagorza	16 a 64	Mujeres	3252
2001	04	La Ribagorza	65 y más	Mujeres	1846
2001	05	Cinco Villas	0 a 15	Mujeres	1992
2001	05	Cinco Villas	16 a 64	Mujeres	9435
2001	05	Cinco Villas	65 y más	Mujeres	4237
2001	06	Hoya de Huesca / Plana de Uesca	0 a 15	Mujeres	4008
2001	06	Hoya de Huesca / Plana de Uesca	16 a 64	Mujeres	18899
2001	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujeres	7474
2001	07	Somontano de Barbastro	0 a 15	Mujeres	1447
2001	07	Somontano de Barbastro	16 a 64	Mujeres	6584
2001	07	Somontano de Barbastro	65 y más	Mujeres	3130
2001	08	Cinca Medio	0 a 15	Mujeres	1471
2001	08	Cinca Medio	16 a 64	Mujeres	6634
2001	08	Cinca Medio	65 y más	Mujeres	2792
2001	09	La Litera / La Llitera	0 a 15	Mujeres	1069
2001	09	La Litera / La Llitera	16 a 64	Mujeres	5428
2001	09	La Litera / La Llitera	65 y más	Mujeres	2697
2001	10	Los Monegros	0 a 15	Mujeres	1144
2001	10	Los Monegros	16 a 64	Mujeres	6046
2001	10	Los Monegros	65 y más	Mujeres	3166
2001	11	Bajo Cinca / Baix Cinca	0 a 15	Mujeres	1563
2001	11	Bajo Cinca / Baix Cinca	16 a 64	Mujeres	6673
2001	11	Bajo Cinca / Baix Cinca	65 y más	Mujeres	2750
2001	12	Tarazona y el Moncayo	0 a 15	Mujeres	873
2001	12	Tarazona y el Moncayo	16 a 64	Mujeres	4156
2001	12	Tarazona y el Moncayo	65 y más	Mujeres	2163
2001	13	Campo de Borja	0 a 15	Mujeres	820
2001	13	Campo de Borja	16 a 64	Mujeres	3958
2001	13	Campo de Borja	65 y más	Mujeres	2133
2001	14	Aranda	0 a 15	Mujeres	539
2001	14	Aranda	16 a 64	Mujeres	2404
2001	14	Aranda	65 y más	Mujeres	994
2001	15	Ribera Alta del Ebro	0 a 15	Mujeres	1456
2001	15	Ribera Alta del Ebro	16 a 64	Mujeres	6537
2001	15	Ribera Alta del Ebro	65 y más	Mujeres	2949
2001	16	Valdejalón	0 a 15	Mujeres	1411
2001	16	Valdejalón	16 a 64	Mujeres	6454
2001	16	Valdejalón	65 y más	Mujeres	3050
2001	17	Central	0 a 15	Mujeres	44054
2001	17	Central	16 a 64	Mujeres	223171
2001	17	Central	65 y más	Mujeres	69114
2001	18	Ribera Baja del Ebro	0 a 15	Mujeres	609
2001	18	Ribera Baja del Ebro	16 a 64	Mujeres	2758
2001	18	Ribera Baja del Ebro	65 y más	Mujeres	1386
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0 a 15	Mujeres	723
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 64	Mujeres	3603
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 y más	Mujeres	1837
2001	20	Comunidad de Calatayud	0 a 15	Mujeres	2012
2001	20	Comunidad de Calatayud	16 a 64	Mujeres	10988
2001	20	Comunidad de Calatayud	65 y más	Mujeres	6742
2001	21	Campo de Cariñena	0 a 15	Mujeres	524
2001	21	Campo de Cariñena	16 a 64	Mujeres	2741
2001	21	Campo de Cariñena	65 y más	Mujeres	1549
2001	22	Campo de Belchite	0 a 15	Mujeres	193
2001	22	Campo de Belchite	16 a 64	Mujeres	1304
2001	22	Campo de Belchite	65 y más	Mujeres	1005
2001	23	Bajo Martín	0 a 15	Mujeres	393
2001	23	Bajo Martín	16 a 64	Mujeres	1974
2001	23	Bajo Martín	65 y más	Mujeres	1351
2001	24	Campo de Daroca	0 a 15	Mujeres	238
2001	24	Campo de Daroca	16 a 64	Mujeres	1495
2001	24	Campo de Daroca	65 y más	Mujeres	1181
2001	25	Jiloca	0 a 15	Mujeres	758
2001	25	Jiloca	16 a 64	Mujeres	3594
2001	25	Jiloca	65 y más	Mujeres	2542
2001	26	Cuencas Mineras	0 a 15	Mujeres	634
2001	26	Cuencas Mineras	16 a 64	Mujeres	2612
2001	26	Cuencas Mineras	65 y más	Mujeres	1366
2001	27	Andorra-Sierra de Arcos	0 a 15	Mujeres	833
2001	27	Andorra-Sierra de Arcos	16 a 64	Mujeres	3283
2001	27	Andorra-Sierra de Arcos	65 y más	Mujeres	1327
2001	28	Bajo Aragón	0 a 15	Mujeres	1909
2001	28	Bajo Aragón	16 a 64	Mujeres	7711
2001	28	Bajo Aragón	65 y más	Mujeres	3497
2001	29	Comunidad de Teruel	0 a 15	Mujeres	3162
2001	29	Comunidad de Teruel	16 a 64	Mujeres	12751
2001	29	Comunidad de Teruel	65 y más	Mujeres	5720
2001	30	Maestrazgo	0 a 15	Mujeres	180
2001	30	Maestrazgo	16 a 64	Mujeres	904
2001	30	Maestrazgo	65 y más	Mujeres	626
2001	31	Sierra de Albarracín	0 a 15	Mujeres	254
2001	31	Sierra de Albarracín	16 a 64	Mujeres	1179
2001	31	Sierra de Albarracín	65 y más	Mujeres	950
2001	32	Gúdar-Javalambre	0 a 15	Mujeres	498
2001	32	Gúdar-Javalambre	16 a 64	Mujeres	1929
2001	32	Gúdar-Javalambre	65 y más	Mujeres	1243
2001	33	Matarraña / Matarranya	0 a 15	Mujeres	462
2001	33	Matarraña / Matarranya	16 a 64	Mujeres	2190
2001	33	Matarraña / Matarranya	65 y más	Mujeres	1527
2002	01	La Jacetania	0 a 15	Mujeres	1082
2002	01	La Jacetania	16 a 64	Mujeres	5216
2002	01	La Jacetania	65 y más	Mujeres	2191
2002	02	Alto Gállego	0 a 15	Mujeres	756
2002	02	Alto Gállego	16 a 64	Mujeres	3850
2002	02	Alto Gállego	65 y más	Mujeres	1436
2002	03	Sobrarbe	0 a 15	Mujeres	379
2002	03	Sobrarbe	16 a 64	Mujeres	1857
2002	03	Sobrarbe	65 y más	Mujeres	992
2002	04	La Ribagorza	0 a 15	Mujeres	626
2002	04	La Ribagorza	16 a 64	Mujeres	3326
2002	04	La Ribagorza	65 y más	Mujeres	1872
2002	05	Cinco Villas	0 a 15	Mujeres	2053
2002	05	Cinco Villas	16 a 64	Mujeres	9486
2002	05	Cinco Villas	65 y más	Mujeres	4255
2002	06	Hoya de Huesca / Plana de Uesca	0 a 15	Mujeres	4083
2002	06	Hoya de Huesca / Plana de Uesca	16 a 64	Mujeres	19131
2002	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujeres	7545
2002	07	Somontano de Barbastro	0 a 15	Mujeres	1549
2002	07	Somontano de Barbastro	16 a 64	Mujeres	6726
2002	07	Somontano de Barbastro	65 y más	Mujeres	3167
2002	08	Cinca Medio	0 a 15	Mujeres	1486
2002	08	Cinca Medio	16 a 64	Mujeres	6639
2002	08	Cinca Medio	65 y más	Mujeres	2779
2002	09	La Litera / La Llitera	0 a 15	Mujeres	1064
2002	09	La Litera / La Llitera	16 a 64	Mujeres	5384
2002	09	La Litera / La Llitera	65 y más	Mujeres	2728
2002	10	Los Monegros	0 a 15	Mujeres	1119
2002	10	Los Monegros	16 a 64	Mujeres	6001
2002	10	Los Monegros	65 y más	Mujeres	3220
2002	11	Bajo Cinca / Baix Cinca	0 a 15	Mujeres	1572
2002	11	Bajo Cinca / Baix Cinca	16 a 64	Mujeres	6718
2002	11	Bajo Cinca / Baix Cinca	65 y más	Mujeres	2746
2002	12	Tarazona y el Moncayo	0 a 15	Mujeres	876
2002	12	Tarazona y el Moncayo	16 a 64	Mujeres	4173
2002	12	Tarazona y el Moncayo	65 y más	Mujeres	2180
2002	13	Campo de Borja	0 a 15	Mujeres	823
2002	13	Campo de Borja	16 a 64	Mujeres	4006
2002	13	Campo de Borja	65 y más	Mujeres	2097
2002	14	Aranda	0 a 15	Mujeres	549
2002	14	Aranda	16 a 64	Mujeres	2389
2002	14	Aranda	65 y más	Mujeres	981
2002	15	Ribera Alta del Ebro	0 a 15	Mujeres	1439
2002	15	Ribera Alta del Ebro	16 a 64	Mujeres	6704
2002	15	Ribera Alta del Ebro	65 y más	Mujeres	2955
2002	16	Valdejalón	0 a 15	Mujeres	1440
2002	16	Valdejalón	16 a 64	Mujeres	6704
2002	16	Valdejalón	65 y más	Mujeres	3049
2002	17	Central	0 a 15	Mujeres	45064
2002	17	Central	16 a 64	Mujeres	226118
2002	17	Central	65 y más	Mujeres	70536
2002	18	Ribera Baja del Ebro	0 a 15	Mujeres	595
2002	18	Ribera Baja del Ebro	16 a 64	Mujeres	2735
2002	18	Ribera Baja del Ebro	65 y más	Mujeres	1368
2002	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0 a 15	Mujeres	668
2002	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 64	Mujeres	3570
2002	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 y más	Mujeres	1816
2002	20	Comunidad de Calatayud	0 a 15	Mujeres	2049
2002	20	Comunidad de Calatayud	16 a 64	Mujeres	11098
2002	20	Comunidad de Calatayud	65 y más	Mujeres	6722
2002	21	Campo de Cariñena	0 a 15	Mujeres	525
2002	21	Campo de Cariñena	16 a 64	Mujeres	2806
2002	21	Campo de Cariñena	65 y más	Mujeres	1543
2002	22	Campo de Belchite	0 a 15	Mujeres	189
2002	22	Campo de Belchite	16 a 64	Mujeres	1265
2002	22	Campo de Belchite	65 y más	Mujeres	987
2002	23	Bajo Martín	0 a 15	Mujeres	370
2002	23	Bajo Martín	16 a 64	Mujeres	1984
2002	23	Bajo Martín	65 y más	Mujeres	1316
2002	24	Campo de Daroca	0 a 15	Mujeres	216
2002	24	Campo de Daroca	16 a 64	Mujeres	1472
