Año	Residencia comarca código	Residencia comarca nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
1998	06	Hoya de Huesca / Plana de Uesca	Extranjeros	05	América del Norte	América	Mujeres	8
1998	06	Hoya de Huesca / Plana de Uesca	Extranjeros	06	Resto de América	América	Mujeres	45
1998	06	Hoya de Huesca / Plana de Uesca	Extranjeros	07	Asia	Asia	Mujeres	12
1998	07	Somontano de Barbastro	Españoles	01	UE-15	Europa	Mujeres	10980
1998	07	Somontano de Barbastro	Extranjeros	01	UE-15	Europa	Mujeres	41
1998	07	Somontano de Barbastro	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1998	07	Somontano de Barbastro	Extranjeros	03	Magreb	África	Mujeres	28
1998	07	Somontano de Barbastro	Extranjeros	04	Resto de África	África	Mujeres	4
1998	07	Somontano de Barbastro	Extranjeros	06	Resto de América	América	Mujeres	14
1998	07	Somontano de Barbastro	Extranjeros	07	Asia	Asia	Mujeres	2
1998	07	Somontano de Barbastro	Extranjeros	08	Oceanía	Oceanía	Mujeres	1
1998	08	Cinca Medio	Españoles	01	UE-15	Europa	Mujeres	10694
1998	08	Cinca Medio	Extranjeros	01	UE-15	Europa	Mujeres	21
1998	08	Cinca Medio	Extranjeros	02	Resto de Europa	Europa	Mujeres	3
1998	08	Cinca Medio	Extranjeros	03	Magreb	África	Mujeres	10
1998	08	Cinca Medio	Extranjeros	04	Resto de África	África	Mujeres	4
1998	08	Cinca Medio	Extranjeros	05	América del Norte	América	Mujeres	2
1998	08	Cinca Medio	Extranjeros	06	Resto de América	América	Mujeres	10
1998	08	Cinca Medio	Extranjeros	07	Asia	Asia	Mujeres	2
1998	09	La Litera / La Llitera	Españoles	01	UE-15	Europa	Mujeres	9272
1998	09	La Litera / La Llitera	Extranjeros	01	UE-15	Europa	Mujeres	13
1998	09	La Litera / La Llitera	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1998	09	La Litera / La Llitera	Extranjeros	03	Magreb	África	Mujeres	2
1998	09	La Litera / La Llitera	Extranjeros	04	Resto de África	África	Mujeres	10
1998	09	La Litera / La Llitera	Extranjeros	06	Resto de América	América	Mujeres	26
1998	09	La Litera / La Llitera	Extranjeros	07	Asia	Asia	Mujeres	3
1998	10	Los Monegros	Españoles	01	UE-15	Europa	Mujeres	10475
1998	10	Los Monegros	Extranjeros	01	UE-15	Europa	Mujeres	20
1998	10	Los Monegros	Extranjeros	02	Resto de Europa	Europa	Mujeres	3
1998	10	Los Monegros	Extranjeros	03	Magreb	África	Mujeres	9
1998	10	Los Monegros	Extranjeros	04	Resto de África	África	Mujeres	2
1998	10	Los Monegros	Extranjeros	05	América del Norte	América	Mujeres	5
1998	10	Los Monegros	Extranjeros	06	Resto de América	América	Mujeres	27
1998	11	Bajo Cinca / Baix Cinca	Españoles	01	UE-15	Europa	Mujeres	11049
1998	11	Bajo Cinca / Baix Cinca	Extranjeros	01	UE-15	Europa	Mujeres	6
1998	11	Bajo Cinca / Baix Cinca	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1998	11	Bajo Cinca / Baix Cinca	Extranjeros	03	Magreb	África	Mujeres	5
1998	11	Bajo Cinca / Baix Cinca	Extranjeros	04	Resto de África	África	Mujeres	1
1998	11	Bajo Cinca / Baix Cinca	Extranjeros	06	Resto de América	América	Mujeres	8
1998	12	Tarazona y el Moncayo	Españoles	01	UE-15	Europa	Mujeres	7134
1998	12	Tarazona y el Moncayo	Extranjeros	01	UE-15	Europa	Mujeres	6
1998	12	Tarazona y el Moncayo	Extranjeros	02	Resto de Europa	Europa	Mujeres	2
1998	12	Tarazona y el Moncayo	Extranjeros	03	Magreb	África	Mujeres	3
1998	12	Tarazona y el Moncayo	Extranjeros	06	Resto de América	América	Mujeres	1
1998	13	Campo de Borja	Españoles	01	UE-15	Europa	Mujeres	6857
1998	13	Campo de Borja	Extranjeros	01	UE-15	Europa	Mujeres	9
1998	13	Campo de Borja	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1998	13	Campo de Borja	Extranjeros	03	Magreb	África	Mujeres	7
1998	13	Campo de Borja	Extranjeros	06	Resto de América	América	Mujeres	10
1998	14	Aranda	Españoles	01	UE-15	Europa	Mujeres	3992
1998	14	Aranda	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	14	Aranda	Extranjeros	02	Resto de Europa	Europa	Mujeres	2
1998	14	Aranda	Extranjeros	03	Magreb	África	Mujeres	5
1998	14	Aranda	Extranjeros	06	Resto de América	América	Mujeres	6
1998	15	Ribera Alta del Ebro	Españoles	01	UE-15	Europa	Mujeres	10673
1998	15	Ribera Alta del Ebro	Extranjeros	01	UE-15	Europa	Mujeres	26
1998	15	Ribera Alta del Ebro	Extranjeros	02	Resto de Europa	Europa	Mujeres	4
1998	15	Ribera Alta del Ebro	Extranjeros	03	Magreb	África	Mujeres	13
1998	15	Ribera Alta del Ebro	Extranjeros	04	Resto de África	África	Mujeres	2
1998	15	Ribera Alta del Ebro	Extranjeros	06	Resto de América	América	Mujeres	9
1998	15	Ribera Alta del Ebro	Extranjeros	07	Asia	Asia	Mujeres	3
1998	16	Valdejalón	Españoles	01	UE-15	Europa	Mujeres	10305
1998	16	Valdejalón	Extranjeros	01	UE-15	Europa	Mujeres	21
1998	16	Valdejalón	Extranjeros	02	Resto de Europa	Europa	Mujeres	5
1998	16	Valdejalón	Extranjeros	03	Magreb	África	Mujeres	21
1998	16	Valdejalón	Extranjeros	04	Resto de África	África	Mujeres	2
1998	16	Valdejalón	Extranjeros	05	América del Norte	América	Mujeres	1
1998	16	Valdejalón	Extranjeros	06	Resto de América	América	Mujeres	9
1998	17	Central	Españoles	01	UE-15	Europa	Mujeres	328239
1998	17	Central	Extranjeros	01	UE-15	Europa	Mujeres	696
1998	17	Central	Extranjeros	02	Resto de Europa	Europa	Mujeres	98
1998	17	Central	Extranjeros	03	Magreb	África	Mujeres	222
1998	17	Central	Extranjeros	04	Resto de África	África	Mujeres	328
1998	17	Central	Extranjeros	05	América del Norte	América	Mujeres	110
1998	17	Central	Extranjeros	06	Resto de América	América	Mujeres	824
1998	17	Central	Extranjeros	07	Asia	Asia	Mujeres	138
1998	17	Central	Extranjeros	08	Oceanía	Oceanía	Mujeres	3
1998	17	Central	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	3
1998	18	Ribera Baja del Ebro	Españoles	01	UE-15	Europa	Mujeres	4623
1998	18	Ribera Baja del Ebro	Extranjeros	01	UE-15	Europa	Mujeres	8
1998	18	Ribera Baja del Ebro	Extranjeros	02	Resto de Europa	Europa	Mujeres	2
1998	18	Ribera Baja del Ebro	Extranjeros	03	Magreb	África	Mujeres	6
1998	18	Ribera Baja del Ebro	Extranjeros	06	Resto de América	América	Mujeres	3
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Españoles	01	UE-15	Europa	Mujeres	6252
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros	01	UE-15	Europa	Mujeres	11
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros	03	Magreb	África	Mujeres	1
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros	06	Resto de América	América	Mujeres	14
1998	20	Comunidad de Calatayud	Españoles	01	UE-15	Europa	Mujeres	10868
1998	20	Comunidad de Calatayud	Extranjeros	01	UE-15	Europa	Mujeres	9
1998	20	Comunidad de Calatayud	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1998	20	Comunidad de Calatayud	Extranjeros	03	Magreb	África	Mujeres	8
1998	20	Comunidad de Calatayud	Extranjeros	05	América del Norte	América	Mujeres	1
1998	20	Comunidad de Calatayud	Extranjeros	06	Resto de América	América	Mujeres	15
1998	20	Comunidad de Calatayud	Extranjeros	08	Oceanía	Oceanía	Mujeres	1
1998	21	Campo de Cariñena	Españoles	01	UE-15	Europa	Mujeres	4790
1998	21	Campo de Cariñena	Extranjeros	01	UE-15	Europa	Mujeres	11
1998	21	Campo de Cariñena	Extranjeros	02	Resto de Europa	Europa	Mujeres	2
1998	21	Campo de Cariñena	Extranjeros	03	Magreb	África	Mujeres	10
1998	21	Campo de Cariñena	Extranjeros	04	Resto de África	África	Mujeres	3
1998	21	Campo de Cariñena	Extranjeros	06	Resto de América	América	Mujeres	3
1998	22	Campo de Belchite	Españoles	01	UE-15	Europa	Mujeres	2267
1998	22	Campo de Belchite	Extranjeros	01	UE-15	Europa	Mujeres	3
1998	22	Campo de Belchite	Extranjeros	06	Resto de América	América	Mujeres	1
1998	23	Bajo Martín	Españoles	01	UE-15	Europa	Mujeres	3878
1998	23	Bajo Martín	Extranjeros	01	UE-15	Europa	Mujeres	2
1998	23	Bajo Martín	Extranjeros	06	Resto de América	América	Mujeres	3
1998	24	Campo de Daroca	Españoles	01	UE-15	Europa	Mujeres	2937
1998	24	Campo de Daroca	Extranjeros	01	UE-15	Europa	Mujeres	2
1998	24	Campo de Daroca	Extranjeros	03	Magreb	África	Mujeres	1
1998	24	Campo de Daroca	Extranjeros	06	Resto de América	América	Mujeres	3
1998	25	Jiloca	Españoles	01	UE-15	Europa	Mujeres	6954
1998	25	Jiloca	Extranjeros	01	UE-15	Europa	Mujeres	6
1998	25	Jiloca	Extranjeros	02	Resto de Europa	Europa	Mujeres	3
1998	25	Jiloca	Extranjeros	03	Magreb	África	Mujeres	2
1998	25	Jiloca	Extranjeros	04	Resto de África	África	Mujeres	3
1998	25	Jiloca	Extranjeros	06	Resto de América	América	Mujeres	13
1998	26	Cuencas Mineras	Españoles	01	UE-15	Europa	Mujeres	4751
1998	26	Cuencas Mineras	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	26	Cuencas Mineras	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1998	26	Cuencas Mineras	Extranjeros	03	Magreb	África	Mujeres	3
1998	26	Cuencas Mineras	Extranjeros	06	Resto de América	América	Mujeres	6
1998	26	Cuencas Mineras	Extranjeros	07	Asia	Asia	Mujeres	5
1998	27	Andorra-Sierra de Arcos	Españoles	01	UE-15	Europa	Mujeres	5710
1998	27	Andorra-Sierra de Arcos	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	27	Andorra-Sierra de Arcos	Extranjeros	03	Magreb	África	Mujeres	6
1998	28	Bajo Aragón	Españoles	01	UE-15	Europa	Mujeres	12895
1998	28	Bajo Aragón	Extranjeros	01	UE-15	Europa	Mujeres	23
1998	28	Bajo Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	4
1998	28	Bajo Aragón	Extranjeros	03	Magreb	África	Mujeres	7
1998	28	Bajo Aragón	Extranjeros	04	Resto de África	África	Mujeres	28
1998	28	Bajo Aragón	Extranjeros	05	América del Norte	América	Mujeres	2
1998	28	Bajo Aragón	Extranjeros	06	Resto de América	América	Mujeres	23
1998	28	Bajo Aragón	Extranjeros	07	Asia	Asia	Mujeres	2
1998	29	Comunidad de Teruel	Españoles	01	UE-15	Europa	Mujeres	21106
1998	29	Comunidad de Teruel	Extranjeros	01	UE-15	Europa	Mujeres	12
1998	29	Comunidad de Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	9
1998	29	Comunidad de Teruel	Extranjeros	03	Magreb	África	Mujeres	3
1998	29	Comunidad de Teruel	Extranjeros	06	Resto de América	América	Mujeres	39
1998	29	Comunidad de Teruel	Extranjeros	07	Asia	Asia	Mujeres	4
1998	30	Maestrazgo	Españoles	01	UE-15	Europa	Mujeres	1780
1998	30	Maestrazgo	Extranjeros	01	UE-15	Europa	Mujeres	4
1998	30	Maestrazgo	Extranjeros	06	Resto de América	América	Mujeres	1
1998	31	Sierra de Albarracín	Españoles	01	UE-15	Europa	Mujeres	2438
1998	31	Sierra de Albarracín	Extranjeros	01	UE-15	Europa	Mujeres	5
1998	31	Sierra de Albarracín	Extranjeros	03	Magreb	África	Mujeres	1
1998	31	Sierra de Albarracín	Extranjeros	06	Resto de América	América	Mujeres	1
1998	32	Gúdar-Javalambre	Españoles	01	UE-15	Europa	Mujeres	3655
1998	32	Gúdar-Javalambre	Extranjeros	01	UE-15	Europa	Mujeres	16
1998	32	Gúdar-Javalambre	Extranjeros	02	Resto de Europa	Europa	Mujeres	2
1998	32	Gúdar-Javalambre	Extranjeros	06	Resto de América	América	Mujeres	10
1998	32	Gúdar-Javalambre	Extranjeros	07	Asia	Asia	Mujeres	2
1998	33	Matarraña / Matarranya	Españoles	01	UE-15	Europa	Mujeres	4371
1998	33	Matarraña / Matarranya	Extranjeros	01	UE-15	Europa	Mujeres	10
1998	33	Matarraña / Matarranya	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1998	33	Matarraña / Matarranya	Extranjeros	03	Magreb	África	Mujeres	2
1998	33	Matarraña / Matarranya	Extranjeros	06	Resto de América	América	Mujeres	5
1999	01	La Jacetania	Españoles	01	UE-15	Europa	Mujeres	7830
1999	01	La Jacetania	Extranjeros	01	UE-15	Europa	Mujeres	39
1999	01	La Jacetania	Extranjeros	02	Resto de Europa	Europa	Mujeres	3
1999	01	La Jacetania	Extranjeros	03	Magreb	África	Mujeres	5
1999	01	La Jacetania	Extranjeros	04	Resto de África	África	Mujeres	1
1999	01	La Jacetania	Extranjeros	05	América del Norte	América	Mujeres	2
1999	01	La Jacetania	Extranjeros	06	Resto de América	América	Mujeres	30
1999	01	La Jacetania	Extranjeros	07	Asia	Asia	Mujeres	1
1999	02	Alto Gállego	Españoles	01	UE-15	Europa	Mujeres	5833
1999	02	Alto Gállego	Extranjeros	01	UE-15	Europa	Mujeres	27
1999	02	Alto Gállego	Extranjeros	06	Resto de América	América	Mujeres	4
1999	02	Alto Gállego	Extranjeros	07	Asia	Asia	Mujeres	1
1999	02	Alto Gállego	Extranjeros	08	Oceanía	Oceanía	Mujeres	2
1999	03	Sobrarbe	Españoles	01	UE-15	Europa	Mujeres	3106
1999	03	Sobrarbe	Extranjeros	01	UE-15	Europa	Mujeres	19
1999	03	Sobrarbe	Extranjeros	02	Resto de Europa	Europa	Mujeres	2
1999	03	Sobrarbe	Extranjeros	03	Magreb	África	Mujeres	1
1999	03	Sobrarbe	Extranjeros	05	América del Norte	América	Mujeres	1
1999	03	Sobrarbe	Extranjeros	06	Resto de América	América	Mujeres	2
1999	03	Sobrarbe	Extranjeros	07	Asia	Asia	Mujeres	1
1999	04	La Ribagorza	Españoles	01	UE-15	Europa	Mujeres	5463
1999	04	La Ribagorza	Extranjeros	01	UE-15	Europa	Mujeres	24
1999	04	La Ribagorza	Extranjeros	02	Resto de Europa	Europa	Mujeres	7
1999	04	La Ribagorza	Extranjeros	03	Magreb	África	Mujeres	1
1999	04	La Ribagorza	Extranjeros	05	América del Norte	América	Mujeres	1
1999	04	La Ribagorza	Extranjeros	06	Resto de América	América	Mujeres	9
1999	05	Cinco Villas	Españoles	01	UE-15	Europa	Mujeres	14848
1999	05	Cinco Villas	Extranjeros	01	UE-15	Europa	Mujeres	16
1999	05	Cinco Villas	Extranjeros	02	Resto de Europa	Europa	Mujeres	4
1999	05	Cinco Villas	Extranjeros	03	Magreb	África	Mujeres	5
1999	05	Cinco Villas	Extranjeros	04	Resto de África	África	Mujeres	1
1999	05	Cinco Villas	Extranjeros	05	América del Norte	América	Mujeres	1
1999	05	Cinco Villas	Extranjeros	06	Resto de América	América	Mujeres	14
1999	06	Hoya de Huesca / Plana de Uesca	Españoles	01	UE-15	Europa	Mujeres	29773
1999	06	Hoya de Huesca / Plana de Uesca	Extranjeros	01	UE-15	Europa	Mujeres	60
1999	06	Hoya de Huesca / Plana de Uesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1999	06	Hoya de Huesca / Plana de Uesca	Extranjeros	03	Magreb	África	Mujeres	3
1999	06	Hoya de Huesca / Plana de Uesca	Extranjeros	04	Resto de África	África	Mujeres	20
1999	06	Hoya de Huesca / Plana de Uesca	Extranjeros	05	América del Norte	América	Mujeres	9
1999	06	Hoya de Huesca / Plana de Uesca	Extranjeros	06	Resto de América	América	Mujeres	49
1999	06	Hoya de Huesca / Plana de Uesca	Extranjeros	07	Asia	Asia	Mujeres	11
1999	07	Somontano de Barbastro	Españoles	01	UE-15	Europa	Mujeres	10886
1999	07	Somontano de Barbastro	Extranjeros	01	UE-15	Europa	Mujeres	43
1999	07	Somontano de Barbastro	Extranjeros	02	Resto de Europa	Europa	Mujeres	4
1999	07	Somontano de Barbastro	Extranjeros	03	Magreb	África	Mujeres	29
1999	07	Somontano de Barbastro	Extranjeros	04	Resto de África	África	Mujeres	5
1999	07	Somontano de Barbastro	Extranjeros	06	Resto de América	América	Mujeres	17
1999	07	Somontano de Barbastro	Extranjeros	07	Asia	Asia	Mujeres	2
1999	07	Somontano de Barbastro	Extranjeros	08	Oceanía	Oceanía	Mujeres	1
1999	08	Cinca Medio	Españoles	01	UE-15	Europa	Mujeres	10658
1999	08	Cinca Medio	Extranjeros	01	UE-15	Europa	Mujeres	21
1999	08	Cinca Medio	Extranjeros	02	Resto de Europa	Europa	Mujeres	3
1999	08	Cinca Medio	Extranjeros	03	Magreb	África	Mujeres	15
1999	08	Cinca Medio	Extranjeros	04	Resto de África	África	Mujeres	5
1999	08	Cinca Medio	Extranjeros	05	América del Norte	América	Mujeres	2
1999	08	Cinca Medio	Extranjeros	06	Resto de América	América	Mujeres	12
1999	08	Cinca Medio	Extranjeros	07	Asia	Asia	Mujeres	2
1999	09	La Litera / La Llitera	Españoles	01	UE-15	Europa	Mujeres	9132
1999	09	La Litera / La Llitera	Extranjeros	01	UE-15	Europa	Mujeres	12
1999	09	La Litera / La Llitera	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1999	09	La Litera / La Llitera	Extranjeros	03	Magreb	África	Mujeres	4
1999	09	La Litera / La Llitera	Extranjeros	04	Resto de África	África	Mujeres	16
1999	09	La Litera / La Llitera	Extranjeros	05	América del Norte	América	Mujeres	4
1999	09	La Litera / La Llitera	Extranjeros	06	Resto de América	América	Mujeres	24
1999	09	La Litera / La Llitera	Extranjeros	07	Asia	Asia	Mujeres	3
1999	10	Los Monegros	Españoles	01	UE-15	Europa	Mujeres	10325
1999	10	Los Monegros	Extranjeros	01	UE-15	Europa	Mujeres	19
1999	10	Los Monegros	Extranjeros	02	Resto de Europa	Europa	Mujeres	2
1999	10	Los Monegros	Extranjeros	03	Magreb	África	Mujeres	5
1999	10	Los Monegros	Extranjeros	04	Resto de África	África	Mujeres	4
1999	10	Los Monegros	Extranjeros	05	América del Norte	América	Mujeres	5
1999	10	Los Monegros	Extranjeros	06	Resto de América	América	Mujeres	24
1999	11	Bajo Cinca / Baix Cinca	Españoles	01	UE-15	Europa	Mujeres	10944
1999	11	Bajo Cinca / Baix Cinca	Extranjeros	01	UE-15	Europa	Mujeres	5
1999	11	Bajo Cinca / Baix Cinca	Extranjeros	03	Magreb	África	Mujeres	18
1999	11	Bajo Cinca / Baix Cinca	Extranjeros	04	Resto de África	África	Mujeres	2
1999	11	Bajo Cinca / Baix Cinca	Extranjeros	06	Resto de América	América	Mujeres	8
1999	12	Tarazona y el Moncayo	Españoles	01	UE-15	Europa	Mujeres	7020
1999	12	Tarazona y el Moncayo	Extranjeros	01	UE-15	Europa	Mujeres	4
1999	12	Tarazona y el Moncayo	Extranjeros	02	Resto de Europa	Europa	Mujeres	2
1999	12	Tarazona y el Moncayo	Extranjeros	03	Magreb	África	Mujeres	3
1999	12	Tarazona y el Moncayo	Extranjeros	06	Resto de América	América	Mujeres	5
1999	13	Campo de Borja	Españoles	01	UE-15	Europa	Mujeres	6817
1999	13	Campo de Borja	Extranjeros	01	UE-15	Europa	Mujeres	9
1999	13	Campo de Borja	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1999	13	Campo de Borja	Extranjeros	03	Magreb	África	Mujeres	8
1999	13	Campo de Borja	Extranjeros	06	Resto de América	América	Mujeres	10
1999	14	Aranda	Españoles	01	UE-15	Europa	Mujeres	3968
1999	14	Aranda	Extranjeros	01	UE-15	Europa	Mujeres	1
1999	14	Aranda	Extranjeros	02	Resto de Europa	Europa	Mujeres	2
1999	14	Aranda	Extranjeros	03	Magreb	África	Mujeres	7
1999	14	Aranda	Extranjeros	06	Resto de América	América	Mujeres	4
1999	15	Ribera Alta del Ebro	Españoles	01	UE-15	Europa	Mujeres	10619
1999	15	Ribera Alta del Ebro	Extranjeros	01	UE-15	Europa	Mujeres	26
1999	15	Ribera Alta del Ebro	Extranjeros	02	Resto de Europa	Europa	Mujeres	4
1999	15	Ribera Alta del Ebro	Extranjeros	03	Magreb	África	Mujeres	13
1999	15	Ribera Alta del Ebro	Extranjeros	04	Resto de África	África	Mujeres	1
1999	15	Ribera Alta del Ebro	Extranjeros	05	América del Norte	América	Mujeres	1
1999	15	Ribera Alta del Ebro	Extranjeros	06	Resto de América	América	Mujeres	10
1999	15	Ribera Alta del Ebro	Extranjeros	07	Asia	Asia	Mujeres	3
1999	16	Valdejalón	Españoles	01	UE-15	Europa	Mujeres	10250
1999	16	Valdejalón	Extranjeros	01	UE-15	Europa	Mujeres	18
1999	16	Valdejalón	Extranjeros	02	Resto de Europa	Europa	Mujeres	4
1999	16	Valdejalón	Extranjeros	03	Magreb	África	Mujeres	24
1999	16	Valdejalón	Extranjeros	04	Resto de África	África	Mujeres	2
1999	16	Valdejalón	Extranjeros	05	América del Norte	América	Mujeres	1
1999	16	Valdejalón	Extranjeros	06	Resto de América	América	Mujeres	8
1999	17	Central	Españoles	01	UE-15	Europa	Mujeres	325976
1999	17	Central	Extranjeros	01	UE-15	Europa	Mujeres	727
1999	17	Central	Extranjeros	02	Resto de Europa	Europa	Mujeres	109
1999	17	Central	Extranjeros	03	Magreb	África	Mujeres	268
1999	17	Central	Extranjeros	04	Resto de África	África	Mujeres	417
1999	17	Central	Extranjeros	05	América del Norte	América	Mujeres	111
1999	17	Central	Extranjeros	06	Resto de América	América	Mujeres	940
1999	17	Central	Extranjeros	07	Asia	Asia	Mujeres	153
1999	17	Central	Extranjeros	08	Oceanía	Oceanía	Mujeres	3
1999	17	Central	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	2
1999	18	Ribera Baja del Ebro	Españoles	01	UE-15	Europa	Mujeres	4697
1999	18	Ribera Baja del Ebro	Extranjeros	01	UE-15	Europa	Mujeres	8
1999	18	Ribera Baja del Ebro	Extranjeros	02	Resto de Europa	Europa	Mujeres	3
1999	18	Ribera Baja del Ebro	Extranjeros	03	Magreb	África	Mujeres	4
1999	18	Ribera Baja del Ebro	Extranjeros	06	Resto de América	América	Mujeres	4
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Españoles	01	UE-15	Europa	Mujeres	6225
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros	01	UE-15	Europa	Mujeres	13
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros	02	Resto de Europa	Europa	Mujeres	3
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros	03	Magreb	África	Mujeres	5
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros	06	Resto de América	América	Mujeres	18
1999	20	Comunidad de Calatayud	Españoles	01	UE-15	Europa	Mujeres	19317
1999	20	Comunidad de Calatayud	Extranjeros	01	UE-15	Europa	Mujeres	15
1999	20	Comunidad de Calatayud	Extranjeros	02	Resto de Europa	Europa	Mujeres	14
1999	20	Comunidad de Calatayud	Extranjeros	03	Magreb	África	Mujeres	17
1999	20	Comunidad de Calatayud	Extranjeros	05	América del Norte	América	Mujeres	2
1999	20	Comunidad de Calatayud	Extranjeros	06	Resto de América	América	Mujeres	37
1999	20	Comunidad de Calatayud	Extranjeros	07	Asia	Asia	Mujeres	4
1999	20	Comunidad de Calatayud	Extranjeros	08	Oceanía	Oceanía	Mujeres	1
1999	21	Campo de Cariñena	Españoles	01	UE-15	Europa	Mujeres	4715
1999	21	Campo de Cariñena	Extranjeros	01	UE-15	Europa	Mujeres	12
1999	21	Campo de Cariñena	Extranjeros	02	Resto de Europa	Europa	Mujeres	2
1999	21	Campo de Cariñena	Extranjeros	03	Magreb	África	Mujeres	12
1999	21	Campo de Cariñena	Extranjeros	04	Resto de África	África	Mujeres	4
1999	21	Campo de Cariñena	Extranjeros	06	Resto de América	América	Mujeres	4
1999	22	Campo de Belchite	Españoles	01	UE-15	Europa	Mujeres	2249
1999	22	Campo de Belchite	Extranjeros	01	UE-15	Europa	Mujeres	3
1999	22	Campo de Belchite	Extranjeros	06	Resto de América	América	Mujeres	2
1999	23	Bajo Martín	Españoles	01	UE-15	Europa	Mujeres	3789
1999	23	Bajo Martín	Extranjeros	01	UE-15	Europa	Mujeres	3
1999	23	Bajo Martín	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1999	23	Bajo Martín	Extranjeros	03	Magreb	África	Mujeres	2
1999	23	Bajo Martín	Extranjeros	06	Resto de América	América	Mujeres	3
1999	24	Campo de Daroca	Españoles	01	UE-15	Europa	Mujeres	2887
1999	24	Campo de Daroca	Extranjeros	01	UE-15	Europa	Mujeres	4
