Comarca código	Comarca nombre	Situación preferente	Edad	Sexo	Personas residentes viviendas familiares
01	La Jacetania	Otra situación	16-25	Mujeres	4
01	La Jacetania	Otra situación	26-45	Hombres	10
01	La Jacetania	Otra situación	26-45	Mujeres	9
01	La Jacetania	Otra situación	46-64	Hombres	14
01	La Jacetania	Otra situación	46-64	Mujeres	9
01	La Jacetania	Otra situación	65 y más	Hombres	2
01	La Jacetania	Otra situación	65 y más	Mujeres	20
02	Alto Gállego	Estudiantes	16-25	Hombres	326
02	Alto Gállego	Estudiantes	16-25	Mujeres	389
02	Alto Gállego	Estudiantes	26-45	Hombres	26
02	Alto Gállego	Estudiantes	26-45	Mujeres	46
02	Alto Gállego	Estudiantes	46-64	Hombres	2
02	Alto Gállego	Estudiantes	46-64	Mujeres	8
02	Alto Gállego	Estudiantes	65 y más	Hombres	4
02	Alto Gállego	Estudiantes	65 y más	Mujeres	1
02	Alto Gállego	Ocupados	16-25	Hombres	384
02	Alto Gállego	Ocupados	16-25	Mujeres	227
02	Alto Gállego	Ocupados	26-45	Hombres	1882
02	Alto Gállego	Ocupados	26-45	Mujeres	1163
02	Alto Gállego	Ocupados	46-64	Hombres	914
02	Alto Gállego	Ocupados	46-64	Mujeres	408
02	Alto Gállego	Ocupados	65 y más	Hombres	26
02	Alto Gállego	Ocupados	65 y más	Mujeres	28
02	Alto Gállego	Parados buscando el primer empleo	16-25	Hombres	13
02	Alto Gállego	Parados buscando el primer empleo	16-25	Mujeres	24
02	Alto Gállego	Parados buscando el primer empleo	26-45	Hombres	7
02	Alto Gállego	Parados buscando el primer empleo	26-45	Mujeres	24
02	Alto Gállego	Parados buscando el primer empleo	46-64	Mujeres	1
02	Alto Gállego	Parados que han trabajado antes	16-25	Hombres	48
02	Alto Gállego	Parados que han trabajado antes	16-25	Mujeres	38
02	Alto Gállego	Parados que han trabajado antes	26-45	Hombres	77
02	Alto Gállego	Parados que han trabajado antes	26-45	Mujeres	173
02	Alto Gállego	Parados que han trabajado antes	46-64	Hombres	27
02	Alto Gállego	Parados que han trabajado antes	46-64	Mujeres	42
02	Alto Gállego	Parados que han trabajado antes	65 y más	Hombres	1
02	Alto Gállego	Pensionistas de invalidez	16-25	Hombres	2
02	Alto Gállego	Pensionistas de invalidez	16-25	Mujeres	1
02	Alto Gállego	Pensionistas de invalidez	26-45	Hombres	33
02	Alto Gállego	Pensionistas de invalidez	26-45	Mujeres	19
02	Alto Gállego	Pensionistas de invalidez	46-64	Hombres	62
02	Alto Gállego	Pensionistas de invalidez	46-64	Mujeres	32
02	Alto Gállego	Pensionistas de invalidez	65 y más	Hombres	46
02	Alto Gállego	Pensionistas de invalidez	65 y más	Mujeres	14
02	Alto Gállego	Pensionistas de viudedad u orfandad	16-25	Hombres	1
02	Alto Gállego	Pensionistas de viudedad u orfandad	16-25	Mujeres	1
02	Alto Gállego	Pensionistas de viudedad u orfandad	26-45	Mujeres	4
02	Alto Gállego	Pensionistas de viudedad u orfandad	46-64	Mujeres	56
02	Alto Gállego	Pensionistas de viudedad u orfandad	65 y más	Hombres	6
02	Alto Gállego	Pensionistas de viudedad u orfandad	65 y más	Mujeres	454
02	Alto Gállego	Pensionistas de jubilación	46-64	Hombres	226
02	Alto Gállego	Pensionistas de jubilación	46-64	Mujeres	49
02	Alto Gállego	Pensionistas de jubilación	65 y más	Hombres	1209
02	Alto Gállego	Pensionistas de jubilación	65 y más	Mujeres	305
02	Alto Gállego	Realizando tareas de voluntariado	26-45	Mujeres	1
02	Alto Gállego	Dependientes	16-25	Mujeres	1
02	Alto Gállego	Dependientes	26-45	Mujeres	3
02	Alto Gállego	Dependientes	46-64	Hombres	3
02	Alto Gállego	Dependientes	46-64	Mujeres	4
02	Alto Gállego	Dependientes	65 y más	Hombres	2
02	Alto Gállego	Dependientes	65 y más	Mujeres	31
02	Alto Gállego	Realizando o compartiendo las labores del hogar	16-25	Hombres	1
02	Alto Gállego	Realizando o compartiendo las labores del hogar	16-25	Mujeres	25
02	Alto Gállego	Realizando o compartiendo las labores del hogar	26-45	Hombres	5
02	Alto Gállego	Realizando o compartiendo las labores del hogar	26-45	Mujeres	426
02	Alto Gállego	Realizando o compartiendo las labores del hogar	46-64	Hombres	2
02	Alto Gállego	Realizando o compartiendo las labores del hogar	46-64	Mujeres	620
02	Alto Gállego	Realizando o compartiendo las labores del hogar	65 y más	Hombres	11
02	Alto Gállego	Realizando o compartiendo las labores del hogar	65 y más	Mujeres	528
02	Alto Gállego	Otra situación	16-25	Hombres	1
02	Alto Gállego	Otra situación	16-25	Mujeres	2
02	Alto Gállego	Otra situación	26-45	Hombres	3
02	Alto Gállego	Otra situación	26-45	Mujeres	5
02	Alto Gállego	Otra situación	46-64	Hombres	2
02	Alto Gállego	Otra situación	46-64	Mujeres	6
02	Alto Gállego	Otra situación	65 y más	Hombres	3
02	Alto Gállego	Otra situación	65 y más	Mujeres	6
03	Sobrarbe	Estudiantes	16-25	Hombres	127
03	Sobrarbe	Estudiantes	16-25	Mujeres	184
03	Sobrarbe	Estudiantes	26-45	Hombres	8
03	Sobrarbe	Estudiantes	26-45	Mujeres	16
03	Sobrarbe	Estudiantes	46-64	Mujeres	2
03	Sobrarbe	Estudiantes	65 y más	Mujeres	2
03	Sobrarbe	Ocupados	16-25	Hombres	180
03	Sobrarbe	Ocupados	16-25	Mujeres	84
03	Sobrarbe	Ocupados	26-45	Hombres	1042
03	Sobrarbe	Ocupados	26-45	Mujeres	574
03	Sobrarbe	Ocupados	46-64	Hombres	640
03	Sobrarbe	Ocupados	46-64	Mujeres	231
03	Sobrarbe	Ocupados	65 y más	Hombres	19
03	Sobrarbe	Ocupados	65 y más	Mujeres	16
03	Sobrarbe	Parados buscando el primer empleo	16-25	Hombres	16
03	Sobrarbe	Parados buscando el primer empleo	16-25	Mujeres	9
03	Sobrarbe	Parados buscando el primer empleo	26-45	Hombres	3
03	Sobrarbe	Parados buscando el primer empleo	26-45	Mujeres	6
03	Sobrarbe	Parados buscando el primer empleo	46-64	Hombres	1
03	Sobrarbe	Parados buscando el primer empleo	46-64	Mujeres	2
03	Sobrarbe	Parados que han trabajado antes	16-25	Hombres	17
03	Sobrarbe	Parados que han trabajado antes	16-25	Mujeres	11
03	Sobrarbe	Parados que han trabajado antes	26-45	Hombres	47
03	Sobrarbe	Parados que han trabajado antes	26-45	Mujeres	52
03	Sobrarbe	Parados que han trabajado antes	46-64	Hombres	18
03	Sobrarbe	Parados que han trabajado antes	46-64	Mujeres	11
03	Sobrarbe	Parados que han trabajado antes	65 y más	Mujeres	1
03	Sobrarbe	Pensionistas de invalidez	26-45	Hombres	15
03	Sobrarbe	Pensionistas de invalidez	26-45	Mujeres	3
03	Sobrarbe	Pensionistas de invalidez	46-64	Hombres	30
03	Sobrarbe	Pensionistas de invalidez	46-64	Mujeres	9
03	Sobrarbe	Pensionistas de invalidez	65 y más	Hombres	13
03	Sobrarbe	Pensionistas de invalidez	65 y más	Mujeres	15
03	Sobrarbe	Pensionistas de viudedad u orfandad	26-45	Mujeres	7
03	Sobrarbe	Pensionistas de viudedad u orfandad	46-64	Hombres	3
03	Sobrarbe	Pensionistas de viudedad u orfandad	46-64	Mujeres	39
03	Sobrarbe	Pensionistas de viudedad u orfandad	65 y más	Hombres	13
03	Sobrarbe	Pensionistas de viudedad u orfandad	65 y más	Mujeres	319
03	Sobrarbe	Pensionistas de jubilación	46-64	Hombres	85
03	Sobrarbe	Pensionistas de jubilación	46-64	Mujeres	11
03	Sobrarbe	Pensionistas de jubilación	65 y más	Hombres	847
03	Sobrarbe	Pensionistas de jubilación	65 y más	Mujeres	220
03	Sobrarbe	Realizando tareas de voluntariado	65 y más	Hombres	1
03	Sobrarbe	Dependientes	46-64	Hombres	1
03	Sobrarbe	Dependientes	46-64	Mujeres	2
03	Sobrarbe	Dependientes	65 y más	Hombres	1
03	Sobrarbe	Dependientes	65 y más	Mujeres	12
03	Sobrarbe	Realizando o compartiendo las labores del hogar	16-25	Hombres	1
03	Sobrarbe	Realizando o compartiendo las labores del hogar	16-25	Mujeres	15
03	Sobrarbe	Realizando o compartiendo las labores del hogar	26-45	Hombres	8
03	Sobrarbe	Realizando o compartiendo las labores del hogar	26-45	Mujeres	221
03	Sobrarbe	Realizando o compartiendo las labores del hogar	46-64	Hombres	3
03	Sobrarbe	Realizando o compartiendo las labores del hogar	46-64	Mujeres	325
03	Sobrarbe	Realizando o compartiendo las labores del hogar	65 y más	Hombres	10
03	Sobrarbe	Realizando o compartiendo las labores del hogar	65 y más	Mujeres	352
03	Sobrarbe	Otra situación	16-25	Hombres	4
03	Sobrarbe	Otra situación	16-25	Mujeres	1
03	Sobrarbe	Otra situación	26-45	Hombres	6
03	Sobrarbe	Otra situación	26-45	Mujeres	4
03	Sobrarbe	Otra situación	46-64	Hombres	7
03	Sobrarbe	Otra situación	46-64	Mujeres	3
03	Sobrarbe	Otra situación	65 y más	Mujeres	9
04	La Ribagorza	Estudiantes	16-25	Hombres	246
04	La Ribagorza	Estudiantes	16-25	Mujeres	306
04	La Ribagorza	Estudiantes	26-45	Hombres	17
04	La Ribagorza	Estudiantes	26-45	Mujeres	22
04	La Ribagorza	Estudiantes	46-64	Mujeres	7
04	La Ribagorza	Estudiantes	65 y más	Mujeres	2
04	La Ribagorza	Ocupados	16-25	Hombres	291
04	La Ribagorza	Ocupados	16-25	Mujeres	176
04	La Ribagorza	Ocupados	26-45	Hombres	1711
04	La Ribagorza	Ocupados	26-45	Mujeres	1047
04	La Ribagorza	Ocupados	46-64	Hombres	1012
04	La Ribagorza	Ocupados	46-64	Mujeres	417
04	La Ribagorza	Ocupados	65 y más	Hombres	48
04	La Ribagorza	Ocupados	65 y más	Mujeres	35
04	La Ribagorza	Parados buscando el primer empleo	16-25	Hombres	17
04	La Ribagorza	Parados buscando el primer empleo	16-25	Mujeres	18
04	La Ribagorza	Parados buscando el primer empleo	26-45	Hombres	14
04	La Ribagorza	Parados buscando el primer empleo	26-45	Mujeres	22
04	La Ribagorza	Parados buscando el primer empleo	46-64	Hombres	2
04	La Ribagorza	Parados buscando el primer empleo	46-64	Mujeres	4
04	La Ribagorza	Parados que han trabajado antes	16-25	Hombres	23
04	La Ribagorza	Parados que han trabajado antes	16-25	Mujeres	34
04	La Ribagorza	Parados que han trabajado antes	26-45	Hombres	84
04	La Ribagorza	Parados que han trabajado antes	26-45	Mujeres	115
04	La Ribagorza	Parados que han trabajado antes	46-64	Hombres	49
04	La Ribagorza	Parados que han trabajado antes	46-64	Mujeres	20
04	La Ribagorza	Parados que han trabajado antes	65 y más	Hombres	1
04	La Ribagorza	Pensionistas de invalidez	16-25	Hombres	1
04	La Ribagorza	Pensionistas de invalidez	16-25	Mujeres	3
04	La Ribagorza	Pensionistas de invalidez	26-45	Hombres	28
04	La Ribagorza	Pensionistas de invalidez	26-45	Mujeres	16
04	La Ribagorza	Pensionistas de invalidez	46-64	Hombres	45
04	La Ribagorza	Pensionistas de invalidez	46-64	Mujeres	15
04	La Ribagorza	Pensionistas de invalidez	65 y más	Hombres	42
04	La Ribagorza	Pensionistas de invalidez	65 y más	Mujeres	37
04	La Ribagorza	Pensionistas de viudedad u orfandad	26-45	Mujeres	1
04	La Ribagorza	Pensionistas de viudedad u orfandad	46-64	Hombres	1
04	La Ribagorza	Pensionistas de viudedad u orfandad	46-64	Mujeres	64
04	La Ribagorza	Pensionistas de viudedad u orfandad	65 y más	Hombres	23
04	La Ribagorza	Pensionistas de viudedad u orfandad	65 y más	Mujeres	732
04	La Ribagorza	Pensionistas de jubilación	46-64	Hombres	132
04	La Ribagorza	Pensionistas de jubilación	46-64	Mujeres	30
04	La Ribagorza	Pensionistas de jubilación	65 y más	Hombres	1461
04	La Ribagorza	Pensionistas de jubilación	65 y más	Mujeres	403
04	La Ribagorza	Realizando tareas de voluntariado	16-25	Hombres	1
04	La Ribagorza	Realizando tareas de voluntariado	26-45	Mujeres	2
04	La Ribagorza	Realizando tareas de voluntariado	46-64	Mujeres	1
04	La Ribagorza	Dependientes	26-45	Hombres	3
04	La Ribagorza	Dependientes	26-45	Mujeres	2
04	La Ribagorza	Dependientes	46-64	Hombres	1
04	La Ribagorza	Dependientes	65 y más	Hombres	2
04	La Ribagorza	Dependientes	65 y más	Mujeres	15
04	La Ribagorza	Realizando o compartiendo las labores del hogar	16-25	Hombres	3
04	La Ribagorza	Realizando o compartiendo las labores del hogar	16-25	Mujeres	24
04	La Ribagorza	Realizando o compartiendo las labores del hogar	26-45	Hombres	14
04	La Ribagorza	Realizando o compartiendo las labores del hogar	26-45	Mujeres	325
04	La Ribagorza	Realizando o compartiendo las labores del hogar	46-64	Hombres	11
04	La Ribagorza	Realizando o compartiendo las labores del hogar	46-64	Mujeres	516
04	La Ribagorza	Realizando o compartiendo las labores del hogar	65 y más	Hombres	14
04	La Ribagorza	Realizando o compartiendo las labores del hogar	65 y más	Mujeres	520
04	La Ribagorza	Otra situación	16-25	Hombres	1
04	La Ribagorza	Otra situación	16-25	Mujeres	1
04	La Ribagorza	Otra situación	26-45	Hombres	5
04	La Ribagorza	Otra situación	26-45	Mujeres	6
04	La Ribagorza	Otra situación	46-64	Hombres	4
04	La Ribagorza	Otra situación	46-64	Mujeres	2
04	La Ribagorza	Otra situación	65 y más	Hombres	3
04	La Ribagorza	Otra situación	65 y más	Mujeres	10
05	Cinco Villas	Estudiantes	16-25	Hombres	558
05	Cinco Villas	Estudiantes	16-25	Mujeres	837
05	Cinco Villas	Estudiantes	26-45	Hombres	47
05	Cinco Villas	Estudiantes	26-45	Mujeres	133
05	Cinco Villas	Estudiantes	46-64	Hombres	4
05	Cinco Villas	Estudiantes	46-64	Mujeres	92
05	Cinco Villas	Estudiantes	65 y más	Hombres	5
05	Cinco Villas	Estudiantes	65 y más	Mujeres	73
05	Cinco Villas	Ocupados	16-25	Hombres	1231
05	Cinco Villas	Ocupados	16-25	Mujeres	805
05	Cinco Villas	Ocupados	26-45	Hombres	4956
05	Cinco Villas	Ocupados	26-45	Mujeres	2614
05	Cinco Villas	Ocupados	46-64	Hombres	2694
05	Cinco Villas	Ocupados	46-64	Mujeres	844
05	Cinco Villas	Ocupados	65 y más	Hombres	91
05	Cinco Villas	Ocupados	65 y más	Mujeres	58
05	Cinco Villas	Parados buscando el primer empleo	16-25	Hombres	92
05	Cinco Villas	Parados buscando el primer empleo	16-25	Mujeres	74
05	Cinco Villas	Parados buscando el primer empleo	26-45	Hombres	54
05	Cinco Villas	Parados buscando el primer empleo	26-45	Mujeres	47
05	Cinco Villas	Parados buscando el primer empleo	46-64	Hombres	7
05	Cinco Villas	Parados buscando el primer empleo	46-64	Mujeres	9
05	Cinco Villas	Parados que han trabajado antes	16-25	Hombres	88
05	Cinco Villas	Parados que han trabajado antes	16-25	Mujeres	87
05	Cinco Villas	Parados que han trabajado antes	26-45	Hombres	218
05	Cinco Villas	Parados que han trabajado antes	26-45	Mujeres	310
05	Cinco Villas	Parados que han trabajado antes	46-64	Hombres	111
05	Cinco Villas	Parados que han trabajado antes	46-64	Mujeres	63
05	Cinco Villas	Parados que han trabajado antes	65 y más	Hombres	3
05	Cinco Villas	Parados que han trabajado antes	65 y más	Mujeres	1
05	Cinco Villas	Pensionistas de invalidez	16-25	Hombres	6
05	Cinco Villas	Pensionistas de invalidez	16-25	Mujeres	1
05	Cinco Villas	Pensionistas de invalidez	26-45	Hombres	94
05	Cinco Villas	Pensionistas de invalidez	26-45	Mujeres	32
05	Cinco Villas	Pensionistas de invalidez	46-64	Hombres	207
05	Cinco Villas	Pensionistas de invalidez	46-64	Mujeres	52
05	Cinco Villas	Pensionistas de invalidez	65 y más	Hombres	95
05	Cinco Villas	Pensionistas de invalidez	65 y más	Mujeres	38
05	Cinco Villas	Pensionistas de viudedad u orfandad	16-25	Hombres	1
05	Cinco Villas	Pensionistas de viudedad u orfandad	26-45	Hombres	7
05	Cinco Villas	Pensionistas de viudedad u orfandad	26-45	Mujeres	8
05	Cinco Villas	Pensionistas de viudedad u orfandad	46-64	Hombres	9
05	Cinco Villas	Pensionistas de viudedad u orfandad	46-64	Mujeres	155
05	Cinco Villas	Pensionistas de viudedad u orfandad	65 y más	Hombres	38
05	Cinco Villas	Pensionistas de viudedad u orfandad	65 y más	Mujeres	1360
05	Cinco Villas	Pensionistas de jubilación	46-64	Hombres	363
05	Cinco Villas	Pensionistas de jubilación	46-64	Mujeres	48
05	Cinco Villas	Pensionistas de jubilación	65 y más	Hombres	3094
05	Cinco Villas	Pensionistas de jubilación	65 y más	Mujeres	849
05	Cinco Villas	Realizando tareas de voluntariado	16-25	Hombres	2
05	Cinco Villas	Realizando tareas de voluntariado	26-45	Hombres	1
05	Cinco Villas	Realizando tareas de voluntariado	26-45	Mujeres	2
05	Cinco Villas	Realizando tareas de voluntariado	46-64	Hombres	1
05	Cinco Villas	Realizando tareas de voluntariado	46-64	Mujeres	1
05	Cinco Villas	Realizando tareas de voluntariado	65 y más	Mujeres	1
05	Cinco Villas	Dependientes	16-25	Hombres	3
05	Cinco Villas	Dependientes	16-25	Mujeres	3
05	Cinco Villas	Dependientes	26-45	Hombres	7
05	Cinco Villas	Dependientes	26-45	Mujeres	3
05	Cinco Villas	Dependientes	46-64	Hombres	1
05	Cinco Villas	Dependientes	46-64	Mujeres	4
05	Cinco Villas	Dependientes	65 y más	Hombres	7
05	Cinco Villas	Dependientes	65 y más	Mujeres	48
05	Cinco Villas	Realizando o compartiendo las labores del hogar	16-25	Hombres	1
05	Cinco Villas	Realizando o compartiendo las labores del hogar	16-25	Mujeres	84
05	Cinco Villas	Realizando o compartiendo las labores del hogar	26-45	Hombres	7
05	Cinco Villas	Realizando o compartiendo las labores del hogar	26-45	Mujeres	1251
05	Cinco Villas	Realizando o compartiendo las labores del hogar	46-64	Hombres	10
05	Cinco Villas	Realizando o compartiendo las labores del hogar	46-64	Mujeres	1772
05	Cinco Villas	Realizando o compartiendo las labores del hogar	65 y más	Hombres	32
05	Cinco Villas	Realizando o compartiendo las labores del hogar	65 y más	Mujeres	1572
05	Cinco Villas	Otra situación	16-25	Hombres	9
05	Cinco Villas	Otra situación	26-45	Hombres	15
05	Cinco Villas	Otra situación	26-45	Mujeres	15
05	Cinco Villas	Otra situación	46-64	Hombres	21
05	Cinco Villas	Otra situación	46-64	Mujeres	6
05	Cinco Villas	Otra situación	65 y más	Hombres	5
05	Cinco Villas	Otra situación	65 y más	Mujeres	19
06	Hoya de Huesca / Plana de Uesca	Estudiantes	16-25	Hombres	1807
06	Hoya de Huesca / Plana de Uesca	Estudiantes	16-25	Mujeres	2042
06	Hoya de Huesca / Plana de Uesca	Estudiantes	26-45	Hombres	159
06	Hoya de Huesca / Plana de Uesca	Estudiantes	26-45	Mujeres	221
06	Hoya de Huesca / Plana de Uesca	Estudiantes	46-64	Hombres	17
06	Hoya de Huesca / Plana de Uesca	Estudiantes	46-64	Mujeres	52
06	Hoya de Huesca / Plana de Uesca	Estudiantes	65 y más	Hombres	11
06	Hoya de Huesca / Plana de Uesca	Estudiantes	65 y más	Mujeres	26
06	Hoya de Huesca / Plana de Uesca	Ocupados	16-25	Hombres	1842
06	Hoya de Huesca / Plana de Uesca	Ocupados	16-25	Mujeres	1119
06	Hoya de Huesca / Plana de Uesca	Ocupados	26-45	Hombres	8302
06	Hoya de Huesca / Plana de Uesca	Ocupados	26-45	Mujeres	6169
06	Hoya de Huesca / Plana de Uesca	Ocupados	46-64	Hombres	5162
06	Hoya de Huesca / Plana de Uesca	Ocupados	46-64	Mujeres	2704
06	Hoya de Huesca / Plana de Uesca	Ocupados	65 y más	Hombres	136
06	Hoya de Huesca / Plana de Uesca	Ocupados	65 y más	Mujeres	111
06	Hoya de Huesca / Plana de Uesca	Parados buscando el primer empleo	16-25	Hombres	122
06	Hoya de Huesca / Plana de Uesca	Parados buscando el primer empleo	16-25	Mujeres	132
06	Hoya de Huesca / Plana de Uesca	Parados buscando el primer empleo	26-45	Hombres	88
06	Hoya de Huesca / Plana de Uesca	Parados buscando el primer empleo	26-45	Mujeres	121
06	Hoya de Huesca / Plana de Uesca	Parados buscando el primer empleo	46-64	Hombres	9
06	Hoya de Huesca / Plana de Uesca	Parados buscando el primer empleo	46-64	Mujeres	15
06	Hoya de Huesca / Plana de Uesca	Parados que han trabajado antes	16-25	Hombres	175
06	Hoya de Huesca / Plana de Uesca	Parados que han trabajado antes	16-25	Mujeres	217
06	Hoya de Huesca / Plana de Uesca	Parados que han trabajado antes	26-45	Hombres	368
06	Hoya de Huesca / Plana de Uesca	Parados que han trabajado antes	26-45	Mujeres	655
06	Hoya de Huesca / Plana de Uesca	Parados que han trabajado antes	46-64	Hombres	171
06	Hoya de Huesca / Plana de Uesca	Parados que han trabajado antes	46-64	Mujeres	194
06	Hoya de Huesca / Plana de Uesca	Parados que han trabajado antes	65 y más	Hombres	5
06	Hoya de Huesca / Plana de Uesca	Parados que han trabajado antes	65 y más	Mujeres	3
06	Hoya de Huesca / Plana de Uesca	Pensionistas de invalidez	16-25	Hombres	9
06	Hoya de Huesca / Plana de Uesca	Pensionistas de invalidez	16-25	Mujeres	8
06	Hoya de Huesca / Plana de Uesca	Pensionistas de invalidez	26-45	Hombres	140
06	Hoya de Huesca / Plana de Uesca	Pensionistas de invalidez	26-45	Mujeres	85
06	Hoya de Huesca / Plana de Uesca	Pensionistas de invalidez	46-64	Hombres	329
06	Hoya de Huesca / Plana de Uesca	Pensionistas de invalidez	46-64	Mujeres	186
06	Hoya de Huesca / Plana de Uesca	Pensionistas de invalidez	65 y más	Hombres	229
06	Hoya de Huesca / Plana de Uesca	Pensionistas de invalidez	65 y más	Mujeres	136
06	Hoya de Huesca / Plana de Uesca	Pensionistas de viudedad u orfandad	16-25	Mujeres	3
06	Hoya de Huesca / Plana de Uesca	Pensionistas de viudedad u orfandad	26-45	Hombres	9
06	Hoya de Huesca / Plana de Uesca	Pensionistas de viudedad u orfandad	26-45	Mujeres	27
06	Hoya de Huesca / Plana de Uesca	Pensionistas de viudedad u orfandad	46-64	Hombres	14
06	Hoya de Huesca / Plana de Uesca	Pensionistas de viudedad u orfandad	46-64	Mujeres	250
06	Hoya de Huesca / Plana de Uesca	Pensionistas de viudedad u orfandad	65 y más	Hombres	42
06	Hoya de Huesca / Plana de Uesca	Pensionistas de viudedad u orfandad	65 y más	Mujeres	2483
06	Hoya de Huesca / Plana de Uesca	Pensionistas de jubilación	46-64	Hombres	702
06	Hoya de Huesca / Plana de Uesca	Pensionistas de jubilación	46-64	Mujeres	188
06	Hoya de Huesca / Plana de Uesca	Pensionistas de jubilación	65 y más	Hombres	4912
06	Hoya de Huesca / Plana de Uesca	Pensionistas de jubilación	65 y más	Mujeres	1674
06	Hoya de Huesca / Plana de Uesca	Realizando tareas de voluntariado	16-25	Hombres	1
06	Hoya de Huesca / Plana de Uesca	Realizando tareas de voluntariado	16-25	Mujeres	1
06	Hoya de Huesca / Plana de Uesca	Realizando tareas de voluntariado	26-45	Hombres	2
06	Hoya de Huesca / Plana de Uesca	Realizando tareas de voluntariado	26-45	Mujeres	16
06	Hoya de Huesca / Plana de Uesca	Realizando tareas de voluntariado	46-64	Hombres	6
06	Hoya de Huesca / Plana de Uesca	Realizando tareas de voluntariado	46-64	Mujeres	22
06	Hoya de Huesca / Plana de Uesca	Realizando tareas de voluntariado	65 y más	Hombres	2
