Comarca codigo	Comarca nombre	Grupo clase explotación	Explotaciones
14	Aranda	a) Sin tierras	15
14	Aranda	b) Con tierras labradas, pastos permanentes y otras tierras	30
14	Aranda	c) Con tierras labradas, pastos permanentes y sin otras tierras	55
14	Aranda	d) Con tierras labradas y otras tierras, y sin pastos permanentes	79
14	Aranda	e) Con tierras labradas, sin pastos permanentes ni otras tierras	478
14	Aranda	f) Sin tierras labradas, con pastos permanentes y con otras tierras	17
14	Aranda	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	11
15	Ribera Alta del Ebro	a) Sin tierras	30
15	Ribera Alta del Ebro	b) Con tierras labradas, pastos permanentes y otras tierras	15
15	Ribera Alta del Ebro	c) Con tierras labradas, pastos permanentes y sin otras tierras	32
15	Ribera Alta del Ebro	d) Con tierras labradas y otras tierras, y sin pastos permanentes	195
15	Ribera Alta del Ebro	e) Con tierras labradas, sin pastos permanentes ni otras tierras	806
15	Ribera Alta del Ebro	f) Sin tierras labradas, con pastos permanentes y con otras tierras	10
15	Ribera Alta del Ebro	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	12
15	Ribera Alta del Ebro	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	7
16	Valdejalón	a) Sin tierras	29
16	Valdejalón	b) Con tierras labradas, pastos permanentes y otras tierras	84
16	Valdejalón	c) Con tierras labradas, pastos permanentes y sin otras tierras	119
16	Valdejalón	d) Con tierras labradas y otras tierras, y sin pastos permanentes	371
16	Valdejalón	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1870
16	Valdejalón	f) Sin tierras labradas, con pastos permanentes y con otras tierras	11
16	Valdejalón	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	25
16	Valdejalón	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	6
17	D.C. Zaragoza	a) Sin tierras	48
17	D.C. Zaragoza	b) Con tierras labradas, pastos permanentes y otras tierras	63
17	D.C. Zaragoza	c) Con tierras labradas, pastos permanentes y sin otras tierras	89
17	D.C. Zaragoza	d) Con tierras labradas y otras tierras, y sin pastos permanentes	370
17	D.C. Zaragoza	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1979
17	D.C. Zaragoza	f) Sin tierras labradas, con pastos permanentes y con otras tierras	15
17	D.C. Zaragoza	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	35
17	D.C. Zaragoza	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	10
18	Ribera Baja del Ebro	a) Sin tierras	25
18	Ribera Baja del Ebro	b) Con tierras labradas, pastos permanentes y otras tierras	30
18	Ribera Baja del Ebro	c) Con tierras labradas, pastos permanentes y sin otras tierras	57
18	Ribera Baja del Ebro	d) Con tierras labradas y otras tierras, y sin pastos permanentes	95
18	Ribera Baja del Ebro	e) Con tierras labradas, sin pastos permanentes ni otras tierras	834
18	Ribera Baja del Ebro	f) Sin tierras labradas, con pastos permanentes y con otras tierras	10
18	Ribera Baja del Ebro	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	22
18	Ribera Baja del Ebro	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	6
19	Bajo Aragón-Caspe / Baix Aragó-Casp	a) Sin tierras	45
19	Bajo Aragón-Caspe / Baix Aragó-Casp	b) Con tierras labradas, pastos permanentes y otras tierras	40
19	Bajo Aragón-Caspe / Baix Aragó-Casp	c) Con tierras labradas, pastos permanentes y sin otras tierras	47
19	Bajo Aragón-Caspe / Baix Aragó-Casp	d) Con tierras labradas y otras tierras, y sin pastos permanentes	306
19	Bajo Aragón-Caspe / Baix Aragó-Casp	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1148
19	Bajo Aragón-Caspe / Baix Aragó-Casp	f) Sin tierras labradas, con pastos permanentes y con otras tierras	6
19	Bajo Aragón-Caspe / Baix Aragó-Casp	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	14
19	Bajo Aragón-Caspe / Baix Aragó-Casp	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	11
20	Comunidad de Calatayud	a) Sin tierras	47
20	Comunidad de Calatayud	b) Con tierras labradas, pastos permanentes y otras tierras	156
20	Comunidad de Calatayud	c) Con tierras labradas, pastos permanentes y sin otras tierras	269
20	Comunidad de Calatayud	d) Con tierras labradas y otras tierras, y sin pastos permanentes	646
20	Comunidad de Calatayud	e) Con tierras labradas, sin pastos permanentes ni otras tierras	2136
20	Comunidad de Calatayud	f) Sin tierras labradas, con pastos permanentes y con otras tierras	43
20	Comunidad de Calatayud	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	50
20	Comunidad de Calatayud	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	8
21	Campo de Cariñena	a) Sin tierras	9
21	Campo de Cariñena	b) Con tierras labradas, pastos permanentes y otras tierras	34
21	Campo de Cariñena	c) Con tierras labradas, pastos permanentes y sin otras tierras	79
21	Campo de Cariñena	d) Con tierras labradas y otras tierras, y sin pastos permanentes	284
21	Campo de Cariñena	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1546
21	Campo de Cariñena	f) Sin tierras labradas, con pastos permanentes y con otras tierras	9
21	Campo de Cariñena	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	13
21	Campo de Cariñena	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	2
22	Campo de Belchite	a) Sin tierras	23
22	Campo de Belchite	b) Con tierras labradas, pastos permanentes y otras tierras	24
22	Campo de Belchite	c) Con tierras labradas, pastos permanentes y sin otras tierras	76
22	Campo de Belchite	d) Con tierras labradas y otras tierras, y sin pastos permanentes	119
22	Campo de Belchite	e) Con tierras labradas, sin pastos permanentes ni otras tierras	828
22	Campo de Belchite	f) Sin tierras labradas, con pastos permanentes y con otras tierras	7
22	Campo de Belchite	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	52
22	Campo de Belchite	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
23	Bajo Martín	a) Sin tierras	24
23	Bajo Martín	b) Con tierras labradas, pastos permanentes y otras tierras	27
23	Bajo Martín	c) Con tierras labradas, pastos permanentes y sin otras tierras	47
23	Bajo Martín	d) Con tierras labradas y otras tierras, y sin pastos permanentes	143
23	Bajo Martín	e) Con tierras labradas, sin pastos permanentes ni otras tierras	564
23	Bajo Martín	f) Sin tierras labradas, con pastos permanentes y con otras tierras	9
23	Bajo Martín	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	16
23	Bajo Martín	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	26
24	Campo de Daroca	a) Sin tierras	8
24	Campo de Daroca	b) Con tierras labradas, pastos permanentes y otras tierras	86
24	Campo de Daroca	c) Con tierras labradas, pastos permanentes y sin otras tierras	111
24	Campo de Daroca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	233
24	Campo de Daroca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	754
24	Campo de Daroca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	13
24	Campo de Daroca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	18
24	Campo de Daroca	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	4
25	Jiloca	a) Sin tierras	56
25	Jiloca	b) Con tierras labradas, pastos permanentes y otras tierras	187
25	Jiloca	c) Con tierras labradas, pastos permanentes y sin otras tierras	198
25	Jiloca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	407
25	Jiloca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	985
25	Jiloca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	31
25	Jiloca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	22
25	Jiloca	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	8
26	Cuencas Mineras	a) Sin tierras	21
26	Cuencas Mineras	b) Con tierras labradas, pastos permanentes y otras tierras	54
26	Cuencas Mineras	c) Con tierras labradas, pastos permanentes y sin otras tierras	82
26	Cuencas Mineras	d) Con tierras labradas y otras tierras, y sin pastos permanentes	90
26	Cuencas Mineras	e) Con tierras labradas, sin pastos permanentes ni otras tierras	341
26	Cuencas Mineras	f) Sin tierras labradas, con pastos permanentes y con otras tierras	21
26	Cuencas Mineras	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	26
27	Andorra-Sierra de Arcos	a) Sin tierras	6
27	Andorra-Sierra de Arcos	b) Con tierras labradas, pastos permanentes y otras tierras	23
27	Andorra-Sierra de Arcos	c) Con tierras labradas, pastos permanentes y sin otras tierras	44
27	Andorra-Sierra de Arcos	d) Con tierras labradas y otras tierras, y sin pastos permanentes	103
27	Andorra-Sierra de Arcos	e) Con tierras labradas, sin pastos permanentes ni otras tierras	573
27	Andorra-Sierra de Arcos	f) Sin tierras labradas, con pastos permanentes y con otras tierras	4
27	Andorra-Sierra de Arcos	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	4
28	Bajo Aragón	a) Sin tierras	72
28	Bajo Aragón	b) Con tierras labradas, pastos permanentes y otras tierras	60
28	Bajo Aragón	c) Con tierras labradas, pastos permanentes y sin otras tierras	100
28	Bajo Aragón	d) Con tierras labradas y otras tierras, y sin pastos permanentes	308
28	Bajo Aragón	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1568
28	Bajo Aragón	f) Sin tierras labradas, con pastos permanentes y con otras tierras	11
28	Bajo Aragón	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	16
28	Bajo Aragón	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	10
29	Comunidad de Teruel	a) Sin tierras	41
29	Comunidad de Teruel	b) Con tierras labradas, pastos permanentes y otras tierras	156
29	Comunidad de Teruel	c) Con tierras labradas, pastos permanentes y sin otras tierras	232
29	Comunidad de Teruel	d) Con tierras labradas y otras tierras, y sin pastos permanentes	360
29	Comunidad de Teruel	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1297
29	Comunidad de Teruel	f) Sin tierras labradas, con pastos permanentes y con otras tierras	36
29	Comunidad de Teruel	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	21
29	Comunidad de Teruel	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	4
30	Maestrazgo	a) Sin tierras	22
30	Maestrazgo	b) Con tierras labradas, pastos permanentes y otras tierras	140
30	Maestrazgo	c) Con tierras labradas, pastos permanentes y sin otras tierras	98
30	Maestrazgo	d) Con tierras labradas y otras tierras, y sin pastos permanentes	106
30	Maestrazgo	e) Con tierras labradas, sin pastos permanentes ni otras tierras	161
30	Maestrazgo	f) Sin tierras labradas, con pastos permanentes y con otras tierras	35
30	Maestrazgo	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	26
30	Maestrazgo	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	8
31	Sierra de Albarracín	a) Sin tierras	14
31	Sierra de Albarracín	b) Con tierras labradas, pastos permanentes y otras tierras	52
31	Sierra de Albarracín	c) Con tierras labradas, pastos permanentes y sin otras tierras	31
31	Sierra de Albarracín	d) Con tierras labradas y otras tierras, y sin pastos permanentes	43
31	Sierra de Albarracín	e) Con tierras labradas, sin pastos permanentes ni otras tierras	174
31	Sierra de Albarracín	f) Sin tierras labradas, con pastos permanentes y con otras tierras	35
31	Sierra de Albarracín	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	10
31	Sierra de Albarracín	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	4
32	Gúdar-Javalambre	a) Sin tierras	18
32	Gúdar-Javalambre	b) Con tierras labradas, pastos permanentes y otras tierras	198
32	Gúdar-Javalambre	c) Con tierras labradas, pastos permanentes y sin otras tierras	105
32	Gúdar-Javalambre	d) Con tierras labradas y otras tierras, y sin pastos permanentes	136
32	Gúdar-Javalambre	e) Con tierras labradas, sin pastos permanentes ni otras tierras	260
32	Gúdar-Javalambre	f) Sin tierras labradas, con pastos permanentes y con otras tierras	55
32	Gúdar-Javalambre	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	22
32	Gúdar-Javalambre	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	4
33	Matarraña / Matarranya	a) Sin tierras	57
33	Matarraña / Matarranya	b) Con tierras labradas, pastos permanentes y otras tierras	167
33	Matarraña / Matarranya	c) Con tierras labradas, pastos permanentes y sin otras tierras	59
33	Matarraña / Matarranya	d) Con tierras labradas y otras tierras, y sin pastos permanentes	555
33	Matarraña / Matarranya	e) Con tierras labradas, sin pastos permanentes ni otras tierras	764
33	Matarraña / Matarranya	f) Sin tierras labradas, con pastos permanentes y con otras tierras	10
33	Matarraña / Matarranya	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	7
33	Matarraña / Matarranya	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	11
