Año	Residencia comarca código	Residencia comarca nombre	Edad (grupos quinquenales)	Sexo	Personas
1998	08	Cinca Medio	45 a 49	Mujeres	610
1998	08	Cinca Medio	50 a 54	Mujeres	583
1998	08	Cinca Medio	55 a 59	Mujeres	550
1998	08	Cinca Medio	60 a 64	Mujeres	664
1998	08	Cinca Medio	65 a 69	Mujeres	733
1998	08	Cinca Medio	70 a 74	Mujeres	691
1998	08	Cinca Medio	75 a 79	Mujeres	564
1998	08	Cinca Medio	80 a 84	Mujeres	377
1998	08	Cinca Medio	85 a 89	Mujeres	199
1998	08	Cinca Medio	90 a 94	Mujeres	65
1998	08	Cinca Medio	95 y más	Mujeres	18
1998	09	La Litera / La Llitera	00 a 04	Mujeres	321
1998	09	La Litera / La Llitera	05 a 09	Mujeres	345
1998	09	La Litera / La Llitera	10 a 14	Mujeres	364
1998	09	La Litera / La Llitera	15 a 19	Mujeres	543
1998	09	La Litera / La Llitera	20 a 24	Mujeres	611
1998	09	La Litera / La Llitera	25 a 29	Mujeres	612
1998	09	La Litera / La Llitera	30 a 34	Mujeres	644
1998	09	La Litera / La Llitera	35 a 39	Mujeres	573
1998	09	La Litera / La Llitera	40 a 44	Mujeres	535
1998	09	La Litera / La Llitera	45 a 49	Mujeres	541
1998	09	La Litera / La Llitera	50 a 54	Mujeres	550
1998	09	La Litera / La Llitera	55 a 59	Mujeres	445
1998	09	La Litera / La Llitera	60 a 64	Mujeres	621
1998	09	La Litera / La Llitera	65 a 69	Mujeres	670
1998	09	La Litera / La Llitera	70 a 74	Mujeres	671
1998	09	La Litera / La Llitera	75 a 79	Mujeres	539
1998	09	La Litera / La Llitera	80 a 84	Mujeres	378
1998	09	La Litera / La Llitera	85 a 89	Mujeres	244
1998	09	La Litera / La Llitera	90 a 94	Mujeres	101
1998	09	La Litera / La Llitera	95 y más	Mujeres	19
1998	10	Los Monegros	00 a 04	Mujeres	290
1998	10	Los Monegros	05 a 09	Mujeres	371
1998	10	Los Monegros	10 a 14	Mujeres	467
1998	10	Los Monegros	15 a 19	Mujeres	606
1998	10	Los Monegros	20 a 24	Mujeres	672
1998	10	Los Monegros	25 a 29	Mujeres	671
1998	10	Los Monegros	30 a 34	Mujeres	723
1998	10	Los Monegros	35 a 39	Mujeres	686
1998	10	Los Monegros	40 a 44	Mujeres	591
1998	10	Los Monegros	45 a 49	Mujeres	564
1998	10	Los Monegros	50 a 54	Mujeres	596
1998	10	Los Monegros	55 a 59	Mujeres	523
1998	10	Los Monegros	60 a 64	Mujeres	749
1998	10	Los Monegros	65 a 69	Mujeres	824
1998	10	Los Monegros	70 a 74	Mujeres	796
1998	10	Los Monegros	75 a 79	Mujeres	604
1998	10	Los Monegros	80 a 84	Mujeres	437
1998	10	Los Monegros	85 a 89	Mujeres	257
1998	10	Los Monegros	90 a 94	Mujeres	100
1998	10	Los Monegros	95 y más	Mujeres	14
1998	11	Bajo Cinca / Baix Cinca	00 a 04	Mujeres	470
1998	11	Bajo Cinca / Baix Cinca	05 a 09	Mujeres	508
1998	11	Bajo Cinca / Baix Cinca	10 a 14	Mujeres	576
1998	11	Bajo Cinca / Baix Cinca	15 a 19	Mujeres	686
1998	11	Bajo Cinca / Baix Cinca	20 a 24	Mujeres	763
1998	11	Bajo Cinca / Baix Cinca	25 a 29	Mujeres	756
1998	11	Bajo Cinca / Baix Cinca	30 a 34	Mujeres	804
1998	11	Bajo Cinca / Baix Cinca	35 a 39	Mujeres	749
1998	11	Bajo Cinca / Baix Cinca	40 a 44	Mujeres	669
1998	11	Bajo Cinca / Baix Cinca	45 a 49	Mujeres	596
1998	11	Bajo Cinca / Baix Cinca	50 a 54	Mujeres	647
1998	11	Bajo Cinca / Baix Cinca	55 a 59	Mujeres	507
1998	11	Bajo Cinca / Baix Cinca	60 a 64	Mujeres	715
1998	11	Bajo Cinca / Baix Cinca	65 a 69	Mujeres	715
1998	11	Bajo Cinca / Baix Cinca	70 a 74	Mujeres	646
1998	11	Bajo Cinca / Baix Cinca	75 a 79	Mujeres	554
1998	11	Bajo Cinca / Baix Cinca	80 a 84	Mujeres	371
1998	11	Bajo Cinca / Baix Cinca	85 a 89	Mujeres	220
1998	11	Bajo Cinca / Baix Cinca	90 a 94	Mujeres	89
1998	11	Bajo Cinca / Baix Cinca	95 y más	Mujeres	29
1998	12	Tarazona y el Moncayo	00 a 04	Mujeres	193
1998	12	Tarazona y el Moncayo	05 a 09	Mujeres	280
1998	12	Tarazona y el Moncayo	10 a 14	Mujeres	311
1998	12	Tarazona y el Moncayo	15 a 19	Mujeres	387
1998	12	Tarazona y el Moncayo	20 a 24	Mujeres	500
1998	12	Tarazona y el Moncayo	25 a 29	Mujeres	497
1998	12	Tarazona y el Moncayo	30 a 34	Mujeres	483
1998	12	Tarazona y el Moncayo	35 a 39	Mujeres	431
1998	12	Tarazona y el Moncayo	40 a 44	Mujeres	396
1998	12	Tarazona y el Moncayo	45 a 49	Mujeres	369
1998	12	Tarazona y el Moncayo	50 a 54	Mujeres	414
1998	12	Tarazona y el Moncayo	55 a 59	Mujeres	340
1998	12	Tarazona y el Moncayo	60 a 64	Mujeres	481
1998	12	Tarazona y el Moncayo	65 a 69	Mujeres	505
1998	12	Tarazona y el Moncayo	70 a 74	Mujeres	482
1998	12	Tarazona y el Moncayo	75 a 79	Mujeres	461
1998	12	Tarazona y el Moncayo	80 a 84	Mujeres	314
1998	12	Tarazona y el Moncayo	85 a 89	Mujeres	202
1998	12	Tarazona y el Moncayo	90 a 94	Mujeres	82
1998	12	Tarazona y el Moncayo	95 y más	Mujeres	18
1998	13	Campo de Borja	00 a 04	Mujeres	203
1998	13	Campo de Borja	05 a 09	Mujeres	248
1998	13	Campo de Borja	10 a 14	Mujeres	311
1998	13	Campo de Borja	15 a 19	Mujeres	373
1998	13	Campo de Borja	20 a 24	Mujeres	415
1998	13	Campo de Borja	25 a 29	Mujeres	435
1998	13	Campo de Borja	30 a 34	Mujeres	506
1998	13	Campo de Borja	35 a 39	Mujeres	458
1998	13	Campo de Borja	40 a 44	Mujeres	343
1998	13	Campo de Borja	45 a 49	Mujeres	327
1998	13	Campo de Borja	50 a 54	Mujeres	380
1998	13	Campo de Borja	55 a 59	Mujeres	351
1998	13	Campo de Borja	60 a 64	Mujeres	476
1998	13	Campo de Borja	65 a 69	Mujeres	532
1998	13	Campo de Borja	70 a 74	Mujeres	476
1998	13	Campo de Borja	75 a 79	Mujeres	436
1998	13	Campo de Borja	80 a 84	Mujeres	307
1998	13	Campo de Borja	85 a 89	Mujeres	205
1998	13	Campo de Borja	90 a 94	Mujeres	72
1998	13	Campo de Borja	95 y más	Mujeres	30
1998	14	Aranda	00 a 04	Mujeres	170
1998	14	Aranda	05 a 09	Mujeres	185
1998	14	Aranda	10 a 14	Mujeres	190
1998	14	Aranda	15 a 19	Mujeres	250
1998	14	Aranda	20 a 24	Mujeres	278
1998	14	Aranda	25 a 29	Mujeres	318
1998	14	Aranda	30 a 34	Mujeres	327
1998	14	Aranda	35 a 39	Mujeres	258
1998	14	Aranda	40 a 44	Mujeres	238
1998	14	Aranda	45 a 49	Mujeres	176
1998	14	Aranda	50 a 54	Mujeres	213
1998	14	Aranda	55 a 59	Mujeres	211
1998	14	Aranda	60 a 64	Mujeres	238
1998	14	Aranda	65 a 69	Mujeres	271
1998	14	Aranda	70 a 74	Mujeres	218
1998	14	Aranda	75 a 79	Mujeres	182
1998	14	Aranda	80 a 84	Mujeres	141
1998	14	Aranda	85 a 89	Mujeres	87
1998	14	Aranda	90 a 94	Mujeres	40
1998	14	Aranda	95 y más	Mujeres	15
1998	15	Ribera Alta del Ebro	00 a 04	Mujeres	363
1998	15	Ribera Alta del Ebro	05 a 09	Mujeres	499
1998	15	Ribera Alta del Ebro	10 a 14	Mujeres	529
1998	15	Ribera Alta del Ebro	15 a 19	Mujeres	654
1998	15	Ribera Alta del Ebro	20 a 24	Mujeres	681
1998	15	Ribera Alta del Ebro	25 a 29	Mujeres	642
1998	15	Ribera Alta del Ebro	30 a 34	Mujeres	749
1998	15	Ribera Alta del Ebro	35 a 39	Mujeres	813
1998	15	Ribera Alta del Ebro	40 a 44	Mujeres	667
1998	15	Ribera Alta del Ebro	45 a 49	Mujeres	559
1998	15	Ribera Alta del Ebro	50 a 54	Mujeres	552
1998	15	Ribera Alta del Ebro	55 a 59	Mujeres	512
1998	15	Ribera Alta del Ebro	60 a 64	Mujeres	688
1998	15	Ribera Alta del Ebro	65 a 69	Mujeres	770
1998	15	Ribera Alta del Ebro	70 a 74	Mujeres	717
1998	15	Ribera Alta del Ebro	75 a 79	Mujeres	599
1998	15	Ribera Alta del Ebro	80 a 84	Mujeres	417
1998	15	Ribera Alta del Ebro	85 a 89	Mujeres	214
1998	15	Ribera Alta del Ebro	90 a 94	Mujeres	71
1998	15	Ribera Alta del Ebro	95 y más	Mujeres	34
1998	16	Valdejalón	00 a 04	Mujeres	363
1998	16	Valdejalón	05 a 09	Mujeres	436
1998	16	Valdejalón	10 a 14	Mujeres	466
1998	16	Valdejalón	15 a 19	Mujeres	563
1998	16	Valdejalón	20 a 24	Mujeres	686
1998	16	Valdejalón	25 a 29	Mujeres	749
1998	16	Valdejalón	30 a 34	Mujeres	743
1998	16	Valdejalón	35 a 39	Mujeres	641
1998	16	Valdejalón	40 a 44	Mujeres	558
1998	16	Valdejalón	45 a 49	Mujeres	527
1998	16	Valdejalón	50 a 54	Mujeres	556
1998	16	Valdejalón	55 a 59	Mujeres	543
1998	16	Valdejalón	60 a 64	Mujeres	650
1998	16	Valdejalón	65 a 69	Mujeres	749
1998	16	Valdejalón	70 a 74	Mujeres	771
1998	16	Valdejalón	75 a 79	Mujeres	587
1998	16	Valdejalón	80 a 84	Mujeres	399
1998	16	Valdejalón	85 a 89	Mujeres	243
1998	16	Valdejalón	90 a 94	Mujeres	110
1998	16	Valdejalón	95 y más	Mujeres	24
1998	17	D.C. Zaragoza	00 a 04	Mujeres	12698
1998	17	D.C. Zaragoza	05 a 09	Mujeres	13668
1998	17	D.C. Zaragoza	10 a 14	Mujeres	15728
1998	17	D.C. Zaragoza	15 a 19	Mujeres	21015
1998	17	D.C. Zaragoza	20 a 24	Mujeres	25989
1998	17	D.C. Zaragoza	25 a 29	Mujeres	25099
1998	17	D.C. Zaragoza	30 a 34	Mujeres	25045
1998	17	D.C. Zaragoza	35 a 39	Mujeres	24652
1998	17	D.C. Zaragoza	40 a 44	Mujeres	23392
1998	17	D.C. Zaragoza	45 a 49	Mujeres	22700
1998	17	D.C. Zaragoza	50 a 54	Mujeres	21317
1998	17	D.C. Zaragoza	55 a 59	Mujeres	16323
1998	17	D.C. Zaragoza	60 a 64	Mujeres	18538
1998	17	D.C. Zaragoza	65 a 69	Mujeres	18563
1998	17	D.C. Zaragoza	70 a 74	Mujeres	16406
1998	17	D.C. Zaragoza	75 a 79	Mujeres	13465
1998	17	D.C. Zaragoza	80 a 84	Mujeres	8747
1998	17	D.C. Zaragoza	85 a 89	Mujeres	5055
1998	17	D.C. Zaragoza	90 a 94	Mujeres	1829
1998	17	D.C. Zaragoza	95 y más	Mujeres	432
1998	18	Ribera Baja del Ebro	00 a 04	Mujeres	172
1998	18	Ribera Baja del Ebro	05 a 09	Mujeres	166
1998	18	Ribera Baja del Ebro	10 a 14	Mujeres	213
1998	18	Ribera Baja del Ebro	15 a 19	Mujeres	277
1998	18	Ribera Baja del Ebro	20 a 24	Mujeres	272
1998	18	Ribera Baja del Ebro	25 a 29	Mujeres	305
1998	18	Ribera Baja del Ebro	30 a 34	Mujeres	298
1998	18	Ribera Baja del Ebro	35 a 39	Mujeres	345
1998	18	Ribera Baja del Ebro	40 a 44	Mujeres	285
1998	18	Ribera Baja del Ebro	45 a 49	Mujeres	248
1998	18	Ribera Baja del Ebro	50 a 54	Mujeres	220
1998	18	Ribera Baja del Ebro	55 a 59	Mujeres	219
1998	18	Ribera Baja del Ebro	60 a 64	Mujeres	334
1998	18	Ribera Baja del Ebro	65 a 69	Mujeres	336
1998	18	Ribera Baja del Ebro	70 a 74	Mujeres	349
1998	18	Ribera Baja del Ebro	75 a 79	Mujeres	281
1998	18	Ribera Baja del Ebro	80 a 84	Mujeres	172
1998	18	Ribera Baja del Ebro	85 a 89	Mujeres	108
1998	18	Ribera Baja del Ebro	90 a 94	Mujeres	40
1998	18	Ribera Baja del Ebro	95 y más	Mujeres	2
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	00 a 04	Mujeres	198
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	05 a 09	Mujeres	250
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	10 a 14	Mujeres	298
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	15 a 19	Mujeres	381
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	20 a 24	Mujeres	399
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	25 a 29	Mujeres	357
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	30 a 34	Mujeres	393
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	35 a 39	Mujeres	410
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	40 a 44	Mujeres	365
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	45 a 49	Mujeres	390
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	50 a 54	Mujeres	338
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	55 a 59	Mujeres	279
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	60 a 64	Mujeres	441
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 a 69	Mujeres	445
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	70 a 74	Mujeres	441
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	75 a 79	Mujeres	384
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	80 a 84	Mujeres	271
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	85 a 89	Mujeres	163
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	90 a 94	Mujeres	58
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	95 y más	Mujeres	17
1998	20	Comunidad de Calatayud	00 a 04	Mujeres	270
1998	20	Comunidad de Calatayud	05 a 09	Mujeres	305
1998	20	Comunidad de Calatayud	10 a 14	Mujeres	305
1998	20	Comunidad de Calatayud	15 a 19	Mujeres	471
1998	20	Comunidad de Calatayud	20 a 24	Mujeres	582
1998	20	Comunidad de Calatayud	25 a 29	Mujeres	680
1998	20	Comunidad de Calatayud	30 a 34	Mujeres	583
1998	20	Comunidad de Calatayud	35 a 39	Mujeres	563
1998	20	Comunidad de Calatayud	40 a 44	Mujeres	395
1998	20	Comunidad de Calatayud	45 a 49	Mujeres	473
1998	20	Comunidad de Calatayud	50 a 54	Mujeres	569
1998	20	Comunidad de Calatayud	55 a 59	Mujeres	633
1998	20	Comunidad de Calatayud	60 a 64	Mujeres	829
1998	20	Comunidad de Calatayud	65 a 69	Mujeres	1088
1998	20	Comunidad de Calatayud	70 a 74	Mujeres	1032
1998	20	Comunidad de Calatayud	75 a 79	Mujeres	874
1998	20	Comunidad de Calatayud	80 a 84	Mujeres	603
1998	20	Comunidad de Calatayud	85 a 89	Mujeres	430
1998	20	Comunidad de Calatayud	90 a 94	Mujeres	168
1998	20	Comunidad de Calatayud	95 y más	Mujeres	50
1998	21	Campo de Cariñena	00 a 04	Mujeres	156
1998	21	Campo de Cariñena	05 a 09	Mujeres	190
1998	21	Campo de Cariñena	10 a 14	Mujeres	187
1998	21	Campo de Cariñena	15 a 19	Mujeres	253
1998	21	Campo de Cariñena	20 a 24	Mujeres	284
1998	21	Campo de Cariñena	25 a 29	Mujeres	316
1998	21	Campo de Cariñena	30 a 34	Mujeres	318
1998	21	Campo de Cariñena	35 a 39	Mujeres	329
1998	21	Campo de Cariñena	40 a 44	Mujeres	276
1998	21	Campo de Cariñena	45 a 49	Mujeres	217
1998	21	Campo de Cariñena	50 a 54	Mujeres	231
1998	21	Campo de Cariñena	55 a 59	Mujeres	261
1998	21	Campo de Cariñena	60 a 64	Mujeres	309
1998	21	Campo de Cariñena	65 a 69	Mujeres	442
1998	21	Campo de Cariñena	70 a 74	Mujeres	413
1998	21	Campo de Cariñena	75 a 79	Mujeres	285
1998	21	Campo de Cariñena	80 a 84	Mujeres	163
1998	21	Campo de Cariñena	85 a 89	Mujeres	129
1998	21	Campo de Cariñena	90 a 94	Mujeres	49
1998	21	Campo de Cariñena	95 y más	Mujeres	11
1998	22	Campo de Belchite	00 a 04	Mujeres	63
1998	22	Campo de Belchite	05 a 09	Mujeres	58
1998	22	Campo de Belchite	10 a 14	Mujeres	65
1998	22	Campo de Belchite	15 a 19	Mujeres	76
1998	22	Campo de Belchite	20 a 24	Mujeres	115
1998	22	Campo de Belchite	25 a 29	Mujeres	146
1998	22	Campo de Belchite	30 a 34	Mujeres	141
1998	22	Campo de Belchite	35 a 39	Mujeres	107
1998	22	Campo de Belchite	40 a 44	Mujeres	96
1998	22	Campo de Belchite	45 a 49	Mujeres	106
1998	22	Campo de Belchite	50 a 54	Mujeres	108
1998	22	Campo de Belchite	55 a 59	Mujeres	131
1998	22	Campo de Belchite	60 a 64	Mujeres	184
1998	22	Campo de Belchite	65 a 69	Mujeres	244
1998	22	Campo de Belchite	70 a 74	Mujeres	193
1998	22	Campo de Belchite	75 a 79	Mujeres	169
1998	22	Campo de Belchite	80 a 84	Mujeres	124
1998	22	Campo de Belchite	85 a 89	Mujeres	95
1998	22	Campo de Belchite	90 a 94	Mujeres	37
1998	22	Campo de Belchite	95 y más	Mujeres	13
1998	23	Bajo Martín	00 a 04	Mujeres	107
1998	23	Bajo Martín	05 a 09	Mujeres	156
1998	23	Bajo Martín	10 a 14	Mujeres	154
1998	23	Bajo Martín	15 a 19	Mujeres	209
1998	23	Bajo Martín	20 a 24	Mujeres	223
1998	23	Bajo Martín	25 a 29	Mujeres	220
1998	23	Bajo Martín	30 a 34	Mujeres	218
1998	23	Bajo Martín	35 a 39	Mujeres	244
1998	23	Bajo Martín	40 a 44	Mujeres	172
1998	23	Bajo Martín	45 a 49	Mujeres	189
1998	23	Bajo Martín	50 a 54	Mujeres	205
1998	23	Bajo Martín	55 a 59	Mujeres	182
1998	23	Bajo Martín	60 a 64	Mujeres	287
1998	23	Bajo Martín	65 a 69	Mujeres	339
1998	23	Bajo Martín	70 a 74	Mujeres	322
1998	23	Bajo Martín	75 a 79	Mujeres	297
1998	23	Bajo Martín	80 a 84	Mujeres	177
1998	23	Bajo Martín	85 a 89	Mujeres	127
1998	23	Bajo Martín	90 a 94	Mujeres	46
1998	23	Bajo Martín	95 y más	Mujeres	9
1998	24	Campo de Daroca	00 a 04	Mujeres	69
1998	24	Campo de Daroca	05 a 09	Mujeres	79
1998	24	Campo de Daroca	10 a 14	Mujeres	106
1998	24	Campo de Daroca	15 a 19	Mujeres	94
1998	24	Campo de Daroca	20 a 24	Mujeres	151
1998	24	Campo de Daroca	25 a 29	Mujeres	161
1998	24	Campo de Daroca	30 a 34	Mujeres	182
