Provincia código	Provincia nombre	Situación preferente	Lugar trabajo o estudio	Tiempo desplazamiento	Personas residentes viviendas familiares
22	Huesca	Trabajadores	En otro municipio	20-30 minutos	3239
22	Huesca	Trabajadores	En otro municipio	30-45 minutos	1879
22	Huesca	Trabajadores	En otro municipio	45-60 minutos	1269
22	Huesca	Trabajadores	En otro municipio	60-90 minutos	498
22	Huesca	Trabajadores	En otro municipio	90 ó más minutos	138
44	Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	83
44	Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	1506
44	Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	1107
44	Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	238
44	Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	43
44	Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	10
44	Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	8
44	Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	90 ó más minutos	5
44	Teruel	Estudiantes que no trabajan	En otro municipio	 No aplicable	3526
44	Teruel	Estudiantes que no trabajan	En otro municipio	0-10 minutos	125
44	Teruel	Estudiantes que no trabajan	En otro municipio	10-20 minutos	362
44	Teruel	Estudiantes que no trabajan	En otro municipio	20-30 minutos	436
44	Teruel	Estudiantes que no trabajan	En otro municipio	30-45 minutos	301
44	Teruel	Estudiantes que no trabajan	En otro municipio	45-60 minutos	69
44	Teruel	Estudiantes que no trabajan	En otro municipio	60-90 minutos	25
44	Teruel	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	13
44	Teruel	Trabajadores	En el mismo municipio de residencia	 No aplicable	285
44	Teruel	Trabajadores	En el mismo municipio de residencia	0-10 minutos	20416
44	Teruel	Trabajadores	En el mismo municipio de residencia	10-20 minutos	10992
44	Teruel	Trabajadores	En el mismo municipio de residencia	20-30 minutos	2030
44	Teruel	Trabajadores	En el mismo municipio de residencia	30-45 minutos	411
44	Teruel	Trabajadores	En el mismo municipio de residencia	45-60 minutos	105
44	Teruel	Trabajadores	En el mismo municipio de residencia	60-90 minutos	44
44	Teruel	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	49
44	Teruel	Trabajadores	En otro municipio	 No aplicable	4257
44	Teruel	Trabajadores	En otro municipio	0-10 minutos	703
44	Teruel	Trabajadores	En otro municipio	10-20 minutos	2325
44	Teruel	Trabajadores	En otro municipio	20-30 minutos	2013
44	Teruel	Trabajadores	En otro municipio	30-45 minutos	997
44	Teruel	Trabajadores	En otro municipio	45-60 minutos	352
44	Teruel	Trabajadores	En otro municipio	60-90 minutos	168
44	Teruel	Trabajadores	En otro municipio	90 ó más minutos	68
50	Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	414
50	Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	9000
50	Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	15390
50	Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	12734
50	Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	5871
50	Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1554
50	Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	198
50	Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	90 ó más minutos	45
50	Zaragoza	Estudiantes que no trabajan	En otro municipio	 No aplicable	6003
50	Zaragoza	Estudiantes que no trabajan	En otro municipio	0-10 minutos	455
50	Zaragoza	Estudiantes que no trabajan	En otro municipio	10-20 minutos	1554
50	Zaragoza	Estudiantes que no trabajan	En otro municipio	20-30 minutos	1375
50	Zaragoza	Estudiantes que no trabajan	En otro municipio	30-45 minutos	1416
50	Zaragoza	Estudiantes que no trabajan	En otro municipio	45-60 minutos	1113
50	Zaragoza	Estudiantes que no trabajan	En otro municipio	60-90 minutos	606
50	Zaragoza	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	152
50	Zaragoza	Trabajadores	En el mismo municipio de residencia	 No aplicable	1769
50	Zaragoza	Trabajadores	En el mismo municipio de residencia	0-10 minutos	66635
50	Zaragoza	Trabajadores	En el mismo municipio de residencia	10-20 minutos	92320
50	Zaragoza	Trabajadores	En el mismo municipio de residencia	20-30 minutos	72334
50	Zaragoza	Trabajadores	En el mismo municipio de residencia	30-45 minutos	28431
50	Zaragoza	Trabajadores	En el mismo municipio de residencia	45-60 minutos	7587
50	Zaragoza	Trabajadores	En el mismo municipio de residencia	60-90 minutos	1703
50	Zaragoza	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	725
50	Zaragoza	Trabajadores	En otro municipio	 No aplicable	12665
50	Zaragoza	Trabajadores	En otro municipio	0-10 minutos	3931
50	Zaragoza	Trabajadores	En otro municipio	10-20 minutos	12272
50	Zaragoza	Trabajadores	En otro municipio	20-30 minutos	14321
50	Zaragoza	Trabajadores	En otro municipio	30-45 minutos	12495
50	Zaragoza	Trabajadores	En otro municipio	45-60 minutos	6297
50	Zaragoza	Trabajadores	En otro municipio	60-90 minutos	2988
50	Zaragoza	Trabajadores	En otro municipio	90 ó más minutos	856
