Mes y año	Provincia código	Provincia nombre	Nº parados	Sexo
Mayo 2019	50	Zaragoza	18597	Hombres
Mayo 2019	50	Zaragoza	29276	Mujeres
Abril 2019	22	Huesca	3351	Hombres
Abril 2019	22	Huesca	4771	Mujeres
Abril 2019	44	Teruel	2115	Hombres
Abril 2019	44	Teruel	3165	Mujeres
Abril 2019	50	Zaragoza	20036	Hombres
Abril 2019	50	Zaragoza	30312	Mujeres
Marzo 2019	22	Huesca	3437	Hombres
Marzo 2019	22	Huesca	4886	Mujeres
Marzo 2019	44	Teruel	2186	Hombres
Marzo 2019	44	Teruel	3263	Mujeres
Marzo 2019	50	Zaragoza	20476	Hombres
Marzo 2019	50	Zaragoza	31164	Mujeres
Febrero 2019	22	Huesca	3599	Hombres
Febrero 2019	22	Huesca	5051	Mujeres
Febrero 2019	44	Teruel	2316	Hombres
Febrero 2019	44	Teruel	3403	Mujeres
Febrero 2019	50	Zaragoza	20973	Hombres
Febrero 2019	50	Zaragoza	31620	Mujeres
Enero 2019	22	Huesca	3761	Hombres
Enero 2019	22	Huesca	5339	Mujeres
Enero 2019	44	Teruel	2414	Hombres
Enero 2019	44	Teruel	3539	Mujeres
Enero 2019	50	Zaragoza	21670	Hombres
Enero 2019	50	Zaragoza	32336	Mujeres
Diciembre 2018	22	Huesca	3597	Hombres
Diciembre 2018	22	Huesca	4959	Mujeres
Diciembre 2018	44	Teruel	2334	Hombres
Diciembre 2018	44	Teruel	3298	Mujeres
Diciembre 2018	50	Zaragoza	21157	Hombres
Diciembre 2018	50	Zaragoza	30834	Mujeres
Noviembre 2018	22	Huesca	3639	Hombres
Noviembre 2018	22	Huesca	5237	Mujeres
Noviembre 2018	44	Teruel	2268	Hombres
Noviembre 2018	44	Teruel	3419	Mujeres
Noviembre 2018	50	Zaragoza	20502	Hombres
Noviembre 2018	50	Zaragoza	31419	Mujeres
Octubre 2018	22	Huesca	3667	Hombres
Octubre 2018	22	Huesca	5226	Mujeres
Octubre 2018	44	Teruel	2227	Hombres
Octubre 2018	44	Teruel	3314	Mujeres
Octubre 2018	50	Zaragoza	20318	Hombres
Octubre 2018	50	Zaragoza	31092	Mujeres
Septiembre 2018	22	Huesca	3568	Hombres
Septiembre 2018	22	Huesca	4852	Mujeres
Septiembre 2018	44	Teruel	2076	Hombres
Septiembre 2018	44	Teruel	3098	Mujeres
Septiembre 2018	50	Zaragoza	19640	Hombres
Septiembre 2018	50	Zaragoza	30437	Mujeres
Agosto 2018	22	Huesca	3244	Hombres
Agosto 2018	22	Huesca	4630	Mujeres
Agosto 2018	44	Teruel	2066	Hombres
Agosto 2018	44	Teruel	3035	Mujeres
Agosto 2018	50	Zaragoza	19401	Hombres
Agosto 2018	50	Zaragoza	30094	Mujeres
Julio 2018	22	Huesca	3176	Hombres
Julio 2018	22	Huesca	4505	Mujeres
Julio 2018	44	Teruel	1984	Hombres
Julio 2018	44	Teruel	2997	Mujeres
Julio 2018	50	Zaragoza	18516	Hombres
Julio 2018	50	Zaragoza	29628	Mujeres
Junio 2018	22	Huesca	3226	Hombres
Junio 2018	22	Huesca	4506	Mujeres
Junio 2018	44	Teruel	2032	Hombres
Junio 2018	44	Teruel	3148	Mujeres
Junio 2018	50	Zaragoza	18340	Hombres
Junio 2018	50	Zaragoza	29792	Mujeres
Mayo 2018	22	Huesca	3481	Hombres
Mayo 2018	22	Huesca	4818	Mujeres
Mayo 2018	44	Teruel	2170	Hombres
Mayo 2018	44	Teruel	3267	Mujeres
Mayo 2018	50	Zaragoza	19615	Hombres
Mayo 2018	50	Zaragoza	30855	Mujeres
Abril 2018	22	Huesca	3773	Hombres
Abril 2018	22	Huesca	5109	Mujeres
Abril 2018	44	Teruel	2358	Hombres
Abril 2018	44	Teruel	3406	Mujeres
Abril 2018	50	Zaragoza	21325	Hombres
Abril 2018	50	Zaragoza	32143	Mujeres
Marzo 2018	22	Huesca	3822	Hombres
Marzo 2018	22	Huesca	5028	Mujeres
Marzo 2018	44	Teruel	2473	Hombres
Marzo 2018	44	Teruel	3449	Mujeres
Marzo 2018	50	Zaragoza	22089	Hombres
Marzo 2018	50	Zaragoza	32846	Mujeres
Febrero 2018	22	Huesca	3863	Hombres
Febrero 2018	22	Huesca	5199	Mujeres
Febrero 2018	44	Teruel	2563	Hombres
Febrero 2018	44	Teruel	3626	Mujeres
Febrero 2018	50	Zaragoza	22040	Hombres
Febrero 2018	50	Zaragoza	33065	Mujeres
Enero 2018	22	Huesca	4139	Hombres
Enero 2018	22	Huesca	5337	Mujeres
Enero 2018	44	Teruel	2743	Hombres
Enero 2018	44	Teruel	3792	Mujeres
Enero 2018	50	Zaragoza	22566	Hombres
Enero 2018	50	Zaragoza	33504	Mujeres
Diciembre 2017	22	Huesca	4042	Hombres
Diciembre 2017	22	Huesca	5204	Mujeres
Diciembre 2017	44	Teruel	2657	Hombres
Diciembre 2017	44	Teruel	3646	Mujeres
Diciembre 2017	50	Zaragoza	22718	Hombres
Diciembre 2017	50	Zaragoza	32443	Mujeres
Noviembre 2017	22	Huesca	4145	Hombres
Noviembre 2017	22	Huesca	5569	Mujeres
Noviembre 2017	44	Teruel	2618	Hombres
Noviembre 2017	44	Teruel	3794	Mujeres
Noviembre 2017	50	Zaragoza	21956	Hombres
Noviembre 2017	50	Zaragoza	32909	Mujeres
Octubre 2017	22	Huesca	4233	Hombres
Octubre 2017	22	Huesca	5547	Mujeres
Octubre 2017	44	Teruel	2745	Hombres
Octubre 2017	44	Teruel	3701	Mujeres
Octubre 2017	50	Zaragoza	22434	Hombres
Octubre 2017	50	Zaragoza	32939	Mujeres
Septiembre 2017	22	Huesca	4108	Hombres
Septiembre 2017	22	Huesca	5287	Mujeres
Septiembre 2017	44	Teruel	2490	Hombres
Septiembre 2017	44	Teruel	3441	Mujeres
Septiembre 2017	50	Zaragoza	21471	Hombres
Septiembre 2017	50	Zaragoza	32441	Mujeres
Agosto 2017	22	Huesca	3754	Hombres
Agosto 2017	22	Huesca	4927	Mujeres
Agosto 2017	44	Teruel	2394	Hombres
Agosto 2017	44	Teruel	3301	Mujeres
Agosto 2017	50	Zaragoza	21398	Hombres
Agosto 2017	50	Zaragoza	32237	Mujeres
Julio 2017	22	Huesca	3572	Hombres
Julio 2017	22	Huesca	4745	Mujeres
Julio 2017	44	Teruel	2335	Hombres
Julio 2017	44	Teruel	3252	Mujeres
Julio 2017	50	Zaragoza	21225	Hombres
Julio 2017	50	Zaragoza	32082	Mujeres
Junio 2017	22	Huesca	3513	Hombres
Junio 2017	22	Huesca	4875	Mujeres
Junio 2017	44	Teruel	2385	Hombres
Junio 2017	44	Teruel	3399	Mujeres
Junio 2017	50	Zaragoza	20738	Hombres
Junio 2017	50	Zaragoza	31584	Mujeres
Mayo 2017	22	Huesca	3717	Hombres
Mayo 2017	22	Huesca	5106	Mujeres
Mayo 2017	44	Teruel	2464	Hombres
Mayo 2017	44	Teruel	3561	Mujeres
Mayo 2017	50	Zaragoza	21603	Hombres
Mayo 2017	50	Zaragoza	32311	Mujeres
Abril 2017	22	Huesca	4064	Hombres
Abril 2017	22	Huesca	5317	Mujeres
Abril 2017	44	Teruel	2743	Hombres
Abril 2017	44	Teruel	3712	Mujeres
Abril 2017	50	Zaragoza	23920	Hombres
Abril 2017	50	Zaragoza	33766	Mujeres
Marzo 2017	22	Huesca	4480	Hombres
Marzo 2017	22	Huesca	5626	Mujeres
Marzo 2017	44	Teruel	3016	Hombres
Marzo 2017	44	Teruel	3872	Mujeres
Marzo 2017	50	Zaragoza	25475	Hombres
Marzo 2017	50	Zaragoza	35064	Mujeres
Febrero 2017	22	Huesca	4549	Hombres
Febrero 2017	22	Huesca	5753	Mujeres
Febrero 2017	44	Teruel	3200	Hombres
Febrero 2017	44	Teruel	3918	Mujeres
Febrero 2017	50	Zaragoza	25880	Hombres
Febrero 2017	50	Zaragoza	35793	Mujeres
Enero 2017	22	Huesca	4830	Hombres
Enero 2017	22	Huesca	5883	Mujeres
Enero 2017	44	Teruel	3434	Hombres
Enero 2017	44	Teruel	4124	Mujeres
Enero 2017	50	Zaragoza	27092	Hombres
Enero 2017	50	Zaragoza	36548	Mujeres
Diciembre 2016	22	Huesca	4690	Hombres
Diciembre 2016	22	Huesca	5587	Mujeres
Diciembre 2016	44	Teruel	3348	Hombres
Diciembre 2016	44	Teruel	3941	Mujeres
Diciembre 2016	50	Zaragoza	27110	Hombres
Diciembre 2016	50	Zaragoza	35257	Mujeres
Noviembre 2016	22	Huesca	4957	Hombres
Noviembre 2016	22	Huesca	5969	Mujeres
Noviembre 2016	44	Teruel	3410	Hombres
Noviembre 2016	44	Teruel	4201	Mujeres
Noviembre 2016	50	Zaragoza	26849	Hombres
Noviembre 2016	50	Zaragoza	36097	Mujeres
Octubre 2016	22	Huesca	5047	Hombres
Octubre 2016	22	Huesca	5965	Mujeres
Octubre 2016	44	Teruel	3298	Hombres
Octubre 2016	44	Teruel	4044	Mujeres
Octubre 2016	50	Zaragoza	26695	Hombres
Octubre 2016	50	Zaragoza	36006	Mujeres
Septiembre 2016	22	Huesca	4975	Hombres
Septiembre 2016	22	Huesca	5764	Mujeres
Septiembre 2016	44	Teruel	3146	Hombres
Septiembre 2016	44	Teruel	3873	Mujeres
Septiembre 2016	50	Zaragoza	26259	Hombres
Septiembre 2016	50	Zaragoza	36106	Mujeres
Agosto 2016	22	Huesca	4476	Hombres
Agosto 2016	22	Huesca	5424	Mujeres
Agosto 2016	44	Teruel	3174	Hombres
Agosto 2016	44	Teruel	3674	Mujeres
Agosto 2016	50	Zaragoza	25651	Hombres
Agosto 2016	50	Zaragoza	35441	Mujeres
Julio 2016	22	Huesca	4441	Hombres
Julio 2016	22	Huesca	5430	Mujeres
Julio 2016	44	Teruel	3137	Hombres
Julio 2016	44	Teruel	3760	Mujeres
Julio 2016	50	Zaragoza	25617	Hombres
Julio 2016	50	Zaragoza	35385	Mujeres
Junio 2016	22	Huesca	4698	Hombres
Junio 2016	22	Huesca	5606	Mujeres
Junio 2016	44	Teruel	3282	Hombres
Junio 2016	44	Teruel	3977	Mujeres
Junio 2016	50	Zaragoza	25720	Hombres
Junio 2016	50	Zaragoza	35779	Mujeres
Mayo 2016	22	Huesca	4998	Hombres
Mayo 2016	22	Huesca	5933	Mujeres
Mayo 2016	44	Teruel	3481	Hombres
Mayo 2016	44	Teruel	4155	Mujeres
Mayo 2016	50	Zaragoza	27648	Hombres
Mayo 2016	50	Zaragoza	36871	Mujeres
Abril 2016	22	Huesca	5553	Hombres
Abril 2016	22	Huesca	6325	Mujeres
Abril 2016	44	Teruel	3786	Hombres
Abril 2016	44	Teruel	4305	Mujeres
Abril 2016	50	Zaragoza	29694	Hombres
Abril 2016	50	Zaragoza	38084	Mujeres
Marzo 2016	22	Huesca	5609	Hombres
Marzo 2016	22	Huesca	6260	Mujeres
Marzo 2016	44	Teruel	3961	Hombres
Marzo 2016	44	Teruel	4344	Mujeres
Marzo 2016	50	Zaragoza	30872	Hombres
Marzo 2016	50	Zaragoza	38595	Mujeres
Febrero 2016	22	Huesca	5752	Hombres
Febrero 2016	22	Huesca	6468	Mujeres
Febrero 2016	44	Teruel	4039	Hombres
Febrero 2016	44	Teruel	4484	Mujeres
Febrero 2016	50	Zaragoza	30852	Hombres
Febrero 2016	50	Zaragoza	39087	Mujeres
Enero 2016	22	Huesca	5792	Hombres
Enero 2016	22	Huesca	6514	Mujeres
Enero 2016	44	Teruel	4161	Hombres
Enero 2016	44	Teruel	4551	Mujeres
Enero 2016	50	Zaragoza	30962	Hombres
Enero 2016	50	Zaragoza	39365	Mujeres
Diciembre 2015	22	Huesca	5602	Hombres
Diciembre 2015	22	Huesca	6325	Mujeres
Diciembre 2015	44	Teruel	4054	Hombres
Diciembre 2015	44	Teruel	4342	Mujeres
Diciembre 2015	50	Zaragoza	30936	Hombres
Diciembre 2015	50	Zaragoza	38025	Mujeres
Noviembre 2015	22	Huesca	5865	Hombres
Noviembre 2015	22	Huesca	6801	Mujeres
Noviembre 2015	44	Teruel	3976	Hombres
Noviembre 2015	44	Teruel	4643	Mujeres
Noviembre 2015	50	Zaragoza	30653	Hombres
Noviembre 2015	50	Zaragoza	39181	Mujeres
Octubre 2015	22	Huesca	6071	Hombres
Octubre 2015	22	Huesca	6801	Mujeres
Octubre 2015	44	Teruel	3838	Hombres
Octubre 2015	44	Teruel	4560	Mujeres
Octubre 2015	50	Zaragoza	31047	Hombres
Octubre 2015	50	Zaragoza	39500	Mujeres
Septiembre 2015	22	Huesca	5983	Hombres
Septiembre 2015	22	Huesca	6557	Mujeres
Septiembre 2015	44	Teruel	3631	Hombres
Septiembre 2015	44	Teruel	4311	Mujeres
Septiembre 2015	50	Zaragoza	30574	Hombres
Septiembre 2015	50	Zaragoza	39370	Mujeres
Agosto 2015	22	Huesca	5621	Hombres
Agosto 2015	22	Huesca	6476	Mujeres
Agosto 2015	44	Teruel	3874	Hombres
Agosto 2015	44	Teruel	4550	Mujeres
Agosto 2015	50	Zaragoza	31347	Hombres
Agosto 2015	50	Zaragoza	40632	Mujeres
Julio 2015	22	Huesca	5508	Hombres
Julio 2015	22	Huesca	6228	Mujeres
Julio 2015	44	Teruel	3808	Hombres
Julio 2015	44	Teruel	4470	Mujeres
Julio 2015	50	Zaragoza	31648	Hombres
Julio 2015	50	Zaragoza	40142	Mujeres
Junio 2015	22	Huesca	5911	Hombres
Junio 2015	22	Huesca	6346	Mujeres
Junio 2015	44	Teruel	3978	Hombres
Junio 2015	44	Teruel	4588	Mujeres
Junio 2015	50	Zaragoza	32148	Hombres
Junio 2015	50	Zaragoza	39858	Mujeres
Mayo 2015	22	Huesca	5966	Hombres
Mayo 2015	22	Huesca	6651	Mujeres
Mayo 2015	44	Teruel	4067	Hombres
Mayo 2015	44	Teruel	4681	Mujeres
Mayo 2015	50	Zaragoza	33454	Hombres
Mayo 2015	50	Zaragoza	40728	Mujeres
Abril 2015	22	Huesca	6527	Hombres
Abril 2015	22	Huesca	6834	Mujeres
Abril 2015	44	Teruel	4431	Hombres
Abril 2015	44	Teruel	4838	Mujeres
Abril 2015	50	Zaragoza	35546	Hombres
Abril 2015	50	Zaragoza	41462	Mujeres
Marzo 2015	22	Huesca	6739	Hombres
Marzo 2015	22	Huesca	6899	Mujeres
Marzo 2015	44	Teruel	4692	Hombres
Marzo 2015	44	Teruel	5064	Mujeres
Marzo 2015	50	Zaragoza	36836	Hombres
Marzo 2015	50	Zaragoza	42138	Mujeres
Febrero 2015	22	Huesca	6935	Hombres
Febrero 2015	22	Huesca	7199	Mujeres
Febrero 2015	44	Teruel	4912	Hombres
Febrero 2015	44	Teruel	5164	Mujeres
Febrero 2015	50	Zaragoza	36691	Hombres
Febrero 2015	50	Zaragoza	42165	Mujeres
Enero 2015	22	Huesca	7021	Hombres
Enero 2015	22	Huesca	7146	Mujeres
Enero 2015	44	Teruel	5006	Hombres
Enero 2015	44	Teruel	5185	Mujeres
Enero 2015	50	Zaragoza	36954	Hombres
Enero 2015	50	Zaragoza	41982	Mujeres
Diciembre 2014	22	Huesca	6868	Hombres
Diciembre 2014	22	Huesca	6737	Mujeres
Diciembre 2014	44	Teruel	4878	Hombres
Diciembre 2014	44	Teruel	4893	Mujeres
Diciembre 2014	50	Zaragoza	37391	Hombres
Diciembre 2014	50	Zaragoza	40805	Mujeres
Noviembre 2014	22	Huesca	7182	Hombres
Noviembre 2014	22	Huesca	7377	Mujeres
Noviembre 2014	44	Teruel	4744	Hombres
Noviembre 2014	44	Teruel	5137	Mujeres
Noviembre 2014	50	Zaragoza	37248	Hombres
Noviembre 2014	50	Zaragoza	41977	Mujeres
Octubre 2014	22	Huesca	7407	Hombres
Octubre 2014	22	Huesca	7576	Mujeres
Octubre 2014	44	Teruel	4844	Hombres
Octubre 2014	44	Teruel	5125	Mujeres
Octubre 2014	50	Zaragoza	38121	Hombres
Octubre 2014	50	Zaragoza	42674	Mujeres
Septiembre 2014	22	Huesca	7103	Hombres
Septiembre 2014	22	Huesca	7255	Mujeres
Septiembre 2014	44	Teruel	4676	Hombres
Septiembre 2014	44	Teruel	4710	Mujeres
Septiembre 2014	50	Zaragoza	37214	Hombres
Septiembre 2014	50	Zaragoza	41946	Mujeres
Agosto 2014	22	Huesca	6722	Hombres
Agosto 2014	22	Huesca	6979	Mujeres
Agosto 2014	44	Teruel	4742	Hombres
Agosto 2014	44	Teruel	4807	Mujeres
Agosto 2014	50	Zaragoza	37351	Hombres
Agosto 2014	50	Zaragoza	42431	Mujeres
Julio 2014	22	Huesca	6485	Hombres
Julio 2014	22	Huesca	6826	Mujeres
Julio 2014	44	Teruel	4687	Hombres
Julio 2014	44	Teruel	4786	Mujeres
Julio 2014	50	Zaragoza	37173	Hombres
Julio 2014	50	Zaragoza	42196	Mujeres
Junio 2014	22	Huesca	6519	Hombres
Junio 2014	22	Huesca	6534	Mujeres
Junio 2014	44	Teruel	4688	Hombres
Junio 2014	44	Teruel	4736	Mujeres
Junio 2014	50	Zaragoza	35882	Hombres
Junio 2014	50	Zaragoza	40477	Mujeres
Mayo 2014	22	Huesca	6576	Hombres
Mayo 2014	22	Huesca	6918	Mujeres
Mayo 2014	44	Teruel	4801	Hombres
Mayo 2014	44	Teruel	4856	Mujeres
Mayo 2014	50	Zaragoza	37163	Hombres
Mayo 2014	50	Zaragoza	41628	Mujeres
Abril 2014	22	Huesca	7093	Hombres
Abril 2014	22	Huesca	7121	Mujeres
Abril 2014	44	Teruel	5185	Hombres
Abril 2014	44	Teruel	4899	Mujeres
Abril 2014	50	Zaragoza	39023	Hombres
Abril 2014	50	Zaragoza	42053	Mujeres
Marzo 2014	22	Huesca	7364	Hombres
Marzo 2014	22	Huesca	7360	Mujeres
Marzo 2014	44	Teruel	5511	Hombres
Marzo 2014	44	Teruel	5148	Mujeres
Marzo 2014	50	Zaragoza	40158	Hombres
Marzo 2014	50	Zaragoza	43321	Mujeres
Febrero 2014	22	Huesca	7560	Hombres
Febrero 2014	22	Huesca	7477	Mujeres
Febrero 2014	44	Teruel	5603	Hombres
Febrero 2014	44	Teruel	5107	Mujeres
Febrero 2014	50	Zaragoza	40556	Hombres
Febrero 2014	50	Zaragoza	43471	Mujeres
Enero 2014	22	Huesca	7831	Hombres
Enero 2014	22	Huesca	7761	Mujeres
Enero 2014	44	Teruel	5903	Hombres
Enero 2014	44	Teruel	5431	Mujeres
Enero 2014	50	Zaragoza	42592	Hombres
Enero 2014	50	Zaragoza	45301	Mujeres
Diciembre 2013	22	Huesca	7561	Hombres
Diciembre 2013	22	Huesca	7455	Mujeres
Diciembre 2013	44	Teruel	5647	Hombres
Diciembre 2013	44	Teruel	5199	Mujeres
Diciembre 2013	50	Zaragoza	41998	Hombres
Diciembre 2013	50	Zaragoza	42972	Mujeres
Noviembre 2013	22	Huesca	7866	Hombres
Noviembre 2013	22	Huesca	7962	Mujeres
Noviembre 2013	44	Teruel	5607	Hombres
Noviembre 2013	44	Teruel	5358	Mujeres
Noviembre 2013	50	Zaragoza	42173	Hombres
Noviembre 2013	50	Zaragoza	44291	Mujeres
Octubre 2013	22	Huesca	8006	Hombres
Octubre 2013	22	Huesca	7980	Mujeres
Octubre 2013	44	Teruel	5584	Hombres
Octubre 2013	44	Teruel	5245	Mujeres
Octubre 2013	50	Zaragoza	42352	Hombres
Octubre 2013	50	Zaragoza	44873	Mujeres
Septiembre 2013	22	Huesca	7729	Hombres
Septiembre 2013	22	Huesca	7473	Mujeres
Septiembre 2013	44	Teruel	5351	Hombres
Septiembre 2013	44	Teruel	4846	Mujeres
Septiembre 2013	50	Zaragoza	41148	Hombres
Septiembre 2013	50	Zaragoza	43721	Mujeres
Agosto 2013	22	Huesca	7308	Hombres
Agosto 2013	22	Huesca	7399	Mujeres
Agosto 2013	44	Teruel	5455	Hombres
Agosto 2013	44	Teruel	4876	Mujeres
Agosto 2013	50	Zaragoza	41289	Hombres
Agosto 2013	50	Zaragoza	44166	Mujeres
Julio 2013	22	Huesca	7307	Hombres
Julio 2013	22	Huesca	7414	Mujeres
Julio 2013	44	Teruel	5462	Hombres
Julio 2013	44	Teruel	4930	Mujeres
Julio 2013	50	Zaragoza	41213	Hombres
Julio 2013	50	Zaragoza	43936	Mujeres
Junio 2013	22	Huesca	7524	Hombres
Junio 2013	22	Huesca	7294	Mujeres
Junio 2013	44	Teruel	5556	Hombres
Junio 2013	44	Teruel	4947	Mujeres
Junio 2013	50	Zaragoza	41429	Hombres
Junio 2013	50	Zaragoza	43279	Mujeres
Mayo 2013	22	Huesca	7908	Hombres
Mayo 2013	22	Huesca	7747	Mujeres
Mayo 2013	44	Teruel	5875	Hombres
Mayo 2013	44	Teruel	5291	Mujeres
Mayo 2013	50	Zaragoza	43508	Hombres
Mayo 2013	50	Zaragoza	44434	Mujeres
Abril 2013	22	Huesca	8437	Hombres
Abril 2013	22	Huesca	7813	Mujeres
Abril 2013	44	Teruel	6036	Hombres
Abril 2013	44	Teruel	5341	Mujeres
Abril 2013	50	Zaragoza	44355	Hombres
Abril 2013	50	Zaragoza	44731	Mujeres
Marzo 2013	22	Huesca	8429	Hombres
Marzo 2013	22	Huesca	7795	Mujeres
Marzo 2013	44	Teruel	6209	Hombres
Marzo 2013	44	Teruel	5309	Mujeres
Marzo 2013	50	Zaragoza	44494	Hombres
Marzo 2013	50	Zaragoza	44619	Mujeres
Febrero 2013	22	Huesca	8407	Hombres
Febrero 2013	22	Huesca	7833	Mujeres
Febrero 2013	44	Teruel	6207	Hombres
Febrero 2013	44	Teruel	5331	Mujeres
Febrero 2013	50	Zaragoza	44046	Hombres
Febrero 2013	50	Zaragoza	44349	Mujeres
Enero 2013	22	Huesca	8424	Hombres
Enero 2013	22	Huesca	7814	Mujeres
Enero 2013	44	Teruel	6064	Hombres
Enero 2013	44	Teruel	5296	Mujeres
Enero 2013	50	Zaragoza	43349	Hombres
Enero 2013	50	Zaragoza	43758	Mujeres
Diciembre 2012	22	Huesca	8093	Hombres
Diciembre 2012	22	Huesca	7443	Mujeres
Diciembre 2012	44	Teruel	5816	Hombres
Diciembre 2012	44	Teruel	5009	Mujeres
Diciembre 2012	50	Zaragoza	42186	Hombres
Diciembre 2012	50	Zaragoza	41974	Mujeres
Noviembre 2012	22	Huesca	8437	Hombres
Noviembre 2012	22	Huesca	7924	Mujeres
