Año	Residencia provincia nombre	Edad (grupos quinquenales)	Sexo	Extranjeros
2001	Teruel	00 a 04	Mujeres	27
2001	Teruel	05 a 09	Hombres	34
2001	Teruel	05 a 09	Mujeres	45
2001	Teruel	10 a 14	Hombres	61
2001	Teruel	10 a 14	Mujeres	30
2001	Teruel	15 a 19	Hombres	54
2001	Teruel	15 a 19	Mujeres	36
2001	Teruel	20 a 24	Hombres	118
2001	Teruel	20 a 24	Mujeres	61
2001	Teruel	25 a 29	Hombres	188
2001	Teruel	25 a 29	Mujeres	82
2001	Teruel	30 a 34	Hombres	153
2001	Teruel	30 a 34	Mujeres	106
2001	Teruel	35 a 39	Hombres	136
2001	Teruel	35 a 39	Mujeres	91
2001	Teruel	40 a 44	Hombres	88
2001	Teruel	40 a 44	Mujeres	52
2001	Teruel	45 a 49	Hombres	46
2001	Teruel	45 a 49	Mujeres	38
2001	Teruel	50 a 54	Hombres	41
2001	Teruel	50 a 54	Mujeres	16
2001	Teruel	55 a 59	Hombres	15
2001	Teruel	55 a 59	Mujeres	9
2001	Teruel	60 a 64	Hombres	9
2001	Teruel	60 a 64	Mujeres	8
2001	Teruel	65 a 69	Hombres	7
2001	Teruel	65 a 69	Mujeres	7
2001	Teruel	70 a 74	Hombres	5
2001	Teruel	70 a 74	Mujeres	6
2001	Teruel	75 a 79	Hombres	4
2001	Teruel	75 a 79	Mujeres	1
2001	Teruel	80 a 84	Hombres	4
2001	Teruel	80 a 84	Mujeres	2
2001	Teruel	85 a 89	Hombres	1
2001	Teruel	85 a 89	Mujeres	2
2001	Teruel	90 a 94	Mujeres	1
2001	Teruel	95 y más	Hombres	1
2001	Zaragoza	00 a 04	Hombres	460
2001	Zaragoza	00 a 04	Mujeres	428
2001	Zaragoza	05 a 09	Hombres	349
2001	Zaragoza	05 a 09	Mujeres	358
2001	Zaragoza	10 a 14	Hombres	457
2001	Zaragoza	10 a 14	Mujeres	387
2001	Zaragoza	15 a 19	Hombres	508
2001	Zaragoza	15 a 19	Mujeres	430
2001	Zaragoza	20 a 24	Hombres	1270
2001	Zaragoza	20 a 24	Mujeres	1197
2001	Zaragoza	25 a 29	Hombres	1938
2001	Zaragoza	25 a 29	Mujeres	1446
2001	Zaragoza	30 a 34	Hombres	2352
2001	Zaragoza	30 a 34	Mujeres	1431
2001	Zaragoza	35 a 39	Hombres	1669
2001	Zaragoza	35 a 39	Mujeres	979
2001	Zaragoza	40 a 44	Hombres	1013
2001	Zaragoza	40 a 44	Mujeres	717
2001	Zaragoza	45 a 49	Hombres	560
2001	Zaragoza	45 a 49	Mujeres	442
2001	Zaragoza	50 a 54	Hombres	290
2001	Zaragoza	50 a 54	Mujeres	242
2001	Zaragoza	55 a 59	Hombres	141
2001	Zaragoza	55 a 59	Mujeres	160
2001	Zaragoza	60 a 64	Hombres	112
2001	Zaragoza	60 a 64	Mujeres	81
2001	Zaragoza	65 a 69	Hombres	59
2001	Zaragoza	65 a 69	Mujeres	95
2001	Zaragoza	70 a 74	Hombres	51
2001	Zaragoza	70 a 74	Mujeres	70
2001	Zaragoza	75 a 79	Hombres	22
2001	Zaragoza	75 a 79	Mujeres	49
2001	Zaragoza	80 a 84	Hombres	20
2001	Zaragoza	80 a 84	Mujeres	29
2001	Zaragoza	85 a 89	Hombres	7
2001	Zaragoza	85 a 89	Mujeres	13
2001	Zaragoza	90 a 94	Hombres	1
2001	Zaragoza	90 a 94	Mujeres	4
2001	Zaragoza	95 y más	Hombres	3
2001	Zaragoza	95 y más	Mujeres	1
2002	Huesca	00 a 04	Hombres	150
2002	Huesca	00 a 04	Mujeres	130
2002	Huesca	05 a 09	Hombres	142
2002	Huesca	05 a 09	Mujeres	146
2002	Huesca	10 a 14	Hombres	129
2002	Huesca	10 a 14	Mujeres	127
2002	Huesca	15 a 19	Hombres	176
2002	Huesca	15 a 19	Mujeres	115
2002	Huesca	20 a 24	Hombres	503
2002	Huesca	20 a 24	Mujeres	321
2002	Huesca	25 a 29	Hombres	851
2002	Huesca	25 a 29	Mujeres	407
2002	Huesca	30 a 34	Hombres	798
2002	Huesca	30 a 34	Mujeres	395
2002	Huesca	35 a 39	Hombres	598
2002	Huesca	35 a 39	Mujeres	318
2002	Huesca	40 a 44	Hombres	350
2002	Huesca	40 a 44	Mujeres	185
2002	Huesca	45 a 49	Hombres	209
2002	Huesca	45 a 49	Mujeres	129
2002	Huesca	50 a 54	Hombres	92
2002	Huesca	50 a 54	Mujeres	74
2002	Huesca	55 a 59	Hombres	53
2002	Huesca	55 a 59	Mujeres	43
2002	Huesca	60 a 64	Hombres	32
2002	Huesca	60 a 64	Mujeres	39
2002	Huesca	65 a 69	Hombres	32
2002	Huesca	65 a 69	Mujeres	30
2002	Huesca	70 a 74	Hombres	17
2002	Huesca	70 a 74	Mujeres	24
2002	Huesca	75 a 79	Hombres	12
2002	Huesca	75 a 79	Mujeres	12
2002	Huesca	80 a 84	Hombres	5
2002	Huesca	80 a 84	Mujeres	2
2002	Huesca	85 a 89	Hombres	3
2002	Huesca	85 a 89	Mujeres	6
2002	Huesca	90 a 94	Mujeres	3
2002	Teruel	00 a 04	Hombres	91
2002	Teruel	00 a 04	Mujeres	78
2002	Teruel	05 a 09	Hombres	106
2002	Teruel	05 a 09	Mujeres	100
2002	Teruel	10 a 14	Hombres	96
2002	Teruel	10 a 14	Mujeres	84
2002	Teruel	15 a 19	Hombres	93
2002	Teruel	15 a 19	Mujeres	65
2002	Teruel	20 a 24	Hombres	271
2002	Teruel	20 a 24	Mujeres	153
2002	Teruel	25 a 29	Hombres	421
2002	Teruel	25 a 29	Mujeres	225
2002	Teruel	30 a 34	Hombres	364
2002	Teruel	30 a 34	Mujeres	207
2002	Teruel	35 a 39	Hombres	270
2002	Teruel	35 a 39	Mujeres	193
2002	Teruel	40 a 44	Hombres	184
2002	Teruel	40 a 44	Mujeres	102
2002	Teruel	45 a 49	Hombres	118
2002	Teruel	45 a 49	Mujeres	85
2002	Teruel	50 a 54	Hombres	56
2002	Teruel	50 a 54	Mujeres	48
2002	Teruel	55 a 59	Hombres	22
2002	Teruel	55 a 59	Mujeres	15
2002	Teruel	60 a 64	Hombres	20
2002	Teruel	60 a 64	Mujeres	14
2002	Teruel	65 a 69	Hombres	6
2002	Teruel	65 a 69	Mujeres	12
2002	Teruel	70 a 74	Hombres	6
2002	Teruel	70 a 74	Mujeres	4
2002	Teruel	75 a 79	Hombres	3
2002	Teruel	75 a 79	Mujeres	5
2002	Teruel	80 a 84	Hombres	4
2002	Teruel	80 a 84	Mujeres	1
2002	Teruel	85 a 89	Mujeres	2
2002	Teruel	90 a 94	Hombres	1
2002	Teruel	95 y más	Hombres	1
2002	Zaragoza	00 a 04	Hombres	901
2002	Zaragoza	00 a 04	Mujeres	832
2002	Zaragoza	05 a 09	Hombres	693
2002	Zaragoza	05 a 09	Mujeres	741
2002	Zaragoza	10 a 14	Hombres	736
2002	Zaragoza	10 a 14	Mujeres	713
2002	Zaragoza	15 a 19	Hombres	902
2002	Zaragoza	15 a 19	Mujeres	763
2002	Zaragoza	20 a 24	Hombres	2316
2002	Zaragoza	20 a 24	Mujeres	2070
2002	Zaragoza	25 a 29	Hombres	3539
2002	Zaragoza	25 a 29	Mujeres	2530
2002	Zaragoza	30 a 34	Hombres	3733
2002	Zaragoza	30 a 34	Mujeres	2314
2002	Zaragoza	35 a 39	Hombres	2659
2002	Zaragoza	35 a 39	Mujeres	1666
2002	Zaragoza	40 a 44	Hombres	1624
2002	Zaragoza	40 a 44	Mujeres	1161
2002	Zaragoza	45 a 49	Hombres	985
2002	Zaragoza	45 a 49	Mujeres	723
2002	Zaragoza	50 a 54	Hombres	472
2002	Zaragoza	50 a 54	Mujeres	406
2002	Zaragoza	55 a 59	Hombres	227
2002	Zaragoza	55 a 59	Mujeres	248
2002	Zaragoza	60 a 64	Hombres	148
2002	Zaragoza	60 a 64	Mujeres	146
2002	Zaragoza	65 a 69	Hombres	82
2002	Zaragoza	65 a 69	Mujeres	112
2002	Zaragoza	70 a 74	Hombres	69
2002	Zaragoza	70 a 74	Mujeres	100
2002	Zaragoza	75 a 79	Hombres	27
2002	Zaragoza	75 a 79	Mujeres	63
2002	Zaragoza	80 a 84	Hombres	23
2002	Zaragoza	80 a 84	Mujeres	34
2002	Zaragoza	85 a 89	Hombres	7
2002	Zaragoza	85 a 89	Mujeres	15
2002	Zaragoza	90 a 94	Hombres	1
2002	Zaragoza	90 a 94	Mujeres	4
2002	Zaragoza	95 y más	Hombres	3
2002	Zaragoza	95 y más	Mujeres	1
2003	Huesca	00 a 04	Hombres	228
2003	Huesca	00 a 04	Mujeres	216
2003	Huesca	05 a 09	Hombres	231
2003	Huesca	05 a 09	Mujeres	236
2003	Huesca	10 a 14	Hombres	191
2003	Huesca	10 a 14	Mujeres	203
2003	Huesca	15 a 19	Hombres	255
2003	Huesca	15 a 19	Mujeres	187
2003	Huesca	20 a 24	Hombres	680
2003	Huesca	20 a 24	Mujeres	491
2003	Huesca	25 a 29	Hombres	1206
2003	Huesca	25 a 29	Mujeres	647
2003	Huesca	30 a 34	Hombres	1155
2003	Huesca	30 a 34	Mujeres	582
2003	Huesca	35 a 39	Hombres	827
2003	Huesca	35 a 39	Mujeres	425
2003	Huesca	40 a 44	Hombres	497
2003	Huesca	40 a 44	Mujeres	278
2003	Huesca	45 a 49	Hombres	279
2003	Huesca	45 a 49	Mujeres	197
2003	Huesca	50 a 54	Hombres	136
2003	Huesca	50 a 54	Mujeres	105
2003	Huesca	55 a 59	Hombres	75
2003	Huesca	55 a 59	Mujeres	73
2003	Huesca	60 a 64	Hombres	46
2003	Huesca	60 a 64	Mujeres	46
2003	Huesca	65 a 69	Hombres	38
2003	Huesca	65 a 69	Mujeres	39
2003	Huesca	70 a 74	Hombres	18
2003	Huesca	70 a 74	Mujeres	26
2003	Huesca	75 a 79	Hombres	18
2003	Huesca	75 a 79	Mujeres	21
2003	Huesca	80 a 84	Hombres	5
2003	Huesca	80 a 84	Mujeres	3
2003	Huesca	85 a 89	Hombres	7
2003	Huesca	85 a 89	Mujeres	7
2003	Huesca	90 a 94	Mujeres	3
2003	Huesca	95 y más	Hombres	1
2003	Teruel	00 a 04	Hombres	167
2003	Teruel	00 a 04	Mujeres	141
2003	Teruel	05 a 09	Hombres	182
2003	Teruel	05 a 09	Mujeres	180
2003	Teruel	10 a 14	Hombres	162
2003	Teruel	10 a 14	Mujeres	153
2003	Teruel	15 a 19	Hombres	163
2003	Teruel	15 a 19	Mujeres	129
2003	Teruel	20 a 24	Hombres	481
2003	Teruel	20 a 24	Mujeres	311
2003	Teruel	25 a 29	Hombres	713
2003	Teruel	25 a 29	Mujeres	411
2003	Teruel	30 a 34	Hombres	636
2003	Teruel	30 a 34	Mujeres	315
2003	Teruel	35 a 39	Hombres	427
2003	Teruel	35 a 39	Mujeres	277
2003	Teruel	40 a 44	Hombres	312
