Mes y año	Mes (código)	Provincia código	Provincia nombre	Sexo	Nivel formativo grupo IAEST descripción	Nivel formativo grupo IAEST código	Número de contratos	Nivel formativo código
Febrero 2017	201702	22	Huesca	Mujeres	Enseñanza superior universitaria	42	81	55
Febrero 2017	201702	22	Huesca	Mujeres	Enseñanza superior universitaria	42	43	56
Febrero 2017	201702	22	Huesca	Mujeres	Enseñanza superior universitaria	42	5	57
Febrero 2017	201702	22	Huesca	Mujeres	Enseñanza superior universitaria	42	49	59
Febrero 2017	201702	22	Huesca	Mujeres	Enseñanza superior universitaria	42	6	60
Febrero 2017	201702	44	Teruel	Hombres	Educación Primaria o inferior	10	70	11
Febrero 2017	201702	44	Teruel	Hombres	Educación Primaria o inferior	10	434	12
Febrero 2017	201702	44	Teruel	Hombres	Educación Primaria o inferior	10	151	80
Febrero 2017	201702	44	Teruel	Mujeres	Educación Primaria o inferior	10	41	11
Febrero 2017	201702	44	Teruel	Mujeres	Educación Primaria o inferior	10	375	12
Febrero 2017	201702	44	Teruel	Mujeres	Educación Primaria o inferior	10	101	80
Febrero 2017	201702	44	Teruel	Mujeres	Educación Primaria o inferior	10	8	90
Febrero 2017	201702	44	Teruel	Hombres	Primera etapa de educación secundaria	20	572	22
Febrero 2017	201702	44	Teruel	Hombres	Primera etapa de educación secundaria	20	298	23
Febrero 2017	201702	44	Teruel	Mujeres	Primera etapa de educación secundaria	20	92	22
Febrero 2017	201702	44	Teruel	Mujeres	Primera etapa de educación secundaria	20	276	23
Febrero 2017	201702	44	Teruel	Hombres	Bachillerato	31	118	32
Febrero 2017	201702	44	Teruel	Mujeres	Bachillerato	31	170	32
Febrero 2017	201702	44	Teruel	Hombres	Enseñanza media de formación profesional	32	1	31
Febrero 2017	201702	44	Teruel	Hombres	Enseñanza media de formación profesional	32	69	33
Febrero 2017	201702	44	Teruel	Hombres	Enseñanza media de formación profesional	32	2	34
Febrero 2017	201702	44	Teruel	Mujeres	Enseñanza media de formación profesional	32	71	33
Febrero 2017	201702	44	Teruel	Mujeres	Enseñanza media de formación profesional	32	1	34
Febrero 2017	201702	44	Teruel	Mujeres	Enseñanza media de formación profesional	32	1	41
Febrero 2017	201702	44	Teruel	Hombres	Enseñanza superior de formación profesional	41	23	51
Febrero 2017	201702	44	Teruel	Hombres	Enseñanza superior de formación profesional	41	2	52
Febrero 2017	201702	44	Teruel	Hombres	Enseñanza superior de formación profesional	41	1	53
Febrero 2017	201702	44	Teruel	Mujeres	Enseñanza superior de formación profesional	41	39	51
Febrero 2017	201702	44	Teruel	Mujeres	Enseñanza superior de formación profesional	41	1	52
Febrero 2017	201702	44	Teruel	Hombres	Enseñanza superior universitaria	42	17	54
Febrero 2017	201702	44	Teruel	Hombres	Enseñanza superior universitaria	42	18	55
Febrero 2017	201702	44	Teruel	Hombres	Enseñanza superior universitaria	42	6	56
Febrero 2017	201702	44	Teruel	Hombres	Enseñanza superior universitaria	42	18	59
Febrero 2017	201702	44	Teruel	Hombres	Enseñanza superior universitaria	42	1	60
Febrero 2017	201702	44	Teruel	Mujeres	Enseñanza superior universitaria	42	26	54
Febrero 2017	201702	44	Teruel	Mujeres	Enseñanza superior universitaria	42	36	55
Febrero 2017	201702	44	Teruel	Mujeres	Enseñanza superior universitaria	42	22	56
Febrero 2017	201702	44	Teruel	Mujeres	Enseñanza superior universitaria	42	35	59
Febrero 2017	201702	50	Zaragoza	Hombres	Educación Primaria o inferior	10	587	11
Febrero 2017	201702	50	Zaragoza	Hombres	Educación Primaria o inferior	10	2932	12
Febrero 2017	201702	50	Zaragoza	Hombres	Educación Primaria o inferior	10	846	80
Febrero 2017	201702	50	Zaragoza	Hombres	Educación Primaria o inferior	10	3	90
Febrero 2017	201702	50	Zaragoza	Mujeres	Educación Primaria o inferior	10	332	11
Febrero 2017	201702	50	Zaragoza	Mujeres	Educación Primaria o inferior	10	2119	12
Febrero 2017	201702	50	Zaragoza	Mujeres	Educación Primaria o inferior	10	676	80
Febrero 2017	201702	50	Zaragoza	Mujeres	Educación Primaria o inferior	10	96	90
Febrero 2017	201702	50	Zaragoza	Hombres	Primera etapa de educación secundaria	20	7	21
Febrero 2017	201702	50	Zaragoza	Hombres	Primera etapa de educación secundaria	20	1267	22
Febrero 2017	201702	50	Zaragoza	Hombres	Primera etapa de educación secundaria	20	4376	23
Febrero 2017	201702	50	Zaragoza	Mujeres	Primera etapa de educación secundaria	20	17	21
Febrero 2017	201702	50	Zaragoza	Mujeres	Primera etapa de educación secundaria	20	848	22
Febrero 2017	201702	50	Zaragoza	Mujeres	Primera etapa de educación secundaria	20	3418	23
Febrero 2017	201702	50	Zaragoza	Hombres	Bachillerato	31	2855	32
Febrero 2017	201702	50	Zaragoza	Mujeres	Bachillerato	31	2850	32
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza media de formación profesional	32	6	31
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza media de formación profesional	32	1226	33
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza media de formación profesional	32	29	34
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza media de formación profesional	32	7	41
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza media de formación profesional	32	11	31
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza media de formación profesional	32	1011	33
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza media de formación profesional	32	24	34
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza media de formación profesional	32	10	41
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza superior de formación profesional	41	621	51
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza superior de formación profesional	41	12	52
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza superior de formación profesional	41	10	53
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza superior de formación profesional	41	475	51
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza superior de formación profesional	41	10	52
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza superior de formación profesional	41	2	53
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	372	54
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	410	55
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	183	56
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	2	57
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	312	59
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	21	60
Febrero 2017	201702	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	4	61
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	608	54
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	525	55
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	132	56
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	13	57
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	499	59
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	13	60
Febrero 2017	201702	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	12	61
Enero 2017	201701	22	Huesca	Hombres	Educación Primaria o inferior	10	242	11
Enero 2017	201701	22	Huesca	Hombres	Educación Primaria o inferior	10	686	12
Enero 2017	201701	22	Huesca	Hombres	Educación Primaria o inferior	10	254	80
Enero 2017	201701	22	Huesca	Mujeres	Educación Primaria o inferior	10	141	11
Enero 2017	201701	22	Huesca	Mujeres	Educación Primaria o inferior	10	558	12
Enero 2017	201701	22	Huesca	Mujeres	Educación Primaria o inferior	10	101	80
Enero 2017	201701	22	Huesca	Mujeres	Educación Primaria o inferior	10	10	90
Enero 2017	201701	22	Huesca	Hombres	Primera etapa de educación secundaria	20	1	21
Enero 2017	201701	22	Huesca	Hombres	Primera etapa de educación secundaria	20	119	22
Enero 2017	201701	22	Huesca	Hombres	Primera etapa de educación secundaria	20	1183	23
Enero 2017	201701	22	Huesca	Mujeres	Primera etapa de educación secundaria	20	88	22
Enero 2017	201701	22	Huesca	Mujeres	Primera etapa de educación secundaria	20	961	23
Enero 2017	201701	22	Huesca	Hombres	Bachillerato	31	319	32
Enero 2017	201701	22	Huesca	Mujeres	Bachillerato	31	374	32
Enero 2017	201701	22	Huesca	Hombres	Enseñanza media de formación profesional	32	3	31
Enero 2017	201701	22	Huesca	Hombres	Enseñanza media de formación profesional	32	207	33
Enero 2017	201701	22	Huesca	Hombres	Enseñanza media de formación profesional	32	6	34
Enero 2017	201701	22	Huesca	Hombres	Enseñanza media de formación profesional	32	1	41
Enero 2017	201701	22	Huesca	Mujeres	Enseñanza media de formación profesional	32	128	33
Enero 2017	201701	22	Huesca	Mujeres	Enseñanza media de formación profesional	32	2	34
Enero 2017	201701	22	Huesca	Mujeres	Enseñanza media de formación profesional	32	1	41
Enero 2017	201701	22	Huesca	Hombres	Enseñanza superior de formación profesional	41	124	51
Enero 2017	201701	22	Huesca	Hombres	Enseñanza superior de formación profesional	41	12	52
Enero 2017	201701	22	Huesca	Hombres	Enseñanza superior de formación profesional	41	5	53
Enero 2017	201701	22	Huesca	Mujeres	Enseñanza superior de formación profesional	41	103	51
Enero 2017	201701	22	Huesca	Mujeres	Enseñanza superior de formación profesional	41	26	52
Enero 2017	201701	22	Huesca	Mujeres	Enseñanza superior de formación profesional	41	7	53
Enero 2017	201701	22	Huesca	Hombres	Enseñanza superior universitaria	42	55	54
Enero 2017	201701	22	Huesca	Hombres	Enseñanza superior universitaria	42	76	55
Enero 2017	201701	22	Huesca	Hombres	Enseñanza superior universitaria	42	18	56
Enero 2017	201701	22	Huesca	Hombres	Enseñanza superior universitaria	42	1	58
Enero 2017	201701	22	Huesca	Hombres	Enseñanza superior universitaria	42	27	59
Enero 2017	201701	22	Huesca	Hombres	Enseñanza superior universitaria	42	3	60
Enero 2017	201701	22	Huesca	Mujeres	Enseñanza superior universitaria	42	86	54
Enero 2017	201701	22	Huesca	Mujeres	Enseñanza superior universitaria	42	97	55
Enero 2017	201701	22	Huesca	Mujeres	Enseñanza superior universitaria	42	39	56
Enero 2017	201701	22	Huesca	Mujeres	Enseñanza superior universitaria	42	2	57
Enero 2017	201701	22	Huesca	Mujeres	Enseñanza superior universitaria	42	67	59
Enero 2017	201701	22	Huesca	Mujeres	Enseñanza superior universitaria	42	4	60
Enero 2017	201701	44	Teruel	Hombres	Educación Primaria o inferior	10	44	11
Enero 2017	201701	44	Teruel	Hombres	Educación Primaria o inferior	10	411	12
Enero 2017	201701	44	Teruel	Hombres	Educación Primaria o inferior	10	111	80
Enero 2017	201701	44	Teruel	Mujeres	Educación Primaria o inferior	10	27	11
Enero 2017	201701	44	Teruel	Mujeres	Educación Primaria o inferior	10	373	12
Enero 2017	201701	44	Teruel	Mujeres	Educación Primaria o inferior	10	60	80
Enero 2017	201701	44	Teruel	Mujeres	Educación Primaria o inferior	10	4	90
Enero 2017	201701	44	Teruel	Hombres	Primera etapa de educación secundaria	20	616	22
Enero 2017	201701	44	Teruel	Hombres	Primera etapa de educación secundaria	20	357	23
Enero 2017	201701	44	Teruel	Mujeres	Primera etapa de educación secundaria	20	1	21
Enero 2017	201701	44	Teruel	Mujeres	Primera etapa de educación secundaria	20	73	22
Enero 2017	201701	44	Teruel	Mujeres	Primera etapa de educación secundaria	20	368	23
Enero 2017	201701	44	Teruel	Hombres	Bachillerato	31	93	32
Enero 2017	201701	44	Teruel	Mujeres	Bachillerato	31	119	32
Enero 2017	201701	44	Teruel	Hombres	Enseñanza media de formación profesional	32	1	31
Enero 2017	201701	44	Teruel	Hombres	Enseñanza media de formación profesional	32	62	33
Enero 2017	201701	44	Teruel	Mujeres	Enseñanza media de formación profesional	32	69	33
Enero 2017	201701	44	Teruel	Mujeres	Enseñanza media de formación profesional	32	2	34
Enero 2017	201701	44	Teruel	Hombres	Enseñanza superior de formación profesional	41	24	51
Enero 2017	201701	44	Teruel	Hombres	Enseñanza superior de formación profesional	41	1	53
Enero 2017	201701	44	Teruel	Mujeres	Enseñanza superior de formación profesional	41	31	51
Enero 2017	201701	44	Teruel	Mujeres	Enseñanza superior de formación profesional	41	1	53
Enero 2017	201701	44	Teruel	Hombres	Enseñanza superior universitaria	42	14	54
Enero 2017	201701	44	Teruel	Hombres	Enseñanza superior universitaria	42	27	55
Enero 2017	201701	44	Teruel	Hombres	Enseñanza superior universitaria	42	7	56
Enero 2017	201701	44	Teruel	Hombres	Enseñanza superior universitaria	42	1	58
Enero 2017	201701	44	Teruel	Hombres	Enseñanza superior universitaria	42	12	59
Enero 2017	201701	44	Teruel	Hombres	Enseñanza superior universitaria	42	1	60
Enero 2017	201701	44	Teruel	Hombres	Enseñanza superior universitaria	42	1	61
Enero 2017	201701	44	Teruel	Mujeres	Enseñanza superior universitaria	42	37	54
Enero 2017	201701	44	Teruel	Mujeres	Enseñanza superior universitaria	42	50	55
Enero 2017	201701	44	Teruel	Mujeres	Enseñanza superior universitaria	42	25	56
Enero 2017	201701	44	Teruel	Mujeres	Enseñanza superior universitaria	42	41	59
Enero 2017	201701	44	Teruel	Mujeres	Enseñanza superior universitaria	42	2	60
Enero 2017	201701	50	Zaragoza	Hombres	Educación Primaria o inferior	10	514	11
Enero 2017	201701	50	Zaragoza	Hombres	Educación Primaria o inferior	10	2821	12
Enero 2017	201701	50	Zaragoza	Hombres	Educación Primaria o inferior	10	837	80
Enero 2017	201701	50	Zaragoza	Hombres	Educación Primaria o inferior	10	6	90
Enero 2017	201701	50	Zaragoza	Mujeres	Educación Primaria o inferior	10	274	11
Enero 2017	201701	50	Zaragoza	Mujeres	Educación Primaria o inferior	10	2336	12
Enero 2017	201701	50	Zaragoza	Mujeres	Educación Primaria o inferior	10	709	80
Enero 2017	201701	50	Zaragoza	Mujeres	Educación Primaria o inferior	10	57	90
Enero 2017	201701	50	Zaragoza	Hombres	Primera etapa de educación secundaria	20	2	21
Enero 2017	201701	50	Zaragoza	Hombres	Primera etapa de educación secundaria	20	1314	22
Enero 2017	201701	50	Zaragoza	Hombres	Primera etapa de educación secundaria	20	5238	23
Enero 2017	201701	50	Zaragoza	Mujeres	Primera etapa de educación secundaria	20	15	21
Enero 2017	201701	50	Zaragoza	Mujeres	Primera etapa de educación secundaria	20	932	22
Enero 2017	201701	50	Zaragoza	Mujeres	Primera etapa de educación secundaria	20	3963	23
Enero 2017	201701	50	Zaragoza	Hombres	Bachillerato	31	3189	32
