Comarca código	Comarca nombre	Estructura hogar	Número hogares
05	Cinco Villas	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	876
05	Cinco Villas	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	395
05	Cinco Villas	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	81
05	Cinco Villas	Otro hogar de tres adultos, con o sin menores	857
05	Cinco Villas	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	710
05	Cinco Villas	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	115
05	Cinco Villas	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	32
05	Cinco Villas	Otro hogar de cuatro adultos, con o sin menores	460
05	Cinco Villas	Cinco o más adultos, con o sin menores	695
06	Hoya de Huesca / Plana de Uesca	Una mujer de 16 a 64 años	1035
06	Hoya de Huesca / Plana de Uesca	Un hombre de 16 a 64 años	1483
06	Hoya de Huesca / Plana de Uesca	Una mujer de 65 o más años	1782
06	Hoya de Huesca / Plana de Uesca	Un hombre de 65 o más años	695
06	Hoya de Huesca / Plana de Uesca	Una mujer adulta con uno o más menores	498
06	Hoya de Huesca / Plana de Uesca	Un hombre adulto con  uno o más menores	162
06	Hoya de Huesca / Plana de Uesca	Dos adultos de 16 a 64 años, sin menores	2108
06	Hoya de Huesca / Plana de Uesca	Dos adultos, uno al menos de 65 años o más, sin menores	2960
06	Hoya de Huesca / Plana de Uesca	Dos adultos y un menor	1578
06	Hoya de Huesca / Plana de Uesca	Dos adultos y dos menores	1448
06	Hoya de Huesca / Plana de Uesca	Dos adultos y tres o más menores	216
06	Hoya de Huesca / Plana de Uesca	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	1746
06	Hoya de Huesca / Plana de Uesca	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	680
06	Hoya de Huesca / Plana de Uesca	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	122
06	Hoya de Huesca / Plana de Uesca	Otro hogar de tres adultos, con o sin menores	1473
06	Hoya de Huesca / Plana de Uesca	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	1606
06	Hoya de Huesca / Plana de Uesca	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	159
06	Hoya de Huesca / Plana de Uesca	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	35
06	Hoya de Huesca / Plana de Uesca	Otro hogar de cuatro adultos, con o sin menores	772
06	Hoya de Huesca / Plana de Uesca	Cinco o más adultos, con o sin menores	1143
07	Somontano de Barbastro	Una mujer de 16 a 64 años	329
07	Somontano de Barbastro	Un hombre de 16 a 64 años	553
07	Somontano de Barbastro	Una mujer de 65 o más años	775
07	Somontano de Barbastro	Un hombre de 65 o más años	367
07	Somontano de Barbastro	Una mujer adulta con uno o más menores	151
07	Somontano de Barbastro	Un hombre adulto con  uno o más menores	51
07	Somontano de Barbastro	Dos adultos de 16 a 64 años, sin menores	672
07	Somontano de Barbastro	Dos adultos, uno al menos de 65 años o más, sin menores	1257
07	Somontano de Barbastro	Dos adultos y un menor	514
07	Somontano de Barbastro	Dos adultos y dos menores	506
07	Somontano de Barbastro	Dos adultos y tres o más menores	81
07	Somontano de Barbastro	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	604
07	Somontano de Barbastro	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	250
07	Somontano de Barbastro	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	39
07	Somontano de Barbastro	Otro hogar de tres adultos, con o sin menores	595
07	Somontano de Barbastro	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	503
07	Somontano de Barbastro	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	77
07	Somontano de Barbastro	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	19
07	Somontano de Barbastro	Otro hogar de cuatro adultos, con o sin menores	392
07	Somontano de Barbastro	Cinco o más adultos, con o sin menores	487
08	Cinca Medio	Una mujer de 16 a 64 años	228
08	Cinca Medio	Un hombre de 16 a 64 años	480
08	Cinca Medio	Una mujer de 65 o más años	605
08	Cinca Medio	Un hombre de 65 o más años	244
08	Cinca Medio	Una mujer adulta con uno o más menores	108
08	Cinca Medio	Un hombre adulto con  uno o más menores	27
08	Cinca Medio	Dos adultos de 16 a 64 años, sin menores	742
08	Cinca Medio	Dos adultos, uno al menos de 65 años o más, sin menores	1234
08	Cinca Medio	Dos adultos y un menor	618
08	Cinca Medio	Dos adultos y dos menores	516
08	Cinca Medio	Dos adultos y tres o más menores	63
08	Cinca Medio	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	613
08	Cinca Medio	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	259
08	Cinca Medio	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	57
08	Cinca Medio	Otro hogar de tres adultos, con o sin menores	571
08	Cinca Medio	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	455
08	Cinca Medio	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	72
08	Cinca Medio	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	14
08	Cinca Medio	Otro hogar de cuatro adultos, con o sin menores	375
08	Cinca Medio	Cinco o más adultos, con o sin menores	480
09	La Litera / La Llitera	Una mujer de 16 a 64 años	157
09	La Litera / La Llitera	Un hombre de 16 a 64 años	355
09	La Litera / La Llitera	Una mujer de 65 o más años	649
09	La Litera / La Llitera	Un hombre de 65 o más años	281
09	La Litera / La Llitera	Una mujer adulta con uno o más menores	62
09	La Litera / La Llitera	Un hombre adulto con  uno o más menores	17
09	La Litera / La Llitera	Dos adultos de 16 a 64 años, sin menores	550
09	La Litera / La Llitera	Dos adultos, uno al menos de 65 años o más, sin menores	1111
09	La Litera / La Llitera	Dos adultos y un menor	400
09	La Litera / La Llitera	Dos adultos y dos menores	449
09	La Litera / La Llitera	Dos adultos y tres o más menores	37
09	La Litera / La Llitera	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	528
09	La Litera / La Llitera	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	182
09	La Litera / La Llitera	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	29
09	La Litera / La Llitera	Otro hogar de tres adultos, con o sin menores	548
09	La Litera / La Llitera	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	395
09	La Litera / La Llitera	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	42
09	La Litera / La Llitera	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	10
09	La Litera / La Llitera	Otro hogar de cuatro adultos, con o sin menores	340
09	La Litera / La Llitera	Cinco o más adultos, con o sin menores	459
10	Los Monegros	Una mujer de 16 a 64 años	208
10	Los Monegros	Un hombre de 16 a 64 años	557
10	Los Monegros	Una mujer de 65 o más años	659
10	Los Monegros	Un hombre de 65 o más años	360
10	Los Monegros	Una mujer adulta con uno o más menores	66
10	Los Monegros	Un hombre adulto con  uno o más menores	36
10	Los Monegros	Dos adultos de 16 a 64 años, sin menores	451
10	Los Monegros	Dos adultos, uno al menos de 65 años o más, sin menores	1270
10	Los Monegros	Dos adultos y un menor	337
10	Los Monegros	Dos adultos y dos menores	377
10	Los Monegros	Dos adultos y tres o más menores	48
10	Los Monegros	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	541
10	Los Monegros	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	220
10	Los Monegros	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	37
10	Los Monegros	Otro hogar de tres adultos, con o sin menores	697
10	Los Monegros	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	484
10	Los Monegros	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	70
10	Los Monegros	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	15
10	Los Monegros	Otro hogar de cuatro adultos, con o sin menores	410
10	Los Monegros	Cinco o más adultos, con o sin menores	592
11	Bajo Cinca / Baix Cinca	Una mujer de 16 a 64 años	178
11	Bajo Cinca / Baix Cinca	Un hombre de 16 a 64 años	467
11	Bajo Cinca / Baix Cinca	Una mujer de 65 o más años	495
11	Bajo Cinca / Baix Cinca	Un hombre de 65 o más años	202
11	Bajo Cinca / Baix Cinca	Una mujer adulta con uno o más menores	99
11	Bajo Cinca / Baix Cinca	Un hombre adulto con  uno o más menores	38
11	Bajo Cinca / Baix Cinca	Dos adultos de 16 a 64 años, sin menores	667
11	Bajo Cinca / Baix Cinca	Dos adultos, uno al menos de 65 años o más, sin menores	1082
11	Bajo Cinca / Baix Cinca	Dos adultos y un menor	508
11	Bajo Cinca / Baix Cinca	Dos adultos y dos menores	556
11	Bajo Cinca / Baix Cinca	Dos adultos y tres o más menores	61
11	Bajo Cinca / Baix Cinca	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	577
11	Bajo Cinca / Baix Cinca	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	249
11	Bajo Cinca / Baix Cinca	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	50
11	Bajo Cinca / Baix Cinca	Otro hogar de tres adultos, con o sin menores	603
11	Bajo Cinca / Baix Cinca	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	450
11	Bajo Cinca / Baix Cinca	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	81
11	Bajo Cinca / Baix Cinca	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	19
11	Bajo Cinca / Baix Cinca	Otro hogar de cuatro adultos, con o sin menores	425
11	Bajo Cinca / Baix Cinca	Cinco o más adultos, con o sin menores	620
12	Tarazona y el Moncayo	Una mujer de 16 a 64 años	190
12	Tarazona y el Moncayo	Un hombre de 16 a 64 años	319
12	Tarazona y el Moncayo	Una mujer de 65 o más años	545
12	Tarazona y el Moncayo	Un hombre de 65 o más años	211
12	Tarazona y el Moncayo	Una mujer adulta con uno o más menores	76
12	Tarazona y el Moncayo	Un hombre adulto con  uno o más menores	42
12	Tarazona y el Moncayo	Dos adultos de 16 a 64 años, sin menores	440
12	Tarazona y el Moncayo	Dos adultos, uno al menos de 65 años o más, sin menores	941
12	Tarazona y el Moncayo	Dos adultos y un menor	312
12	Tarazona y el Moncayo	Dos adultos y dos menores	362
12	Tarazona y el Moncayo	Dos adultos y tres o más menores	44
12	Tarazona y el Moncayo	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	438
12	Tarazona y el Moncayo	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	166
12	Tarazona y el Moncayo	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	28
12	Tarazona y el Moncayo	Otro hogar de tres adultos, con o sin menores	367
12	Tarazona y el Moncayo	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	343
12	Tarazona y el Moncayo	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	35
12	Tarazona y el Moncayo	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	6
12	Tarazona y el Moncayo	Otro hogar de cuatro adultos, con o sin menores	159
12	Tarazona y el Moncayo	Cinco o más adultos, con o sin menores	243
13	Campo de Borja	Una mujer de 16 a 64 años	176
13	Campo de Borja	Un hombre de 16 a 64 años	390
13	Campo de Borja	Una mujer de 65 o más años	560
13	Campo de Borja	Un hombre de 65 o más años	286
13	Campo de Borja	Una mujer adulta con uno o más menores	58
13	Campo de Borja	Un hombre adulto con  uno o más menores	50
13	Campo de Borja	Dos adultos de 16 a 64 años, sin menores	481
13	Campo de Borja	Dos adultos, uno al menos de 65 años o más, sin menores	900
13	Campo de Borja	Dos adultos y un menor	330
13	Campo de Borja	Dos adultos y dos menores	359
13	Campo de Borja	Dos adultos y tres o más menores	39
13	Campo de Borja	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	369
13	Campo de Borja	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	158
13	Campo de Borja	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	22
13	Campo de Borja	Otro hogar de tres adultos, con o sin menores	374
13	Campo de Borja	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	341
13	Campo de Borja	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	48
13	Campo de Borja	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	11
13	Campo de Borja	Otro hogar de cuatro adultos, con o sin menores	179
13	Campo de Borja	Cinco o más adultos, con o sin menores	234
14	Aranda	Una mujer de 16 a 64 años	71
14	Aranda	Un hombre de 16 a 64 años	169
14	Aranda	Una mujer de 65 o más años	251
14	Aranda	Un hombre de 65 o más años	116
14	Aranda	Una mujer adulta con uno o más menores	30
14	Aranda	Un hombre adulto con  uno o más menores	12
14	Aranda	Dos adultos de 16 a 64 años, sin menores	273
14	Aranda	Dos adultos, uno al menos de 65 años o más, sin menores	478
14	Aranda	Dos adultos y un menor	237
14	Aranda	Dos adultos y dos menores	237
14	Aranda	Dos adultos y tres o más menores	21
14	Aranda	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	214
14	Aranda	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	102
14	Aranda	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	14
14	Aranda	Otro hogar de tres adultos, con o sin menores	198
14	Aranda	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	203
14	Aranda	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	34
14	Aranda	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	8
14	Aranda	Otro hogar de cuatro adultos, con o sin menores	81
14	Aranda	Cinco o más adultos, con o sin menores	147
15	Ribera Alta del Ebro	Una mujer de 16 a 64 años	215
15	Ribera Alta del Ebro	Un hombre de 16 a 64 años	517
15	Ribera Alta del Ebro	Una mujer de 65 o más años	713
15	Ribera Alta del Ebro	Un hombre de 65 o más años	268
15	Ribera Alta del Ebro	Una mujer adulta con uno o más menores	66
15	Ribera Alta del Ebro	Un hombre adulto con  uno o más menores	36
15	Ribera Alta del Ebro	Dos adultos de 16 a 64 años, sin menores	832
15	Ribera Alta del Ebro	Dos adultos, uno al menos de 65 años o más, sin menores	1341
15	Ribera Alta del Ebro	Dos adultos y un menor	647
15	Ribera Alta del Ebro	Dos adultos y dos menores	598
15	Ribera Alta del Ebro	Dos adultos y tres o más menores	72
15	Ribera Alta del Ebro	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	670
15	Ribera Alta del Ebro	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	289
15	Ribera Alta del Ebro	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	50
15	Ribera Alta del Ebro	Otro hogar de tres adultos, con o sin menores	509
15	Ribera Alta del Ebro	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	449
15	Ribera Alta del Ebro	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	73
15	Ribera Alta del Ebro	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	16
15	Ribera Alta del Ebro	Otro hogar de cuatro adultos, con o sin menores	295
15	Ribera Alta del Ebro	Cinco o más adultos, con o sin menores	409
16	Valdejalón	Una mujer de 16 a 64 años	240
16	Valdejalón	Un hombre de 16 a 64 años	594
16	Valdejalón	Una mujer de 65 o más años	727
16	Valdejalón	Un hombre de 65 o más años	355
16	Valdejalón	Una mujer adulta con uno o más menores	83
16	Valdejalón	Un hombre adulto con  uno o más menores	37
16	Valdejalón	Dos adultos de 16 a 64 años, sin menores	828
16	Valdejalón	Dos adultos, uno al menos de 65 años o más, sin menores	1428
16	Valdejalón	Dos adultos y un menor	602
16	Valdejalón	Dos adultos y dos menores	563
16	Valdejalón	Dos adultos y tres o más menores	88
16	Valdejalón	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	632
16	Valdejalón	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	235
16	Valdejalón	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	66
16	Valdejalón	Otro hogar de tres adultos, con o sin menores	572
16	Valdejalón	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	516
16	Valdejalón	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	73
16	Valdejalón	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	23
16	Valdejalón	Otro hogar de cuatro adultos, con o sin menores	279
16	Valdejalón	Cinco o más adultos, con o sin menores	429
17	D.C. Zaragoza	Una mujer de 16 a 64 años	12128
17	D.C. Zaragoza	Un hombre de 16 a 64 años	13904
17	D.C. Zaragoza	Una mujer de 65 o más años	19547
17	D.C. Zaragoza	Un hombre de 65 o más años	4816
17	D.C. Zaragoza	Una mujer adulta con uno o más menores	3789
17	D.C. Zaragoza	Un hombre adulto con  uno o más menores	1034
17	D.C. Zaragoza	Dos adultos de 16 a 64 años, sin menores	31500
17	D.C. Zaragoza	Dos adultos, uno al menos de 65 años o más, sin menores	32352
17	D.C. Zaragoza	Dos adultos y un menor	21043
17	D.C. Zaragoza	Dos adultos y dos menores	17317
17	D.C. Zaragoza	Dos adultos y tres o más menores	2158
17	D.C. Zaragoza	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	21798
17	D.C. Zaragoza	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	8348
17	D.C. Zaragoza	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	1274
17	D.C. Zaragoza	Otro hogar de tres adultos, con o sin menores	13696
17	D.C. Zaragoza	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	18579
17	D.C. Zaragoza	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	2050
17	D.C. Zaragoza	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	383
17	D.C. Zaragoza	Otro hogar de cuatro adultos, con o sin menores	5893
17	D.C. Zaragoza	Cinco o más adultos, con o sin menores	9726
18	Ribera Baja del Ebro	Una mujer de 16 a 64 años	143
18	Ribera Baja del Ebro	Un hombre de 16 a 64 años	285
18	Ribera Baja del Ebro	Una mujer de 65 o más años	385
18	Ribera Baja del Ebro	Un hombre de 65 o más años	193
18	Ribera Baja del Ebro	Una mujer adulta con uno o más menores	38
18	Ribera Baja del Ebro	Un hombre adulto con  uno o más menores	34
18	Ribera Baja del Ebro	Dos adultos de 16 a 64 años, sin menores	371
18	Ribera Baja del Ebro	Dos adultos, uno al menos de 65 años o más, sin menores	686
18	Ribera Baja del Ebro	Dos adultos y un menor	268
18	Ribera Baja del Ebro	Dos adultos y dos menores	198
18	Ribera Baja del Ebro	Dos adultos y tres o más menores	15
18	Ribera Baja del Ebro	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	290
18	Ribera Baja del Ebro	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	90
18	Ribera Baja del Ebro	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	20
18	Ribera Baja del Ebro	Otro hogar de tres adultos, con o sin menores	236
18	Ribera Baja del Ebro	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	171
18	Ribera Baja del Ebro	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	21
18	Ribera Baja del Ebro	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	1
18	Ribera Baja del Ebro	Otro hogar de cuatro adultos, con o sin menores	122
18	Ribera Baja del Ebro	Cinco o más adultos, con o sin menores	150
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Una mujer de 16 a 64 años	144
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Un hombre de 16 a 64 años	292
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Una mujer de 65 o más años	512
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Un hombre de 65 o más años	222
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Una mujer adulta con uno o más menores	46
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Un hombre adulto con  uno o más menores	18
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dos adultos de 16 a 64 años, sin menores	452
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dos adultos, uno al menos de 65 años o más, sin menores	831
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dos adultos y un menor	311
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dos adultos y dos menores	299
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dos adultos y tres o más menores	35
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	353
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	160
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	17
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otro hogar de tres adultos, con o sin menores	343
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	265
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	42
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	11
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otro hogar de cuatro adultos, con o sin menores	221
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Cinco o más adultos, con o sin menores	259
20	Comunidad de Calatayud	Una mujer de 16 a 64 años	497
20	Comunidad de Calatayud	Un hombre de 16 a 64 años	953
20	Comunidad de Calatayud	Una mujer de 65 o más años	1880
20	Comunidad de Calatayud	Un hombre de 65 o más años	839
20	Comunidad de Calatayud	Una mujer adulta con uno o más menores	155
20	Comunidad de Calatayud	Un hombre adulto con  uno o más menores	52
20	Comunidad de Calatayud	Dos adultos de 16 a 64 años, sin menores	1265
