Mes (código)	Mes y año	Dirección provincial (código)	Dirección provincial nombre	Sexo	Régimen	Afiliaciones en alta
201603	Marzo 2016	22	Huesca	Mujeres	Autónomos	7472
201603	Marzo 2016	44	Teruel	Hombres	Autónomos	9120
201603	Marzo 2016	44	Teruel	Mujeres	Autónomos	4808
201603	Marzo 2016	50	Zaragoza	Hombres	Autónomos	44745
201603	Marzo 2016	50	Zaragoza	Mujeres	Autónomos	23921
201512	Diciembre 2015	22	Huesca	Hombres	General	34525
201512	Diciembre 2015	22	Huesca	Mujeres	General	31734
201512	Diciembre 2015	44	Teruel	Hombres	General	19390
201512	Diciembre 2015	44	Teruel	Mujeres	General	17219
201512	Diciembre 2015	50	Zaragoza	Hombres	General	156885
201512	Diciembre 2015	50	Zaragoza	Mujeres	General	155546
201512	Diciembre 2015	44	Teruel	Hombres	Minería	222
201512	Diciembre 2015	44	Teruel	Mujeres	Minería	3
201512	Diciembre 2015	50	Zaragoza	Hombres	Minería	39
201512	Diciembre 2015	50	Zaragoza	Mujeres	Minería	10
201512	Diciembre 2015	22	Huesca	Hombres	Autónomos	15396
201512	Diciembre 2015	22	Huesca	Mujeres	Autónomos	7456
201512	Diciembre 2015	44	Teruel	Hombres	Autónomos	9183
201512	Diciembre 2015	44	Teruel	Mujeres	Autónomos	4801
201512	Diciembre 2015	50	Zaragoza	Hombres	Autónomos	44999
201512	Diciembre 2015	50	Zaragoza	Mujeres	Autónomos	24168
201509	Septiembre 2015	22	Huesca	Hombres	General	34043
201509	Septiembre 2015	22	Huesca	Mujeres	General	30841
201509	Septiembre 2015	44	Teruel	Hombres	General	19997
201509	Septiembre 2015	44	Teruel	Mujeres	General	17307
201509	Septiembre 2015	50	Zaragoza	Hombres	General	160481
201509	Septiembre 2015	50	Zaragoza	Mujeres	General	152910
201509	Septiembre 2015	44	Teruel	Hombres	Minería	226
201509	Septiembre 2015	44	Teruel	Mujeres	Minería	3
201509	Septiembre 2015	50	Zaragoza	Hombres	Minería	40
201509	Septiembre 2015	50	Zaragoza	Mujeres	Minería	10
201509	Septiembre 2015	22	Huesca	Hombres	Autónomos	15437
201509	Septiembre 2015	22	Huesca	Mujeres	Autónomos	7452
201509	Septiembre 2015	44	Teruel	Hombres	Autónomos	9240
201509	Septiembre 2015	44	Teruel	Mujeres	Autónomos	4779
201509	Septiembre 2015	50	Zaragoza	Hombres	Autónomos	44886
201509	Septiembre 2015	50	Zaragoza	Mujeres	Autónomos	23914
201506	Junio 2015	22	Huesca	Hombres	General	38364
201506	Junio 2015	22	Huesca	Mujeres	General	32630
201506	Junio 2015	44	Teruel	Hombres	General	19838
201506	Junio 2015	44	Teruel	Mujeres	General	17201
201506	Junio 2015	50	Zaragoza	Hombres	General	162892
201506	Junio 2015	50	Zaragoza	Mujeres	General	152233
201506	Junio 2015	44	Teruel	Hombres	Minería	239
201506	Junio 2015	44	Teruel	Mujeres	Minería	3
201506	Junio 2015	50	Zaragoza	Hombres	Minería	39
201506	Junio 2015	50	Zaragoza	Mujeres	Minería	10
201506	Junio 2015	22	Huesca	Hombres	Autónomos	15560
201506	Junio 2015	22	Huesca	Mujeres	Autónomos	7520
201506	Junio 2015	44	Teruel	Hombres	Autónomos	9301
201506	Junio 2015	44	Teruel	Mujeres	Autónomos	4808
201506	Junio 2015	50	Zaragoza	Hombres	Autónomos	45056
201506	Junio 2015	50	Zaragoza	Mujeres	Autónomos	24086
201503	Marzo 2015	22	Huesca	Hombres	General	33588
201503	Marzo 2015	22	Huesca	Mujeres	General	30986
201503	Marzo 2015	44	Teruel	Hombres	General	18926
201503	Marzo 2015	44	Teruel	Mujeres	General	16725
201503	Marzo 2015	50	Zaragoza	Hombres	General	154429
201503	Marzo 2015	50	Zaragoza	Mujeres	General	150777
201503	Marzo 2015	44	Teruel	Hombres	Minería	241
201503	Marzo 2015	44	Teruel	Mujeres	Minería	3
201503	Marzo 2015	50	Zaragoza	Hombres	Minería	41
201503	Marzo 2015	50	Zaragoza	Mujeres	Minería	10
201503	Marzo 2015	22	Huesca	Hombres	Autónomos	15469
201503	Marzo 2015	22	Huesca	Mujeres	Autónomos	7434
201503	Marzo 2015	44	Teruel	Hombres	Autónomos	9192
201503	Marzo 2015	44	Teruel	Mujeres	Autónomos	4757
201503	Marzo 2015	50	Zaragoza	Hombres	Autónomos	44581
201503	Marzo 2015	50	Zaragoza	Mujeres	Autónomos	23692
201412	Diciembre 2014	22	Huesca	Hombres	General	32970
201412	Diciembre 2014	22	Huesca	Mujeres	General	30865
201412	Diciembre 2014	44	Teruel	Hombres	General	18343
201412	Diciembre 2014	44	Teruel	Mujeres	General	16626
201412	Diciembre 2014	50	Zaragoza	Hombres	General	151446
201412	Diciembre 2014	50	Zaragoza	Mujeres	General	151814
201412	Diciembre 2014	44	Teruel	Hombres	Minería	232
201412	Diciembre 2014	44	Teruel	Mujeres	Minería	3
201412	Diciembre 2014	50	Zaragoza	Hombres	Minería	48
201412	Diciembre 2014	50	Zaragoza	Mujeres	Minería	11
201412	Diciembre 2014	22	Huesca	Hombres	Autónomos	15480
201412	Diciembre 2014	22	Huesca	Mujeres	Autónomos	7470
201412	Diciembre 2014	44	Teruel	Hombres	Autónomos	9231
201412	Diciembre 2014	44	Teruel	Mujeres	Autónomos	4775
201412	Diciembre 2014	50	Zaragoza	Hombres	Autónomos	44741
201412	Diciembre 2014	50	Zaragoza	Mujeres	Autónomos	23994
201409	Septiembre 2014	22	Huesca	Hombres	General	32639
201409	Septiembre 2014	22	Huesca	Mujeres	General	29983
201409	Septiembre 2014	44	Teruel	Hombres	General	19031
201409	Septiembre 2014	44	Teruel	Mujeres	General	16987
201409	Septiembre 2014	50	Zaragoza	Hombres	General	154781
201409	Septiembre 2014	50	Zaragoza	Mujeres	General	149440
201409	Septiembre 2014	44	Teruel	Hombres	Minería	236
201409	Septiembre 2014	44	Teruel	Mujeres	Minería	3
201409	Septiembre 2014	50	Zaragoza	Hombres	Minería	42
201409	Septiembre 2014	50	Zaragoza	Mujeres	Minería	11
201409	Septiembre 2014	22	Huesca	Hombres	Autónomos	15538
201409	Septiembre 2014	22	Huesca	Mujeres	Autónomos	7373
201409	Septiembre 2014	44	Teruel	Hombres	Autónomos	9282
201409	Septiembre 2014	44	Teruel	Mujeres	Autónomos	4754
201409	Septiembre 2014	50	Zaragoza	Hombres	Autónomos	44574
201409	Septiembre 2014	50	Zaragoza	Mujeres	Autónomos	23701
201406	Junio 2014	22	Huesca	Hombres	General	36984
201406	Junio 2014	22	Huesca	Mujeres	General	31879
201406	Junio 2014	44	Teruel	Hombres	General	19271
201406	Junio 2014	44	Teruel	Mujeres	General	16936
201406	Junio 2014	50	Zaragoza	Hombres	General	159272
201406	Junio 2014	50	Zaragoza	Mujeres	General	149946
201406	Junio 2014	44	Teruel	Hombres	Minería	241
201406	Junio 2014	44	Teruel	Mujeres	Minería	3
201406	Junio 2014	50	Zaragoza	Hombres	Minería	42
201406	Junio 2014	50	Zaragoza	Mujeres	Minería	11
201406	Junio 2014	22	Huesca	Hombres	Autónomos	15610
201406	Junio 2014	22	Huesca	Mujeres	Autónomos	7386
201406	Junio 2014	44	Teruel	Hombres	Autónomos	9291
201406	Junio 2014	44	Teruel	Mujeres	Autónomos	4782
201406	Junio 2014	50	Zaragoza	Hombres	Autónomos	44507
201406	Junio 2014	50	Zaragoza	Mujeres	Autónomos	23586
201403	Marzo 2014	22	Huesca	Hombres	General	32728
201403	Marzo 2014	22	Huesca	Mujeres	General	29772
201403	Marzo 2014	44	Teruel	Hombres	General	18270
201403	Marzo 2014	44	Teruel	Mujeres	General	16355
201403	Marzo 2014	50	Zaragoza	Hombres	General	150521
201403	Marzo 2014	50	Zaragoza	Mujeres	General	148415
201403	Marzo 2014	44	Teruel	Hombres	Minería	236
201403	Marzo 2014	44	Teruel	Mujeres	Minería	3
201403	Marzo 2014	50	Zaragoza	Hombres	Minería	64
201403	Marzo 2014	50	Zaragoza	Mujeres	Minería	12
201403	Marzo 2014	22	Huesca	Hombres	Autónomos	15480
201403	Marzo 2014	22	Huesca	Mujeres	Autónomos	7263
201403	Marzo 2014	44	Teruel	Hombres	Autónomos	9194
201403	Marzo 2014	44	Teruel	Mujeres	Autónomos	4704
201403	Marzo 2014	50	Zaragoza	Hombres	Autónomos	43822
201403	Marzo 2014	50	Zaragoza	Mujeres	Autónomos	23078
201312	Diciembre 2013	22	Huesca	Hombres	General	32654
201312	Diciembre 2013	22	Huesca	Mujeres	General	30234
201312	Diciembre 2013	44	Teruel	Hombres	General	18258
201312	Diciembre 2013	44	Teruel	Mujeres	General	16579
201312	Diciembre 2013	50	Zaragoza	Hombres	General	148923
201312	Diciembre 2013	50	Zaragoza	Mujeres	General	148750
201312	Diciembre 2013	44	Teruel	Hombres	Minería	240
201312	Diciembre 2013	44	Teruel	Mujeres	Minería	3
201312	Diciembre 2013	50	Zaragoza	Hombres	Minería	65
201312	Diciembre 2013	50	Zaragoza	Mujeres	Minería	12
201312	Diciembre 2013	22	Huesca	Hombres	Autónomos	15515
201312	Diciembre 2013	22	Huesca	Mujeres	Autónomos	7280
201312	Diciembre 2013	44	Teruel	Hombres	Autónomos	9224
201312	Diciembre 2013	44	Teruel	Mujeres	Autónomos	4691
201312	Diciembre 2013	50	Zaragoza	Hombres	Autónomos	43880
201312	Diciembre 2013	50	Zaragoza	Mujeres	Autónomos	23118
201309	Septiembre 2013	22	Huesca	Hombres	General	32734
201309	Septiembre 2013	22	Huesca	Mujeres	General	29700
201309	Septiembre 2013	44	Teruel	Hombres	General	19105
201309	Septiembre 2013	44	Teruel	Mujeres	General	17005
201309	Septiembre 2013	50	Zaragoza	Hombres	General	154150
201309	Septiembre 2013	50	Zaragoza	Mujeres	General	147685
201309	Septiembre 2013	44	Teruel	Hombres	Minería	250
201309	Septiembre 2013	44	Teruel	Mujeres	Minería	3
201309	Septiembre 2013	50	Zaragoza	Hombres	Minería	66
201309	Septiembre 2013	50	Zaragoza	Mujeres	Minería	12
201309	Septiembre 2013	22	Huesca	Hombres	Autónomos	15520
201309	Septiembre 2013	22	Huesca	Mujeres	Autónomos	7223
201309	Septiembre 2013	44	Teruel	Hombres	Autónomos	9247
201309	Septiembre 2013	44	Teruel	Mujeres	Autónomos	4676
201309	Septiembre 2013	50	Zaragoza	Hombres	Autónomos	43740
201309	Septiembre 2013	50	Zaragoza	Mujeres	Autónomos	22843
201306	Junio 2013	22	Huesca	Hombres	General	36203
201306	Junio 2013	22	Huesca	Mujeres	General	31123
201306	Junio 2013	44	Teruel	Hombres	General	19205
201306	Junio 2013	44	Teruel	Mujeres	General	16982
201306	Junio 2013	50	Zaragoza	Hombres	General	158116
201306	Junio 2013	50	Zaragoza	Mujeres	General	148523
201306	Junio 2013	44	Teruel	Hombres	Minería	252
201306	Junio 2013	44	Teruel	Mujeres	Minería	4
201306	Junio 2013	50	Zaragoza	Hombres	Minería	66
201306	Junio 2013	50	Zaragoza	Mujeres	Minería	12
201306	Junio 2013	22	Huesca	Hombres	Autónomos	15480
201306	Junio 2013	22	Huesca	Mujeres	Autónomos	7204
201306	Junio 2013	44	Teruel	Hombres	Autónomos	9241
201306	Junio 2013	44	Teruel	Mujeres	Autónomos	4707
201306	Junio 2013	50	Zaragoza	Hombres	Autónomos	43661
201306	Junio 2013	50	Zaragoza	Mujeres	Autónomos	22791
201303	Marzo 2013	22	Huesca	Hombres	General	32742
201303	Marzo 2013	22	Huesca	Mujeres	General	29931
201303	Marzo 2013	44	Teruel	Hombres	General	18462
201303	Marzo 2013	44	Teruel	Mujeres	General	16498
201303	Marzo 2013	50	Zaragoza	Hombres	General	151574
201303	Marzo 2013	50	Zaragoza	Mujeres	General	147515
201303	Marzo 2013	44	Teruel	Hombres	Minería	263
201303	Marzo 2013	44	Teruel	Mujeres	Minería	4
201303	Marzo 2013	50	Zaragoza	Hombres	Minería	63
201303	Marzo 2013	50	Zaragoza	Mujeres	Minería	12
201303	Marzo 2013	22	Huesca	Hombres	Autónomos	15462
201303	Marzo 2013	22	Huesca	Mujeres	Autónomos	7174
201303	Marzo 2013	44	Teruel	Hombres	Autónomos	9114
201303	Marzo 2013	44	Teruel	Mujeres	Autónomos	4648
201303	Marzo 2013	50	Zaragoza	Hombres	Autónomos	43370
201303	Marzo 2013	50	Zaragoza	Mujeres	Autónomos	22473
201212	Diciembre 2012	22	Huesca	Hombres	General	32827
201212	Diciembre 2012	22	Huesca	Mujeres	General	30184
201212	Diciembre 2012	44	Teruel	Hombres	General	18866
201212	Diciembre 2012	44	Teruel	Mujeres	General	16699
201212	Diciembre 2012	50	Zaragoza	Hombres	General	154707
201212	Diciembre 2012	50	Zaragoza	Mujeres	General	150944
201212	Diciembre 2012	44	Teruel	Hombres	Minería	284
201212	Diciembre 2012	44	Teruel	Mujeres	Minería	6
201212	Diciembre 2012	50	Zaragoza	Hombres	Minería	65
201212	Diciembre 2012	50	Zaragoza	Mujeres	Minería	12
201212	Diciembre 2012	22	Huesca	Hombres	Autónomos	15532
201212	Diciembre 2012	22	Huesca	Mujeres	Autónomos	7198
201212	Diciembre 2012	44	Teruel	Hombres	Autónomos	9156
201212	Diciembre 2012	44	Teruel	Mujeres	Autónomos	4640
201212	Diciembre 2012	50	Zaragoza	Hombres	Autónomos	43719
201212	Diciembre 2012	50	Zaragoza	Mujeres	Autónomos	22604
201209	Septiembre 2012	22	Huesca	Hombres	General	33793
201209	Septiembre 2012	22	Huesca	Mujeres	General	30163
201209	Septiembre 2012	44	Teruel	Hombres	General	20308
201209	Septiembre 2012	44	Teruel	Mujeres	General	17740
201209	Septiembre 2012	50	Zaragoza	Hombres	General	163608
201209	Septiembre 2012	50	Zaragoza	Mujeres	General	152108
201209	Septiembre 2012	44	Teruel	Hombres	Minería	323
201209	Septiembre 2012	44	Teruel	Mujeres	Minería	6
201209	Septiembre 2012	50	Zaragoza	Hombres	Minería	75
201209	Septiembre 2012	50	Zaragoza	Mujeres	Minería	13
201209	Septiembre 2012	22	Huesca	Hombres	Autónomos	15628
201209	Septiembre 2012	22	Huesca	Mujeres	Autónomos	7190
201209	Septiembre 2012	44	Teruel	Hombres	Autónomos	9252
201209	Septiembre 2012	44	Teruel	Mujeres	Autónomos	4666
201209	Septiembre 2012	50	Zaragoza	Hombres	Autónomos	44135
201209	Septiembre 2012	50	Zaragoza	Mujeres	Autónomos	22590
201206	Junio 2012	22	Huesca	Hombres	General	37081
201206	Junio 2012	22	Huesca	Mujeres	General	31031
201206	Junio 2012	44	Teruel	Hombres	General	20539
201206	Junio 2012	44	Teruel	Mujeres	General	17216
201206	Junio 2012	50	Zaragoza	Hombres	General	167192
201206	Junio 2012	50	Zaragoza	Mujeres	General	147342
201206	Junio 2012	44	Teruel	Hombres	Minería	330
201206	Junio 2012	44	Teruel	Mujeres	Minería	6
201206	Junio 2012	50	Zaragoza	Hombres	Minería	76
201206	Junio 2012	50	Zaragoza	Mujeres	Minería	12
201206	Junio 2012	22	Huesca	Hombres	Autónomos	15668
201206	Junio 2012	22	Huesca	Mujeres	Autónomos	7198
201206	Junio 2012	44	Teruel	Hombres	Autónomos	9270
201206	Junio 2012	44	Teruel	Mujeres	Autónomos	4669
201206	Junio 2012	50	Zaragoza	Hombres	Autónomos	44422
201206	Junio 2012	50	Zaragoza	Mujeres	Autónomos	22716
201206	Junio 2012	22	Huesca	Hombres	Hogar Fijos	3
201206	Junio 2012	22	Huesca	Mujeres	Hogar Fijos	150
201206	Junio 2012	44	Teruel	Hombres	Hogar Fijos	5
201206	Junio 2012	44	Teruel	Mujeres	Hogar Fijos	82
201206	Junio 2012	50	Zaragoza	Hombres	Hogar Fijos	61
201206	Junio 2012	50	Zaragoza	Mujeres	Hogar Fijos	1182
201203	Marzo 2012	22	Huesca	Hombres	General	33987
201203	Marzo 2012	22	Huesca	Mujeres	General	28965
201203	Marzo 2012	44	Teruel	Hombres	General	19980
201203	Marzo 2012	44	Teruel	Mujeres	General	16431
201203	Marzo 2012	50	Zaragoza	Hombres	General	161754
201203	Marzo 2012	50	Zaragoza	Mujeres	General	143294
201203	Marzo 2012	44	Teruel	Hombres	Minería	335
201203	Marzo 2012	44	Teruel	Mujeres	Minería	6
201203	Marzo 2012	50	Zaragoza	Hombres	Minería	77
201203	Marzo 2012	50	Zaragoza	Mujeres	Minería	12
201203	Marzo 2012	22	Huesca	Hombres	Autónomos	15651
201203	Marzo 2012	22	Huesca	Mujeres	Autónomos	7167
201203	Marzo 2012	44	Teruel	Hombres	Autónomos	9258
201203	Marzo 2012	44	Teruel	Mujeres	Autónomos	4656
201203	Marzo 2012	50	Zaragoza	Hombres	Autónomos	44271
201203	Marzo 2012	50	Zaragoza	Mujeres	Autónomos	22635
201203	Marzo 2012	22	Huesca	Hombres	Hogar Fijos	9
201203	Marzo 2012	22	Huesca	Mujeres	Hogar Fijos	329
201203	Marzo 2012	44	Teruel	Hombres	Hogar Fijos	12
201203	Marzo 2012	44	Teruel	Mujeres	Hogar Fijos	166
201203	Marzo 2012	50	Zaragoza	Hombres	Hogar Fijos	121
201203	Marzo 2012	50	Zaragoza	Mujeres	Hogar Fijos	2412
201112	Diciembre 2011	22	Huesca	Hombres	General	31439
201112	Diciembre 2011	22	Huesca	Mujeres	General	28844
201112	Diciembre 2011	44	Teruel	Hombres	General	19050
201112	Diciembre 2011	44	Teruel	Mujeres	General	16248
201112	Diciembre 2011	50	Zaragoza	Hombres	General	156623
201112	Diciembre 2011	50	Zaragoza	Mujeres	General	141704
201112	Diciembre 2011	44	Teruel	Hombres	Minería	343
201112	Diciembre 2011	44	Teruel	Mujeres	Minería	7
201112	Diciembre 2011	50	Zaragoza	Hombres	Minería	71
201112	Diciembre 2011	50	Zaragoza	Mujeres	Minería	13
201112	Diciembre 2011	22	Huesca	Hombres	Autónomos	15818
201112	Diciembre 2011	22	Huesca	Mujeres	Autónomos	7234
201112	Diciembre 2011	44	Teruel	Hombres	Autónomos	9298
201112	Diciembre 2011	44	Teruel	Mujeres	Autónomos	4688
201112	Diciembre 2011	50	Zaragoza	Hombres	Autónomos	44640
201112	Diciembre 2011	50	Zaragoza	Mujeres	Autónomos	22783
201112	Diciembre 2011	22	Huesca	Hombres	Agrario ajena	1810
201112	Diciembre 2011	22	Huesca	Mujeres	Agrario ajena	333
201112	Diciembre 2011	44	Teruel	Hombres	Agrario ajena	977
201112	Diciembre 2011	44	Teruel	Mujeres	Agrario ajena	189
201112	Diciembre 2011	50	Zaragoza	Hombres	Agrario ajena	6043
201112	Diciembre 2011	50	Zaragoza	Mujeres	Agrario ajena	1392
201112	Diciembre 2011	22	Huesca	Hombres	Hogar Fijos	21
201112	Diciembre 2011	22	Huesca	Mujeres	Hogar Fijos	624
201112	Diciembre 2011	44	Teruel	Hombres	Hogar Fijos	17
201112	Diciembre 2011	44	Teruel	Mujeres	Hogar Fijos	369
201112	Diciembre 2011	50	Zaragoza	Hombres	Hogar Fijos	213
201112	Diciembre 2011	50	Zaragoza	Mujeres	Hogar Fijos	3918
201109	Septiembre 2011	22	Huesca	Hombres	General	31893
201109	Septiembre 2011	22	Huesca	Mujeres	General	28380
201109	Septiembre 2011	44	Teruel	Hombres	General	19993
201109	Septiembre 2011	44	Teruel	Mujeres	General	16606
201109	Septiembre 2011	50	Zaragoza	Hombres	General	162351
201109	Septiembre 2011	50	Zaragoza	Mujeres	General	143207
201109	Septiembre 2011	44	Teruel	Hombres	Minería	341
201109	Septiembre 2011	44	Teruel	Mujeres	Minería	7
201109	Septiembre 2011	50	Zaragoza	Hombres	Minería	76
201109	Septiembre 2011	50	Zaragoza	Mujeres	Minería	10
201109	Septiembre 2011	22	Huesca	Hombres	Autónomos	15886
201109	Septiembre 2011	22	Huesca	Mujeres	Autónomos	7220
201109	Septiembre 2011	44	Teruel	Hombres	Autónomos	9367
201109	Septiembre 2011	44	Teruel	Mujeres	Autónomos	4695
201109	Septiembre 2011	50	Zaragoza	Hombres	Autónomos	44827
201109	Septiembre 2011	50	Zaragoza	Mujeres	Autónomos	22779
201109	Septiembre 2011	22	Huesca	Hombres	Agrario ajena	2214
201109	Septiembre 2011	22	Huesca	Mujeres	Agrario ajena	661
201109	Septiembre 2011	44	Teruel	Hombres	Agrario ajena	996
201109	Septiembre 2011	44	Teruel	Mujeres	Agrario ajena	338
201109	Septiembre 2011	50	Zaragoza	Hombres	Agrario ajena	6615
201109	Septiembre 2011	50	Zaragoza	Mujeres	Agrario ajena	2026
201109	Septiembre 2011	22	Huesca	Hombres	Hogar Fijos	22
201109	Septiembre 2011	22	Huesca	Mujeres	Hogar Fijos	634
201109	Septiembre 2011	44	Teruel	Hombres	Hogar Fijos	16
201109	Septiembre 2011	44	Teruel	Mujeres	Hogar Fijos	385
201109	Septiembre 2011	50	Zaragoza	Hombres	Hogar Fijos	223
201109	Septiembre 2011	50	Zaragoza	Mujeres	Hogar Fijos	3933
201106	Junio 2011	22	Huesca	Hombres	General	33095
201106	Junio 2011	22	Huesca	Mujeres	General	28914
201106	Junio 2011	44	Teruel	Hombres	General	20419
201106	Junio 2011	44	Teruel	Mujeres	General	16381
201106	Junio 2011	50	Zaragoza	Hombres	General	163364
201106	Junio 2011	50	Zaragoza	Mujeres	General	139894
201106	Junio 2011	99	No consta	Mujeres	General	2
201106	Junio 2011	44	Teruel	Hombres	Minería	334
201106	Junio 2011	44	Teruel	Mujeres	Minería	7
201106	Junio 2011	50	Zaragoza	Hombres	Minería	75
201106	Junio 2011	50	Zaragoza	Mujeres	Minería	10
201106	Junio 2011	22	Huesca	Hombres	Autónomos	15901
201106	Junio 2011	22	Huesca	Mujeres	Autónomos	7228
201106	Junio 2011	44	Teruel	Hombres	Autónomos	9368
201106	Junio 2011	44	Teruel	Mujeres	Autónomos	4721
201106	Junio 2011	50	Zaragoza	Hombres	Autónomos	45265
201106	Junio 2011	50	Zaragoza	Mujeres	Autónomos	22946
201106	Junio 2011	99	No consta	Hombres	Autónomos	72
201106	Junio 2011	99	No consta	Mujeres	Autónomos	24
201106	Junio 2011	22	Huesca	Hombres	Agrario ajena	2888
201106	Junio 2011	22	Huesca	Mujeres	Agrario ajena	1017
201106	Junio 2011	44	Teruel	Hombres	Agrario ajena	1128
201106	Junio 2011	44	Teruel	Mujeres	Agrario ajena	445
201106	Junio 2011	50	Zaragoza	Hombres	Agrario ajena	7054
201106	Junio 2011	50	Zaragoza	Mujeres	Agrario ajena	2413
201106	Junio 2011	22	Huesca	Hombres	Hogar Fijos	23
201106	Junio 2011	22	Huesca	Mujeres	Hogar Fijos	607
201106	Junio 2011	44	Teruel	Hombres	Hogar Fijos	15
201106	Junio 2011	44	Teruel	Mujeres	Hogar Fijos	376
201106	Junio 2011	50	Zaragoza	Hombres	Hogar Fijos	221
201106	Junio 2011	50	Zaragoza	Mujeres	Hogar Fijos	3966
201106	Junio 2011	99	No consta	Hombres	Hogar Fijos	4
201106	Junio 2011	99	No consta	Mujeres	Hogar Fijos	48
201103	Marzo 2011	22	Huesca	Hombres	General	32959
201103	Marzo 2011	22	Huesca	Mujeres	General	28841
201103	Marzo 2011	44	Teruel	Hombres	General	20136
201103	Marzo 2011	44	Teruel	Mujeres	General	16229
201103	Marzo 2011	50	Zaragoza	Hombres	General	162956
201103	Marzo 2011	50	Zaragoza	Mujeres	General	141924
201103	Marzo 2011	99	No consta	Mujeres	General	2
201103	Marzo 2011	44	Teruel	Hombres	Minería	325
201103	Marzo 2011	44	Teruel	Mujeres	Minería	8
201103	Marzo 2011	50	Zaragoza	Hombres	Minería	76
201103	Marzo 2011	50	Zaragoza	Mujeres	Minería	10
201103	Marzo 2011	22	Huesca	Hombres	Autónomos	15893
201103	Marzo 2011	22	Huesca	Mujeres	Autónomos	7220
201103	Marzo 2011	44	Teruel	Hombres	Autónomos	9327
201103	Marzo 2011	44	Teruel	Mujeres	Autónomos	4697
201103	Marzo 2011	50	Zaragoza	Hombres	Autónomos	45227
201103	Marzo 2011	50	Zaragoza	Mujeres	Autónomos	22844
