Año	Comarca código	Comarca nombre	Total viviendas	Viviendas libres	Viviendas protegidas
2012	32	Gúdar-Javalambre	155	155	0
2012	33	Matarraña / Matarranya	46	46	0
2011	01	La Jacetania	388	298	90
2011	02	Alto Gállego	278	261	17
2011	03	Sobrarbe	68	68	0
2011	04	La Ribagorza	186	160	26
2011	05	Cinco Villas	166	139	27
2011	06	Hoya de Huesca / Plana de Uesca	427	350	77
2011	07	Somontano de Barbastro	123	122	1
2011	08	Cinca Medio	131	128	3
2011	09	La Litera / La Llitera	97	84	13
2011	10	Los Monegros	81	79	2
2011	11	Bajo Cinca / Baix Cinca	104	104	0
2011	12	Tarazona y el Moncayo	101	100	1
2011	13	Campo de Borja	93	90	3
2011	14	Aranda	40	38	2
2011	15	Ribera Alta del Ebro	284	260	24
2011	16	Valdejalón	300	289	11
2011	17	D.C. Zaragoza	4458	3994	464
2011	18	Ribera Baja del Ebro	88	88	0
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	93	66	27
2011	20	Comunidad de Calatayud	360	354	6
2011	21	Campo de Cariñena	57	57	0
2011	22	Campo de Belchite	24	24	0
2011	23	Bajo Martín	50	49	1
2011	24	Campo de Daroca	77	77	0
2011	25	Jiloca	104	104	0
2011	26	Cuencas Mineras	78	74	4
2011	27	Andorra-Sierra de Arcos	94	94	0
2011	28	Bajo Aragón	152	142	10
2011	29	Comunidad de Teruel	421	415	6
2011	30	Maestrazgo	47	47	0
2011	31	Sierra de Albarracín	56	55	1
2011	32	Gúdar-Javalambre	171	171	0
2011	33	Matarraña / Matarranya	63	63	0
2010	01	La Jacetania	415	398	17
2010	02	Alto Gállego	352	347	5
2010	03	Sobrarbe	138	138	0
2010	04	La Ribagorza	274	271	3
2010	05	Cinco Villas	300	249	51
2010	06	Hoya de Huesca / Plana de Uesca	687	625	62
2010	07	Somontano de Barbastro	247	242	5
2010	08	Cinca Medio	190	182	8
2010	09	La Litera / La Llitera	141	132	9
2010	10	Los Monegros	163	141	22
2010	11	Bajo Cinca / Baix Cinca	136	136	0
2010	12	Tarazona y el Moncayo	189	188	1
2010	13	Campo de Borja	164	159	5
2010	14	Aranda	38	36	2
2010	15	Ribera Alta del Ebro	337	315	22
2010	16	Valdejalón	403	399	4
2010	17	D.C. Zaragoza	8447	6662	1785
2010	18	Ribera Baja del Ebro	52	52	0
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	97	93	4
2010	20	Comunidad de Calatayud	431	393	38
2010	21	Campo de Cariñena	62	62	0
2010	22	Campo de Belchite	36	36	0
2010	23	Bajo Martín	59	56	3
2010	24	Campo de Daroca	50	48	2
2010	25	Jiloca	129	129	0
2010	26	Cuencas Mineras	86	85	1
2010	27	Andorra-Sierra de Arcos	106	81	25
2010	28	Bajo Aragón	263	249	14
2010	29	Comunidad de Teruel	708	679	29
2010	30	Maestrazgo	39	38	1
2010	31	Sierra de Albarracín	69	69	0
2010	32	Gúdar-Javalambre	199	199	0
2010	33	Matarraña / Matarranya	66	66	0
2009	01	La Jacetania	410	339	71
2009	02	Alto Gállego	540	534	6
2009	03	Sobrarbe	111	110	1
2009	04	La Ribagorza	296	294	2
2009	05	Cinco Villas	287	228	59
2009	06	Hoya de Huesca / Plana de Uesca	648	573	75
2009	07	Somontano de Barbastro	298	294	4
2009	08	Cinca Medio	193	167	26
2009	09	La Litera / La Llitera	169	163	6
2009	10	Los Monegros	120	100	20
2009	11	Bajo Cinca / Baix Cinca	180	179	1
2009	12	Tarazona y el Moncayo	196	196	0
2009	13	Campo de Borja	210	208	2
2009	14	Aranda	33	33	0
2009	15	Ribera Alta del Ebro	233	220	13
2009	16	Valdejalón	318	273	45
2009	17	D.C. Zaragoza	7945	5445	2500
2009	18	Ribera Baja del Ebro	39	38	1
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	180	167	13
2009	20	Comunidad de Calatayud	543	521	22
2009	21	Campo de Cariñena	57	57	0
2009	22	Campo de Belchite	34	32	2
2009	23	Bajo Martín	58	50	8
2009	24	Campo de Daroca	62	61	1
2009	25	Jiloca	99	87	12
2009	26	Cuencas Mineras	64	61	3
2009	27	Andorra-Sierra de Arcos	114	105	9
2009	28	Bajo Aragón	292	221	71
2009	29	Comunidad de Teruel	502	468	34
2009	30	Maestrazgo	51	51	0
2009	31	Sierra de Albarracín	73	70	3
2009	32	Gúdar-Javalambre	205	204	1
2009	33	Matarraña / Matarranya	98	98	0
2008	01	La Jacetania	462	448	14
2008	02	Alto Gállego	756	691	65
2008	03	Sobrarbe	243	239	4
2008	04	La Ribagorza	317	316	1
2008	05	Cinco Villas	317	280	37
2008	06	Hoya de Huesca / Plana de Uesca	1076	776	300
2008	07	Somontano de Barbastro	442	430	12
2008	08	Cinca Medio	309	262	47
2008	09	La Litera / La Llitera	177	137	40
2008	10	Los Monegros	181	168	13
2008	11	Bajo Cinca / Baix Cinca	354	354	0
2008	12	Tarazona y el Moncayo	206	206	0
2008	13	Campo de Borja	206	200	6
2008	14	Aranda	89	89	0
2008	15	Ribera Alta del Ebro	327	321	6
2008	16	Valdejalón	561	559	2
2008	17	D.C. Zaragoza	6866	5433	1433
2008	18	Ribera Baja del Ebro	101	88	13
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	204	201	3
2008	20	Comunidad de Calatayud	594	593	1
2008	21	Campo de Cariñena	114	114	0
2008	22	Campo de Belchite	64	50	14
2008	23	Bajo Martín	95	85	10
2008	24	Campo de Daroca	55	55	0
2008	25	Jiloca	203	203	0
2008	26	Cuencas Mineras	119	107	12
2008	27	Andorra-Sierra de Arcos	138	117	21
2008	28	Bajo Aragón	419	335	84
2008	29	Comunidad de Teruel	700	697	3
2008	30	Maestrazgo	61	52	9
2008	31	Sierra de Albarracín	110	106	4
2008	32	Gúdar-Javalambre	408	408	0
2008	33	Matarraña / Matarranya	109	109	0
2007	01	La Jacetania	1060	1058	2
2007	02	Alto Gállego	977	974	3
2007	03	Sobrarbe	303	276	27
2007	04	La Ribagorza	422	417	5
2007	05	Cinco Villas	581	446	135
2007	06	Hoya de Huesca / Plana de Uesca	1402	1215	187
2007	07	Somontano de Barbastro	530	523	7
2007	08	Cinca Medio	436	415	21
2007	09	La Litera / La Llitera	270	252	18
2007	10	Los Monegros	227	180	47
2007	11	Bajo Cinca / Baix Cinca	415	406	9
2007	12	Tarazona y el Moncayo	354	353	1
2007	13	Campo de Borja	318	259	59
2007	14	Aranda	107	106	1
2007	15	Ribera Alta del Ebro	599	588	11
2007	16	Valdejalón	573	565	8
2007	17	D.C. Zaragoza	10331	9273	1058
2007	18	Ribera Baja del Ebro	119	117	2
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	374	362	12
2007	20	Comunidad de Calatayud	925	859	66
2007	21	Campo de Cariñena	217	217	0
2007	22	Campo de Belchite	75	75	0
2007	23	Bajo Martín	136	114	22
2007	24	Campo de Daroca	155	118	37
2007	25	Jiloca	233	232	1
2007	26	Cuencas Mineras	168	159	9
2007	27	Andorra-Sierra de Arcos	197	157	40
2007	28	Bajo Aragón	479	375	104
2007	29	Comunidad de Teruel	647	645	2
2007	30	Maestrazgo	57	56	1
2007	31	Sierra de Albarracín	180	180	0
2007	32	Gúdar-Javalambre	334	326	8
2007	33	Matarraña / Matarranya	157	155	2
2006	01	La Jacetania	1310	1260	50
2006	02	Alto Gállego	842	840	2
2006	03	Sobrarbe	152	150	2
2006	04	La Ribagorza	407	407	0
2006	05	Cinco Villas	313	297	16
2006	06	Hoya de Huesca / Plana de Uesca	1497	1379	118
2006	07	Somontano de Barbastro	573	572	1
2006	08	Cinca Medio	348	344	4
2006	09	La Litera / La Llitera	297	288	9
2006	10	Los Monegros	179	169	10
2006	11	Bajo Cinca / Baix Cinca	369	368	1
2006	12	Tarazona y el Moncayo	336	324	12
2006	13	Campo de Borja	325	316	9
2006	14	Aranda	83	79	4
2006	15	Ribera Alta del Ebro	668	651	17
2006	16	Valdejalón	542	541	1
2006	17	D.C. Zaragoza	11542	11255	287
2006	18	Ribera Baja del Ebro	139	138	1
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	306	268	38
2006	20	Comunidad de Calatayud	1098	1085	13
2006	21	Campo de Cariñena	211	211	0
2006	22	Campo de Belchite	86	86	0
2006	23	Bajo Martín	124	120	4
2006	24	Campo de Daroca	133	132	1
2006	25	Jiloca	257	253	4
2006	26	Cuencas Mineras	161	152	9
2006	27	Andorra-Sierra de Arcos	191	166	25
2006	28	Bajo Aragón	574	468	106
2006	29	Comunidad de Teruel	448	444	4
2006	30	Maestrazgo	58	58	0
2006	31	Sierra de Albarracín	96	96	0
2006	32	Gúdar-Javalambre	290	290	0
2006	33	Matarraña / Matarranya	203	202	1
2005	01	La Jacetania	1121	1120	1
2005	02	Alto Gállego	930	914	16
2005	03	Sobrarbe	84	84	0
2005	04	La Ribagorza	440	429	11
2005	05	Cinco Villas	176	174	2
2005	06	Hoya de Huesca / Plana de Uesca	1329	1290	39
2005	07	Somontano de Barbastro	647	582	65
2005	08	Cinca Medio	409	402	7
2005	09	La Litera / La Llitera	295	291	4
2005	10	Los Monegros	181	169	12
2005	11	Bajo Cinca / Baix Cinca	319	318	1
2005	12	Tarazona y el Moncayo	324	317	7
2005	13	Campo de Borja	279	259	20
2005	14	Aranda	55	49	6
2005	15	Ribera Alta del Ebro	696	624	72
2005	16	Valdejalón	448	440	8
2005	17	D.C. Zaragoza	14225	13451	774
2005	18	Ribera Baja del Ebro	166	164	2
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	246	222	24
2005	20	Comunidad de Calatayud	994	975	19
2005	21	Campo de Cariñena	150	150	0
2005	22	Campo de Belchite	86	85	1
2005	23	Bajo Martín	122	119	3
2005	24	Campo de Daroca	90	90	0
2005	25	Jiloca	230	211	19
2005	26	Cuencas Mineras	49	48	1
2005	27	Andorra-Sierra de Arcos	197	163	34
2005	28	Bajo Aragón	526	432	94
2005	29	Comunidad de Teruel	391	377	14
2005	30	Maestrazgo	47	47	0
2005	31	Sierra de Albarracín	42	42	0
2005	32	Gúdar-Javalambre	264	233	31
2005	33	Matarraña / Matarranya	127	127	0
2004	01	La Jacetania	1315	1313	2
2004	02	Alto Gállego	635	632	3
2004	03	Sobrarbe	121	102	19
2004	04	La Ribagorza	332	330	2
2004	05	Cinco Villas	221	200	21
2004	06	Hoya de Huesca / Plana de Uesca	816	726	90
2004	07	Somontano de Barbastro	351	346	5
2004	08	Cinca Medio	195	193	2
2004	09	La Litera / La Llitera	248	245	3
2004	10	Los Monegros	137	130	7
2004	11	Bajo Cinca / Baix Cinca	391	367	24
2004	12	Tarazona y el Moncayo	312	306	6
2004	13	Campo de Borja	239	233	6
2004	14	Aranda	45	42	3
2004	15	Ribera Alta del Ebro	513	501	12
2004	16	Valdejalón	330	328	2
2004	17	D.C. Zaragoza	13324	12415	909
2004	18	Ribera Baja del Ebro	104	100	4
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp	195	151	44
2004	20	Comunidad de Calatayud	702	693	9
2004	21	Campo de Cariñena	121	119	2
2004	22	Campo de Belchite	41	41	0
2004	23	Bajo Martín	91	90	1
2004	24	Campo de Daroca	79	79	0
2004	25	Jiloca	169	166	3
2004	26	Cuencas Mineras	47	46	1
2004	27	Andorra-Sierra de Arcos	196	189	7
2004	28	Bajo Aragón	703	409	294
2004	29	Comunidad de Teruel	411	384	27
2004	30	Maestrazgo	32	32	0
2004	31	Sierra de Albarracín	40	40	0
2004	32	Gúdar-Javalambre	267	257	10
2004	33	Matarraña / Matarranya	141	141	0
