Año	Municipio código	Municipio nombre	Edificios nueva planta, total	Edificios nueva planta, residencial	Edificios nueva planta, no residencial	Superficie nueva planta, total	Superficie nueva planta, residencial	Superficie nueva planta, no residencial	Viviendas nueva planta	Edificios rehabilitación	Viviendas rehabilitación	Edificios demolición	Viviendas demolición	Estado de la información
2019	22029	Antillón	1	0	1	3616	0	3616	0	1	0	0	0	COMPLETA
2019	22032	Aragüés del Puerto												SIN INFORMACIÓN
2019	22035	Arén	0	0	0	0	0	0	0	2	2	0	0	COMPLETA
2019	22036	Argavieso												SIN INFORMACIÓN
2019	22037	Arguis	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	22039	Ayerbe	3	2	1	623	575	48	4	6	8	6	4	COMPLETA
2019	22040	Azanuy-Alins	0	0	0	0	0	0	0	3	0	0	0	COMPLETA
2019	22041	Azara	1	0	1	833	0	833	0	0	0	0	0	COMPLETA
2019	22042	Azlor												SIN INFORMACIÓN
2019	22043	Baells												SIN INFORMACIÓN
2019	22044	Bailo												SIN INFORMACIÓN
2019	22045	Baldellou												SIN INFORMACIÓN
2019	22046	Ballobar	0	0	0	0	0	0	0	2	0	0	0	COMPLETA
2019	22047	Banastás												SIN INFORMACIÓN
2019	22048	Barbastro	14	10	4	8978	4623	4355	25	3	1	0	0	COMPLETA
2019	22049	Barbués	4	0	4	4060	0	4060	0	0	0	0	0	COMPLETA
2019	22050	Barbuñales												SIN INFORMACIÓN
2019	22051	Bárcabo	0	0	0	0	0	0	0	1	1	0	0	COMPLETA
2019	22052	Belver de Cinca	6	1	5	8679	205	8474	1	1	0	2	1	COMPLETA
2019	22053	Benabarre	1	1	0	216	216	0	1	2	0	0	0	COMPLETA
2019	22054	Benasque	5	5	0	11404	11404	0	71	6	1	1	1	COMPLETA
2019	22055	Berbegal												SIN INFORMACIÓN
2019	22057	Bielsa	12	9	3	1531	1385	146	9	3	3	0	0	COMPLETA
2019	22058	Bierge	1	1	0	392	392	0	0	1	0	0	0	COMPLETA
2019	22059	Biescas	1	1		162	162			4	1	1		INCOMPLETA
2019	22060	Binaced	12	2	10	9035	432	8603	2	5		1	1	INCOMPLETA
2019	22061	Binéfar	11	2	9	10693	1978	8715	10	11	3	6	7	COMPLETA
2019	22062	Bisaurri												SIN INFORMACIÓN
2019	22063	Biscarrués	3	0	3	2264	0	2264	0	2	0	0	0	COMPLETA
2019	22064	Blecua y Torres	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	22066	Boltaña	8	4	4	1132	792	340	4	0	0	0	0	COMPLETA
2019	22067	Bonansa	0	0	0	0	0	0	0	2	1	0	0	COMPLETA
2019	22068	Borau												SIN INFORMACIÓN
2019	22069	Broto												SIN INFORMACIÓN
2019	22072	Caldearenas	1	1	0	281	281	0	1	0	0	0	0	COMPLETA
2019	22074	Campo	1	1		445	445		1					INCOMPLETA
2019	22075	Camporrells	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	22076	Canal de Berdún	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	22077	Candasnos												SIN INFORMACIÓN
2019	22078	Canfranc												SIN INFORMACIÓN
2019	22079	Capdesaso												SIN INFORMACIÓN
2019	22080	Capella	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	22081	Casbas de Huesca	1	0	1	984	0	984	0	0	0	0	0	COMPLETA
2019	22082	Castejón del Puente	0	0	0	0	0	0	0	2	0	0	0	COMPLETA
2019	22083	Castejón de Monegros	4	0	4	4420	0	4420	0	2	0	0	0	COMPLETA
2019	22084	Castejón de Sos	2	2	0	383	383	0	2	2	0	0	0	COMPLETA
2019	22085	Castelflorite												SIN INFORMACIÓN
2019	22086	Castiello de Jaca	1	1	0	320	320	0	1	1	0	0	0	COMPLETA
2019	22087	Castigaleu	3	0	3	14816	0	14816	0	0	0	0	0	COMPLETA
2019	22088	Castillazuelo												SIN INFORMACIÓN
2019	22089	Castillonroy	1	1	0	254	254	0	1	0	0	0	0	COMPLETA
2019	22090	Colungo	0	0	0	0	0	0	0	2	0	0	0	COMPLETA
2019	22094	Chalamera												SIN INFORMACIÓN
2019	22095	Chía	0	0	0	0	0	0	0	1	1	0	0	COMPLETA
2019	22096	Chimillas												SIN INFORMACIÓN
2019	22099	Esplús	5	1	4	2923	314	2609	1	3	1	1	1	COMPLETA
2019	22102	Estada												SIN INFORMACIÓN
2019	22103	Estadilla	1	0	1	56	0	56	0	1	0	1	1	COMPLETA
2019	22105	Estopiñán del Castillo	3	0	3	821	0	821	0	0	0	0	0	COMPLETA
2019	22106	Fago												SIN INFORMACIÓN
2019	22107	Fanlo	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	22109	Fiscal	2	2	0	249	249	0	2	3	0	0	0	COMPLETA
2019	22110	Fonz	6	0	6	1734	0	1734	0	1	0	0	0	COMPLETA
2019	22111	Foradada del Toscar	1	1	0	282	282	0	1	0	0	0	0	COMPLETA
2019	22112	Fraga	16	6	10	12280	4557	7723	25	15	2	2	0	COMPLETA
2019	22113	Fueva (La)	9	0	9	8102	0	8102	0	2	1	2	2	COMPLETA
2019	22114	Gistaín												SIN INFORMACIÓN
2019	22115	Grado (El)	0	0	0	0	0	0	0	2	0	0	0	COMPLETA
2019	22116	Grañén	12	0	12	18789	0	18789	0	3	0	0	0	COMPLETA
2019	22117	Graus	6	3	3	657	416	241	3	13	8	1	0	COMPLETA
2019	22119	Gurrea de Gállego	1	0	1	1077	0	1077	0	1	0	0	0	COMPLETA
2019	22122	Hoz de Jaca	1	1	0	160	160	0	1	0	0	0	0	COMPLETA
2019	22124	Huerto	4	0	4	4319	0	4319	0	0	0	0	0	COMPLETA
2019	22125	Huesca	7	6	1	17768	16902	866	69	5	0	4	12	COMPLETA
2019	22126	Ibieca	1	0	1	630	0	630	0	0	0	0	0	COMPLETA
2019	22127	Igriés												SIN INFORMACIÓN
2019	22128	Ilche												SIN INFORMACIÓN
2019	22129	Isábena	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	22130	Jaca	2	1	1	2481	1426	1055	8	13	2	1		INCOMPLETA
2019	22131	Jasa												SIN INFORMACIÓN
2019	22133	Labuerda	2	2	0	312	312	0	2	2	0	0	0	COMPLETA
2019	22135	Laluenga	2	0	2	1688	0	1688	0	0	0	0	0	COMPLETA
2019	22136	Lalueza	10	0	10	6785	0	6785	0	0	0	0	0	COMPLETA
2019	22137	Lanaja	18	0	18	37765	0	37765	0	2	0	0	0	COMPLETA
2019	22139	Laperdiguera												SIN INFORMACIÓN
2019	22141	Lascellas-Ponzano	1	0	1	1774	0	1774	0	1	0	0	0	COMPLETA
2019	22142	Lascuarre	0	0	0	0	0	0	0	3	1	0	0	COMPLETA
2019	22143	Laspaúles												SIN INFORMACIÓN
2019	22144	Laspuña	0	0	0	0	0	0	0	1	1	0	0	COMPLETA
2019	22149	Loarre												SIN INFORMACIÓN
2019	22150	Loporzano	2	1	1	314	116	198	1	2	0	0	0	COMPLETA
2019	22151	Loscorrales												SIN INFORMACIÓN
2019	22155	Monesma y Cajigar	0	0	0	0	0	0	0	2	0	0	0	COMPLETA
2019	22156	Monflorite-Lascasas	1	0	1	552	0	552	0	0	0	1	1	COMPLETA
2019	22157	Montanuy	1	0	1	1360	0	1360	0	1	0	0	0	COMPLETA
2019	22158	Monzón	8	3	5	7692	879	6813	6	2	0	5	13	COMPLETA
2019	22160	Naval	3	0	3	1775	0	1775	0	1	0	0	0	COMPLETA
2019	22162	Novales												SIN INFORMACIÓN
2019	22163	Nueno	1	1	0	348	348	0	0	2	0	0	0	COMPLETA
2019	22164	Olvena												SIN INFORMACIÓN
2019	22165	Ontiñena	12	8	4	4571	490	4081	0	0	0	0	0	COMPLETA
2019	22167	Osso de Cinca	7	1	6	7107	359	6748	1	0	0	1	1	COMPLETA
2019	22168	Palo												SIN INFORMACIÓN
2019	22170	Panticosa	3	3	0	978	978	0	6	0	0	0	0	COMPLETA
2019	22172	Peñalba	11	0	11	12012	0	12012	0	3	0	0	0	COMPLETA
2019	22173	Peñas de Riglos (Las)	0	0	0	0	0	0	0	5	0	0	0	COMPLETA
2019	22174	Peralta de Alcofea	1	0	1	60	0	60	0	1	0	1	0	COMPLETA
2019	22175	Peralta de Calasanz	2	0	2	1764	0	1764	0	2	0	0	0	COMPLETA
2019	22176	Peraltilla	0	0	0	0	0	0	0	2	0	0	0	COMPLETA
2019	22177	Perarrúa												SIN INFORMACIÓN
2019	22178	Pertusa												SIN INFORMACIÓN
2019	22181	Piracés												SIN INFORMACIÓN
2019	22182	Plan												SIN INFORMACIÓN
2019	22184	Poleñino												SIN INFORMACIÓN
2019	22186	Pozán de Vero												SIN INFORMACIÓN
2019	22187	Puebla de Castro (La)	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	22188	Puente de Montañana	1		1	105		105		3				INCOMPLETA
2019	22189	Puértolas	1	1	0	324	324	0	4	1	1	0	0	COMPLETA
2019	22190	Pueyo de Araguás (El)	1	1	0	126	126	0	1	2	2	0	0	COMPLETA
2019	22193	Pueyo de Santa Cruz	6	1	5	4241	102	4139	1	1	0	0	0	COMPLETA
2019	22195	Quicena	0	0	0	0	0	0	0	1	0	4	0	COMPLETA
2019	22197	Robres												SIN INFORMACIÓN
2019	22199	Sabiñánigo	4	1	3	8296	141	8155	1	4	2	0	0	COMPLETA
2019	22200	Sahún	0	0	0	0	0	0	0	3	6	0	0	COMPLETA
2019	22201	Salas Altas												SIN INFORMACIÓN
2019	22202	Salas Bajas												SIN INFORMACIÓN
2019	22203	Salillas												SIN INFORMACIÓN
2019	22204	Sallent de Gállego	3	3	0	875	875	0	2	3	0	0	0	COMPLETA
2019	22205	San Esteban de Litera	6	0	6	3180	0	3180	0	1	0	0	0	COMPLETA
2019	22206	Sangarrén	12	0	12	10083	0	10083	0	1	0	0	0	COMPLETA
2019	22207	San Juan de Plan	1	0	1	125	0	125	0	0	0	0	0	COMPLETA
2019	22208	Santa Cilia												SIN INFORMACIÓN
2019	22209	Santa Cruz de la Serós												SIN INFORMACIÓN
2019	22212	Santaliestra y San Quílez												SIN INFORMACIÓN
2019	22213	Sariñena	48	2	46	65262	451	64811	2	2	1	1	1	INCOMPLETA
2019	22214	Secastilla	1	0	1	71	0	71	0	0	0	0	0	COMPLETA
2019	22215	Seira	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	22217	Sena	4	0	4	5600	0	5600	0	0	0	0	0	COMPLETA
2019	22218	Senés de Alcubierre	3		3	2446		2446						INCOMPLETA
2019	22220	Sesa	10	0	10	14353	0	14353	0	0	0	0	0	COMPLETA
2019	22221	Sesué	1	1	0	199	199	0	1	0	0	0	0	COMPLETA
2019	22222	Siétamo	2	1	1	177	147	30	1	0	0	1	1	COMPLETA
2019	22223	Sopeira												SIN INFORMACIÓN
2019	22225	Tamarite de Litera	4	0	4	2719	0	2719	0	1	1	2	0	COMPLETA
2019	22226	Tardienta	4	0	4	5857	0	5857	0	1	0	1	1	COMPLETA
2019	22227	Tella-Sin												SIN INFORMACIÓN
2019	22228	Tierz	3	3	0	553	553	0	3	1	0	0	0	COMPLETA
2019	22229	Tolva												SIN INFORMACIÓN
2019	22230	Torla-Ordesa	0	0	0	0	0	0	0	2	1	0	0	COMPLETA
2019	22232	Torralba de Aragón	4		4	3646		3646						INCOMPLETA
2019	22233	Torre la Ribera	0	0	0	0	0	0	0	2	0	0	0	COMPLETA
2019	22234	Torrente de Cinca								2				INCOMPLETA
2019	22235	Torres de Alcanadre												SIN INFORMACIÓN
2019	22236	Torres de Barbués	1	0	1	144	0	144	0	1	0	0	0	COMPLETA
2019	22239	Tramaced												SIN INFORMACIÓN
2019	22242	Valfarta												SIN INFORMACIÓN
2019	22243	Valle de Bardají												SIN INFORMACIÓN
2019	22244	Valle de Lierp												SIN INFORMACIÓN
2019	22245	Velilla de Cinca												SIN INFORMACIÓN
2019	22246	Beranuy												SIN INFORMACIÓN
2019	22247	Viacamp y Litera												SIN INFORMACIÓN
2019	22248	Vicién	1	0	1	46	0	46	0	1	0	0	0	COMPLETA
2019	22249	Villanova												SIN INFORMACIÓN
2019	22250	Villanúa	2	2	0	1215	1215	0	18	1	0	0	0	COMPLETA
2019	22251	Villanueva de Sigena	7	0	7	7705	0	7705	0	2	0	0	0	COMPLETA
2019	22252	Yebra de Basa	1	0	1	47	0	47	0	1	1	0	0	COMPLETA
2019	22253	Yésero	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	22254	Zaidín	2	0	2	1617	0	1617	0	5	0	0	0	COMPLETA
2019	22901	Valle de Hecho	1	1	0	147	147	0	1	3	1	0	0	COMPLETA
2019	22902	Puente la Reina de Jaca												SIN INFORMACIÓN
2019	22903	San Miguel del Cinca	7	1	6	6404	245	6159	1	0	0	4	1	COMPLETA
2019	22904	Sotonera (La)	6	0	6	5292	0	5292	0	2	0	0	0	COMPLETA
2019	22905	Lupiñén-Ortilla	11	0	11	15744	0	15744	0	0	0	0	0	COMPLETA
2019	22906	Santa María de Dulcis	1	1	0	423	423	0	0	1	0	0	0	COMPLETA
2019	22907	Aínsa-Sobrarbe	7	5	2	2538	1732	806	5	3	0	0	0	COMPLETA
2019	22908	Hoz y Costeán												SIN INFORMACIÓN
2019	22909	Vencillón	6	0	6	2681	0	2681	0	1	0	0	0	COMPLETA
2019	44001	Ababuj												SIN INFORMACIÓN
2019	44002	Abejuela												SIN INFORMACIÓN
2019	44003	Aguatón	1	0	1	64	0	64	0	0	0	0	0	COMPLETA
2019	44004	Aguaviva	1	1	0	321	321	0	1	1	0	1	0	COMPLETA
2019	44005	Aguilar del Alfambra												SIN INFORMACIÓN
2019	44006	Alacón	2	0	2	1353	0	1353	0	0	0	0	0	COMPLETA
2019	44007	Alba	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	44008	Albalate del Arzobispo	0	0	0	0	0	0	0	4	0	0	0	COMPLETA
2019	44009	Albarracín												SIN INFORMACIÓN
2019	44010	Albentosa	1	0	1	216	0	216	0	2	0	0	0	COMPLETA
2019	44011	Alcaine												SIN INFORMACIÓN
2019	44012	Alcalá de la Selva												SIN INFORMACIÓN
2019	44013	Alcañiz	22	2	20	9208	426	8782	2	17	1	2	1	COMPLETA
2019	44014	Alcorisa	11	6	5	4048	1868	2180	6	6	1	0	0	COMPLETA
2019	44016	Alfambra	1	0	1	88	0	88	0	0	0	1	1	COMPLETA
2019	44017	Aliaga	2	2	0	568	568	0	2	0	0	0	0	COMPLETA
2019	44018	Almohaja												SIN INFORMACIÓN
2019	44019	Alobras												SIN INFORMACIÓN
2019	44020	Alpeñés												SIN INFORMACIÓN
2019	44021	Allepuz												SIN INFORMACIÓN
2019	44022	Alloza												SIN INFORMACIÓN
2019	44023	Allueva												SIN INFORMACIÓN
2019	44024	Anadón												SIN INFORMACIÓN
2019	44025	Andorra	9	4	5	1347	854	493	4	5	0	2	1	COMPLETA
2019	44026	Arcos de las Salinas	1	0	1	560	0	560	0	1	0	0	0	COMPLETA
2019	44027	Arens de Lledó												SIN INFORMACIÓN
2019	44028	Argente												SIN INFORMACIÓN
2019	44029	Ariño												SIN INFORMACIÓN
2019	44031	Azaila												SIN INFORMACIÓN
2019	44032	Bádenas												SIN INFORMACIÓN
2019	44033	Báguena								1		1		INCOMPLETA
2019	44034	Bañón												SIN INFORMACIÓN
2019	44035	Barrachina	0	0	0	0	0	0	0	0	0	1	1	COMPLETA
2019	44036	Bea												SIN INFORMACIÓN
2019	44037	Beceite												SIN INFORMACIÓN
2019	44038	Belmonte de San José	4	0	4	2873	0	2873	0	1	0	0	0	COMPLETA
2019	44039	Bello	1	0	1	1058	0	1058	0	0	0	0	0	COMPLETA
2019	44040	Berge	1		1	1303		1303		1				INCOMPLETA
2019	44041	Bezas												SIN INFORMACIÓN
2019	44042	Blancas	1	0	1	87	0	87	0	1	0	0	0	COMPLETA
2019	44043	Blesa												SIN INFORMACIÓN
2019	44044	Bordón	1	1		317	317		1					INCOMPLETA
2019	44045	Bronchales												SIN INFORMACIÓN
2019	44046	Bueña												SIN INFORMACIÓN
2019	44047	Burbáguena												SIN INFORMACIÓN
2019	44048	Cabra de Mora	0	0	0	0	0	0	0	11	0	0	0	COMPLETA
2019	44049	Calaceite	2	0	2	1169	0	1169	0	7	2	0	1	COMPLETA
2019	44050	Calamocha	7	4	3	2264	673	1591	4	6	0	10	4	COMPLETA
2019	44051	Calanda	3	2	1	930	771	159	2	3	0	0	0	COMPLETA
2019	44052	Calomarde	2	2	0	182	182	0	2	0	0	0	0	COMPLETA
2019	44053	Camañas												SIN INFORMACIÓN
2019	44054	Camarena de la Sierra	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	44055	Camarillas												SIN INFORMACIÓN
2019	44056	Caminreal	2	2	0	815	815	0	2	0	0	0	0	COMPLETA
2019	44059	Cantavieja	0	0	0	0	0	0	0	2	0	0	0	COMPLETA
2019	44060	Cañada de Benatanduz												SIN INFORMACIÓN
2019	44061	Cañada de Verich (La)	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	44062	Cañada Vellida												SIN INFORMACIÓN
2019	44063	Cañizar del Olivar	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	44064	Cascante del Río	0	0	0	0	0	0	0	2	0	0	0	COMPLETA
2019	44065	Castejón de Tornos												SIN INFORMACIÓN
2019	44066	Castel de Cabra												SIN INFORMACIÓN
2019	44067	Castelnou												SIN INFORMACIÓN
2019	44068	Castelserás	1	1	0	305	305	0	1	1	0	0	0	COMPLETA
2019	44070	Castellar (El)	0	0	0	0	0	0	0	5	0	0	0	COMPLETA
2019	44071	Castellote	1	1	0	255	255	0	1	2	0	0	0	COMPLETA
2019	44074	Cedrillas												SIN INFORMACIÓN
2019	44075	Celadas												SIN INFORMACIÓN
2019	44076	Cella	6	0	6	7414	0	7414	0	2	0	0	0	COMPLETA
2019	44077	Cerollera (La)												SIN INFORMACIÓN
2019	44080	Codoñera (La)	1	1	0	139	139	0	1	0	0	0	0	COMPLETA
2019	44082	Corbalán	1	0	1	416	0	416	0	0	0	0	0	COMPLETA
2019	44084	Cortes de Aragón												SIN INFORMACIÓN
2019	44085	Cosa												SIN INFORMACIÓN
2019	44086	Cretas	3	3	0	871	871	0	3	3	1	0	0	COMPLETA
2019	44087	Crivillén												SIN INFORMACIÓN
2019	44088	Cuba (La)												SIN INFORMACIÓN
2019	44089	Cubla												SIN INFORMACIÓN
2019	44090	Cucalón												SIN INFORMACIÓN
2019	44092	Cuervo (El)												SIN INFORMACIÓN
2019	44093	Cuevas de Almudén												SIN INFORMACIÓN
2019	44094	Cuevas Labradas												SIN INFORMACIÓN
2019	44096	Ejulve												SIN INFORMACIÓN
2019	44097	Escorihuela	1	0	1	72	0	72	0	1	0	0	0	COMPLETA
2019	44099	Escucha												SIN INFORMACIÓN
2019	44100	Estercuel	1	0	1	93	0	93	0	0	0	0	0	COMPLETA
2019	44101	Ferreruela de Huerva												SIN INFORMACIÓN
2019	44102	Fonfría												SIN INFORMACIÓN
2019	44103	Formiche Alto	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	44105	Fórnoles	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	44106	Fortanete	0	0	0	0	0	0	0	3	0	0	0	COMPLETA
2019	44107	Foz-Calanda												SIN INFORMACIÓN
2019	44108	Fresneda (La)												SIN INFORMACIÓN
2019	44109	Frías de Albarracín												SIN INFORMACIÓN
2019	44110	Fuenferrada												SIN INFORMACIÓN
2019	44111	Fuentes Calientes												SIN INFORMACIÓN
2019	44112	Fuentes Claras	0	0	0	0	0	0	0	2	0	1	1	COMPLETA
2019	44113	Fuentes de Rubielos	1	0	1	74	0	74	0	0	0	0	0	COMPLETA
2019	44114	Fuentespalda	2	1	1	236	193	43	1	0	0	0	0	COMPLETA
2019	44115	Galve												SIN INFORMACIÓN
2019	44116	Gargallo												SIN INFORMACIÓN
2019	44117	Gea de Albarracín	1	1	0	268	268	0	1	0	0	1	1	COMPLETA
2019	44118	Ginebrosa (La)	0	0	0	0	0	0	0	3	1	0	2	COMPLETA
2019	44119	Griegos												SIN INFORMACIÓN
2019	44120	Guadalaviar												SIN INFORMACIÓN
2019	44121	Gúdar	1	1	0	272	272	0	1	0	0	0	0	COMPLETA
2019	44122	Híjar	4	0	4	2720	0	2720	0	9	1	0	0	COMPLETA
2019	44123	Hinojosa de Jarque	0	0	0	0	0	0	0	2	0	0	0	COMPLETA
2019	44124	Hoz de la Vieja (La)												SIN INFORMACIÓN
2019	44125	Huesa del Común												SIN INFORMACIÓN
2019	44126	Iglesuela del Cid (La)								2	3			INCOMPLETA
2019	44127	Jabaloyas												SIN INFORMACIÓN
2019	44128	Jarque de la Val												SIN INFORMACIÓN
2019	44129	Jatiel												SIN INFORMACIÓN
2019	44130	Jorcas												SIN INFORMACIÓN
2019	44131	Josa												SIN INFORMACIÓN
2019	44132	Lagueruela												SIN INFORMACIÓN
2019	44133	Lanzuela												SIN INFORMACIÓN
2019	44135	Libros												SIN INFORMACIÓN
2019	44136	Lidón												SIN INFORMACIÓN
2019	44137	Linares de Mora	1	1		242	242		1	1				INCOMPLETA
2019	44138	Loscos												SIN INFORMACIÓN
2019	44141	Lledó												SIN INFORMACIÓN
2019	44142	Maicas												SIN INFORMACIÓN
2019	44143	Manzanera	2		2	982		982		2	1			INCOMPLETA
2019	44144	Martín del Río												SIN INFORMACIÓN
2019	44145	Mas de las Matas	5	2	3	851	416	435	2	1	1	0	0	COMPLETA
2019	44146	Mata de los Olmos (La)	1	0	1	235	0	235	0	1	0	0	0	COMPLETA
2019	44147	Mazaleón	3	1	2	2214	498	1716	1	0	0	0	0	COMPLETA
2019	44148	Mezquita de Jarque	0	0	0	0	0	0	0	0	0	1	1	COMPLETA
2019	44149	Mirambel	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	44150	Miravete de la Sierra												SIN INFORMACIÓN
2019	44151	Molinos												SIN INFORMACIÓN
2019	44152	Monforte de Moyuela	1	0	1	1200	0	1200	0	0	0	0	0	COMPLETA
2019	44153	Monreal del Campo	7	2	5	4336	493	3843	2	1	1	4	2	COMPLETA
2019	44154	Monroyo	0	0	0	0	0	0	0	1	0	0	0	COMPLETA
2019	44155	Montalbán	1	1	0	227	227	0	1	6	0	0	0	COMPLETA
2019	44156	Monteagudo del Castillo												SIN INFORMACIÓN
2019	44157	Monterde de Albarracín	0	0	0	0	0	0	0	1	1	0	0	COMPLETA
2019	44158	Mora de Rubielos	3	3	0	951	951	0	4	5	2	1	1	COMPLETA
2019	44159	Moscardón												SIN INFORMACIÓN
2019	44160	Mosqueruela	2	2	0	611	611	0	3	0	0	1	1	COMPLETA
2019	44161	Muniesa	1	1	0	186	186	0	1	0	0	0	0	COMPLETA
2019	44163	Noguera de Albarracín	1	0	1	109	0	109	0	0	0	0	0	COMPLETA
2019	44164	Nogueras												SIN INFORMACIÓN
2019	44165	Nogueruelas	1	1	0	415	415	0	3	5	2	1	1	COMPLETA
2019	44167	Obón	1	1	0	119	119	0	1	1	0	0	0	COMPLETA
2019	44168	Odón												SIN INFORMACIÓN
2019	44169	Ojos Negros	3	0	3	1489	0	1489	0	1	0	2	2	COMPLETA
2019	44171	Olba	2	2	0	367	367	0	3	1	0	0	0	COMPLETA
2019	44172	Oliete												SIN INFORMACIÓN
2019	44173	Olmos (Los)												SIN INFORMACIÓN
2019	44174	Orihuela del Tremedal	1	1	0	372	372	0	1	0	0	0	0	COMPLETA
2019	44175	Orrios												SIN INFORMACIÓN
2019	44176	Palomar de Arroyos												SIN INFORMACIÓN
2019	44177	Pancrudo												SIN INFORMACIÓN
2019	44178	Parras de Castellote (Las)	1	0	1	72	0	72	0	0	0	0	0	COMPLETA
2019	44179	Peñarroya de Tastavins	2	1	1	932	402	530	1	2	0	0	0	COMPLETA
2019	44180	Peracense												SIN INFORMACIÓN
2019	44181	Peralejos												SIN INFORMACIÓN
2019	44182	Perales del Alfambra	8	0	8	22769	0	22769	0	0	0	0	0	COMPLETA
2019	44183	Pitarque												SIN INFORMACIÓN
2019	44184	Plou												SIN INFORMACIÓN
2019	44185	Pobo (El)	1	1	0	127	127	0	1	0	0	0	0	COMPLETA
2019	44187	Portellada (La)	1	1	0	237	237	0	1	1	0	0	0	COMPLETA
2019	44189	Pozondón	0	0	0	0	0	0	0	3	0	0	0	COMPLETA
2019	44190	Pozuel del Campo	3	0	3	1926	0	1926	0	2	0	0	0	COMPLETA
2019	44191	Puebla de Híjar (La)	4	0	4	3993	0	3993	0	1	0	0	0	COMPLETA
2019	44192	Puebla de Valverde (La)	0	0	0	0	0	0	0	4	0	0	0	COMPLETA
2019	44193	Puertomingalvo	0	0	0	0	0	0	0	2	0	0	0	COMPLETA
2019	44194	Ráfales	1	0	1	1938	0	1938	0	2	0	0	0	COMPLETA
2019	44195	Rillo												SIN INFORMACIÓN
2019	44196	Riodeva												SIN INFORMACIÓN
2019	44197	Ródenas	1	0	1	32	0	32	0	0	0	2	2	COMPLETA
2019	44198	Royuela												SIN INFORMACIÓN
2019	44199	Rubiales												SIN INFORMACIÓN
2019	44200	Rubielos de la Cérida												SIN INFORMACIÓN
2019	44201	Rubielos de Mora	1	1		165	165		1	4		1		INCOMPLETA
2019	44203	Salcedillo												SIN INFORMACIÓN
2019	44204	Saldón	0	0	0	0	0	0	0	1	0	1	1	COMPLETA
2019	44205	Samper de Calanda	1	1	0	124	124	0	1	3	0	0	0	COMPLETA
