Provincia código	Provincia nombre	Edad	Sexo	Estado civil	Personas residentes viviendas familiares
22	Huesca	40 a 44	Mujeres	Solteros/as	868
22	Huesca	40 a 44	Mujeres	Casados/as	5873
22	Huesca	40 a 44	Mujeres	Viudos/as	129
22	Huesca	40 a 44	Mujeres	Separados/as	218
22	Huesca	40 a 44	Mujeres	Divorciados/as	180
22	Huesca	45 a 49	Hombres	Solteros/as	1211
22	Huesca	45 a 49	Hombres	Casados/as	5450
22	Huesca	45 a 49	Hombres	Viudos/as	33
22	Huesca	45 a 49	Hombres	Separados/as	204
22	Huesca	45 a 49	Hombres	Divorciados/as	119
22	Huesca	45 a 49	Mujeres	Solteros/as	585
22	Huesca	45 a 49	Mujeres	Casados/as	5226
22	Huesca	45 a 49	Mujeres	Viudos/as	201
22	Huesca	45 a 49	Mujeres	Separados/as	169
22	Huesca	45 a 49	Mujeres	Divorciados/as	121
22	Huesca	50 a 54	Hombres	Solteros/as	982
22	Huesca	50 a 54	Hombres	Casados/as	4891
22	Huesca	50 a 54	Hombres	Viudos/as	63
22	Huesca	50 a 54	Hombres	Separados/as	143
22	Huesca	50 a 54	Hombres	Divorciados/as	96
22	Huesca	50 a 54	Mujeres	Solteros/as	391
22	Huesca	50 a 54	Mujeres	Casados/as	4737
22	Huesca	50 a 54	Mujeres	Viudos/as	349
22	Huesca	50 a 54	Mujeres	Separados/as	126
22	Huesca	50 a 54	Mujeres	Divorciados/as	95
22	Huesca	55 a 59	Hombres	Solteros/as	948
22	Huesca	55 a 59	Hombres	Casados/as	4448
22	Huesca	55 a 59	Hombres	Viudos/as	102
22	Huesca	55 a 59	Hombres	Separados/as	93
22	Huesca	55 a 59	Hombres	Divorciados/as	58
22	Huesca	55 a 59	Mujeres	Solteros/as	328
22	Huesca	55 a 59	Mujeres	Casados/as	4521
22	Huesca	55 a 59	Mujeres	Viudos/as	526
22	Huesca	55 a 59	Mujeres	Separados/as	86
22	Huesca	55 a 59	Mujeres	Divorciados/as	50
22	Huesca	60 a 64	Hombres	Solteros/as	865
22	Huesca	60 a 64	Hombres	Casados/as	3597
22	Huesca	60 a 64	Hombres	Viudos/as	129
22	Huesca	60 a 64	Hombres	Separados/as	71
22	Huesca	60 a 64	Hombres	Divorciados/as	33
22	Huesca	60 a 64	Mujeres	Solteros/as	266
22	Huesca	60 a 64	Mujeres	Casados/as	3695
22	Huesca	60 a 64	Mujeres	Viudos/as	678
22	Huesca	60 a 64	Mujeres	Separados/as	50
22	Huesca	60 a 64	Mujeres	Divorciados/as	17
22	Huesca	65 a 69	Hombres	Solteros/as	1186
22	Huesca	65 a 69	Hombres	Casados/as	4612
22	Huesca	65 a 69	Hombres	Viudos/as	332
22	Huesca	65 a 69	Hombres	Separados/as	49
22	Huesca	65 a 69	Hombres	Divorciados/as	21
22	Huesca	65 a 69	Mujeres	Solteros/as	435
22	Huesca	65 a 69	Mujeres	Casados/as	4481
22	Huesca	65 a 69	Mujeres	Viudos/as	1383
22	Huesca	65 a 69	Mujeres	Separados/as	42
22	Huesca	65 a 69	Mujeres	Divorciados/as	15
22	Huesca	70 a 74	Hombres	Solteros/as	1002
22	Huesca	70 a 74	Hombres	Casados/as	4436
22	Huesca	70 a 74	Hombres	Viudos/as	473
22	Huesca	70 a 74	Hombres	Separados/as	37
22	Huesca	70 a 74	Hombres	Divorciados/as	8
22	Huesca	70 a 74	Mujeres	Solteros/as	478
22	Huesca	70 a 74	Mujeres	Casados/as	3892
22	Huesca	70 a 74	Mujeres	Viudos/as	2115
22	Huesca	70 a 74	Mujeres	Separados/as	16
22	Huesca	70 a 74	Mujeres	Divorciados/as	8
22	Huesca	75 a 79	Hombres	Solteros/as	606
22	Huesca	75 a 79	Hombres	Casados/as	3754
22	Huesca	75 a 79	Hombres	Viudos/as	677
22	Huesca	75 a 79	Hombres	Separados/as	19
22	Huesca	75 a 79	Hombres	Divorciados/as	10
22	Huesca	75 a 79	Mujeres	Solteros/as	470
22	Huesca	75 a 79	Mujeres	Casados/as	2465
22	Huesca	75 a 79	Mujeres	Viudos/as	2774
22	Huesca	75 a 79	Mujeres	Separados/as	13
22	Huesca	75 a 79	Mujeres	Divorciados/as	2
22	Huesca	80 a 84	Hombres	Solteros/as	293
22	Huesca	80 a 84	Hombres	Casados/as	1874
22	Huesca	80 a 84	Hombres	Viudos/as	573
22	Huesca	80 a 84	Hombres	Separados/as	11
22	Huesca	80 a 84	Hombres	Divorciados/as	2
22	Huesca	80 a 84	Mujeres	Solteros/as	352
22	Huesca	80 a 84	Mujeres	Casados/as	1029
22	Huesca	80 a 84	Mujeres	Viudos/as	2456
22	Huesca	80 a 84	Mujeres	Separados/as	5
22	Huesca	80 a 84	Mujeres	Divorciados/as	3
22	Huesca	85 a 90	Hombres	Solteros/as	125
22	Huesca	85 a 90	Hombres	Casados/as	796
22	Huesca	85 a 90	Hombres	Viudos/as	455
22	Huesca	85 a 90	Hombres	Separados/as	2
22	Huesca	85 a 90	Hombres	Divorciados/as	1
22	Huesca	85 a 90	Mujeres	Solteros/as	168
22	Huesca	85 a 90	Mujeres	Casados/as	262
22	Huesca	85 a 90	Mujeres	Viudos/as	1874
22	Huesca	85 a 90	Mujeres	Divorciados/as	1
22	Huesca	90 ó más	Hombres	Solteros/as	47
22	Huesca	90 ó más	Hombres	Casados/as	225
22	Huesca	90 ó más	Hombres	Viudos/as	325
22	Huesca	90 ó más	Hombres	Divorciados/as	1
22	Huesca	90 ó más	Mujeres	Solteros/as	61
22	Huesca	90 ó más	Mujeres	Casados/as	46
22	Huesca	90 ó más	Mujeres	Viudos/as	940
22	Huesca	90 ó más	Mujeres	Separados/as	1
44	Teruel	16 a 19	Hombres	Solteros/as	2858
44	Teruel	16 a 19	Hombres	Casados/as	8
44	Teruel	16 a 19	Hombres	Separados/as	1
44	Teruel	16 a 19	Mujeres	Solteros/as	2672
44	Teruel	16 a 19	Mujeres	Casados/as	26
44	Teruel	20 a 24	Hombres	Solteros/as	4248
44	Teruel	20 a 24	Hombres	Casados/as	109
44	Teruel	20 a 24	Hombres	Separados/as	1
44	Teruel	20 a 24	Mujeres	Solteros/as	3487
44	Teruel	20 a 24	Mujeres	Casados/as	297
44	Teruel	20 a 24	Mujeres	Viudos/as	5
44	Teruel	20 a 24	Mujeres	Separados/as	10
44	Teruel	20 a 24	Mujeres	Divorciados/as	1
44	Teruel	25 a 29	Hombres	Solteros/as	3663
44	Teruel	25 a 29	Hombres	Casados/as	946
44	Teruel	25 a 29	Hombres	Separados/as	14
44	Teruel	25 a 29	Hombres	Divorciados/as	8
44	Teruel	25 a 29	Mujeres	Solteros/as	2456
44	Teruel	25 a 29	Mujeres	Casados/as	1591
44	Teruel	25 a 29	Mujeres	Viudos/as	13
44	Teruel	25 a 29	Mujeres	Separados/as	39
44	Teruel	25 a 29	Mujeres	Divorciados/as	15
44	Teruel	30 a 34	Hombres	Solteros/as	2232
44	Teruel	30 a 34	Hombres	Casados/as	2436
44	Teruel	30 a 34	Hombres	Viudos/as	6
44	Teruel	30 a 34	Hombres	Separados/as	56
44	Teruel	30 a 34	Hombres	Divorciados/as	19
44	Teruel	30 a 34	Mujeres	Solteros/as	1122
44	Teruel	30 a 34	Mujeres	Casados/as	3160
44	Teruel	30 a 34	Mujeres	Viudos/as	20
44	Teruel	30 a 34	Mujeres	Separados/as	79
44	Teruel	30 a 34	Mujeres	Divorciados/as	40
44	Teruel	35 a 39	Hombres	Solteros/as	1539
44	Teruel	35 a 39	Hombres	Casados/as	3720
44	Teruel	35 a 39	Hombres	Viudos/as	6
44	Teruel	35 a 39	Hombres	Separados/as	83
44	Teruel	35 a 39	Hombres	Divorciados/as	32
44	Teruel	35 a 39	Mujeres	Solteros/as	667
44	Teruel	35 a 39	Mujeres	Casados/as	3925
44	Teruel	35 a 39	Mujeres	Viudos/as	45
44	Teruel	35 a 39	Mujeres	Separados/as	100
44	Teruel	35 a 39	Mujeres	Divorciados/as	64
44	Teruel	40 a 44	Hombres	Solteros/as	1034
44	Teruel	40 a 44	Hombres	Casados/as	4126
44	Teruel	40 a 44	Hombres	Viudos/as	21
44	Teruel	40 a 44	Hombres	Separados/as	107
44	Teruel	40 a 44	Hombres	Divorciados/as	42
44	Teruel	40 a 44	Mujeres	Solteros/as	456
44	Teruel	40 a 44	Mujeres	Casados/as	3774
44	Teruel	40 a 44	Mujeres	Viudos/as	82
44	Teruel	40 a 44	Mujeres	Separados/as	103
44	Teruel	40 a 44	Mujeres	Divorciados/as	62
44	Teruel	45 a 49	Hombres	Solteros/as	771
44	Teruel	45 a 49	Hombres	Casados/as	3487
44	Teruel	45 a 49	Hombres	Viudos/as	31
44	Teruel	45 a 49	Hombres	Separados/as	91
44	Teruel	45 a 49	Hombres	Divorciados/as	35
44	Teruel	45 a 49	Mujeres	Solteros/as	259
44	Teruel	45 a 49	Mujeres	Casados/as	3218
44	Teruel	45 a 49	Mujeres	Viudos/as	102
44	Teruel	45 a 49	Mujeres	Separados/as	78
44	Teruel	45 a 49	Mujeres	Divorciados/as	50
44	Teruel	50 a 54	Hombres	Solteros/as	688
44	Teruel	50 a 54	Hombres	Casados/as	3023
44	Teruel	50 a 54	Hombres	Viudos/as	43
44	Teruel	50 a 54	Hombres	Separados/as	65
44	Teruel	50 a 54	Hombres	Divorciados/as	26
44	Teruel	50 a 54	Mujeres	Solteros/as	235
44	Teruel	50 a 54	Mujeres	Casados/as	2879
44	Teruel	50 a 54	Mujeres	Viudos/as	189
44	Teruel	50 a 54	Mujeres	Separados/as	47
44	Teruel	50 a 54	Mujeres	Divorciados/as	29
44	Teruel	55 a 59	Hombres	Solteros/as	653
44	Teruel	55 a 59	Hombres	Casados/as	2688
44	Teruel	55 a 59	Hombres	Viudos/as	65
44	Teruel	55 a 59	Hombres	Separados/as	51
44	Teruel	55 a 59	Hombres	Divorciados/as	18
44	Teruel	55 a 59	Mujeres	Solteros/as	223
44	Teruel	55 a 59	Mujeres	Casados/as	2784
44	Teruel	55 a 59	Mujeres	Viudos/as	267
44	Teruel	55 a 59	Mujeres	Separados/as	33
44	Teruel	55 a 59	Mujeres	Divorciados/as	17
44	Teruel	60 a 64	Hombres	Solteros/as	631
44	Teruel	60 a 64	Hombres	Casados/as	2395
44	Teruel	60 a 64	Hombres	Viudos/as	83
44	Teruel	60 a 64	Hombres	Separados/as	33
44	Teruel	60 a 64	Hombres	Divorciados/as	13
44	Teruel	60 a 64	Mujeres	Solteros/as	232
44	Teruel	60 a 64	Mujeres	Casados/as	2595
44	Teruel	60 a 64	Mujeres	Viudos/as	414
44	Teruel	60 a 64	Mujeres	Separados/as	11
44	Teruel	60 a 64	Mujeres	Divorciados/as	5
44	Teruel	65 a 69	Hombres	Solteros/as	720
44	Teruel	65 a 69	Hombres	Casados/as	3489
44	Teruel	65 a 69	Hombres	Viudos/as	254
44	Teruel	65 a 69	Hombres	Separados/as	31
44	Teruel	65 a 69	Hombres	Divorciados/as	17
44	Teruel	65 a 69	Mujeres	Solteros/as	311
44	Teruel	65 a 69	Mujeres	Casados/as	3485
44	Teruel	65 a 69	Mujeres	Viudos/as	919
44	Teruel	65 a 69	Mujeres	Separados/as	28
44	Teruel	65 a 69	Mujeres	Divorciados/as	7
44	Teruel	70 a 74	Hombres	Solteros/as	636
44	Teruel	70 a 74	Hombres	Casados/as	3605
44	Teruel	70 a 74	Hombres	Viudos/as	372
44	Teruel	70 a 74	Hombres	Separados/as	21
44	Teruel	70 a 74	Hombres	Divorciados/as	9
44	Teruel	70 a 74	Mujeres	Solteros/as	310
44	Teruel	70 a 74	Mujeres	Casados/as	3158
44	Teruel	70 a 74	Mujeres	Viudos/as	1307
44	Teruel	70 a 74	Mujeres	Separados/as	10
44	Teruel	70 a 74	Mujeres	Divorciados/as	2
44	Teruel	75 a 79	Hombres	Solteros/as	321
44	Teruel	75 a 79	Hombres	Casados/as	2812
44	Teruel	75 a 79	Hombres	Viudos/as	519
44	Teruel	75 a 79	Hombres	Separados/as	11
44	Teruel	75 a 79	Hombres	Divorciados/as	3
44	Teruel	75 a 79	Mujeres	Solteros/as	294
44	Teruel	75 a 79	Mujeres	Casados/as	2132
44	Teruel	75 a 79	Mujeres	Viudos/as	1657
44	Teruel	75 a 79	Mujeres	Separados/as	8
44	Teruel	75 a 79	Mujeres	Divorciados/as	3
44	Teruel	80 a 84	Hombres	Solteros/as	149
44	Teruel	80 a 84	Hombres	Casados/as	1364
44	Teruel	80 a 84	Hombres	Viudos/as	465
44	Teruel	80 a 84	Hombres	Separados/as	3
44	Teruel	80 a 84	Hombres	Divorciados/as	1
44	Teruel	80 a 84	Mujeres	Solteros/as	216
44	Teruel	80 a 84	Mujeres	Casados/as	853
44	Teruel	80 a 84	Mujeres	Viudos/as	1602
44	Teruel	80 a 84	Mujeres	Separados/as	5
44	Teruel	80 a 84	Mujeres	Divorciados/as	1
44	Teruel	85 a 90	Hombres	Solteros/as	62
44	Teruel	85 a 90	Hombres	Casados/as	564
44	Teruel	85 a 90	Hombres	Viudos/as	338
44	Teruel	85 a 90	Hombres	Separados/as	2
44	Teruel	85 a 90	Mujeres	Solteros/as	103
44	Teruel	85 a 90	Mujeres	Casados/as	282
44	Teruel	85 a 90	Mujeres	Viudos/as	1239
44	Teruel	90 ó más	Hombres	Solteros/as	21
44	Teruel	90 ó más	Hombres	Casados/as	161
44	Teruel	90 ó más	Hombres	Viudos/as	268
44	Teruel	90 ó más	Mujeres	Solteros/as	50
44	Teruel	90 ó más	Mujeres	Casados/as	57
44	Teruel	90 ó más	Mujeres	Viudos/as	747
50	Zaragoza	16 a 19	Hombres	Solteros/as	19201
50	Zaragoza	16 a 19	Hombres	Casados/as	60
50	Zaragoza	16 a 19	Hombres	Separados/as	2
50	Zaragoza	16 a 19	Mujeres	Solteros/as	17830
50	Zaragoza	16 a 19	Mujeres	Casados/as	152
50	Zaragoza	16 a 19	Mujeres	Viudos/as	2
50	Zaragoza	16 a 19	Mujeres	Separados/as	6
50	Zaragoza	16 a 19	Mujeres	Divorciados/as	2
50	Zaragoza	20 a 24	Hombres	Solteros/as	30457
50	Zaragoza	20 a 24	Hombres	Casados/as	703
50	Zaragoza	20 a 24	Hombres	Viudos/as	3
50	Zaragoza	20 a 24	Hombres	Separados/as	17
50	Zaragoza	20 a 24	Hombres	Divorciados/as	3
50	Zaragoza	20 a 24	Mujeres	Solteros/as	27967
50	Zaragoza	20 a 24	Mujeres	Casados/as	2076
50	Zaragoza	20 a 24	Mujeres	Viudos/as	10
50	Zaragoza	20 a 24	Mujeres	Separados/as	116
50	Zaragoza	20 a 24	Mujeres	Divorciados/as	15
50	Zaragoza	25 a 29	Hombres	Solteros/as	29275
50	Zaragoza	25 a 29	Hombres	Casados/as	7235
50	Zaragoza	25 a 29	Hombres	Viudos/as	8
50	Zaragoza	25 a 29	Hombres	Separados/as	211
50	Zaragoza	25 a 29	Hombres	Divorciados/as	70
50	Zaragoza	25 a 29	Mujeres	Solteros/as	21697
50	Zaragoza	25 a 29	Mujeres	Casados/as	11692
50	Zaragoza	25 a 29	Mujeres	Viudos/as	45
50	Zaragoza	25 a 29	Mujeres	Separados/as	434
50	Zaragoza	25 a 29	Mujeres	Divorciados/as	187
50	Zaragoza	30 a 34	Hombres	Solteros/as	16212
50	Zaragoza	30 a 34	Hombres	Casados/as	18000
50	Zaragoza	30 a 34	Hombres	Viudos/as	33
50	Zaragoza	30 a 34	Hombres	Separados/as	500
50	Zaragoza	30 a 34	Hombres	Divorciados/as	259
50	Zaragoza	30 a 34	Mujeres	Solteros/as	10011
50	Zaragoza	30 a 34	Mujeres	Casados/as	21377
50	Zaragoza	30 a 34	Mujeres	Viudos/as	145
50	Zaragoza	30 a 34	Mujeres	Separados/as	887
50	Zaragoza	30 a 34	Mujeres	Divorciados/as	496
50	Zaragoza	35 a 39	Hombres	Solteros/as	9157
50	Zaragoza	35 a 39	Hombres	Casados/as	23850
50	Zaragoza	35 a 39	Hombres	Viudos/as	98
50	Zaragoza	35 a 39	Hombres	Separados/as	848
50	Zaragoza	35 a 39	Hombres	Divorciados/as	509
50	Zaragoza	35 a 39	Mujeres	Solteros/as	5686
50	Zaragoza	35 a 39	Mujeres	Casados/as	24978
50	Zaragoza	35 a 39	Mujeres	Viudos/as	327
50	Zaragoza	35 a 39	Mujeres	Separados/as	1169
50	Zaragoza	35 a 39	Mujeres	Divorciados/as	804
50	Zaragoza	40 a 44	Hombres	Solteros/as	5652
50	Zaragoza	40 a 44	Hombres	Casados/as	24709
50	Zaragoza	40 a 44	Hombres	Viudos/as	154
50	Zaragoza	40 a 44	Hombres	Separados/as	887
50	Zaragoza	40 a 44	Hombres	Divorciados/as	594
50	Zaragoza	40 a 44	Mujeres	Solteros/as	3924
50	Zaragoza	40 a 44	Mujeres	Casados/as	25127
50	Zaragoza	40 a 44	Mujeres	Viudos/as	589
50	Zaragoza	40 a 44	Mujeres	Separados/as	1250
50	Zaragoza	40 a 44	Mujeres	Divorciados/as	1018
50	Zaragoza	45 a 49	Hombres	Solteros/as	3842
50	Zaragoza	45 a 49	Hombres	Casados/as	22854
50	Zaragoza	45 a 49	Hombres	Viudos/as	186
50	Zaragoza	45 a 49	Hombres	Separados/as	798
50	Zaragoza	45 a 49	Hombres	Divorciados/as	583
50	Zaragoza	45 a 49	Mujeres	Solteros/as	2918
50	Zaragoza	45 a 49	Mujeres	Casados/as	22723
50	Zaragoza	45 a 49	Mujeres	Viudos/as	901
50	Zaragoza	45 a 49	Mujeres	Separados/as	1073
50	Zaragoza	45 a 49	Mujeres	Divorciados/as	975
50	Zaragoza	50 a 54	Hombres	Solteros/as	3185
50	Zaragoza	50 a 54	Hombres	Casados/as	22051
50	Zaragoza	50 a 54	Hombres	Viudos/as	300
50	Zaragoza	50 a 54	Hombres	Separados/as	719
50	Zaragoza	50 a 54	Hombres	Divorciados/as	499
50	Zaragoza	50 a 54	Mujeres	Solteros/as	2493
50	Zaragoza	50 a 54	Mujeres	Casados/as	21828
50	Zaragoza	50 a 54	Mujeres	Viudos/as	1581
50	Zaragoza	50 a 54	Mujeres	Separados/as	803
50	Zaragoza	50 a 54	Mujeres	Divorciados/as	805
50	Zaragoza	55 a 59	Hombres	Solteros/as	2716
50	Zaragoza	55 a 59	Hombres	Casados/as	20807
50	Zaragoza	55 a 59	Hombres	Viudos/as	457
50	Zaragoza	55 a 59	Hombres	Separados/as	472
50	Zaragoza	55 a 59	Hombres	Divorciados/as	344
50	Zaragoza	55 a 59	Mujeres	Solteros/as	2030
50	Zaragoza	55 a 59	Mujeres	Casados/as	19983
50	Zaragoza	55 a 59	Mujeres	Viudos/as	2254
50	Zaragoza	55 a 59	Mujeres	Separados/as	602
50	Zaragoza	55 a 59	Mujeres	Divorciados/as	493
50	Zaragoza	60 a 64	Hombres	Solteros/as	2084
50	Zaragoza	60 a 64	Hombres	Casados/as	16444
50	Zaragoza	60 a 64	Hombres	Viudos/as	622
50	Zaragoza	60 a 64	Hombres	Separados/as	304
50	Zaragoza	60 a 64	Hombres	Divorciados/as	196
50	Zaragoza	60 a 64	Mujeres	Solteros/as	1509
50	Zaragoza	60 a 64	Mujeres	Casados/as	15534
50	Zaragoza	60 a 64	Mujeres	Viudos/as	3175
50	Zaragoza	60 a 64	Mujeres	Separados/as	343
50	Zaragoza	60 a 64	Mujeres	Divorciados/as	241
50	Zaragoza	65 a 69	Hombres	Solteros/as	2398
50	Zaragoza	65 a 69	Hombres	Casados/as	18562
50	Zaragoza	65 a 69	Hombres	Viudos/as	1223
50	Zaragoza	65 a 69	Hombres	Separados/as	250
50	Zaragoza	65 a 69	Hombres	Divorciados/as	120
50	Zaragoza	65 a 69	Mujeres	Solteros/as	1926
50	Zaragoza	65 a 69	Mujeres	Casados/as	17445
50	Zaragoza	65 a 69	Mujeres	Viudos/as	5711
50	Zaragoza	65 a 69	Mujeres	Separados/as	296
50	Zaragoza	65 a 69	Mujeres	Divorciados/as	196
50	Zaragoza	70 a 74	Hombres	Solteros/as	1864
50	Zaragoza	70 a 74	Hombres	Casados/as	16198
50	Zaragoza	70 a 74	Hombres	Viudos/as	1706
50	Zaragoza	70 a 74	Hombres	Separados/as	168
50	Zaragoza	70 a 74	Hombres	Divorciados/as	75
50	Zaragoza	70 a 74	Mujeres	Solteros/as	1986
50	Zaragoza	70 a 74	Mujeres	Casados/as	14001
50	Zaragoza	70 a 74	Mujeres	Viudos/as	8083
50	Zaragoza	70 a 74	Mujeres	Separados/as	151
50	Zaragoza	70 a 74	Mujeres	Divorciados/as	93
50	Zaragoza	75 a 79	Hombres	Solteros/as	1062
50	Zaragoza	75 a 79	Hombres	Casados/as	11694
50	Zaragoza	75 a 79	Hombres	Viudos/as	2182
50	Zaragoza	75 a 79	Hombres	Separados/as	75
50	Zaragoza	75 a 79	Hombres	Divorciados/as	39
50	Zaragoza	75 a 79	Mujeres	Solteros/as	1829
50	Zaragoza	75 a 79	Mujeres	Casados/as	8945
50	Zaragoza	75 a 79	Mujeres	Viudos/as	9672
50	Zaragoza	75 a 79	Mujeres	Separados/as	99
50	Zaragoza	75 a 79	Mujeres	Divorciados/as	38
50	Zaragoza	80 a 84	Hombres	Solteros/as	494
50	Zaragoza	80 a 84	Hombres	Casados/as	5934
50	Zaragoza	80 a 84	Hombres	Viudos/as	1834
50	Zaragoza	80 a 84	Hombres	Separados/as	42
50	Zaragoza	80 a 84	Hombres	Divorciados/as	8
50	Zaragoza	80 a 84	Mujeres	Solteros/as	1293
50	Zaragoza	80 a 84	Mujeres	Casados/as	3728
50	Zaragoza	80 a 84	Mujeres	Viudos/as	8753
50	Zaragoza	80 a 84	Mujeres	Separados/as	33
50	Zaragoza	80 a 84	Mujeres	Divorciados/as	16
50	Zaragoza	85 a 90	Hombres	Solteros/as	172
50	Zaragoza	85 a 90	Hombres	Casados/as	2228
50	Zaragoza	85 a 90	Hombres	Viudos/as	1333
50	Zaragoza	85 a 90	Hombres	Separados/as	9
50	Zaragoza	85 a 90	Hombres	Divorciados/as	6
50	Zaragoza	85 a 90	Mujeres	Solteros/as	689
50	Zaragoza	85 a 90	Mujeres	Casados/as	990
50	Zaragoza	85 a 90	Mujeres	Viudos/as	5682
50	Zaragoza	85 a 90	Mujeres	Separados/as	11
50	Zaragoza	85 a 90	Mujeres	Divorciados/as	5
50	Zaragoza	90 ó más	Hombres	Solteros/as	63
50	Zaragoza	90 ó más	Hombres	Casados/as	567
50	Zaragoza	90 ó más	Hombres	Viudos/as	753
50	Zaragoza	90 ó más	Hombres	Separados/as	3
50	Zaragoza	90 ó más	Hombres	Divorciados/as	4
50	Zaragoza	90 ó más	Mujeres	Solteros/as	290
50	Zaragoza	90 ó más	Mujeres	Casados/as	182
50	Zaragoza	90 ó más	Mujeres	Viudos/as	3063
50	Zaragoza	90 ó más	Mujeres	Separados/as	4
50	Zaragoza	90 ó más	Mujeres	Divorciados/as	2
