Mes y año	Provincia código	Provincia nombre	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados	Sector código	Sector descripción
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	5	1	Agricultura, ganadería y pesca
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	10	2	Industria y energía
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	71	4	Servicios
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	12		Sin empleo anterior
Julio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	32	1	Agricultura, ganadería y pesca
Julio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	25	2	Industria y energía
Julio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4	3	Construcción
Julio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	398	4	Servicios
Julio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	220		Sin empleo anterior
Julio 2020	22	Huesca	No consta	No consta	No consta	No consta	Mujeres	2	4	Servicios
Julio 2020	22	Huesca	No consta	No consta	No consta	No consta	Mujeres	1		Sin empleo anterior
Julio 2020	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Hombres	151	1	Agricultura, ganadería y pesca
Julio 2020	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Hombres	466	2	Industria y energía
Julio 2020	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Hombres	312	3	Construcción
Julio 2020	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Hombres	1149	4	Servicios
Julio 2020	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Hombres	132		Sin empleo anterior
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	31	1	Agricultura, ganadería y pesca
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	29	2	Industria y energía
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	45	3	Construcción
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	56	4	Servicios
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3		Sin empleo anterior
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3	1	Agricultura, ganadería y pesca
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4	2	Industria y energía
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	7	3	Construcción
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	14	4	Servicios
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2		Sin empleo anterior
Julio 2020	44	Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	94	1	Agricultura, ganadería y pesca
Julio 2020	44	Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	42	2	Industria y energía
Julio 2020	44	Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	60	3	Construcción
Julio 2020	44	Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	99	4	Servicios
Julio 2020	44	Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	27		Sin empleo anterior
Julio 2020	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	90	1	Agricultura, ganadería y pesca
Julio 2020	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	287	2	Industria y energía
Julio 2020	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	60	3	Construcción
Julio 2020	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	2271	4	Servicios
Julio 2020	44	Teruel	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	161		Sin empleo anterior
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	17	1	Agricultura, ganadería y pesca
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	19	2	Industria y energía
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	5	3	Construcción
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	193	4	Servicios
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	18		Sin empleo anterior
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3	1	Agricultura, ganadería y pesca
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4	2	Industria y energía
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	2	3	Construcción
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	33	4	Servicios
Julio 2020	44	Teruel	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	2		Sin empleo anterior
Julio 2020	44	Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	29	1	Agricultura, ganadería y pesca
Julio 2020	44	Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	19	2	Industria y energía
Julio 2020	44	Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	3	3	Construcción
Julio 2020	44	Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	252	4	Servicios
Julio 2020	44	Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	180		Sin empleo anterior
Julio 2020	44	Teruel	No consta	No consta	No consta	No consta	Mujeres	1		Sin empleo anterior
Julio 2020	50	Zaragoza	Españoles	ESPAÑA	Españoles	Españoles	Hombres	913	1	Agricultura, ganadería y pesca
Julio 2020	50	Zaragoza	Españoles	ESPAÑA	Españoles	Españoles	Hombres	3401	2	Industria y energía
Julio 2020	50	Zaragoza	Españoles	ESPAÑA	Españoles	Españoles	Hombres	2085	3	Construcción
Julio 2020	50	Zaragoza	Españoles	ESPAÑA	Españoles	Españoles	Hombres	11922	4	Servicios
Julio 2020	50	Zaragoza	Españoles	ESPAÑA	Españoles	Españoles	Hombres	1367		Sin empleo anterior
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	357	1	Agricultura, ganadería y pesca
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	202	2	Industria y energía
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	530	3	Construcción
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	644	4	Servicios
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	87		Sin empleo anterior
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1	2	Industria y energía
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	27	1	Agricultura, ganadería y pesca
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	43	2	Industria y energía
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	36	3	Construcción
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	181	4	Servicios
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	35		Sin empleo anterior
Julio 2020	50	Zaragoza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	584	1	Agricultura, ganadería y pesca
Julio 2020	50	Zaragoza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	224	2	Industria y energía
Julio 2020	50	Zaragoza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	357	3	Construcción
Julio 2020	50	Zaragoza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	1402	4	Servicios
Julio 2020	50	Zaragoza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	275		Sin empleo anterior
Julio 2020	50	Zaragoza	No consta	No consta	No consta	No consta	Hombres	2	1	Agricultura, ganadería y pesca
Julio 2020	50	Zaragoza	No consta	No consta	No consta	No consta	Hombres	2	4	Servicios
Julio 2020	50	Zaragoza	No consta	No consta	No consta	No consta	Hombres	1		Sin empleo anterior
Julio 2020	50	Zaragoza	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	552	1	Agricultura, ganadería y pesca
Julio 2020	50	Zaragoza	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	2743	2	Industria y energía
Julio 2020	50	Zaragoza	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	447	3	Construcción
Julio 2020	50	Zaragoza	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	22007	4	Servicios
Julio 2020	50	Zaragoza	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	2045		Sin empleo anterior
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	279	1	Agricultura, ganadería y pesca
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	214	2	Industria y energía
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	32	3	Construcción
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	1898	4	Servicios
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	211		Sin empleo anterior
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1	4	Servicios
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	29	1	Agricultura, ganadería y pesca
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	29	2	Industria y energía
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	9	3	Construcción
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	254	4	Servicios
Julio 2020	50	Zaragoza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	34		Sin empleo anterior
Julio 2020	50	Zaragoza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	164	1	Agricultura, ganadería y pesca
Julio 2020	50	Zaragoza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	188	2	Industria y energía
Julio 2020	50	Zaragoza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	21	3	Construcción
Julio 2020	50	Zaragoza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	2709	4	Servicios
Julio 2020	50	Zaragoza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	1172		Sin empleo anterior
Junio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	244	1	Agricultura, ganadería y pesca
Junio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	465	2	Industria y energía
Junio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	492	3	Construcción
Junio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	1964	4	Servicios
Junio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	191		Sin empleo anterior
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	79	1	Agricultura, ganadería y pesca
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	28	2	Industria y energía
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	47	3	Construcción
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	113	4	Servicios
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4		Sin empleo anterior
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1	4	Servicios
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2	1	Agricultura, ganadería y pesca
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	13	2	Industria y energía
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	14	3	Construcción
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	49	4	Servicios
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3		Sin empleo anterior
Junio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	115	1	Agricultura, ganadería y pesca
Junio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	59	2	Industria y energía
Junio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	81	3	Construcción
Junio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	156	4	Servicios
Junio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	71		Sin empleo anterior
Junio 2020	22	Huesca	No consta	No consta	No consta	No consta	Hombres	1	1	Agricultura, ganadería y pesca
Junio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	112	1	Agricultura, ganadería y pesca
Junio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	253	2	Industria y energía
Junio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	80	3	Construcción
Junio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	3778	4	Servicios
Junio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	261		Sin empleo anterior
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	60	1	Agricultura, ganadería y pesca
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	26	2	Industria y energía
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3	3	Construcción
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	333	4	Servicios
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	21		Sin empleo anterior
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1	4	Servicios
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	5	1	Agricultura, ganadería y pesca
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	9	2	Industria y energía
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	74	4	Servicios
Junio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	10		Sin empleo anterior
Junio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	31	1	Agricultura, ganadería y pesca
