Mes y año	Comarca código	Comarca nombre	Sexo	Nº parados
Febrero 2020	16	Valdejalón	Hombres	741
Febrero 2020	16	Valdejalón	Mujeres	1003
Febrero 2020	17	Central	Hombres	16898
Febrero 2020	17	Central	Mujeres	25626
Febrero 2020	18	Ribera Baja del Ebro	Hombres	138
Febrero 2020	18	Ribera Baja del Ebro	Mujeres	243
Febrero 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	300
Febrero 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	525
Febrero 2020	20	Comunidad de Calatayud	Hombres	883
Febrero 2020	20	Comunidad de Calatayud	Mujeres	1156
Febrero 2020	21	Campo de Cariñena	Hombres	154
Febrero 2020	21	Campo de Cariñena	Mujeres	219
Febrero 2020	22	Campo de Belchite	Hombres	64
Febrero 2020	22	Campo de Belchite	Mujeres	79
Febrero 2020	23	Bajo Martín	Hombres	127
Febrero 2020	23	Bajo Martín	Mujeres	146
Febrero 2020	24	Campo de Daroca	Hombres	67
Febrero 2020	24	Campo de Daroca	Mujeres	85
Febrero 2020	25	Jiloca	Hombres	165
Febrero 2020	25	Jiloca	Mujeres	213
Febrero 2020	26	Cuencas Mineras	Hombres	143
Febrero 2020	26	Cuencas Mineras	Mujeres	211
Febrero 2020	27	Andorra-Sierra de Arcos	Hombres	215
Febrero 2020	27	Andorra-Sierra de Arcos	Mujeres	261
Febrero 2020	28	Bajo Aragón	Hombres	497
Febrero 2020	28	Bajo Aragón	Mujeres	813
Febrero 2020	29	Comunidad de Teruel	Hombres	805
Febrero 2020	29	Comunidad de Teruel	Mujeres	1147
Febrero 2020	30	Maestrazgo	Hombres	58
Febrero 2020	30	Maestrazgo	Mujeres	52
Febrero 2020	31	Sierra de Albarracín	Hombres	63
Febrero 2020	31	Sierra de Albarracín	Mujeres	62
Febrero 2020	32	Gúdar-Javalambre	Hombres	131
Febrero 2020	32	Gúdar-Javalambre	Mujeres	185
Febrero 2020	33	Matarraña / Matarranya	Hombres	127
Febrero 2020	33	Matarraña / Matarranya	Mujeres	169
Enero 2020	01	La Jacetania	Hombres	281
Enero 2020	01	La Jacetania	Mujeres	369
Enero 2020	02	Alto Gállego	Hombres	226
Enero 2020	02	Alto Gállego	Mujeres	267
Enero 2020	03	Sobrarbe	Hombres	131
Enero 2020	03	Sobrarbe	Mujeres	116
Enero 2020	04	La Ribagorza	Hombres	130
Enero 2020	04	La Ribagorza	Mujeres	192
Enero 2020	05	Cinco Villas	Hombres	550
Enero 2020	05	Cinco Villas	Mujeres	889
Enero 2020	06	Hoya de Huesca / Plana de Uesca	Hombres	1285
Enero 2020	06	Hoya de Huesca / Plana de Uesca	Mujeres	1795
Enero 2020	07	Somontano de Barbastro	Hombres	417
Enero 2020	07	Somontano de Barbastro	Mujeres	668
Enero 2020	08	Cinca Medio	Hombres	382
Enero 2020	08	Cinca Medio	Mujeres	640
Enero 2020	09	La Litera / La Llitera	Hombres	275
Enero 2020	09	La Litera / La Llitera	Mujeres	347
Enero 2020	10	Los Monegros	Hombres	225
Enero 2020	10	Los Monegros	Mujeres	291
Enero 2020	11	Bajo Cinca / Baix Cinca	Hombres	380
Enero 2020	11	Bajo Cinca / Baix Cinca	Mujeres	568
Enero 2020	12	Tarazona y el Moncayo	Hombres	249
Enero 2020	12	Tarazona y el Moncayo	Mujeres	422
Enero 2020	13	Campo de Borja	Hombres	283
Enero 2020	13	Campo de Borja	Mujeres	348
Enero 2020	14	Aranda	Hombres	120
Enero 2020	14	Aranda	Mujeres	232
Enero 2020	15	Ribera Alta del Ebro	Hombres	504
Enero 2020	15	Ribera Alta del Ebro	Mujeres	827
Enero 2020	16	Valdejalón	Hombres	752
Enero 2020	16	Valdejalón	Mujeres	995
Enero 2020	17	Central	Hombres	17054
Enero 2020	17	Central	Mujeres	25595
Enero 2020	18	Ribera Baja del Ebro	Hombres	134
Enero 2020	18	Ribera Baja del Ebro	Mujeres	246
Enero 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	333
Enero 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	549
Enero 2020	20	Comunidad de Calatayud	Hombres	866
Enero 2020	20	Comunidad de Calatayud	Mujeres	1145
Enero 2020	21	Campo de Cariñena	Hombres	159
Enero 2020	21	Campo de Cariñena	Mujeres	213
Enero 2020	22	Campo de Belchite	Hombres	63
Enero 2020	22	Campo de Belchite	Mujeres	80
Enero 2020	23	Bajo Martín	Hombres	142
Enero 2020	23	Bajo Martín	Mujeres	155
Enero 2020	24	Campo de Daroca	Hombres	69
Enero 2020	24	Campo de Daroca	Mujeres	83
Enero 2020	25	Jiloca	Hombres	161
Enero 2020	25	Jiloca	Mujeres	214
Enero 2020	26	Cuencas Mineras	Hombres	148
Enero 2020	26	Cuencas Mineras	Mujeres	206
Enero 2020	27	Andorra-Sierra de Arcos	Hombres	232
Enero 2020	27	Andorra-Sierra de Arcos	Mujeres	280
Enero 2020	28	Bajo Aragón	Hombres	554
Enero 2020	28	Bajo Aragón	Mujeres	838
Enero 2020	29	Comunidad de Teruel	Hombres	863
Enero 2020	29	Comunidad de Teruel	Mujeres	1226
Enero 2020	30	Maestrazgo	Hombres	56
Enero 2020	30	Maestrazgo	Mujeres	48
Enero 2020	31	Sierra de Albarracín	Hombres	68
Enero 2020	31	Sierra de Albarracín	Mujeres	68
Enero 2020	32	Gúdar-Javalambre	Hombres	132
Enero 2020	32	Gúdar-Javalambre	Mujeres	190
Enero 2020	33	Matarraña / Matarranya	Hombres	133
Enero 2020	33	Matarraña / Matarranya	Mujeres	176
Diciembre 2019	01	La Jacetania	Hombres	248
Diciembre 2019	01	La Jacetania	Mujeres	334
Diciembre 2019	02	Alto Gállego	Hombres	199
Diciembre 2019	02	Alto Gállego	Mujeres	249
Diciembre 2019	03	Sobrarbe	Hombres	118
Diciembre 2019	03	Sobrarbe	Mujeres	99
Diciembre 2019	04	La Ribagorza	Hombres	129
Diciembre 2019	04	La Ribagorza	Mujeres	173
Diciembre 2019	05	Cinco Villas	Hombres	508
Diciembre 2019	05	Cinco Villas	Mujeres	850
Diciembre 2019	06	Hoya de Huesca / Plana de Uesca	Hombres	1226
Diciembre 2019	06	Hoya de Huesca / Plana de Uesca	Mujeres	1648
Diciembre 2019	07	Somontano de Barbastro	Hombres	394
Diciembre 2019	07	Somontano de Barbastro	Mujeres	610
Diciembre 2019	08	Cinca Medio	Hombres	405
Diciembre 2019	08	Cinca Medio	Mujeres	606
Diciembre 2019	09	La Litera / La Llitera	Hombres	257
Diciembre 2019	09	La Litera / La Llitera	Mujeres	331
Diciembre 2019	10	Los Monegros	Hombres	211
Diciembre 2019	10	Los Monegros	Mujeres	282
Diciembre 2019	11	Bajo Cinca / Baix Cinca	Hombres	366
Diciembre 2019	11	Bajo Cinca / Baix Cinca	Mujeres	553
Diciembre 2019	12	Tarazona y el Moncayo	Hombres	265
Diciembre 2019	12	Tarazona y el Moncayo	Mujeres	434
Diciembre 2019	13	Campo de Borja	Hombres	265
Diciembre 2019	13	Campo de Borja	Mujeres	336
Diciembre 2019	14	Aranda	Hombres	133
Diciembre 2019	14	Aranda	Mujeres	234
Diciembre 2019	15	Ribera Alta del Ebro	Hombres	499
Diciembre 2019	15	Ribera Alta del Ebro	Mujeres	803
Diciembre 2019	16	Valdejalón	Hombres	757
Diciembre 2019	16	Valdejalón	Mujeres	1003
Diciembre 2019	17	Central	Hombres	16741
Diciembre 2019	17	Central	Mujeres	24186
Diciembre 2019	18	Ribera Baja del Ebro	Hombres	143
Diciembre 2019	18	Ribera Baja del Ebro	Mujeres	232
Diciembre 2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	301
Diciembre 2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	540
Diciembre 2019	20	Comunidad de Calatayud	Hombres	856
Diciembre 2019	20	Comunidad de Calatayud	Mujeres	1060
Diciembre 2019	21	Campo de Cariñena	Hombres	149
Diciembre 2019	21	Campo de Cariñena	Mujeres	205
Diciembre 2019	22	Campo de Belchite	Hombres	67
Diciembre 2019	22	Campo de Belchite	Mujeres	74
Diciembre 2019	23	Bajo Martín	Hombres	131
Diciembre 2019	23	Bajo Martín	Mujeres	154
Diciembre 2019	24	Campo de Daroca	Hombres	61
Diciembre 2019	24	Campo de Daroca	Mujeres	76
Diciembre 2019	25	Jiloca	Hombres	157
Diciembre 2019	25	Jiloca	Mujeres	214
Diciembre 2019	26	Cuencas Mineras	Hombres	150
Diciembre 2019	26	Cuencas Mineras	Mujeres	197
Diciembre 2019	27	Andorra-Sierra de Arcos	Hombres	239
Diciembre 2019	27	Andorra-Sierra de Arcos	Mujeres	272
Diciembre 2019	28	Bajo Aragón	Hombres	514
Diciembre 2019	28	Bajo Aragón	Mujeres	795
Diciembre 2019	29	Comunidad de Teruel	Hombres	870
Diciembre 2019	29	Comunidad de Teruel	Mujeres	1138
Diciembre 2019	30	Maestrazgo	Hombres	51
Diciembre 2019	30	Maestrazgo	Mujeres	45
Diciembre 2019	31	Sierra de Albarracín	Hombres	66
Diciembre 2019	31	Sierra de Albarracín	Mujeres	58
Diciembre 2019	32	Gúdar-Javalambre	Hombres	119
Diciembre 2019	32	Gúdar-Javalambre	Mujeres	189
Diciembre 2019	33	Matarraña / Matarranya	Hombres	127
Diciembre 2019	33	Matarraña / Matarranya	Mujeres	154
Noviembre 2019	01	La Jacetania	Hombres	280
Noviembre 2019	01	La Jacetania	Mujeres	397
Noviembre 2019	02	Alto Gállego	Hombres	242
Noviembre 2019	02	Alto Gállego	Mujeres	303
Noviembre 2019	03	Sobrarbe	Hombres	108
Noviembre 2019	03	Sobrarbe	Mujeres	97
Noviembre 2019	04	La Ribagorza	Hombres	151
Noviembre 2019	04	La Ribagorza	Mujeres	191
Noviembre 2019	05	Cinco Villas	Hombres	501
Noviembre 2019	05	Cinco Villas	Mujeres	856
Noviembre 2019	06	Hoya de Huesca / Plana de Uesca	Hombres	1215
Noviembre 2019	06	Hoya de Huesca / Plana de Uesca	Mujeres	1738
Noviembre 2019	07	Somontano de Barbastro	Hombres	402
Noviembre 2019	07	Somontano de Barbastro	Mujeres	633
Noviembre 2019	08	Cinca Medio	Hombres	404
Noviembre 2019	08	Cinca Medio	Mujeres	643
Noviembre 2019	09	La Litera / La Llitera	Hombres	244
Noviembre 2019	09	La Litera / La Llitera	Mujeres	321
Noviembre 2019	10	Los Monegros	Hombres	201
Noviembre 2019	10	Los Monegros	Mujeres	281
Noviembre 2019	11	Bajo Cinca / Baix Cinca	Hombres	376
Noviembre 2019	11	Bajo Cinca / Baix Cinca	Mujeres	569
Noviembre 2019	12	Tarazona y el Moncayo	Hombres	258
Noviembre 2019	12	Tarazona y el Moncayo	Mujeres	402
Noviembre 2019	13	Campo de Borja	Hombres	256
Noviembre 2019	13	Campo de Borja	Mujeres	348
Noviembre 2019	14	Aranda	Hombres	127
Noviembre 2019	14	Aranda	Mujeres	236
Noviembre 2019	15	Ribera Alta del Ebro	Hombres	474
Noviembre 2019	15	Ribera Alta del Ebro	Mujeres	814
Noviembre 2019	16	Valdejalón	Hombres	744
Noviembre 2019	16	Valdejalón	Mujeres	1005
Noviembre 2019	17	Central	Hombres	16300
Noviembre 2019	17	Central	Mujeres	24644
Noviembre 2019	18	Ribera Baja del Ebro	Hombres	138
Noviembre 2019	18	Ribera Baja del Ebro	Mujeres	240
Noviembre 2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	316
Noviembre 2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	547
Noviembre 2019	20	Comunidad de Calatayud	Hombres	795
