Aragón	Contaminación	Delincuencia zona	Falta de servicios de aseo	Malas comunicaciones	Pocas zonas verdes	Poca limpieza	Ruidos exteriores	Número viviendas
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	15
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	22
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	8
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	1941
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	535
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	426
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	268
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	1296
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	832
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	898
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	841
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	3649
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	1047
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	1912
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	675
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	3708
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	1387
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	3352
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	1941
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	22
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	15
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	15
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	11
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	13
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	8
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	10
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	14
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	48
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	32
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	53
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	30
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	33
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	36
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	57
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	42
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	1719
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	1085
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	1103
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	1161
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	1179
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	1066
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	2028
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	2744
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	3825
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	2247
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	5345
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	3281
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	4277
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	2979
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	10944
Aragón	Con contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	9522
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	11
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	21
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	3
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	8
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	4
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	17
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	6
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	14
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	19
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	55
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	15
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	39
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	18
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	33
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	24
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	70
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	568
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	1146
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	326
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	946
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	687
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	1542
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	772
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	2080
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	2509
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	3525
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	2444
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	4532
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	2945
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	5138
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	4658
Aragón	Sin contaminación o malos olores	Con delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	11041
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	16
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	60
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	13
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	92
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	14
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	46
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	19
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	128
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	47
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	207
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	54
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	363
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	45
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	125
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	98
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	649
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	1141
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	4235
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	1092
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	5979
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	932
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	3839
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	2299
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	13917
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	4191
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	13842
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	8671
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	39784
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	5156
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	16924
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	23047
Aragón	Sin contaminación o malos olores	Sin delincuencia o vandalismo en la zona	Sin falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	170922
