Año	Provincia código	Provincia nombre	Total	VC Residencial	VC Almacén, estacionamiento	VC Comercial	VC Ocio, hostelería	VC Industrial	VC Cultural	VC Deportivo	VC Oficinas	VC Edificios singulares	VC Religioso	VC Espectáculos	VC Sin definir	VC Suelo vacante	VC Sanidad, benefic
2016	50	Zaragoza	54359502,22	33557078,75	2466209,15	4286673,9	515200,68	4411756,51	1665495,58	947021,99	1845173,1	484762,14	250304,03	99194,47	20802423,47	2849626,15	981005,77
2017	22	Huesca	10107523,92	6478322,06	515599,69	383518,36	343603,09	859781,83	191940,66	196910,35	121254,66	121288,7	92236,77	10750,6	3629201,86	651955,4	140354,64
2017	44	Teruel	5484460,45	3556989,12	237468,27	153236,26	93817,96	615787,65	150883,59	102941,79	67798,16	58612,05	42777,27	7257,87	1927471,33	300685,28	96197,56
2017	50	Zaragoza	54922929,58	33789895,04	2537249,63	4214495,94	562351,91	4449515,14	1739960,35	1015006,58	1896913,37	522795,25	282177,06	118131,34	21133034,54	2761886,6	1032541,3
2018	22	Huesca	10330721,15	6616720,36	523343,27	399242,39	352151,07	893879,78	193169,87	205993,46	126468,31	124819,05	94040,52	10999,47	3714000,79	647138,89	142747,46
2018	44	Teruel	5924530,18	3805376,34	248077,16	176273,15	109260,79	677573,9	169282,75	112694,59	71621,41	72692,68	46228,01	7924,37	2119153,84	309749,45	117768,1
2018	50	Zaragoza	55591871,39	34093529,68	2521560,78	4265015,08	626510,26	4583633,04	1836949,6	1141174,8	1931142,83	548803,95	287361,68	118987,63	21498341,71	2584715,05	1052476,81
2019	22	Huesca	10521520,42	6708487,47	527524,41	416009,24	365033,62	936901,62	201201,63	216619,49	129550,66	127361,57	95700,52	12597,75	3813032,95	632026,21	152499
2019	44	Teruel	6099206,36	3921138,98	255809,68	180002,18	117377,97	714382,07	173781,99	116440,58	70684,01	72787,75	46844,26	7930,67	2178067,38	301390,63	120628,18
2019	50	Zaragoza	52716550,78	32348185,66	2387036,55	3986778,87	588004,19	4388112,86	1746488,43	1098280,75	1792035,71	535826,1	272741,96	112477,64	20368365,12	2473954,45	986617,31
