Comarca código	Comarca nombre	Situación profesional código	Situación profesional	Sexo	Personas residentes viviendas familiares
07	Somontano de Barbastro	1	Empresario o profesional que emplea personal	Mujeres	196
07	Somontano de Barbastro	2	Empresario o profesional que no emplea personal	Hombres	1081
07	Somontano de Barbastro	2	Empresario o profesional que no emplea personal	Mujeres	349
07	Somontano de Barbastro	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	3111
07	Somontano de Barbastro	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	1748
07	Somontano de Barbastro	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	899
07	Somontano de Barbastro	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	923
07	Somontano de Barbastro	5	Otra situación (Ayuda familiar)	Hombres	17
07	Somontano de Barbastro	5	Otra situación (Ayuda familiar)	Mujeres	12
07	Somontano de Barbastro	6	Otra situación (Miembro de cooperativas)	Hombres	6
07	Somontano de Barbastro	6	Otra situación (Miembro de cooperativas)	Mujeres	23
08	Cinca Medio	1	Empresario o profesional que emplea personal	Hombres	524
08	Cinca Medio	1	Empresario o profesional que emplea personal	Mujeres	199
08	Cinca Medio	2	Empresario o profesional que no emplea personal	Hombres	1061
08	Cinca Medio	2	Empresario o profesional que no emplea personal	Mujeres	432
08	Cinca Medio	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	3036
08	Cinca Medio	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	1390
08	Cinca Medio	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	1277
08	Cinca Medio	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	874
08	Cinca Medio	5	Otra situación (Ayuda familiar)	Hombres	4
08	Cinca Medio	5	Otra situación (Ayuda familiar)	Mujeres	4
08	Cinca Medio	6	Otra situación (Miembro de cooperativas)	Hombres	18
08	Cinca Medio	6	Otra situación (Miembro de cooperativas)	Mujeres	51
09	La Litera / La Llitera	1	Empresario o profesional que emplea personal	Hombres	562
09	La Litera / La Llitera	1	Empresario o profesional que emplea personal	Mujeres	130
09	La Litera / La Llitera	2	Empresario o profesional que no emplea personal	Hombres	1379
09	La Litera / La Llitera	2	Empresario o profesional que no emplea personal	Mujeres	440
09	La Litera / La Llitera	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	2300
09	La Litera / La Llitera	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	1229
09	La Litera / La Llitera	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	736
09	La Litera / La Llitera	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	615
09	La Litera / La Llitera	5	Otra situación (Ayuda familiar)	Hombres	8
09	La Litera / La Llitera	5	Otra situación (Ayuda familiar)	Mujeres	21
09	La Litera / La Llitera	6	Otra situación (Miembro de cooperativas)	Hombres	5
09	La Litera / La Llitera	6	Otra situación (Miembro de cooperativas)	Mujeres	38
10	Los Monegros	1	Empresario o profesional que emplea personal	Hombres	536
10	Los Monegros	1	Empresario o profesional que emplea personal	Mujeres	129
10	Los Monegros	2	Empresario o profesional que no emplea personal	Hombres	1979
10	Los Monegros	2	Empresario o profesional que no emplea personal	Mujeres	415
10	Los Monegros	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	2271
10	Los Monegros	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	1062
10	Los Monegros	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	777
10	Los Monegros	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	646
10	Los Monegros	5	Otra situación (Ayuda familiar)	Hombres	8
10	Los Monegros	5	Otra situación (Ayuda familiar)	Mujeres	8
10	Los Monegros	6	Otra situación (Miembro de cooperativas)	Hombres	4
10	Los Monegros	6	Otra situación (Miembro de cooperativas)	Mujeres	7
11	Bajo Cinca / Baix Cinca	1	Empresario o profesional que emplea personal	Hombres	679
11	Bajo Cinca / Baix Cinca	1	Empresario o profesional que emplea personal	Mujeres	162
11	Bajo Cinca / Baix Cinca	2	Empresario o profesional que no emplea personal	Hombres	1757
11	Bajo Cinca / Baix Cinca	2	Empresario o profesional que no emplea personal	Mujeres	458
11	Bajo Cinca / Baix Cinca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	2501
11	Bajo Cinca / Baix Cinca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	1401
11	Bajo Cinca / Baix Cinca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	1104
11	Bajo Cinca / Baix Cinca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	895
11	Bajo Cinca / Baix Cinca	5	Otra situación (Ayuda familiar)	Hombres	4
11	Bajo Cinca / Baix Cinca	5	Otra situación (Ayuda familiar)	Mujeres	6
11	Bajo Cinca / Baix Cinca	6	Otra situación (Miembro de cooperativas)	Hombres	3
11	Bajo Cinca / Baix Cinca	6	Otra situación (Miembro de cooperativas)	Mujeres	6
12	Tarazona y el Moncayo	1	Empresario o profesional que emplea personal	Hombres	296
12	Tarazona y el Moncayo	1	Empresario o profesional que emplea personal	Mujeres	84
12	Tarazona y el Moncayo	2	Empresario o profesional que no emplea personal	Hombres	502
12	Tarazona y el Moncayo	2	Empresario o profesional que no emplea personal	Mujeres	201
12	Tarazona y el Moncayo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	1859
12	Tarazona y el Moncayo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	1084
12	Tarazona y el Moncayo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	679
12	Tarazona y el Moncayo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	637
12	Tarazona y el Moncayo	5	Otra situación (Ayuda familiar)	Hombres	3
12	Tarazona y el Moncayo	5	Otra situación (Ayuda familiar)	Mujeres	6
12	Tarazona y el Moncayo	6	Otra situación (Miembro de cooperativas)	Hombres	5
12	Tarazona y el Moncayo	6	Otra situación (Miembro de cooperativas)	Mujeres	8
13	Campo de Borja	1	Empresario o profesional que emplea personal	Hombres	264
13	Campo de Borja	1	Empresario o profesional que emplea personal	Mujeres	90
13	Campo de Borja	2	Empresario o profesional que no emplea personal	Hombres	940
13	Campo de Borja	2	Empresario o profesional que no emplea personal	Mujeres	239
13	Campo de Borja	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	2045
13	Campo de Borja	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	843
13	Campo de Borja	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	599
13	Campo de Borja	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	499
13	Campo de Borja	5	Otra situación (Ayuda familiar)	Hombres	16
13	Campo de Borja	5	Otra situación (Ayuda familiar)	Mujeres	5
13	Campo de Borja	6	Otra situación (Miembro de cooperativas)	Hombres	5
13	Campo de Borja	6	Otra situación (Miembro de cooperativas)	Mujeres	14
14	Aranda	1	Empresario o profesional que emplea personal	Hombres	286
14	Aranda	1	Empresario o profesional que emplea personal	Mujeres	41
14	Aranda	2	Empresario o profesional que no emplea personal	Hombres	385
14	Aranda	2	Empresario o profesional que no emplea personal	Mujeres	75
14	Aranda	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	510
14	Aranda	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	245
14	Aranda	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	1002
14	Aranda	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	646
14	Aranda	5	Otra situación (Ayuda familiar)	Hombres	2
14	Aranda	5	Otra situación (Ayuda familiar)	Mujeres	1
14	Aranda	6	Otra situación (Miembro de cooperativas)	Hombres	4
14	Aranda	6	Otra situación (Miembro de cooperativas)	Mujeres	2
15	Ribera Alta del Ebro	1	Empresario o profesional que emplea personal	Hombres	454
15	Ribera Alta del Ebro	1	Empresario o profesional que emplea personal	Mujeres	158
15	Ribera Alta del Ebro	2	Empresario o profesional que no emplea personal	Hombres	838
15	Ribera Alta del Ebro	2	Empresario o profesional que no emplea personal	Mujeres	360
15	Ribera Alta del Ebro	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	3743
15	Ribera Alta del Ebro	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	1699
15	Ribera Alta del Ebro	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	916
15	Ribera Alta del Ebro	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	884
15	Ribera Alta del Ebro	5	Otra situación (Ayuda familiar)	Hombres	4
15	Ribera Alta del Ebro	5	Otra situación (Ayuda familiar)	Mujeres	5
15	Ribera Alta del Ebro	6	Otra situación (Miembro de cooperativas)	Hombres	7
15	Ribera Alta del Ebro	6	Otra situación (Miembro de cooperativas)	Mujeres	12
16	Valdejalón	1	Empresario o profesional que emplea personal	Hombres	583
16	Valdejalón	1	Empresario o profesional que emplea personal	Mujeres	125
16	Valdejalón	2	Empresario o profesional que no emplea personal	Hombres	1126
16	Valdejalón	2	Empresario o profesional que no emplea personal	Mujeres	307
16	Valdejalón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	3112
16	Valdejalón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	1559
16	Valdejalón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	1438
16	Valdejalón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	805
16	Valdejalón	5	Otra situación (Ayuda familiar)	Hombres	12
16	Valdejalón	5	Otra situación (Ayuda familiar)	Mujeres	10
16	Valdejalón	6	Otra situación (Miembro de cooperativas)	Hombres	8
16	Valdejalón	6	Otra situación (Miembro de cooperativas)	Mujeres	26
17	D.C. Zaragoza	1	Empresario o profesional que emplea personal	Hombres	13216
17	D.C. Zaragoza	1	Empresario o profesional que emplea personal	Mujeres	4995
17	D.C. Zaragoza	2	Empresario o profesional que no emplea personal	Hombres	16928
17	D.C. Zaragoza	2	Empresario o profesional que no emplea personal	Mujeres	7826
17	D.C. Zaragoza	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	110026
17	D.C. Zaragoza	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	67950
17	D.C. Zaragoza	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	29246
17	D.C. Zaragoza	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	29596
17	D.C. Zaragoza	5	Otra situación (Ayuda familiar)	Hombres	181
17	D.C. Zaragoza	5	Otra situación (Ayuda familiar)	Mujeres	342
17	D.C. Zaragoza	6	Otra situación (Miembro de cooperativas)	Hombres	457
17	D.C. Zaragoza	6	Otra situación (Miembro de cooperativas)	Mujeres	195
18	Ribera Baja del Ebro	1	Empresario o profesional que emplea personal	Hombres	201
18	Ribera Baja del Ebro	1	Empresario o profesional que emplea personal	Mujeres	55
18	Ribera Baja del Ebro	2	Empresario o profesional que no emplea personal	Hombres	490
18	Ribera Baja del Ebro	2	Empresario o profesional que no emplea personal	Mujeres	257
18	Ribera Baja del Ebro	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	1347
18	Ribera Baja del Ebro	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	598
18	Ribera Baja del Ebro	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	379
18	Ribera Baja del Ebro	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	333
18	Ribera Baja del Ebro	5	Otra situación (Ayuda familiar)	Hombres	3
18	Ribera Baja del Ebro	5	Otra situación (Ayuda familiar)	Mujeres	5
18	Ribera Baja del Ebro	6	Otra situación (Miembro de cooperativas)	Hombres	5
18	Ribera Baja del Ebro	6	Otra situación (Miembro de cooperativas)	Mujeres	14
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Empresario o profesional que emplea personal	Hombres	382
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Empresario o profesional que emplea personal	Mujeres	121
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Empresario o profesional que no emplea personal	Hombres	1001
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Empresario o profesional que no emplea personal	Mujeres	307
19	Bajo Aragón-Caspe / Baix Aragó-Casp	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	1199
19	Bajo Aragón-Caspe / Baix Aragó-Casp	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	749
19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	718
19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	506
19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	Otra situación (Ayuda familiar)	Hombres	6
19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	Otra situación (Ayuda familiar)	Mujeres	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	6	Otra situación (Miembro de cooperativas)	Hombres	5
19	Bajo Aragón-Caspe / Baix Aragó-Casp	6	Otra situación (Miembro de cooperativas)	Mujeres	9
20	Comunidad de Calatayud	1	Empresario o profesional que emplea personal	Hombres	739
20	Comunidad de Calatayud	1	Empresario o profesional que emplea personal	Mujeres	214
20	Comunidad de Calatayud	2	Empresario o profesional que no emplea personal	Hombres	2001
20	Comunidad de Calatayud	2	Empresario o profesional que no emplea personal	Mujeres	596
20	Comunidad de Calatayud	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	4580
20	Comunidad de Calatayud	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	2612
20	Comunidad de Calatayud	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	1997
20	Comunidad de Calatayud	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	1686
20	Comunidad de Calatayud	5	Otra situación (Ayuda familiar)	Hombres	9
20	Comunidad de Calatayud	5	Otra situación (Ayuda familiar)	Mujeres	9
20	Comunidad de Calatayud	6	Otra situación (Miembro de cooperativas)	Hombres	33
20	Comunidad de Calatayud	6	Otra situación (Miembro de cooperativas)	Mujeres	34
21	Campo de Cariñena	1	Empresario o profesional que emplea personal	Hombres	209
21	Campo de Cariñena	1	Empresario o profesional que emplea personal	Mujeres	44
21	Campo de Cariñena	2	Empresario o profesional que no emplea personal	Hombres	541
21	Campo de Cariñena	2	Empresario o profesional que no emplea personal	Mujeres	169
21	Campo de Cariñena	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	1390
21	Campo de Cariñena	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	565
21	Campo de Cariñena	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	687
21	Campo de Cariñena	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	339
21	Campo de Cariñena	5	Otra situación (Ayuda familiar)	Hombres	5
21	Campo de Cariñena	5	Otra situación (Ayuda familiar)	Mujeres	5
21	Campo de Cariñena	6	Otra situación (Miembro de cooperativas)	Hombres	4
21	Campo de Cariñena	6	Otra situación (Miembro de cooperativas)	Mujeres	3
22	Campo de Belchite	1	Empresario o profesional que emplea personal	Hombres	115
22	Campo de Belchite	1	Empresario o profesional que emplea personal	Mujeres	32
22	Campo de Belchite	2	Empresario o profesional que no emplea personal	Hombres	401
22	Campo de Belchite	2	Empresario o profesional que no emplea personal	Mujeres	99
22	Campo de Belchite	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	684
22	Campo de Belchite	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	360
22	Campo de Belchite	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	145
22	Campo de Belchite	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	93
22	Campo de Belchite	5	Otra situación (Ayuda familiar)	Hombres	3
22	Campo de Belchite	5	Otra situación (Ayuda familiar)	Mujeres	6
22	Campo de Belchite	6	Otra situación (Miembro de cooperativas)	Hombres	3
22	Campo de Belchite	6	Otra situación (Miembro de cooperativas)	Mujeres	15
23	Bajo Martín	1	Empresario o profesional que emplea personal	Hombres	153
23	Bajo Martín	1	Empresario o profesional que emplea personal	Mujeres	31
23	Bajo Martín	2	Empresario o profesional que no emplea personal	Hombres	439
23	Bajo Martín	2	Empresario o profesional que no emplea personal	Mujeres	142
23	Bajo Martín	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	690
23	Bajo Martín	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	416
23	Bajo Martín	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	320
23	Bajo Martín	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	213
23	Bajo Martín	5	Otra situación (Ayuda familiar)	Hombres	5
23	Bajo Martín	5	Otra situación (Ayuda familiar)	Mujeres	2
23	Bajo Martín	6	Otra situación (Miembro de cooperativas)	Hombres	2
23	Bajo Martín	6	Otra situación (Miembro de cooperativas)	Mujeres	5
24	Campo de Daroca	1	Empresario o profesional que emplea personal	Hombres	138
24	Campo de Daroca	1	Empresario o profesional que emplea personal	Mujeres	31
24	Campo de Daroca	2	Empresario o profesional que no emplea personal	Hombres	616
24	Campo de Daroca	2	Empresario o profesional que no emplea personal	Mujeres	131
24	Campo de Daroca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	644
24	Campo de Daroca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	333
24	Campo de Daroca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	201
24	Campo de Daroca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	169
24	Campo de Daroca	5	Otra situación (Ayuda familiar)	Hombres	5
24	Campo de Daroca	5	Otra situación (Ayuda familiar)	Mujeres	3
24	Campo de Daroca	6	Otra situación (Miembro de cooperativas)	Hombres	2
24	Campo de Daroca	6	Otra situación (Miembro de cooperativas)	Mujeres	4
25	Jiloca	1	Empresario o profesional que emplea personal	Hombres	268
25	Jiloca	1	Empresario o profesional que emplea personal	Mujeres	55
25	Jiloca	2	Empresario o profesional que no emplea personal	Hombres	1147
25	Jiloca	2	Empresario o profesional que no emplea personal	Mujeres	339
25	Jiloca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	1431
25	Jiloca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	665
25	Jiloca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	413
25	Jiloca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	386
25	Jiloca	5	Otra situación (Ayuda familiar)	Hombres	11
25	Jiloca	5	Otra situación (Ayuda familiar)	Mujeres	42
25	Jiloca	6	Otra situación (Miembro de cooperativas)	Hombres	8
25	Jiloca	6	Otra situación (Miembro de cooperativas)	Mujeres	15
26	Cuencas Mineras	1	Empresario o profesional que emplea personal	Hombres	166
26	Cuencas Mineras	1	Empresario o profesional que emplea personal	Mujeres	38
26	Cuencas Mineras	2	Empresario o profesional que no emplea personal	Hombres	365
26	Cuencas Mineras	2	Empresario o profesional que no emplea personal	Mujeres	163
26	Cuencas Mineras	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	1190
26	Cuencas Mineras	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	358
26	Cuencas Mineras	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	418
26	Cuencas Mineras	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	282
26	Cuencas Mineras	5	Otra situación (Ayuda familiar)	Hombres	1
26	Cuencas Mineras	6	Otra situación (Miembro de cooperativas)	Hombres	5
26	Cuencas Mineras	6	Otra situación (Miembro de cooperativas)	Mujeres	50
27	Andorra-Sierra de Arcos	1	Empresario o profesional que emplea personal	Hombres	162
27	Andorra-Sierra de Arcos	1	Empresario o profesional que emplea personal	Mujeres	65
27	Andorra-Sierra de Arcos	2	Empresario o profesional que no emplea personal	Hombres	298
27	Andorra-Sierra de Arcos	2	Empresario o profesional que no emplea personal	Mujeres	157
27	Andorra-Sierra de Arcos	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	1303
27	Andorra-Sierra de Arcos	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	488
27	Andorra-Sierra de Arcos	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	514
27	Andorra-Sierra de Arcos	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	292
27	Andorra-Sierra de Arcos	5	Otra situación (Ayuda familiar)	Hombres	7
27	Andorra-Sierra de Arcos	5	Otra situación (Ayuda familiar)	Mujeres	7
27	Andorra-Sierra de Arcos	6	Otra situación (Miembro de cooperativas)	Hombres	1
27	Andorra-Sierra de Arcos	6	Otra situación (Miembro de cooperativas)	Mujeres	3
28	Bajo Aragón	1	Empresario o profesional que emplea personal	Hombres	783
28	Bajo Aragón	1	Empresario o profesional que emplea personal	Mujeres	224
28	Bajo Aragón	2	Empresario o profesional que no emplea personal	Hombres	1387
28	Bajo Aragón	2	Empresario o profesional que no emplea personal	Mujeres	591
28	Bajo Aragón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	3121
28	Bajo Aragón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	1698
28	Bajo Aragón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	1337
28	Bajo Aragón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	1070
