Año	Comarca Código	Comarca Nombre	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código
2009	27	Andorra-Sierra de Arcos	36	Menos de 10 trabajadores	Leves	1
2009	28	Bajo Aragón	121	Menos de 10 trabajadores	Leves	1
2009	29	Comunidad de Teruel	133	Menos de 10 trabajadores	Leves	1
2009	30	Maestrazgo	8	Menos de 10 trabajadores	Leves	1
2009	31	Sierra de Albarracín	24	Menos de 10 trabajadores	Leves	1
2009	32	Gúdar-Javalambre	27	Menos de 10 trabajadores	Leves	1
2009	33	Matarraña / Matarranya	37	Menos de 10 trabajadores	Leves	1
2009	NC	Municipio del centro de trabajo fuera de Aragón	26	Menos de 10 trabajadores	Leves	1
2008	01	La Jacetania	98	Menos de 10 trabajadores	Leves	1
2008	02	Alto Gállego	48	Menos de 10 trabajadores	Leves	1
2008	03	Sobrarbe	50	Menos de 10 trabajadores	Leves	1
2008	04	La Ribagorza	70	Menos de 10 trabajadores	Leves	1
2008	05	Cinco Villas	174	Menos de 10 trabajadores	Leves	1
2008	06	Hoya de Huesca / Plana de Uesca	281	Menos de 10 trabajadores	Leves	1
2008	07	Somontano de Barbastro	130	Menos de 10 trabajadores	Leves	1
2008	08	Cinca Medio	86	Menos de 10 trabajadores	Leves	1
2008	09	La Litera / La Llitera	132	Menos de 10 trabajadores	Leves	1
2008	10	Los Monegros	72	Menos de 10 trabajadores	Leves	1
2008	11	Bajo Cinca / Baix Cinca	145	Menos de 10 trabajadores	Leves	1
2008	12	Tarazona y el Moncayo	87	Menos de 10 trabajadores	Leves	1
2008	13	Campo de Borja	71	Menos de 10 trabajadores	Leves	1
2008	14	Aranda	29	Menos de 10 trabajadores	Leves	1
2008	15	Ribera Alta del Ebro	131	Menos de 10 trabajadores	Leves	1
2008	16	Valdejalón	158	Menos de 10 trabajadores	Leves	1
2008	17	D.C. Zaragoza	2374	Menos de 10 trabajadores	Leves	1
2008	18	Ribera Baja del Ebro	55	Menos de 10 trabajadores	Leves	1
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	61	Menos de 10 trabajadores	Leves	1
2008	20	Comunidad de Calatayud	145	Menos de 10 trabajadores	Leves	1
2008	21	Campo de Cariñena	43	Menos de 10 trabajadores	Leves	1
2008	22	Campo de Belchite	14	Menos de 10 trabajadores	Leves	1
2008	23	Bajo Martín	38	Menos de 10 trabajadores	Leves	1
2008	24	Campo de Daroca	9	Menos de 10 trabajadores	Leves	1
2008	25	Jiloca	52	Menos de 10 trabajadores	Leves	1
2008	26	Cuencas Mineras	26	Menos de 10 trabajadores	Leves	1
2008	27	Andorra-Sierra de Arcos	27	Menos de 10 trabajadores	Leves	1
2008	28	Bajo Aragón	147	Menos de 10 trabajadores	Leves	1
2008	29	Comunidad de Teruel	149	Menos de 10 trabajadores	Leves	1
2008	30	Maestrazgo	17	Menos de 10 trabajadores	Leves	1
2008	31	Sierra de Albarracín	23	Menos de 10 trabajadores	Leves	1
2008	32	Gúdar-Javalambre	35	Menos de 10 trabajadores	Leves	1
2008	33	Matarraña / Matarranya	48	Menos de 10 trabajadores	Leves	1
2008	NC	Municipio del centro de trabajo fuera de Aragón	58	Menos de 10 trabajadores	Leves	1
2007	01	La Jacetania	92	Menos de 10 trabajadores	Leves	1
2007	02	Alto Gállego	52	Menos de 10 trabajadores	Leves	1
2007	03	Sobrarbe	36	Menos de 10 trabajadores	Leves	1
2007	04	La Ribagorza	71	Menos de 10 trabajadores	Leves	1
2007	05	Cinco Villas	178	Menos de 10 trabajadores	Leves	1
2007	06	Hoya de Huesca / Plana de Uesca	301	Menos de 10 trabajadores	Leves	1
2007	07	Somontano de Barbastro	139	Menos de 10 trabajadores	Leves	1
2007	08	Cinca Medio	111	Menos de 10 trabajadores	Leves	1
2007	09	La Litera / La Llitera	116	Menos de 10 trabajadores	Leves	1
2007	10	Los Monegros	83	Menos de 10 trabajadores	Leves	1
2007	11	Bajo Cinca / Baix Cinca	133	Menos de 10 trabajadores	Leves	1
2007	12	Tarazona y el Moncayo	58	Menos de 10 trabajadores	Leves	1
2007	13	Campo de Borja	58	Menos de 10 trabajadores	Leves	1
2007	14	Aranda	32	Menos de 10 trabajadores	Leves	1
2007	15	Ribera Alta del Ebro	140	Menos de 10 trabajadores	Leves	1
2007	16	Valdejalón	133	Menos de 10 trabajadores	Leves	1
2007	17	D.C. Zaragoza	2427	Menos de 10 trabajadores	Leves	1
2007	18	Ribera Baja del Ebro	33	Menos de 10 trabajadores	Leves	1
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	64	Menos de 10 trabajadores	Leves	1
2007	20	Comunidad de Calatayud	160	Menos de 10 trabajadores	Leves	1
2007	21	Campo de Cariñena	53	Menos de 10 trabajadores	Leves	1
2007	22	Campo de Belchite	6	Menos de 10 trabajadores	Leves	1
2007	23	Bajo Martín	41	Menos de 10 trabajadores	Leves	1
2007	24	Campo de Daroca	28	Menos de 10 trabajadores	Leves	1
2007	25	Jiloca	51	Menos de 10 trabajadores	Leves	1
2007	26	Cuencas Mineras	27	Menos de 10 trabajadores	Leves	1
2007	27	Andorra-Sierra de Arcos	27	Menos de 10 trabajadores	Leves	1
2007	28	Bajo Aragón	166	Menos de 10 trabajadores	Leves	1
2007	29	Comunidad de Teruel	168	Menos de 10 trabajadores	Leves	1
2007	30	Maestrazgo	17	Menos de 10 trabajadores	Leves	1
2007	31	Sierra de Albarracín	12	Menos de 10 trabajadores	Leves	1
2007	32	Gúdar-Javalambre	35	Menos de 10 trabajadores	Leves	1
2007	33	Matarraña / Matarranya	42	Menos de 10 trabajadores	Leves	1
2007	NC	Municipio del centro de trabajo fuera de Aragón	54	Menos de 10 trabajadores	Leves	1
2006	01	La Jacetania	113	Menos de 10 trabajadores	Leves	1
