Año	Residencia CCAA código	Residencia CCAA nombre	Edad (grupos quinquenales)	Sexo	Personas	Porcentaje
2003	02	Aragón	90 a 94	Mujeres	5716	0,0212593612692597
2004	02	Aragón	90 a 94	Mujeres	5928	0,0220478470266221
2005	02	Aragón	90 a 94	Mujeres	6303	0,0234425741917677
2006	02	Aragón	90 a 94	Mujeres	6331	0,0235467138200986
2007	02	Aragón	90 a 94	Mujeres	6419	0,0238740097948527
2008	02	Aragón	90 a 94	Mujeres	6384	0,0237438352594392
2009	02	Aragón	90 a 94	Mujeres	6644	0,0247108460939401
2010	02	Aragón	90 a 94	Mujeres	6916	0,0257224881977257
2011	02	Aragón	90 a 94	Mujeres	7616	0,0283259789059976
2012	02	Aragón	90 a 94	Mujeres	8227	0,0305984543670749
2013	02	Aragón	90 a 94	Mujeres	8805	0,0327481938376193
2014	02	Aragón	90 a 94	Mujeres	9359	0,0348086707695945
2015	02	Aragón	90 a 94	Mujeres	9948	0,0369993222369832
2016	02	Aragón	90 a 94	Mujeres	10013	0,0372410749456084
2017	02	Aragón	90 a 94	Mujeres	10394	0,0386581177453964
2018	02	Aragón	90 a 94	Mujeres	10600	0,0394242878681164
1998	02	Aragón	90 a 94	Hombres	-2088	-0,00776584085553085
1999	02	Aragón	90 a 94	Hombres	-2265	-0,00842415207747959
2000	02	Aragón	90 a 94	Hombres	-2347	-0,00872913241759143
2001	02	Aragón	90 a 94	Hombres	-2418	-0,008993200760859
2002	02	Aragón	90 a 94	Hombres	-2395	-0,00890765749473007
2003	02	Aragón	90 a 94	Hombres	-2504	-0,0093130581907324
2004	02	Aragón	90 a 94	Hombres	-2522	-0,00938000509465939
2005	02	Aragón	90 a 94	Hombres	-2640	-0,00981887924262521
2006	02	Aragón	90 a 94	Hombres	-2711	-0,0100829475858928
2007	02	Aragón	90 a 94	Hombres	-2695	-0,0100234392268466
2008	02	Aragón	90 a 94	Hombres	-2640	-0,00981887924262521
2009	02	Aragón	90 a 94	Hombres	-2684	-0,0099825272300023
2010	02	Aragón	90 a 94	Hombres	-2782	-0,0103470159291604
2011	02	Aragón	90 a 94	Hombres	-3090	-0,0114925518408
2012	02	Aragón	90 a 94	Hombres	-3454	-0,0128463670091013
2013	02	Aragón	90 a 94	Hombres	-3826	-0,0142299363569258
2014	02	Aragón	90 a 94	Hombres	-4168	-0,0155019275315386
2015	02	Aragón	90 a 94	Hombres	-4530	-0,0168483041549592
2016	02	Aragón	90 a 94	Hombres	-4786	-0,0178004378996986
2017	02	Aragón	90 a 94	Hombres	-4935	-0,0183546094933164
2018	02	Aragón	90 a 94	Hombres	-5058	-0,0188120800034842
1998	02	Aragón	85 a 89	Mujeres	11540	0,0429204039620814
1999	02	Aragón	85 a 89	Mujeres	12197	0,0453639659554166
2000	02	Aragón	85 a 89	Mujeres	12869	0,0478633170353575
2001	02	Aragón	85 a 89	Mujeres	13195	0,0490757998509241
2002	02	Aragón	85 a 89	Mujeres	13292	0,0494365692776418
2003	02	Aragón	85 a 89	Mujeres	13169	0,048979098767474
2004	02	Aragón	85 a 89	Mujeres	13602	0,0505895437341622
2005	02	Aragón	85 a 89	Mujeres	13789	0,0512850476805148
2006	02	Aragón	85 a 89	Mujeres	14607	0,0543274125367525
2007	02	Aragón	85 a 89	Mujeres	15450	0,0574627592039998
2008	02	Aragón	85 a 89	Mujeres	16603	0,0617510803277676
2009	02	Aragón	85 a 89	Mujeres	17490	0,065050074982392
2010	02	Aragón	85 a 89	Mujeres	18397	0,0684234550858243
2011	02	Aragón	85 a 89	Mujeres	18725	0,0696433764462716
2012	02	Aragón	85 a 89	Mujeres	19061	0,0708930519862421
2013	02	Aragón	85 a 89	Mujeres	19277	0,071696414833366
2014	02	Aragón	85 a 89	Mujeres	19794	0,0736192786850468
2015	02	Aragón	85 a 89	Mujeres	20127	0,0748577964076961
2016	02	Aragón	85 a 89	Mujeres	20824	0,0774501292986468
2017	02	Aragón	85 a 89	Mujeres	21286	0,0791684331661062
2018	02	Aragón	85 a 89	Mujeres	21943	0,0816119951594413
1998	02	Aragón	85 a 89	Hombres	-6206	-0,02308180476505
1999	02	Aragón	85 a 89	Hombres	-6263	-0,0232938032941522
2000	02	Aragón	85 a 89	Hombres	-6591	-0,0245137246545995
2001	02	Aragón	85 a 89	Hombres	-6794	-0,0252687369599984
2002	02	Aragón	85 a 89	Hombres	-6770	-0,025179474421429
2003	02	Aragón	85 a 89	Hombres	-6695	-0,0249005289883999
2004	02	Aragón	85 a 89	Hombres	-6785	-0,0252352635080349
2005	02	Aragón	85 a 89	Hombres	-6973	-0,0259344867268279
2006	02	Aragón	85 a 89	Hombres	-7472	-0,0277904036745817
2007	02	Aragón	85 a 89	Hombres	-8267	-0,0307472252646904
2008	02	Aragón	85 a 89	Hombres	-8965	-0,0333432774280814
2009	02	Aragón	85 a 89	Hombres	-9653	-0,0359021368670686
2010	02	Aragón	85 a 89	Hombres	-10355	-0,0385130661202212
2011	02	Aragón	85 a 89	Hombres	-10732	-0,0399152318302476
2012	02	Aragón	85 a 89	Hombres	-10982	-0,0408450499403447
2013	02	Aragón	85 a 89	Hombres	-11300	-0,0420277785763882
2014	02	Aragón	85 a 89	Hombres	-11553	-0,0429687545038065
2015	02	Aragón	85 a 89	Hombres	-11931	-0,0443746394862733
2016	02	Aragón	85 a 89	Hombres	-12204	-0,0453900008624993
2017	02	Aragón	85 a 89	Hombres	-12692	-0,0472050058134088
2018	02	Aragón	85 a 89	Hombres	-13011	-0,0483914537218927
1998	02	Aragón	80 a 84	Mujeres	19111	0,0710790156082615
1999	02	Aragón	80 a 84	Mujeres	19839	0,0737866459448642
2000	02	Aragón	80 a 84	Mujeres	20305	0,0755198269020852
2001	02	Aragón	80 a 84	Mujeres	21470	0,0798527792951376
2002	02	Aragón	80 a 84	Mujeres	22469	0,0835683324630856
2003	02	Aragón	80 a 84	Mujeres	23856	0,0887269633379042
2004	02	Aragón	80 a 84	Mujeres	25004	0,09299668809947
2005	02	Aragón	80 a 84	Mujeres	26221	0,0975230426594226
2006	02	Aragón	80 a 84	Mujeres	26297	0,0978057073648921
2007	02	Aragón	80 a 84	Mujeres	26720	0,0993789596071764
2008	02	Aragón	80 a 84	Mujeres	26799	0,0996727821299671
2009	02	Aragón	80 a 84	Mujeres	27257	0,101376208907665
2010	02	Aragón	80 a 84	Mujeres	27596	0,102637042264957
2011	02	Aragón	80 a 84	Mujeres	28358	0,105471127864532
2012	02	Aragón	80 a 84	Mujeres	28583	0,10630796416362
2013	02	Aragón	80 a 84	Mujeres	29201	0,10860647453178
2014	02	Aragón	80 a 84	Mujeres	29507	0,109744571898539
2015	02	Aragón	80 a 84	Mujeres	29428	0,109450749375748
2016	02	Aragón	80 a 84	Mujeres	29085	0,108175038928695
2017	02	Aragón	80 a 84	Mujeres	29130	0,108342406188512
2018	02	Aragón	80 a 84	Mujeres	27827	0,103496194198686
1998	02	Aragón	80 a 84	Hombres	-11558	-0,0429873508660084
1999	02	Aragón	80 a 84	Hombres	-11908	-0,0442890962201443
2000	02	Aragón	80 a 84	Hombres	-12229	-0,045482982673509
2001	02	Aragón	80 a 84	Hombres	-13104	-0,0487373460588488
2002	02	Aragón	80 a 84	Hombres	-14151	-0,0526314243039354
2003	02	Aragón	80 a 84	Hombres	-15196	-0,0565180640041412
2004	02	Aragón	80 a 84	Hombres	-16279	-0,0605460360570818
2005	02	Aragón	80 a 84	Hombres	-17302	-0,064350851763599
2006	02	Aragón	80 a 84	Hombres	-17724	-0,0659203847334429
2007	02	Aragón	80 a 84	Hombres	-17940	-0,0667237475805668
2008	02	Aragón	80 a 84	Hombres	-18376	-0,0683453503645761
2009	02	Aragón	80 a 84	Hombres	-18667	-0,0694276586447291
2010	02	Aragón	80 a 84	Hombres	-19053	-0,070863297806719
2011	02	Aragón	80 a 84	Hombres	-19493	-0,0724997776804899
2012	02	Aragón	80 a 84	Hombres	-20006	-0,0744077644424091
2013	02	Aragón	80 a 84	Hombres	-20422	-0,0759549817776106
2014	02	Aragón	80 a 84	Hombres	-20804	-0,077375743849839
2015	02	Aragón	80 a 84	Hombres	-20739	-0,0771339911412137
2016	02	Aragón	80 a 84	Hombres	-20601	-0,0766207315444402
2017	02	Aragón	80 a 84	Hombres	-20469	-0,0761297875823089
2018	02	Aragón	80 a 84	Hombres	-19574	-0,0728010387481613
1998	02	Aragón	75 a 79	Mujeres	28232	0,105002499537044
1999	02	Aragón	75 a 79	Mujeres	29838	0,110975651076307
2000	02	Aragón	75 a 79	Mujeres	31323	0,116498770650284
2001	02	Aragón	75 a 79	Mujeres	31679	0,117822831639062
2002	02	Aragón	75 a 79	Mujeres	32043	0,119176646807364
2003	02	Aragón	75 a 79	Mujeres	31902	0,118652229393269
2004	02	Aragón	75 a 79	Mujeres	32351	0,120322182719003
2005	02	Aragón	75 a 79	Mujeres	32621	0,121326386277908
2006	02	Aragón	75 a 79	Mujeres	33255	0,123684405005114
2007	02	Aragón	75 a 79	Mujeres	33255	0,123684405005114
2008	02	Aragón	75 a 79	Mujeres	33912	0,126127966998449
2009	02	Aragón	75 a 79	Mujeres	34184	0,127139609102235
2010	02	Aragón	75 a 79	Mujeres	34004	0,126470140062965
2011	02	Aragón	75 a 79	Mujeres	33617	0,125030781628535
2012	02	Aragón	75 a 79	Mujeres	33568	0,124848537278956
2013	02	Aragón	75 a 79	Mujeres	32037	0,119154331172721
2014	02	Aragón	75 a 79	Mujeres	29664	0,11032849767168
2015	02	Aragón	75 a 79	Mujeres	27377	0,101822521600512
2016	02	Aragón	75 a 79	Mujeres	26921	0,100126533367694
2017	02	Aragón	75 a 79	Mujeres	25764	0,0958233351541652
2018	02	Aragón	75 a 79	Mujeres	25868	0,0962101394879655
1998	02	Aragón	75 a 79	Hombres	-20770	-0,0772492885868658
1999	02	Aragón	75 a 79	Hombres	-22377	-0,0832261593985698
2000	02	Aragón	75 a 79	Hombres	-23974	-0,08916583748587
2001	02	Aragón	75 a 79	Hombres	-24531	-0,0912374722351663
2002	02	Aragón	75 a 79	Hombres	-24614	-0,0915461718477186
2003	02	Aragón	75 a 79	Hombres	-24920	-0,0926842692144774
2004	02	Aragón	75 a 79	Hombres	-25371	-0,0943616610850925
2005	02	Aragón	75 a 79	Hombres	-25568	-0,095094357755849
2006	02	Aragón	75 a 79	Hombres	-25936	-0,0964630500139119
2007	02	Aragón	75 a 79	Hombres	-26477	-0,098475176404162
2008	02	Aragón	75 a 79	Hombres	-26763	-0,0995388883221131
2009	02	Aragón	75 a 79	Hombres	-27036	-0,100554249698339
2010	02	Aragón	75 a 79	Hombres	-26921	-0,100126533367694
2011	02	Aragón	75 a 79	Hombres	-26675	-0,0992115923473589
2012	02	Aragón	75 a 79	Hombres	-26242	-0,0976011473806708
2013	02	Aragón	75 a 79	Hombres	-25045	-0,0931491782695259
2014	02	Aragón	75 a 79	Hombres	-23315	-0,0867148369476541
2015	02	Aragón	75 a 79	Hombres	-21493	-0,0799383225612666
2016	02	Aragón	75 a 79	Hombres	-21279	-0,0791423982590234
2017	02	Aragón	75 a 79	Hombres	-20522	-0,0763269090216495
2018	02	Aragón	75 a 79	Hombres	-20857	-0,0775728652891796
1998	02	Aragón	70 a 74	Mujeres	34202	0,127206556006162
1999	02	Aragón	70 a 74	Mujeres	34966	0,130048080150619
2000	02	Aragón	70 a 74	Mujeres	35538	0,132175503986521
2001	02	Aragón	70 a 74	Mujeres	36238	0,134778994694793
2002	02	Aragón	70 a 74	Mujeres	36235	0,134767836877471
2003	02	Aragón	70 a 74	Mujeres	36802	0,136876664351172
2004	02	Aragón	70 a 74	Mujeres	36960	0,137464309396753
2005	02	Aragón	70 a 74	Mujeres	36728	0,136601438190583
2006	02	Aragón	70 a 74	Mujeres	36046	0,134064894386238
2007	02	Aragón	70 a 74	Mujeres	36061	0,134120683472844
2008	02	Aragón	70 a 74	Mujeres	34430	0,12805455012257
2009	02	Aragón	70 a 74	Mujeres	31942	0,118801000290884
2010	02	Aragón	70 a 74	Mujeres	29541	0,109871027161512
2011	02	Aragón	70 a 74	Mujeres	28992	0,107829146591739
2012	02	Aragón	70 a 74	Mujeres	27557	0,102491990639781
2013	02	Aragón	70 a 74	Mujeres	27545	0,102447359370497
2014	02	Aragón	70 a 74	Mujeres	29133	0,108353564005833
2015	02	Aragón	70 a 74	Mujeres	31101	0,115673092168518
2016	02	Aragón	70 a 74	Mujeres	31709	0,117934409812274
2017	02	Aragón	70 a 74	Mujeres	32913	0,122412413830501
2018	02	Aragón	70 a 74	Mujeres	33696	0,125324604151325
1998	02	Aragón	70 a 74	Hombres	-29350	-0,109160646125398
1999	02	Aragón	70 a 74	Hombres	-30005	-0,111596769573852
2000	02	Aragón	70 a 74	Hombres	-30312	-0,112738586213051
2001	02	Aragón	70 a 74	Hombres	-30827	-0,114654011519851
2002	02	Aragón	70 a 74	Hombres	-31208	-0,116071054319639
2003	02	Aragón	70 a 74	Hombres	-31525	-0,117250063683242
2004	02	Aragón	70 a 74	Hombres	-31839	-0,118417915229524
2005	02	Aragón	70 a 74	Hombres	-31738	-0,118042268713045
2006	02	Aragón	70 a 74	Hombres	-31249	-0,116223544489695
2007	02	Aragón	70 a 74	Hombres	-30757	-0,114393662449024
2008	02	Aragón	70 a 74	Hombres	-29400	-0,109346609747417
2009	02	Aragón	70 a 74	Hombres	-27269	-0,10142084017695
2010	02	Aragón	70 a 74	Hombres	-25038	-0,0931231433624432
2011	02	Aragón	70 a 74	Hombres	-24802	-0,0922453950665116
2012	02	Aragón	70 a 74	Hombres	-23852	-0,0887120862481426
2013	02	Aragón	70 a 74	Hombres	-24149	-0,089816710162938
2014	02	Aragón	70 a 74	Hombres	-25466	-0,0947149919669294
2015	02	Aragón	70 a 74	Hombres	-27400	-0,10190806486664
2016	02	Aragón	70 a 74	Hombres	-27881	-0,103697034910467
2017	02	Aragón	70 a 74	Hombres	-28815	-0,10717083536979
2018	02	Aragón	70 a 74	Hombres	-29535	-0,10984871152687
1998	02	Aragón	65 a 69	Mujeres	37692	0,140186816823117
1999	02	Aragón	65 a 69	Mujeres	38216	0,142135715581881
2000	02	Aragón	65 a 69	Mujeres	38107	0,141730314885878
2001	02	Aragón	65 a 69	Mujeres	37417	0,13916401690201
2002	02	Aragón	65 a 69	Mujeres	37330	0,138840440199697
2003	02	Aragón	65 a 69	Mujeres	35688	0,132733394852579
2004	02	Aragón	65 a 69	Mujeres	33060	0,122959146879238
2005	02	Aragón	65 a 69	Mujeres	30544	0,113601457419221
2006	02	Aragón	65 a 69	Mujeres	30042	0,111734382654146
2007	02	Aragón	65 a 69	Mujeres	28507	0,10602529945815
2008	02	Aragón	65 a 69	Mujeres	28557	0,10621126308017
2009	02	Aragón	65 a 69	Mujeres	30336	0,112827848751621
2010	02	Aragón	65 a 69	Mujeres	32380	0,120430041619774
2011	02	Aragón	65 a 69	Mujeres	32980	0,122661605084007
2012	02	Aragón	65 a 69	Mujeres	34220	0,127273502910089
2013	02	Aragón	65 a 69	Mujeres	35093	0,130520427750548
2014	02	Aragón	65 a 69	Mujeres	35748	0,132956551199002
2015	02	Aragón	65 a 69	Mujeres	36188	0,134593031072773
2016	02	Aragón	65 a 69	Mujeres	35915	0,133577669696547
2017	02	Aragón	65 a 69	Mujeres	35901	0,133525599882382
2018	02	Aragón	65 a 69	Mujeres	36517	0,135816671705661
1998	02	Aragón	65 a 69	Hombres	-34239	-0,127344169086456
1999	02	Aragón	65 a 69	Hombres	-34770	-0,129319102752303
2000	02	Aragón	65 a 69	Hombres	-34908	-0,129832362349076
2001	02	Aragón	65 a 69	Hombres	-34283	-0,127507817073833
2002	02	Aragón	65 a 69	Hombres	-33734	-0,12546593650406
2003	02	Aragón	65 a 69	Hombres	-32289	-0,120091587827699
2004	02	Aragón	65 a 69	Hombres	-29984	-0,111518664852604
2005	02	Aragón	65 a 69	Hombres	-27582	-0,102584972450791
2006	02	Aragón	65 a 69	Hombres	-27372	-0,10180392523831
2007	02	Aragón	65 a 69	Hombres	-26344	-0,0979805131695904
2008	02	Aragón	65 a 69	Hombres	-26597	-0,0989214890970086
2009	02	Aragón	65 a 69	Hombres	-28077	-0,104426012308783
2010	02	Aragón	65 a 69	Hombres	-30136	-0,112083994263543
2011	02	Aragón	65 a 69	Hombres	-30658	-0,114025454477426
2012	02	Aragón	65 a 69	Hombres	-31758	-0,118116654161853
2013	02	Aragón	65 a 69	Hombres	-32504	-0,120891231402383
2014	02	Aragón	65 a 69	Hombres	-33189	-0,123438933024049
2015	02	Aragón	65 a 69	Hombres	-33468	-0,124476610034917
2016	02	Aragón	65 a 69	Hombres	-33306	-0,123874087899574
2017	02	Aragón	65 a 69	Hombres	-33286	-0,123799702450766
2018	02	Aragón	65 a 69	Hombres	-33838	-0,125852740837861
1998	02	Aragón	60 a 64	Mujeres	35607	0,132432133784908
1999	02	Aragón	60 a 64	Mujeres	33298	0,123844333720051
2000	02	Aragón	60 a 64	Mujeres	30970	0,115185867478827
2001	02	Aragón	60 a 64	Mujeres	30446	0,113236968720063
2002	02	Aragón	60 a 64	Mujeres	28785	0,107059257196578
2003	02	Aragón	60 a 64	Mujeres	28903	0,107498131344544
2004	02	Aragón	60 a 64	Mujeres	30767	0,114430855173428
2005	02	Aragón	60 a 64	Mujeres	32940	0,122512834186392
2006	02	Aragón	60 a 64	Mujeres	33531	0,124710924198661
2007	02	Aragón	60 a 64	Mujeres	34878	0,129720784175864
2008	02	Aragón	60 a 64	Mujeres	35803	0,133161111183224
2009	02	Aragón	60 a 64	Mujeres	36722	0,136579122555941
2010	02	Aragón	60 a 64	Mujeres	37280	0,138654476577677
2011	02	Aragón	60 a 64	Mujeres	36995	0,137594483932167
2012	02	Aragón	60 a 64	Mujeres	37101	0,137988726810848
2013	02	Aragón	60 a 64	Mujeres	37707	0,140242605909723
2014	02	Aragón	60 a 64	Mujeres	37341	0,138881352196541
2015	02	Aragón	60 a 64	Mujeres	37358	0,138944579828028
2016	02	Aragón	60 a 64	Mujeres	38210	0,142113399947238
2017	02	Aragón	60 a 64	Mujeres	39288	0,146122775637977
2018	02	Aragón	60 a 64	Mujeres	40320	0,149961064796458
1998	02	Aragón	60 a 64	Hombres	-33501	-0,12459934602545
1999	02	Aragón	60 a 64	Hombres	-31431	-0,116900452073846
2000	02	Aragón	60 a 64	Hombres	-28985	-0,107803111684656
2001	02	Aragón	60 a 64	Hombres	-28760	-0,106966275385569
2002	02	Aragón	60 a 64	Hombres	-27596	-0,102637042264957
2003	02	Aragón	60 a 64	Hombres	-27915	-0,10382349017344
2004	02	Aragón	60 a 64	Hombres	-29664	-0,11032849767168
2005	02	Aragón	60 a 64	Hombres	-32000	-0,119016718092427
2006	02	Aragón	60 a 64	Hombres	-32493	-0,120850319405538
2007	02	Aragón	60 a 64	Hombres	-33719	-0,125410147417454
2008	02	Aragón	60 a 64	Hombres	-34582	-0,12861987953351
2009	02	Aragón	60 a 64	Hombres	-35416	-0,131721752748793
2010	02	Aragón	60 a 64	Hombres	-35775	-0,133056971554893
2011	02	Aragón	60 a 64	Hombres	-35789	-0,133109041369058
2012	02	Aragón	60 a 64	Hombres	-35862	-0,133380548257207
2013	02	Aragón	60 a 64	Hombres	-36417	-0,135444744461622
2014	02	Aragón	60 a 64	Hombres	-36056	-0,134102087110642
2015	02	Aragón	60 a 64	Hombres	-36147	-0,134440540902717
2016	02	Aragón	60 a 64	Hombres	-37042	-0,137769289736865
2017	02	Aragón	60 a 64	Hombres	-38131	-0,141819577424448
2018	02	Aragón	60 a 64	Hombres	-39093	-0,145397517512101
1998	02	Aragón	55 a 59	Mujeres	28491	0,105965791099104
1999	02	Aragón	55 a 59	Mujeres	30507	0,113463844338927
2000	02	Aragón	55 a 59	Mujeres	32826	0,122088837128188
2001	02	Aragón	55 a 59	Mujeres	33499	0,124591907480569
2002	02	Aragón	55 a 59	Mujeres	34847	0,129605486730212
2003	02	Aragón	55 a 59	Mujeres	35702	0,132785464666744
2004	02	Aragón	55 a 59	Mujeres	36745	0,136664665822069
2005	02	Aragón	55 a 59	Mujeres	37320	0,138803247475293
2006	02	Aragón	55 a 59	Mujeres	37087	0,137936656996682
2007	02	Aragón	55 a 59	Mujeres	37270	0,138617283853273
2008	02	Aragón	55 a 59	Mujeres	38136	0,14183817378665
2009	02	Aragón	55 a 59	Mujeres	38199	0,142072487950394
2010	02	Aragón	55 a 59	Mujeres	38305	0,142466730829075
2011	02	Aragón	55 a 59	Mujeres	39399	0,14653561487886
2012	02	Aragón	55 a 59	Mujeres	40577	0,150916917813638
2013	02	Aragón	55 a 59	Mujeres	41522	0,154431630269805
2014	02	Aragón	55 a 59	Mujeres	42304	0,157340101318188
2015	02	Aragón	55 a 59	Mujeres	43628	0,162264418029262
2016	02	Aragón	55 a 59	Mujeres	44882	0,166928385669509
2017	02	Aragón	55 a 59	Mujeres	45857	0,170554676298888
2018	02	Aragón	55 a 59	Mujeres	46327	0,172302734345871
1998	02	Aragón	55 a 59	Hombres	-28352	-0,10544881222989
1999	02	Aragón	55 a 59	Hombres	-30216	-0,112381536058774
2000	02	Aragón	55 a 59	Hombres	-32808	-0,122021890224261
2001	02	Aragón	55 a 59	Hombres	-33321	-0,12392987698618
2002	02	Aragón	55 a 59	Hombres	-34551	-0,128504582087857
2003	02	Aragón	55 a 59	Hombres	-35378	-0,131580420396059
2004	02	Aragón	55 a 59	Hombres	-36432	-0,135500533548228
2005	02	Aragón	55 a 59	Hombres	-36866	-0,137114697787356
2006	02	Aragón	55 a 59	Hombres	-36912	-0,137285784319614
2007	02	Aragón	55 a 59	Hombres	-37182	-0,138289987878519
2008	02	Aragón	55 a 59	Hombres	-38000	-0,141332352734757
2009	02	Aragón	55 a 59	Hombres	-38210	-0,142113399947238
2010	02	Aragón	55 a 59	Hombres	-38494	-0,143169673320309
2011	02	Aragón	55 a 59	Hombres	-39460	-0,146762490497724
2012	02	Aragón	55 a 59	Hombres	-40718	-0,151441335227732
2013	02	Aragón	55 a 59	Hombres	-41742	-0,15524987020669
2014	02	Aragón	55 a 59	Hombres	-42614	-0,158493075774709
2015	02	Aragón	55 a 59	Hombres	-44127	-0,164120334977016
2016	02	Aragón	55 a 59	Hombres	-45041	-0,167519749987531
2017	02	Aragón	55 a 59	Hombres	-45775	-0,170249695958776
2018	02	Aragón	55 a 59	Hombres	-46508	-0,172975922657581
1998	02	Aragón	50 a 54	Mujeres	35026	0,130271236497042
1999	02	Aragón	50 a 54	Mujeres	36142	0,134421944540515
2000	02	Aragón	50 a 54	Mujeres	36860	0,137092382152714
2001	02	Aragón	50 a 54	Mujeres	36567	0,13600263532768
2002	02	Aragón	50 a 54	Mujeres	36765	0,136739051270877
2003	02	Aragón	50 a 54	Mujeres	37462	0,139331384161828
2004	02	Aragón	50 a 54	Mujeres	37637	0,139982256838896
2005	02	Aragón	50 a 54	Mujeres	37913	0,141008776032443
2006	02	Aragón	50 a 54	Mujeres	38897	0,144668540113785
2007	02	Aragón	50 a 54	Mujeres	40279	0,149808574626402
2008	02	Aragón	50 a 54	Mujeres	41649	0,154903977869734
2009	02	Aragón	50 a 54	Mujeres	43056	0,16013699419336
2010	02	Aragón	50 a 54	Mujeres	44633	0,166002286831853
2011	02	Aragón	50 a 54	Mujeres	46014	0,171138602072029
2012	02	Aragón	50 a 54	Mujeres	47088	0,175133100673006
2013	02	Aragón	50 a 54	Mujeres	47546	0,176836527450704
2014	02	Aragón	50 a 54	Mujeres	47724	0,177498557945093
2015	02	Aragón	50 a 54	Mujeres	48338	0,179782191223491
2016	02	Aragón	50 a 54	Mujeres	48365	0,179882611579382
2017	02	Aragón	50 a 54	Mujeres	48735	0,181258742382326
2018	02	Aragón	50 a 54	Mujeres	49367	0,183609322564651
1998	02	Aragón	50 a 54	Hombres	-35339	-0,131435368770883
1999	02	Aragón	50 a 54	Hombres	-36353	-0,135206711025437
2000	02	Aragón	50 a 54	Hombres	-36970	-0,137501502121157
2001	02	Aragón	50 a 54	Hombres	-37090	-0,137947814814003
2002	02	Aragón	50 a 54	Hombres	-37310	-0,138766054750889
2003	02	Aragón	50 a 54	Hombres	-38020	-0,141406738183565
2004	02	Aragón	50 a 54	Hombres	-38333	-0,142570870457406
2005	02	Aragón	50 a 54	Hombres	-38719	-0,144006509619396
2006	02	Aragón	50 a 54	Hombres	-39807	-0,148053078034539
2007	02	Aragón	50 a 54	Hombres	-41446	-0,154148965564335
2008	02	Aragón	50 a 54	Hombres	-43075	-0,160207660369728
2009	02	Aragón	50 a 54	Hombres	-44816	-0,166682913688444
