Mes (código)	Mes y año	Comarca nombre	Comarca código	Sexo	Régimen	Afiliaciones en alta
201806	Junio 2018	Matarraña / Matarranya	33	Hombres	General	1105
201806	Junio 2018	Matarraña / Matarranya	33	Mujeres	General	817
201806	Junio 2018	Ribera Alta del Ebro	15	Hombres	General	14391
201806	Junio 2018	Ribera Alta del Ebro	15	Mujeres	General	4580
201806	Junio 2018	Ribera Baja del Ebro	18	Hombres	General	1619
201806	Junio 2018	Ribera Baja del Ebro	18	Mujeres	General	933
201806	Junio 2018	Sierra de Albarracín	31	Hombres	General	351
201806	Junio 2018	Sierra de Albarracín	31	Mujeres	General	355
201806	Junio 2018	Sobrarbe	03	Hombres	General	974
201806	Junio 2018	Sobrarbe	03	Mujeres	General	1028
201806	Junio 2018	Somontano de Barbastro	07	Hombres	General	4155
201806	Junio 2018	Somontano de Barbastro	07	Mujeres	General	3993
201806	Junio 2018	Tarazona y el Moncayo	12	Hombres	General	1749
201806	Junio 2018	Tarazona y el Moncayo	12	Mujeres	General	1371
201806	Junio 2018	Valdejalón	16	Hombres	General	10145
201806	Junio 2018	Valdejalón	16	Mujeres	General	5503
201806	Junio 2018	Andorra-Sierra de Arcos	27	Hombres	Minería	89
201806	Junio 2018	Andorra-Sierra de Arcos	27	Mujeres	Minería	2
201806	Junio 2018	Bajo Aragón	28	Mujeres	Minería	1
201806	Junio 2018	D.C. Zaragoza	17	Hombres	Minería	19
201806	Junio 2018	D.C. Zaragoza	17	Mujeres	Minería	5
201806	Junio 2018	Alto Gállego	02	Hombres	Autónomos	742
201806	Junio 2018	Alto Gállego	02	Mujeres	Autónomos	444
201806	Junio 2018	Andorra-Sierra de Arcos	27	Hombres	Autónomos	443
201806	Junio 2018	Andorra-Sierra de Arcos	27	Mujeres	Autónomos	256
201806	Junio 2018	Aranda	14	Hombres	Autónomos	417
201806	Junio 2018	Aranda	14	Mujeres	Autónomos	170
201806	Junio 2018	Bajo Aragón	28	Hombres	Autónomos	1890
201806	Junio 2018	Bajo Aragón	28	Mujeres	Autónomos	1043
201806	Junio 2018	Bajo Aragón-Caspe / Baix Aragó-Casp	19	Hombres	Autónomos	1064
201806	Junio 2018	Bajo Aragón-Caspe / Baix Aragó-Casp	19	Mujeres	Autónomos	524
201806	Junio 2018	Bajo Cinca / Baix Cinca	11	Hombres	Autónomos	1855
201806	Junio 2018	Bajo Cinca / Baix Cinca	11	Mujeres	Autónomos	875
201806	Junio 2018	Bajo Martín	23	Hombres	Autónomos	398
201806	Junio 2018	Bajo Martín	23	Mujeres	Autónomos	205
201806	Junio 2018	Campo de Belchite	22	Hombres	Autónomos	359
201806	Junio 2018	Campo de Belchite	22	Mujeres	Autónomos	151
201806	Junio 2018	Campo de Borja	13	Hombres	Autónomos	917
201806	Junio 2018	Campo de Borja	13	Mujeres	Autónomos	455
201806	Junio 2018	Campo de Cariñena	21	Hombres	Autónomos	679
201806	Junio 2018	Campo de Cariñena	21	Mujeres	Autónomos	296
201806	Junio 2018	Campo de Daroca	24	Hombres	Autónomos	468
201806	Junio 2018	Campo de Daroca	24	Mujeres	Autónomos	175
201806	Junio 2018	Cinca Medio	08	Hombres	Autónomos	1353
201806	Junio 2018	Cinca Medio	08	Mujeres	Autónomos	905
201806	Junio 2018	Cinco Villas	05	Hombres	Autónomos	2526
201806	Junio 2018	Cinco Villas	05	Mujeres	Autónomos	1246
201806	Junio 2018	Comunidad de Calatayud	20	Hombres	Autónomos	2104
201806	Junio 2018	Comunidad de Calatayud	20	Mujeres	Autónomos	946
201806	Junio 2018	Comunidad de Teruel	29	Hombres	Autónomos	2485
201806	Junio 2018	Comunidad de Teruel	29	Mujeres	Autónomos	1276
201806	Junio 2018	Cuencas Mineras	26	Hombres	Autónomos	365
201806	Junio 2018	Cuencas Mineras	26	Mujeres	Autónomos	195
201806	Junio 2018	D.C. Zaragoza	17	Hombres	Autónomos	32165
201806	Junio 2018	D.C. Zaragoza	17	Mujeres	Autónomos	18059
201806	Junio 2018	Gúdar-Javalambre	32	Hombres	Autónomos	662
201806	Junio 2018	Gúdar-Javalambre	32	Mujeres	Autónomos	342
201806	Junio 2018	Hoya de Huesca / Plana de Uesca	06	Hombres	Autónomos	3596
201806	Junio 2018	Hoya de Huesca / Plana de Uesca	06	Mujeres	Autónomos	1715
201806	Junio 2018	Jiloca	25	Hombres	Autónomos	959
201806	Junio 2018	Jiloca	25	Mujeres	Autónomos	447
201806	Junio 2018	La Jacetania	01	Hombres	Autónomos	1139
201806	Junio 2018	La Jacetania	01	Mujeres	Autónomos	652
201806	Junio 2018	La Litera / La Llitera	09	Hombres	Autónomos	1448
201806	Junio 2018	La Litera / La Llitera	09	Mujeres	Autónomos	704
201806	Junio 2018	La Ribagorza	04	Hombres	Autónomos	1080
201806	Junio 2018	La Ribagorza	04	Mujeres	Autónomos	536
201806	Junio 2018	Los Monegros	10	Hombres	Autónomos	1885
201806	Junio 2018	Los Monegros	10	Mujeres	Autónomos	816
201806	Junio 2018	Maestrazgo	30	Hombres	Autónomos	365
201806	Junio 2018	Maestrazgo	30	Mujeres	Autónomos	175
201806	Junio 2018	Matarraña / Matarranya	33	Hombres	Autónomos	899
201806	Junio 2018	Matarraña / Matarranya	33	Mujeres	Autónomos	520
201806	Junio 2018	Ribera Alta del Ebro	15	Hombres	Autónomos	1110
201806	Junio 2018	Ribera Alta del Ebro	15	Mujeres	Autónomos	668
201806	Junio 2018	Ribera Baja del Ebro	18	Hombres	Autónomos	533
201806	Junio 2018	Ribera Baja del Ebro	18	Mujeres	Autónomos	345
201806	Junio 2018	Sierra de Albarracín	31	Hombres	Autónomos	352
201806	Junio 2018	Sierra de Albarracín	31	Mujeres	Autónomos	184
201806	Junio 2018	Sobrarbe	03	Hombres	Autónomos	769
201806	Junio 2018	Sobrarbe	03	Mujeres	Autónomos	349
201806	Junio 2018	Somontano de Barbastro	07	Hombres	Autónomos	1528
201806	Junio 2018	Somontano de Barbastro	07	Mujeres	Autónomos	772
201806	Junio 2018	Tarazona y el Moncayo	12	Hombres	Autónomos	722
201806	Junio 2018	Tarazona y el Moncayo	12	Mujeres	Autónomos	410
201806	Junio 2018	Valdejalón	16	Hombres	Autónomos	1605
201806	Junio 2018	Valdejalón	16	Mujeres	Autónomos	665
201803	Marzo 2018	Alto Gállego	02	Hombres	General	2637
201803	Marzo 2018	Alto Gállego	02	Mujeres	General	1965
201803	Marzo 2018	Andorra-Sierra de Arcos	27	Hombres	General	1069
201803	Marzo 2018	Andorra-Sierra de Arcos	27	Mujeres	General	703
201803	Marzo 2018	Aranda	14	Hombres	General	668
201803	Marzo 2018	Aranda	14	Mujeres	General	456
201803	Marzo 2018	Bajo Aragón	28	Hombres	General	3671
201803	Marzo 2018	Bajo Aragón	28	Mujeres	General	3407
201803	Marzo 2018	Bajo Aragón-Caspe / Baix Aragó-Casp	19	Hombres	General	1929
201803	Marzo 2018	Bajo Aragón-Caspe / Baix Aragó-Casp	19	Mujeres	General	1476
201803	Marzo 2018	Bajo Cinca / Baix Cinca	11	Hombres	General	4791
201803	Marzo 2018	Bajo Cinca / Baix Cinca	11	Mujeres	General	3209
201803	Marzo 2018	Bajo Martín	23	Hombres	General	1577
201803	Marzo 2018	Bajo Martín	23	Mujeres	General	567
201803	Marzo 2018	Campo de Belchite	22	Hombres	General	337
201803	Marzo 2018	Campo de Belchite	22	Mujeres	General	282
201803	Marzo 2018	Campo de Borja	13	Hombres	General	1536
201803	Marzo 2018	Campo de Borja	13	Mujeres	General	1500
201803	Marzo 2018	Campo de Cariñena	21	Hombres	General	2759
201803	Marzo 2018	Campo de Cariñena	21	Mujeres	General	1216
201803	Marzo 2018	Campo de Daroca	24	Hombres	General	714
201803	Marzo 2018	Campo de Daroca	24	Mujeres	General	484
201803	Marzo 2018	Cinca Medio	08	Hombres	General	4229
201803	Marzo 2018	Cinca Medio	08	Mujeres	General	2445
201803	Marzo 2018	Cinco Villas	05	Hombres	General	4628
201803	Marzo 2018	Cinco Villas	05	Mujeres	General	3045
201803	Marzo 2018	Comunidad de Calatayud	20	Hombres	General	3684
201803	Marzo 2018	Comunidad de Calatayud	20	Mujeres	General	3707
201803	Marzo 2018	Comunidad de Teruel	29	Hombres	General	10176
201803	Marzo 2018	Comunidad de Teruel	29	Mujeres	General	10127
201803	Marzo 2018	Cuencas Mineras	26	Hombres	General	1000
201803	Marzo 2018	Cuencas Mineras	26	Mujeres	General	732
201803	Marzo 2018	D.C. Zaragoza	17	Hombres	General	132359
201803	Marzo 2018	D.C. Zaragoza	17	Mujeres	General	143158
201803	Marzo 2018	Gúdar-Javalambre	32	Hombres	General	1150
201803	Marzo 2018	Gúdar-Javalambre	32	Mujeres	General	829
201803	Marzo 2018	Hoya de Huesca / Plana de Uesca	06	Hombres	General	13197
201803	Marzo 2018	Hoya de Huesca / Plana de Uesca	06	Mujeres	General	15343
201803	Marzo 2018	Jiloca	25	Hombres	General	1247
201803	Marzo 2018	Jiloca	25	Mujeres	General	1041
201803	Marzo 2018	La Jacetania	01	Hombres	General	2122
201803	Marzo 2018	La Jacetania	01	Mujeres	General	2383
201803	Marzo 2018	La Litera / La Llitera	09	Hombres	General	3547
201803	Marzo 2018	La Litera / La Llitera	09	Mujeres	General	1981
201803	Marzo 2018	La Ribagorza	04	Hombres	General	1859
201803	Marzo 2018	La Ribagorza	04	Mujeres	General	1787
201803	Marzo 2018	Los Monegros	10	Hombres	General	2280
201803	Marzo 2018	Los Monegros	10	Mujeres	General	1273
201803	Marzo 2018	Maestrazgo	30	Hombres	General	227
201803	Marzo 2018	Maestrazgo	30	Mujeres	General	197
201803	Marzo 2018	Matarraña / Matarranya	33	Hombres	General	1039
201803	Marzo 2018	Matarraña / Matarranya	33	Mujeres	General	782
201803	Marzo 2018	Ribera Alta del Ebro	15	Hombres	General	13645
201803	Marzo 2018	Ribera Alta del Ebro	15	Mujeres	General	4339
201803	Marzo 2018	Ribera Baja del Ebro	18	Hombres	General	1547
201803	Marzo 2018	Ribera Baja del Ebro	18	Mujeres	General	1062
201803	Marzo 2018	Sierra de Albarracín	31	Hombres	General	294
201803	Marzo 2018	Sierra de Albarracín	31	Mujeres	General	336
201803	Marzo 2018	Sobrarbe	03	Hombres	General	835
201803	Marzo 2018	Sobrarbe	03	Mujeres	General	857
201803	Marzo 2018	Somontano de Barbastro	07	Hombres	General	3962
201803	Marzo 2018	Somontano de Barbastro	07	Mujeres	General	3820
201803	Marzo 2018	Tarazona y el Moncayo	12	Hombres	General	1696
201803	Marzo 2018	Tarazona y el Moncayo	12	Mujeres	General	1314
201803	Marzo 2018	Valdejalón	16	Hombres	General	7177
201803	Marzo 2018	Valdejalón	16	Mujeres	General	3923
201803	Marzo 2018	Andorra-Sierra de Arcos	27	Hombres	Minería	92
201803	Marzo 2018	Andorra-Sierra de Arcos	27	Mujeres	Minería	2
201803	Marzo 2018	Bajo Aragón	28	Mujeres	Minería	1
201803	Marzo 2018	D.C. Zaragoza	17	Hombres	Minería	19
201803	Marzo 2018	D.C. Zaragoza	17	Mujeres	Minería	5
201803	Marzo 2018	Alto Gállego	02	Hombres	Autónomos	748
201803	Marzo 2018	Alto Gállego	02	Mujeres	Autónomos	459
201803	Marzo 2018	Andorra-Sierra de Arcos	27	Hombres	Autónomos	441
201803	Marzo 2018	Andorra-Sierra de Arcos	27	Mujeres	Autónomos	259
201803	Marzo 2018	Aranda	14	Hombres	Autónomos	420
201803	Marzo 2018	Aranda	14	Mujeres	Autónomos	166
201803	Marzo 2018	Bajo Aragón	28	Hombres	Autónomos	1884
201803	Marzo 2018	Bajo Aragón	28	Mujeres	Autónomos	1037
201803	Marzo 2018	Bajo Aragón-Caspe / Baix Aragó-Casp	19	Hombres	Autónomos	1067
201803	Marzo 2018	Bajo Aragón-Caspe / Baix Aragó-Casp	19	Mujeres	Autónomos	512
201803	Marzo 2018	Bajo Cinca / Baix Cinca	11	Hombres	Autónomos	1864
201803	Marzo 2018	Bajo Cinca / Baix Cinca	11	Mujeres	Autónomos	864
201803	Marzo 2018	Bajo Martín	23	Hombres	Autónomos	393
201803	Marzo 2018	Bajo Martín	23	Mujeres	Autónomos	207
201803	Marzo 2018	Campo de Belchite	22	Hombres	Autónomos	358
201803	Marzo 2018	Campo de Belchite	22	Mujeres	Autónomos	147
201803	Marzo 2018	Campo de Borja	13	Hombres	Autónomos	904
201803	Marzo 2018	Campo de Borja	13	Mujeres	Autónomos	452
201803	Marzo 2018	Campo de Cariñena	21	Hombres	Autónomos	683
201803	Marzo 2018	Campo de Cariñena	21	Mujeres	Autónomos	298
201803	Marzo 2018	Campo de Daroca	24	Hombres	Autónomos	472
201803	Marzo 2018	Campo de Daroca	24	Mujeres	Autónomos	172
201803	Marzo 2018	Cinca Medio	08	Hombres	Autónomos	1363
201803	Marzo 2018	Cinca Medio	08	Mujeres	Autónomos	902
201803	Marzo 2018	Cinco Villas	05	Hombres	Autónomos	2530
201803	Marzo 2018	Cinco Villas	05	Mujeres	Autónomos	1218
201803	Marzo 2018	Comunidad de Calatayud	20	Hombres	Autónomos	2084
201803	Marzo 2018	Comunidad de Calatayud	20	Mujeres	Autónomos	939
201803	Marzo 2018	Comunidad de Teruel	29	Hombres	Autónomos	2488
201803	Marzo 2018	Comunidad de Teruel	29	Mujeres	Autónomos	1278
201803	Marzo 2018	Cuencas Mineras	26	Hombres	Autónomos	365
201803	Marzo 2018	Cuencas Mineras	26	Mujeres	Autónomos	196
201803	Marzo 2018	D.C. Zaragoza	17	Hombres	Autónomos	31967
201803	Marzo 2018	D.C. Zaragoza	17	Mujeres	Autónomos	17880
201803	Marzo 2018	Gúdar-Javalambre	32	Hombres	Autónomos	675
201803	Marzo 2018	Gúdar-Javalambre	32	Mujeres	Autónomos	351
201803	Marzo 2018	Hoya de Huesca / Plana de Uesca	06	Hombres	Autónomos	3595
201803	Marzo 2018	Hoya de Huesca / Plana de Uesca	06	Mujeres	Autónomos	1710
201803	Marzo 2018	Jiloca	25	Hombres	Autónomos	949
201803	Marzo 2018	Jiloca	25	Mujeres	Autónomos	447
201803	Marzo 2018	La Jacetania	01	Hombres	Autónomos	1156
201803	Marzo 2018	La Jacetania	01	Mujeres	Autónomos	651
201803	Marzo 2018	La Litera / La Llitera	09	Hombres	Autónomos	1469
201803	Marzo 2018	La Litera / La Llitera	09	Mujeres	Autónomos	709
201803	Marzo 2018	La Ribagorza	04	Hombres	Autónomos	1072
