Comarca código	Comarca nombre	Condición socioeconómica código	Condición socioeconómica	Sexo	Personas residentes viviendas familiares
01	La Jacetania	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	4
01	La Jacetania	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	1017
01	La Jacetania	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	102
01	La Jacetania	17	Operarios sin especialización de establecimientos no agrarios	Hombres	224
01	La Jacetania	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	18
01	La Jacetania	18	Profesionales de las fuerzas armadas	Hombres	248
01	La Jacetania	18	Profesionales de las fuerzas armadas	Mujeres	22
01	La Jacetania	19	No clasificables por condicion socioeconómica	Hombres	6
01	La Jacetania	19	No clasificables por condicion socioeconómica	Mujeres	5
02	Alto Gállego	1	Empresarios agrarios con asalariados	Hombres	14
02	Alto Gállego	2	Empresarios agrarios sin asalariados	Hombres	115
02	Alto Gállego	2	Empresarios agrarios sin asalariados	Mujeres	20
02	Alto Gállego	3	Miembros de cooperativas agrarias	Hombres	2
02	Alto Gállego	5	Resto de trabajadores de explotaciones agrarias	Hombres	49
02	Alto Gállego	5	Resto de trabajadores de explotaciones agrarias	Mujeres	6
02	Alto Gállego	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	74
02	Alto Gállego	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	38
02	Alto Gállego	7	Empresarios no agrarios con asalariados	Hombres	311
02	Alto Gállego	7	Empresarios no agrarios con asalariados	Mujeres	133
02	Alto Gállego	8	Empresarios no agrarios sin asalariados	Hombres	215
02	Alto Gállego	8	Empresarios no agrarios sin asalariados	Mujeres	172
02	Alto Gállego	9	Miembros de cooperativas no agrarias	Hombres	8
02	Alto Gállego	9	Miembros de cooperativas no agrarias	Mujeres	4
02	Alto Gállego	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	84
02	Alto Gállego	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	23
02	Alto Gállego	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	387
02	Alto Gállego	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	331
02	Alto Gállego	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	5
02	Alto Gállego	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	4
02	Alto Gállego	13	Resto del personal administrativo y comercial	Hombres	267
02	Alto Gállego	13	Resto del personal administrativo y comercial	Mujeres	519
02	Alto Gállego	14	Resto del personal de los servicios	Hombres	178
02	Alto Gállego	14	Resto del personal de los servicios	Mujeres	409
02	Alto Gállego	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	89
02	Alto Gállego	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	3
02	Alto Gállego	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	1185
02	Alto Gállego	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	148
02	Alto Gállego	17	Operarios sin especialización de establecimientos no agrarios	Hombres	183
02	Alto Gállego	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	4
02	Alto Gállego	18	Profesionales de las fuerzas armadas	Hombres	39
02	Alto Gállego	18	Profesionales de las fuerzas armadas	Mujeres	5
02	Alto Gállego	19	No clasificables por condicion socioeconómica	Hombres	1
02	Alto Gállego	19	No clasificables por condicion socioeconómica	Mujeres	7
03	Sobrarbe	1	Empresarios agrarios con asalariados	Hombres	16
03	Sobrarbe	1	Empresarios agrarios con asalariados	Mujeres	2
03	Sobrarbe	2	Empresarios agrarios sin asalariados	Hombres	338
03	Sobrarbe	2	Empresarios agrarios sin asalariados	Mujeres	34
03	Sobrarbe	3	Miembros de cooperativas agrarias	Hombres	1
03	Sobrarbe	5	Resto de trabajadores de explotaciones agrarias	Hombres	61
03	Sobrarbe	5	Resto de trabajadores de explotaciones agrarias	Mujeres	2
03	Sobrarbe	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	26
03	Sobrarbe	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	21
03	Sobrarbe	7	Empresarios no agrarios con asalariados	Hombres	217
03	Sobrarbe	7	Empresarios no agrarios con asalariados	Mujeres	105
03	Sobrarbe	8	Empresarios no agrarios sin asalariados	Hombres	198
03	Sobrarbe	8	Empresarios no agrarios sin asalariados	Mujeres	86
03	Sobrarbe	9	Miembros de cooperativas no agrarias	Hombres	1
03	Sobrarbe	9	Miembros de cooperativas no agrarias	Mujeres	1
03	Sobrarbe	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	42
03	Sobrarbe	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	24
03	Sobrarbe	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	207
03	Sobrarbe	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	157
03	Sobrarbe	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	1
03	Sobrarbe	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	2
03	Sobrarbe	13	Resto del personal administrativo y comercial	Hombres	146
03	Sobrarbe	13	Resto del personal administrativo y comercial	Mujeres	191
03	Sobrarbe	14	Resto del personal de los servicios	Hombres	148
03	Sobrarbe	14	Resto del personal de los servicios	Mujeres	246
03	Sobrarbe	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	24
03	Sobrarbe	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	338
03	Sobrarbe	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	24
03	Sobrarbe	17	Operarios sin especialización de establecimientos no agrarios	Hombres	113
03	Sobrarbe	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	4
03	Sobrarbe	18	Profesionales de las fuerzas armadas	Hombres	3
03	Sobrarbe	18	Profesionales de las fuerzas armadas	Mujeres	1
03	Sobrarbe	19	No clasificables por condicion socioeconómica	Hombres	1
03	Sobrarbe	19	No clasificables por condicion socioeconómica	Mujeres	5
04	La Ribagorza	1	Empresarios agrarios con asalariados	Hombres	54
04	La Ribagorza	1	Empresarios agrarios con asalariados	Mujeres	6
04	La Ribagorza	2	Empresarios agrarios sin asalariados	Hombres	587
04	La Ribagorza	2	Empresarios agrarios sin asalariados	Mujeres	61
04	La Ribagorza	4	Directores y jefes de explotaciones agrarias	Hombres	2
04	La Ribagorza	4	Directores y jefes de explotaciones agrarias	Mujeres	2
04	La Ribagorza	5	Resto de trabajadores de explotaciones agrarias	Hombres	123
04	La Ribagorza	5	Resto de trabajadores de explotaciones agrarias	Mujeres	19
04	La Ribagorza	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	78
04	La Ribagorza	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	33
04	La Ribagorza	7	Empresarios no agrarios con asalariados	Hombres	291
04	La Ribagorza	7	Empresarios no agrarios con asalariados	Mujeres	121
04	La Ribagorza	8	Empresarios no agrarios sin asalariados	Hombres	316
04	La Ribagorza	8	Empresarios no agrarios sin asalariados	Mujeres	209
04	La Ribagorza	9	Miembros de cooperativas no agrarias	Hombres	5
04	La Ribagorza	9	Miembros de cooperativas no agrarias	Mujeres	4
04	La Ribagorza	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	92
04	La Ribagorza	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	31
04	La Ribagorza	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	316
04	La Ribagorza	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	304
04	La Ribagorza	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	4
04	La Ribagorza	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	1
04	La Ribagorza	13	Resto del personal administrativo y comercial	Hombres	220
04	La Ribagorza	13	Resto del personal administrativo y comercial	Mujeres	402
04	La Ribagorza	14	Resto del personal de los servicios	Hombres	166
04	La Ribagorza	14	Resto del personal de los servicios	Mujeres	339
04	La Ribagorza	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	31
04	La Ribagorza	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	2
04	La Ribagorza	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	611
04	La Ribagorza	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	115
04	La Ribagorza	17	Operarios sin especialización de establecimientos no agrarios	Hombres	145
04	La Ribagorza	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	13
04	La Ribagorza	18	Profesionales de las fuerzas armadas	Hombres	17
04	La Ribagorza	18	Profesionales de las fuerzas armadas	Mujeres	3
04	La Ribagorza	19	No clasificables por condicion socioeconómica	Hombres	4
04	La Ribagorza	19	No clasificables por condicion socioeconómica	Mujeres	10
05	Cinco Villas	1	Empresarios agrarios con asalariados	Hombres	235
05	Cinco Villas	1	Empresarios agrarios con asalariados	Mujeres	23
05	Cinco Villas	2	Empresarios agrarios sin asalariados	Hombres	1458
05	Cinco Villas	2	Empresarios agrarios sin asalariados	Mujeres	66
05	Cinco Villas	3	Miembros de cooperativas agrarias	Hombres	27
05	Cinco Villas	3	Miembros de cooperativas agrarias	Mujeres	3
05	Cinco Villas	4	Directores y jefes de explotaciones agrarias	Hombres	5
05	Cinco Villas	4	Directores y jefes de explotaciones agrarias	Mujeres	2
05	Cinco Villas	5	Resto de trabajadores de explotaciones agrarias	Hombres	704
05	Cinco Villas	5	Resto de trabajadores de explotaciones agrarias	Mujeres	66
05	Cinco Villas	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	164
05	Cinco Villas	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	77
05	Cinco Villas	7	Empresarios no agrarios con asalariados	Hombres	583
05	Cinco Villas	7	Empresarios no agrarios con asalariados	Mujeres	182
05	Cinco Villas	8	Empresarios no agrarios sin asalariados	Hombres	828
05	Cinco Villas	8	Empresarios no agrarios sin asalariados	Mujeres	535
05	Cinco Villas	9	Miembros de cooperativas no agrarias	Hombres	26
05	Cinco Villas	9	Miembros de cooperativas no agrarias	Mujeres	61
05	Cinco Villas	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	127
05	Cinco Villas	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	44
05	Cinco Villas	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	588
05	Cinco Villas	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	629
05	Cinco Villas	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	10
05	Cinco Villas	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	11
05	Cinco Villas	13	Resto del personal administrativo y comercial	Hombres	559
05	Cinco Villas	13	Resto del personal administrativo y comercial	Mujeres	960
05	Cinco Villas	14	Resto del personal de los servicios	Hombres	370
05	Cinco Villas	14	Resto del personal de los servicios	Mujeres	582
05	Cinco Villas	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	147
05	Cinco Villas	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	7
05	Cinco Villas	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	2597
05	Cinco Villas	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	981
05	Cinco Villas	17	Operarios sin especialización de establecimientos no agrarios	Hombres	469
05	Cinco Villas	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	64
05	Cinco Villas	18	Profesionales de las fuerzas armadas	Hombres	36
05	Cinco Villas	18	Profesionales de las fuerzas armadas	Mujeres	9
05	Cinco Villas	19	No clasificables por condicion socioeconómica	Hombres	39
05	Cinco Villas	19	No clasificables por condicion socioeconómica	Mujeres	19
06	Hoya de Huesca / Plana de Uesca	1	Empresarios agrarios con asalariados	Hombres	94
06	Hoya de Huesca / Plana de Uesca	1	Empresarios agrarios con asalariados	Mujeres	10
06	Hoya de Huesca / Plana de Uesca	2	Empresarios agrarios sin asalariados	Hombres	1003
06	Hoya de Huesca / Plana de Uesca	2	Empresarios agrarios sin asalariados	Mujeres	59
06	Hoya de Huesca / Plana de Uesca	3	Miembros de cooperativas agrarias	Hombres	7
06	Hoya de Huesca / Plana de Uesca	4	Directores y jefes de explotaciones agrarias	Hombres	9
06	Hoya de Huesca / Plana de Uesca	5	Resto de trabajadores de explotaciones agrarias	Hombres	481
06	Hoya de Huesca / Plana de Uesca	5	Resto de trabajadores de explotaciones agrarias	Mujeres	42
06	Hoya de Huesca / Plana de Uesca	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	453
06	Hoya de Huesca / Plana de Uesca	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	203
06	Hoya de Huesca / Plana de Uesca	7	Empresarios no agrarios con asalariados	Hombres	1209
06	Hoya de Huesca / Plana de Uesca	7	Empresarios no agrarios con asalariados	Mujeres	413
06	Hoya de Huesca / Plana de Uesca	8	Empresarios no agrarios sin asalariados	Hombres	1020
06	Hoya de Huesca / Plana de Uesca	8	Empresarios no agrarios sin asalariados	Mujeres	474
06	Hoya de Huesca / Plana de Uesca	9	Miembros de cooperativas no agrarias	Hombres	26
06	Hoya de Huesca / Plana de Uesca	9	Miembros de cooperativas no agrarias	Mujeres	19
06	Hoya de Huesca / Plana de Uesca	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	508
06	Hoya de Huesca / Plana de Uesca	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	175
06	Hoya de Huesca / Plana de Uesca	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	2636
06	Hoya de Huesca / Plana de Uesca	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	2292
06	Hoya de Huesca / Plana de Uesca	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	91
06	Hoya de Huesca / Plana de Uesca	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	76
06	Hoya de Huesca / Plana de Uesca	13	Resto del personal administrativo y comercial	Hombres	1849
06	Hoya de Huesca / Plana de Uesca	13	Resto del personal administrativo y comercial	Mujeres	3241
06	Hoya de Huesca / Plana de Uesca	14	Resto del personal de los servicios	Hombres	1012
06	Hoya de Huesca / Plana de Uesca	14	Resto del personal de los servicios	Mujeres	2491
06	Hoya de Huesca / Plana de Uesca	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	213
06	Hoya de Huesca / Plana de Uesca	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	5
06	Hoya de Huesca / Plana de Uesca	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	3845
06	Hoya de Huesca / Plana de Uesca	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	471
06	Hoya de Huesca / Plana de Uesca	17	Operarios sin especialización de establecimientos no agrarios	Hombres	684
06	Hoya de Huesca / Plana de Uesca	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	80
06	Hoya de Huesca / Plana de Uesca	18	Profesionales de las fuerzas armadas	Hombres	275
06	Hoya de Huesca / Plana de Uesca	18	Profesionales de las fuerzas armadas	Mujeres	26
06	Hoya de Huesca / Plana de Uesca	19	No clasificables por condicion socioeconómica	Hombres	27
06	Hoya de Huesca / Plana de Uesca	19	No clasificables por condicion socioeconómica	Mujeres	26
07	Somontano de Barbastro	1	Empresarios agrarios con asalariados	Hombres	58
07	Somontano de Barbastro	1	Empresarios agrarios con asalariados	Mujeres	11
07	Somontano de Barbastro	2	Empresarios agrarios sin asalariados	Hombres	569
07	Somontano de Barbastro	2	Empresarios agrarios sin asalariados	Mujeres	67
07	Somontano de Barbastro	3	Miembros de cooperativas agrarias	Hombres	1
07	Somontano de Barbastro	4	Directores y jefes de explotaciones agrarias	Hombres	3
07	Somontano de Barbastro	5	Resto de trabajadores de explotaciones agrarias	Hombres	232
07	Somontano de Barbastro	5	Resto de trabajadores de explotaciones agrarias	Mujeres	44
07	Somontano de Barbastro	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	114
07	Somontano de Barbastro	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	61
07	Somontano de Barbastro	7	Empresarios no agrarios con asalariados	Hombres	466
07	Somontano de Barbastro	7	Empresarios no agrarios con asalariados	Mujeres	168
07	Somontano de Barbastro	8	Empresarios no agrarios sin asalariados	Hombres	439
07	Somontano de Barbastro	8	Empresarios no agrarios sin asalariados	Mujeres	238
07	Somontano de Barbastro	9	Miembros de cooperativas no agrarias	Hombres	5
07	Somontano de Barbastro	9	Miembros de cooperativas no agrarias	Mujeres	23
07	Somontano de Barbastro	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	137
07	Somontano de Barbastro	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	36
07	Somontano de Barbastro	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	622
07	Somontano de Barbastro	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	645
07	Somontano de Barbastro	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	9
07	Somontano de Barbastro	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	6
07	Somontano de Barbastro	13	Resto del personal administrativo y comercial	Hombres	385
07	Somontano de Barbastro	13	Resto del personal administrativo y comercial	Mujeres	876
07	Somontano de Barbastro	14	Resto del personal de los servicios	Hombres	273
07	Somontano de Barbastro	14	Resto del personal de los servicios	Mujeres	740
07	Somontano de Barbastro	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	98
07	Somontano de Barbastro	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	4
07	Somontano de Barbastro	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	1804
07	Somontano de Barbastro	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	232
07	Somontano de Barbastro	17	Operarios sin especialización de establecimientos no agrarios	Hombres	427
07	Somontano de Barbastro	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	87
07	Somontano de Barbastro	18	Profesionales de las fuerzas armadas	Hombres	20
07	Somontano de Barbastro	18	Profesionales de las fuerzas armadas	Mujeres	1
07	Somontano de Barbastro	19	No clasificables por condicion socioeconómica	Hombres	17
07	Somontano de Barbastro	19	No clasificables por condicion socioeconómica	Mujeres	12
08	Cinca Medio	1	Empresarios agrarios con asalariados	Hombres	97
08	Cinca Medio	1	Empresarios agrarios con asalariados	Mujeres	10
08	Cinca Medio	2	Empresarios agrarios sin asalariados	Hombres	571
08	Cinca Medio	2	Empresarios agrarios sin asalariados	Mujeres	70
08	Cinca Medio	3	Miembros de cooperativas agrarias	Hombres	3
08	Cinca Medio	4	Directores y jefes de explotaciones agrarias	Hombres	5
08	Cinca Medio	5	Resto de trabajadores de explotaciones agrarias	Hombres	282
08	Cinca Medio	5	Resto de trabajadores de explotaciones agrarias	Mujeres	35
08	Cinca Medio	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	107
08	Cinca Medio	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	71
08	Cinca Medio	7	Empresarios no agrarios con asalariados	Hombres	388
08	Cinca Medio	7	Empresarios no agrarios con asalariados	Mujeres	162
08	Cinca Medio	8	Empresarios no agrarios sin asalariados	Hombres	422
08	Cinca Medio	8	Empresarios no agrarios sin asalariados	Mujeres	318
08	Cinca Medio	9	Miembros de cooperativas no agrarias	Hombres	15
08	Cinca Medio	9	Miembros de cooperativas no agrarias	Mujeres	51
08	Cinca Medio	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	108
08	Cinca Medio	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	39
08	Cinca Medio	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	513
08	Cinca Medio	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	568
08	Cinca Medio	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	3
08	Cinca Medio	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	6
08	Cinca Medio	13	Resto del personal administrativo y comercial	Hombres	389
08	Cinca Medio	13	Resto del personal administrativo y comercial	Mujeres	769
08	Cinca Medio	14	Resto del personal de los servicios	Hombres	196
08	Cinca Medio	14	Resto del personal de los servicios	Mujeres	501
08	Cinca Medio	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	145
08	Cinca Medio	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	2356
08	Cinca Medio	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	319
08	Cinca Medio	17	Operarios sin especialización de establecimientos no agrarios	Hombres	304
08	Cinca Medio	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	23
08	Cinca Medio	18	Profesionales de las fuerzas armadas	Hombres	12
08	Cinca Medio	18	Profesionales de las fuerzas armadas	Mujeres	4
08	Cinca Medio	19	No clasificables por condicion socioeconómica	Hombres	4
08	Cinca Medio	19	No clasificables por condicion socioeconómica	Mujeres	4
09	La Litera / La Llitera	1	Empresarios agrarios con asalariados	Hombres	118
09	La Litera / La Llitera	1	Empresarios agrarios con asalariados	Mujeres	17
09	La Litera / La Llitera	2	Empresarios agrarios sin asalariados	Hombres	852
09	La Litera / La Llitera	2	Empresarios agrarios sin asalariados	Mujeres	97
09	La Litera / La Llitera	3	Miembros de cooperativas agrarias	Hombres	2
09	La Litera / La Llitera	3	Miembros de cooperativas agrarias	Mujeres	1
09	La Litera / La Llitera	4	Directores y jefes de explotaciones agrarias	Hombres	3
09	La Litera / La Llitera	4	Directores y jefes de explotaciones agrarias	Mujeres	2
09	La Litera / La Llitera	5	Resto de trabajadores de explotaciones agrarias	Hombres	322
09	La Litera / La Llitera	5	Resto de trabajadores de explotaciones agrarias	Mujeres	28
09	La Litera / La Llitera	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	107
09	La Litera / La Llitera	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	55
09	La Litera / La Llitera	7	Empresarios no agrarios con asalariados	Hombres	407
09	La Litera / La Llitera	7	Empresarios no agrarios con asalariados	Mujeres	100
09	La Litera / La Llitera	8	Empresarios no agrarios sin asalariados	Hombres	457
09	La Litera / La Llitera	8	Empresarios no agrarios sin asalariados	Mujeres	301
09	La Litera / La Llitera	9	Miembros de cooperativas no agrarias	Hombres	3
09	La Litera / La Llitera	9	Miembros de cooperativas no agrarias	Mujeres	37
09	La Litera / La Llitera	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	95
09	La Litera / La Llitera	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	25
09	La Litera / La Llitera	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	361
09	La Litera / La Llitera	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	440
09	La Litera / La Llitera	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	4
09	La Litera / La Llitera	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	2
09	La Litera / La Llitera	13	Resto del personal administrativo y comercial	Hombres	353
09	La Litera / La Llitera	13	Resto del personal administrativo y comercial	Mujeres	647
09	La Litera / La Llitera	14	Resto del personal de los servicios	Hombres	121
09	La Litera / La Llitera	14	Resto del personal de los servicios	Mujeres	392
09	La Litera / La Llitera	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	65
09	La Litera / La Llitera	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	1
09	La Litera / La Llitera	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	1384
09	La Litera / La Llitera	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	266
09	La Litera / La Llitera	17	Operarios sin especialización de establecimientos no agrarios	Hombres	317
09	La Litera / La Llitera	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	39
09	La Litera / La Llitera	18	Profesionales de las fuerzas armadas	Hombres	11
09	La Litera / La Llitera	18	Profesionales de las fuerzas armadas	Mujeres	2
09	La Litera / La Llitera	19	No clasificables por condicion socioeconómica	Hombres	8
09	La Litera / La Llitera	19	No clasificables por condicion socioeconómica	Mujeres	21
