Mes y año	'Aragón'	Edad (grupos quinquenales)	Sexo	Nº parados
Abril 2020	Aragón	20-24	Mujeres	3004
Abril 2020	Aragón	25-29	Hombres	3667
Abril 2020	Aragón	25-29	Mujeres	4516
Abril 2020	Aragón	30-34	Hombres	3282
Abril 2020	Aragón	30-34	Mujeres	4768
Abril 2020	Aragón	35-39	Hombres	3357
Abril 2020	Aragón	35-39	Mujeres	5103
Abril 2020	Aragón	40-44	Hombres	3722
Abril 2020	Aragón	40-44	Mujeres	5606
Abril 2020	Aragón	45-49	Hombres	3874
Abril 2020	Aragón	45-49	Mujeres	5314
Abril 2020	Aragón	50-54	Hombres	3953
Abril 2020	Aragón	50-54	Mujeres	5126
Abril 2020	Aragón	55-59	Hombres	4160
Abril 2020	Aragón	55-59	Mujeres	5517
Abril 2020	Aragón	60-64	Hombres	3640
Abril 2020	Aragón	60-64	Mujeres	5489
Marzo 2020	Aragón	16-19	Hombres	1104
Marzo 2020	Aragón	16-19	Mujeres	823
Marzo 2020	Aragón	20-24	Hombres	2662
Marzo 2020	Aragón	20-24	Mujeres	2634
Marzo 2020	Aragón	25-29	Hombres	3037
Marzo 2020	Aragón	25-29	Mujeres	4006
Marzo 2020	Aragón	30-34	Hombres	2764
Marzo 2020	Aragón	30-34	Mujeres	4356
Marzo 2020	Aragón	35-39	Hombres	2877
Marzo 2020	Aragón	35-39	Mujeres	4697
Marzo 2020	Aragón	40-44	Hombres	3239
Marzo 2020	Aragón	40-44	Mujeres	5202
Marzo 2020	Aragón	45-49	Hombres	3438
Marzo 2020	Aragón	45-49	Mujeres	5012
Marzo 2020	Aragón	50-54	Hombres	3631
Marzo 2020	Aragón	50-54	Mujeres	4867
Marzo 2020	Aragón	55-59	Hombres	3978
Marzo 2020	Aragón	55-59	Mujeres	5384
Marzo 2020	Aragón	60-64	Hombres	3417
Marzo 2020	Aragón	60-64	Mujeres	5353
Febrero 2020	Aragón	16-19	Hombres	1052
Febrero 2020	Aragón	16-19	Mujeres	785
Febrero 2020	Aragón	20-24	Hombres	2347
Febrero 2020	Aragón	20-24	Mujeres	2362
Febrero 2020	Aragón	25-29	Hombres	2572
Febrero 2020	Aragón	25-29	Mujeres	3554
Febrero 2020	Aragón	30-34	Hombres	2305
Febrero 2020	Aragón	30-34	Mujeres	4006
Febrero 2020	Aragón	35-39	Hombres	2428
Febrero 2020	Aragón	35-39	Mujeres	4417
Febrero 2020	Aragón	40-44	Hombres	2806
Febrero 2020	Aragón	40-44	Mujeres	4796
Febrero 2020	Aragón	45-49	Hombres	3050
Febrero 2020	Aragón	45-49	Mujeres	4723
Febrero 2020	Aragón	50-54	Hombres	3296
Febrero 2020	Aragón	50-54	Mujeres	4771
Febrero 2020	Aragón	55-59	Hombres	3750
Febrero 2020	Aragón	55-59	Mujeres	5368
Febrero 2020	Aragón	60-64	Hombres	3290
Febrero 2020	Aragón	60-64	Mujeres	5294
Enero 2020	Aragón	16-19	Hombres	980
Enero 2020	Aragón	16-19	Mujeres	766
Enero 2020	Aragón	20-24	Hombres	2285
Enero 2020	Aragón	20-24	Mujeres	2342
Enero 2020	Aragón	25-29	Hombres	2664
Enero 2020	Aragón	25-29	Mujeres	3517
Enero 2020	Aragón	30-34	Hombres	2408
Enero 2020	Aragón	30-34	Mujeres	4081
Enero 2020	Aragón	35-39	Hombres	2512
Enero 2020	Aragón	35-39	Mujeres	4508
Enero 2020	Aragón	40-44	Hombres	2823
Enero 2020	Aragón	40-44	Mujeres	4829
Enero 2020	Aragón	45-49	Hombres	3151
Enero 2020	Aragón	45-49	Mujeres	4766
Enero 2020	Aragón	50-54	Hombres	3402
Enero 2020	Aragón	50-54	Mujeres	4802
Enero 2020	Aragón	55-59	Hombres	3798
Enero 2020	Aragón	55-59	Mujeres	5393
Enero 2020	Aragón	60-64	Hombres	3334
Enero 2020	Aragón	60-64	Mujeres	5274
Diciembre 2019	Aragón	16-19	Hombres	926
Diciembre 2019	Aragón	16-19	Mujeres	700
Diciembre 2019	Aragón	20-24	Hombres	2172
Diciembre 2019	Aragón	20-24	Mujeres	2115
Diciembre 2019	Aragón	25-29	Hombres	2535
Diciembre 2019	Aragón	25-29	Mujeres	3240
Diciembre 2019	Aragón	30-34	Hombres	2303
Diciembre 2019	Aragón	30-34	Mujeres	3864
Diciembre 2019	Aragón	35-39	Hombres	2515
Diciembre 2019	Aragón	35-39	Mujeres	4313
Diciembre 2019	Aragón	40-44	Hombres	2828
Diciembre 2019	Aragón	40-44	Mujeres	4570
Diciembre 2019	Aragón	45-49	Hombres	3108
Diciembre 2019	Aragón	45-49	Mujeres	4505
Diciembre 2019	Aragón	50-54	Hombres	3333
Diciembre 2019	Aragón	50-54	Mujeres	4492
Diciembre 2019	Aragón	55-59	Hombres	3757
Diciembre 2019	Aragón	55-59	Mujeres	5203
Diciembre 2019	Aragón	60-64	Hombres	3245
Diciembre 2019	Aragón	60-64	Mujeres	5132
Noviembre 2019	Aragón	16-19	Hombres	1000
Noviembre 2019	Aragón	16-19	Mujeres	778
Noviembre 2019	Aragón	20-24	Hombres	2282
Noviembre 2019	Aragón	20-24	Mujeres	2352
Noviembre 2019	Aragón	25-29	Hombres	2486
Noviembre 2019	Aragón	25-29	Mujeres	3376
Noviembre 2019	Aragón	30-34	Hombres	2241
Noviembre 2019	Aragón	30-34	Mujeres	3937
Noviembre 2019	Aragón	35-39	Hombres	2379
Noviembre 2019	Aragón	35-39	Mujeres	4371
Noviembre 2019	Aragón	40-44	Hombres	2678
Noviembre 2019	Aragón	40-44	Mujeres	4666
Noviembre 2019	Aragón	45-49	Hombres	3013
Noviembre 2019	Aragón	45-49	Mujeres	4548
Noviembre 2019	Aragón	50-54	Hombres	3238
Noviembre 2019	Aragón	50-54	Mujeres	4585
Noviembre 2019	Aragón	55-59	Hombres	3646
Noviembre 2019	Aragón	55-59	Mujeres	5248
Noviembre 2019	Aragón	60-64	Hombres	3229
Noviembre 2019	Aragón	60-64	Mujeres	5170
Octubre 2019	Aragón	16-19	Hombres	1040
Octubre 2019	Aragón	16-19	Mujeres	820
Octubre 2019	Aragón	20-24	Hombres	2323
Octubre 2019	Aragón	20-24	Mujeres	2371
Octubre 2019	Aragón	25-29	Hombres	2535
Octubre 2019	Aragón	25-29	Mujeres	3453
Octubre 2019	Aragón	30-34	Hombres	2258
Octubre 2019	Aragón	30-34	Mujeres	3920
Octubre 2019	Aragón	35-39	Hombres	2365
Octubre 2019	Aragón	35-39	Mujeres	4277
Octubre 2019	Aragón	40-44	Hombres	2702
Octubre 2019	Aragón	40-44	Mujeres	4656
Octubre 2019	Aragón	45-49	Hombres	3015
Octubre 2019	Aragón	45-49	Mujeres	4616
Octubre 2019	Aragón	50-54	Hombres	3182
Octubre 2019	Aragón	50-54	Mujeres	4507
Octubre 2019	Aragón	55-59	Hombres	3655
Octubre 2019	Aragón	55-59	Mujeres	5226
Octubre 2019	Aragón	60-64	Hombres	3199
Octubre 2019	Aragón	60-64	Mujeres	5115
Septiembre 2019	Aragón	16-19	Hombres	1056
Septiembre 2019	Aragón	16-19	Mujeres	833
Septiembre 2019	Aragón	20-24	Hombres	2184
Septiembre 2019	Aragón	20-24	Mujeres	2281
Septiembre 2019	Aragón	25-29	Hombres	2417
Septiembre 2019	Aragón	25-29	Mujeres	3270
Septiembre 2019	Aragón	30-34	Hombres	2139
Septiembre 2019	Aragón	30-34	Mujeres	3736
Septiembre 2019	Aragón	35-39	Hombres	2216
Septiembre 2019	Aragón	35-39	Mujeres	4130
Septiembre 2019	Aragón	40-44	Hombres	2561
Septiembre 2019	Aragón	40-44	Mujeres	4545
Septiembre 2019	Aragón	45-49	Hombres	2894
Septiembre 2019	Aragón	45-49	Mujeres	4458
Septiembre 2019	Aragón	50-54	Hombres	3052
Septiembre 2019	Aragón	50-54	Mujeres	4383
Septiembre 2019	Aragón	55-59	Hombres	3500
Septiembre 2019	Aragón	55-59	Mujeres	5135
Septiembre 2019	Aragón	60-64	Hombres	3062
Septiembre 2019	Aragón	60-64	Mujeres	5011
Agosto 2019	Aragón	16-19	Hombres	1023
Agosto 2019	Aragón	16-19	Mujeres	783
Agosto 2019	Aragón	20-24	Hombres	1974
Agosto 2019	Aragón	20-24	Mujeres	1973
Agosto 2019	Aragón	25-29	Hombres	2318
Agosto 2019	Aragón	25-29	Mujeres	3259
Agosto 2019	Aragón	30-34	Hombres	2069
Agosto 2019	Aragón	30-34	Mujeres	3783
Agosto 2019	Aragón	35-39	Hombres	2244
Agosto 2019	Aragón	35-39	Mujeres	4034
Agosto 2019	Aragón	40-44	Hombres	2592
Agosto 2019	Aragón	40-44	Mujeres	4438
Agosto 2019	Aragón	45-49	Hombres	2857
Agosto 2019	Aragón	45-49	Mujeres	4329
Agosto 2019	Aragón	50-54	Hombres	2979
Agosto 2019	Aragón	50-54	Mujeres	4296
Agosto 2019	Aragón	55-59	Hombres	3480
Agosto 2019	Aragón	55-59	Mujeres	5114
Agosto 2019	Aragón	60-64	Hombres	2965
Agosto 2019	Aragón	60-64	Mujeres	4973
Julio 2019	Aragón	16-19	Hombres	1139
Julio 2019	Aragón	16-19	Mujeres	843
Julio 2019	Aragón	20-24	Hombres	1833
Julio 2019	Aragón	20-24	Mujeres	1814
Julio 2019	Aragón	25-29	Hombres	2126
Julio 2019	Aragón	25-29	Mujeres	3119
Julio 2019	Aragón	30-34	Hombres	2014
Julio 2019	Aragón	30-34	Mujeres	3719
Julio 2019	Aragón	35-39	Hombres	2146
Julio 2019	Aragón	35-39	Mujeres	4048
Julio 2019	Aragón	40-44	Hombres	2467
Julio 2019	Aragón	40-44	Mujeres	4438
Julio 2019	Aragón	45-49	Hombres	2813
Julio 2019	Aragón	45-49	Mujeres	4264
Julio 2019	Aragón	50-54	Hombres	2912
Julio 2019	Aragón	50-54	Mujeres	4320
Julio 2019	Aragón	55-59	Hombres	3443
Julio 2019	Aragón	55-59	Mujeres	5084
Julio 2019	Aragón	60-64	Hombres	2976
Julio 2019	Aragón	60-64	Mujeres	4936
Junio 2019	Aragón	16-19	Hombres	1178
Junio 2019	Aragón	16-19	Mujeres	843
Junio 2019	Aragón	20-24	Hombres	1859
Junio 2019	Aragón	20-24	Mujeres	1835
Junio 2019	Aragón	25-29	Hombres	2119
Junio 2019	Aragón	25-29	Mujeres	3018
Junio 2019	Aragón	30-34	Hombres	1976
Junio 2019	Aragón	30-34	Mujeres	3578
Junio 2019	Aragón	35-39	Hombres	2131
Junio 2019	Aragón	35-39	Mujeres	3987
Junio 2019	Aragón	40-44	Hombres	2334
Junio 2019	Aragón	40-44	Mujeres	4354
Junio 2019	Aragón	45-49	Hombres	2678
Junio 2019	Aragón	45-49	Mujeres	4249
Junio 2019	Aragón	50-54	Hombres	2832
Junio 2019	Aragón	50-54	Mujeres	4324
Junio 2019	Aragón	55-59	Hombres	3348
Junio 2019	Aragón	55-59	Mujeres	5100
Junio 2019	Aragón	60-64	Hombres	2905
Junio 2019	Aragón	60-64	Mujeres	4860
Mayo 2019	Aragón	16-19	Hombres	1050
Mayo 2019	Aragón	16-19	Mujeres	823
Mayo 2019	Aragón	20-24	Hombres	1972
Mayo 2019	Aragón	20-24	Mujeres	2080
Mayo 2019	Aragón	25-29	Hombres	2205
Mayo 2019	Aragón	25-29	Mujeres	3162
Mayo 2019	Aragón	30-34	Hombres	2014
Mayo 2019	Aragón	30-34	Mujeres	3656
Mayo 2019	Aragón	35-39	Hombres	2173
Mayo 2019	Aragón	35-39	Mujeres	3992
Mayo 2019	Aragón	40-44	Hombres	2433
Mayo 2019	Aragón	40-44	Mujeres	4382
Mayo 2019	Aragón	45-49	Hombres	2728
Mayo 2019	Aragón	45-49	Mujeres	4352
Mayo 2019	Aragón	50-54	Hombres	2941
Mayo 2019	Aragón	50-54	Mujeres	4474
Mayo 2019	Aragón	55-59	Hombres	3388
Mayo 2019	Aragón	55-59	Mujeres	5163
Mayo 2019	Aragón	60-64	Hombres	2882
Mayo 2019	Aragón	60-64	Mujeres	4861
Abril 2019	Aragón	16-19	Hombres	1067
Abril 2019	Aragón	16-19	Mujeres	831
Abril 2019	Aragón	20-24	Hombres	2158
Abril 2019	Aragón	20-24	Mujeres	2204
Abril 2019	Aragón	25-29	Hombres	2340
Abril 2019	Aragón	25-29	Mujeres	3255
Abril 2019	Aragón	30-34	Hombres	2171
Abril 2019	Aragón	30-34	Mujeres	3822
Abril 2019	Aragón	35-39	Hombres	2381
Abril 2019	Aragón	35-39	Mujeres	4252
Abril 2019	Aragón	40-44	Hombres	2687
Abril 2019	Aragón	40-44	Mujeres	4615
Abril 2019	Aragón	45-49	Hombres	2991
Abril 2019	Aragón	45-49	Mujeres	4575
Abril 2019	Aragón	50-54	Hombres	3166
Abril 2019	Aragón	50-54	Mujeres	4615
Abril 2019	Aragón	55-59	Hombres	3641
Abril 2019	Aragón	55-59	Mujeres	5229
Abril 2019	Aragón	60-64	Hombres	2900
Abril 2019	Aragón	60-64	Mujeres	4850
Marzo 2019	Aragón	16-19	Hombres	1116
Marzo 2019	Aragón	16-19	Mujeres	839
Marzo 2019	Aragón	20-24	Hombres	2286
Marzo 2019	Aragón	20-24	Mujeres	2321
Marzo 2019	Aragón	25-29	Hombres	2405
Marzo 2019	Aragón	25-29	Mujeres	3388
Marzo 2019	Aragón	30-34	Hombres	2194
Marzo 2019	Aragón	30-34	Mujeres	3997
Marzo 2019	Aragón	35-39	Hombres	2476
Marzo 2019	Aragón	35-39	Mujeres	4436
Marzo 2019	Aragón	40-44	Hombres	2754
Marzo 2019	Aragón	40-44	Mujeres	4824
Marzo 2019	Aragón	45-49	Hombres	3095
Marzo 2019	Aragón	45-49	Mujeres	4697
Marzo 2019	Aragón	50-54	Hombres	3187
Marzo 2019	Aragón	50-54	Mujeres	4676
Marzo 2019	Aragón	55-59	Hombres	3688
Marzo 2019	Aragón	55-59	Mujeres	5290
Marzo 2019	Aragón	60-64	Hombres	2898
Marzo 2019	Aragón	60-64	Mujeres	4845
Febrero 2019	Aragón	16-19	Hombres	1125
Febrero 2019	Aragón	16-19	Mujeres	859
Febrero 2019	Aragón	20-24	Hombres	2362
Febrero 2019	Aragón	20-24	Mujeres	2352
Febrero 2019	Aragón	25-29	Hombres	2473
Febrero 2019	Aragón	25-29	Mujeres	3490
Febrero 2019	Aragón	30-34	Hombres	2341
Febrero 2019	Aragón	30-34	Mujeres	4105
Febrero 2019	Aragón	35-39	Hombres	2577
Febrero 2019	Aragón	35-39	Mujeres	4626
Febrero 2019	Aragón	40-44	Hombres	2860
Febrero 2019	Aragón	40-44	Mujeres	5048
Febrero 2019	Aragón	45-49	Hombres	3203
Febrero 2019	Aragón	45-49	Mujeres	4820
Febrero 2019	Aragón	50-54	Hombres	3262
Febrero 2019	Aragón	50-54	Mujeres	4732
Febrero 2019	Aragón	55-59	Hombres	3779
Febrero 2019	Aragón	55-59	Mujeres	5226
Febrero 2019	Aragón	60-64	Hombres	2906
Febrero 2019	Aragón	60-64	Mujeres	4816
Enero 2019	Aragón	16-19	Hombres	1142
Enero 2019	Aragón	16-19	Mujeres	865
Enero 2019	Aragón	20-24	Hombres	2460
Enero 2019	Aragón	20-24	Mujeres	2352
Enero 2019	Aragón	25-29	Hombres	2577
Enero 2019	Aragón	25-29	Mujeres	3619
Enero 2019	Aragón	30-34	Hombres	2433
Enero 2019	Aragón	30-34	Mujeres	4252
Enero 2019	Aragón	35-39	Hombres	2659
Enero 2019	Aragón	35-39	Mujeres	4823
Enero 2019	Aragón	40-44	Hombres	3019
Enero 2019	Aragón	40-44	Mujeres	5259
Enero 2019	Aragón	45-49	Hombres	3347
Enero 2019	Aragón	45-49	Mujeres	5050
Enero 2019	Aragón	50-54	Hombres	3352
Enero 2019	Aragón	50-54	Mujeres	4888
Enero 2019	Aragón	55-59	Hombres	3935
Enero 2019	Aragón	55-59	Mujeres	5337
Enero 2019	Aragón	60-64	Hombres	2921
Enero 2019	Aragón	60-64	Mujeres	4769
Diciembre 2018	Aragón	16-19	Hombres	1043
Diciembre 2018	Aragón	16-19	Mujeres	780
Diciembre 2018	Aragón	20-24	Hombres	2239
Diciembre 2018	Aragón	20-24	Mujeres	2201
Diciembre 2018	Aragón	25-29	Hombres	2436
Diciembre 2018	Aragón	25-29	Mujeres	3273
Diciembre 2018	Aragón	30-34	Hombres	2368
Diciembre 2018	Aragón	30-34	Mujeres	4009
Diciembre 2018	Aragón	35-39	Hombres	2751
Diciembre 2018	Aragón	35-39	Mujeres	4557
Diciembre 2018	Aragón	40-44	Hombres	2976
Diciembre 2018	Aragón	40-44	Mujeres	5018
Diciembre 2018	Aragón	45-49	Hombres	3285
Diciembre 2018	Aragón	45-49	Mujeres	4815
Diciembre 2018	Aragón	50-54	Hombres	3290
Diciembre 2018	Aragón	50-54	Mujeres	4697
Diciembre 2018	Aragón	55-59	Hombres	3813
Diciembre 2018	Aragón	55-59	Mujeres	5110
Diciembre 2018	Aragón	60-64	Hombres	2887
Diciembre 2018	Aragón	60-64	Mujeres	4631
Noviembre 2018	Aragón	16-19	Hombres	1083
Noviembre 2018	Aragón	16-19	Mujeres	862
Noviembre 2018	Aragón	20-24	Hombres	2236
Noviembre 2018	Aragón	20-24	Mujeres	2463
Noviembre 2018	Aragón	25-29	Hombres	2372
Noviembre 2018	Aragón	25-29	Mujeres	3414
Noviembre 2018	Aragón	30-34	Hombres	2279
Noviembre 2018	Aragón	30-34	Mujeres	4063
Noviembre 2018	Aragón	35-39	Hombres	2629
Noviembre 2018	Aragón	35-39	Mujeres	4639
Noviembre 2018	Aragón	40-44	Hombres	2870
Noviembre 2018	Aragón	40-44	Mujeres	5092
Noviembre 2018	Aragón	45-49	Hombres	3115
Noviembre 2018	Aragón	45-49	Mujeres	4894
Noviembre 2018	Aragón	50-54	Hombres	3207
Noviembre 2018	Aragón	50-54	Mujeres	4774
Noviembre 2018	Aragón	55-59	Hombres	3743
Noviembre 2018	Aragón	55-59	Mujeres	5210
Noviembre 2018	Aragón	60-64	Hombres	2875
Noviembre 2018	Aragón	60-64	Mujeres	4664
Octubre 2018	Aragón	16-19	Hombres	1071
Octubre 2018	Aragón	16-19	Mujeres	841
Octubre 2018	Aragón	20-24	Hombres	2225
Octubre 2018	Aragón	20-24	Mujeres	2396
Octubre 2018	Aragón	25-29	Hombres	2317
Octubre 2018	Aragón	25-29	Mujeres	3400
Octubre 2018	Aragón	30-34	Hombres	2271
Octubre 2018	Aragón	30-34	Mujeres	3994
Octubre 2018	Aragón	35-39	Hombres	2572
Octubre 2018	Aragón	35-39	Mujeres	4534
Octubre 2018	Aragón	40-44	Hombres	2818
Octubre 2018	Aragón	40-44	Mujeres	5025
Octubre 2018	Aragón	45-49	Hombres	3160
Octubre 2018	Aragón	45-49	Mujeres	4853
Octubre 2018	Aragón	50-54	Hombres	3173
Octubre 2018	Aragón	50-54	Mujeres	4741
Octubre 2018	Aragón	55-59	Hombres	3755
Octubre 2018	Aragón	55-59	Mujeres	5241
Octubre 2018	Aragón	60-64	Hombres	2850
Octubre 2018	Aragón	60-64	Mujeres	4607
Septiembre 2018	Aragón	16-19	Hombres	1065
Septiembre 2018	Aragón	16-19	Mujeres	880
Septiembre 2018	Aragón	20-24	Hombres	2082
Septiembre 2018	Aragón	20-24	Mujeres	2267
Septiembre 2018	Aragón	25-29	Hombres	2235
Septiembre 2018	Aragón	25-29	Mujeres	3224
Septiembre 2018	Aragón	30-34	Hombres	2124
Septiembre 2018	Aragón	30-34	Mujeres	3791
Septiembre 2018	Aragón	35-39	Hombres	2469
Septiembre 2018	Aragón	35-39	Mujeres	4393
Septiembre 2018	Aragón	40-44	Hombres	2679
Septiembre 2018	Aragón	40-44	Mujeres	4880
Septiembre 2018	Aragón	45-49	Hombres	3023
Septiembre 2018	Aragón	45-49	Mujeres	4703
Septiembre 2018	Aragón	50-54	Hombres	3104
Septiembre 2018	Aragón	50-54	Mujeres	4551
Septiembre 2018	Aragón	55-59	Hombres	3681
Septiembre 2018	Aragón	55-59	Mujeres	5130
Septiembre 2018	Aragón	60-64	Hombres	2822
Septiembre 2018	Aragón	60-64	Mujeres	4568
Agosto 2018	Aragón	16-19	Hombres	1004
Agosto 2018	Aragón	16-19	Mujeres	809
Agosto 2018	Aragón	20-24	Hombres	1887
Agosto 2018	Aragón	20-24	Mujeres	2026
Agosto 2018	Aragón	25-29	Hombres	2133
Agosto 2018	Aragón	25-29	Mujeres	3185
Agosto 2018	Aragón	30-34	Hombres	2071
Agosto 2018	Aragón	30-34	Mujeres	3827
Agosto 2018	Aragón	35-39	Hombres	2450
Agosto 2018	Aragón	35-39	Mujeres	4356
Agosto 2018	Aragón	40-44	Hombres	2731
Agosto 2018	Aragón	40-44	Mujeres	4770
Agosto 2018	Aragón	45-49	Hombres	2954
Agosto 2018	Aragón	45-49	Mujeres	4622
Agosto 2018	Aragón	50-54	Hombres	3051
Agosto 2018	Aragón	50-54	Mujeres	4528
Agosto 2018	Aragón	55-59	Hombres	3672
Agosto 2018	Aragón	55-59	Mujeres	5109
Agosto 2018	Aragón	60-64	Hombres	2758
Agosto 2018	Aragón	60-64	Mujeres	4527
Julio 2018	Aragón	16-19	Hombres	1052
Julio 2018	Aragón	16-19	Mujeres	822
Julio 2018	Aragón	20-24	Hombres	1772
Julio 2018	Aragón	20-24	Mujeres	1871
Julio 2018	Aragón	25-29	Hombres	1989
Julio 2018	Aragón	25-29	Mujeres	3044
Julio 2018	Aragón	30-34	Hombres	1858
Julio 2018	Aragón	30-34	Mujeres	3741
Julio 2018	Aragón	35-39	Hombres	2278
Julio 2018	Aragón	35-39	Mujeres	4289
Julio 2018	Aragón	40-44	Hombres	2588
Julio 2018	Aragón	40-44	Mujeres	4748
Julio 2018	Aragón	45-49	Hombres	2849
Julio 2018	Aragón	45-49	Mujeres	4541
Julio 2018	Aragón	50-54	Hombres	2976
Julio 2018	Aragón	50-54	Mujeres	4453
Julio 2018	Aragón	55-59	Hombres	3590
Julio 2018	Aragón	55-59	Mujeres	5111
Julio 2018	Aragón	60-64	Hombres	2724
Julio 2018	Aragón	60-64	Mujeres	4510
Junio 2018	Aragón	16-19	Hombres	1107
Junio 2018	Aragón	16-19	Mujeres	825
Junio 2018	Aragón	20-24	Hombres	1841
Junio 2018	Aragón	20-24	Mujeres	1884
Junio 2018	Aragón	25-29	Hombres	2008
Junio 2018	Aragón	25-29	Mujeres	3110
Junio 2018	Aragón	30-34	Hombres	1913
Junio 2018	Aragón	30-34	Mujeres	3736
Junio 2018	Aragón	35-39	Hombres	2185
Junio 2018	Aragón	35-39	Mujeres	4371
Junio 2018	Aragón	40-44	Hombres	2428
Junio 2018	Aragón	40-44	Mujeres	4758
Junio 2018	Aragón	45-49	Hombres	2798
Junio 2018	Aragón	45-49	Mujeres	4582
Junio 2018	Aragón	50-54	Hombres	2982
Junio 2018	Aragón	50-54	Mujeres	4527
Junio 2018	Aragón	55-59	Hombres	3604
Junio 2018	Aragón	55-59	Mujeres	5110
Junio 2018	Aragón	60-64	Hombres	2732
Junio 2018	Aragón	60-64	Mujeres	4543
Mayo 2018	Aragón	16-19	Hombres	1100
Mayo 2018	Aragón	16-19	Mujeres	832
Mayo 2018	Aragón	20-24	Hombres	2036
Mayo 2018	Aragón	20-24	Mujeres	2172
Mayo 2018	Aragón	25-29	Hombres	2193
Mayo 2018	Aragón	25-29	Mujeres	3340
Mayo 2018	Aragón	30-34	Hombres	2086
Mayo 2018	Aragón	30-34	Mujeres	3912
Mayo 2018	Aragón	35-39	Hombres	2419
Mayo 2018	Aragón	35-39	Mujeres	4585
Mayo 2018	Aragón	40-44	Hombres	2662
Mayo 2018	Aragón	40-44	Mujeres	4944
Mayo 2018	Aragón	45-49	Hombres	3010
Mayo 2018	Aragón	45-49	Mujeres	4704
Mayo 2018	Aragón	50-54	Hombres	3190
Mayo 2018	Aragón	50-54	Mujeres	4643
Mayo 2018	Aragón	55-59	Hombres	3783
Mayo 2018	Aragón	55-59	Mujeres	5208
Mayo 2018	Aragón	60-64	Hombres	2787
Mayo 2018	Aragón	60-64	Mujeres	4600
Abril 2018	Aragón	16-19	Hombres	1124
Abril 2018	Aragón	16-19	Mujeres	824
Abril 2018	Aragón	20-24	Hombres	2267
Abril 2018	Aragón	20-24	Mujeres	2346
Abril 2018	Aragón	25-29	Hombres	2428
Abril 2018	Aragón	25-29	Mujeres	3576
Abril 2018	Aragón	30-34	Hombres	2325
Abril 2018	Aragón	30-34	Mujeres	4103
Abril 2018	Aragón	35-39	Hombres	2792
Abril 2018	Aragón	35-39	Mujeres	4853
Abril 2018	Aragón	40-44	Hombres	2931
Abril 2018	Aragón	40-44	Mujeres	5172
Abril 2018	Aragón	45-49	Hombres	3268
Abril 2018	Aragón	45-49	Mujeres	4988
Abril 2018	Aragón	50-54	Hombres	3487
Abril 2018	Aragón	50-54	Mujeres	4874
Abril 2018	Aragón	55-59	Hombres	4002
Abril 2018	Aragón	55-59	Mujeres	5285
Abril 2018	Aragón	60-64	Hombres	2832
Abril 2018	Aragón	60-64	Mujeres	4637
Marzo 2018	Aragón	16-19	Hombres	1170
Marzo 2018	Aragón	16-19	Mujeres	854
Marzo 2018	Aragón	20-24	Hombres	2375
Marzo 2018	Aragón	20-24	Mujeres	2439
Marzo 2018	Aragón	25-29	Hombres	2528
Marzo 2018	Aragón	25-29	Mujeres	3667
Marzo 2018	Aragón	30-34	Hombres	2415
Marzo 2018	Aragón	30-34	Mujeres	4193
Marzo 2018	Aragón	35-39	Hombres	2891
Marzo 2018	Aragón	35-39	Mujeres	4993
