Año	Residencia provincia código	Residencia provincia nombre	Edad (grandes grupos)	Sexo	Personas
2010	44	Teruel	0 a 15	Hombres	10166
2010	44	Teruel	16 a 64	Hombres	48699
2010	44	Teruel	65 y más	Hombres	15698
2010	50	Zaragoza	0 a 15	Hombres	73464
2010	50	Zaragoza	16 a 64	Hombres	331133
2010	50	Zaragoza	65 y más	Hombres	77493
2011	22	Huesca	0 a 15	Hombres	16497
2011	22	Huesca	16 a 64	Hombres	77815
2011	22	Huesca	65 y más	Hombres	21912
2011	44	Teruel	0 a 15	Hombres	10160
2011	44	Teruel	16 a 64	Hombres	48299
2011	44	Teruel	65 y más	Hombres	15549
2011	50	Zaragoza	0 a 15	Hombres	74326
2011	50	Zaragoza	16 a 64	Hombres	327986
2011	50	Zaragoza	65 y más	Hombres	78742
2012	22	Huesca	0 a 15	Hombres	16486
2012	22	Huesca	16 a 64	Hombres	77052
2012	22	Huesca	65 y más	Hombres	21974
2012	44	Teruel	0 a 15	Hombres	10158
2012	44	Teruel	16 a 64	Hombres	48023
2012	44	Teruel	65 y más	Hombres	15297
2012	50	Zaragoza	0 a 15	Hombres	75439
2012	50	Zaragoza	16 a 64	Hombres	327702
2012	50	Zaragoza	65 y más	Hombres	79767
2013	22	Huesca	0 a 15	Hombres	16556
2013	22	Huesca	16 a 64	Hombres	76253
2013	22	Huesca	65 y más	Hombres	21972
2013	44	Teruel	0 a 15	Hombres	10049
2013	44	Teruel	16 a 64	Hombres	47338
2013	44	Teruel	65 y más	Hombres	15142
2013	50	Zaragoza	0 a 15	Hombres	75732
2013	50	Zaragoza	16 a 64	Hombres	326066
2013	50	Zaragoza	65 y más	Hombres	80879
2014	22	Huesca	0 a 15	Hombres	16542
2014	22	Huesca	16 a 64	Hombres	75171
2014	22	Huesca	65 y más	Hombres	22127
2014	44	Teruel	0 a 15	Hombres	9961
2014	44	Teruel	16 a 64	Hombres	46359
2014	44	Teruel	65 y más	Hombres	15129
2014	50	Zaragoza	0 a 15	Hombres	74867
2014	50	Zaragoza	16 a 64	Hombres	314802
2014	50	Zaragoza	65 y más	Hombres	82006
2015	22	Huesca	0 a 15	Hombres	16326
2015	22	Huesca	16 a 64	Hombres	74088
2015	22	Huesca	65 y más	Hombres	22212
2015	44	Teruel	0 a 15	Hombres	9864
2015	44	Teruel	16 a 64	Hombres	45678
2015	44	Teruel	65 y más	Hombres	15063
2015	50	Zaragoza	0 a 15	Hombres	75021
2015	50	Zaragoza	16 a 64	Hombres	311370
2015	50	Zaragoza	65 y más	Hombres	83065
2016	22	Huesca	0 a 15	Hombres	16256
2016	22	Huesca	16 a 64	Hombres	73214
2016	22	Huesca	65 y más	Hombres	22127
2016	44	Teruel	0 a 15	Hombres	9697
2016	44	Teruel	16 a 64	Hombres	44886
2016	44	Teruel	65 y más	Hombres	14921
2016	50	Zaragoza	0 a 15	Hombres	74903
2016	50	Zaragoza	16 a 64	Hombres	307349
2016	50	Zaragoza	65 y más	Hombres	83853
2017	22	Huesca	0 a 15	Hombres	16229
2017	22	Huesca	16 a 64	Hombres	72530
2017	22	Huesca	65 y más	Hombres	22095
2017	44	Teruel	0 a 15	Hombres	9559
2017	44	Teruel	16 a 64	Hombres	44248
2017	44	Teruel	65 y más	Hombres	14877
2017	50	Zaragoza	0 a 15	Hombres	75268
2017	50	Zaragoza	16 a 64	Hombres	306377
2017	50	Zaragoza	65 y más	Hombres	84712
2018	22	Huesca	0 a 15	Hombres	16193
2018	22	Huesca	16 a 64	Hombres	72178
2018	22	Huesca	65 y más	Hombres	22228
2018	44	Teruel	0 a 15	Hombres	9428
2018	44	Teruel	16 a 64	Hombres	43806
2018	44	Teruel	65 y más	Hombres	14826
2018	50	Zaragoza	0 a 15	Hombres	75310
2018	50	Zaragoza	16 a 64	Hombres	305623
2018	50	Zaragoza	65 y más	Hombres	85906
