Municipio código	Municipio nombre	Número de personas en el hogar	Número hogares
22182	Plan	02	25
22182	Plan	03	18
22182	Plan	04	16
22182	Plan	05	11
22182	Plan	06	3
22182	Plan	07	3
22182	Plan	08	1
22182	Plan	09	1
22184	Poleñino	01	18
22184	Poleñino	02	20
22184	Poleñino	03	10
22184	Poleñino	04	21
22184	Poleñino	05	7
22184	Poleñino	06	4
22184	Poleñino	08	1
22184	Poleñino	09	1
22186	Pozán de Vero	01	25
22186	Pozán de Vero	02	24
22186	Pozán de Vero	03	17
22186	Pozán de Vero	04	11
22186	Pozán de Vero	05	10
22186	Pozán de Vero	06	3
22186	Pozán de Vero	07	1
22187	Puebla de Castro (La)	01	43
22187	Puebla de Castro (La)	02	42
22187	Puebla de Castro (La)	03	22
22187	Puebla de Castro (La)	04	19
22187	Puebla de Castro (La)	05	9
22187	Puebla de Castro (La)	07	1
22188	Puente de Montañana	01	19
22188	Puente de Montañana	02	16
22188	Puente de Montañana	03	4
22188	Puente de Montañana	04	9
22188	Puente de Montañana	05	3
22189	Puértolas	01	29
22189	Puértolas	02	16
22189	Puértolas	03	8
22189	Puértolas	04	6
22189	Puértolas	05	5
22189	Puértolas	06	2
22189	Puértolas	07	2
22189	Puértolas	08	4
22189	Puértolas	09	1
22189	Puértolas	10 o más	1
22190	Pueyo de Araguás (El)	01	14
22190	Pueyo de Araguás (El)	02	8
22190	Pueyo de Araguás (El)	03	12
22190	Pueyo de Araguás (El)	04	3
22190	Pueyo de Araguás (El)	05	4
22190	Pueyo de Araguás (El)	06	4
22190	Pueyo de Araguás (El)	07	2
22190	Pueyo de Araguás (El)	09	1
22193	Pueyo de Santa Cruz	01	15
22193	Pueyo de Santa Cruz	02	33
22193	Pueyo de Santa Cruz	03	19
22193	Pueyo de Santa Cruz	04	20
22193	Pueyo de Santa Cruz	05	9
22193	Pueyo de Santa Cruz	06	10
22193	Pueyo de Santa Cruz	07	1
22193	Pueyo de Santa Cruz	08	1
22195	Quicena	01	10
22195	Quicena	02	8
22195	Quicena	03	7
22195	Quicena	04	9
22195	Quicena	05	3
22195	Quicena	06	1
22195	Quicena	07	1
22195	Quicena	08	2
22197	Robres	01	53
22197	Robres	02	55
22197	Robres	03	42
22197	Robres	04	48
22197	Robres	05	17
22197	Robres	06	11
22197	Robres	07	3
22199	Sabiñánigo	01	606
22199	Sabiñánigo	02	778
22199	Sabiñánigo	03	667
22199	Sabiñánigo	04	689
22199	Sabiñánigo	05	213
22199	Sabiñánigo	06	65
22199	Sabiñánigo	07	12
22199	Sabiñánigo	08	6
22199	Sabiñánigo	10 o más	2
22200	Sahún	01	26
22200	Sahún	02	19
22200	Sahún	03	15
22200	Sahún	04	13
22200	Sahún	05	8
22200	Sahún	06	8
22200	Sahún	07	3
22200	Sahún	08	2
22201	Salas Altas	01	28
22201	Salas Altas	02	37
22201	Salas Altas	03	27
22201	Salas Altas	04	24
22201	Salas Altas	05	10
22201	Salas Altas	06	7
22201	Salas Altas	07	2
22202	Salas Bajas	01	15
22202	Salas Bajas	02	16
22202	Salas Bajas	03	15
22202	Salas Bajas	04	9
22202	Salas Bajas	05	3
22202	Salas Bajas	06	3
22203	Salillas	01	20
22203	Salillas	02	12
22203	Salillas	03	7
22203	Salillas	04	6
22203	Salillas	05	3
22203	Salillas	06	1
22204	Sallent de Gállego	01	116
22204	Sallent de Gállego	02	78
22204	Sallent de Gállego	03	69
22204	Sallent de Gállego	04	78
22204	Sallent de Gállego	05	26
22204	Sallent de Gállego	06	12
22204	Sallent de Gállego	07	3
22204	Sallent de Gállego	08	2
22204	Sallent de Gállego	09	3
22205	San Esteban de Litera	01	75
22205	San Esteban de Litera	02	51
22205	San Esteban de Litera	03	40
22205	San Esteban de Litera	04	34
22205	San Esteban de Litera	05	17
22205	San Esteban de Litera	06	10
22205	San Esteban de Litera	07	2
22205	San Esteban de Litera	08	1
22206	Sangarrén	01	24
22206	Sangarrén	02	28
22206	Sangarrén	03	17
22206	Sangarrén	04	15
22206	Sangarrén	05	7
22206	Sangarrén	06	4
22207	San Juan de Plan	01	12
22207	San Juan de Plan	02	9
22207	San Juan de Plan	03	9
22207	San Juan de Plan	04	10
22207	San Juan de Plan	05	7
22207	San Juan de Plan	06	2
22207	San Juan de Plan	07	1
22207	San Juan de Plan	09	1
22208	Santa Cilia	01	25
22208	Santa Cilia	02	16
22208	Santa Cilia	03	13
22208	Santa Cilia	04	11
22208	Santa Cilia	05	4
22208	Santa Cilia	06	4
22208	Santa Cilia	07	1
22209	Santa Cruz de la Serós	01	16
22209	Santa Cruz de la Serós	02	10
22209	Santa Cruz de la Serós	03	8
22209	Santa Cruz de la Serós	04	9
22209	Santa Cruz de la Serós	05	5
22209	Santa Cruz de la Serós	06	4
22209	Santa Cruz de la Serós	07	1
22212	Santaliestra y San Quílez	01	21
22212	Santaliestra y San Quílez	02	12
22212	Santaliestra y San Quílez	03	14
22212	Santaliestra y San Quílez	04	5
22212	Santaliestra y San Quílez	05	2
22212	Santaliestra y San Quílez	06	1
22213	Sariñena	01	307
22213	Sariñena	02	333
22213	Sariñena	03	273
22213	Sariñena	04	286
22213	Sariñena	05	100
22213	Sariñena	06	50
22213	Sariñena	07	17
22213	Sariñena	08	3
22213	Sariñena	09	1
22213	Sariñena	10 o más	1
22214	Secastilla	01	15
22214	Secastilla	02	10
22214	Secastilla	03	6
22214	Secastilla	04	4
22214	Secastilla	06	8
22214	Secastilla	10 o más	1
22215	Seira	01	21
22215	Seira	02	18
22215	Seira	03	14
22215	Seira	04	7
22215	Seira	05	5
22215	Seira	06	6
22215	Seira	07	2
22217	Sena	01	52
22217	Sena	02	51
22217	Sena	03	44
22217	Sena	04	36
22217	Sena	05	16
22217	Sena	06	7
22217	Sena	07	2
22217	Sena	10 o más	1
22218	Senés de Alcubierre	01	4
22218	Senés de Alcubierre	02	4
22218	Senés de Alcubierre	03	1
22218	Senés de Alcubierre	04	3
22218	Senés de Alcubierre	05	2
22218	Senés de Alcubierre	07	1
22218	Senés de Alcubierre	08	1
22220	Sesa	01	20
22220	Sesa	02	21
22220	Sesa	03	26
22220	Sesa	04	15
22220	Sesa	05	10
22220	Sesa	08	1
22221	Sesué	01	21
22221	Sesué	02	7
22221	Sesué	03	8
22221	Sesué	04	11
22221	Sesué	05	2
22221	Sesué	06	2
22221	Sesué	09	1
22222	Siétamo	01	40
22222	Siétamo	02	50
22222	Siétamo	03	37
22222	Siétamo	04	34
22222	Siétamo	05	4
22222	Siétamo	06	4
22222	Siétamo	07	2
22222	Siétamo	08	1
22223	Sopeira	01	23
22223	Sopeira	02	7
22223	Sopeira	03	3
22223	Sopeira	04	9
22223	Sopeira	05	3
22223	Sopeira	08	1
22225	Tamarite de Litera	01	248
22225	Tamarite de Litera	02	360
22225	Tamarite de Litera	03	280
22225	Tamarite de Litera	04	247
22225	Tamarite de Litera	05	108
22225	Tamarite de Litera	06	34
22225	Tamarite de Litera	07	9
22225	Tamarite de Litera	08	2
22226	Tardienta	01	105
22226	Tardienta	02	104
22226	Tardienta	03	85
22226	Tardienta	04	71
22226	Tardienta	05	32
22226	Tardienta	06	10
22226	Tardienta	07	1
22226	Tardienta	08	1
22227	Tella-Sin	01	35
22227	Tella-Sin	02	31
22227	Tella-Sin	03	27
22227	Tella-Sin	04	10
22227	Tella-Sin	05	6
22227	Tella-Sin	06	4
22227	Tella-Sin	09	1
22228	Tierz	01	14
22228	Tierz	02	9
22228	Tierz	03	18
22228	Tierz	04	13
22228	Tierz	05	7
22228	Tierz	07	1
22229	Tolva	01	25
22229	Tolva	02	24
22229	Tolva	03	10
22229	Tolva	04	9
22229	Tolva	05	3
22229	Tolva	06	2
22229	Tolva	07	2
22229	Tolva	08	1
22230	Torla	01	31
22230	Torla	02	28
22230	Torla	03	32
22230	Torla	04	18
22230	Torla	05	9
22230	Torla	06	3
22230	Torla	07	1
22230	Torla	08	2
22232	Torralba de Aragón	01	16
22232	Torralba de Aragón	02	14
22232	Torralba de Aragón	03	8
22232	Torralba de Aragón	04	6
22232	Torralba de Aragón	05	4
22232	Torralba de Aragón	07	1
22233	Torre la Ribera	01	19
22233	Torre la Ribera	02	8
22233	Torre la Ribera	03	2
22233	Torre la Ribera	04	5
22233	Torre la Ribera	05	2
22233	Torre la Ribera	06	1
22233	Torre la Ribera	07	1
22233	Torre la Ribera	09	1
22234	Torrente de Cinca	01	65
22234	Torrente de Cinca	02	106
22234	Torrente de Cinca	03	87
22234	Torrente de Cinca	04	73
22234	Torrente de Cinca	05	26
22234	Torrente de Cinca	06	11
22234	Torrente de Cinca	07	4
22234	Torrente de Cinca	08	1
22234	Torrente de Cinca	10 o más	2
22235	Torres de Alcanadre	01	13
22235	Torres de Alcanadre	02	16
22235	Torres de Alcanadre	03	7
22235	Torres de Alcanadre	04	6
22235	Torres de Alcanadre	05	5
22235	Torres de Alcanadre	06	2
22236	Torres de Barbués	01	22
22236	Torres de Barbués	02	31
22236	Torres de Barbués	03	25
22236	Torres de Barbués	04	26
22236	Torres de Barbués	05	13
22236	Torres de Barbués	06	5
22239	Tramaced	01	8
22239	Tramaced	02	9
22239	Tramaced	03	5
22239	Tramaced	04	5
22239	Tramaced	05	3
22239	Tramaced	06	2
22239	Tramaced	07	1
22242	Valfarta	01	8
22242	Valfarta	02	11
22242	Valfarta	03	7
22242	Valfarta	04	3
22242	Valfarta	05	1
22242	Valfarta	06	1
22242	Valfarta	07	3
22243	Valle de Bardají	01	2
22243	Valle de Bardají	02	2
22243	Valle de Bardají	03	3
22243	Valle de Bardají	04	1
22243	Valle de Bardají	05	2
22243	Valle de Bardají	06	2
22243	Valle de Bardají	08	1
22244	Valle de Lierp	01	4
22244	Valle de Lierp	02	3
22244	Valle de Lierp	03	6
22244	Valle de Lierp	04	3
22244	Valle de Lierp	05	1
22244	Valle de Lierp	06	1
22245	Velilla de Cinca	01	34
22245	Velilla de Cinca	02	34
22245	Velilla de Cinca	03	44
22245	Velilla de Cinca	04	30
22245	Velilla de Cinca	05	14
22245	Velilla de Cinca	06	4
22245	Velilla de Cinca	07	1
22245	Velilla de Cinca	08	1
22246	Veracruz	01	19
22246	Veracruz	02	15
22246	Veracruz	03	6
22246	Veracruz	04	5
22246	Veracruz	05	1
22246	Veracruz	06	2
22246	Veracruz	07	1
22247	Viacamp y Litera	01	6
22247	Viacamp y Litera	02	2
22247	Viacamp y Litera	03	1
22247	Viacamp y Litera	04	1
22247	Viacamp y Litera	06	2
22247	Viacamp y Litera	07	1
22248	Vicién	01	13
22248	Vicién	02	5
22248	Vicién	03	9
22248	Vicién	04	11
22248	Vicién	05	3
22248	Vicién	06	2
22249	Villanova	01	14
22249	Villanova	02	10
22249	Villanova	03	14
22249	Villanova	04	9
22249	Villanova	05	4
22250	Villanúa	01	53
22250	Villanúa	02	34
22250	Villanúa	03	23
22250	Villanúa	04	26
22250	Villanúa	05	8
22250	Villanúa	06	1
22251	Villanueva de Sigena	01	43
22251	Villanueva de Sigena	02	26
22251	Villanueva de Sigena	03	19
22251	Villanueva de Sigena	04	27
22251	Villanueva de Sigena	05	20
22251	Villanueva de Sigena	06	12
22251	Villanueva de Sigena	07	6
22251	Villanueva de Sigena	09	1
22252	Yebra de Basa	01	15
22252	Yebra de Basa	02	11
22252	Yebra de Basa	03	10
22252	Yebra de Basa	04	7
22252	Yebra de Basa	05	6
22252	Yebra de Basa	06	3
22252	Yebra de Basa	09	2
22253	Yésero	01	7
22253	Yésero	02	12
22253	Yésero	03	7
22253	Yésero	04	6
22253	Yésero	05	1
22254	Zaidín	01	111
22254	Zaidín	02	136
22254	Zaidín	03	125
22254	Zaidín	04	100
22254	Zaidín	05	56
22254	Zaidín	06	25
22254	Zaidín	07	12
22901	Valle de Hecho	01	83
22901	Valle de Hecho	02	90
22901	Valle de Hecho	03	65
22901	Valle de Hecho	04	67
22901	Valle de Hecho	05	27
22901	Valle de Hecho	06	11
22901	Valle de Hecho	07	6
22901	Valle de Hecho	08	1
22902	Puente la Reina de Jaca	01	25
22902	Puente la Reina de Jaca	02	22
22902	Puente la Reina de Jaca	03	17
22902	Puente la Reina de Jaca	04	17
22902	Puente la Reina de Jaca	05	6
22902	Puente la Reina de Jaca	06	5
22902	Puente la Reina de Jaca	07	2
22903	San Miguel del Cinca	01	60
22903	San Miguel del Cinca	02	69
22903	San Miguel del Cinca	03	56
22903	San Miguel del Cinca	04	61
22903	San Miguel del Cinca	05	32
22903	San Miguel del Cinca	06	12
22903	San Miguel del Cinca	07	4
22903	San Miguel del Cinca	08	2
22904	Sotonera (La)	01	121
22904	Sotonera (La)	02	124
22904	Sotonera (La)	03	80
22904	Sotonera (La)	04	62
22904	Sotonera (La)	05	25
22904	Sotonera (La)	06	14
22904	Sotonera (La)	07	2
22904	Sotonera (La)	08	1
22905	Lupiñén-Ortilla	01	38
22905	Lupiñén-Ortilla	02	22
22905	Lupiñén-Ortilla	03	20
22905	Lupiñén-Ortilla	04	27
22905	Lupiñén-Ortilla	05	5
22905	Lupiñén-Ortilla	06	9
22905	Lupiñén-Ortilla	07	2
22906	Santa María de Dulcis	01	29
22906	Santa María de Dulcis	02	19
22906	Santa María de Dulcis	03	17
22906	Santa María de Dulcis	04	10
22906	Santa María de Dulcis	05	5
22906	Santa María de Dulcis	06	4
22906	Santa María de Dulcis	07	1
22906	Santa María de Dulcis	08	1
22907	Aínsa-Sobrarbe	01	181
22907	Aínsa-Sobrarbe	02	132
22907	Aínsa-Sobrarbe	03	87
22907	Aínsa-Sobrarbe	04	104
22907	Aínsa-Sobrarbe	05	40
22907	Aínsa-Sobrarbe	06	25
22907	Aínsa-Sobrarbe	07	5
22907	Aínsa-Sobrarbe	08	4
22908	Hoz y Costeán	01	23
22908	Hoz y Costeán	02	25
22908	Hoz y Costeán	03	15
22908	Hoz y Costeán	04	8
22908	Hoz y Costeán	05	7
22908	Hoz y Costeán	06	4
22908	Hoz y Costeán	07	1
22908	Hoz y Costeán	08	1
22908	Hoz y Costeán	09	1
22909	Vencillón	01	24
22909	Vencillón	02	39
22909	Vencillón	03	43
22909	Vencillón	04	32
22909	Vencillón	05	15
22909	Vencillón	06	3
22909	Vencillón	07	1
22909	Vencillón	09	1
44001	Ababuj	01	10
44001	Ababuj	02	9
44001	Ababuj	03	9
44001	Ababuj	04	3
44001	Ababuj	05	1
44001	Ababuj	06	1
44001	Ababuj	07	1
44002	Abejuela	01	17
44002	Abejuela	02	10
44002	Abejuela	03	2
44002	Abejuela	04	2
44002	Abejuela	05	1
44003	Aguatón	01	3
44003	Aguatón	02	3
44003	Aguatón	04	3
44003	Aguatón	05	1
44004	Aguaviva	01	73
44004	Aguaviva	02	87
44004	Aguaviva	03	38
44004	Aguaviva	04	35
44004	Aguaviva	05	18
44004	Aguaviva	06	4
44004	Aguaviva	07	1
44004	Aguaviva	08	2
44004	Aguaviva	09	1
44004	Aguaviva	10 o más	1
44005	Aguilar del Alfambra	01	7
44005	Aguilar del Alfambra	02	13
44005	Aguilar del Alfambra	03	4
44005	Aguilar del Alfambra	04	6
44005	Aguilar del Alfambra	05	1
44005	Aguilar del Alfambra	06	1
44006	Alacón	01	39
44006	Alacón	02	60
44006	Alacón	03	30
44006	Alacón	04	28
44006	Alacón	05	6
44006	Alacón	06	3
44007	Alba	01	32
44007	Alba	02	35
44007	Alba	03	22
44007	Alba	04	14
44007	Alba	05	5
44007	Alba	06	1
44008	Albalate del Arzobispo	01	220
44008	Albalate del Arzobispo	02	226
44008	Albalate del Arzobispo	03	161
44008	Albalate del Arzobispo	04	179
44008	Albalate del Arzobispo	05	43
44008	Albalate del Arzobispo	06	8
44008	Albalate del Arzobispo	07	1
44008	Albalate del Arzobispo	09	1
44009	Albarracín	01	81
44009	Albarracín	02	113
44009	Albarracín	03	61
44009	Albarracín	04	79
44009	Albarracín	05	24
44009	Albarracín	06	4
44009	Albarracín	07	3
44009	Albarracín	10 o más	1
44010	Albentosa	01	34
44010	Albentosa	02	21
44010	Albentosa	03	15
44010	Albentosa	04	15
44010	Albentosa	05	6
44010	Albentosa	06	3
44010	Albentosa	07	1
44010	Albentosa	08	2
44011	Alcaine	01	27
44011	Alcaine	02	9
44011	Alcaine	03	6
44011	Alcaine	04	1
44011	Alcaine	05	1
44012	Alcalá de la Selva	01	70
44012	Alcalá de la Selva	02	49
44012	Alcalá de la Selva	03	46
44012	Alcalá de la Selva	04	21
44012	Alcalá de la Selva	05	11
44012	Alcalá de la Selva	06	5
44012	Alcalá de la Selva	07	1
44012	Alcalá de la Selva	09	2
44012	Alcalá de la Selva	10 o más	1
44013	Alcañiz	01	882
44013	Alcañiz	02	1288
44013	Alcañiz	03	1047
44013	Alcañiz	04	1069
44013	Alcañiz	05	311
44013	Alcañiz	06	71
44013	Alcañiz	07	28
44013	Alcañiz	08	10
44013	Alcañiz	09	4
44013	Alcañiz	10 o más	2
44014	Alcorisa	01	228
44014	Alcorisa	02	308
44014	Alcorisa	03	243
44014	Alcorisa	04	293
44014	Alcorisa	05	73
44014	Alcorisa	06	12
44014	Alcorisa	07	10
44014	Alcorisa	08	1
44014	Alcorisa	09	1
44014	Alcorisa	10 o más	1
44016	Alfambra	01	80
44016	Alfambra	02	72
44016	Alfambra	03	37
44016	Alfambra	04	38
44016	Alfambra	05	18
44016	Alfambra	06	4
44016	Alfambra	07	1
44016	Alfambra	08	2
44017	Aliaga	01	57
44017	Aliaga	02	58
44017	Aliaga	03	20
44017	Aliaga	04	22
44017	Aliaga	05	9
44017	Aliaga	06	4
44017	Aliaga	07	1
44018	Almohaja	01	3
44018	Almohaja	02	4
44018	Almohaja	03	1
44018	Almohaja	04	2
44018	Almohaja	05	1
44019	Alobras	01	17
44019	Alobras	02	16
44019	Alobras	03	4
44019	Alobras	04	3
44019	Alobras	06	2
44020	Alpeñés	01	4
44020	Alpeñés	02	4
44020	Alpeñés	04	3
44020	Alpeñés	06	1
44021	Allepuz	01	22
44021	Allepuz	02	13
44021	Allepuz	03	7
44021	Allepuz	04	7
44021	Allepuz	05	4
44021	Allepuz	06	3
44022	Alloza	01	100
44022	Alloza	02	109
44022	Alloza	03	48
44022	Alloza	04	43
44022	Alloza	05	10
44022	Alloza	06	3
44022	Alloza	07	1
44022	Alloza	10 o más	1
44023	Allueva	01	5
44023	Allueva	02	4
44024	Anadón	01	1
44024	Anadón	02	3
44024	Anadón	05	1
44024	Anadón	06	1
44025	Andorra	01	355
44025	Andorra	02	708
44025	Andorra	03	562
44025	Andorra	04	733
44025	Andorra	05	199
44025	Andorra	06	46
44025	Andorra	07	14
44025	Andorra	08	1
44025	Andorra	09	2
44025	Andorra	10 o más	1
44026	Arcos de las Salinas	01	27
44026	Arcos de las Salinas	02	22
44026	Arcos de las Salinas	03	8
44026	Arcos de las Salinas	04	2
44026	Arcos de las Salinas	05	2
44026	Arcos de las Salinas	06	3
44026	Arcos de las Salinas	08	1
44027	Arens de Lledó	01	10
44027	Arens de Lledó	02	12
44027	Arens de Lledó	03	14
44027	Arens de Lledó	04	19
44027	Arens de Lledó	05	8
44027	Arens de Lledó	06	4
44027	Arens de Lledó	07	1
44027	Arens de Lledó	09	1
44028	Argente	01	24
44028	Argente	02	38
44028	Argente	03	16
44028	Argente	04	17
44028	Argente	05	8
44028	Argente	10 o más	1
44029	Ariño	01	76
44029	Ariño	02	96
44029	Ariño	03	62
44029	Ariño	04	68
44029	Ariño	05	14
44029	Ariño	06	8
44029	Ariño	08	1
44031	Azaila	01	29
44031	Azaila	02	25
44031	Azaila	03	15
44031	Azaila	04	4
44031	Azaila	05	5
44031	Azaila	06	1
44032	Bádenas	01	5
44032	Bádenas	02	6
44032	Bádenas	03	1
44032	Bádenas	05	1
44033	Báguena	01	74
44033	Báguena	02	52
44033	Báguena	03	28
44033	Báguena	04	31
44033	Báguena	05	7
44033	Báguena	06	5
44034	Bañón	01	17
44034	Bañón	02	24
44034	Bañón	03	14
44034	Bañón	04	9
44034	Bañón	05	5
44035	Barrachina	01	27
44035	Barrachina	02	18
44035	Barrachina	03	11
44035	Barrachina	04	8
44035	Barrachina	05	4
44035	Barrachina	06	1
44036	Bea	01	8
44036	Bea	02	5
44036	Bea	03	2
44036	Bea	04	2
44036	Bea	06	1
44037	Beceite	01	61
44037	Beceite	02	63
44037	Beceite	03	47
44037	Beceite	04	47
44037	Beceite	05	12
44037	Beceite	06	6
44037	Beceite	07	1
44038	Belmonte de San José	01	19
44038	Belmonte de San José	02	25
44038	Belmonte de San José	03	13
44038	Belmonte de San José	04	1
44038	Belmonte de San José	06	3
44038	Belmonte de San José	08	1
44039	Bello	01	51
44039	Bello	02	57
44039	Bello	03	21
44039	Bello	04	17
44039	Bello	05	8
44039	Bello	06	3
44039	Bello	07	1
44039	Bello	08	1
44040	Berge	01	30
44040	Berge	02	27
44040	Berge	03	15
44040	Berge	04	15
44040	Berge	05	9
44040	Berge	06	1
44040	Berge	08	1
44041	Bezas	01	18
44041	Bezas	02	8
44041	Bezas	03	4
44041	Bezas	04	2
44041	Bezas	05	1
44041	Bezas	06	1
44042	Blancas	01	23
44042	Blancas	02	20
44042	Blancas	03	15
44042	Blancas	04	13
44042	Blancas	05	2
44042	Blancas	09	1
44043	Blesa	01	24
44043	Blesa	02	25
44043	Blesa	03	8
44043	Blesa	04	9
44043	Blesa	05	1
44044	Bordón	01	18
44044	Bordón	02	16
44044	Bordón	03	10
44044	Bordón	04	10
44044	Bordón	05	1
44044	Bordón	06	1
44044	Bordón	07	1
44045	Bronchales	01	68
44045	Bronchales	02	45
44045	Bronchales	03	29
44045	Bronchales	04	36
44045	Bronchales	05	8
44045	Bronchales	06	6
44045	Bronchales	07	1
44046	Bueña	01	15
44046	Bueña	02	13
44046	Bueña	03	9
44046	Bueña	04	3
44046	Bueña	05	2
44047	Burbáguena	01	54
44047	Burbáguena	02	39
44047	Burbáguena	03	17
44047	Burbáguena	04	6
44047	Burbáguena	05	4
44047	Burbáguena	06	1
44048	Cabra de Mora	01	11
44048	Cabra de Mora	02	17
44048	Cabra de Mora	03	4
44048	Cabra de Mora	04	5
44048	Cabra de Mora	05	2
44048	Cabra de Mora	06	2
44048	Cabra de Mora	09	1
44049	Calaceite	01	111
44049	Calaceite	02	144
44049	Calaceite	03	75
44049	Calaceite	04	98
44049	Calaceite	05	21
44049	Calaceite	06	3
44049	Calaceite	07	2
44050	Calamocha	01	439
44050	Calamocha	02	443
44050	Calamocha	03	304
44050	Calamocha	04	295
44050	Calamocha	05	87
44050	Calamocha	06	23
44050	Calamocha	07	5
44050	Calamocha	08	1
44051	Calanda	01	229
44051	Calanda	02	337
44051	Calanda	03	263
44051	Calanda	04	274
44051	Calanda	05	90
44051	Calanda	06	22
44051	Calanda	07	4
44051	Calanda	08	1
44051	Calanda	09	2
44051	Calanda	10 o más	2
44052	Calomarde	01	10
44052	Calomarde	02	12
44052	Calomarde	03	9
44052	Calomarde	04	2
44053	Camañas	01	20
44053	Camañas	02	13
44053	Camañas	03	10
44053	Camañas	04	7
44053	Camañas	05	6
44053	Camañas	06	1
44054	Camarena de la Sierra	01	23
44054	Camarena de la Sierra	02	19
44054	Camarena de la Sierra	03	9
44054	Camarena de la Sierra	04	11
44054	Camarena de la Sierra	06	1
44054	Camarena de la Sierra	07	2
44054	Camarena de la Sierra	10 o más	1
44055	Camarillas	01	17
44055	Camarillas	02	9
44055	Camarillas	03	9
44055	Camarillas	04	3
44055	Camarillas	05	3
44055	Camarillas	06	1
44055	Camarillas	07	1
44056	Caminreal	01	82
44056	Caminreal	02	99
44056	Caminreal	03	48
44056	Caminreal	04	52
44056	Caminreal	05	19
44056	Caminreal	06	6
44056	Caminreal	07	2
44059	Cantavieja	01	60
44059	Cantavieja	02	62
44059	Cantavieja	03	45
44059	Cantavieja	04	65
44059	Cantavieja	05	23
44059	Cantavieja	06	6
44059	Cantavieja	07	3
44059	Cantavieja	08	1
44060	Cañada de Benatanduz	01	7
44060	Cañada de Benatanduz	02	10
44060	Cañada de Benatanduz	03	3
44060	Cañada de Benatanduz	04	3
44060	Cañada de Benatanduz	05	2
44061	Cañada de Verich (La)	01	14
44061	Cañada de Verich (La)	02	15
44061	Cañada de Verich (La)	03	7
44061	Cañada de Verich (La)	04	6
44061	Cañada de Verich (La)	05	3
44062	Cañada Vellida	01	7
44062	Cañada Vellida	02	3
44062	Cañada Vellida	03	4
44062	Cañada Vellida	04	6
44062	Cañada Vellida	05	1
44063	Cañizar del Olivar	01	14
44063	Cañizar del Olivar	02	10
44063	Cañizar del Olivar	03	7
44063	Cañizar del Olivar	04	7
44063	Cañizar del Olivar	05	3
44063	Cañizar del Olivar	06	3
44064	Cascante del Río	01	21
44064	Cascante del Río	02	20
44064	Cascante del Río	03	4
44064	Cascante del Río	04	3
44064	Cascante del Río	05	2
44064	Cascante del Río	06	2
44065	Castejón de Tornos	01	19
44065	Castejón de Tornos	02	9
44065	Castejón de Tornos	03	9
44065	Castejón de Tornos	04	3
44065	Castejón de Tornos	05	2
44065	Castejón de Tornos	06	1
44066	Castel de Cabra	01	12
44066	Castel de Cabra	02	24
44066	Castel de Cabra	03	10
44066	Castel de Cabra	04	12
44066	Castel de Cabra	05	4
44067	Castelnou	01	14
44067	Castelnou	02	11
44067	Castelnou	03	5
44067	Castelnou	04	5
44067	Castelnou	05	4
44067	Castelnou	06	3
44068	Castelserás	01	75
44068	Castelserás	02	81
44068	Castelserás	03	62
44068	Castelserás	04	62
44068	Castelserás	05	25
44068	Castelserás	06	2
44068	Castelserás	07	1
44068	Castelserás	09	1
44070	Castellar (El)	01	13
44070	Castellar (El)	02	9
44070	Castellar (El)	03	11
44070	Castellar (El)	04	4
44070	Castellar (El)	07	1
44071	Castellote	01	108
44071	Castellote	02	94
44071	Castellote	03	57
44071	Castellote	04	55
44071	Castellote	05	13
44071	Castellote	06	6
44071	Castellote	07	2
44074	Cedrillas	01	43
44074	Cedrillas	02	57
44074	Cedrillas	03	37
44074	Cedrillas	04	40
44074	Cedrillas	05	11
44074	Cedrillas	07	3
44075	Celadas	01	109
44075	Celadas	02	33
44075	Celadas	03	26
44075	Celadas	04	21
44075	Celadas	05	7
44075	Celadas	06	2
44075	Celadas	07	2
44076	Cella	01	271
44076	Cella	02	300
44076	Cella	03	213
44076	Cella	04	212
44076	Cella	05	74
44076	Cella	06	15
44076	Cella	07	1
44077	Cerollera (La)	01	8
44077	Cerollera (La)	02	12
44077	Cerollera (La)	03	6
44077	Cerollera (La)	04	9
44077	Cerollera (La)	05	3
44077	Cerollera (La)	06	3
44080	Codoñera (La)	01	34
44080	Codoñera (La)	02	40
44080	Codoñera (La)	03	18
44080	Codoñera (La)	04	27
44080	Codoñera (La)	05	7
44080	Codoñera (La)	06	3
44082	Corbalán	01	16
44082	Corbalán	02	10
44082	Corbalán	03	5
44082	Corbalán	04	7
44084	Cortes de Aragón	01	11
44084	Cortes de Aragón	02	22
44084	Cortes de Aragón	03	9
44084	Cortes de Aragón	04	5
44084	Cortes de Aragón	05	2
44084	Cortes de Aragón	06	1
44085	Cosa	01	11
44085	Cosa	02	11
44085	Cosa	03	6
44085	Cosa	04	8
44085	Cosa	05	2
44086	Cretas	01	43
44086	Cretas	02	62
44086	Cretas	03	44
44086	Cretas	04	38
44086	Cretas	05	15
44086	Cretas	06	11
44086	Cretas	07	2
44086	Cretas	08	2
44086	Cretas	10 o más	1
44087	Crivillén	01	15
44087	Crivillén	02	8
44087	Crivillén	03	12
44087	Crivillén	04	11
44087	Crivillén	05	1
44087	Crivillén	06	1
44088	Cuba (La)	01	11
44088	Cuba (La)	02	8
44088	Cuba (La)	03	5
44088	Cuba (La)	04	1
44088	Cuba (La)	05	1
44088	Cuba (La)	06	1
44089	Cubla	01	9
44089	Cubla	02	10
44089	Cubla	03	1
