Año	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código	Código	Municipio
2011	60	Menos de 10 trabajadores	Leves	1	22112	Fraga
2011	171	Menos de 10 trabajadores	Leves	1	22125	Huesca
2011	45	Menos de 10 trabajadores	Leves	1	22130	Jaca
2011	62	Menos de 10 trabajadores	Leves	1	22158	Monzón
2011	70	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2011	95	Menos de 10 trabajadores	Leves	1	44216	Teruel
2011	43	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2011	24	Menos de 10 trabajadores	Leves	1	50074	Caspe
2011	78	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2011	60	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2011	40	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2011	44	Menos de 10 trabajadores	Leves	1	50272	Utebo
2011	1107	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2010	46	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2010	50	Menos de 10 trabajadores	Leves	1	22112	Fraga
2010	151	Menos de 10 trabajadores	Leves	1	22125	Huesca
2010	30	Menos de 10 trabajadores	Leves	1	22130	Jaca
2010	58	Menos de 10 trabajadores	Leves	1	22158	Monzón
2010	72	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2010	100	Menos de 10 trabajadores	Leves	1	44216	Teruel
2010	53	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2010	30	Menos de 10 trabajadores	Leves	1	50074	Caspe
2010	86	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2010	65	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2010	59	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2010	35	Menos de 10 trabajadores	Leves	1	50272	Utebo
2010	1214	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2009	81	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2009	69	Menos de 10 trabajadores	Leves	1	22112	Fraga
2009	175	Menos de 10 trabajadores	Leves	1	22125	Huesca
2009	57	Menos de 10 trabajadores	Leves	1	22130	Jaca
2009	53	Menos de 10 trabajadores	Leves	1	22158	Monzón
2009	70	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2009	91	Menos de 10 trabajadores	Leves	1	44216	Teruel
2009	45	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2009	36	Menos de 10 trabajadores	Leves	1	50074	Caspe
2009	95	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2009	87	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2009	50	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2009	51	Menos de 10 trabajadores	Leves	1	50272	Utebo
2009	1292	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2008	92	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2008	100	Menos de 10 trabajadores	Leves	1	22112	Fraga
2008	217	Menos de 10 trabajadores	Leves	1	22125	Huesca
2008	60	Menos de 10 trabajadores	Leves	1	22130	Jaca
2008	70	Menos de 10 trabajadores	Leves	1	22158	Monzón
2008	100	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2008	116	Menos de 10 trabajadores	Leves	1	44216	Teruel
2008	79	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2008	39	Menos de 10 trabajadores	Leves	1	50074	Caspe
2008	154	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2008	94	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2008	72	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2008	66	Menos de 10 trabajadores	Leves	1	50272	Utebo
2008	1791	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2007	103	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2007	96	Menos de 10 trabajadores	Leves	1	22112	Fraga
2007	242	Menos de 10 trabajadores	Leves	1	22125	Huesca
2007	69	Menos de 10 trabajadores	Leves	1	22130	Jaca
2007	77	Menos de 10 trabajadores	Leves	1	22158	Monzón
2007	100	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2007	141	Menos de 10 trabajadores	Leves	1	44216	Teruel
2007	85	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2007	42	Menos de 10 trabajadores	Leves	1	50074	Caspe
2007	152	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2007	108	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2007	43	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2007	86	Menos de 10 trabajadores	Leves	1	50272	Utebo
2007	1845	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2006	74	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2006	119	Menos de 10 trabajadores	Leves	1	22112	Fraga
2006	265	Menos de 10 trabajadores	Leves	1	22125	Huesca
2006	89	Menos de 10 trabajadores	Leves	1	22130	Jaca
2006	76	Menos de 10 trabajadores	Leves	1	22158	Monzón
2006	91	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2006	109	Menos de 10 trabajadores	Leves	1	44216	Teruel
2006	72	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2006	57	Menos de 10 trabajadores	Leves	1	50074	Caspe
2006	146	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2006	136	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2006	67	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2006	86	Menos de 10 trabajadores	Leves	1	50272	Utebo
2006	1785	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2005	60	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2005	97	Menos de 10 trabajadores	Leves	1	22112	Fraga
2005	238	Menos de 10 trabajadores	Leves	1	22125	Huesca
2005	86	Menos de 10 trabajadores	Leves	1	22130	Jaca
2005	52	Menos de 10 trabajadores	Leves	1	22158	Monzón
2005	119	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2005	125	Menos de 10 trabajadores	Leves	1	44216	Teruel
2005	85	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2005	45	Menos de 10 trabajadores	Leves	1	50074	Caspe
2005	155	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2005	118	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2005	31	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2005	73	Menos de 10 trabajadores	Leves	1	50272	Utebo
2005	1835	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2004	66	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2004	72	Menos de 10 trabajadores	Leves	1	22112	Fraga
2004	205	Menos de 10 trabajadores	Leves	1	22125	Huesca
2004	50	Menos de 10 trabajadores	Leves	1	22130	Jaca
2004	61	Menos de 10 trabajadores	Leves	1	22158	Monzón
2004	80	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2004	124	Menos de 10 trabajadores	Leves	1	44216	Teruel
2004	76	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2004	45	Menos de 10 trabajadores	Leves	1	50074	Caspe
2004	108	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2004	120	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2004	49	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2004	67	Menos de 10 trabajadores	Leves	1	50272	Utebo
2004	1588	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2003	78	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2003	106	Menos de 10 trabajadores	Leves	1	22112	Fraga
2003	235	Menos de 10 trabajadores	Leves	1	22125	Huesca
2003	64	Menos de 10 trabajadores	Leves	1	22130	Jaca
2003	51	Menos de 10 trabajadores	Leves	1	22158	Monzón
2003	80	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2003	113	Menos de 10 trabajadores	Leves	1	44216	Teruel
2003	68	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2003	43	Menos de 10 trabajadores	Leves	1	50074	Caspe
2003	103	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2003	98	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2003	74	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2003	70	Menos de 10 trabajadores	Leves	1	50272	Utebo
2003	1624	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2020	1	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2020	3	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2020	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2020	3	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2020	1	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2020	11	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2019	1	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2019	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2019	3	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2019	1	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2019	2	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2019	2	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2019	1	Menos de 10 trabajadores	Graves o muy graves	2	50272	Utebo
2019	6	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2018	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2018	1	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2018	3	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2018	2	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2018	7	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2017	2	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2017	1	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2017	4	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2017	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2017	1	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2017	3	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2017	1	Menos de 10 trabajadores	Graves o muy graves	2	50067	Calatayud
2017	1	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2017	11	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2016	2	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2016	1	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2016	1	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2016	2	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2016	7	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2015	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2015	1	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2015	2	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2015	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2015	1	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2015	1	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2015	1	Menos de 10 trabajadores	Graves o muy graves	2	50272	Utebo
2015	6	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2014	2	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2014	1	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2014	3	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2014	1	Menos de 10 trabajadores	Graves o muy graves	2	50074	Caspe
2014	1	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2014	12	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2013	1	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2013	2	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2013	1	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2013	6	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2012	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2012	1	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2012	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2012	1	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2012	1	Menos de 10 trabajadores	Graves o muy graves	2	50074	Caspe
2012	1	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2012	1	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2012	1	Menos de 10 trabajadores	Graves o muy graves	2	50251	Tarazona
2012	6	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2011	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2011	4	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2011	2	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2011	3	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2010	5	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2010	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2010	1	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2010	1	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2010	5	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2009	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2009	6	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2009	15	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2008	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2008	2	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2008	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2008	1	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2008	1	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2008	1	Menos de 10 trabajadores	Graves o muy graves	2	50074	Caspe
2008	11	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2007	2	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2007	1	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2007	2	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2007	1	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2007	1	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2007	1	Menos de 10 trabajadores	Graves o muy graves	2	50067	Calatayud
2007	4	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2007	1	Menos de 10 trabajadores	Graves o muy graves	2	50251	Tarazona
2007	16	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2006	1	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2006	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2006	3	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2006	1	Menos de 10 trabajadores	Graves o muy graves	2	50067	Calatayud
2006	2	Menos de 10 trabajadores	Graves o muy graves	2	50272	Utebo
2006	19	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2005	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2005	2	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2005	2	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2005	1	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2005	2	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2005	1	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2005	1	Menos de 10 trabajadores	Graves o muy graves	2	50074	Caspe
2005	1	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2005	1	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2005	22	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2004	1	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2004	2	Menos de 10 trabajadores	Graves o muy graves	2	22130	Jaca
2004	3	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2004	1	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2004	1	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2004	2	Menos de 10 trabajadores	Graves o muy graves	2	50272	Utebo
2004	15	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2003	1	Menos de 10 trabajadores	Graves o muy graves	2	22048	Barbastro
2003	1	Menos de 10 trabajadores	Graves o muy graves	2	22112	Fraga
2003	5	Menos de 10 trabajadores	Graves o muy graves	2	22125	Huesca
2003	1	Menos de 10 trabajadores	Graves o muy graves	2	22158	Monzón
2003	1	Menos de 10 trabajadores	Graves o muy graves	2	44013	Alcañiz
2003	2	Menos de 10 trabajadores	Graves o muy graves	2	44216	Teruel
2003	2	Menos de 10 trabajadores	Graves o muy graves	2	50067	Calatayud
2003	4	Menos de 10 trabajadores	Graves o muy graves	2	50089	Cuarte de Huerva
2003	2	Menos de 10 trabajadores	Graves o muy graves	2	50095	Ejea de los Caballeros
2003	2	Menos de 10 trabajadores	Graves o muy graves	2	50251	Tarazona
2003	17	Menos de 10 trabajadores	Graves o muy graves	2	50297	Zaragoza
2020	1	Menos de 10 trabajadores	Mortales	3	44013	Alcañiz
2020	3	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2019	1	Menos de 10 trabajadores	Mortales	3	50074	Caspe
2019	4	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2018	1	Menos de 10 trabajadores	Mortales	3	50095	Ejea de los Caballeros
2018	1	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2017	1	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2016	1	Menos de 10 trabajadores	Mortales	3	22125	Huesca
2016	1	Menos de 10 trabajadores	Mortales	3	44216	Teruel
2016	1	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2015	1	Menos de 10 trabajadores	Mortales	3	22112	Fraga
2015	1	Menos de 10 trabajadores	Mortales	3	50074	Caspe
2015	2	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2014	1	Menos de 10 trabajadores	Mortales	3	50067	Calatayud
2013	1	Menos de 10 trabajadores	Mortales	3	50095	Ejea de los Caballeros
2013	3	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2012	1	Menos de 10 trabajadores	Mortales	3	22130	Jaca
2012	1	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
2011	1	Menos de 10 trabajadores	Mortales	3	22130	Jaca
2011	1	Menos de 10 trabajadores	Mortales	3	50067	Calatayud
2011	1	Menos de 10 trabajadores	Mortales	3	50095	Ejea de los Caballeros
2011	2	Menos de 10 trabajadores	Mortales	3	50297	Zaragoza
