Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	Grupo	Descripción Ocupación	Sexo
2017	44	Teruel	4	3	Técnicos; profesionales de apoyo	Mujeres
2017	50	Zaragoza	235	3	Técnicos; profesionales de apoyo	Hombres
2017	50	Zaragoza	87	3	Técnicos; profesionales de apoyo	Mujeres
2017	22	Huesca	20	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2017	22	Huesca	21	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2017	44	Teruel	9	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2017	44	Teruel	13	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2017	50	Zaragoza	74	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2017	50	Zaragoza	168	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2017	22	Huesca	152	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2017	22	Huesca	290	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2017	44	Teruel	46	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2017	44	Teruel	147	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2017	50	Zaragoza	664	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2017	50	Zaragoza	1303	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2017	22	Huesca	171	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2017	22	Huesca	13	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2017	44	Teruel	72	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2017	44	Teruel	10	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2017	50	Zaragoza	186	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2017	50	Zaragoza	29	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2017	22	Huesca	691	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2017	22	Huesca	26	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2017	44	Teruel	342	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2017	44	Teruel	25	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2017	50	Zaragoza	2228	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2017	50	Zaragoza	111	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2017	22	Huesca	360	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2017	22	Huesca	16	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2017	44	Teruel	206	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2017	44	Teruel	8	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2017	50	Zaragoza	1681	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2017	50	Zaragoza	139	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2017	22	Huesca	619	9	Ocupaciones elementales	Hombres
2017	22	Huesca	214	9	Ocupaciones elementales	Mujeres
2017	44	Teruel	322	9	Ocupaciones elementales	Hombres
2017	44	Teruel	117	9	Ocupaciones elementales	Mujeres
2017	50	Zaragoza	2165	9	Ocupaciones elementales	Hombres
2017	50	Zaragoza	1036	9	Ocupaciones elementales	Mujeres
2016	22	Huesca	4	1	Directores y gerentes	Hombres
2016	44	Teruel	3	1	Directores y gerentes	Hombres
2016	44	Teruel	1	1	Directores y gerentes	Mujeres
2016	50	Zaragoza	22	1	Directores y gerentes	Hombres
2016	50	Zaragoza	7	1	Directores y gerentes	Mujeres
2016	22	Huesca	24	2	Técnicos y profesionales científicos e intelectuales	Hombres
2016	22	Huesca	32	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2016	44	Teruel	17	2	Técnicos y profesionales científicos e intelectuales	Hombres
2016	44	Teruel	28	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2016	50	Zaragoza	109	2	Técnicos y profesionales científicos e intelectuales	Hombres
2016	50	Zaragoza	242	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2016	22	Huesca	61	3	Técnicos; profesionales de apoyo	Hombres
2016	22	Huesca	20	3	Técnicos; profesionales de apoyo	Mujeres
2016	44	Teruel	15	3	Técnicos; profesionales de apoyo	Hombres
2016	44	Teruel	9	3	Técnicos; profesionales de apoyo	Mujeres
2016	50	Zaragoza	210	3	Técnicos; profesionales de apoyo	Hombres
2016	50	Zaragoza	95	3	Técnicos; profesionales de apoyo	Mujeres
2016	22	Huesca	20	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2016	22	Huesca	26	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2016	44	Teruel	8	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2016	44	Teruel	20	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2016	50	Zaragoza	106	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2016	50	Zaragoza	161	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2016	22	Huesca	143	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2016	22	Huesca	288	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2016	44	Teruel	55	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2016	44	Teruel	186	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2016	50	Zaragoza	670	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2016	50	Zaragoza	1301	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2016	22	Huesca	141	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2016	22	Huesca	15	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2016	44	Teruel	86	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2016	44	Teruel	10	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2016	50	Zaragoza	156	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2016	50	Zaragoza	23	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2016	22	Huesca	633	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2016	22	Huesca	21	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2016	44	Teruel	322	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2016	44	Teruel	32	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2016	50	Zaragoza	2020	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2016	50	Zaragoza	113	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2016	22	Huesca	347	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2016	22	Huesca	21	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2016	44	Teruel	277	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2016	44	Teruel	8	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2016	50	Zaragoza	1589	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2016	50	Zaragoza	147	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2016	22	Huesca	557	9	Ocupaciones elementales	Hombres
2016	22	Huesca	174	9	Ocupaciones elementales	Mujeres
2016	44	Teruel	338	9	Ocupaciones elementales	Hombres
2016	44	Teruel	132	9	Ocupaciones elementales	Mujeres
2016	50	Zaragoza	1829	9	Ocupaciones elementales	Hombres
2016	50	Zaragoza	987	9	Ocupaciones elementales	Mujeres
2015	22	Huesca	10	1	Directores y gerentes	Hombres
2015	22	Huesca	1	1	Directores y gerentes	Mujeres
2015	44	Teruel	3	1	Directores y gerentes	Hombres
2015	50	Zaragoza	19	1	Directores y gerentes	Hombres
2015	50	Zaragoza	6	1	Directores y gerentes	Mujeres
2015	22	Huesca	24	2	Técnicos y profesionales científicos e intelectuales	Hombres
2015	22	Huesca	36	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2015	44	Teruel	6	2	Técnicos y profesionales científicos e intelectuales	Hombres
2015	44	Teruel	18	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2015	50	Zaragoza	103	2	Técnicos y profesionales científicos e intelectuales	Hombres
2015	50	Zaragoza	199	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2015	22	Huesca	48	3	Técnicos; profesionales de apoyo	Hombres
2015	22	Huesca	21	3	Técnicos; profesionales de apoyo	Mujeres
2015	44	Teruel	17	3	Técnicos; profesionales de apoyo	Hombres
2015	44	Teruel	5	3	Técnicos; profesionales de apoyo	Mujeres
2015	50	Zaragoza	221	3	Técnicos; profesionales de apoyo	Hombres
2015	50	Zaragoza	78	3	Técnicos; profesionales de apoyo	Mujeres
2015	22	Huesca	15	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2015	22	Huesca	31	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2015	44	Teruel	4	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2015	44	Teruel	19	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2015	50	Zaragoza	69	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2015	50	Zaragoza	156	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2015	22	Huesca	100	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2015	22	Huesca	275	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2015	44	Teruel	31	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2015	44	Teruel	92	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2015	50	Zaragoza	591	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2015	50	Zaragoza	1244	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2015	22	Huesca	132	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2015	22	Huesca	12	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2015	44	Teruel	69	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2015	44	Teruel	7	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2015	50	Zaragoza	174	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2015	50	Zaragoza	19	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2015	22	Huesca	559	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2015	22	Huesca	14	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2015	44	Teruel	228	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2015	44	Teruel	16	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2015	50	Zaragoza	1873	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2015	50	Zaragoza	134	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2015	22	Huesca	313	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2015	22	Huesca	13	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2015	44	Teruel	188	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2015	44	Teruel	7	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2015	50	Zaragoza	1561	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
