Año	Comarca código	Comarca nombre	Superficie total agricultura ecológica	Superficie calificada agricultura ecológica	Superficie calificada en reconversión	Superficie calificada primer año prácticas	Superficie certificaciones privadas	Superficie sin clasificar
2012	06	Hoya de Huesca / Plana de Uesca	611,5121	492,9754	102,5539	2,3128	13,67	0
2012	07	Somontano de Barbastro	822,9341	552,5264	167,8776	52,44	3,9	46,1901
2012	08	Cinca Medio	636,4858	479,4383	72,1228	24,2647	52,88	7,78
2012	09	La Litera / La Llitera	158,6529	47,3829	16,98	39,63	54,66	0
2012	10	Los Monegros	6934,7123	5910,4051	441,6	237,3244	321,8	23,5828
2012	11	Bajo Cinca / Baix Cinca	321,5854	88,4654	101,07	51,96	80,09	0
2012	12	Tarazona y el Moncayo	117,055	84,245	32,27	0	0	0,54
2012	13	Campo de Borja	2580,4664	2306,8091	222,6231	48,9042	0	2,13
2012	14	Aranda	80,26	77,46	0	2,8	0	0
2012	15	Ribera Alta del Ebro	720,2836	640,5619	14,26	57,3517	0	8,11
2012	16	Valdejalón	8773,5057	8164,4122	159,93	183,5644	165,1391	100,46
2012	17	Central	4674,5656	2479,9946	283,22	655,37	1198,19	57,791
2012	18	Ribera Baja del Ebro	2265,5	2082,69	21,17	138,52	21,97	1,15
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3230,384	2658,5217	375,3823	92,5	74,96	29,02
2012	20	Comunidad de Calatayud	1567,032	1372,1341	51,56	5,94	137,2779	0,12
2012	21	Campo de Cariñena	1106,5173	947,9726	83,1218	75,4229	0	0
2012	22	Campo de Belchite	9055,8701	8467,1074	220,9107	324,782	0	43,07
2012	23	Bajo Martín	3080,2554	2902,0154	47,4	84,47	0	46,37
2012	24	Campo de Daroca	643,1847	397,2547	98,93	146,03	0	0,97
2012	25	Jiloca	694,98	381,21	309,54	4,23	0	0
2012	26	Cuencas Mineras	153,9451	136,37	2,5951	14,98	0	0
2012	27	Andorra-Sierra de Arcos	351,4448	345,7509	3,214	2,2199	0	0,26
2012	28	Bajo Aragón	1849,1669	1556,7	90,5314	50,984	0	150,9515
2012	29	Comunidad de Teruel	2120,138	1881,988	102,05	124,1	0	12
2012	30	Maestrazgo	150,77	150,77	0	0	0	0
2012	31	Sierra de Albarracín	1026,66	219,2	803,89	3,57	0	0
2012	32	Gúdar-Javalambre	448,4775	218,4268	163,5807	66,47	0	0
2012	33	Matarraña / Matarranya	2259,197	2060,4929	88,7144	89,0461	3,74	17,2036
2013	01	La Jacetania	812,5599	0	803,55	9,0099	0	0
2013	02	Alto Gállego	206,124	188,294	17,83	0	0	0
2013	03	Sobrarbe	697,35	672,7	24,65	0	0	0
2013	04	La Ribagorza	202,9	202,26	0	0,64	0	0
2013	05	Cinco Villas	1866,2646	892,3551	185,7007	30,07	609,29	148,8488
2013	06	Hoya de Huesca / Plana de Uesca	596,0817	277,9229	3,87	1,6288	312,66	0
2013	07	Somontano de Barbastro	778,1885	632,3685	118,1309	4,5191	4,9	18,27
2013	08	Cinca Medio	619,8916	530,1768	78,3848	11,33	0	0
2013	09	La Litera / La Llitera	71,9463	51,2563	18,45	2,24	0	0
2013	10	Los Monegros	6447,6015	4134,284	117,9044	79,5425	2112,32	3,5506
2013	11	Bajo Cinca / Baix Cinca	260,1142	167,2342	29,58	8,28	48,91	6,11
2013	12	Tarazona y el Moncayo	123,4918	54	1,89	5,1218	62,48	0
2013	13	Campo de Borja	2575,8285	1116,6071	216,0642	23,6172	1218,08	1,46
2013	14	Aranda	388,7	39,12	0	1,96	40,53	307,09
2013	15	Ribera Alta del Ebro	732,41	57,86	33,47	12,15	613,75	15,18
2013	16	Valdejalón	8536,4375	4238,2981	57,14	141,47	4051,3394	48,19
2013	17	Central	4583,869	1904,7416	426,8564	127,181	1989,7	135,39
2013	18	Ribera Baja del Ebro	1990,416	1328,576	47,09	115,54	497,9	1,31
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3071,4795	2263,3679	171,9816	74,49	470,54	91,1
2013	20	Comunidad de Calatayud	1147,952	347,0241	6,74	0	793,9479	0,24
2013	21	Campo de Cariñena	1181,2205	879,4144	74,61	72,6961	151,79	2,71
2013	22	Campo de Belchite	8406,049	7050,7558	110,192	592,3312	620,38	32,39
2013	23	Bajo Martín	2589,9977	2382,3977	38,01	155,21	10,9	3,48
2013	24	Campo de Daroca	579,1747	422,5447	153,8	0,04	2,21	0,58
2013	25	Jiloca	721,8251	554,9151	122,22	8,78	35,91	0
2013	26	Cuencas Mineras	153,7651	153,7651	0	0	0	0
2013	27	Andorra-Sierra de Arcos	350,3148	347,2349	3,0799	0	0	0
2013	28	Bajo Aragón	1365,838	1184,8758	35,158	140,1242	0,13	5,55
2013	29	Comunidad de Teruel	2023,4199	1389,908	104,7119	16,94	460,96	50,9
2013	30	Maestrazgo	150,28	12,41	0	0	137,87	0
2013	31	Sierra de Albarracín	1027,54	1023,09	4,45	0	0	0
2013	32	Gúdar-Javalambre	355,2375	260,6368	50,8807	0	0	43,72
2013	33	Matarraña / Matarranya	2293,3944	1983,5843	137,1296	105,6669	40,73	26,2836
2014	01	La Jacetania	514,8999	506,69	3,2699	0	0	4,94
2014	02	Alto Gállego	189,522	171,614	17,01	0	0	0,898
2014	03	Sobrarbe	648,69	647,86	0,83	0	0	0
2014	04	La Ribagorza	192,8114	165,1	6,92	20,13	0	0,6614
2014	05	Cinco Villas	1471,3444	876,3678	23,9066	13,37	384,39	173,31
2014	06	Hoya de Huesca / Plana de Uesca	528,1769	282,9469	0	0	235,97	9,26
2014	07	Somontano de Barbastro	751,8881	575,859	78,5491	68,52	4,9	24,06
2014	08	Cinca Medio	624,6664	544,8164	43,67	9,84	6,38	19,96
2014	09	La Litera / La Llitera	77,61	40,91	2,74	0	0	33,96
2014	10	Los Monegros	6119,856	3729,9254	70,4	299,53	1976,75	43,2506
2014	11	Bajo Cinca / Baix Cinca	223,81	161,42	7,63	0,56	15,08	39,12
2014	12	Tarazona y el Moncayo	118,0498	53,69	2,75	4,2398	57,37	0
2014	13	Campo de Borja	1732,702	490,8463	22,7257	2,32	1203,74	13,07
2014	14	Aranda	388,2387	38,23	309,08	0,3987	40,53	0
2014	15	Ribera Alta del Ebro	635,682	96,112	10,4	0,65	528,52	0
2014	16	Valdejalón	7411,6638	3442,0674	44,91	132,5307	3777,2757	14,88
2014	17	Central	4705,23	2227,655	123,031	59,82	2046,56	248,164
2014	18	Ribera Baja del Ebro	1903,0319	1123,456	134,9359	58,52	499,42	86,7
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2735,9795	2002,752	61,762	57,34	378,64	235,4855
2014	20	Comunidad de Calatayud	1079,804	341,46	0,52	7,104	730,48	0,24
2014	21	Campo de Cariñena	1138,7801	877,6701	89,13	13,25	143,05	15,68
2014	22	Campo de Belchite	7723,4343	6392,33	173,87	496,31	483,03	177,8943
2014	23	Bajo Martín	2391,44	2148,73	27,72	188,46	11,2	15,33
2014	24	Campo de Daroca	442,3067	353,7	1,32	62,0967	0	25,19
2014	25	Jiloca	947,5	670,85	1,1	25,57	35,48	214,5
2014	26	Cuencas Mineras	247,38	149,22	0	96,03	0	2,13
2014	27	Andorra-Sierra de Arcos	216,5635	210,8399	0,98	2,7	0	2,0436
2014	28	Bajo Aragón	1407,236	1162,3999	166,34	34,3	0	44,1961
2014	29	Comunidad de Teruel	1743,4799	1182,758	31,1519	56,41	441,57	31,59
2014	30	Maestrazgo	150,8214	12,17	0	0	138,6514	0
2014	31	Sierra de Albarracín	1037,36	1000,3	10,08	26,98	0	0
2014	32	Gúdar-Javalambre	479,2889	258,7545	50,7944	43,72	0	126,02
2014	33	Matarraña / Matarranya	2363,627	2004,7548	172,5558	82,2683	40,76	63,2881
2015	01	La Jacetania	17,44	9,69	0,27	4,88	0	2,6
2015	02	Alto Gállego	228,732	207,824	1,588	15,79	0	3,53
2015	03	Sobrarbe	411,53	299,38	0	112,15	0	0
2015	04	La Ribagorza	491,5208	169,9506	1,257	20,4918	0	299,8214
2015	05	Cinco Villas	1413,7433	697,8933	156,67	32,3	404,03	122,85
2015	06	Hoya de Huesca / Plana de Uesca	523,0817	272,3469	12,9601	1,4	227,46	8,9147
2015	07	Somontano de Barbastro	805,1164	661,389	42,1938	29,47	4,9	67,1636
2015	08	Cinca Medio	553,6378	494,7078	24,92	6,9	27,11	0
2015	09	La Litera / La Llitera	146,2336	62,8336	1,8	33,49	0	48,11
2015	10	Los Monegros	6016,467	3715,497	140,7	61,82	1975,11	123,34
2015	11	Bajo Cinca / Baix Cinca	167,27	142,54	8,19	0	0	16,54
2015	12	Tarazona y el Moncayo	73,85	10,08	5,22	0	55,76	2,79
2015	13	Campo de Borja	1674,0038	238,79	36,8038	51,11	1347,3	0
2015	14	Aranda	40,17	38,18	1,99	0	0	0
2015	15	Ribera Alta del Ebro	638,3823	96,3623	10,39	0,65	530,98	0
2015	16	Valdejalón	6369,3741	2817,68	39,26	211,725	3229,0849	71,6242
2015	17	Central	7524,858	3716,846	215,7909	115,9586	2625,2	851,0625
2015	18	Ribera Baja del Ebro	2098,2389	1228,13	103,3701	4,97	500,23	261,5388
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2139,9602	1787,6403	80,15	68,43	146,9	56,8399
2015	20	Comunidad de Calatayud	1349,6627	255,15	0	3,6212	733,0915	357,8
2015	21	Campo de Cariñena	1142,97	888,18	43,46	1,65	198,59	11,09
2015	22	Campo de Belchite	7225,9488	5874,51	160,77	346,9388	556,72	287,01
2015	23	Bajo Martín	2311,3816	2106,5445	14,64	96,38	30,36	63,4571
2015	24	Campo de Daroca	403,55	361,56	1,53	12,23	0	28,23
2015	25	Jiloca	934,72	654,25	1,1	25,57	35,48	218,32
2015	26	Cuencas Mineras	245,71	149,12	95,04	0	0	1,55
2015	27	Andorra-Sierra de Arcos	217,0735	212,3299	2,7	0	0	2,0436
2015	28	Bajo Aragón	1697,8345	1170,8099	57,085	105,975	0	363,9646
2015	29	Comunidad de Teruel	1726,6199	1016,548	10,57	0,95	674,1619	24,39
2015	30	Maestrazgo	12,17	12,17	0	0	0	0
2015	31	Sierra de Albarracín	1562,13	1554,16	7,97	0	0	0
2015	32	Gúdar-Javalambre	835,1874	314,1049	0	305,2235	0	215,859
2015	33	Matarraña / Matarranya	2586,8334	2063,2194	175,0605	68,0537	40,76	239,7398
2016	01	La Jacetania	15,77	9,96	4,88	0,93	0	0
2016	02	Alto Gállego	662,742	175,144	192,878	294,72	0	0
2016	03	Sobrarbe	855,41	97,38	587,25	170,78	0	0
2016	04	La Ribagorza	242,0249	213,6418	19,506	8,8771	0	0
2016	05	Cinco Villas	1404,12	786,7	135,1	110,1	372,22	0
2016	06	Hoya de Huesca / Plana de Uesca	524,0295	283,0965	12,42	0,613	227,9	0
2016	07	Somontano de Barbastro	877,2458	670,2627	111,7355	95,2476	0	0
2016	08	Cinca Medio	656,85	586,1	22,37	22,13	26,25	0
2016	09	La Litera / La Llitera	202,5267	42,5967	19,55	140,38	0	0
2016	10	Los Monegros	6284,4544	3565,5168	782,48	54,4376	1882,02	0
2016	11	Bajo Cinca / Baix Cinca	173,38	136,68	36,7	0	0	0
2016	12	Tarazona y el Moncayo	72,8232	10,99	4,73	1,7732	55,33	0
2016	13	Campo de Borja	1670,88	247,043	56,757	39,57	1327,51	0
2016	14	Aranda	38,37	38,28	0,09	0	0	0
2016	15	Ribera Alta del Ebro	627,12	101,93	0,65	0	524,54	0
2016	16	Valdejalón	6444,7635	2792,39	249,2059	375,7727	3027,3949	0
2016	17	Central	3915,5721	2365,4868	470,3758	73,4195	1006,29	0
2016	18	Ribera Baja del Ebro	2138,6725	1159,25	477,9225	1,49	500,01	0
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2511,03	1791,72	529,99	42,41	146,91	0
2016	20	Comunidad de Calatayud	1450,538	207,6023	490,8357	21,38	730,72	0
2016	21	Campo de Cariñena	1232,1	905,65	69,57	8	248,88	0
2016	22	Campo de Belchite	7428,9128	5873,6676	585,88	223,9052	745,46	0
2016	23	Bajo Martín	2485,8584	2029,7473	377,4511	64,22	14,44	0
2016	24	Campo de Daroca	406,01	354,57	25,74	25,7	0	0
2016	25	Jiloca	2206,9435	621,79	796,22	728,3935	60,54	0
2016	26	Cuencas Mineras	293,93	243,72	50,21	0	0	0
2016	27	Andorra-Sierra de Arcos	233,81	205,13	25,17	3,51	0	0
2016	28	Bajo Aragón	1924,4937	891,8407	627,993	74,82	329,84	0
2016	29	Comunidad de Teruel	1855,52	924,28	241,17	5,09	684,98	0
2016	30	Maestrazgo	643,23	4,31	597,56	41,36	0	0
2016	31	Sierra de Albarracín	2014,65	1561,45	453,15	0,05	0	0
2016	32	Gúdar-Javalambre	773,0649	559,5889	202,906	10,57	0	0
2016	33	Matarraña / Matarranya	2685,4523	2083,2461	399,78	161,6662	40,76	0
2017	01	La Jacetania	28,75	14,44	1,91	12,4	0	0
2017	02	Alto Gállego	690,784	641,134	49,65	0	0	0
2017	03	Sobrarbe	683,85	490,47	27,21	166,17	0	0
2017	04	La Ribagorza	126,4559	25,5372	4,3388	96,5799	0	0
2017	05	Cinco Villas	1379,4456	644,8556	119,5	81,5	533,59	0
2017	06	Hoya de Huesca / Plana de Uesca	646,6119	284,0955	8,7964	123,65	230,07	0
2017	07	Somontano de Barbastro	912,7817	778,9892	84,3025	49,49	0	0
2017	08	Cinca Medio	641,6431	540,8662	6,7967	54,6202	39,36	0
2017	09	La Litera / La Llitera	146,4867	76,0767	15,5	54,91	0	0
2017	10	Los Monegros	6107,5162	3911,9297	48,4065	199,17	1948,01	0
2017	11	Bajo Cinca / Baix Cinca	142,43	133,55	1,11	7,77	0	0
2017	12	Tarazona y el Moncayo	74,4704	16,9858	1,8346	1,04	54,61	0
2017	13	Campo de Borja	1669,425	261,24	64,4	12,406	1331,379	0
2017	14	Aranda	38,36	38,36	0	0	0	0
2017	15	Ribera Alta del Ebro	489,412	101,102	0	84,55	303,76	0
2017	16	Valdejalón	7027,0762	2970,9818	706,5419	425,4425	2924,11	0
2017	17	Central	5037,3507	2404,9394	436,6448	65,1865	2130,58	0
2017	18	Ribera Baja del Ebro	1949,3	1210,89	241,6	37,09	459,72	0
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2513,8442	2015,1943	243,949	102,5309	152,17	0
2017	20	Comunidad de Calatayud	1478,048	332,778	379,29	31,76	734,22	0
2017	21	Campo de Cariñena	1359,7281	971,71	6,69	132,1381	249,19	0
2017	22	Campo de Belchite	7793,295	6170,81	309,37	543,865	769,25	0
2017	23	Bajo Martín	2499,88	2260,56	161,94	55,58	21,8	0
2017	24	Campo de Daroca	402,4608	342,41	24,93	20,5096	14,6112	0
2017	25	Jiloca	1898,7531	1617,31	63,7731	156,55	61,12	0
2017	26	Cuencas Mineras	295,21	245,08	9,48	40,65	0	0
2017	27	Andorra-Sierra de Arcos	240,06	206,79	32,09	1,18	0	0
2017	28	Bajo Aragón	2135,4174	981,0837	600,7547	223,259	330,32	0
2017	29	Comunidad de Teruel	2489,2874	1610,1374	11,05	197,95	670,15	0
2017	30	Maestrazgo	1226,26	774,25	146,2	305,81	0	0
2017	31	Sierra de Albarracín	2127,81	1442,09	2,22	0	683,5	0
2017	32	Gúdar-Javalambre	754,5849	744,3649	0	10,22	0	0
2017	33	Matarraña / Matarranya	2790,1568	2138,5708	393,889	217,247	40,45	0
2018	01	La Jacetania	54,8	14,76	21,86	18,18	0	0
2018	02	Alto Gállego	724,924	706,804	14,66	0	3,46	0
2018	03	Sobrarbe	698,7	579,41	107,38	11,91	0	0
2018	04	La Ribagorza	102,9526	29,8526	67,45	5,65	0	0
2018	05	Cinco Villas	1799,8424	735,0224	82,7	432,35	549,77	0
2018	06	Hoya de Huesca / Plana de Uesca	704,0575	288,482	124,24	61,2655	230,07	0
2018	07	Somontano de Barbastro	892,128	819,01	19,75	53,368	0	0
2018	08	Cinca Medio	634,7626	437,4662	17,65	29,4	150,2464	0
2018	09	La Litera / La Llitera	156,336	121,196	23,94	11,2	0	0
2018	10	Los Monegros	6191,5929	3841,6885	80,1044	290,06	1979,74	0
2018	11	Bajo Cinca / Baix Cinca	120,66	86,21	5,59	28,86	0	0
2018	12	Tarazona y el Moncayo	82,7977	17,5508	2,5469	6,92	55,78	0
2018	13	Campo de Borja	1752,8419	312,8215	12,35	33,7204	1393,95	0
2018	14	Aranda	38,36	38,36	0	0	0	0
2018	15	Ribera Alta del Ebro	495,4145	102,2845	86,6	2,9	303,63	0
2018	16	Valdejalón	7061,915	3173,5199	591,5542	221,0909	3075,75	0
2018	17	Central	5063,4866	2020,3833	118,4788	85,9545	2838,67	0
2018	18	Ribera Baja del Ebro	2037,6865	1432,515	0,685	105,3765	499,11	0
2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2187,5019	1931,7259	84,17	14,091	157,515	0
2018	20	Comunidad de Calatayud	1425,8889	599,3699	22,54	167,999	635,98	0
2018	21	Campo de Cariñena	1425,87	951,2	115,05	111,8	247,82	0
2018	22	Campo de Belchite	7755,9436	6439,22	307,28	315,1536	694,29	0
2018	23	Bajo Martín	2581,15	2306,41	136,32	110,46	27,96	0
2018	24	Campo de Daroca	523,0572	450,6	32,48	25,368	14,6092	0
2018	25	Jiloca	2613,9321	2303,04	98,5231	157,059	55,31	0
2018	26	Cuencas Mineras	688,5095	240,24	9,48	438,7895	0	0
2018	27	Andorra-Sierra de Arcos	351,3	234,56	4,26	112,48	0	0
2018	28	Bajo Aragón	2171,9489	1469,5854	118,24	203,0735	381,05	0
2018	29	Comunidad de Teruel	2711,0855	1403,44	22,7499	555,1956	729,7	0
2018	30	Maestrazgo	1587,0828	1026,59	136,88	423,6128	0	0
2018	31	Sierra de Albarracín	2335,48	1642,79	1,77	7,42	683,5	0
2018	32	Gúdar-Javalambre	1581,2407	718,91	0	862,3307	0	0
2018	33	Matarraña / Matarranya	2821,1824	2382,3408	306,1761	92,2155	40,45	0
