Comarca código	Comarca nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
08	Cinca Medio	2011	24051	17442	12516	4926	495	629	11392	71,7578259373925
08	Cinca Medio	2015	24019	17191	12534	4657	434	507	11593	72,9102437321854
08	Cinca Medio	2016	23979	17150	11954	5196	343	325	11286	69,7026239067055
09	La Litera / La Llitera	2008	18867	14708	11012	3696	346	235	10431	74,8708186021213
09	La Litera / La Llitera	2011	19161	14271	10153	4118	418	556	9179	71,1442786069652
09	La Litera / La Llitera	2015	18696	13890	9824	4066	341	449	9034	70,7271418286537
09	La Litera / La Llitera	2016	18516	13777	9309	4468	260	282	8767	67,5691369674095
10	Los Monegros	2008	20947	17460	14057	3403	311	271	13475	80,5097365406644
10	Los Monegros	2011	20942	16693	12554	4139	431	703	11420	75,2051758222009
10	Los Monegros	2015	19826	15643	11613	4030	381	639	10593	74,2376781947197
10	Los Monegros	2016	19566	15455	11258	4197	335	369	10554	72,8437398900032
11	Bajo Cinca / Baix Cinca	2008	23645	17570	13514	4056	404	323	12787	76,9151963574274
11	Bajo Cinca / Baix Cinca	2011	24670	17162	12276	4886	557	745	10974	71,5301246940916
11	Bajo Cinca / Baix Cinca	2015	24817	16796	12212	4584	416	553	11243	72,7077875684687
11	Bajo Cinca / Baix Cinca	2016	24619	16720	11513	5207	361	360	10792	68,8576555023923
12	Tarazona y el Moncayo	2008	14690	11622	9182	2440	275	151	8756	79,0053347100327
12	Tarazona y el Moncayo	2011	14730	11522	8578	2944	365	544	7669	74,4488804027079
12	Tarazona y el Moncayo	2015	14405	11268	8342	2926	378	462	7502	74,03265885694
12	Tarazona y el Moncayo	2016	14258	11188	8049	3139	247	268	7534	71,9431533786199
13	Campo de Borja	2008	14914	11592	9160	2432	289	153	8718	79,0200138026225
13	Campo de Borja	2011	15517	11334	8705	2629	354	418	7933	76,8043056290806
13	Campo de Borja	2015	14600	10856	8064	2792	358	407	7299	74,2815033161385
13	Campo de Borja	2016	14346	10788	7627	3161	259	235	7133	70,6989247311828
14	Aranda	2008	7627	6221	4897	1324	142	83	4672	78,7172480308632
14	Aranda	2011	7617	5949	4223	1726	128	151	3944	70,9867204572197
14	Aranda	2015	7168	5718	4013	1705	163	179	3671	70,1818817768451
14	Aranda	2016	7082	5657	3799	1858	113	118	3568	67,1557362559661
15	Ribera Alta del Ebro	2008	25745	20293	15674	4619	513	265	14896	77,2384566106539
15	Ribera Alta del Ebro	2011	27827	20664	14888	5776	493	737	13658	72,0480061943477
15	Ribera Alta del Ebro	2015	27379	20267	14863	5404	594	626	13643	73,3359648689989
15	Ribera Alta del Ebro	2016	27141	20218	14554	5664	451	397	13706	71,9853595805718
16	Valdejalón	2008	27423	19949	15222	4727	355	282	14585	76,3045766705098
16	Valdejalón	2011	30533	19925	14116	5809	496	777	12843	70,8456712672522
16	Valdejalón	2015	29179	18958	13453	5505	481	592	12380	70,9621268066252
16	Valdejalón	2016	28763	18932	12909	6023	365	419	12125	68,1861398690049
17	Central	2008	714604	542650	416286	126364	8882	10276	397128	76,7135354279923
17	Central	2011	746719	547786	395870	151916	15215	28210	352445	72,267272255954
17	Central	2015	743147	554893	413711	141182	11740	19336	382635	74,5568965548313
17	Central	2016	742656	551885	396336	155549	8143	10610	377583	71,8149614503021
18	Ribera Baja del Ebro	2008	9155	7545	5764	1781	174	121	5469	76,3949635520212
18	Ribera Baja del Ebro	2011	9452	7476	5275	2201	236	305	4734	70,5591225254147
18	Ribera Baja del Ebro	2015	9102	7140	5126	2014	259	245	4622	71,7927170868347
18	Ribera Baja del Ebro	2016	8964	7049	4910	2139	182	181	4547	69,6552702510994
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	13575	10791	8228	2563	284	176	7768	76,2487257900102
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	15016	10450	7347	3103	433	387	6527	70,3062200956938
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	14994	10031	7145	2886	428	336	6381	71,2291895125112
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2016	14908	9955	6769	3186	251	226	6292	67,9959819186339
20	Comunidad de Calatayud	2008	41356	31571	24381	7190	712	440	23229	77,2259351936904
20	Comunidad de Calatayud	2011	42013	30458	22007	8451	759	1116	20132	72,253595114584
20	Comunidad de Calatayud	2015	39587	28270	20152	8118	845	1148	18159	71,284046692607
20	Comunidad de Calatayud	2016	38362	28863	20449	8414	566	678	19205	70,8484911478363
21	Campo de Cariñena	2008	10606	7943	6436	1507	195	116	6125	81,0273196525242
21	Campo de Cariñena	2011	11173	7813	6030	1783	241	267	5522	77,1790605401254
21	Campo de Cariñena	2015	10663	7299	5495	1804	263	254	4978	75,2842855185642
21	Campo de Cariñena	2016	10352	7259	5465	1794	158	166	5141	75,2858520457363
22	Campo de Belchite	2008	5222	4664	3728	936	74	40	3614	79,9313893653516
22	Campo de Belchite	2011	5260	4476	3448	1028	90	137	3221	77,0330652368186
22	Campo de Belchite	2015	4967	4132	3072	1060	86	126	2860	74,3465634075508
22	Campo de Belchite	2016	4885	4048	3029	1019	62	72	2895	74,8270750988142
23	Bajo Martín	2008	7427	5950	4694	1256	139	82	4473	78,890756302521
23	Bajo Martín	2011	7135	5652	4132	1520	171	156	3805	73,10686482661
23	Bajo Martín	2015	6689	5307	3871	1436	146	148	3577	72,9413981533823
23	Bajo Martín	2016	6619	5244	3727	1517	117	100	3510	71,0717009916095
24	Campo de Daroca	2008	6539	5577	4272	1305	109	67	4096	76,6003227541689
24	Campo de Daroca	2011	6192	5245	3851	1394	129	199	3523	73,4223069590086
24	Campo de Daroca	2015	6026	4821	3473	1348	101	186	3186	72,0389960589089
24	Campo de Daroca	2016	5901	4749	3544	1205	96	120	3328	74,6262371025479
25	Jiloca	2008	14253	11168	8457	2711	292	132	8033	75,7252865329513
25	Jiloca	2011	14142	10566	7519	3047	248	365	6906	71,1622184364944
25	Jiloca	2015	13205	9993	6906	3087	283	383	6240	69,1083758631042
25	Jiloca	2016	12980	9866	6826	3040	247	207	6372	69,1871072369755
26	Cuencas Mineras	2008	9496	7471	5710	1761	189	69	5452	76,4288582519074
26	Cuencas Mineras	2011	9094	7107	5051	2056	180	276	4595	71,0707752919657
26	Cuencas Mineras	2015	8701	6729	4939	1790	149	144	4646	73,3987219497697
26	Cuencas Mineras	2016	8591	6648	4731	1917	150	121	4460	71,1642599277978
27	Andorra-Sierra de Arcos	2008	11312	8785	7003	1782	181	129	6693	79,7154240182129
27	Andorra-Sierra de Arcos	2011	11523	8560	6089	2471	387	262	5440	71,1331775700935
27	Andorra-Sierra de Arcos	2015	10906	8191	6093	2098	266	230	5597	74,386521792211
27	Andorra-Sierra de Arcos	2016	10743	8119	5607	2512	195	161	5251	69,0602290922527
28	Bajo Aragón	2008	29358	21811	17014	4797	521	291	16202	78,0065104763651
28	Bajo Aragón	2011	30311	21599	15534	6065	926	1013	13595	71,9199962961248
28	Bajo Aragón	2015	29640	21152	15853	5299	620	736	14497	74,9479954614221
28	Bajo Aragón	2016	29410	21090	15052	6038	525	524	14003	71,3703176861072
29	Comunidad de Teruel	2008	45953	35383	27687	7696	776	574	26337	78,2494418223441
29	Comunidad de Teruel	2011	46957	35300	25676	9624	1055	1803	22818	72,7365439093484
29	Comunidad de Teruel	2015	46724	35363	26286	9077	1019	1329	23938	74,3319288521901
29	Comunidad de Teruel	2016	46426	35296	25422	9874	798	834	23790	72,0251586582049
30	Maestrazgo	2008	3735	2959	2274	685	83	38	2153	76,8502872592092
30	Maestrazgo	2011	3682	2843	2067	776	71	128	1868	72,7048892015477
30	Maestrazgo	2015	3402	2635	1959	676	60	102	1797	74,3453510436433
30	Maestrazgo	2016	3333	2617	1907	710	60	86	1761	72,8696981276271
31	Sierra de Albarracín	2008	5041	4141	3177	964	82	31	3064	76,7205988891572
31	Sierra de Albarracín	2011	4930	4035	2957	1078	103	173	2681	73,2837670384139
31	Sierra de Albarracín	2015	4690	3891	2824	1067	94	166	2564	72,5777435106656
31	Sierra de Albarracín	2016	4652	3871	2834	1037	76	119	2639	73,2110565745285
32	Gúdar-Javalambre	2008	8674	6310	4983	1327	200	78	4705	78,9698890649762
32	Gúdar-Javalambre	2011	8610	6111	4646	1465	151	213	4282	76,0268368515791
32	Gúdar-Javalambre	2015	7917	5845	4501	1344	164	176	4161	77,0059880239521
32	Gúdar-Javalambre	2016	7793	5762	4336	1426	127	136	4073	75,2516487330788
33	Matarraña / Matarranya	2008	8797	6993	5350	1643	190	80	5080	76,5050765050765
33	Matarraña / Matarranya	2011	8893	6697	4835	1862	233	199	4403	72,1965058981634
33	Matarraña / Matarranya	2015	8491	6346	4576	1770	177	219	4180	72,1084147494485
33	Matarraña / Matarranya	2016	8385	6296	4428	1868	160	148	4120	70,3303684879288
