Municipio código	Municipio nombre	Situación preferente	Personas residentes viviendas familiares
22050	Barbuñales	Ocupados	38
22050	Barbuñales	Parados buscando el primer empleo	1
22050	Barbuñales	Pensionistas de invalidez	1
22050	Barbuñales	Pensionistas de viudedad u orfandad	12
22050	Barbuñales	Pensionistas de jubilación	18
22050	Barbuñales	Realizando o compartiendo las labores del hogar	19
22050	Barbuñales	Otra situación	3
22051	Bárcabo	Estudiantes	12
22051	Bárcabo	Ocupados	43
22051	Bárcabo	Parados buscando el primer empleo	1
22051	Bárcabo	Parados que han trabajado antes	5
22051	Bárcabo	Pensionistas de invalidez	3
22051	Bárcabo	Pensionistas de viudedad u orfandad	8
22051	Bárcabo	Pensionistas de jubilación	21
22051	Bárcabo	Dependientes	1
22051	Bárcabo	Realizando o compartiendo las labores del hogar	16
22051	Bárcabo	Otra situación	2
22052	Belver de Cinca	Estudiantes	206
22052	Belver de Cinca	Ocupados	484
22052	Belver de Cinca	Parados buscando el primer empleo	10
22052	Belver de Cinca	Parados que han trabajado antes	25
22052	Belver de Cinca	Pensionistas de invalidez	3
22052	Belver de Cinca	Pensionistas de viudedad u orfandad	18
22052	Belver de Cinca	Pensionistas de jubilación	219
22052	Belver de Cinca	Dependientes	10
22052	Belver de Cinca	Realizando o compartiendo las labores del hogar	329
22052	Belver de Cinca	Otra situación	13
22053	Benabarre	Estudiantes	143
22053	Benabarre	Ocupados	406
22053	Benabarre	Parados buscando el primer empleo	16
22053	Benabarre	Parados que han trabajado antes	16
22053	Benabarre	Pensionistas de invalidez	17
22053	Benabarre	Pensionistas de viudedad u orfandad	80
22053	Benabarre	Pensionistas de jubilación	220
22053	Benabarre	Realizando tareas de voluntariado	2
22053	Benabarre	Dependientes	4
22053	Benabarre	Realizando o compartiendo las labores del hogar	161
22053	Benabarre	Otra situación	14
22054	Benasque	Estudiantes	257
22054	Benasque	Ocupados	813
22054	Benasque	Parados buscando el primer empleo	10
22054	Benasque	Parados que han trabajado antes	100
22054	Benasque	Pensionistas de invalidez	16
22054	Benasque	Pensionistas de viudedad u orfandad	29
22054	Benasque	Pensionistas de jubilación	132
22054	Benasque	Dependientes	1
22054	Benasque	Realizando o compartiendo las labores del hogar	81
22054	Benasque	Otra situación	50
22055	Berbegal	Estudiantes	74
22055	Berbegal	Ocupados	166
22055	Berbegal	Parados buscando el primer empleo	1
22055	Berbegal	Parados que han trabajado antes	11
22055	Berbegal	Pensionistas de invalidez	8
22055	Berbegal	Pensionistas de viudedad u orfandad	42
22055	Berbegal	Pensionistas de jubilación	80
22055	Berbegal	Dependientes	7
22055	Berbegal	Realizando o compartiendo las labores del hogar	61
22055	Berbegal	Otra situación	10
22057	Bielsa	Estudiantes	74
22057	Bielsa	Ocupados	178
22057	Bielsa	Parados buscando el primer empleo	2
22057	Bielsa	Parados que han trabajado antes	14
22057	Bielsa	Pensionistas de invalidez	8
22057	Bielsa	Pensionistas de viudedad u orfandad	18
22057	Bielsa	Pensionistas de jubilación	101
22057	Bielsa	Realizando o compartiendo las labores del hogar	59
22057	Bielsa	Otra situación	2
22058	Bierge	Estudiantes	16
22058	Bierge	Ocupados	87
22058	Bierge	Parados que han trabajado antes	7
22058	Bierge	Pensionistas de invalidez	4
22058	Bierge	Pensionistas de viudedad u orfandad	14
22058	Bierge	Pensionistas de jubilación	55
22058	Bierge	Realizando o compartiendo las labores del hogar	37
22058	Bierge	Otra situación	4
22059	Biescas	Estudiantes	187
22059	Biescas	Ocupados	511
22059	Biescas	Parados buscando el primer empleo	5
22059	Biescas	Parados que han trabajado antes	29
22059	Biescas	Pensionistas de invalidez	34
22059	Biescas	Pensionistas de viudedad u orfandad	41
22059	Biescas	Pensionistas de jubilación	249
22059	Biescas	Dependientes	4
22059	Biescas	Realizando o compartiendo las labores del hogar	140
22059	Biescas	Otra situación	27
22060	Binaced	Estudiantes	252
22060	Binaced	Ocupados	701
22060	Binaced	Parados buscando el primer empleo	10
22060	Binaced	Parados que han trabajado antes	38
22060	Binaced	Pensionistas de invalidez	25
22060	Binaced	Pensionistas de viudedad u orfandad	100
22060	Binaced	Pensionistas de jubilación	224
22060	Binaced	Realizando tareas de voluntariado	2
22060	Binaced	Dependientes	13
22060	Binaced	Realizando o compartiendo las labores del hogar	210
22060	Binaced	Otra situación	64
22061	Binéfar	Estudiantes	1538
22061	Binéfar	Ocupados	3685
22061	Binéfar	Parados buscando el primer empleo	47
22061	Binéfar	Parados que han trabajado antes	152
22061	Binéfar	Pensionistas de invalidez	155
22061	Binéfar	Pensionistas de viudedad u orfandad	466
22061	Binéfar	Pensionistas de jubilación	1020
22061	Binéfar	Realizando tareas de voluntariado	1
22061	Binéfar	Dependientes	10
22061	Binéfar	Realizando o compartiendo las labores del hogar	1164
22061	Binéfar	Otra situación	159
22062	Bisaurri	Estudiantes	24
22062	Bisaurri	Ocupados	102
22062	Bisaurri	Parados que han trabajado antes	3
22062	Bisaurri	Pensionistas de invalidez	2
22062	Bisaurri	Pensionistas de viudedad u orfandad	22
22062	Bisaurri	Pensionistas de jubilación	42
22062	Bisaurri	Realizando o compartiendo las labores del hogar	25
22062	Bisaurri	Otra situación	4
22063	Biscarrués	Estudiantes	25
22063	Biscarrués	Ocupados	71
22063	Biscarrués	Parados buscando el primer empleo	2
22063	Biscarrués	Parados que han trabajado antes	7
22063	Biscarrués	Pensionistas de invalidez	9
22063	Biscarrués	Pensionistas de viudedad u orfandad	13
22063	Biscarrués	Pensionistas de jubilación	50
22063	Biscarrués	Dependientes	3
22063	Biscarrués	Realizando o compartiendo las labores del hogar	41
22063	Biscarrués	Otra situación	6
22064	Blecua y Torres	Estudiantes	20
22064	Blecua y Torres	Ocupados	82
22064	Blecua y Torres	Parados que han trabajado antes	6
22064	Blecua y Torres	Pensionistas de invalidez	3
22064	Blecua y Torres	Pensionistas de viudedad u orfandad	17
22064	Blecua y Torres	Pensionistas de jubilación	29
22064	Blecua y Torres	Realizando o compartiendo las labores del hogar	33
22064	Blecua y Torres	Otra situación	5
22066	Boltaña	Estudiantes	134
22066	Boltaña	Ocupados	347
22066	Boltaña	Parados buscando el primer empleo	3
22066	Boltaña	Parados que han trabajado antes	18
22066	Boltaña	Pensionistas de invalidez	12
22066	Boltaña	Pensionistas de viudedad u orfandad	51
22066	Boltaña	Pensionistas de jubilación	134
22066	Boltaña	Realizando o compartiendo las labores del hogar	99
22066	Boltaña	Otra situación	16
22067	Bonansa	Estudiantes	11
22067	Bonansa	Ocupados	32
22067	Bonansa	Parados buscando el primer empleo	1
22067	Bonansa	Parados que han trabajado antes	7
22067	Bonansa	Pensionistas de invalidez	1
22067	Bonansa	Pensionistas de viudedad u orfandad	7
22067	Bonansa	Pensionistas de jubilación	15
22067	Bonansa	Realizando o compartiendo las labores del hogar	6
22067	Bonansa	Otra situación	4
22068	Borau	Estudiantes	9
22068	Borau	Ocupados	36
22068	Borau	Parados que han trabajado antes	3
22068	Borau	Pensionistas de viudedad u orfandad	7
22068	Borau	Pensionistas de jubilación	11
22068	Borau	Realizando o compartiendo las labores del hogar	7
22068	Borau	Otra situación	1
22069	Broto	Estudiantes	94
22069	Broto	Ocupados	222
22069	Broto	Parados buscando el primer empleo	4
22069	Broto	Parados que han trabajado antes	13
22069	Broto	Pensionistas de invalidez	4
22069	Broto	Pensionistas de viudedad u orfandad	13
22069	Broto	Pensionistas de jubilación	81
22069	Broto	Dependientes	2
22069	Broto	Realizando o compartiendo las labores del hogar	94
22069	Broto	Otra situación	12
22072	Caldearenas	Estudiantes	25
22072	Caldearenas	Ocupados	96
22072	Caldearenas	Parados que han trabajado antes	12
22072	Caldearenas	Pensionistas de invalidez	3
22072	Caldearenas	Pensionistas de viudedad u orfandad	13
22072	Caldearenas	Pensionistas de jubilación	55
22072	Caldearenas	Dependientes	4
22072	Caldearenas	Realizando o compartiendo las labores del hogar	37
22072	Caldearenas	Otra situación	4
22074	Campo	Estudiantes	63
22074	Campo	Ocupados	134
22074	Campo	Parados buscando el primer empleo	4
22074	Campo	Parados que han trabajado antes	7
22074	Campo	Pensionistas de invalidez	5
22074	Campo	Pensionistas de viudedad u orfandad	34
22074	Campo	Pensionistas de jubilación	46
22074	Campo	Dependientes	3
22074	Campo	Realizando o compartiendo las labores del hogar	41
22074	Campo	Otra situación	11
22075	Camporrells	Estudiantes	16
22075	Camporrells	Ocupados	91
22075	Camporrells	Parados que han trabajado antes	1
22075	Camporrells	Pensionistas de invalidez	6
22075	Camporrells	Pensionistas de viudedad u orfandad	21
22075	Camporrells	Pensionistas de jubilación	59
22075	Camporrells	Dependientes	2
22075	Camporrells	Realizando o compartiendo las labores del hogar	46
22075	Camporrells	Otra situación	5
22076	Canal de Berdún	Estudiantes	55
22076	Canal de Berdún	Ocupados	155
22076	Canal de Berdún	Parados buscando el primer empleo	2
22076	Canal de Berdún	Parados que han trabajado antes	8
22076	Canal de Berdún	Pensionistas de invalidez	5
22076	Canal de Berdún	Pensionistas de viudedad u orfandad	19
22076	Canal de Berdún	Pensionistas de jubilación	97
22076	Canal de Berdún	Dependientes	3
22076	Canal de Berdún	Realizando o compartiendo las labores del hogar	68
22076	Canal de Berdún	Otra situación	10
22077	Candasnos	Estudiantes	59
22077	Candasnos	Ocupados	263
22077	Candasnos	Parados buscando el primer empleo	10
22077	Candasnos	Parados que han trabajado antes	16
22077	Candasnos	Pensionistas de invalidez	17
22077	Candasnos	Pensionistas de viudedad u orfandad	30
22077	Candasnos	Pensionistas de jubilación	95
22077	Candasnos	Dependientes	1
22077	Candasnos	Realizando o compartiendo las labores del hogar	74
22077	Candasnos	Otra situación	3
22078	Canfranc	Estudiantes	65
22078	Canfranc	Ocupados	305
22078	Canfranc	Parados buscando el primer empleo	8
22078	Canfranc	Parados que han trabajado antes	24
22078	Canfranc	Pensionistas de invalidez	8
22078	Canfranc	Pensionistas de viudedad u orfandad	20
22078	Canfranc	Pensionistas de jubilación	56
22078	Canfranc	Realizando o compartiendo las labores del hogar	31
22078	Canfranc	Otra situación	15
22079	Capdesaso	Estudiantes	28
22079	Capdesaso	Ocupados	52
22079	Capdesaso	Parados que han trabajado antes	2
22079	Capdesaso	Pensionistas de invalidez	2
22079	Capdesaso	Pensionistas de viudedad u orfandad	7
22079	Capdesaso	Pensionistas de jubilación	58
22079	Capdesaso	Dependientes	1
22079	Capdesaso	Realizando o compartiendo las labores del hogar	19
22079	Capdesaso	Otra situación	1
22080	Capella	Estudiantes	42
22080	Capella	Ocupados	140
22080	Capella	Parados buscando el primer empleo	1
22080	Capella	Parados que han trabajado antes	6
