Municipio código	Municipio nombre	Condición socioeconómica código	Condición socioeconómica	Sexo	Personas residentes viviendas familiares
22003	Adahuesca	8	Empresarios no agrarios sin asalariados	Hombres	5
22003	Adahuesca	8	Empresarios no agrarios sin asalariados	Mujeres	4
22003	Adahuesca	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	1
22003	Adahuesca	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	6
22003	Adahuesca	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	3
22003	Adahuesca	13	Resto del personal administrativo y comercial	Mujeres	4
22003	Adahuesca	14	Resto del personal de los servicios	Mujeres	3
22003	Adahuesca	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	10
22003	Adahuesca	17	Operarios sin especialización de establecimientos no agrarios	Hombres	5
22003	Adahuesca	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	1
22003	Adahuesca	19	No clasificables por condicion socioeconómica	Hombres	1
22004	Agüero	2	Empresarios agrarios sin asalariados	Hombres	6
22004	Agüero	2	Empresarios agrarios sin asalariados	Mujeres	1
22004	Agüero	5	Resto de trabajadores de explotaciones agrarias	Hombres	3
22004	Agüero	7	Empresarios no agrarios con asalariados	Hombres	4
22004	Agüero	7	Empresarios no agrarios con asalariados	Mujeres	1
22004	Agüero	8	Empresarios no agrarios sin asalariados	Hombres	3
22004	Agüero	8	Empresarios no agrarios sin asalariados	Mujeres	1
22004	Agüero	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	1
22004	Agüero	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	3
22004	Agüero	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	3
22004	Agüero	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	1
22004	Agüero	13	Resto del personal administrativo y comercial	Hombres	1
22004	Agüero	13	Resto del personal administrativo y comercial	Mujeres	2
22004	Agüero	14	Resto del personal de los servicios	Hombres	4
22004	Agüero	14	Resto del personal de los servicios	Mujeres	8
22004	Agüero	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	6
22004	Agüero	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	1
22004	Agüero	17	Operarios sin especialización de establecimientos no agrarios	Hombres	4
22006	Aísa	1	Empresarios agrarios con asalariados	Hombres	3
22006	Aísa	2	Empresarios agrarios sin asalariados	Hombres	10
22006	Aísa	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	2
22006	Aísa	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	1
22006	Aísa	7	Empresarios no agrarios con asalariados	Hombres	14
22006	Aísa	7	Empresarios no agrarios con asalariados	Mujeres	7
22006	Aísa	8	Empresarios no agrarios sin asalariados	Hombres	11
22006	Aísa	8	Empresarios no agrarios sin asalariados	Mujeres	3
22006	Aísa	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	9
22006	Aísa	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	2
22006	Aísa	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	9
22006	Aísa	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	9
22006	Aísa	13	Resto del personal administrativo y comercial	Hombres	8
22006	Aísa	13	Resto del personal administrativo y comercial	Mujeres	17
22006	Aísa	14	Resto del personal de los servicios	Hombres	9
22006	Aísa	14	Resto del personal de los servicios	Mujeres	19
22006	Aísa	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	2
22006	Aísa	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	1
22006	Aísa	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	30
22006	Aísa	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	2
22006	Aísa	17	Operarios sin especialización de establecimientos no agrarios	Hombres	7
22006	Aísa	18	Profesionales de las fuerzas armadas	Hombres	1
22007	Albalate de Cinca	1	Empresarios agrarios con asalariados	Hombres	18
22007	Albalate de Cinca	2	Empresarios agrarios sin asalariados	Hombres	71
22007	Albalate de Cinca	2	Empresarios agrarios sin asalariados	Mujeres	2
22007	Albalate de Cinca	3	Miembros de cooperativas agrarias	Hombres	1
22007	Albalate de Cinca	5	Resto de trabajadores de explotaciones agrarias	Hombres	58
22007	Albalate de Cinca	5	Resto de trabajadores de explotaciones agrarias	Mujeres	4
22007	Albalate de Cinca	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	3
22007	Albalate de Cinca	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	1
22007	Albalate de Cinca	7	Empresarios no agrarios con asalariados	Hombres	16
22007	Albalate de Cinca	7	Empresarios no agrarios con asalariados	Mujeres	11
22007	Albalate de Cinca	8	Empresarios no agrarios sin asalariados	Hombres	31
22007	Albalate de Cinca	8	Empresarios no agrarios sin asalariados	Mujeres	15
22007	Albalate de Cinca	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	2
22007	Albalate de Cinca	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	2
22007	Albalate de Cinca	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	20
22007	Albalate de Cinca	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	21
22007	Albalate de Cinca	13	Resto del personal administrativo y comercial	Hombres	5
22007	Albalate de Cinca	13	Resto del personal administrativo y comercial	Mujeres	20
22007	Albalate de Cinca	14	Resto del personal de los servicios	Hombres	10
22007	Albalate de Cinca	14	Resto del personal de los servicios	Mujeres	15
22007	Albalate de Cinca	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	5
22007	Albalate de Cinca	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	88
22007	Albalate de Cinca	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	32
22007	Albalate de Cinca	17	Operarios sin especialización de establecimientos no agrarios	Hombres	39
22007	Albalate de Cinca	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	3
22007	Albalate de Cinca	18	Profesionales de las fuerzas armadas	Hombres	1
22007	Albalate de Cinca	19	No clasificables por condicion socioeconómica	Hombres	2
22008	Albalatillo	1	Empresarios agrarios con asalariados	Hombres	4
22008	Albalatillo	1	Empresarios agrarios con asalariados	Mujeres	1
22008	Albalatillo	2	Empresarios agrarios sin asalariados	Hombres	19
22008	Albalatillo	2	Empresarios agrarios sin asalariados	Mujeres	8
22008	Albalatillo	5	Resto de trabajadores de explotaciones agrarias	Hombres	3
22008	Albalatillo	7	Empresarios no agrarios con asalariados	Hombres	2
22008	Albalatillo	8	Empresarios no agrarios sin asalariados	Hombres	2
22008	Albalatillo	8	Empresarios no agrarios sin asalariados	Mujeres	3
22008	Albalatillo	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	1
22008	Albalatillo	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	4
22008	Albalatillo	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	2
22008	Albalatillo	13	Resto del personal administrativo y comercial	Hombres	3
22008	Albalatillo	13	Resto del personal administrativo y comercial	Mujeres	4
22008	Albalatillo	14	Resto del personal de los servicios	Hombres	3
22008	Albalatillo	14	Resto del personal de los servicios	Mujeres	5
22008	Albalatillo	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	1
22008	Albalatillo	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	13
22008	Albalatillo	17	Operarios sin especialización de establecimientos no agrarios	Hombres	7
22009	Albelda	1	Empresarios agrarios con asalariados	Hombres	6
22009	Albelda	2	Empresarios agrarios sin asalariados	Hombres	81
22009	Albelda	2	Empresarios agrarios sin asalariados	Mujeres	7
22009	Albelda	5	Resto de trabajadores de explotaciones agrarias	Hombres	7
22009	Albelda	5	Resto de trabajadores de explotaciones agrarias	Mujeres	1
22009	Albelda	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	3
22009	Albelda	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	5
22009	Albelda	7	Empresarios no agrarios con asalariados	Hombres	11
22009	Albelda	7	Empresarios no agrarios con asalariados	Mujeres	1
22009	Albelda	8	Empresarios no agrarios sin asalariados	Hombres	16
22009	Albelda	8	Empresarios no agrarios sin asalariados	Mujeres	13
22009	Albelda	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	1
22009	Albelda	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	14
22009	Albelda	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	22
22009	Albelda	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	1
22009	Albelda	13	Resto del personal administrativo y comercial	Hombres	8
22009	Albelda	13	Resto del personal administrativo y comercial	Mujeres	26
22009	Albelda	14	Resto del personal de los servicios	Hombres	8
22009	Albelda	14	Resto del personal de los servicios	Mujeres	18
22009	Albelda	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	35
22009	Albelda	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	7
22009	Albelda	17	Operarios sin especialización de establecimientos no agrarios	Hombres	18
22009	Albelda	19	No clasificables por condicion socioeconómica	Mujeres	3
22011	Albero Alto	1	Empresarios agrarios con asalariados	Hombres	1
22011	Albero Alto	2	Empresarios agrarios sin asalariados	Hombres	15
22011	Albero Alto	2	Empresarios agrarios sin asalariados	Mujeres	2
22011	Albero Alto	7	Empresarios no agrarios con asalariados	Hombres	3
22011	Albero Alto	7	Empresarios no agrarios con asalariados	Mujeres	1
22011	Albero Alto	8	Empresarios no agrarios sin asalariados	Hombres	1
22011	Albero Alto	8	Empresarios no agrarios sin asalariados	Mujeres	1
22011	Albero Alto	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	3
22011	Albero Alto	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	3
22011	Albero Alto	13	Resto del personal administrativo y comercial	Hombres	2
22011	Albero Alto	13	Resto del personal administrativo y comercial	Mujeres	5
22011	Albero Alto	14	Resto del personal de los servicios	Hombres	2
22011	Albero Alto	14	Resto del personal de los servicios	Mujeres	2
22011	Albero Alto	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	2
22012	Albero Bajo	1	Empresarios agrarios con asalariados	Hombres	3
22012	Albero Bajo	2	Empresarios agrarios sin asalariados	Hombres	14
22012	Albero Bajo	5	Resto de trabajadores de explotaciones agrarias	Hombres	6
22012	Albero Bajo	7	Empresarios no agrarios con asalariados	Hombres	2
22012	Albero Bajo	8	Empresarios no agrarios sin asalariados	Hombres	1
22012	Albero Bajo	8	Empresarios no agrarios sin asalariados	Mujeres	1
22012	Albero Bajo	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	1
22012	Albero Bajo	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	3
22012	Albero Bajo	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	2
22012	Albero Bajo	13	Resto del personal administrativo y comercial	Hombres	2
22012	Albero Bajo	13	Resto del personal administrativo y comercial	Mujeres	2
22012	Albero Bajo	14	Resto del personal de los servicios	Hombres	1
22012	Albero Bajo	14	Resto del personal de los servicios	Mujeres	2
22012	Albero Bajo	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	2
22012	Albero Bajo	18	Profesionales de las fuerzas armadas	Hombres	1
22013	Alberuela de Tubo	1	Empresarios agrarios con asalariados	Hombres	3
22013	Alberuela de Tubo	2	Empresarios agrarios sin asalariados	Hombres	48
22013	Alberuela de Tubo	2	Empresarios agrarios sin asalariados	Mujeres	1
22013	Alberuela de Tubo	5	Resto de trabajadores de explotaciones agrarias	Hombres	6
22013	Alberuela de Tubo	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	1
22013	Alberuela de Tubo	7	Empresarios no agrarios con asalariados	Hombres	1
22013	Alberuela de Tubo	8	Empresarios no agrarios sin asalariados	Hombres	5
22013	Alberuela de Tubo	8	Empresarios no agrarios sin asalariados	Mujeres	2
22013	Alberuela de Tubo	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	1
22013	Alberuela de Tubo	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	1
22013	Alberuela de Tubo	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	5
22013	Alberuela de Tubo	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	8
22013	Alberuela de Tubo	13	Resto del personal administrativo y comercial	Hombres	1
22013	Alberuela de Tubo	13	Resto del personal administrativo y comercial	Mujeres	9
22013	Alberuela de Tubo	14	Resto del personal de los servicios	Hombres	3
22013	Alberuela de Tubo	14	Resto del personal de los servicios	Mujeres	9
22013	Alberuela de Tubo	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	1
22013	Alberuela de Tubo	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	26
22013	Alberuela de Tubo	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	5
22013	Alberuela de Tubo	17	Operarios sin especialización de establecimientos no agrarios	Hombres	3
22013	Alberuela de Tubo	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	3
22013	Alberuela de Tubo	18	Profesionales de las fuerzas armadas	Hombres	1
22014	Alcalá de Gurrea	1	Empresarios agrarios con asalariados	Hombres	1
22014	Alcalá de Gurrea	2	Empresarios agrarios sin asalariados	Hombres	22
22014	Alcalá de Gurrea	5	Resto de trabajadores de explotaciones agrarias	Hombres	3
22014	Alcalá de Gurrea	7	Empresarios no agrarios con asalariados	Hombres	3
22014	Alcalá de Gurrea	7	Empresarios no agrarios con asalariados	Mujeres	2
22014	Alcalá de Gurrea	8	Empresarios no agrarios sin asalariados	Hombres	5
22014	Alcalá de Gurrea	8	Empresarios no agrarios sin asalariados	Mujeres	3
22014	Alcalá de Gurrea	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	2
22014	Alcalá de Gurrea	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	2
22014	Alcalá de Gurrea	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	4
22014	Alcalá de Gurrea	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	2
22014	Alcalá de Gurrea	13	Resto del personal administrativo y comercial	Hombres	5
22014	Alcalá de Gurrea	13	Resto del personal administrativo y comercial	Mujeres	7
22014	Alcalá de Gurrea	14	Resto del personal de los servicios	Hombres	4
22014	Alcalá de Gurrea	14	Resto del personal de los servicios	Mujeres	10
22014	Alcalá de Gurrea	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	1
22014	Alcalá de Gurrea	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	20
22014	Alcalá de Gurrea	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	2
22014	Alcalá de Gurrea	17	Operarios sin especialización de establecimientos no agrarios	Hombres	5
22014	Alcalá de Gurrea	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	1
22014	Alcalá de Gurrea	19	No clasificables por condicion socioeconómica	Mujeres	1
22015	Alcalá del Obispo	1	Empresarios agrarios con asalariados	Hombres	1
22015	Alcalá del Obispo	2	Empresarios agrarios sin asalariados	Hombres	37
22015	Alcalá del Obispo	2	Empresarios agrarios sin asalariados	Mujeres	1
22015	Alcalá del Obispo	5	Resto de trabajadores de explotaciones agrarias	Hombres	5
22015	Alcalá del Obispo	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	3
22015	Alcalá del Obispo	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	3
22015	Alcalá del Obispo	7	Empresarios no agrarios con asalariados	Hombres	3
22015	Alcalá del Obispo	8	Empresarios no agrarios sin asalariados	Hombres	6
22015	Alcalá del Obispo	8	Empresarios no agrarios sin asalariados	Mujeres	5
22015	Alcalá del Obispo	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	13
22015	Alcalá del Obispo	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	4
22015	Alcalá del Obispo	13	Resto del personal administrativo y comercial	Hombres	5
22015	Alcalá del Obispo	13	Resto del personal administrativo y comercial	Mujeres	9
22015	Alcalá del Obispo	14	Resto del personal de los servicios	Hombres	2
22015	Alcalá del Obispo	14	Resto del personal de los servicios	Mujeres	9
22015	Alcalá del Obispo	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	1
22015	Alcalá del Obispo	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	19
22015	Alcalá del Obispo	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	2
22015	Alcalá del Obispo	17	Operarios sin especialización de establecimientos no agrarios	Hombres	2
22015	Alcalá del Obispo	18	Profesionales de las fuerzas armadas	Hombres	1
22015	Alcalá del Obispo	18	Profesionales de las fuerzas armadas	Mujeres	1
22016	Alcampell	1	Empresarios agrarios con asalariados	Hombres	4
22016	Alcampell	2	Empresarios agrarios sin asalariados	Hombres	78
22016	Alcampell	2	Empresarios agrarios sin asalariados	Mujeres	7
22016	Alcampell	5	Resto de trabajadores de explotaciones agrarias	Hombres	8
22016	Alcampell	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	3
22016	Alcampell	7	Empresarios no agrarios con asalariados	Hombres	12
22016	Alcampell	7	Empresarios no agrarios con asalariados	Mujeres	1
22016	Alcampell	8	Empresarios no agrarios sin asalariados	Hombres	24
22016	Alcampell	8	Empresarios no agrarios sin asalariados	Mujeres	12
22016	Alcampell	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	2
22016	Alcampell	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	16
22016	Alcampell	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	17
22016	Alcampell	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	1
22016	Alcampell	13	Resto del personal administrativo y comercial	Hombres	2
22016	Alcampell	13	Resto del personal administrativo y comercial	Mujeres	15
22016	Alcampell	14	Resto del personal de los servicios	Hombres	5
22016	Alcampell	14	Resto del personal de los servicios	Mujeres	11
22016	Alcampell	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	1
22016	Alcampell	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	41
22016	Alcampell	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	17
22016	Alcampell	17	Operarios sin especialización de establecimientos no agrarios	Hombres	6
22016	Alcampell	19	No clasificables por condicion socioeconómica	Hombres	1
22016	Alcampell	19	No clasificables por condicion socioeconómica	Mujeres	4
22017	Alcolea de Cinca	1	Empresarios agrarios con asalariados	Hombres	4
22017	Alcolea de Cinca	2	Empresarios agrarios sin asalariados	Hombres	71
22017	Alcolea de Cinca	2	Empresarios agrarios sin asalariados	Mujeres	8
22017	Alcolea de Cinca	5	Resto de trabajadores de explotaciones agrarias	Hombres	34
22017	Alcolea de Cinca	5	Resto de trabajadores de explotaciones agrarias	Mujeres	2
22017	Alcolea de Cinca	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	7
22017	Alcolea de Cinca	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	5
22017	Alcolea de Cinca	7	Empresarios no agrarios con asalariados	Hombres	14
22017	Alcolea de Cinca	7	Empresarios no agrarios con asalariados	Mujeres	4
22017	Alcolea de Cinca	8	Empresarios no agrarios sin asalariados	Hombres	16
22017	Alcolea de Cinca	8	Empresarios no agrarios sin asalariados	Mujeres	23
22017	Alcolea de Cinca	9	Miembros de cooperativas no agrarias	Mujeres	1
22017	Alcolea de Cinca	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	5
22017	Alcolea de Cinca	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	20
22017	Alcolea de Cinca	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	19
22017	Alcolea de Cinca	13	Resto del personal administrativo y comercial	Hombres	37
22017	Alcolea de Cinca	13	Resto del personal administrativo y comercial	Mujeres	30
22017	Alcolea de Cinca	14	Resto del personal de los servicios	Hombres	6
22017	Alcolea de Cinca	14	Resto del personal de los servicios	Mujeres	31
22017	Alcolea de Cinca	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	5
22017	Alcolea de Cinca	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	103
22017	Alcolea de Cinca	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	27
22017	Alcolea de Cinca	17	Operarios sin especialización de establecimientos no agrarios	Hombres	14
22017	Alcolea de Cinca	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	1
22017	Alcolea de Cinca	18	Profesionales de las fuerzas armadas	Mujeres	1
22017	Alcolea de Cinca	19	No clasificables por condicion socioeconómica	Mujeres	1
22018	Alcubierre	1	Empresarios agrarios con asalariados	Hombres	1
22018	Alcubierre	2	Empresarios agrarios sin asalariados	Hombres	50
22018	Alcubierre	2	Empresarios agrarios sin asalariados	Mujeres	1
22018	Alcubierre	5	Resto de trabajadores de explotaciones agrarias	Hombres	2
22018	Alcubierre	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	1
22018	Alcubierre	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	1
22018	Alcubierre	7	Empresarios no agrarios con asalariados	Hombres	8
22018	Alcubierre	7	Empresarios no agrarios con asalariados	Mujeres	1
22018	Alcubierre	8	Empresarios no agrarios sin asalariados	Hombres	8
22018	Alcubierre	8	Empresarios no agrarios sin asalariados	Mujeres	6
22018	Alcubierre	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	3
22018	Alcubierre	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	11
22018	Alcubierre	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	8
22018	Alcubierre	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	2
22018	Alcubierre	13	Resto del personal administrativo y comercial	Hombres	7
22018	Alcubierre	13	Resto del personal administrativo y comercial	Mujeres	8
22018	Alcubierre	14	Resto del personal de los servicios	Mujeres	11
22018	Alcubierre	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	17
22018	Alcubierre	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	9
22018	Alcubierre	17	Operarios sin especialización de establecimientos no agrarios	Hombres	9
22018	Alcubierre	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	1
22018	Alcubierre	18	Profesionales de las fuerzas armadas	Hombres	1
22019	Alerre	2	Empresarios agrarios sin asalariados	Hombres	5
22019	Alerre	5	Resto de trabajadores de explotaciones agrarias	Hombres	1
22019	Alerre	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	1
22019	Alerre	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	2
22019	Alerre	7	Empresarios no agrarios con asalariados	Hombres	10
22019	Alerre	7	Empresarios no agrarios con asalariados	Mujeres	3
22019	Alerre	8	Empresarios no agrarios sin asalariados	Hombres	4
22019	Alerre	8	Empresarios no agrarios sin asalariados	Mujeres	1
