Comarca codigo	Comarca nombre	Explotaciones	Porcentaje SAU régimen tenencia código	Porcentaje SAU régimen tenencia
17	D.C. Zaragoza	320	2	Toda la SAU en arrendamiento
17	D.C. Zaragoza	102	3	Todo la SAU en aparcería u otro régimen de tenencia
17	D.C. Zaragoza	324	4	Más del 50% de la SAU en propiedad
17	D.C. Zaragoza	529	5	Más del 50% de la SAU en arrendamiento
17	D.C. Zaragoza	109	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
17	D.C. Zaragoza	94	7	Ningún régimen superior al 50%
18	Ribera Baja del Ebro	31	0	Si no hay SAU
18	Ribera Baja del Ebro	384	1	Toda la SAU en propiedad
18	Ribera Baja del Ebro	153	2	Toda la SAU en arrendamiento
18	Ribera Baja del Ebro	30	3	Todo la SAU en aparcería u otro régimen de tenencia
18	Ribera Baja del Ebro	180	4	Más del 50% de la SAU en propiedad
18	Ribera Baja del Ebro	186	5	Más del 50% de la SAU en arrendamiento
18	Ribera Baja del Ebro	34	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
18	Ribera Baja del Ebro	81	7	Ningún régimen superior al 50%
19	Bajo Aragón-Caspe / Baix Aragó-Casp	56	0	Si no hay SAU
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1062	1	Toda la SAU en propiedad
19	Bajo Aragón-Caspe / Baix Aragó-Casp	40	2	Toda la SAU en arrendamiento
19	Bajo Aragón-Caspe / Baix Aragó-Casp	65	3	Todo la SAU en aparcería u otro régimen de tenencia
19	Bajo Aragón-Caspe / Baix Aragó-Casp	189	4	Más del 50% de la SAU en propiedad
19	Bajo Aragón-Caspe / Baix Aragó-Casp	68	5	Más del 50% de la SAU en arrendamiento
19	Bajo Aragón-Caspe / Baix Aragó-Casp	81	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
19	Bajo Aragón-Caspe / Baix Aragó-Casp	56	7	Ningún régimen superior al 50%
20	Comunidad de Calatayud	55	0	Si no hay SAU
20	Comunidad de Calatayud	2211	1	Toda la SAU en propiedad
20	Comunidad de Calatayud	156	2	Toda la SAU en arrendamiento
20	Comunidad de Calatayud	94	3	Todo la SAU en aparcería u otro régimen de tenencia
20	Comunidad de Calatayud	337	4	Más del 50% de la SAU en propiedad
20	Comunidad de Calatayud	279	5	Más del 50% de la SAU en arrendamiento
20	Comunidad de Calatayud	112	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
20	Comunidad de Calatayud	111	7	Ningún régimen superior al 50%
21	Campo de Cariñena	11	0	Si no hay SAU
21	Campo de Cariñena	1503	1	Toda la SAU en propiedad
21	Campo de Cariñena	53	2	Toda la SAU en arrendamiento
21	Campo de Cariñena	51	3	Todo la SAU en aparcería u otro régimen de tenencia
21	Campo de Cariñena	175	4	Más del 50% de la SAU en propiedad
21	Campo de Cariñena	89	5	Más del 50% de la SAU en arrendamiento
21	Campo de Cariñena	52	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
21	Campo de Cariñena	42	7	Ningún régimen superior al 50%
22	Campo de Belchite	24	0	Si no hay SAU
22	Campo de Belchite	582	1	Toda la SAU en propiedad
22	Campo de Belchite	108	2	Toda la SAU en arrendamiento
22	Campo de Belchite	50	3	Todo la SAU en aparcería u otro régimen de tenencia
22	Campo de Belchite	175	4	Más del 50% de la SAU en propiedad
22	Campo de Belchite	89	5	Más del 50% de la SAU en arrendamiento
22	Campo de Belchite	54	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22	Campo de Belchite	48	7	Ningún régimen superior al 50%
23	Bajo Martín	50	0	Si no hay SAU
23	Bajo Martín	450	1	Toda la SAU en propiedad
23	Bajo Martín	55	2	Toda la SAU en arrendamiento
23	Bajo Martín	38	3	Todo la SAU en aparcería u otro régimen de tenencia
23	Bajo Martín	104	4	Más del 50% de la SAU en propiedad
23	Bajo Martín	73	5	Más del 50% de la SAU en arrendamiento
23	Bajo Martín	45	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
23	Bajo Martín	41	7	Ningún régimen superior al 50%
24	Campo de Daroca	12	0	Si no hay SAU
24	Campo de Daroca	642	1	Toda la SAU en propiedad
24	Campo de Daroca	65	2	Toda la SAU en arrendamiento
24	Campo de Daroca	48	3	Todo la SAU en aparcería u otro régimen de tenencia
24	Campo de Daroca	196	4	Más del 50% de la SAU en propiedad
24	Campo de Daroca	126	5	Más del 50% de la SAU en arrendamiento
24	Campo de Daroca	45	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
24	Campo de Daroca	93	7	Ningún régimen superior al 50%
25	Jiloca	64	0	Si no hay SAU
25	Jiloca	900	1	Toda la SAU en propiedad
25	Jiloca	126	2	Toda la SAU en arrendamiento
25	Jiloca	49	3	Todo la SAU en aparcería u otro régimen de tenencia
25	Jiloca	335	4	Más del 50% de la SAU en propiedad
25	Jiloca	268	5	Más del 50% de la SAU en arrendamiento
25	Jiloca	56	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
25	Jiloca	96	7	Ningún régimen superior al 50%
26	Cuencas Mineras	21	0	Si no hay SAU
26	Cuencas Mineras	294	1	Toda la SAU en propiedad
26	Cuencas Mineras	56	2	Toda la SAU en arrendamiento
26	Cuencas Mineras	30	3	Todo la SAU en aparcería u otro régimen de tenencia
26	Cuencas Mineras	77	4	Más del 50% de la SAU en propiedad
26	Cuencas Mineras	73	5	Más del 50% de la SAU en arrendamiento
26	Cuencas Mineras	45	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
26	Cuencas Mineras	39	7	Ningún régimen superior al 50%
27	Andorra-Sierra de Arcos	6	0	Si no hay SAU
27	Andorra-Sierra de Arcos	561	1	Toda la SAU en propiedad
27	Andorra-Sierra de Arcos	18	2	Toda la SAU en arrendamiento
27	Andorra-Sierra de Arcos	27	3	Todo la SAU en aparcería u otro régimen de tenencia
27	Andorra-Sierra de Arcos	62	4	Más del 50% de la SAU en propiedad
27	Andorra-Sierra de Arcos	37	5	Más del 50% de la SAU en arrendamiento
27	Andorra-Sierra de Arcos	24	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
27	Andorra-Sierra de Arcos	22	7	Ningún régimen superior al 50%
28	Bajo Aragón	82	0	Si no hay SAU
28	Bajo Aragón	1406	1	Toda la SAU en propiedad
28	Bajo Aragón	73	2	Toda la SAU en arrendamiento
28	Bajo Aragón	85	3	Todo la SAU en aparcería u otro régimen de tenencia
28	Bajo Aragón	211	4	Más del 50% de la SAU en propiedad
28	Bajo Aragón	102	5	Más del 50% de la SAU en arrendamiento
28	Bajo Aragón	112	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
28	Bajo Aragón	74	7	Ningún régimen superior al 50%
29	Comunidad de Teruel	45	0	Si no hay SAU
29	Comunidad de Teruel	836	1	Toda la SAU en propiedad
29	Comunidad de Teruel	204	2	Toda la SAU en arrendamiento
29	Comunidad de Teruel	61	3	Todo la SAU en aparcería u otro régimen de tenencia
29	Comunidad de Teruel	407	4	Más del 50% de la SAU en propiedad
29	Comunidad de Teruel	371	5	Más del 50% de la SAU en arrendamiento
29	Comunidad de Teruel	75	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
29	Comunidad de Teruel	148	7	Ningún régimen superior al 50%
30	Maestrazgo	30	0	Si no hay SAU
30	Maestrazgo	322	1	Toda la SAU en propiedad
30	Maestrazgo	77	2	Toda la SAU en arrendamiento
30	Maestrazgo	20	3	Todo la SAU en aparcería u otro régimen de tenencia
30	Maestrazgo	45	4	Más del 50% de la SAU en propiedad
30	Maestrazgo	61	5	Más del 50% de la SAU en arrendamiento
30	Maestrazgo	14	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
30	Maestrazgo	27	7	Ningún régimen superior al 50%
31	Sierra de Albarracín	18	0	Si no hay SAU
31	Sierra de Albarracín	119	1	Toda la SAU en propiedad
31	Sierra de Albarracín	53	2	Toda la SAU en arrendamiento
31	Sierra de Albarracín	21	3	Todo la SAU en aparcería u otro régimen de tenencia
31	Sierra de Albarracín	33	4	Más del 50% de la SAU en propiedad
31	Sierra de Albarracín	87	5	Más del 50% de la SAU en arrendamiento
31	Sierra de Albarracín	20	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
31	Sierra de Albarracín	12	7	Ningún régimen superior al 50%
32	Gúdar-Javalambre	22	0	Si no hay SAU
32	Gúdar-Javalambre	469	1	Toda la SAU en propiedad
32	Gúdar-Javalambre	120	2	Toda la SAU en arrendamiento
32	Gúdar-Javalambre	26	3	Todo la SAU en aparcería u otro régimen de tenencia
32	Gúdar-Javalambre	44	4	Más del 50% de la SAU en propiedad
32	Gúdar-Javalambre	76	5	Más del 50% de la SAU en arrendamiento
32	Gúdar-Javalambre	17	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
32	Gúdar-Javalambre	24	7	Ningún régimen superior al 50%
33	Matarraña / Matarranya	68	0	Si no hay SAU
33	Matarraña / Matarranya	1106	1	Toda la SAU en propiedad
33	Matarraña / Matarranya	38	2	Toda la SAU en arrendamiento
33	Matarraña / Matarranya	74	3	Todo la SAU en aparcería u otro régimen de tenencia
33	Matarraña / Matarranya	175	4	Más del 50% de la SAU en propiedad
33	Matarraña / Matarranya	73	5	Más del 50% de la SAU en arrendamiento
33	Matarraña / Matarranya	49	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
33	Matarraña / Matarranya	47	7	Ningún régimen superior al 50%
