Año	Residencia CCAA nombre	Relación lugar de residencia y nacimiento	Sexo	Extranjeros
2001	Aragón	3 - Misma CA y distinta provincia	Mujeres	22
2001	Aragón	4 - Distinta CA	Hombres	133
2001	Aragón	4 - Distinta CA	Mujeres	139
2001	Aragón	5 - Nacidos en el extranjero	Hombres	13850
2001	Aragón	5 - Nacidos en el extranjero	Mujeres	10044
2002	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	593
2002	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	539
2002	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	101
2002	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	96
2002	Aragón	3 - Misma CA y distinta provincia	Hombres	34
2002	Aragón	3 - Misma CA y distinta provincia	Mujeres	28
2002	Aragón	4 - Distinta CA	Hombres	162
2002	Aragón	4 - Distinta CA	Mujeres	154
2002	Aragón	5 - Nacidos en el extranjero	Hombres	24542
2002	Aragón	5 - Nacidos en el extranjero	Mujeres	17724
2003	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	1013
2003	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	887
2003	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	191
2003	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	184
2003	Aragón	3 - Misma CA y distinta provincia	Hombres	48
2003	Aragón	3 - Misma CA y distinta provincia	Mujeres	43
2003	Aragón	4 - Distinta CA	Hombres	254
2003	Aragón	4 - Distinta CA	Mujeres	198
2003	Aragón	5 - Nacidos en el extranjero	Hombres	33735
2003	Aragón	5 - Nacidos en el extranjero	Mujeres	25343
2004	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	1386
2004	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1269
2004	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	207
2004	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	186
2004	Aragón	3 - Misma CA y distinta provincia	Hombres	54
2004	Aragón	3 - Misma CA y distinta provincia	Mujeres	53
2004	Aragón	4 - Distinta CA	Hombres	292
2004	Aragón	4 - Distinta CA	Mujeres	235
2004	Aragón	5 - Nacidos en el extranjero	Hombres	41515
2004	Aragón	5 - Nacidos en el extranjero	Mujeres	32348
2005	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	1774
2005	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1712
2005	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	250
2005	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	231
2005	Aragón	3 - Misma CA y distinta provincia	Hombres	66
2005	Aragón	3 - Misma CA y distinta provincia	Mujeres	55
2005	Aragón	4 - Distinta CA	Hombres	376
2005	Aragón	4 - Distinta CA	Mujeres	311
2005	Aragón	5 - Nacidos en el extranjero	Hombres	51985
2005	Aragón	5 - Nacidos en el extranjero	Mujeres	40088
2006	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	1993
2006	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1963
2006	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	263
2006	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	235
2006	Aragón	3 - Misma CA y distinta provincia	Hombres	80
2006	Aragón	3 - Misma CA y distinta provincia	Mujeres	49
2006	Aragón	4 - Distinta CA	Hombres	406
2006	Aragón	4 - Distinta CA	Mujeres	336
2006	Aragón	5 - Nacidos en el extranjero	Hombres	55906
2006	Aragón	5 - Nacidos en el extranjero	Mujeres	44130
2007	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	2528
2007	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	2434
2007	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	386
2007	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	323
2007	Aragón	3 - Misma CA y distinta provincia	Hombres	114
2007	Aragón	3 - Misma CA y distinta provincia	Mujeres	62
2007	Aragón	4 - Distinta CA	Hombres	470
2007	Aragón	4 - Distinta CA	Mujeres	406
2007	Aragón	5 - Nacidos en el extranjero	Hombres	65197
2007	Aragón	5 - Nacidos en el extranjero	Mujeres	52484
2008	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	3270
2008	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	3017
2008	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	391
2008	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	331
2008	Aragón	3 - Misma CA y distinta provincia	Hombres	103
2008	Aragón	3 - Misma CA y distinta provincia	Mujeres	67
2008	Aragón	4 - Distinta CA	Hombres	481
2008	Aragón	4 - Distinta CA	Mujeres	423
2008	Aragón	5 - Nacidos en el extranjero	Hombres	82270
2008	Aragón	5 - Nacidos en el extranjero	Mujeres	64539
2009	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	4290
2009	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	4059
2009	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	457
2009	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	405
2009	Aragón	3 - Misma CA y distinta provincia	Hombres	79
2009	Aragón	3 - Misma CA y distinta provincia	Mujeres	72
2009	Aragón	4 - Distinta CA	Hombres	524
2009	Aragón	4 - Distinta CA	Mujeres	457
2009	Aragón	5 - Nacidos en el extranjero	Hombres	90641
2009	Aragón	5 - Nacidos en el extranjero	Mujeres	71154
2010	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	5113
2010	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	4818
2010	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	556
2010	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	501
2010	Aragón	3 - Misma CA y distinta provincia	Hombres	75
2010	Aragón	3 - Misma CA y distinta provincia	Mujeres	77
2010	Aragón	4 - Distinta CA	Hombres	556
2010	Aragón	4 - Distinta CA	Mujeres	502
2010	Aragón	5 - Nacidos en el extranjero	Hombres	88776
2010	Aragón	5 - Nacidos en el extranjero	Mujeres	72112
2011	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	5844
2011	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	5457
2011	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	642
2011	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	550
2011	Aragón	3 - Misma CA y distinta provincia	Hombres	87
2011	Aragón	3 - Misma CA y distinta provincia	Mujeres	98
2011	Aragón	4 - Distinta CA	Hombres	581
2011	Aragón	4 - Distinta CA	Mujeres	529
2011	Aragón	5 - Nacidos en el extranjero	Hombres	85794
2011	Aragón	5 - Nacidos en el extranjero	Mujeres	71611
2012	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	6353
2012	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	6013
2012	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	706
2012	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	646
2012	Aragón	3 - Misma CA y distinta provincia	Hombres	88
2012	Aragón	3 - Misma CA y distinta provincia	Mujeres	103
2012	Aragón	4 - Distinta CA	Hombres	649
2012	Aragón	4 - Distinta CA	Mujeres	584
2012	Aragón	5 - Nacidos en el extranjero	Hombres	85359
2012	Aragón	5 - Nacidos en el extranjero	Mujeres	72610
2013	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	6885
2013	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	6657
2013	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	791
2013	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	688
2013	Aragón	3 - Misma CA y distinta provincia	Hombres	98
2013	Aragón	3 - Misma CA y distinta provincia	Mujeres	102
2013	Aragón	4 - Distinta CA	Hombres	679
2013	Aragón	4 - Distinta CA	Mujeres	637
2013	Aragón	5 - Nacidos en el extranjero	Hombres	84301
2013	Aragón	5 - Nacidos en el extranjero	Mujeres	72815
2014	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	6452
2014	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	6231
2014	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	828
2014	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	706
2014	Aragón	3 - Misma CA y distinta provincia	Hombres	119
2014	Aragón	3 - Misma CA y distinta provincia	Mujeres	117
2014	Aragón	4 - Distinta CA	Hombres	670
2014	Aragón	4 - Distinta CA	Mujeres	657
2014	Aragón	5 - Nacidos en el extranjero	Hombres	70398
2014	Aragón	5 - Nacidos en el extranjero	Mujeres	63053
2015	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	6274
2015	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	5988
2015	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	822
2015	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	743
2015	Aragón	3 - Misma CA y distinta provincia	Hombres	123
2015	Aragón	3 - Misma CA y distinta provincia	Mujeres	111
2015	Aragón	4 - Distinta CA	Hombres	707
2015	Aragón	4 - Distinta CA	Mujeres	685
2015	Aragón	5 - Nacidos en el extranjero	Hombres	65333
2015	Aragón	5 - Nacidos en el extranjero	Mujeres	59397
2016	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	6100
2016	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	5939
2016	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	856
2016	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	807
2016	Aragón	3 - Misma CA y distinta provincia	Hombres	119
2016	Aragón	3 - Misma CA y distinta provincia	Mujeres	105
2016	Aragón	4 - Distinta CA	Hombres	693
2016	Aragón	4 - Distinta CA	Mujeres	695
2016	Aragón	5 - Nacidos en el extranjero	Hombres	60936
2016	Aragón	5 - Nacidos en el extranjero	Mujeres	56563
2017	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	6205
2017	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	5956
2017	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	894
2017	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	864
2017	Aragón	3 - Misma CA y distinta provincia	Hombres	118
2017	Aragón	3 - Misma CA y distinta provincia	Mujeres	117
2017	Aragón	4 - Distinta CA	Hombres	724
2017	Aragón	4 - Distinta CA	Mujeres	700
2017	Aragón	5 - Nacidos en el extranjero	Hombres	59958
2017	Aragón	5 - Nacidos en el extranjero	Mujeres	57701
2018	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	6375
2018	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	6128
2018	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	956
2018	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	922
2018	Aragón	3 - Misma CA y distinta provincia	Hombres	140
2018	Aragón	3 - Misma CA y distinta provincia	Mujeres	127
2018	Aragón	4 - Distinta CA	Hombres	753
2018	Aragón	4 - Distinta CA	Mujeres	729
2018	Aragón	5 - Nacidos en el extranjero	Hombres	60930
2018	Aragón	5 - Nacidos en el extranjero	Mujeres	59632
