Año	Comarca código	Comarca nombre	Incendios	Superficie forestal afectada
2011	07	Somontano de Barbastro	5	5,29
2011	08	Cinca Medio	23	37,3
2011	09	La Litera / La Llitera	5	1,02
2011	10	Los Monegros	26	31,72
2011	11	Bajo Cinca / Baix Cinca	11	18,95
2011	12	Tarazona y el Moncayo	5	5,93
2011	13	Campo de Borja	19	18,46
2011	14	Aranda	4	0,94
2011	15	Ribera Alta del Ebro	10	1,79
2011	16	Valdejalón	8	4,97
2011	17	D.C. Zaragoza	33	240,7
2011	18	Ribera Baja del Ebro	4	11,68
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	13	29,08
2011	20	Comunidad de Calatayud	57	87,65
2011	21	Campo de Cariñena	11	6,88
2011	22	Campo de Belchite	13	6,56
2011	23	Bajo Martín	9	13,78
2011	24	Campo de Daroca	9	3,54
2011	25	Jiloca	10	11,36
2011	26	Cuencas Mineras	12	97,55
2011	27	Andorra-Sierra de Arcos	5	0,32
2011	28	Bajo Aragón	9	4,77
2011	29	Comunidad de Teruel	9	143,39
2011	30	Maestrazgo	9	0,47
2011	31	Sierra de Albarracín	6	1,14
2011	32	Gúdar-Javalambre	15	5,75
2011	33	Matarraña / Matarranya	15	17,28
2012	01	La Jacetania	9	0,88
2012	02	Alto Gállego	8	8,39
2012	03	Sobrarbe	11	5,27
2012	04	La Ribagorza	15	2756,62
2012	05	Cinco Villas	42	368,4
2012	06	Hoya de Huesca / Plana de Uesca	37	28,28
2012	07	Somontano de Barbastro	10	10,4
2012	08	Cinca Medio	22	55,15
2012	09	La Litera / La Llitera	6	2,33
2012	10	Los Monegros	28	39,52
2012	11	Bajo Cinca / Baix Cinca	17	37,4
2012	12	Tarazona y el Moncayo	5	27,75
2012	13	Campo de Borja	22	3462,79
2012	14	Aranda	9	826,16
2012	15	Ribera Alta del Ebro	21	35,82
2012	16	Valdejalón	12	18,14
2012	17	D.C. Zaragoza	53	183,25
2012	18	Ribera Baja del Ebro	9	6,29
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16	12,19
2012	20	Comunidad de Calatayud	47	211,27
2012	21	Campo de Cariñena	13	6,3
2012	22	Campo de Belchite	15	9,59
2012	23	Bajo Martín	8	8,35
2012	24	Campo de Daroca	4	2,27
2012	25	Jiloca	4	32,37
2012	26	Cuencas Mineras	9	1,7
2012	27	Andorra-Sierra de Arcos	5	0,29
2012	28	Bajo Aragón	19	4,79
2012	29	Comunidad de Teruel	5	1,28
2012	30	Maestrazgo	6	1,72
2012	31	Sierra de Albarracín	7	1,68
2012	32	Gúdar-Javalambre	44	5,88
2012	33	Matarraña / Matarranya	15	71,99
2013	01	La Jacetania	1	5
2013	02	Alto Gállego	1	0,01
2013	03	Sobrarbe	2	0,9
2013	04	La Ribagorza	6	105,87
2013	05	Cinco Villas	11	6
2013	06	Hoya de Huesca / Plana de Uesca	6	1,5
2013	07	Somontano de Barbastro	10	8,69
2013	08	Cinca Medio	5	6,43
2013	09	La Litera / La Llitera	5	5,56
2013	10	Los Monegros	9	13,31
2013	11	Bajo Cinca / Baix Cinca	6	1,96
2013	12	Tarazona y el Moncayo	4	0,98
2013	13	Campo de Borja	3	4,36
2013	14	Aranda	5	0,48
2013	15	Ribera Alta del Ebro	4	7,56
2013	16	Valdejalón	1	0,01
2013	17	D.C. Zaragoza	19	124,74
2013	18	Ribera Baja del Ebro	2	1,75
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	15	3,17
2013	20	Comunidad de Calatayud	32	21,9
2013	21	Campo de Cariñena	8	7,35
2013	22	Campo de Belchite	4	1,31
2013	23	Bajo Martín	2	0,84
2013	24	Campo de Daroca	2	0,48
2013	25	Jiloca	3	4,01
2013	26	Cuencas Mineras	3	0,46
2013	27	Andorra-Sierra de Arcos	1	0,04
2013	28	Bajo Aragón	11	1,72
2013	29	Comunidad de Teruel	7	7,89
2013	30	Maestrazgo	0	0
2013	31	Sierra de Albarracín	6	0,06
2013	32	Gúdar-Javalambre	12	0,84
2013	33	Matarraña / Matarranya	11	2,54
2014	01	La Jacetania	3	0,23
2014	02	Alto Gállego	0	0
2014	03	Sobrarbe	5	1,33
2014	04	La Ribagorza	7	33,4
2014	05	Cinco Villas	18	46,14
2014	06	Hoya de Huesca / Plana de Uesca	15	12,57
2014	07	Somontano de Barbastro	12	43,93
2014	08	Cinca Medio	12	15,47
2014	09	La Litera / La Llitera	3	2,03
2014	10	Los Monegros	15	25,09
2014	11	Bajo Cinca / Baix Cinca	15	13,92
2014	12	Tarazona y el Moncayo	9	9,82
2014	13	Campo de Borja	17	19,64
2014	14	Aranda	4	4,57
2014	15	Ribera Alta del Ebro	6	3,88
2014	16	Valdejalón	20	28,42
2014	17	D.C. Zaragoza	18	34,96
2014	18	Ribera Baja del Ebro	8	19,05
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	9	1,51
2014	20	Comunidad de Calatayud	38	102,86
2014	21	Campo de Cariñena	9	14,87
2014	22	Campo de Belchite	7	4,04
2014	23	Bajo Martín	7	9,36
2014	24	Campo de Daroca	6	17,68
2014	25	Jiloca	19	30,2
2014	26	Cuencas Mineras	6	1,03
2014	27	Andorra-Sierra de Arcos	12	28,35
2014	28	Bajo Aragón	12	21,99
2014	29	Comunidad de Teruel	13	33,29
2014	30	Maestrazgo	10	5,05
2014	31	Sierra de Albarracín	9	1,04
2014	32	Gúdar-Javalambre	15	7,05
2014	33	Matarraña / Matarranya	14	3,3
