Inscripción CCAA código	Inscripción CCAA nombre	Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Sexo	Personas
02	Aragón	2016	06	América	Resto de América	Hombre	8631
02	Aragón	2016	06	América	Resto de América	Mujer	8952
02	Aragón	2016	07	Asia	Asia	Hombre	399
02	Aragón	2016	07	Asia	Asia	Mujer	287
02	Aragón	2016	08	Oceanía	Oceanía	Hombre	145
02	Aragón	2016	08	Oceanía	Oceanía	Mujer	158
02	Aragón	2016	09	Apátridas y no consta	Apátridas y no consta	Hombre	14
02	Aragón	2016	09	Apátridas y no consta	Apátridas y no consta	Mujer	14
02	Aragón	2017	01	Europa	UE-28	Hombre	8328
02	Aragón	2017	01	Europa	UE-28	Mujer	8759
02	Aragón	2017	02	Europa	Resto de Europa	Hombre	963
02	Aragón	2017	02	Europa	Resto de Europa	Mujer	1090
02	Aragón	2017	03	África	Magreb	Hombre	114
02	Aragón	2017	03	África	Magreb	Mujer	92
02	Aragón	2017	04	África	Resto de África	Hombre	261
02	Aragón	2017	04	África	Resto de África	Mujer	156
02	Aragón	2017	05	América	América del Norte	Hombre	1346
02	Aragón	2017	05	América	América del Norte	Mujer	1619
02	Aragón	2017	06	América	Resto de América	Hombre	8914
02	Aragón	2017	06	América	Resto de América	Mujer	9204
02	Aragón	2017	07	Asia	Asia	Hombre	430
02	Aragón	2017	07	Asia	Asia	Mujer	329
02	Aragón	2017	08	Oceanía	Oceanía	Hombre	153
02	Aragón	2017	08	Oceanía	Oceanía	Mujer	167
02	Aragón	2018	01	Europa	UE-28	Hombre	8828
02	Aragón	2018	01	Europa	UE-28	Mujer	9256
02	Aragón	2018	02	Europa	Resto de Europa	Hombre	986
02	Aragón	2018	02	Europa	Resto de Europa	Mujer	1117
02	Aragón	2018	03	África	Magreb	Hombre	121
02	Aragón	2018	03	África	Magreb	Mujer	108
02	Aragón	2018	04	África	Resto de África	Hombre	338
02	Aragón	2018	04	África	Resto de África	Mujer	177
02	Aragón	2018	05	América	América del Norte	Hombre	1473
02	Aragón	2018	05	América	América del Norte	Mujer	1744
02	Aragón	2018	06	América	Resto de América	Hombre	9077
02	Aragón	2018	06	América	Resto de América	Mujer	9338
02	Aragón	2018	07	Asia	Asia	Hombre	437
02	Aragón	2018	07	Asia	Asia	Mujer	333
02	Aragón	2018	08	Oceanía	Oceanía	Hombre	160
02	Aragón	2018	08	Oceanía	Oceanía	Mujer	176
02	Aragón	2019	01	Europa	UE-28	Hombre	9355
02	Aragón	2019	01	Europa	UE-28	Mujer	9710
02	Aragón	2019	02	Europa	Resto de Europa	Hombre	1015
02	Aragón	2019	02	Europa	Resto de Europa	Mujer	1137
02	Aragón	2019	03	África	Magreb	Hombre	112
02	Aragón	2019	03	África	Magreb	Mujer	107
02	Aragón	2019	04	África	Resto de África	Hombre	426
02	Aragón	2019	04	África	Resto de África	Mujer	204
02	Aragón	2019	05	América	América del Norte	Hombre	1581
02	Aragón	2019	05	América	América del Norte	Mujer	1839
02	Aragón	2019	06	América	Resto de América	Hombre	9099
02	Aragón	2019	06	América	Resto de América	Mujer	9382
02	Aragón	2019	07	Asia	Asia	Hombre	457
02	Aragón	2019	07	Asia	Asia	Mujer	340
02	Aragón	2019	08	Oceanía	Oceanía	Hombre	164
02	Aragón	2019	08	Oceanía	Oceanía	Mujer	181
