Comarca código	Comarca nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
26	Cuencas Mineras	2016	8591	6648	4782	1866	51	28	4703	71,9314079422383
27	Andorra-Sierra de Arcos	2008	11312	8785	6922	1863	50	86	6786	78,7933978372225
27	Andorra-Sierra de Arcos	2011	11523	8560	6126	2434	212	95	5819	71,5654205607477
27	Andorra-Sierra de Arcos	2015	10906	8191	6132	2059	118	73	5941	74,8626541325845
27	Andorra-Sierra de Arcos	2016	10743	8119	5658	2461	107	48	5503	69,6883852691218
28	Bajo Aragón	2008	29358	21811	17031	4780	145	181	16705	78,0844527990464
28	Bajo Aragón	2011	30311	21599	15592	6007	400	383	14809	72,1885272466318
28	Bajo Aragón	2015	29640	21152	15991	5161	189	165	15637	75,6004160363086
28	Bajo Aragón	2016	29410	21090	15219	5871	214	138	14867	72,1621621621622
29	Comunidad de Teruel	2008	45953	35383	27731	7652	228	372	27131	78,3737953254388
29	Comunidad de Teruel	2011	46957	35300	25645	9655	531	589	24525	72,6487252124646
29	Comunidad de Teruel	2015	46724	35363	26484	8879	398	327	25759	74,8918360998784
29	Comunidad de Teruel	2016	46426	35296	25613	9683	339	237	25037	72,5662964641886
30	Maestrazgo	2008	3735	2959	2240	719	11	18	2211	75,70125042244
30	Maestrazgo	2011	3682	2843	2086	757	48	40	1998	73,3731973267675
30	Maestrazgo	2015	3402	2635	1977	658	25	37	1915	75,0284629981025
30	Maestrazgo	2016	3333	2617	1935	682	31	33	1871	73,9396255254108
31	Sierra de Albarracín	2008	5041	4141	3183	958	12	19	3152	76,8654914271915
31	Sierra de Albarracín	2011	4930	4035	2973	1062	42	60	2871	73,6802973977695
31	Sierra de Albarracín	2015	4690	3891	2870	1021	35	32	2803	73,7599588794654
31	Sierra de Albarracín	2016	4652	3871	2873	998	27	43	2803	74,2185481787652
32	Gúdar-Javalambre	2008	8674	6310	4992	1318	30	56	4906	79,1125198098257
32	Gúdar-Javalambre	2011	8610	6111	4662	1449	70	78	4514	76,2886597938144
32	Gúdar-Javalambre	2015	7917	5845	4532	1313	55	34	4443	77,5363558597092
32	Gúdar-Javalambre	2016	7793	5762	4391	1371	48	38	4305	76,2061784102742
33	Matarraña / Matarranya	2008	8797	6993	5345	1648	35	56	5254	76,4335764335764
33	Matarraña / Matarranya	2011	8893	6697	4753	1944	119	98	4536	70,9720770494251
33	Matarraña / Matarranya	2015	8491	6346	4622	1724	64	61	4497	72,8332808068074
33	Matarraña / Matarranya	2016	8385	6296	4478	1818	70	49	4359	71,1245235069886
