Año	Dirección Provincial Código	Dirección Provincial Nombre	Sexo	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2006	22	Huesca	Hombres	31	Graves o muy graves	2
2006	44	Teruel	Hombres	12	Graves o muy graves	2
2006	50	Zaragoza	Hombres	114	Graves o muy graves	2
2006	22	Huesca	Mujeres	2	Graves o muy graves	2
2006	44	Teruel	Mujeres	1	Graves o muy graves	2
2006	50	Zaragoza	Mujeres	8	Graves o muy graves	2
2005	22	Huesca	Hombres	43	Graves o muy graves	2
2005	44	Teruel	Hombres	28	Graves o muy graves	2
2005	50	Zaragoza	Hombres	111	Graves o muy graves	2
2005	22	Huesca	Mujeres	6	Graves o muy graves	2
2005	44	Teruel	Mujeres	1	Graves o muy graves	2
2005	50	Zaragoza	Mujeres	9	Graves o muy graves	2
2004	22	Huesca	Hombres	43	Graves o muy graves	2
2004	44	Teruel	Hombres	34	Graves o muy graves	2
2004	50	Zaragoza	Hombres	124	Graves o muy graves	2
2004	22	Huesca	Mujeres	5	Graves o muy graves	2
2004	44	Teruel	Mujeres	3	Graves o muy graves	2
2004	50	Zaragoza	Mujeres	17	Graves o muy graves	2
2003	22	Huesca	Hombres	41	Graves o muy graves	2
2003	44	Teruel	Hombres	33	Graves o muy graves	2
2003	50	Zaragoza	Hombres	137	Graves o muy graves	2
2003	22	Huesca	Mujeres	3	Graves o muy graves	2
2003	44	Teruel	Mujeres	3	Graves o muy graves	2
2003	50	Zaragoza	Mujeres	11	Graves o muy graves	2
2016	22	Huesca	Hombres	8	Mortales	3
2016	44	Teruel	Hombres	3	Mortales	3
2016	50	Zaragoza	Hombres	13	Mortales	3
2016	22	Huesca	Mujeres	1	Mortales	3
2015	22	Huesca	Hombres	5	Mortales	3
2015	44	Teruel	Hombres	1	Mortales	3
2015	50	Zaragoza	Hombres	18	Mortales	3
2015	50	Zaragoza	Mujeres	5	Mortales	3
2014	22	Huesca	Hombres	3	Mortales	3
2014	44	Teruel	Hombres	3	Mortales	3
2014	50	Zaragoza	Hombres	10	Mortales	3
2014	50	Zaragoza	Mujeres	2	Mortales	3
2013	22	Huesca	Hombres	3	Mortales	3
2013	44	Teruel	Hombres	2	Mortales	3
2013	50	Zaragoza	Hombres	14	Mortales	3
2013	50	Zaragoza	Mujeres	2	Mortales	3
2012	22	Huesca	Hombres	5	Mortales	3
2012	44	Teruel	Hombres	5	Mortales	3
2012	50	Zaragoza	Hombres	8	Mortales	3
2012	50	Zaragoza	Mujeres	1	Mortales	3
2011	22	Huesca	Hombres	2	Mortales	3
2011	44	Teruel	Hombres	10	Mortales	3
2011	50	Zaragoza	Hombres	13	Mortales	3
2011	22	Huesca	Mujeres	2	Mortales	3
2010	22	Huesca	Hombres	6	Mortales	3
2010	44	Teruel	Hombres	3	Mortales	3
2010	50	Zaragoza	Hombres	21	Mortales	3
2010	50	Zaragoza	Mujeres	1	Mortales	3
2009	22	Huesca	Hombres	8	Mortales	3
2009	44	Teruel	Hombres	10	Mortales	3
2009	50	Zaragoza	Hombres	25	Mortales	3
2008	22	Huesca	Hombres	2	Mortales	3
2008	44	Teruel	Hombres	6	Mortales	3
2008	50	Zaragoza	Hombres	21	Mortales	3
2008	50	Zaragoza	Mujeres	1	Mortales	3
2007	22	Huesca	Hombres	6	Mortales	3
2007	44	Teruel	Hombres	10	Mortales	3
2007	50	Zaragoza	Hombres	22	Mortales	3
2007	44	Teruel	Mujeres	1	Mortales	3
2006	22	Huesca	Hombres	5	Mortales	3
2006	44	Teruel	Hombres	8	Mortales	3
2006	50	Zaragoza	Hombres	20	Mortales	3
2006	50	Zaragoza	Mujeres	1	Mortales	3
2005	22	Huesca	Hombres	5	Mortales	3
2005	44	Teruel	Hombres	7	Mortales	3
2005	50	Zaragoza	Hombres	22	Mortales	3
2005	50	Zaragoza	Mujeres	1	Mortales	3
2004	22	Huesca	Hombres	10	Mortales	3
2004	44	Teruel	Hombres	9	Mortales	3
2004	50	Zaragoza	Hombres	23	Mortales	3
2004	50	Zaragoza	Mujeres	2	Mortales	3
2003	22	Huesca	Hombres	5	Mortales	3
2003	44	Teruel	Hombres	11	Mortales	3
2003	50	Zaragoza	Hombres	15	Mortales	3
2003	22	Huesca	Mujeres	1	Mortales	3
