Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Cuota (euros)
2001	22209	Santa Cruz de la Serós	195	2047,13	2047,13	10230
2001	22212	Santaliestra y San Quílez	106	911,78	911,78	5110
2001	22213	Sariñena	3681	48826	48826	244133
2001	22214	Secastilla	220	19447,23	19447,23	116680
2001	22215	Seira	201	3745,15	3745,15	24340
2001	22217	Sena	598	8194,52	4711,38	28268
2001	22218	Senés de Alcubierre	88	816,15	816,15	4740
2001	22220	Sesa	233	2623,74	2623,74	10490
2001	22221	Sesué	170	1985	1985	11910
2001	22222	Siétamo	615	5975,04	5975,04	29870
2001	22223	Sopeira	202	8406,84	8406,84	71460
2001	22225	Tamarite de Litera	3172	47196,72	47196,72	339810
2001	22226	Tardienta	935	12441,99	12441,99	89580
2001	22227	Tella-Sin	267	3234,16	3234,16	19410
2001	22228	Tierz	132	1413,08	1413,08	4240
2001	22229	Tolva	234	1488,06	1488,06	8930
2001	22230	Torla-Ordesa	475	8851,94	8851,94	35410
2001	22232	Torralba de Aragón	184	1242	1242	7457
2001	22233	Torre la Ribera	94	851,32	851,32	3410
2001	22234	Torrente de Cinca	679	22514,68	22514,68	101320
2001	22235	Torres de Alcanadre	140	1102,58	1102,58	6060
2001	22236	Torres de Barbués	251	3242,89	3242,89	18160
2001	22239	Tramaced	98	1193,19	1193,19	4770
2001	22242	Valfarta	101	888,12	888,12	3820
2001	22243	Valle de Bardají	39	292,55	292,55	1750
2001	22244	Valle de Lierp	55	465,79	465,79	2790
2001	22245	Velilla de Cinca	428	3901,98	3901,98	15610
2001	22246	Beranuy	142	1025,57	1025,57	4100
2001	22247	Viacamp y Litera	50	18948,16	18948,16	161060
2001	22248	Vicién	142	1228,56	1228,56	6140
2001	22249	Villanova	211	3638,07	3638,07	14560
2001	22250	Villanúa	1632	40157,67	40157,67	180710
2001	22251	Villanueva de Sigena	395	5978,51	3674,34	23833
2001	22252	Yebra de Basa	152	1087,69	1087,69	5440
2001	22253	Yésero	150	994,12	994,12	990
2001	22254	Zaidín	1257	14562,97	14562,97	58250
2001	22901	Valle de Hecho	1117	12289,1	12289,1	36870
2001	22902	Puente la Reina de Jaca	374	4059,73	4059,73	20700
2001	22903	San Miguel del Cinca	642	6429,9	6429,9	29580
2001	22904	Sotonera (La)	1323	12479,66	12479,66	54910
2001	22905	Lupiñén-Ortilla	606	10275,37	10275,37	52400
2001	22906	Santa María de Dulcis	159	1322,62	1322,62	10580
2001	22907	Aínsa-Sobrarbe	1634	48893,01	48893,01	293360
2001	22908	Hoz y Costeán	267	1605,16	1605,16	4810
2001	22909	Vencillón	193	2900,58	2900,58	14500
2001	44001	Ababuj	142	912,5	912,5	3670
2001	44002	Abejuela	180	654,64	654,64	5690
2001	44003	Aguatón	52	210,15	210,15	1120
2001	44004	Aguaviva	823	8321,52	8321,52	41680
2001	44005	Aguilar del Alfambra	148	960,94	960,94	3910
2001	44006	Alacón	547	4491,11	4491,11	18020
2001	44007	Alba	346	2657,01	2657,01	16030
2001	44008	Albalate del Arzobispo	2449	28553,2	20953,19	119560
2001	44009	Albarracín	1137	21926,89	12921,32	71120
2001	44010	Albentosa	510	5770,63	5770,63	31820
2001	44011	Alcaine	253	876,02	876,02	3560
2001	44012	Alcalá de la Selva	1728	26616,94	26616,94	106520
2001	44013	Alcañiz	10168	168139,8	168139,8	1008910
2001	44014	Alcorisa	3022	46725,38	41331,75	289300
2001	44016	Alfambra	600	6704,33	6704,33	30910
2001	44017	Aliaga	733	6232,36	6232,36	31230
2001	44018	Almohaja	74	345,67	345,67	1440
2001	44019	Alobras	159	1073,11	1073,11	6530
2001	44020	Alpeñés	64	345,68	345,68	1620
2001	44021	Allepuz	237	1312,37	1312,37	6630
2001	44022	Alloza	1024	8564,88	8564,88	35180
2001	44023	Allueva	61	198,4	198,4	1390
2001	44024	Anadón	90	472,7	472,7	4150
2001	44025	Andorra	5303	132112,6	132112,6	792760
2001	44026	Arcos de las Salinas	413	3513,24	3513,24	28230
2001	44027	Arens de Lledó	238	1993,31	1993,31	8030
2001	44028	Argente	285	2012,26	2012,26	10140
2001	44029	Ariño	912	8644,03	8644,03	60610
2001	44031	Azaila	280	1776,78	1776,78	11650
2001	44032	Bádenas	71	284,98	284,98	1200
2001	44033	Báguena	693	5036,23	5036,23	25260
2001	44034	Bañón	235	1470,72	1470,72	5940
2001	44035	Barrachina	251	1592,42	1592,42	6430
2001	44036	Bea	64	297,31	297,31	1560
2001	44037	Beceite	686	6372,08	6372,08	25540
2001	44038	Belmonte de San José	269	2173,43	2173,43	12040
2001	44039	Bello	550	4021,97	4021,97	16150
2001	44040	Berge	277	1704,82	1704,82	6880
2001	44041	Bezas	140	865,21	865,21	3520
2001	44042	Blancas	323	2053,43	2053,43	8280
2001	44043	Blesa	339	1875,36	1875,36	7560
2001	44044	Bordón	197	1366,52	1366,52	12570
2001	44045	Bronchales	978	18663,8	10946,68	54770
2001	44046	Bueña	147	564,21	564,21	4060
2001	44047	Burbáguena	445	4432,52	4432,52	17790
2001	44048	Cabra de Mora	165	1280,24	1280,24	6480
2001	44049	Calaceite	1099	11535,66	11535,66	78550
2001	44050	Calamocha	4636	81454,96	81454,96	407350
2001	44051	Calanda	2810	39128,03	39128,03	246600
2001	44052	Calomarde	165	1209,38	1209,38	4900
2001	44053	Camañas	177	994,64	994,64	5050
2001	44054	Camarena de la Sierra	353	2716,27	2716,27	13650
2001	44055	Camarillas	245	1710,17	1710,17	8620
2001	44056	Caminreal	784	9489,99	9489,99	47520
2001	44059	Cantavieja	697	8746,21	8746,21	52570
2001	44060	Cañada de Benatanduz	157	692,37	692,37	2830
2001	44061	Cañada de Verich (La)	130	729,27	729,27	4470
2001	44062	Cañada Vellida	65	553,59	553,59	3410
2001	44063	Cañizar del Olivar	218	1413,67	1413,67	12150
2001	44064	Cascante del Río	213	1498,19	1498,19	9080
2001	44065	Castejón de Tornos	177	854,49	854,49	3480
2001	44066	Castel de Cabra	308	2413,65	2413,65	9720
2001	44067	Castelnou	236	2116,02	2116,02	10660
2001	44068	Castelserás	863	8691,12	8691,12	34830
2001	44070	Castellar (El)	160	1204,61	1204,61	6710
2001	44071	Castellote	1275	10934,39	10934,39	43790
2001	44074	Cedrillas	445	4362,79	4362,79	17510
2001	44075	Celadas	291	3298,2	3298,2	13250
2001	44076	Cella	2288	35063,14	35063,14	175390
2001	44077	Cerollera (La)	127	632,76	632,76	3890
2001	44080	Codoñera (La)	458	4016,52	4016,52	18140
2001	44082	Corbalán	141	819,15	819,15	3340
2001	44084	Cortes de Aragón	202	972,66	972,66	5930
2001	44085	Cosa	149	1113,2	1113,2	4510
2001	44086	Cretas	622	6300,65	6300,65	28420
2001	44087	Crivillén	257	1426,1	1426,1	7210
2001	44088	Cuba (La)	139	620,62	620,62	4450
2001	44089	Cubla	138	1174,69	1174,69	4760
2001	44090	Cucalón	212	1324,97	1324,97	5360
2001	44092	Cuervo (El)	232	1698,74	1698,74	10280
2001	44093	Cuevas de Almudén	113	988,25	988,25	4010
2001	44094	Cuevas Labradas	149	1224,92	1224,92	5580
2001	44096	Ejulve	405	2730,7	2730,7	10990
2001	44097	Escorihuela	249	1444,84	1444,84	8760
2001	44099	Escucha	899	11481,54	11481,54	97570
2001	44100	Estercuel	507	4097,09	4097,09	20560
2001	44101	Ferreruela de Huerva	140	891,51	891,51	4530
2001	44102	Fonfría	70	346,17	346,17	1440
2001	44103	Formiche Alto	308	2522,36	2522,36	15220
2001	44105	Fórnoles	287	1721,3	1721,3	6950
2001	44106	Fortanete	453	2664,83	2664,83	18760
2001	44107	Foz-Calanda	315	2867,4	2867,4	12970
2001	44108	Fresneda (La)	690	7100,66	7100,66	42690
2001	44109	Frías de Albarracín	255	1772,31	1772,31	7150
2001	44110	Fuenferrada	115	625,61	625,61	2560
2001	44111	Fuentes Calientes	145	1342,69	1342,69	5430
2001	44112	Fuentes Claras	537	5979,79	5979,79	23980
2001	44113	Fuentes de Rubielos	239	1410,86	1410,86	8560
2001	44114	Fuentespalda	341	3536,16	3536,16	21300
2001	44115	Galve	140	1095,25	1095,25	8330
2001	44116	Gargallo	228	1671,38	1671,38	6740
2001	44117	Gea de Albarracín	571	4728,16	4728,16	28460
2001	44118	Ginebrosa (La)	415	3618,04	3618,04	18170
2001	44119	Griegos	214	2025,26	2025,26	10200
2001	44120	Guadalaviar	367	3327,43	3327,43	13370
2001	44121	Gúdar	137	916,06	916,06	3730
2001	44122	Híjar	1593	21459,34	21459,34	122400
2001	44123	Hinojosa de Jarque	182	1375,25	1375,25	5560
2001	44124	Hoz de la Vieja (La)	317	1235,8	1235,8	7510
2001	44125	Huesa del Común	352	1384,74	1384,74	5600
2001	44126	Iglesuela del Cid (La)	572	4820,23	4820,23	19340
2001	44127	Jabaloyas	217	1381	1381	5580
2001	44128	Jarque de la Val	127	1214,07	1214,07	4920
2001	44129	Jatiel	114	825,34	825,34	4790
2001	44130	Jorcas	119	592,19	592,19	3030
2001	44131	Josa	167	591,84	591,84	3640
2001	44132	Lagueruela	139	758,29	758,29	3860
2001	44133	Lanzuela	81	400,7	400,7	1870
2001	44135	Libros	264	1657,5	1657,5	6690
2001	44136	Lidón	143	1018,85	1018,85	5170
2001	44137	Linares de Mora	364	2744	2744	11030
2001	44138	Loscos	481	1891,53	1891,53	7630
2001	44141	Lledó	188	1572,47	1572,47	6350
2001	44142	Maicas	93	365,27	365,27	1900
2001	44143	Manzanera	1283	10971,44	10971,44	54910
2001	44144	Martín del Río	489	4472,82	4472,82	27370
2001	44145	Mas de las Matas	1446	25400	18942	81500
2001	44146	Mata de los Olmos (La)	238	2506,4	2506,4	10080
2001	44147	Mazaleón	649	6044,65	6044,65	36360
2001	44148	Mezquita de Jarque	135	1130,4	1130,4	4580
2001	44149	Mirambel	236	2558,43	2558,43	11580
2001	44150	Miravete de la Sierra	105	577,69	577,69	3560
2001	44151	Molinos	456	3507,81	3507,81	14090
2001	44152	Monforte de Moyuela	209	977,49	977,49	3970
2001	44153	Monreal del Campo	1988	33568,64	33568,64	141050
2001	44154	Monroyo	325	3378,71	3378,71	20360
2001	44155	Montalbán	1647	14937,41	14937,41	80750
2001	44156	Monteagudo del Castillo	148	919,34	919,34	3740
2001	44157	Monterde de Albarracín	209	1202,48	1202,48	4870
2001	44158	Mora de Rubielos	1715	16308,14	16308,14	114250
2001	44159	Moscardón	155	942,04	942,04	3830
2001	44160	Mosqueruela	625	8129,66	8129,66	32580
2001	44161	Muniesa	915	10647,58	10647,58	42650
2001	44163	Noguera de Albarracín	250	1669,01	1669,01	6740
2001	44164	Nogueras	147	480,72	480,72	1980
2001	44165	Nogueruelas	320	2527,12	2527,12	12710
2001	44167	Obón	313	1137,33	1137,33	9800
2001	44168	Odón	303	2496,31	2496,31	11300
2001	44169	Ojos Negros	860	7837,02	7837,02	47110
2001	44171	Olba	610	3526,45	3526,45	19480
2001	44172	Oliete	777	6411,42	6411,42	25700
2001	44173	Olmos (Los)	211	1555,54	1555,54	6280
2001	44174	Orihuela del Tremedal	754	6712,87	6712,87	43720
2001	44175	Orrios	197	1718,15	1718,15	6940
2001	44176	Palomar de Arroyos	258	1617,22	1617,22	6530
2001	44177	Pancrudo	332	1968,61	1968,61	8920
2001	44178	Parras de Castellote (Las)	271	1386,33	1386,33	7010
2001	44179	Peñarroya de Tastavins	486	3738,08	3738,08	15010
2001	44180	Peracense	161	809,82	809,82	3710
2001	44181	Peralejos	121	887,06	887,06	3610
2001	44182	Perales del Alfambra	332	3550,35	3550,35	21750
2001	44183	Pitarque	228	866,91	866,91	5290
2001	44184	Plou	138	595,64	595,64	2440
2001	44185	Pobo (El)	180	1647,54	1647,54	6650
2001	44187	Portellada (La)	321	2959,09	2959,09	17840
2001	44189	Pozondón	204	1424,93	1424,93	5760
2001	44190	Pozuel del Campo	223	1134,85	1134,85	5170
2001	44191	Puebla de Híjar (La)	1115	13889,86	13889,86	72310
2001	44192	Puebla de Valverde (La)	519	5644,19	5644,19	33950
2001	44193	Puertomingalvo	272	1720,31	1720,31	6940
2001	44194	Ráfales	296	2048,52	2048,52	12380
2001	44195	Rillo	174	1096,81	1096,81	4450
2001	44196	Riodeva	354	1623,94	1623,94	13110
2001	44197	Ródenas	176	1110,85	1110,85	4500
2001	44198	Royuela	340	2818,19	2818,19	11330
2001	44199	Rubiales	88	465,79	465,79	2880
2001	44200	Rubielos de la Cérida	118	393,26	393,26	2040
2001	44201	Rubielos de Mora	1081	12676,39	12676,39	85030
2001	44203	Salcedillo	47	148,48	148,48	1060
2001	44204	Saldón	166	780,39	780,39	4770
2001	44205	Samper de Calanda	956	10893,02	10893,02	59990
2001	44206	San Agustín	333	2352,63	2352,63	11840
2001	44207	San Martín del Río	524	2984,12	2984,12	12000
2001	44208	Santa Cruz de Nogueras	92	334,39	334,39	1400
2001	44209	Santa Eulalia	1129	18600,69	18600,69	83770
2001	44210	Sarrión	1587	16445,91	16445,91	115230
2001	44211	Segura de los Baños	201	968,16	968,16	3930
2001	44212	Seno	116	866,65	866,65	3530
2001	44213	Singra	187	1175,74	1175,74	4770
2001	44215	Terriente	254	1958,27	1958,27	7880
2001	44216	Teruel	24876	734332,12	734332,12	3378000
2001	44217	Toril y Masegoso	86	421,84	421,84	1750
2001	44218	Tormón	94	520,89	520,89	3220
2001	44219	Tornos	440	2990,98	2990,98	12030
2001	44220	Torralba de los Sisones	261	2492,09	2492,09	12540
2001	44221	Torrecilla de Alcañiz	459	3807,08	3807,08	16050
2001	44222	Torrecilla del Rebollar	273	1717,24	1717,24	6930
2001	44223	Torre de Arcas	135	859,05	859,05	4370
2001	44224	Torre de las Arcas	124	536,16	536,16	2210
2001	44225	Torre del Compte	321	3238,85	3238,85	18220
2001	44226	Torrelacárcel	448	4051,75	4051,75	16270
2001	44227	Torre los Negros	183	1139,78	1139,78	4620
2001	44228	Torremocha de Jiloca	213	1581,58	1581,58	7980
2001	44229	Torres de Albarracín	274	2336,17	2336,17	9410
2001	44230	Torrevelilla	247	1879,74	1879,74	13260
2001	44231	Torrijas	304	1969,1	1969,1	15870
2001	44232	Torrijo del Campo	532	5060,95	5060,95	20310
2001	44234	Tramacastiel	285	1301,32	1301,32	6580
2001	44235	Tramacastilla	237	1674,28	1674,28	6750
2001	44236	Tronchón	217	1114,95	1114,95	5080
2001	44237	Urrea de Gaén	587	5844,99	5844,99	23440
2001	44238	Utrillas	2344	15724,96	15724,96	118050
2001	44239	Valacloche	77	493,68	493,68	2040
2001	44240	Valbona	368	2614,86	2614,86	17090
2001	44241	Valdealgorfa	769	7764,14	7764,14	46680
2001	44243	Valdecuenca	121	597,01	597,01	4900
2001	44244	Valdelinares	190	1018,59	1018,59	4130
2001	44245	Valdeltormo	431	5290,7	5290,7	26000
2001	44246	Valderrobres	1741	38326	30723	184390
2001	44247	Valjunquera	461	4870,88	4870,88	29310
2001	44249	Vallecillo (El)	117	574,25	574,25	2360
2001	44250	Veguillas de la Sierra	67	401,63	401,63	2500
2001	44251	Villafranca del Campo	422	3306,92	3306,92	14950
2001	44252	Villahermosa del Campo	113	774,7	774,7	3550
2001	44256	Villanueva del Rebollar de la Sierra	118	632,36	632,36	2910
2001	44257	Villar del Cobo	276	1710,11	1710,11	6900
2001	44258	Villar del Salz	156	919,07	919,07	3740
2001	44260	Villarluengo	320	2139,95	2139,95	8620
2001	44261	Villarquemado	789	12281,62	12281,62	73780
2001	44262	Villarroya de los Pinares	260	1851,66	1851,66	9330
2001	44263	Villastar	374	2909,67	2909,67	20470
2001	44264	Villel	476	3678,18	3678,18	22160
2001	44265	Vinaceite	284	2190,88	2190,88	13230
2001	44266	Visiedo	226	1782	1782	8980
2001	44267	Vivel del Río Martín	283	1755,64	1755,64	10630
2001	44268	Zoma (La)	64	220,58	220,58	940
2001	50001	Abanto	253	1165,61	1165,61	4660
2001	50002	Acered	292	1474,12	1474,12	10320
2001	50003	Agón	171	1855,63	1855,63	11140
2001	50004	Aguarón	830	8596,81	8596,81	65340
2001	50005	Aguilón	404	2183,29	2183,29	10920
2001	50006	Ainzón	950	10031,78	10031,78	65200
2001	50007	Aladrén	158	460,91	460,91	2760
2001	50008	Alagón	3362	119868,77	78551,72	471310
2001	50009	Alarba	182	1078	1078	4310
2001	50010	Alberite de San Juan	92	481,08	481,08	2400
2001	50011	Albeta	162	1315,35	1315,35	6570
2001	50012	Alborge	174	1669,75	1176,63	8240
2001	50013	Alcalá de Ebro	243	2510,96	2510,96	10040
2001	50014	Alcalá de Moncayo	256	1240,1	1240,1	4960
2001	50015	Alconchel de Ariza	376	2040,26	2040,26	8160
2001	50016	Aldehuela de Liestos	128	620,93	620,93	2480
2001	50017	Alfajarín	1352	59417,15	39339,03	188830
2001	50018	Alfamén	910	13126,91	13126,91	84010
2001	50019	Alforque	171	1650,59	1251,12	5010
2001	50020	Alhama de Aragón	1104	17803,73	17803,73	115730
2001	50021	Almochuel	94	395,08	395,08	1980
2001	50022	Almolda (La)	526	30862,83	30862,83	154310
2001	50023	Almonacid de la Cuba	329	1638,72	1638,72	11470
2001	50024	Almonacid de la Sierra	1053	8156,12	8156,12	45670
2001	50025	Almunia de Doña Godina (La)	3688	77277,02	77277,02	378660
2001	50026	Alpartir	563	4562,18	4562,18	22810
2001	50027	Ambel	445	2387,1	2387,1	20290
2001	50028	Anento	139	481,93	481,93	4100
2001	50029	Aniñón	824	7276,73	7276,73	29100
2001	50030	Añón de Moncayo	651	5258,55	5258,55	26290
2001	50031	Aranda de Moncayo	565	3251,48	3251,48	19510
2001	50032	Arándiga	606	4105,57	4105,57	20530
2001	50033	Ardisa	131	1698,26	1698,26	13590
2001	50034	Ariza	1396	16552,4	16552,4	84420
2001	50035	Artieda	117	707,64	707,64	4250
2001	50036	Asín	157	689,18	689,18	4830
2001	50037	Atea	425	2675,19	2675,19	10700
2001	50038	Ateca	1645	20705,12	20705,12	124230
2001	50039	Azuara	1085	8243,07	8243,07	41210
2001	50040	Badules	148	1114,06	1114,06	4460
2001	50041	Bagüés	44	237,25	237,25	1470
2001	50042	Balconchán	75	217,33	217,33	870
2001	50043	Bárboles	379	3575,63	3575,63	14660
2001	50044	Bardallur	326	2546,2	2546,2	10190
2001	50045	Belchite	1140	15830,31	15830,31	102900
2001	50046	Belmonte de Gracián	311	2263,25	2263,25	9050
2001	50047	Berdejo	125	436,38	436,38	1740
2001	50048	Berrueco	74	320,3	320,3	1790
2001	50050	Bijuesca	297	995,41	995,41	3980
2001	50051	Biota	906	10138,03	10138,03	64890
2001	50052	Bisimbre	108	3124,79	3124,79	18750
2001	50053	Boquiñeni	690	11173,78	11173,78	48270
2001	50054	Bordalba	220	867,22	867,22	3470
2001	50055	Borja	3759	45811,95	45811,95	365120
2001	50056	Botorrita	391	5582,09	5582,09	33490
2001	50057	Brea de Aragón	1470	19807,67	19807,67	99040
2001	50058	Bubierca	243	941,9	941,9	3770
