Comarca código	Comarca nombre	Tipo edificio (agregado)	Tipo edificio (detalle)	Número de edificios
09	La Litera / La Llitera	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	487
09	La Litera / La Llitera	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	2
09	La Litera / La Llitera	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	1
09	La Litera / La Llitera	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	2
10	Los Monegros	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	32
10	Los Monegros	Otro tipo	Locales	513
10	Los Monegros	Principalmente vivienda	Edificio sólo con una vivienda familiar	8099
10	Los Monegros	Principalmente vivienda	Edificio sólo con varias viviendas familiares	646
10	Los Monegros	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	380
10	Los Monegros	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	2
10	Los Monegros	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	5
11	Bajo Cinca / Baix Cinca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	36
11	Bajo Cinca / Baix Cinca	Otro tipo	Locales	430
11	Bajo Cinca / Baix Cinca	Principalmente vivienda	Edificio sólo con una vivienda familiar	4987
11	Bajo Cinca / Baix Cinca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	912
11	Bajo Cinca / Baix Cinca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	558
11	Bajo Cinca / Baix Cinca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	2
12	Tarazona y el Moncayo	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	24
12	Tarazona y el Moncayo	Otro tipo	Locales	321
12	Tarazona y el Moncayo	Principalmente vivienda	Edificio sólo con una vivienda familiar	3745
12	Tarazona y el Moncayo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	622
12	Tarazona y el Moncayo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	298
12	Tarazona y el Moncayo	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	2
12	Tarazona y el Moncayo	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	5
12	Tarazona y el Moncayo	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	1
13	Campo de Borja	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	9
13	Campo de Borja	Otro tipo	Locales	303
13	Campo de Borja	Principalmente vivienda	Edificio sólo con una vivienda familiar	5893
13	Campo de Borja	Principalmente vivienda	Edificio sólo con varias viviendas familiares	878
13	Campo de Borja	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	234
13	Campo de Borja	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	6
13	Campo de Borja	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	1
13	Campo de Borja	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	2
14	Aranda	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	8
14	Aranda	Otro tipo	Locales	294
14	Aranda	Principalmente vivienda	Edificio sólo con una vivienda familiar	2643
14	Aranda	Principalmente vivienda	Edificio sólo con varias viviendas familiares	333
14	Aranda	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	215
14	Aranda	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
14	Aranda	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
15	Ribera Alta del Ebro	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	49
15	Ribera Alta del Ebro	Otro tipo	Locales	509
15	Ribera Alta del Ebro	Principalmente vivienda	Edificio sólo con una vivienda familiar	7718
15	Ribera Alta del Ebro	Principalmente vivienda	Edificio sólo con varias viviendas familiares	770
15	Ribera Alta del Ebro	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	450
15	Ribera Alta del Ebro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
15	Ribera Alta del Ebro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	8
15	Ribera Alta del Ebro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	1
15	Ribera Alta del Ebro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	8
15	Ribera Alta del Ebro	Principalmente vivienda	Alojamientos	4
16	Valdejalón	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	38
16	Valdejalón	Otro tipo	Locales	485
16	Valdejalón	Principalmente vivienda	Edificio sólo con una vivienda familiar	9109
16	Valdejalón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	962
16	Valdejalón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	436
16	Valdejalón	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	2
16	Valdejalón	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	8
16	Valdejalón	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	3
16	Valdejalón	Principalmente vivienda	Alojamientos	13
17	D.C. Zaragoza	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	294
17	D.C. Zaragoza	Otro tipo	Locales	3957
17	D.C. Zaragoza	Principalmente vivienda	Edificio sólo con una vivienda familiar	29493
17	D.C. Zaragoza	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8570
17	D.C. Zaragoza	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11468
17	D.C. Zaragoza	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	25
17	D.C. Zaragoza	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	170
17	D.C. Zaragoza	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	18
17	D.C. Zaragoza	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	56
17	D.C. Zaragoza	Principalmente vivienda	Alojamientos	7
18	Ribera Baja del Ebro	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	5
18	Ribera Baja del Ebro	Otro tipo	Locales	560
18	Ribera Baja del Ebro	Principalmente vivienda	Edificio sólo con una vivienda familiar	4476
18	Ribera Baja del Ebro	Principalmente vivienda	Edificio sólo con varias viviendas familiares	495
18	Ribera Baja del Ebro	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	156
18	Ribera Baja del Ebro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
18	Ribera Baja del Ebro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	1
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	11
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otro tipo	Locales	324
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Principalmente vivienda	Edificio sólo con una vivienda familiar	4543
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Principalmente vivienda	Edificio sólo con varias viviendas familiares	687
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	344
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	3
20	Comunidad de Calatayud	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	60
20	Comunidad de Calatayud	Otro tipo	Locales	921
20	Comunidad de Calatayud	Principalmente vivienda	Edificio sólo con una vivienda familiar	15615
20	Comunidad de Calatayud	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1805
20	Comunidad de Calatayud	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	819
20	Comunidad de Calatayud	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	4
20	Comunidad de Calatayud	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	12
20	Comunidad de Calatayud	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	1
20	Comunidad de Calatayud	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	3
21	Campo de Cariñena	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	9
21	Campo de Cariñena	Otro tipo	Locales	394
21	Campo de Cariñena	Principalmente vivienda	Edificio sólo con una vivienda familiar	4189
21	Campo de Cariñena	Principalmente vivienda	Edificio sólo con varias viviendas familiares	397
21	Campo de Cariñena	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	136
21	Campo de Cariñena	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
21	Campo de Cariñena	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	2
21	Campo de Cariñena	Principalmente vivienda	Alojamientos	3
22	Campo de Belchite	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	7
22	Campo de Belchite	Otro tipo	Locales	277
22	Campo de Belchite	Principalmente vivienda	Edificio sólo con una vivienda familiar	3792
22	Campo de Belchite	Principalmente vivienda	Edificio sólo con varias viviendas familiares	250
22	Campo de Belchite	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	114
22	Campo de Belchite	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	1
23	Bajo Martín	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	5
23	Bajo Martín	Otro tipo	Locales	195
23	Bajo Martín	Principalmente vivienda	Edificio sólo con una vivienda familiar	4031
23	Bajo Martín	Principalmente vivienda	Edificio sólo con varias viviendas familiares	306
23	Bajo Martín	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	172
23	Bajo Martín	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
23	Bajo Martín	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	2
24	Campo de Daroca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	11
24	Campo de Daroca	Otro tipo	Locales	545
24	Campo de Daroca	Principalmente vivienda	Edificio sólo con una vivienda familiar	4784
24	Campo de Daroca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	295
24	Campo de Daroca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	173
24	Campo de Daroca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	2
25	Jiloca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	23
25	Jiloca	Otro tipo	Locales	374
25	Jiloca	Principalmente vivienda	Edificio sólo con una vivienda familiar	9232
25	Jiloca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	413
25	Jiloca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	313
25	Jiloca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	4
26	Cuencas Mineras	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	17
26	Cuencas Mineras	Otro tipo	Locales	297
26	Cuencas Mineras	Principalmente vivienda	Edificio sólo con una vivienda familiar	5356
26	Cuencas Mineras	Principalmente vivienda	Edificio sólo con varias viviendas familiares	496
26	Cuencas Mineras	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	187
26	Cuencas Mineras	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
26	Cuencas Mineras	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	3
27	Andorra-Sierra de Arcos	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	13
27	Andorra-Sierra de Arcos	Otro tipo	Locales	238
27	Andorra-Sierra de Arcos	Principalmente vivienda	Edificio sólo con una vivienda familiar	4102
27	Andorra-Sierra de Arcos	Principalmente vivienda	Edificio sólo con varias viviendas familiares	503
27	Andorra-Sierra de Arcos	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	271
27	Andorra-Sierra de Arcos	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
27	Andorra-Sierra de Arcos	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
28	Bajo Aragón	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	16
28	Bajo Aragón	Otro tipo	Locales	453
28	Bajo Aragón	Principalmente vivienda	Edificio sólo con una vivienda familiar	7483
28	Bajo Aragón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1125
28	Bajo Aragón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	610
28	Bajo Aragón	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
28	Bajo Aragón	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	8
29	Comunidad de Teruel	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	42
29	Comunidad de Teruel	Otro tipo	Locales	675
29	Comunidad de Teruel	Principalmente vivienda	Edificio sólo con una vivienda familiar	10801
29	Comunidad de Teruel	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1557
29	Comunidad de Teruel	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	858
29	Comunidad de Teruel	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	3
29	Comunidad de Teruel	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	11
29	Comunidad de Teruel	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	1
29	Comunidad de Teruel	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	4
29	Comunidad de Teruel	Principalmente vivienda	Alojamientos	1
30	Maestrazgo	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	5
30	Maestrazgo	Otro tipo	Locales	151
30	Maestrazgo	Principalmente vivienda	Edificio sólo con una vivienda familiar	2929
30	Maestrazgo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	245
30	Maestrazgo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	85
31	Sierra de Albarracín	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	5
31	Sierra de Albarracín	Otro tipo	Locales	188
31	Sierra de Albarracín	Principalmente vivienda	Edificio sólo con una vivienda familiar	3808
31	Sierra de Albarracín	Principalmente vivienda	Edificio sólo con varias viviendas familiares	400
31	Sierra de Albarracín	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	125
31	Sierra de Albarracín	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	3
32	Gúdar-Javalambre	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	17
32	Gúdar-Javalambre	Otro tipo	Locales	302
32	Gúdar-Javalambre	Principalmente vivienda	Edificio sólo con una vivienda familiar	7299
32	Gúdar-Javalambre	Principalmente vivienda	Edificio sólo con varias viviendas familiares	821
32	Gúdar-Javalambre	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	232
32	Gúdar-Javalambre	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	2
32	Gúdar-Javalambre	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	3
33	Matarraña / Matarranya	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	5
33	Matarraña / Matarranya	Otro tipo	Locales	222
33	Matarraña / Matarranya	Principalmente vivienda	Edificio sólo con una vivienda familiar	5099
33	Matarraña / Matarranya	Principalmente vivienda	Edificio sólo con varias viviendas familiares	400
33	Matarraña / Matarranya	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	230
