Año	Dirección Provincial Código	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Dirección Provincial Nombre
2010	50	189	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2010	22	393	9	Trabajadores no cualificados	Hombres	Huesca
2010	22	154	9	Trabajadores no cualificados	Mujeres	Huesca
2010	44	329	9	Trabajadores no cualificados	Hombres	Teruel
2010	44	106	9	Trabajadores no cualificados	Mujeres	Teruel
2010	50	2129	9	Trabajadores no cualificados	Hombres	Zaragoza
2010	50	1021	9	Trabajadores no cualificados	Mujeres	Zaragoza
2010	22	22	NC	No consta	Hombres	Huesca
2010	22	15	NC	No consta	Mujeres	Huesca
2010	44	7	NC	No consta	Hombres	Teruel
2010	44	1	NC	No consta	Mujeres	Teruel
2010	50	127	NC	No consta	Hombres	Zaragoza
2010	50	42	NC	No consta	Mujeres	Zaragoza
2009	22	9	1	Dirección de las empresas y de las administraciones públicas	Hombres	Huesca
2009	44	5	1	Dirección de las empresas y de las administraciones públicas	Hombres	Teruel
2009	44	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Teruel
2009	50	29	1	Dirección de las empresas y de las administraciones públicas	Hombres	Zaragoza
2009	50	11	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Zaragoza
2009	22	19	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2009	22	22	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2009	44	4	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2009	44	15	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2009	50	83	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2009	50	133	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2009	22	47	3	Técnicos y profesionales de apoyo	Hombres	Huesca
2009	22	34	3	Técnicos y profesionales de apoyo	Mujeres	Huesca
2009	44	17	3	Técnicos y profesionales de apoyo	Hombres	Teruel
2009	44	33	3	Técnicos y profesionales de apoyo	Mujeres	Teruel
2009	50	216	3	Técnicos y profesionales de apoyo	Hombres	Zaragoza
2009	50	156	3	Técnicos y profesionales de apoyo	Mujeres	Zaragoza
2009	22	12	4	Empleados de tipo administrativo	Hombres	Huesca
2009	22	45	4	Empleados de tipo administrativo	Mujeres	Huesca
2009	44	11	4	Empleados de tipo administrativo	Hombres	Teruel
2009	44	13	4	Empleados de tipo administrativo	Mujeres	Teruel
2009	50	94	4	Empleados de tipo administrativo	Hombres	Zaragoza
2009	50	200	4	Empleados de tipo administrativo	Mujeres	Zaragoza
2009	22	128	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Huesca
2009	22	241	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Huesca
2009	44	38	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Teruel
2009	44	111	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Teruel
2009	50	486	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Zaragoza
2009	50	1228	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Zaragoza
2009	22	91	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Huesca
2009	22	9	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Huesca
2009	44	70	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Teruel
2009	44	11	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Teruel
2009	50	214	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Zaragoza
2009	50	26	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Zaragoza
2009	22	915	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Huesca
2009	22	28	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Huesca
2009	44	516	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Teruel
2009	44	36	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Teruel
2009	50	2924	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Zaragoza
2009	50	113	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Zaragoza
2009	22	434	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2009	22	23	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2009	44	290	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2009	44	14	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Teruel
2009	50	2118	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2009	50	185	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2009	22	482	9	Trabajadores no cualificados	Hombres	Huesca
2009	22	143	9	Trabajadores no cualificados	Mujeres	Huesca
2009	44	355	9	Trabajadores no cualificados	Hombres	Teruel
2009	44	96	9	Trabajadores no cualificados	Mujeres	Teruel
2009	50	2108	9	Trabajadores no cualificados	Hombres	Zaragoza
2009	50	1127	9	Trabajadores no cualificados	Mujeres	Zaragoza
2009	22	19	NC	No consta	Hombres	Huesca
2009	22	6	NC	No consta	Mujeres	Huesca
2009	44	5	NC	No consta	Hombres	Teruel
2009	44	1	NC	No consta	Mujeres	Teruel
2009	50	163	NC	No consta	Hombres	Zaragoza
2009	50	55	NC	No consta	Mujeres	Zaragoza
2008	22	4	0	Fuerzas armadas	Hombres	Huesca
2008	44	1	0	Fuerzas armadas	Hombres	Teruel
2008	50	38	0	Fuerzas armadas	Hombres	Zaragoza
2008	50	19	0	Fuerzas armadas	Mujeres	Zaragoza
2008	22	2	1	Dirección de las empresas y de las administraciones públicas	Hombres	Huesca
2008	44	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Teruel
2008	50	31	1	Dirección de las empresas y de las administraciones públicas	Hombres	Zaragoza
2008	50	14	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Zaragoza
2008	22	23	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2008	22	20	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2008	44	17	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2008	44	13	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2008	50	92	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2008	50	132	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2008	22	48	3	Técnicos y profesionales de apoyo	Hombres	Huesca
2008	22	41	3	Técnicos y profesionales de apoyo	Mujeres	Huesca
2008	44	14	3	Técnicos y profesionales de apoyo	Hombres	Teruel
2008	44	19	3	Técnicos y profesionales de apoyo	Mujeres	Teruel
2008	50	268	3	Técnicos y profesionales de apoyo	Hombres	Zaragoza
2008	50	171	3	Técnicos y profesionales de apoyo	Mujeres	Zaragoza
2008	22	19	4	Empleados de tipo administrativo	Hombres	Huesca
2008	22	44	4	Empleados de tipo administrativo	Mujeres	Huesca
2008	44	8	4	Empleados de tipo administrativo	Hombres	Teruel
2008	44	26	4	Empleados de tipo administrativo	Mujeres	Teruel
2008	50	133	4	Empleados de tipo administrativo	Hombres	Zaragoza
2008	50	274	4	Empleados de tipo administrativo	Mujeres	Zaragoza
2008	22	122	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Huesca
2008	22	321	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Huesca
2008	44	41	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Teruel
2008	44	141	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Teruel
2008	50	578	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Zaragoza
2008	50	1481	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Zaragoza
2008	22	103	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Huesca
2008	22	10	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Huesca
2008	44	57	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Teruel
2008	44	9	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Teruel
2008	50	210	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Zaragoza
2008	50	17	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Zaragoza
2008	22	1374	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Huesca
2008	22	39	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Huesca
2008	44	694	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Teruel
2008	44	48	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Teruel
2008	50	4833	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Zaragoza
2008	50	277	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Zaragoza
2008	22	573	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2008	22	28	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2008	44	430	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2008	44	37	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Teruel
2008	50	3141	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2008	50	303	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2008	22	674	9	Trabajadores no cualificados	Hombres	Huesca
2008	22	247	9	Trabajadores no cualificados	Mujeres	Huesca
2008	44	464	9	Trabajadores no cualificados	Hombres	Teruel
2008	44	153	9	Trabajadores no cualificados	Mujeres	Teruel
2008	50	3306	9	Trabajadores no cualificados	Hombres	Zaragoza
2008	50	1501	9	Trabajadores no cualificados	Mujeres	Zaragoza
2008	22	19	NC	No consta	Hombres	Huesca
2008	22	13	NC	No consta	Mujeres	Huesca
2008	44	2	NC	No consta	Hombres	Teruel
2008	44	6	NC	No consta	Mujeres	Teruel
2008	50	217	NC	No consta	Hombres	Zaragoza
2008	50	109	NC	No consta	Mujeres	Zaragoza
2007	22	5	0	Fuerzas armadas	Hombres	Huesca
2007	22	1	0	Fuerzas armadas	Mujeres	Huesca
2007	44	2	0	Fuerzas armadas	Mujeres	Teruel
2007	50	30	0	Fuerzas armadas	Hombres	Zaragoza
2007	50	20	0	Fuerzas armadas	Mujeres	Zaragoza
2007	22	2	1	Dirección de las empresas y de las administraciones públicas	Hombres	Huesca
2007	22	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Huesca
2007	44	5	1	Dirección de las empresas y de las administraciones públicas	Hombres	Teruel
2007	44	3	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Teruel
2007	50	36	1	Dirección de las empresas y de las administraciones públicas	Hombres	Zaragoza
2007	50	11	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Zaragoza
2007	22	23	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2007	22	22	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2007	44	10	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2007	44	19	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2007	50	96	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2007	50	136	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2007	22	27	3	Técnicos y profesionales de apoyo	Hombres	Huesca
2007	22	39	3	Técnicos y profesionales de apoyo	Mujeres	Huesca
2007	44	12	3	Técnicos y profesionales de apoyo	Hombres	Teruel
2007	44	20	3	Técnicos y profesionales de apoyo	Mujeres	Teruel
2007	50	254	3	Técnicos y profesionales de apoyo	Hombres	Zaragoza
2007	50	153	3	Técnicos y profesionales de apoyo	Mujeres	Zaragoza
2007	22	17	4	Empleados de tipo administrativo	Hombres	Huesca
2007	22	34	4	Empleados de tipo administrativo	Mujeres	Huesca
2007	44	11	4	Empleados de tipo administrativo	Hombres	Teruel
2007	44	28	4	Empleados de tipo administrativo	Mujeres	Teruel
2007	50	136	4	Empleados de tipo administrativo	Hombres	Zaragoza
2007	50	297	4	Empleados de tipo administrativo	Mujeres	Zaragoza
2007	22	105	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Huesca
2007	22	281	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Huesca
2007	44	48	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Teruel
2007	44	119	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Teruel
2007	50	545	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Zaragoza
2007	50	1344	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Zaragoza
2007	22	91	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Huesca
2007	22	10	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Huesca
2007	44	57	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Teruel
2007	44	14	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Teruel
2007	50	207	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Zaragoza
2007	50	22	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Zaragoza
2007	22	1568	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Huesca
2007	22	51	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Huesca
2007	44	738	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Teruel
2007	44	56	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Teruel
2007	50	5533	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Zaragoza
2007	50	262	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Zaragoza
2007	22	614	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2007	22	33	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2007	44	415	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2007	44	29	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Teruel
2007	50	3430	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2007	50	394	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2007	22	797	9	Trabajadores no cualificados	Hombres	Huesca
2007	22	245	9	Trabajadores no cualificados	Mujeres	Huesca
2007	44	528	9	Trabajadores no cualificados	Hombres	Teruel
2007	44	137	9	Trabajadores no cualificados	Mujeres	Teruel
2007	50	3914	9	Trabajadores no cualificados	Hombres	Zaragoza
2007	50	1645	9	Trabajadores no cualificados	Mujeres	Zaragoza
2007	22	23	NC	No consta	Hombres	Huesca
2007	22	13	NC	No consta	Mujeres	Huesca
2007	44	6	NC	No consta	Hombres	Teruel
2007	44	4	NC	No consta	Mujeres	Teruel
2007	50	178	NC	No consta	Hombres	Zaragoza
2007	50	66	NC	No consta	Mujeres	Zaragoza
2006	22	4	0	Fuerzas armadas	Hombres	Huesca
2006	22	1	0	Fuerzas armadas	Mujeres	Huesca
2006	44	2	0	Fuerzas armadas	Hombres	Teruel
2006	44	4	0	Fuerzas armadas	Mujeres	Teruel
2006	50	24	0	Fuerzas armadas	Hombres	Zaragoza
2006	50	13	0	Fuerzas armadas	Mujeres	Zaragoza
2006	22	6	1	Dirección de las empresas y de las administraciones públicas	Hombres	Huesca
2006	44	5	1	Dirección de las empresas y de las administraciones públicas	Hombres	Teruel
2006	44	2	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Teruel
2006	50	25	1	Dirección de las empresas y de las administraciones públicas	Hombres	Zaragoza
2006	50	5	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Zaragoza
2006	22	22	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2006	22	24	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2006	44	17	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2006	44	13	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2006	50	88	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2006	50	121	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2006	22	32	3	Técnicos y profesionales de apoyo	Hombres	Huesca
2006	22	28	3	Técnicos y profesionales de apoyo	Mujeres	Huesca
2006	44	12	3	Técnicos y profesionales de apoyo	Hombres	Teruel
2006	44	11	3	Técnicos y profesionales de apoyo	Mujeres	Teruel
2006	50	240	3	Técnicos y profesionales de apoyo	Hombres	Zaragoza
2006	50	192	3	Técnicos y profesionales de apoyo	Mujeres	Zaragoza
2006	22	25	4	Empleados de tipo administrativo	Hombres	Huesca
2006	22	42	4	Empleados de tipo administrativo	Mujeres	Huesca
2006	44	8	4	Empleados de tipo administrativo	Hombres	Teruel
2006	44	13	4	Empleados de tipo administrativo	Mujeres	Teruel
2006	50	125	4	Empleados de tipo administrativo	Hombres	Zaragoza
2006	50	256	4	Empleados de tipo administrativo	Mujeres	Zaragoza
2006	22	117	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Huesca
2006	22	255	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Huesca
2006	44	34	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Teruel
2006	44	110	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Teruel
2006	50	528	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Zaragoza
2006	50	1253	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Zaragoza
2006	22	84	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Huesca
2006	22	7	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Huesca
2006	44	52	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Teruel
2006	44	5	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Teruel
2006	50	209	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Zaragoza
2006	50	24	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Zaragoza
2006	22	1492	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Huesca
2006	22	43	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Huesca
2006	44	646	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Teruel
2006	44	42	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Teruel
2006	50	5142	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Zaragoza
2006	50	232	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Zaragoza
2006	22	565	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2006	22	29	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2006	44	352	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2006	44	36	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Teruel
2006	50	3181	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2006	50	299	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2006	22	804	9	Trabajadores no cualificados	Hombres	Huesca
2006	22	194	9	Trabajadores no cualificados	Mujeres	Huesca
2006	44	503	9	Trabajadores no cualificados	Hombres	Teruel
2006	44	134	9	Trabajadores no cualificados	Mujeres	Teruel
2006	50	3883	9	Trabajadores no cualificados	Hombres	Zaragoza
2006	50	1510	9	Trabajadores no cualificados	Mujeres	Zaragoza
2006	22	19	NC	No consta	Hombres	Huesca
2006	22	12	NC	No consta	Mujeres	Huesca
2006	44	11	NC	No consta	Hombres	Teruel
2006	44	3	NC	No consta	Mujeres	Teruel
2006	50	127	NC	No consta	Hombres	Zaragoza
2006	50	54	NC	No consta	Mujeres	Zaragoza
2005	22	3	0	Fuerzas armadas	Hombres	Huesca
2005	22	1	0	Fuerzas armadas	Mujeres	Huesca
2005	44	3	0	Fuerzas armadas	Hombres	Teruel
2005	44	2	0	Fuerzas armadas	Mujeres	Teruel
2005	50	19	0	Fuerzas armadas	Hombres	Zaragoza
2005	50	7	0	Fuerzas armadas	Mujeres	Zaragoza
2005	22	7	1	Dirección de las empresas y de las administraciones públicas	Hombres	Huesca
2005	22	4	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Huesca
2005	44	4	1	Dirección de las empresas y de las administraciones públicas	Hombres	Teruel
2005	44	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Teruel
2005	50	28	1	Dirección de las empresas y de las administraciones públicas	Hombres	Zaragoza
2005	50	18	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Zaragoza
2005	22	14	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2005	22	18	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2005	44	4	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2005	44	10	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2005	50	97	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2005	50	93	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2005	22	39	3	Técnicos y profesionales de apoyo	Hombres	Huesca
2005	22	26	3	Técnicos y profesionales de apoyo	Mujeres	Huesca
2005	44	14	3	Técnicos y profesionales de apoyo	Hombres	Teruel
2005	44	16	3	Técnicos y profesionales de apoyo	Mujeres	Teruel
2005	50	253	3	Técnicos y profesionales de apoyo	Hombres	Zaragoza
2005	50	208	3	Técnicos y profesionales de apoyo	Mujeres	Zaragoza
2005	22	26	4	Empleados de tipo administrativo	Hombres	Huesca
