Comarca código	Comarca nombre	Horas trabajadas	Personas residentes viviendas familiares
12	Tarazona y el Moncayo	21-30	183
12	Tarazona y el Moncayo	31-40	4370
12	Tarazona y el Moncayo	41-50	380
12	Tarazona y el Moncayo	Más de 50	176
13	Campo de Borja	01-10	106
13	Campo de Borja	11-20	185
13	Campo de Borja	21-30	188
13	Campo de Borja	31-40	4206
13	Campo de Borja	41-50	568
13	Campo de Borja	Más de 50	306
14	Aranda	01-10	129
14	Aranda	11-20	121
14	Aranda	21-30	94
14	Aranda	31-40	2587
14	Aranda	41-50	187
14	Aranda	Más de 50	81
15	Ribera Alta del Ebro	01-10	167
15	Ribera Alta del Ebro	11-20	386
15	Ribera Alta del Ebro	21-30	285
15	Ribera Alta del Ebro	31-40	7171
15	Ribera Alta del Ebro	41-50	670
15	Ribera Alta del Ebro	Más de 50	401
16	Valdejalón	01-10	197
16	Valdejalón	11-20	390
16	Valdejalón	21-30	326
16	Valdejalón	31-40	6710
16	Valdejalón	41-50	1057
16	Valdejalón	Más de 50	431
17	D.C. Zaragoza	01-10	7270
17	D.C. Zaragoza	11-20	12542
17	D.C. Zaragoza	21-30	15451
17	D.C. Zaragoza	31-40	204311
17	D.C. Zaragoza	41-50	29974
17	D.C. Zaragoza	Más de 50	11410
18	Ribera Baja del Ebro	01-10	62
18	Ribera Baja del Ebro	11-20	117
18	Ribera Baja del Ebro	21-30	122
18	Ribera Baja del Ebro	31-40	2875
18	Ribera Baja del Ebro	41-50	330
18	Ribera Baja del Ebro	Más de 50	181
19	Bajo Aragón-Caspe / Baix Aragó-Casp	01-10	114
19	Bajo Aragón-Caspe / Baix Aragó-Casp	11-20	200
19	Bajo Aragón-Caspe / Baix Aragó-Casp	21-30	174
19	Bajo Aragón-Caspe / Baix Aragó-Casp	31-40	3471
19	Bajo Aragón-Caspe / Baix Aragó-Casp	41-50	718
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Más de 50	330
20	Comunidad de Calatayud	01-10	277
20	Comunidad de Calatayud	11-20	501
20	Comunidad de Calatayud	21-30	499
20	Comunidad de Calatayud	31-40	10988
20	Comunidad de Calatayud	41-50	1543
20	Comunidad de Calatayud	Más de 50	702
21	Campo de Cariñena	01-10	57
21	Campo de Cariñena	11-20	125
21	Campo de Cariñena	21-30	155
21	Campo de Cariñena	31-40	3040
21	Campo de Cariñena	41-50	419
21	Campo de Cariñena	Más de 50	165
22	Campo de Belchite	01-10	31
22	Campo de Belchite	11-20	56
22	Campo de Belchite	21-30	61
22	Campo de Belchite	31-40	1373
22	Campo de Belchite	41-50	237
22	Campo de Belchite	Más de 50	198
23	Bajo Martín	01-10	22
23	Bajo Martín	11-20	88
23	Bajo Martín	21-30	63
23	Bajo Martín	31-40	1823
23	Bajo Martín	41-50	242
23	Bajo Martín	Más de 50	180
24	Campo de Daroca	01-10	28
24	Campo de Daroca	11-20	74
24	Campo de Daroca	21-30	80
24	Campo de Daroca	31-40	1628
24	Campo de Daroca	41-50	308
24	Campo de Daroca	Más de 50	159
25	Jiloca	01-10	65
25	Jiloca	11-20	181
25	Jiloca	21-30	209
25	Jiloca	31-40	3291
25	Jiloca	41-50	559
25	Jiloca	Más de 50	475
26	Cuencas Mineras	01-10	60
26	Cuencas Mineras	11-20	92
26	Cuencas Mineras	21-30	91
26	Cuencas Mineras	31-40	2372
26	Cuencas Mineras	41-50	214
26	Cuencas Mineras	Más de 50	207
27	Andorra-Sierra de Arcos	01-10	37
27	Andorra-Sierra de Arcos	11-20	122
27	Andorra-Sierra de Arcos	21-30	126
27	Andorra-Sierra de Arcos	31-40	2459
27	Andorra-Sierra de Arcos	41-50	368
27	Andorra-Sierra de Arcos	Más de 50	185
28	Bajo Aragón	01-10	152
28	Bajo Aragón	11-20	383
28	Bajo Aragón	21-30	454
28	Bajo Aragón	31-40	6930
28	Bajo Aragón	41-50	1810
28	Bajo Aragón	Más de 50	595
29	Comunidad de Teruel	01-10	255
29	Comunidad de Teruel	11-20	591
29	Comunidad de Teruel	21-30	930
29	Comunidad de Teruel	31-40	12747
29	Comunidad de Teruel	41-50	2069
29	Comunidad de Teruel	Más de 50	905
30	Maestrazgo	01-10	9
30	Maestrazgo	11-20	51
30	Maestrazgo	21-30	40
30	Maestrazgo	31-40	890
30	Maestrazgo	41-50	248
30	Maestrazgo	Más de 50	130
31	Sierra de Albarracín	01-10	22
31	Sierra de Albarracín	11-20	53
31	Sierra de Albarracín	21-30	53
31	Sierra de Albarracín	31-40	1275
31	Sierra de Albarracín	41-50	235
31	Sierra de Albarracín	Más de 50	129
32	Gúdar-Javalambre	01-10	40
32	Gúdar-Javalambre	11-20	98
32	Gúdar-Javalambre	21-30	89
32	Gúdar-Javalambre	31-40	2072
32	Gúdar-Javalambre	41-50	319
32	Gúdar-Javalambre	Más de 50	352
33	Matarraña / Matarranya	01-10	57
33	Matarraña / Matarranya	11-20	108
33	Matarraña / Matarranya	21-30	112
33	Matarraña / Matarranya	31-40	2089
33	Matarraña / Matarranya	41-50	535
33	Matarraña / Matarranya	Más de 50	266
