Comarca código	Comarca nombre	Edad	Sexo	Estado civil	Personas residentes viviendas familiares
01	La Jacetania	50 a 54	Mujeres	Solteros/as	46
01	La Jacetania	50 a 54	Mujeres	Casados/as	326
01	La Jacetania	50 a 54	Mujeres	Viudos/as	32
01	La Jacetania	50 a 54	Mujeres	Separados/as	15
01	La Jacetania	50 a 54	Mujeres	Divorciados/as	12
01	La Jacetania	55 a 59	Hombres	Solteros/as	97
01	La Jacetania	55 a 59	Hombres	Casados/as	333
01	La Jacetania	55 a 59	Hombres	Viudos/as	11
01	La Jacetania	55 a 59	Hombres	Separados/as	12
01	La Jacetania	55 a 59	Hombres	Divorciados/as	3
01	La Jacetania	55 a 59	Mujeres	Solteros/as	38
01	La Jacetania	55 a 59	Mujeres	Casados/as	317
01	La Jacetania	55 a 59	Mujeres	Viudos/as	39
01	La Jacetania	55 a 59	Mujeres	Separados/as	4
01	La Jacetania	55 a 59	Mujeres	Divorciados/as	5
01	La Jacetania	60 a 64	Hombres	Solteros/as	122
01	La Jacetania	60 a 64	Hombres	Casados/as	272
01	La Jacetania	60 a 64	Hombres	Viudos/as	9
01	La Jacetania	60 a 64	Hombres	Separados/as	3
01	La Jacetania	60 a 64	Hombres	Divorciados/as	1
01	La Jacetania	60 a 64	Mujeres	Solteros/as	37
01	La Jacetania	60 a 64	Mujeres	Casados/as	245
01	La Jacetania	60 a 64	Mujeres	Viudos/as	52
01	La Jacetania	60 a 64	Mujeres	Separados/as	4
01	La Jacetania	60 a 64	Mujeres	Divorciados/as	1
01	La Jacetania	65 a 69	Hombres	Solteros/as	137
01	La Jacetania	65 a 69	Hombres	Casados/as	319
01	La Jacetania	65 a 69	Hombres	Viudos/as	21
01	La Jacetania	65 a 69	Hombres	Separados/as	2
01	La Jacetania	65 a 69	Hombres	Divorciados/as	1
01	La Jacetania	65 a 69	Mujeres	Solteros/as	68
01	La Jacetania	65 a 69	Mujeres	Casados/as	309
01	La Jacetania	65 a 69	Mujeres	Viudos/as	118
01	La Jacetania	65 a 69	Mujeres	Separados/as	3
01	La Jacetania	65 a 69	Mujeres	Divorciados/as	2
01	La Jacetania	70 a 74	Hombres	Solteros/as	117
01	La Jacetania	70 a 74	Hombres	Casados/as	306
01	La Jacetania	70 a 74	Hombres	Viudos/as	31
01	La Jacetania	70 a 74	Hombres	Separados/as	4
01	La Jacetania	70 a 74	Hombres	Divorciados/as	2
01	La Jacetania	70 a 74	Mujeres	Solteros/as	79
01	La Jacetania	70 a 74	Mujeres	Casados/as	285
01	La Jacetania	70 a 74	Mujeres	Viudos/as	166
01	La Jacetania	70 a 74	Mujeres	Divorciados/as	1
01	La Jacetania	75 a 79	Hombres	Solteros/as	64
01	La Jacetania	75 a 79	Hombres	Casados/as	253
01	La Jacetania	75 a 79	Hombres	Viudos/as	47
01	La Jacetania	75 a 79	Hombres	Separados/as	2
01	La Jacetania	75 a 79	Hombres	Divorciados/as	2
01	La Jacetania	75 a 79	Mujeres	Solteros/as	59
01	La Jacetania	75 a 79	Mujeres	Casados/as	151
01	La Jacetania	75 a 79	Mujeres	Viudos/as	195
01	La Jacetania	75 a 79	Mujeres	Separados/as	1
01	La Jacetania	80 a 84	Hombres	Solteros/as	32
01	La Jacetania	80 a 84	Hombres	Casados/as	122
01	La Jacetania	80 a 84	Hombres	Viudos/as	37
01	La Jacetania	80 a 84	Hombres	Separados/as	1
01	La Jacetania	80 a 84	Hombres	Divorciados/as	1
01	La Jacetania	80 a 84	Mujeres	Solteros/as	53
01	La Jacetania	80 a 84	Mujeres	Casados/as	78
01	La Jacetania	80 a 84	Mujeres	Viudos/as	155
01	La Jacetania	80 a 84	Mujeres	Divorciados/as	3
01	La Jacetania	85 a 90	Hombres	Solteros/as	19
01	La Jacetania	85 a 90	Hombres	Casados/as	55
01	La Jacetania	85 a 90	Hombres	Viudos/as	33
01	La Jacetania	85 a 90	Mujeres	Solteros/as	27
01	La Jacetania	85 a 90	Mujeres	Casados/as	26
01	La Jacetania	85 a 90	Mujeres	Viudos/as	131
01	La Jacetania	90 ó más	Hombres	Solteros/as	7
01	La Jacetania	90 ó más	Hombres	Casados/as	19
01	La Jacetania	90 ó más	Hombres	Viudos/as	20
01	La Jacetania	90 ó más	Mujeres	Solteros/as	10
01	La Jacetania	90 ó más	Mujeres	Casados/as	6
01	La Jacetania	90 ó más	Mujeres	Viudos/as	77
02	Alto Gállego	16 a 19	Hombres	Solteros/as	274
02	Alto Gállego	16 a 19	Hombres	Casados/as	2
02	Alto Gállego	16 a 19	Mujeres	Solteros/as	238
02	Alto Gállego	16 a 19	Mujeres	Casados/as	4
02	Alto Gállego	20 a 24	Hombres	Solteros/as	412
02	Alto Gállego	20 a 24	Hombres	Casados/as	14
02	Alto Gállego	20 a 24	Mujeres	Solteros/as	367
02	Alto Gállego	20 a 24	Mujeres	Casados/as	26
02	Alto Gállego	25 a 29	Hombres	Solteros/as	375
02	Alto Gállego	25 a 29	Hombres	Casados/as	62
02	Alto Gállego	25 a 29	Hombres	Separados/as	1
02	Alto Gállego	25 a 29	Mujeres	Solteros/as	276
02	Alto Gállego	25 a 29	Mujeres	Casados/as	116
02	Alto Gállego	25 a 29	Mujeres	Separados/as	2
02	Alto Gállego	25 a 29	Mujeres	Divorciados/as	1
02	Alto Gállego	30 a 34	Hombres	Solteros/as	275
02	Alto Gállego	30 a 34	Hombres	Casados/as	187
02	Alto Gállego	30 a 34	Hombres	Separados/as	6
02	Alto Gállego	30 a 34	Hombres	Divorciados/as	2
02	Alto Gállego	30 a 34	Mujeres	Solteros/as	180
02	Alto Gállego	30 a 34	Mujeres	Casados/as	314
02	Alto Gállego	30 a 34	Mujeres	Viudos/as	5
02	Alto Gállego	30 a 34	Mujeres	Separados/as	11
02	Alto Gállego	30 a 34	Mujeres	Divorciados/as	2
02	Alto Gállego	35 a 39	Hombres	Solteros/as	192
02	Alto Gállego	35 a 39	Hombres	Casados/as	335
02	Alto Gállego	35 a 39	Hombres	Viudos/as	1
02	Alto Gállego	35 a 39	Hombres	Separados/as	16
02	Alto Gállego	35 a 39	Hombres	Divorciados/as	6
02	Alto Gállego	35 a 39	Mujeres	Solteros/as	97
02	Alto Gállego	35 a 39	Mujeres	Casados/as	350
02	Alto Gállego	35 a 39	Mujeres	Viudos/as	4
02	Alto Gállego	35 a 39	Mujeres	Separados/as	8
02	Alto Gállego	35 a 39	Mujeres	Divorciados/as	6
02	Alto Gállego	40 a 44	Hombres	Solteros/as	116
02	Alto Gállego	40 a 44	Hombres	Casados/as	403
02	Alto Gállego	40 a 44	Hombres	Viudos/as	1
02	Alto Gállego	40 a 44	Hombres	Separados/as	19
02	Alto Gállego	40 a 44	Hombres	Divorciados/as	5
02	Alto Gállego	40 a 44	Mujeres	Solteros/as	54
02	Alto Gállego	40 a 44	Mujeres	Casados/as	396
02	Alto Gállego	40 a 44	Mujeres	Viudos/as	7
02	Alto Gállego	40 a 44	Mujeres	Separados/as	15
02	Alto Gállego	40 a 44	Mujeres	Divorciados/as	12
02	Alto Gállego	45 a 49	Hombres	Solteros/as	51
02	Alto Gállego	45 a 49	Hombres	Casados/as	353
02	Alto Gállego	45 a 49	Hombres	Viudos/as	4
02	Alto Gállego	45 a 49	Hombres	Separados/as	12
02	Alto Gállego	45 a 49	Hombres	Divorciados/as	9
02	Alto Gállego	45 a 49	Mujeres	Solteros/as	50
02	Alto Gállego	45 a 49	Mujeres	Casados/as	326
02	Alto Gállego	45 a 49	Mujeres	Viudos/as	9
02	Alto Gállego	45 a 49	Mujeres	Separados/as	7
02	Alto Gállego	45 a 49	Mujeres	Divorciados/as	2
02	Alto Gállego	50 a 54	Hombres	Solteros/as	54
02	Alto Gállego	50 a 54	Hombres	Casados/as	289
02	Alto Gállego	50 a 54	Hombres	Viudos/as	6
02	Alto Gállego	50 a 54	Hombres	Separados/as	4
02	Alto Gállego	50 a 54	Hombres	Divorciados/as	8
02	Alto Gállego	50 a 54	Mujeres	Solteros/as	27
02	Alto Gállego	50 a 54	Mujeres	Casados/as	232
02	Alto Gállego	50 a 54	Mujeres	Viudos/as	23
02	Alto Gállego	50 a 54	Mujeres	Separados/as	3
02	Alto Gállego	50 a 54	Mujeres	Divorciados/as	6
02	Alto Gállego	55 a 59	Hombres	Solteros/as	56
02	Alto Gállego	55 a 59	Hombres	Casados/as	237
02	Alto Gállego	55 a 59	Hombres	Viudos/as	8
02	Alto Gállego	55 a 59	Hombres	Separados/as	6
02	Alto Gállego	55 a 59	Hombres	Divorciados/as	3
02	Alto Gállego	55 a 59	Mujeres	Solteros/as	25
02	Alto Gállego	55 a 59	Mujeres	Casados/as	259
02	Alto Gállego	55 a 59	Mujeres	Viudos/as	38
02	Alto Gállego	55 a 59	Mujeres	Separados/as	2
02	Alto Gállego	55 a 59	Mujeres	Divorciados/as	4
02	Alto Gállego	60 a 64	Hombres	Solteros/as	40
02	Alto Gállego	60 a 64	Hombres	Casados/as	191
02	Alto Gállego	60 a 64	Hombres	Viudos/as	5
02	Alto Gállego	60 a 64	Hombres	Separados/as	5
02	Alto Gállego	60 a 64	Hombres	Divorciados/as	2
02	Alto Gállego	60 a 64	Mujeres	Solteros/as	13
02	Alto Gállego	60 a 64	Mujeres	Casados/as	250
02	Alto Gállego	60 a 64	Mujeres	Viudos/as	30
02	Alto Gállego	60 a 64	Mujeres	Separados/as	1
02	Alto Gállego	65 a 69	Hombres	Solteros/as	65
02	Alto Gállego	65 a 69	Hombres	Casados/as	308
02	Alto Gállego	65 a 69	Hombres	Viudos/as	25
02	Alto Gállego	65 a 69	Hombres	Separados/as	3
02	Alto Gállego	65 a 69	Mujeres	Solteros/as	26
02	Alto Gállego	65 a 69	Mujeres	Casados/as	255
02	Alto Gállego	65 a 69	Mujeres	Viudos/as	80
02	Alto Gállego	65 a 69	Mujeres	Separados/as	1
02	Alto Gállego	65 a 69	Mujeres	Divorciados/as	1
02	Alto Gállego	70 a 74	Hombres	Solteros/as	63
02	Alto Gállego	70 a 74	Hombres	Casados/as	304
02	Alto Gállego	70 a 74	Hombres	Viudos/as	35
02	Alto Gállego	70 a 74	Hombres	Separados/as	4
02	Alto Gállego	70 a 74	Mujeres	Solteros/as	22
02	Alto Gállego	70 a 74	Mujeres	Casados/as	254
02	Alto Gállego	70 a 74	Mujeres	Viudos/as	136
02	Alto Gállego	70 a 74	Mujeres	Separados/as	3
02	Alto Gállego	75 a 79	Hombres	Solteros/as	27
02	Alto Gállego	75 a 79	Hombres	Casados/as	213
02	Alto Gállego	75 a 79	Hombres	Viudos/as	46
02	Alto Gállego	75 a 79	Hombres	Separados/as	1
02	Alto Gállego	75 a 79	Mujeres	Solteros/as	24
02	Alto Gállego	75 a 79	Mujeres	Casados/as	126
02	Alto Gállego	75 a 79	Mujeres	Viudos/as	115
02	Alto Gállego	80 a 84	Hombres	Solteros/as	17
02	Alto Gállego	80 a 84	Hombres	Casados/as	90
02	Alto Gállego	80 a 84	Hombres	Viudos/as	28
02	Alto Gállego	80 a 84	Mujeres	Solteros/as	20
02	Alto Gállego	80 a 84	Mujeres	Casados/as	43
02	Alto Gállego	80 a 84	Mujeres	Viudos/as	114
02	Alto Gállego	85 a 90	Hombres	Solteros/as	6
02	Alto Gállego	85 a 90	Hombres	Casados/as	31
02	Alto Gállego	85 a 90	Hombres	Viudos/as	13
02	Alto Gállego	85 a 90	Mujeres	Solteros/as	8
02	Alto Gállego	85 a 90	Mujeres	Casados/as	13
02	Alto Gállego	85 a 90	Mujeres	Viudos/as	76
02	Alto Gállego	90 ó más	Hombres	Solteros/as	4
02	Alto Gállego	90 ó más	Hombres	Casados/as	11
02	Alto Gállego	90 ó más	Hombres	Viudos/as	14
02	Alto Gállego	90 ó más	Mujeres	Solteros/as	4
02	Alto Gállego	90 ó más	Mujeres	Casados/as	3
02	Alto Gállego	90 ó más	Mujeres	Viudos/as	43
03	Sobrarbe	16 a 19	Hombres	Solteros/as	108
03	Sobrarbe	16 a 19	Mujeres	Solteros/as	116
03	Sobrarbe	16 a 19	Mujeres	Casados/as	1
03	Sobrarbe	20 a 24	Hombres	Solteros/as	181
03	Sobrarbe	20 a 24	Hombres	Casados/as	5
03	Sobrarbe	20 a 24	Mujeres	Solteros/as	141
03	Sobrarbe	20 a 24	Mujeres	Casados/as	14
03	Sobrarbe	20 a 24	Mujeres	Separados/as	1
03	Sobrarbe	25 a 29	Hombres	Solteros/as	197
03	Sobrarbe	25 a 29	Hombres	Casados/as	30
03	Sobrarbe	25 a 29	Mujeres	Solteros/as	146
03	Sobrarbe	25 a 29	Mujeres	Casados/as	57
03	Sobrarbe	25 a 29	Mujeres	Separados/as	1
03	Sobrarbe	30 a 34	Hombres	Solteros/as	189
03	Sobrarbe	30 a 34	Hombres	Casados/as	73
03	Sobrarbe	30 a 34	Hombres	Separados/as	2
03	Sobrarbe	30 a 34	Mujeres	Solteros/as	92
03	Sobrarbe	30 a 34	Mujeres	Casados/as	111
03	Sobrarbe	30 a 34	Mujeres	Viudos/as	2
03	Sobrarbe	30 a 34	Mujeres	Separados/as	2
03	Sobrarbe	30 a 34	Mujeres	Divorciados/as	2
03	Sobrarbe	35 a 39	Hombres	Solteros/as	146
03	Sobrarbe	35 a 39	Hombres	Casados/as	150
03	Sobrarbe	35 a 39	Hombres	Separados/as	4
03	Sobrarbe	35 a 39	Hombres	Divorciados/as	1
03	Sobrarbe	35 a 39	Mujeres	Solteros/as	44
03	Sobrarbe	35 a 39	Mujeres	Casados/as	185
03	Sobrarbe	35 a 39	Mujeres	Viudos/as	3
03	Sobrarbe	35 a 39	Mujeres	Separados/as	7
03	Sobrarbe	35 a 39	Mujeres	Divorciados/as	7
03	Sobrarbe	40 a 44	Hombres	Solteros/as	115
03	Sobrarbe	40 a 44	Hombres	Casados/as	180
03	Sobrarbe	40 a 44	Hombres	Viudos/as	2
03	Sobrarbe	40 a 44	Hombres	Separados/as	9
03	Sobrarbe	40 a 44	Hombres	Divorciados/as	9
03	Sobrarbe	40 a 44	Mujeres	Solteros/as	42
03	Sobrarbe	40 a 44	Mujeres	Casados/as	163
03	Sobrarbe	40 a 44	Mujeres	Viudos/as	2
03	Sobrarbe	40 a 44	Mujeres	Divorciados/as	5
03	Sobrarbe	45 a 49	Hombres	Solteros/as	88
03	Sobrarbe	45 a 49	Hombres	Casados/as	196
03	Sobrarbe	45 a 49	Hombres	Viudos/as	2
03	Sobrarbe	45 a 49	Hombres	Separados/as	5
03	Sobrarbe	45 a 49	Hombres	Divorciados/as	10
03	Sobrarbe	45 a 49	Mujeres	Solteros/as	31
03	Sobrarbe	45 a 49	Mujeres	Casados/as	165
03	Sobrarbe	45 a 49	Mujeres	Viudos/as	5
03	Sobrarbe	45 a 49	Mujeres	Separados/as	3
03	Sobrarbe	45 a 49	Mujeres	Divorciados/as	2
03	Sobrarbe	50 a 54	Hombres	Solteros/as	67
03	Sobrarbe	50 a 54	Hombres	Casados/as	131
03	Sobrarbe	50 a 54	Hombres	Viudos/as	2
03	Sobrarbe	50 a 54	Hombres	Separados/as	4
03	Sobrarbe	50 a 54	Hombres	Divorciados/as	2
03	Sobrarbe	50 a 54	Mujeres	Solteros/as	22
03	Sobrarbe	50 a 54	Mujeres	Casados/as	144
03	Sobrarbe	50 a 54	Mujeres	Viudos/as	7
03	Sobrarbe	50 a 54	Mujeres	Separados/as	1
03	Sobrarbe	50 a 54	Mujeres	Divorciados/as	2
03	Sobrarbe	55 a 59	Hombres	Solteros/as	56
03	Sobrarbe	55 a 59	Hombres	Casados/as	136
03	Sobrarbe	55 a 59	Hombres	Viudos/as	3
03	Sobrarbe	55 a 59	Hombres	Separados/as	2
03	Sobrarbe	55 a 59	Hombres	Divorciados/as	7
03	Sobrarbe	55 a 59	Mujeres	Solteros/as	14
03	Sobrarbe	55 a 59	Mujeres	Casados/as	121
03	Sobrarbe	55 a 59	Mujeres	Viudos/as	12
03	Sobrarbe	55 a 59	Mujeres	Separados/as	3
03	Sobrarbe	60 a 64	Hombres	Solteros/as	54
03	Sobrarbe	60 a 64	Hombres	Casados/as	86
03	Sobrarbe	60 a 64	Hombres	Viudos/as	5
03	Sobrarbe	60 a 64	Hombres	Separados/as	4
03	Sobrarbe	60 a 64	Hombres	Divorciados/as	1
03	Sobrarbe	60 a 64	Mujeres	Solteros/as	8
03	Sobrarbe	60 a 64	Mujeres	Casados/as	108
03	Sobrarbe	60 a 64	Mujeres	Viudos/as	30
03	Sobrarbe	65 a 69	Hombres	Solteros/as	80
03	Sobrarbe	65 a 69	Hombres	Casados/as	160
03	Sobrarbe	65 a 69	Hombres	Viudos/as	16
03	Sobrarbe	65 a 69	Hombres	Separados/as	5
03	Sobrarbe	65 a 69	Mujeres	Solteros/as	18
03	Sobrarbe	65 a 69	Mujeres	Casados/as	165
03	Sobrarbe	65 a 69	Mujeres	Viudos/as	41
03	Sobrarbe	65 a 69	Mujeres	Divorciados/as	1
03	Sobrarbe	70 a 74	Hombres	Solteros/as	45
03	Sobrarbe	70 a 74	Hombres	Casados/as	168
03	Sobrarbe	70 a 74	Hombres	Viudos/as	18
03	Sobrarbe	70 a 74	Hombres	Divorciados/as	1
03	Sobrarbe	70 a 74	Mujeres	Solteros/as	15
03	Sobrarbe	70 a 74	Mujeres	Casados/as	129
03	Sobrarbe	70 a 74	Mujeres	Viudos/as	86
03	Sobrarbe	70 a 74	Mujeres	Separados/as	1
03	Sobrarbe	75 a 79	Hombres	Solteros/as	26
03	Sobrarbe	75 a 79	Hombres	Casados/as	144
03	Sobrarbe	75 a 79	Hombres	Viudos/as	30
03	Sobrarbe	75 a 79	Hombres	Separados/as	1
03	Sobrarbe	75 a 79	Mujeres	Solteros/as	18
03	Sobrarbe	75 a 79	Mujeres	Casados/as	97
03	Sobrarbe	75 a 79	Mujeres	Viudos/as	99
03	Sobrarbe	80 a 84	Hombres	Solteros/as	17
03	Sobrarbe	80 a 84	Hombres	Casados/as	71
03	Sobrarbe	80 a 84	Hombres	Viudos/as	20
03	Sobrarbe	80 a 84	Mujeres	Solteros/as	13
03	Sobrarbe	80 a 84	Mujeres	Casados/as	39
03	Sobrarbe	80 a 84	Mujeres	Viudos/as	77
03	Sobrarbe	85 a 90	Hombres	Solteros/as	14
03	Sobrarbe	85 a 90	Hombres	Casados/as	35
03	Sobrarbe	85 a 90	Hombres	Viudos/as	23
03	Sobrarbe	85 a 90	Mujeres	Solteros/as	6
03	Sobrarbe	85 a 90	Mujeres	Casados/as	6
03	Sobrarbe	85 a 90	Mujeres	Viudos/as	84
03	Sobrarbe	90 ó más	Hombres	Solteros/as	6
03	Sobrarbe	90 ó más	Hombres	Casados/as	7
03	Sobrarbe	90 ó más	Hombres	Viudos/as	17
03	Sobrarbe	90 ó más	Mujeres	Solteros/as	2
03	Sobrarbe	90 ó más	Mujeres	Casados/as	3
03	Sobrarbe	90 ó más	Mujeres	Viudos/as	46
04	La Ribagorza	16 a 19	Hombres	Solteros/as	201
04	La Ribagorza	16 a 19	Hombres	Casados/as	1
04	La Ribagorza	16 a 19	Mujeres	Solteros/as	195
04	La Ribagorza	20 a 24	Hombres	Solteros/as	301
04	La Ribagorza	20 a 24	Hombres	Casados/as	3
04	La Ribagorza	20 a 24	Mujeres	Solteros/as	284
04	La Ribagorza	20 a 24	Mujeres	Casados/as	21
04	La Ribagorza	25 a 29	Hombres	Solteros/as	345
04	La Ribagorza	25 a 29	Hombres	Casados/as	74
04	La Ribagorza	25 a 29	Hombres	Separados/as	4
04	La Ribagorza	25 a 29	Hombres	Divorciados/as	2
04	La Ribagorza	25 a 29	Mujeres	Solteros/as	226
04	La Ribagorza	25 a 29	Mujeres	Casados/as	110
04	La Ribagorza	25 a 29	Mujeres	Viudos/as	1
04	La Ribagorza	25 a 29	Mujeres	Separados/as	6
04	La Ribagorza	25 a 29	Mujeres	Divorciados/as	2
04	La Ribagorza	30 a 34	Hombres	Solteros/as	281
04	La Ribagorza	30 a 34	Hombres	Casados/as	159
04	La Ribagorza	30 a 34	Hombres	Separados/as	7
04	La Ribagorza	30 a 34	Hombres	Divorciados/as	1
04	La Ribagorza	30 a 34	Mujeres	Solteros/as	168
04	La Ribagorza	30 a 34	Mujeres	Casados/as	250
04	La Ribagorza	30 a 34	Mujeres	Viudos/as	3
04	La Ribagorza	30 a 34	Mujeres	Separados/as	9
04	La Ribagorza	30 a 34	Mujeres	Divorciados/as	4
04	La Ribagorza	35 a 39	Hombres	Solteros/as	213
04	La Ribagorza	35 a 39	Hombres	Casados/as	287
04	La Ribagorza	35 a 39	Hombres	Viudos/as	1
04	La Ribagorza	35 a 39	Hombres	Separados/as	7
04	La Ribagorza	35 a 39	Hombres	Divorciados/as	8
04	La Ribagorza	35 a 39	Mujeres	Solteros/as	102
04	La Ribagorza	35 a 39	Mujeres	Casados/as	259
04	La Ribagorza	35 a 39	Mujeres	Viudos/as	2
04	La Ribagorza	35 a 39	Mujeres	Separados/as	14
04	La Ribagorza	35 a 39	Mujeres	Divorciados/as	6
04	La Ribagorza	40 a 44	Hombres	Solteros/as	145
04	La Ribagorza	40 a 44	Hombres	Casados/as	305
04	La Ribagorza	40 a 44	Hombres	Viudos/as	1
04	La Ribagorza	40 a 44	Hombres	Separados/as	11
04	La Ribagorza	40 a 44	Hombres	Divorciados/as	10
04	La Ribagorza	40 a 44	Mujeres	Solteros/as	64
04	La Ribagorza	40 a 44	Mujeres	Casados/as	306
04	La Ribagorza	40 a 44	Mujeres	Viudos/as	6
04	La Ribagorza	40 a 44	Mujeres	Separados/as	7
04	La Ribagorza	40 a 44	Mujeres	Divorciados/as	9
04	La Ribagorza	45 a 49	Hombres	Solteros/as	113
04	La Ribagorza	45 a 49	Hombres	Casados/as	269
04	La Ribagorza	45 a 49	Hombres	Viudos/as	1
04	La Ribagorza	45 a 49	Hombres	Separados/as	11
04	La Ribagorza	45 a 49	Hombres	Divorciados/as	7
04	La Ribagorza	45 a 49	Mujeres	Solteros/as	35
04	La Ribagorza	45 a 49	Mujeres	Casados/as	230
04	La Ribagorza	45 a 49	Mujeres	Viudos/as	7
04	La Ribagorza	45 a 49	Mujeres	Separados/as	11
04	La Ribagorza	45 a 49	Mujeres	Divorciados/as	5
04	La Ribagorza	50 a 54	Hombres	Solteros/as	94
04	La Ribagorza	50 a 54	Hombres	Casados/as	258
04	La Ribagorza	50 a 54	Hombres	Viudos/as	3
04	La Ribagorza	50 a 54	Hombres	Separados/as	17
04	La Ribagorza	50 a 54	Hombres	Divorciados/as	7
04	La Ribagorza	50 a 54	Mujeres	Solteros/as	27
04	La Ribagorza	50 a 54	Mujeres	Casados/as	260
04	La Ribagorza	50 a 54	Mujeres	Viudos/as	31
04	La Ribagorza	50 a 54	Mujeres	Separados/as	4
04	La Ribagorza	50 a 54	Mujeres	Divorciados/as	8
04	La Ribagorza	55 a 59	Hombres	Solteros/as	86
04	La Ribagorza	55 a 59	Hombres	Casados/as	199
04	La Ribagorza	55 a 59	Hombres	Viudos/as	5
04	La Ribagorza	55 a 59	Hombres	Separados/as	4
04	La Ribagorza	55 a 59	Hombres	Divorciados/as	2
04	La Ribagorza	55 a 59	Mujeres	Solteros/as	5
04	La Ribagorza	55 a 59	Mujeres	Casados/as	230
04	La Ribagorza	55 a 59	Mujeres	Viudos/as	23
04	La Ribagorza	55 a 59	Mujeres	Separados/as	2
04	La Ribagorza	55 a 59	Mujeres	Divorciados/as	1
04	La Ribagorza	60 a 64	Hombres	Solteros/as	79
04	La Ribagorza	60 a 64	Hombres	Casados/as	179
04	La Ribagorza	60 a 64	Hombres	Viudos/as	2
04	La Ribagorza	60 a 64	Hombres	Separados/as	8
04	La Ribagorza	60 a 64	Hombres	Divorciados/as	5
04	La Ribagorza	60 a 64	Mujeres	Solteros/as	20
04	La Ribagorza	60 a 64	Mujeres	Casados/as	201
04	La Ribagorza	60 a 64	Mujeres	Viudos/as	38
04	La Ribagorza	60 a 64	Mujeres	Separados/as	4
04	La Ribagorza	65 a 69	Hombres	Solteros/as	127
04	La Ribagorza	65 a 69	Hombres	Casados/as	239
04	La Ribagorza	65 a 69	Hombres	Viudos/as	21
04	La Ribagorza	65 a 69	Hombres	Separados/as	3
