Municipio código	Municipio nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22019	Alerre	2011	223	197	166	31	4	9	153	84,2639593908629
22019	Alerre	2015	213	188	155	33	2	12	141	82,4468085106383
22020	Alfántega	2007	112	95	95	0	0	0	95	100
22020	Alfántega	2011	125	110	81	29	9	2	70	73,6363636363636
22020	Alfántega	2015	136	111	93	18	4	1	88	83,7837837837838
22021	Almudévar	2007	2381	2053	1509	544	12	28	1469	73,5021919142718
22021	Almudévar	2011	2554	2096	1511	585	32	51	1428	72,0896946564885
22021	Almudévar	2015	2519	2009	1415	594	33	45	1337	70,4330512692882
22022	Almunia de San Juan	2007	650	589	481	108	0	10	471	81,6638370118846
22022	Almunia de San Juan	2011	664	575	495	80	8	17	470	86,0869565217391
22022	Almunia de San Juan	2015	681	560	428	132	12	28	388	76,4285714285714
22023	Almuniente	2007	559	509	415	94	3	5	407	81,532416502947
22023	Almuniente	2011	559	480	408	72	6	11	391	85
22023	Almuniente	2015	528	446	401	45	1	5	395	89,9103139013453
22024	Alquézar	2007	313	296	206	90	3	4	199	69,5945945945946
22024	Alquézar	2011	313	252	186	66	7	9	170	73,8095238095238
22024	Alquézar	2015	297	247	187	60	13	25	149	75,7085020242915
22025	Altorricón	2007	1469	1177	873	304	8	21	844	74,1716227697536
22025	Altorricón	2011	1506	1113	832	281	7	35	790	74,7529200359389
22025	Altorricón	2015	1477	1084	785	299	12	16	757	72,4169741697417
22027	Angüés	2007	423	370	281	89	14	0	267	75,9459459459459
22027	Angüés	2011	429	359	224	135	33	37	154	62,3955431754875
22027	Angüés	2015	404	327	187	140	9	30	148	57,1865443425076
22028	Ansó	2007	509	488	384	104	6	9	369	78,6885245901639
22028	Ansó	2011	491	424	342	82	14	8	320	80,6603773584906
22028	Ansó	2015	436	392	278	114	46	70	162	70,9183673469388
22029	Antillón	2007	165	146	129	17	1	1	127	88,3561643835616
22029	Antillón	2011	150	133	105	28	2	5	98	78,9473684210526
22029	Antillón	2015	153	133	109	24	0	5	104	81,9548872180451
22032	Aragüés del Puerto	2007	137	148	116	32	2	0	114	78,3783783783784
22032	Aragüés del Puerto	2011	128	119	92	27	4	3	85	77,3109243697479
22032	Aragüés del Puerto	2015	123	105	89	16	2	0	87	84,7619047619048
22035	Arén	2007	337	287	213	74	2	5	206	74,2160278745645
22035	Arén	2011	363	269	221	48	3	5	213	82,1561338289963
22035	Arén	2015	314	249	165	84	11	22	132	66,2650602409639
22036	Argavieso	2007	130	117	98	19	0	6	92	83,7606837606838
22036	Argavieso	2011	119	105	85	20	0	0	85	80,952380952381
22036	Argavieso	2015	107	94	79	15	2	2	75	84,0425531914894
22037	Arguis	2007	82	92	77	15	0	1	76	83,695652173913
22037	Arguis	2011	118	112	93	19	2	2	89	83,0357142857143
22037	Arguis	2015	125	118	96	22	1	0	95	81,3559322033898
22039	Ayerbe	2007	1112	1000	799	201	8	19	772	79,9
22039	Ayerbe	2011	1119	920	761	159	15	16	730	82,7173913043478
22039	Ayerbe	2015	1097	909	723	186	10	20	693	79,5379537953795
22040	Azanuy-Alins	2007	173	163	139	24	4	4	131	85,2760736196319
22040	Azanuy-Alins	2011	174	159	134	25	1	0	133	84,2767295597484
22040	Azanuy-Alins	2015	184	151	131	20	1	3	127	86,7549668874172
22041	Azara	2007	191	179	154	25	2	1	151	86,0335195530726
22041	Azara	2011	200	173	146	27	0	1	145	84,393063583815
22041	Azara	2015	193	166	127	39	3	2	122	76,5060240963855
22042	Azlor	2007	144	130	103	27	2	4	97	79,2307692307692
22042	Azlor	2011	135	114	102	12	2	3	97	89,4736842105263
22042	Azlor	2015	137	116	94	22	2	1	91	81,0344827586207
22043	Baells	2007	125	121	94	27	4	3	87	77,6859504132231
22043	Baells	2011	120	107	78	29	2	3	73	72,8971962616822
22043	Baells	2015	113	93	70	23	0	2	68	75,2688172043011
22044	Bailo	2007	240	287	234	53	1	2	231	81,5331010452962
22044	Bailo	2011	296	285	238	47	2	3	233	83,5087719298246
22044	Bailo	2015	290	265	219	46	9	5	205	82,6415094339623
22045	Baldellou	2007	115	118	96	22	2	0	94	81,3559322033898
22045	Baldellou	2011	117	109	97	12	2	1	94	88,9908256880734
22045	Baldellou	2015	98	93	85	8	12	0	73	91,3978494623656
22046	Ballobar	2007	980	883	731	152	11	9	711	82,7859569648924
22046	Ballobar	2011	981	799	686	113	11	9	666	85,8573216520651
22046	Ballobar	2015	866	751	646	105	13	9	624	86,0186418109188
22047	Banastás	2007	239	196	168	28	5	1	162	85,7142857142857
22047	Banastás	2011	270	223	195	28	3	5	187	87,4439461883408
22047	Banastás	2015	303	248	196	52	1	6	189	79,0322580645161
22048	Barbastro	2007	15880	12347	8297	4050	39	131	8127	67,1985097594557
22048	Barbastro	2011	17080	12498	8514	3984	96	216	8202	68,1228996639462
22048	Barbastro	2015	17109	12694	8350	4344	84	153	8113	65,7791082401134
22049	Barbués	2007	115	102	86	16	3	0	83	84,3137254901961
22049	Barbués	2011	98	90	68	22	5	0	63	75,5555555555556
22049	Barbués	2015	92	81	68	13	2	2	64	83,9506172839506
22050	Barbuñales	2007	110	104	90	14	0	0	90	86,5384615384615
22050	Barbuñales	2011	109	103	95	8	1	1	93	92,2330097087379
22050	Barbuñales	2015	100	95	74	21	6	19	49	77,8947368421053
22051	Bárcabo	2007	104	122	105	17	1	0	104	86,0655737704918
22051	Bárcabo	2011	129	114	102	12	2	1	99	89,4736842105263
22051	Bárcabo	2015	117	107	93	14	1	1	91	86,9158878504673
22052	Belver de Cinca	2007	1340	1077	847	230	7	22	818	78,644382544104
22052	Belver de Cinca	2011	1362	1017	792	225	17	31	744	77,8761061946903
22052	Belver de Cinca	2015	1346	960	745	215	27	15	703	77,6041666666667
22053	Benabarre	2007	1160	941	680	261	5	6	669	72,2635494155154
22053	Benabarre	2011	1177	889	615	274	4	17	594	69,1788526434196
22053	Benabarre	2015	1153	829	568	261	12	11	545	68,5162846803378
22054	Benasque	2007	2045	1613	988	625	20	38	930	61,2523248605084
22054	Benasque	2011	2219	1640	1089	551	9	11	1069	66,4024390243902
22054	Benasque	2015	2149	1577	1111	466	21	28	1062	70,4502219403932
22055	Berbegal	2007	465	389	352	37	8	7	337	90,4884318766067
22055	Berbegal	2011	441	344	315	29	2	4	309	91,5697674418605
22055	Berbegal	2015	391	334	288	46	16	6	266	86,2275449101796
22057	Bielsa	2007	506	471	357	114	6	6	345	75,796178343949
22057	Bielsa	2011	511	383	328	55	0	12	316	85,6396866840731
22057	Bielsa	2015	496	378	280	98	12	12	256	74,0740740740741
22058	Bierge	2007	239	210	159	51	11	10	138	75,7142857142857
22058	Bierge	2011	258	206	161	45	8	3	150	78,1553398058252
22058	Bierge	2015	242	198	173	25	0	3	170	87,3737373737374
22059	Biescas	2007	1513	1245	935	310	3	13	919	75,1004016064257
22059	Biescas	2011	1634	1179	889	290	14	25	850	75,4028837998304
22059	Biescas	2015	1535	1162	858	304	27	33	798	73,8382099827883
22060	Binaced	2007	1533	1278	1034	244	10	12	1012	80,9076682316119
22060	Binaced	2011	1494	1189	944	245	19	11	914	79,394449116905
22060	Binaced	2015	1539	1174	899	275	13	18	868	76,5758091993186
22061	Binéfar	2007	9012	6773	4278	2495	52	134	4092	63,1625572124612
22061	Binéfar	2011	9407	6775	4590	2185	58	122	4410	67,7490774907749
22061	Binéfar	2015	9461	6857	4308	2549	89	120	4099	62,826308881435
22062	Bisaurri	2007	247	224	154	70	3	9	142	68,75
22062	Bisaurri	2011	208	194	137	57	3	4	130	70,6185567010309
22062	Bisaurri	2015	179	166	114	52	2	8	104	68,6746987951807
22063	Biscarrués	2007	217	205	153	52	2	8	143	74,6341463414634
22063	Biscarrués	2011	228	187	172	15	4	1	167	91,9786096256684
22063	Biscarrués	2015	209	181	140	41	2	2	136	77,3480662983425
22064	Blecua y Torres	2007	195	183	145	38	4	7	134	79,2349726775956
22064	Blecua y Torres	2011	208	182	166	16	4	2	160	91,2087912087912
22064	Blecua y Torres	2015	202	168	131	37	3	5	123	77,9761904761905
22066	Boltaña	2007	924	780	568	212	1	11	556	72,8205128205128
22066	Boltaña	2011	1051	729	569	160	12	19	538	78,0521262002743
22066	Boltaña	2015	1041	744	522	222	10	16	496	70,1612903225806
22067	Bonansa	2007	101	80	57	23	1	1	55	71,25
22067	Bonansa	2011	102	89	47	42	1	1	45	52,8089887640449
22067	Bonansa	2015	84	70	52	18	1	1	50	74,2857142857143
22068	Borau	2007	72	78	58	20	3	4	51	74,3589743589744
22068	Borau	2011	81	79	60	19	0	0	60	75,9493670886076
22068	Borau	2015	91	85	85	0	0	8	77	100
22069	Broto	2007	520	474	382	92	2	2	378	80,5907172995781
22069	Broto	2011	542	439	393	46	2	12	379	89,5216400911162
22069	Broto	2015	523	435	334	101	24	11	299	76,7816091954023
22072	Caldearenas	2007	244	239	156	83	5	1	150	65,2719665271967
22072	Caldearenas	2011	246	204	159	45	4	1	154	77,9411764705882
22072	Caldearenas	2015	208	191	144	47	7	3	134	75,3926701570681
22074	Campo	2007	287	346	267	79	4	12	251	77,1676300578035
22074	Campo	2011	355	313	255	58	4	18	233	81,4696485623003
22074	Campo	2015	459	326	227	99	11	24	192	69,6319018404908
22075	Camporrells	2007	217	197	144	53	5	2	137	73,0964467005076
22075	Camporrells	2011	193	156	115	41	3	6	106	73,7179487179487
22075	Camporrells	2015	148	129	96	33	8	2	86	74,4186046511628
22076	Canal de Berdún	2007	416	407	308	99	3	4	301	75,6756756756757
22076	Canal de Berdún	2011	396	335	274	61	2	2	270	81,7910447761194
22076	Canal de Berdún	2015	376	313	237	76	10	5	222	75,7188498402556
22077	Candasnos	2007	446	477	404	73	13	7	384	84,6960167714885
22077	Candasnos	2011	409	424	350	74	20	19	311	82,5471698113208
22077	Candasnos	2015	339	389	303	86	34	10	259	77,892030848329
22078	Canfranc	2007	678	545	349	196	3	13	333	64,0366972477064
22078	Canfranc	2011	624	485	342	143	3	4	335	70,5154639175258
22078	Canfranc	2015	554	462	338	124	5	3	330	73,1601731601732
22079	Capdesaso	2007	161	159	102	57	4	7	91	64,1509433962264
22079	Capdesaso	2011	163	139	112	27	2	2	108	80,5755395683453
22079	Capdesaso	2015	170	140	95	45	0	3	92	67,8571428571429
22080	Capella	2007	404	324	266	58	5	8	253	82,0987654320988
22080	Capella	2011	366	296	250	46	7	3	240	84,4594594594595
22080	Capella	2015	361	288	243	45	6	9	228	84,375
22081	Casbas de Huesca	2007	293	296	221	75	5	2	214	74,6621621621622
22081	Casbas de Huesca	2011	299	274	226	48	3	1	222	82,4817518248175
22081	Casbas de Huesca	2015	295	261	217	44	4	3	210	83,1417624521073
22082	Castejón del Puente	2007	433	377	326	51	1	11	314	86,4721485411141
22082	Castejón del Puente	2011	399	323	276	47	4	1	271	85,4489164086687
22082	Castejón del Puente	2015	349	304	246	58	6	12	228	80,9210526315789
22083	Castejón de Monegros	2007	655	603	517	86	2	2	513	85,7379767827529
22083	Castejón de Monegros	2011	661	547	473	74	12	6	455	86,4716636197441
22083	Castejón de Monegros	2015	574	488	419	69	24	11	384	85,8606557377049
22084	Castejón de Sos	2007	733	549	389	160	5	19	365	70,856102003643
22084	Castejón de Sos	2011	788	535	423	112	9	17	397	79,0654205607477
22084	Castejón de Sos	2015	733	542	425	117	6	10	409	78,4132841328413
22085	Castelflorite	2007	131	129	112	17	3	1	108	86,8217054263566
22085	Castelflorite	2011	130	120	100	20	1	0	99	83,3333333333333
22085	Castelflorite	2015	123	110	94	16	1	1	92	85,4545454545455
22086	Castiello de Jaca	2007	230	209	163	46	4	2	157	77,9904306220096
22086	Castiello de Jaca	2011	256	213	155	58	1	2	152	72,7699530516432
22086	Castiello de Jaca	2015	243	218	144	74	3	6	135	66,0550458715596
22087	Castigaleu	2007	118	96	64	32	1	2	61	66,6666666666667
22087	Castigaleu	2011	119	87	58	29	5	1	52	66,6666666666667
22087	Castigaleu	2015	95	75	57	18	1	5	51	76
22088	Castillazuelo	2007	223	205	161	44	3	0	158	78,5365853658537
22088	Castillazuelo	2011	193	171	123	48	7	7	109	71,9298245614035
22088	Castillazuelo	2015	191	159	125	34	0	2	123	78,6163522012579
22089	Castillonroy	2007	391	345	296	49	4	13	279	85,7971014492754
22089	Castillonroy	2011	378	339	287	52	3	3	281	84,6607669616519
22089	Castillonroy	2015	336	318	277	41	4	3	270	87,1069182389937
22090	Colungo	2007	140	141	113	28	4	2	107	80,1418439716312
22090	Colungo	2011	147	125	100	25	1	2	97	80
22090	Colungo	2015	124	110	81	29	5	3	73	73,6363636363636
22094	Chalamera	2007	144	126	96	30	6	2	88	76,1904761904762
22094	Chalamera	2011	128	111	90	21	4	1	85	81,0810810810811
22094	Chalamera	2015	103	100	85	15	2	3	80	85
22095	Chía	2007	113	108	95	13	3	0	92	87,962962962963
22095	Chía	2011	105	89	77	12	0	0	77	86,5168539325843
22095	Chía	2015	87	76	67	9	1	2	64	88,1578947368421
22096	Chimillas	2007	340	292	239	53	1	8	230	81,8493150684932
22096	Chimillas	2011	359	297	237	60	8	8	221	79,7979797979798
22096	Chimillas	2015	373	298	234	64	5	6	223	78,5234899328859
22099	Esplús	2007	704	609	457	152	3	8	446	75,0410509031199
22099	Esplús	2011	677	542	443	99	4	13	426	81,7343173431734
22099	Esplús	2015	646	503	373	130	11	23	339	74,155069582505
22102	Estada	2007	231	200	170	30	3	1	166	85
22102	Estada	2011	236	197	166	31	2	1	163	84,2639593908629
22102	Estada	2015	215	187	162	25	6	4	152	86,6310160427807
22103	Estadilla	2007	877	744	624	120	1	16	607	83,8709677419355
22103	Estadilla	2011	860	701	581	120	2	12	567	82,8815977175464
22103	Estadilla	2015	822	684	547	137	7	10	530	79,9707602339181
22105	Estopiñán del Castillo	2007	199	164	144	20	1	0	143	87,8048780487805
22105	Estopiñán del Castillo	2011	177	139	123	16	1	0	122	88,4892086330935
22105	Estopiñán del Castillo	2015	136	123	107	16	2	0	105	86,9918699186992
22106	Fago	2007	35	31	18	13	1	1	16	58,0645161290323
22106	Fago	2011	26	26	18	8	1	0	17	69,2307692307692
22106	Fago	2015	24	25	13	12	0	0	13	52
22107	Fanlo	2007	170	196	148	48	3	0	145	75,5102040816327
22107	Fanlo	2011	138	140	131	9	1	0	130	93,5714285714286
22107	Fanlo	2015	118	119	114	5	2	0	112	95,7983193277311
22109	Fiscal	2007	300	269	220	49	1	3	216	81,7843866171004
22109	Fiscal	2011	317	260	238	22	1	1	236	91,5384615384615
22109	Fiscal	2015	369	288	242	46	11	9	222	84,0277777777778
22110	Fonz	2007	1040	897	710	187	8	5	697	79,1527313266444
22110	Fonz	2011	1035	844	670	174	6	11	653	79,3838862559242
22110	Fonz	2015	960	776	565	211	15	10	540	72,8092783505155
22111	Foradada del Toscar	2007	212	219	194	25	5	1	188	88,5844748858447
22111	Foradada del Toscar	2011	215	190	171	19	0	0	171	90
22111	Foradada del Toscar	2015	192	162	145	17	2	1	142	89,5061728395062
22112	Fraga	2007	13191	9741	6366	3375	44	191	6131	65,3526331998768
22112	Fraga	2011	14539	10029	6335	3694	91	263	5981	63,1668162329245
22112	Fraga	2015	14926	10390	6351	4039	84	153	6114	61,1260827718961
22113	Fueva (La)	2007	621	532	417	115	4	14	399	78,3834586466165
22113	Fueva (La)	2011	619	513	400	113	3	17	380	77,9727095516569
22113	Fueva (La)	2015	622	506	401	105	3	4	394	79,2490118577075
22114	Gistaín	2007	158	170	130	40	4	2	124	76,4705882352941
22114	Gistaín	2011	145	140	120	20	2	3	115	85,7142857142857
22114	Gistaín	2015	143	129	98	31	1	5	92	75,968992248062
22115	Grado (El)	2007	497	480	370	110	4	6	360	77,0833333333333
22115	Grado (El)	2011	493	428	349	79	3	5	341	81,5420560747664
22115	Grado (El)	2015	435	381	284	97	0	9	275	74,5406824146982
22116	Grañén	2007	2009	1650	1237	413	12	28	1197	74,969696969697
22116	Grañén	2011	1930	1579	1154	425	17	20	1117	73,0842305256491
22116	Grañén	2015	1902	1457	1020	437	20	22	978	70,0068634179822
22117	Graus	2007	3472	2822	2045	777	25	25	1995	72,4663359319631
22117	Graus	2011	3700	2677	1981	696	20	50	1911	74,0007471049682
22117	Graus	2015	3429	2589	1771	818	43	50	1678	68,4047894940131
22119	Gurrea de Gállego	2007	1745	1523	1134	389	13	29	1092	74,4583059750492
22119	Gurrea de Gállego	2011	1664	1432	1110	322	13	19	1078	77,5139664804469
22119	Gurrea de Gállego	2015	1575	1332	998	334	21	23	954	74,9249249249249
22122	Hoz de Jaca	2007	77	78	62	16	1	1	60	79,4871794871795
22122	Hoz de Jaca	2011	71	63	59	4	0	2	57	93,6507936507937
22122	Hoz de Jaca	2015	73	61	52	9	0	9	43	85,2459016393443
22124	Huerto	2007	258	251	198	53	1	2	195	78,8844621513944
22124	Huerto	2011	272	235	190	45	7	6	177	80,8510638297872
22124	Huerto	2015	242	211	147	64	5	7	135	69,6682464454976
22125	Huesca	2007	49312	38590	23327	15263	155	672	22500	60,4483026690853
22125	Huesca	2011	52347	38379	24482	13897	407	809	23266	63,7900935407384
22125	Huesca	2015	52555	39055	24897	14158	397	585	23915	63,7485597234669
22126	Ibieca	2007	110	106	87	19	4	1	82	82,0754716981132
22126	Ibieca	2011	108	101	86	15	4	0	82	85,1485148514851
22126	Ibieca	2015	119	91	61	30	3	2	56	67,032967032967
22127	Igriés	2007	456	381	295	86	0	5	290	77,4278215223097
22127	Igriés	2011	627	487	375	112	11	15	349	77,0020533880903
22127	Igriés	2015	700	498	347	151	8	17	322	69,6787148594378
22128	Ilche	2007	275	239	202	37	1	2	199	84,5188284518828
22128	Ilche	2011	246	208	185	23	1	3	181	88,9423076923077
22128	Ilche	2015	214	189	161	28	3	1	157	85,1851851851852
22129	Isábena	2007	302	228	194	34	2	3	189	85,0877192982456
22129	Isábena	2011	313	211	178	33	4	4	170	84,3601895734597
22129	Isábena	2015	288	202	162	40	5	5	152	80,1980198019802
22130	Jaca	2007	12736	10120	6072	4048	48	154	5870	60
22130	Jaca	2011	13374	10128	6620	3508	106	178	6336	65,3633491311216
22130	Jaca	2015	13121	10240	6489	3751	99	146	6244	63,369140625
22131	Jasa	2007	124	112	103	9	1	1	101	91,9642857142857
22131	Jasa	2011	116	98	89	9	0	0	89	90,8163265306122
22131	Jasa	2015	111	90	72	18	2	7	63	80
22133	Labuerda	2007	169	151	127	24	2	2	123	84,1059602649007
22133	Labuerda	2011	167	128	108	20	7	0	101	84,375
22133	Labuerda	2015	155	125	103	22	3	0	100	82,4
22135	Laluenga	2007	244	221	176	45	15	5	156	79,6380090497738
22135	Laluenga	2011	220	199	165	34	12	4	149	82,9145728643216
22135	Laluenga	2015	216	192	133	59	10	4	119	69,2708333333333
22136	Lalueza	2007	1136	1006	766	240	4	13	749	76,1431411530815
22136	Lalueza	2011	1101	939	693	246	10	15	668	73,8019169329073
22136	Lalueza	2015	1024	851	608	243	17	15	576	71,4453584018801
22137	Lanaja	2007	1457	1320	979	341	12	25	942	74,1666666666667
22137	Lanaja	2011	1417	1184	905	279	6	18	881	76,4358108108108
22137	Lanaja	2015	1324	1103	706	397	30	34	642	64,0072529465095
22139	Laperdiguera	2007	101	92	79	13	2	2	75	85,8695652173913
22139	Laperdiguera	2011	102	87	77	10	2	3	72	88,5057471264368
22139	Laperdiguera	2015	94	86	71	15	0	4	67	82,5581395348837
22141	Lascellas-Ponzano	2007	162	150	120	30	0	3	117	80
22141	Lascellas-Ponzano	2011	154	132	101	31	2	2	97	76,5151515151515
22141	Lascellas-Ponzano	2015	146	123	101	22	2	4	95	82,1138211382114
22142	Lascuarre	2007	147	127	102	25	2	1	99	80,3149606299213
22142	Lascuarre	2011	157	120	95	25	4	0	91	79,1666666666667
22142	Lascuarre	2015	136	102	86	16	4	6	76	84,3137254901961
22143	Laspaúles	2007	281	266	212	54	3	4	205	79,6992481203008
22143	Laspaúles	2011	297	251	206	45	0	3	203	82,0717131474104
22143	Laspaúles	2015	304	224	174	50	2	2	170	77,6785714285714
22144	Laspuña	2007	298	302	257	45	4	4	249	85,0993377483444
22144	Laspuña	2011	289	268	247	21	3	3	241	92,1641791044776
22144	Laspuña	2015	298	260	232	28	0	5	227	89,2307692307692
22149	Loarre	2007	392	367	294	73	5	7	282	80,1089918256131
22149	Loarre	2011	371	332	273	59	4	14	255	82,2289156626506
22149	Loarre	2015	338	312	249	63	11	22	216	79,8076923076923
22150	Loporzano	2007	520	496	373	123	7	3	363	75,2016129032258
22150	Loporzano	2011	540	499	353	146	5	9	339	70,7414829659319
22150	Loporzano	2015	535	478	340	138	9	21	310	71,1297071129707
22151	Loscorrales	2007	114	106	83	23	0	2	81	78,3018867924528
22151	Loscorrales	2011	108	98	81	17	2	3	76	82,6530612244898
22151	Loscorrales	2015	107	98	78	20	1	3	74	79,5918367346939
22155	Monesma y Cajigar	2007	111	96	75	21	0	7	68	78,125
22155	Monesma y Cajigar	2011	106	90	82	8	0	1	81	91,1111111111111
22155	Monesma y Cajigar	2015	88	79	74	5	1	0	73	93,6708860759494
22156	Monflorite-Lascasas	2007	240	218	203	15	2	3	198	93,1192660550459
22156	Monflorite-Lascasas	2011	312	254	218	36	2	8	208	85,8267716535433
22156	Monflorite-Lascasas	2015	295	257	203	54	1	8	194	78,988326848249
22157	Montanuy	2007	311	293	246	47	0	2	244	83,9590443686007
22157	Montanuy	2011	285	262	225	37	0	4	221	85,8778625954198
22157	Montanuy	2015	237	198	165	33	4	2	159	83,3333333333333
22158	Monzón	2007	16200	12188	8103	4085	78	173	7852	66,4834263209714
22158	Monzón	2011	17115	12067	7955	4112	109	231	7615	65,9235932709041
22158	Monzón	2015	17176	12140	7847	4293	94	93	7660	64,6375617792422
22160	Naval	2007	296	279	184	95	4	8	172	65,9498207885305
22160	Naval	2011	265	225	181	44	2	3	176	80,4444444444444
22160	Naval	2015	256	216	172	44	1	3	168	79,6296296296296
22162	Novales	2007	179	163	130	33	3	0	127	79,7546012269939
22162	Novales	2011	181	138	112	26	2	9	101	81,1594202898551
22162	Novales	2015	176	133	109	24	4	1	104	81,9548872180451
22163	Nueno	2007	492	446	361	85	2	12	347	80,9417040358744
22163	Nueno	2011	557	442	369	73	4	14	351	83,4841628959276
22163	Nueno	2015	558	436	324	112	18	30	276	74,3119266055046
22164	Olvena	2007	65	72	65	7	0	0	65	90,2777777777778
22164	Olvena	2011	58	46	41	5	0	0	41	89,1304347826087
22164	Olvena	2015	57	37	27	10	0	0	27	72,972972972973
22165	Ontiñena	2007	608	552	492	60	2	7	483	89,1304347826087
22165	Ontiñena	2011	586	525	484	41	2	3	479	92,1904761904762
22165	Ontiñena	2015	570	498	431	67	18	8	405	86,5461847389558
22167	Osso de Cinca	2007	749	541	458	83	6	9	443	84,6580406654344
22167	Osso de Cinca	2011	735	520	448	72	3	12	433	86,1538461538462
22167	Osso de Cinca	2015	771	506	436	70	10	15	411	86,1660079051383
22168	Palo	2007	38	33	23	10	0	1	22	69,6969696969697
22168	Palo	2011	24	23	17	6	0	0	17	73,9130434782609
22168	Palo	2015	22	22	18	4	0	3	15	81,8181818181818
22170	Panticosa	2007	740	645	516	129	8	20	488	80
22170	Panticosa	2011	819	643	544	99	4	10	530	84,6034214618974
22170	Panticosa	2015	757	652	497	155	10	10	477	76,2269938650307
22172	Peñalba	2007	756	658	569	89	2	8	559	86,4741641337386
22172	Peñalba	2011	761	624	531	93	3	2	526	85,0961538461538
22172	Peñalba	2015	691	581	497	84	6	1	490	85,5421686746988
22173	Peñas de Riglos (Las)	2007	295	297	200	97	2	2	196	67,3400673400673
22173	Peñas de Riglos (Las)	2011	268	244	184	60	1	4	179	75,4098360655738
22173	Peñas de Riglos (Las)	2015	267	240	171	69	4	5	162	71,25
22174	Peralta de Alcofea	2007	654	578	474	104	9	9	456	82,0069204152249
22174	Peralta de Alcofea	2011	618	531	449	82	8	9	432	84,5574387947269
22174	Peralta de Alcofea	2015	582	501	412	89	6	12	394	82,2355289421158
22175	Peralta de Calasanz	2007	261	255	210	45	3	1	206	82,3529411764706
22175	Peralta de Calasanz	2011	235	214	174	40	4	3	167	81,3084112149533
22175	Peralta de Calasanz	2015	240	202	155	47	4	3	148	76,7326732673267
