Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código
2014	44	Teruel	8	Menos de 10 trabajadores	Graves o muy graves	2
2014	50	Zaragoza	17	Menos de 10 trabajadores	Graves o muy graves	2
2013	22	Huesca	12	Menos de 10 trabajadores	Graves o muy graves	2
2013	44	Teruel	1	Menos de 10 trabajadores	Graves o muy graves	2
2013	50	Zaragoza	20	Menos de 10 trabajadores	Graves o muy graves	2
2012	22	Huesca	17	Menos de 10 trabajadores	Graves o muy graves	2
2012	44	Teruel	2	Menos de 10 trabajadores	Graves o muy graves	2
2012	50	Zaragoza	17	Menos de 10 trabajadores	Graves o muy graves	2
2011	22	Huesca	15	Menos de 10 trabajadores	Graves o muy graves	2
2011	44	Teruel	4	Menos de 10 trabajadores	Graves o muy graves	2
2011	50	Zaragoza	13	Menos de 10 trabajadores	Graves o muy graves	2
2010	22	Huesca	18	Menos de 10 trabajadores	Graves o muy graves	2
2010	44	Teruel	4	Menos de 10 trabajadores	Graves o muy graves	2
2010	50	Zaragoza	11	Menos de 10 trabajadores	Graves o muy graves	2
2009	22	Huesca	20	Menos de 10 trabajadores	Graves o muy graves	2
2009	44	Teruel	3	Menos de 10 trabajadores	Graves o muy graves	2
2009	50	Zaragoza	22	Menos de 10 trabajadores	Graves o muy graves	2
2008	22	Huesca	18	Menos de 10 trabajadores	Graves o muy graves	2
2008	44	Teruel	6	Menos de 10 trabajadores	Graves o muy graves	2
2008	50	Zaragoza	21	Menos de 10 trabajadores	Graves o muy graves	2
2007	22	Huesca	21	Menos de 10 trabajadores	Graves o muy graves	2
2007	44	Teruel	7	Menos de 10 trabajadores	Graves o muy graves	2
2007	50	Zaragoza	32	Menos de 10 trabajadores	Graves o muy graves	2
2006	22	Huesca	11	Menos de 10 trabajadores	Graves o muy graves	2
2006	44	Teruel	2	Menos de 10 trabajadores	Graves o muy graves	2
2006	50	Zaragoza	43	Menos de 10 trabajadores	Graves o muy graves	2
2005	22	Huesca	15	Menos de 10 trabajadores	Graves o muy graves	2
2005	44	Teruel	10	Menos de 10 trabajadores	Graves o muy graves	2
2005	50	Zaragoza	44	Menos de 10 trabajadores	Graves o muy graves	2
2004	22	Huesca	16	Menos de 10 trabajadores	Graves o muy graves	2
2004	44	Teruel	12	Menos de 10 trabajadores	Graves o muy graves	2
2004	50	Zaragoza	30	Menos de 10 trabajadores	Graves o muy graves	2
2003	22	Huesca	18	Menos de 10 trabajadores	Graves o muy graves	2
2003	44	Teruel	14	Menos de 10 trabajadores	Graves o muy graves	2
2003	50	Zaragoza	46	Menos de 10 trabajadores	Graves o muy graves	2
2019	22	Huesca	2	Menos de 10 trabajadores	Mortales	3
2019	50	Zaragoza	10	Menos de 10 trabajadores	Mortales	3
2018	22	Huesca	1	Menos de 10 trabajadores	Mortales	3
2018	44	Teruel	1	Menos de 10 trabajadores	Mortales	3
2018	50	Zaragoza	5	Menos de 10 trabajadores	Mortales	3
2017	22	Huesca	1	Menos de 10 trabajadores	Mortales	3
2017	44	Teruel	1	Menos de 10 trabajadores	Mortales	3
2017	50	Zaragoza	2	Menos de 10 trabajadores	Mortales	3
2016	22	Huesca	3	Menos de 10 trabajadores	Mortales	3
2016	44	Teruel	2	Menos de 10 trabajadores	Mortales	3
2016	50	Zaragoza	3	Menos de 10 trabajadores	Mortales	3
2015	22	Huesca	3	Menos de 10 trabajadores	Mortales	3
2015	44	Teruel	1	Menos de 10 trabajadores	Mortales	3
2015	50	Zaragoza	5	Menos de 10 trabajadores	Mortales	3
2014	22	Huesca	1	Menos de 10 trabajadores	Mortales	3
2014	50	Zaragoza	3	Menos de 10 trabajadores	Mortales	3
2013	22	Huesca	1	Menos de 10 trabajadores	Mortales	3
2013	44	Teruel	1	Menos de 10 trabajadores	Mortales	3
2013	50	Zaragoza	8	Menos de 10 trabajadores	Mortales	3
2012	22	Huesca	4	Menos de 10 trabajadores	Mortales	3
2012	44	Teruel	1	Menos de 10 trabajadores	Mortales	3
2012	50	Zaragoza	2	Menos de 10 trabajadores	Mortales	3
2011	22	Huesca	2	Menos de 10 trabajadores	Mortales	3
2011	44	Teruel	3	Menos de 10 trabajadores	Mortales	3
2011	50	Zaragoza	5	Menos de 10 trabajadores	Mortales	3
2010	22	Huesca	2	Menos de 10 trabajadores	Mortales	3
2010	50	Zaragoza	5	Menos de 10 trabajadores	Mortales	3
2009	22	Huesca	3	Menos de 10 trabajadores	Mortales	3
2009	44	Teruel	1	Menos de 10 trabajadores	Mortales	3
2009	50	Zaragoza	9	Menos de 10 trabajadores	Mortales	3
2008	44	Teruel	1	Menos de 10 trabajadores	Mortales	3
2008	50	Zaragoza	8	Menos de 10 trabajadores	Mortales	3
2007	22	Huesca	3	Menos de 10 trabajadores	Mortales	3
2007	44	Teruel	5	Menos de 10 trabajadores	Mortales	3
2007	50	Zaragoza	9	Menos de 10 trabajadores	Mortales	3
2006	22	Huesca	2	Menos de 10 trabajadores	Mortales	3
2006	44	Teruel	1	Menos de 10 trabajadores	Mortales	3
2006	50	Zaragoza	3	Menos de 10 trabajadores	Mortales	3
2005	22	Huesca	1	Menos de 10 trabajadores	Mortales	3
2005	44	Teruel	2	Menos de 10 trabajadores	Mortales	3
2005	50	Zaragoza	4	Menos de 10 trabajadores	Mortales	3
2004	22	Huesca	7	Menos de 10 trabajadores	Mortales	3
2004	44	Teruel	3	Menos de 10 trabajadores	Mortales	3
2004	50	Zaragoza	7	Menos de 10 trabajadores	Mortales	3
2003	22	Huesca	3	Menos de 10 trabajadores	Mortales	3
2003	44	Teruel	3	Menos de 10 trabajadores	Mortales	3
2003	50	Zaragoza	5	Menos de 10 trabajadores	Mortales	3
2019	22	Huesca	464	De 10 a 19 trabajadores	Leves	1
2019	44	Teruel	177	De 10 a 19 trabajadores	Leves	1
2019	50	Zaragoza	1282	De 10 a 19 trabajadores	Leves	1
2018	22	Huesca	380	De 10 a 19 trabajadores	Leves	1
2018	44	Teruel	197	De 10 a 19 trabajadores	Leves	1
2018	50	Zaragoza	1269	De 10 a 19 trabajadores	Leves	1
2017	22	Huesca	412	De 10 a 19 trabajadores	Leves	1
2017	44	Teruel	155	De 10 a 19 trabajadores	Leves	1
2017	50	Zaragoza	1187	De 10 a 19 trabajadores	Leves	1
2016	22	Huesca	372	De 10 a 19 trabajadores	Leves	1
2016	44	Teruel	177	De 10 a 19 trabajadores	Leves	1
2016	50	Zaragoza	1072	De 10 a 19 trabajadores	Leves	1
2015	22	Huesca	352	De 10 a 19 trabajadores	Leves	1
2015	44	Teruel	97	De 10 a 19 trabajadores	Leves	1
2015	50	Zaragoza	1053	De 10 a 19 trabajadores	Leves	1
2014	22	Huesca	354	De 10 a 19 trabajadores	Leves	1
2014	44	Teruel	130	De 10 a 19 trabajadores	Leves	1
2014	50	Zaragoza	852	De 10 a 19 trabajadores	Leves	1
2013	22	Huesca	336	De 10 a 19 trabajadores	Leves	1
2013	44	Teruel	147	De 10 a 19 trabajadores	Leves	1
2013	50	Zaragoza	853	De 10 a 19 trabajadores	Leves	1
2012	22	Huesca	305	De 10 a 19 trabajadores	Leves	1
2012	44	Teruel	137	De 10 a 19 trabajadores	Leves	1
2012	50	Zaragoza	1014	De 10 a 19 trabajadores	Leves	1
2011	22	Huesca	382	De 10 a 19 trabajadores	Leves	1
2011	44	Teruel	190	De 10 a 19 trabajadores	Leves	1
2011	50	Zaragoza	1186	De 10 a 19 trabajadores	Leves	1
2010	22	Huesca	414	De 10 a 19 trabajadores	Leves	1
2010	44	Teruel	215	De 10 a 19 trabajadores	Leves	1
2010	50	Zaragoza	1407	De 10 a 19 trabajadores	Leves	1
2009	22	Huesca	438	De 10 a 19 trabajadores	Leves	1
2009	44	Teruel	206	De 10 a 19 trabajadores	Leves	1
2009	50	Zaragoza	1584	De 10 a 19 trabajadores	Leves	1
2008	22	Huesca	639	De 10 a 19 trabajadores	Leves	1
2008	44	Teruel	322	De 10 a 19 trabajadores	Leves	1
2008	50	Zaragoza	2219	De 10 a 19 trabajadores	Leves	1
2007	22	Huesca	786	De 10 a 19 trabajadores	Leves	1
2007	44	Teruel	348	De 10 a 19 trabajadores	Leves	1
2007	50	Zaragoza	2469	De 10 a 19 trabajadores	Leves	1
2006	22	Huesca	647	De 10 a 19 trabajadores	Leves	1
2006	44	Teruel	288	De 10 a 19 trabajadores	Leves	1
2006	50	Zaragoza	2383	De 10 a 19 trabajadores	Leves	1
2005	22	Huesca	624	De 10 a 19 trabajadores	Leves	1
2005	44	Teruel	279	De 10 a 19 trabajadores	Leves	1
2005	50	Zaragoza	2293	De 10 a 19 trabajadores	Leves	1
2004	22	Huesca	557	De 10 a 19 trabajadores	Leves	1
2004	44	Teruel	230	De 10 a 19 trabajadores	Leves	1
2004	50	Zaragoza	2210	De 10 a 19 trabajadores	Leves	1
2003	22	Huesca	543	De 10 a 19 trabajadores	Leves	1
2003	44	Teruel	225	De 10 a 19 trabajadores	Leves	1
2003	50	Zaragoza	2177	De 10 a 19 trabajadores	Leves	1
2019	22	Huesca	5	De 10 a 19 trabajadores	Graves o muy graves	2
2019	44	Teruel	2	De 10 a 19 trabajadores	Graves o muy graves	2
2019	50	Zaragoza	10	De 10 a 19 trabajadores	Graves o muy graves	2
2018	22	Huesca	4	De 10 a 19 trabajadores	Graves o muy graves	2
2018	44	Teruel	3	De 10 a 19 trabajadores	Graves o muy graves	2
2018	50	Zaragoza	14	De 10 a 19 trabajadores	Graves o muy graves	2
2017	22	Huesca	4	De 10 a 19 trabajadores	Graves o muy graves	2
2017	50	Zaragoza	11	De 10 a 19 trabajadores	Graves o muy graves	2
2016	22	Huesca	3	De 10 a 19 trabajadores	Graves o muy graves	2
2016	44	Teruel	4	De 10 a 19 trabajadores	Graves o muy graves	2
2016	50	Zaragoza	5	De 10 a 19 trabajadores	Graves o muy graves	2
2015	22	Huesca	2	De 10 a 19 trabajadores	Graves o muy graves	2
2015	44	Teruel	3	De 10 a 19 trabajadores	Graves o muy graves	2
2015	50	Zaragoza	10	De 10 a 19 trabajadores	Graves o muy graves	2
2014	22	Huesca	1	De 10 a 19 trabajadores	Graves o muy graves	2
2014	44	Teruel	1	De 10 a 19 trabajadores	Graves o muy graves	2
2014	50	Zaragoza	4	De 10 a 19 trabajadores	Graves o muy graves	2
2013	22	Huesca	2	De 10 a 19 trabajadores	Graves o muy graves	2
2013	44	Teruel	1	De 10 a 19 trabajadores	Graves o muy graves	2
2013	50	Zaragoza	5	De 10 a 19 trabajadores	Graves o muy graves	2
2012	22	Huesca	8	De 10 a 19 trabajadores	Graves o muy graves	2
2012	44	Teruel	2	De 10 a 19 trabajadores	Graves o muy graves	2
2012	50	Zaragoza	10	De 10 a 19 trabajadores	Graves o muy graves	2
2011	22	Huesca	2	De 10 a 19 trabajadores	Graves o muy graves	2
2011	44	Teruel	4	De 10 a 19 trabajadores	Graves o muy graves	2
2011	50	Zaragoza	4	De 10 a 19 trabajadores	Graves o muy graves	2
2010	22	Huesca	7	De 10 a 19 trabajadores	Graves o muy graves	2
2010	44	Teruel	2	De 10 a 19 trabajadores	Graves o muy graves	2
2010	50	Zaragoza	6	De 10 a 19 trabajadores	Graves o muy graves	2
2009	22	Huesca	4	De 10 a 19 trabajadores	Graves o muy graves	2
2009	44	Teruel	5	De 10 a 19 trabajadores	Graves o muy graves	2
2009	50	Zaragoza	15	De 10 a 19 trabajadores	Graves o muy graves	2
2008	22	Huesca	3	De 10 a 19 trabajadores	Graves o muy graves	2
2008	44	Teruel	1	De 10 a 19 trabajadores	Graves o muy graves	2
2008	50	Zaragoza	13	De 10 a 19 trabajadores	Graves o muy graves	2
2007	22	Huesca	12	De 10 a 19 trabajadores	Graves o muy graves	2
2007	44	Teruel	3	De 10 a 19 trabajadores	Graves o muy graves	2
2007	50	Zaragoza	28	De 10 a 19 trabajadores	Graves o muy graves	2
2006	22	Huesca	7	De 10 a 19 trabajadores	Graves o muy graves	2
2006	44	Teruel	2	De 10 a 19 trabajadores	Graves o muy graves	2
2006	50	Zaragoza	22	De 10 a 19 trabajadores	Graves o muy graves	2
2005	22	Huesca	6	De 10 a 19 trabajadores	Graves o muy graves	2
2005	44	Teruel	4	De 10 a 19 trabajadores	Graves o muy graves	2
2005	50	Zaragoza	13	De 10 a 19 trabajadores	Graves o muy graves	2
2004	22	Huesca	8	De 10 a 19 trabajadores	Graves o muy graves	2
2004	44	Teruel	5	De 10 a 19 trabajadores	Graves o muy graves	2
2004	50	Zaragoza	20	De 10 a 19 trabajadores	Graves o muy graves	2
2003	22	Huesca	8	De 10 a 19 trabajadores	Graves o muy graves	2
2003	44	Teruel	5	De 10 a 19 trabajadores	Graves o muy graves	2
2003	50	Zaragoza	21	De 10 a 19 trabajadores	Graves o muy graves	2
2019	22	Huesca	4	De 10 a 19 trabajadores	Mortales	3
2018	22	Huesca	1	De 10 a 19 trabajadores	Mortales	3
2018	50	Zaragoza	1	De 10 a 19 trabajadores	Mortales	3
2017	22	Huesca	1	De 10 a 19 trabajadores	Mortales	3
2017	44	Teruel	3	De 10 a 19 trabajadores	Mortales	3
2016	44	Teruel	1	De 10 a 19 trabajadores	Mortales	3
2016	50	Zaragoza	1	De 10 a 19 trabajadores	Mortales	3
2015	50	Zaragoza	1	De 10 a 19 trabajadores	Mortales	3
2014	44	Teruel	1	De 10 a 19 trabajadores	Mortales	3
2014	50	Zaragoza	3	De 10 a 19 trabajadores	Mortales	3
2013	50	Zaragoza	1	De 10 a 19 trabajadores	Mortales	3
2012	44	Teruel	1	De 10 a 19 trabajadores	Mortales	3
2011	22	Huesca	1	De 10 a 19 trabajadores	Mortales	3
2011	50	Zaragoza	2	De 10 a 19 trabajadores	Mortales	3
2010	22	Huesca	1	De 10 a 19 trabajadores	Mortales	3
2010	50	Zaragoza	2	De 10 a 19 trabajadores	Mortales	3
2009	22	Huesca	1	De 10 a 19 trabajadores	Mortales	3
2009	50	Zaragoza	3	De 10 a 19 trabajadores	Mortales	3
2008	22	Huesca	1	De 10 a 19 trabajadores	Mortales	3
2008	44	Teruel	1	De 10 a 19 trabajadores	Mortales	3
2008	50	Zaragoza	2	De 10 a 19 trabajadores	Mortales	3
2007	44	Teruel	1	De 10 a 19 trabajadores	Mortales	3
2007	50	Zaragoza	6	De 10 a 19 trabajadores	Mortales	3
2006	44	Teruel	1	De 10 a 19 trabajadores	Mortales	3
2006	50	Zaragoza	2	De 10 a 19 trabajadores	Mortales	3
2005	50	Zaragoza	5	De 10 a 19 trabajadores	Mortales	3
2004	22	Huesca	1	De 10 a 19 trabajadores	Mortales	3
2004	44	Teruel	1	De 10 a 19 trabajadores	Mortales	3
2004	50	Zaragoza	6	De 10 a 19 trabajadores	Mortales	3
2003	44	Teruel	4	De 10 a 19 trabajadores	Mortales	3
2003	50	Zaragoza	2	De 10 a 19 trabajadores	Mortales	3
2019	22	Huesca	726	De 20 a 49 trabajadores	Leves	1
2019	44	Teruel	289	De 20 a 49 trabajadores	Leves	1
2019	50	Zaragoza	2006	De 20 a 49 trabajadores	Leves	1
2018	22	Huesca	638	De 20 a 49 trabajadores	Leves	1
2018	44	Teruel	287	De 20 a 49 trabajadores	Leves	1
2018	50	Zaragoza	2057	De 20 a 49 trabajadores	Leves	1
2017	22	Huesca	548	De 20 a 49 trabajadores	Leves	1
2017	44	Teruel	290	De 20 a 49 trabajadores	Leves	1
2017	50	Zaragoza	1835	De 20 a 49 trabajadores	Leves	1
2016	22	Huesca	532	De 20 a 49 trabajadores	Leves	1
2016	44	Teruel	366	De 20 a 49 trabajadores	Leves	1
2016	50	Zaragoza	1720	De 20 a 49 trabajadores	Leves	1
2015	22	Huesca	454	De 20 a 49 trabajadores	Leves	1
2015	44	Teruel	224	De 20 a 49 trabajadores	Leves	1
2015	50	Zaragoza	1659	De 20 a 49 trabajadores	Leves	1
2014	22	Huesca	450	De 20 a 49 trabajadores	Leves	1
2014	44	Teruel	222	De 20 a 49 trabajadores	Leves	1
2014	50	Zaragoza	1506	De 20 a 49 trabajadores	Leves	1
2013	22	Huesca	377	De 20 a 49 trabajadores	Leves	1
2013	44	Teruel	186	De 20 a 49 trabajadores	Leves	1
2013	50	Zaragoza	1367	De 20 a 49 trabajadores	Leves	1
2012	22	Huesca	434	De 20 a 49 trabajadores	Leves	1
2012	44	Teruel	208	De 20 a 49 trabajadores	Leves	1
2012	50	Zaragoza	1541	De 20 a 49 trabajadores	Leves	1
2011	22	Huesca	458	De 20 a 49 trabajadores	Leves	1
2011	44	Teruel	258	De 20 a 49 trabajadores	Leves	1
2011	50	Zaragoza	1862	De 20 a 49 trabajadores	Leves	1
2010	22	Huesca	547	De 20 a 49 trabajadores	Leves	1
2010	44	Teruel	278	De 20 a 49 trabajadores	Leves	1
2010	50	Zaragoza	2117	De 20 a 49 trabajadores	Leves	1
2009	22	Huesca	560	De 20 a 49 trabajadores	Leves	1
2009	44	Teruel	321	De 20 a 49 trabajadores	Leves	1
2009	50	Zaragoza	2257	De 20 a 49 trabajadores	Leves	1
2008	22	Huesca	848	De 20 a 49 trabajadores	Leves	1
2008	44	Teruel	390	De 20 a 49 trabajadores	Leves	1
2008	50	Zaragoza	3464	De 20 a 49 trabajadores	Leves	1
2007	22	Huesca	910	De 20 a 49 trabajadores	Leves	1
2007	44	Teruel	393	De 20 a 49 trabajadores	Leves	1
2007	50	Zaragoza	4031	De 20 a 49 trabajadores	Leves	1
2006	22	Huesca	889	De 20 a 49 trabajadores	Leves	1
2006	44	Teruel	426	De 20 a 49 trabajadores	Leves	1
2006	50	Zaragoza	3591	De 20 a 49 trabajadores	Leves	1
2005	22	Huesca	854	De 20 a 49 trabajadores	Leves	1
2005	44	Teruel	378	De 20 a 49 trabajadores	Leves	1
2005	50	Zaragoza	3400	De 20 a 49 trabajadores	Leves	1
2004	22	Huesca	715	De 20 a 49 trabajadores	Leves	1
2004	44	Teruel	341	De 20 a 49 trabajadores	Leves	1
2004	50	Zaragoza	3297	De 20 a 49 trabajadores	Leves	1
2003	22	Huesca	683	De 20 a 49 trabajadores	Leves	1
2003	44	Teruel	413	De 20 a 49 trabajadores	Leves	1
2003	50	Zaragoza	3252	De 20 a 49 trabajadores	Leves	1
2019	22	Huesca	6	De 20 a 49 trabajadores	Graves o muy graves	2
2019	44	Teruel	3	De 20 a 49 trabajadores	Graves o muy graves	2
2019	50	Zaragoza	9	De 20 a 49 trabajadores	Graves o muy graves	2
2018	22	Huesca	5	De 20 a 49 trabajadores	Graves o muy graves	2
2018	44	Teruel	2	De 20 a 49 trabajadores	Graves o muy graves	2
2018	50	Zaragoza	14	De 20 a 49 trabajadores	Graves o muy graves	2
2017	22	Huesca	4	De 20 a 49 trabajadores	Graves o muy graves	2
2017	44	Teruel	2	De 20 a 49 trabajadores	Graves o muy graves	2
2017	50	Zaragoza	12	De 20 a 49 trabajadores	Graves o muy graves	2
2016	22	Huesca	1	De 20 a 49 trabajadores	Graves o muy graves	2
2016	44	Teruel	1	De 20 a 49 trabajadores	Graves o muy graves	2
2016	50	Zaragoza	9	De 20 a 49 trabajadores	Graves o muy graves	2
2015	22	Huesca	2	De 20 a 49 trabajadores	Graves o muy graves	2
2015	44	Teruel	2	De 20 a 49 trabajadores	Graves o muy graves	2
2015	50	Zaragoza	10	De 20 a 49 trabajadores	Graves o muy graves	2
2014	22	Huesca	4	De 20 a 49 trabajadores	Graves o muy graves	2
2014	44	Teruel	2	De 20 a 49 trabajadores	Graves o muy graves	2
2014	50	Zaragoza	4	De 20 a 49 trabajadores	Graves o muy graves	2
2013	22	Huesca	1	De 20 a 49 trabajadores	Graves o muy graves	2
2013	44	Teruel	3	De 20 a 49 trabajadores	Graves o muy graves	2
2013	50	Zaragoza	6	De 20 a 49 trabajadores	Graves o muy graves	2
2012	22	Huesca	3	De 20 a 49 trabajadores	Graves o muy graves	2
2012	44	Teruel	1	De 20 a 49 trabajadores	Graves o muy graves	2
2012	50	Zaragoza	6	De 20 a 49 trabajadores	Graves o muy graves	2
2011	22	Huesca	6	De 20 a 49 trabajadores	Graves o muy graves	2
2011	44	Teruel	3	De 20 a 49 trabajadores	Graves o muy graves	2
2011	50	Zaragoza	5	De 20 a 49 trabajadores	Graves o muy graves	2
2010	22	Huesca	9	De 20 a 49 trabajadores	Graves o muy graves	2
2010	44	Teruel	3	De 20 a 49 trabajadores	Graves o muy graves	2
2010	50	Zaragoza	11	De 20 a 49 trabajadores	Graves o muy graves	2
2009	22	Huesca	3	De 20 a 49 trabajadores	Graves o muy graves	2
2009	44	Teruel	1	De 20 a 49 trabajadores	Graves o muy graves	2
2009	50	Zaragoza	14	De 20 a 49 trabajadores	Graves o muy graves	2
2008	22	Huesca	3	De 20 a 49 trabajadores	Graves o muy graves	2
2008	44	Teruel	3	De 20 a 49 trabajadores	Graves o muy graves	2
2008	50	Zaragoza	22	De 20 a 49 trabajadores	Graves o muy graves	2
2007	22	Huesca	5	De 20 a 49 trabajadores	Graves o muy graves	2
2007	44	Teruel	3	De 20 a 49 trabajadores	Graves o muy graves	2
2007	50	Zaragoza	26	De 20 a 49 trabajadores	Graves o muy graves	2
2006	22	Huesca	11	De 20 a 49 trabajadores	Graves o muy graves	2
2006	44	Teruel	6	De 20 a 49 trabajadores	Graves o muy graves	2
2006	50	Zaragoza	19	De 20 a 49 trabajadores	Graves o muy graves	2
2005	22	Huesca	20	De 20 a 49 trabajadores	Graves o muy graves	2
2005	44	Teruel	5	De 20 a 49 trabajadores	Graves o muy graves	2
2005	50	Zaragoza	15	De 20 a 49 trabajadores	Graves o muy graves	2
2004	22	Huesca	13	De 20 a 49 trabajadores	Graves o muy graves	2
2004	44	Teruel	11	De 20 a 49 trabajadores	Graves o muy graves	2
2004	50	Zaragoza	24	De 20 a 49 trabajadores	Graves o muy graves	2
2003	22	Huesca	9	De 20 a 49 trabajadores	Graves o muy graves	2
2003	44	Teruel	9	De 20 a 49 trabajadores	Graves o muy graves	2
2003	50	Zaragoza	23	De 20 a 49 trabajadores	Graves o muy graves	2
2019	44	Teruel	1	De 20 a 49 trabajadores	Mortales	3
2019	50	Zaragoza	3	De 20 a 49 trabajadores	Mortales	3
2018	22	Huesca	4	De 20 a 49 trabajadores	Mortales	3
2018	50	Zaragoza	2	De 20 a 49 trabajadores	Mortales	3
2017	22	Huesca	2	De 20 a 49 trabajadores	Mortales	3
2017	44	Teruel	2	De 20 a 49 trabajadores	Mortales	3
2017	50	Zaragoza	5	De 20 a 49 trabajadores	Mortales	3
2016	22	Huesca	3	De 20 a 49 trabajadores	Mortales	3
2015	22	Huesca	1	De 20 a 49 trabajadores	Mortales	3
2015	50	Zaragoza	9	De 20 a 49 trabajadores	Mortales	3
2014	50	Zaragoza	3	De 20 a 49 trabajadores	Mortales	3
2013	50	Zaragoza	1	De 20 a 49 trabajadores	Mortales	3
2012	22	Huesca	1	De 20 a 49 trabajadores	Mortales	3
2012	44	Teruel	1	De 20 a 49 trabajadores	Mortales	3
2012	50	Zaragoza	1	De 20 a 49 trabajadores	Mortales	3
2011	44	Teruel	1	De 20 a 49 trabajadores	Mortales	3
2011	50	Zaragoza	2	De 20 a 49 trabajadores	Mortales	3
