Municipio código	Municipio nombre	Edad	Ocupación agraria	Sexo	Personas
22024	Alquézar	c) >=55 años	Jefe explotación agraria	Hombre	27
22024	Alquézar	c) >=55 años	Jefe explotación agraria	Mujer	9
22025	Altorricón	a) <35 años	Jefe explotación agraria	Hombre	17
22025	Altorricón	b) >=35 a <55 años	Jefe explotación agraria	Hombre	72
22025	Altorricón	b) >=35 a <55 años	Jefe explotación agraria	Mujer	7
22025	Altorricón	c) >=55 años	Jefe explotación agraria	Hombre	82
22025	Altorricón	c) >=55 años	Jefe explotación agraria	Mujer	2
22027	Angüés	a) <35 años	Jefe explotación agraria	Hombre	9
22027	Angüés	b) >=35 a <55 años	Jefe explotación agraria	Hombre	20
22027	Angüés	b) >=35 a <55 años	Jefe explotación agraria	Mujer	2
22027	Angüés	c) >=55 años	Jefe explotación agraria	Hombre	33
22027	Angüés	c) >=55 años	Jefe explotación agraria	Mujer	1
22028	Ansó	a) <35 años	Jefe explotación agraria	Hombre	1
22028	Ansó	b) >=35 a <55 años	Jefe explotación agraria	Hombre	9
22028	Ansó	b) >=35 a <55 años	Jefe explotación agraria	Mujer	2
22028	Ansó	c) >=55 años	Jefe explotación agraria	Hombre	13
22029	Antillón	a) <35 años	Jefe explotación agraria	Hombre	3
22029	Antillón	b) >=35 a <55 años	Jefe explotación agraria	Hombre	12
22029	Antillón	b) >=35 a <55 años	Jefe explotación agraria	Mujer	4
22029	Antillón	c) >=55 años	Jefe explotación agraria	Hombre	19
22029	Antillón	c) >=55 años	Jefe explotación agraria	Mujer	2
22032	Aragüés del Puerto	a) <35 años	Jefe explotación agraria	Hombre	1
22032	Aragüés del Puerto	b) >=35 a <55 años	Jefe explotación agraria	Hombre	2
22032	Aragüés del Puerto	c) >=55 años	Jefe explotación agraria	Hombre	6
22035	Arén	a) <35 años	Jefe explotación agraria	Hombre	13
22035	Arén	b) >=35 a <55 años	Jefe explotación agraria	Hombre	27
22035	Arén	b) >=35 a <55 años	Jefe explotación agraria	Mujer	3
22035	Arén	c) >=55 años	Jefe explotación agraria	Hombre	35
22035	Arén	c) >=55 años	Jefe explotación agraria	Mujer	7
22036	Argavieso	a) <35 años	Jefe explotación agraria	Hombre	5
22036	Argavieso	b) >=35 a <55 años	Jefe explotación agraria	Hombre	7
22036	Argavieso	c) >=55 años	Jefe explotación agraria	Hombre	14
22036	Argavieso	c) >=55 años	Jefe explotación agraria	Mujer	2
22037	Arguis	a) <35 años	Jefe explotación agraria	Hombre	2
22037	Arguis	b) >=35 a <55 años	Jefe explotación agraria	Hombre	3
22037	Arguis	c) >=55 años	Jefe explotación agraria	Hombre	9
22039	Ayerbe	a) <35 años	Jefe explotación agraria	Hombre	1
22039	Ayerbe	b) >=35 a <55 años	Jefe explotación agraria	Hombre	22
22039	Ayerbe	b) >=35 a <55 años	Jefe explotación agraria	Mujer	2
22039	Ayerbe	c) >=55 años	Jefe explotación agraria	Hombre	59
22039	Ayerbe	c) >=55 años	Jefe explotación agraria	Mujer	7
22040	Azanuy-Alins	a) <35 años	Jefe explotación agraria	Hombre	3
22040	Azanuy-Alins	b) >=35 a <55 años	Jefe explotación agraria	Hombre	12
22040	Azanuy-Alins	c) >=55 años	Jefe explotación agraria	Hombre	38
22040	Azanuy-Alins	c) >=55 años	Jefe explotación agraria	Mujer	9
22041	Azara	a) <35 años	Jefe explotación agraria	Hombre	4
22041	Azara	b) >=35 a <55 años	Jefe explotación agraria	Hombre	15
22041	Azara	b) >=35 a <55 años	Jefe explotación agraria	Mujer	4
22041	Azara	c) >=55 años	Jefe explotación agraria	Hombre	12
22041	Azara	c) >=55 años	Jefe explotación agraria	Mujer	4
22042	Azlor	a) <35 años	Jefe explotación agraria	Hombre	4
22042	Azlor	a) <35 años	Jefe explotación agraria	Mujer	1
22042	Azlor	b) >=35 a <55 años	Jefe explotación agraria	Hombre	13
22042	Azlor	b) >=35 a <55 años	Jefe explotación agraria	Mujer	2
22042	Azlor	c) >=55 años	Jefe explotación agraria	Hombre	16
22042	Azlor	c) >=55 años	Jefe explotación agraria	Mujer	4
22043	Baells	a) <35 años	Jefe explotación agraria	Hombre	2
22043	Baells	a) <35 años	Jefe explotación agraria	Mujer	1
22043	Baells	b) >=35 a <55 años	Jefe explotación agraria	Hombre	17
22043	Baells	c) >=55 años	Jefe explotación agraria	Hombre	21
22043	Baells	c) >=55 años	Jefe explotación agraria	Mujer	5
22044	Bailo	a) <35 años	Jefe explotación agraria	Hombre	6
22044	Bailo	b) >=35 a <55 años	Jefe explotación agraria	Hombre	22
22044	Bailo	b) >=35 a <55 años	Jefe explotación agraria	Mujer	2
22044	Bailo	c) >=55 años	Jefe explotación agraria	Hombre	40
22044	Bailo	c) >=55 años	Jefe explotación agraria	Mujer	1
22045	Baldellou	b) >=35 a <55 años	Jefe explotación agraria	Hombre	14
22045	Baldellou	b) >=35 a <55 años	Jefe explotación agraria	Mujer	1
22045	Baldellou	c) >=55 años	Jefe explotación agraria	Hombre	33
22045	Baldellou	c) >=55 años	Jefe explotación agraria	Mujer	3
22046	Ballobar	a) <35 años	Jefe explotación agraria	Hombre	3
22046	Ballobar	a) <35 años	Jefe explotación agraria	Mujer	3
22046	Ballobar	b) >=35 a <55 años	Jefe explotación agraria	Hombre	58
22046	Ballobar	b) >=35 a <55 años	Jefe explotación agraria	Mujer	14
22046	Ballobar	c) >=55 años	Jefe explotación agraria	Hombre	58
22046	Ballobar	c) >=55 años	Jefe explotación agraria	Mujer	11
22047	Banastás	b) >=35 a <55 años	Jefe explotación agraria	Hombre	2
22047	Banastás	c) >=55 años	Jefe explotación agraria	Hombre	3
22048	Barbastro	a) <35 años	Jefe explotación agraria	Hombre	12
22048	Barbastro	a) <35 años	Jefe explotación agraria	Mujer	7
22048	Barbastro	b) >=35 a <55 años	Jefe explotación agraria	Hombre	104
22048	Barbastro	b) >=35 a <55 años	Jefe explotación agraria	Mujer	17
22048	Barbastro	c) >=55 años	Jefe explotación agraria	Hombre	174
22048	Barbastro	c) >=55 años	Jefe explotación agraria	Mujer	60
22049	Barbués	a) <35 años	Jefe explotación agraria	Hombre	2
22049	Barbués	b) >=35 a <55 años	Jefe explotación agraria	Hombre	17
22049	Barbués	c) >=55 años	Jefe explotación agraria	Hombre	8
22049	Barbués	c) >=55 años	Jefe explotación agraria	Mujer	4
22050	Barbuñales	a) <35 años	Jefe explotación agraria	Hombre	2
22050	Barbuñales	b) >=35 a <55 años	Jefe explotación agraria	Hombre	8
22050	Barbuñales	c) >=55 años	Jefe explotación agraria	Hombre	15
22051	Bárcabo	a) <35 años	Jefe explotación agraria	Hombre	8
22051	Bárcabo	a) <35 años	Jefe explotación agraria	Mujer	1
22051	Bárcabo	b) >=35 a <55 años	Jefe explotación agraria	Hombre	34
22051	Bárcabo	b) >=35 a <55 años	Jefe explotación agraria	Mujer	5
22051	Bárcabo	c) >=55 años	Jefe explotación agraria	Hombre	17
22051	Bárcabo	c) >=55 años	Jefe explotación agraria	Mujer	3
22052	Belver de Cinca	a) <35 años	Jefe explotación agraria	Hombre	26
22052	Belver de Cinca	a) <35 años	Jefe explotación agraria	Mujer	1
22052	Belver de Cinca	b) >=35 a <55 años	Jefe explotación agraria	Hombre	92
22052	Belver de Cinca	b) >=35 a <55 años	Jefe explotación agraria	Mujer	7
22052	Belver de Cinca	c) >=55 años	Jefe explotación agraria	Hombre	98
22052	Belver de Cinca	c) >=55 años	Jefe explotación agraria	Mujer	7
22053	Benabarre	a) <35 años	Jefe explotación agraria	Hombre	13
22053	Benabarre	a) <35 años	Jefe explotación agraria	Mujer	3
22053	Benabarre	b) >=35 a <55 años	Jefe explotación agraria	Hombre	67
22053	Benabarre	b) >=35 a <55 años	Jefe explotación agraria	Mujer	4
22053	Benabarre	c) >=55 años	Jefe explotación agraria	Hombre	71
22053	Benabarre	c) >=55 años	Jefe explotación agraria	Mujer	6
22054	Benasque	a) <35 años	Jefe explotación agraria	Hombre	5
22054	Benasque	a) <35 años	Jefe explotación agraria	Mujer	1
22054	Benasque	b) >=35 a <55 años	Jefe explotación agraria	Hombre	17
22054	Benasque	c) >=55 años	Jefe explotación agraria	Hombre	15
22054	Benasque	c) >=55 años	Jefe explotación agraria	Mujer	2
22055	Berbegal	a) <35 años	Jefe explotación agraria	Hombre	5
22055	Berbegal	b) >=35 a <55 años	Jefe explotación agraria	Hombre	25
22055	Berbegal	b) >=35 a <55 años	Jefe explotación agraria	Mujer	8
22055	Berbegal	c) >=55 años	Jefe explotación agraria	Hombre	48
22055	Berbegal	c) >=55 años	Jefe explotación agraria	Mujer	3
22057	Bielsa	a) <35 años	Jefe explotación agraria	Hombre	1
22057	Bielsa	b) >=35 a <55 años	Jefe explotación agraria	Hombre	7
22057	Bielsa	c) >=55 años	Jefe explotación agraria	Hombre	14
22057	Bielsa	c) >=55 años	Jefe explotación agraria	Mujer	3
22058	Bierge	a) <35 años	Jefe explotación agraria	Hombre	11
22058	Bierge	b) >=35 a <55 años	Jefe explotación agraria	Hombre	46
22058	Bierge	b) >=35 a <55 años	Jefe explotación agraria	Mujer	11
22058	Bierge	c) >=55 años	Jefe explotación agraria	Hombre	32
22058	Bierge	c) >=55 años	Jefe explotación agraria	Mujer	11
22059	Biescas	a) <35 años	Jefe explotación agraria	Hombre	2
22059	Biescas	b) >=35 a <55 años	Jefe explotación agraria	Hombre	37
22059	Biescas	b) >=35 a <55 años	Jefe explotación agraria	Mujer	7
22059	Biescas	c) >=55 años	Jefe explotación agraria	Hombre	31
22059	Biescas	c) >=55 años	Jefe explotación agraria	Mujer	7
22060	Binaced	a) <35 años	Jefe explotación agraria	Hombre	32
22060	Binaced	b) >=35 a <55 años	Jefe explotación agraria	Hombre	105
22060	Binaced	b) >=35 a <55 años	Jefe explotación agraria	Mujer	13
22060	Binaced	c) >=55 años	Jefe explotación agraria	Hombre	106
22060	Binaced	c) >=55 años	Jefe explotación agraria	Mujer	16
22061	Binéfar	a) <35 años	Jefe explotación agraria	Hombre	2
22061	Binéfar	a) <35 años	Jefe explotación agraria	Mujer	2
22061	Binéfar	b) >=35 a <55 años	Jefe explotación agraria	Hombre	48
22061	Binéfar	b) >=35 a <55 años	Jefe explotación agraria	Mujer	4
22061	Binéfar	c) >=55 años	Jefe explotación agraria	Hombre	111
22061	Binéfar	c) >=55 años	Jefe explotación agraria	Mujer	14
22062	Bisaurri	a) <35 años	Jefe explotación agraria	Mujer	1
22062	Bisaurri	b) >=35 a <55 años	Jefe explotación agraria	Hombre	15
22062	Bisaurri	b) >=35 a <55 años	Jefe explotación agraria	Mujer	5
22062	Bisaurri	c) >=55 años	Jefe explotación agraria	Hombre	24
22062	Bisaurri	c) >=55 años	Jefe explotación agraria	Mujer	3
22063	Biscarrués	a) <35 años	Jefe explotación agraria	Hombre	3
22063	Biscarrués	b) >=35 a <55 años	Jefe explotación agraria	Hombre	19
22063	Biscarrués	b) >=35 a <55 años	Jefe explotación agraria	Mujer	1
22063	Biscarrués	c) >=55 años	Jefe explotación agraria	Hombre	24
22063	Biscarrués	c) >=55 años	Jefe explotación agraria	Mujer	3
22064	Blecua y Torres	a) <35 años	Jefe explotación agraria	Hombre	3
22064	Blecua y Torres	a) <35 años	Jefe explotación agraria	Mujer	1
22064	Blecua y Torres	b) >=35 a <55 años	Jefe explotación agraria	Hombre	20
22064	Blecua y Torres	b) >=35 a <55 años	Jefe explotación agraria	Mujer	1
22064	Blecua y Torres	c) >=55 años	Jefe explotación agraria	Hombre	18
22066	Boltaña	a) <35 años	Jefe explotación agraria	Hombre	4
22066	Boltaña	a) <35 años	Jefe explotación agraria	Mujer	2
22066	Boltaña	b) >=35 a <55 años	Jefe explotación agraria	Hombre	25
22066	Boltaña	b) >=35 a <55 años	Jefe explotación agraria	Mujer	4
22066	Boltaña	c) >=55 años	Jefe explotación agraria	Hombre	8
22066	Boltaña	c) >=55 años	Jefe explotación agraria	Mujer	3
22067	Bonansa	a) <35 años	Jefe explotación agraria	Hombre	2
22067	Bonansa	b) >=35 a <55 años	Jefe explotación agraria	Hombre	7
22067	Bonansa	c) >=55 años	Jefe explotación agraria	Hombre	2
22067	Bonansa	c) >=55 años	Jefe explotación agraria	Mujer	2
22068	Borau	a) <35 años	Jefe explotación agraria	Hombre	2
22068	Borau	b) >=35 a <55 años	Jefe explotación agraria	Hombre	3
22068	Borau	c) >=55 años	Jefe explotación agraria	Hombre	1
22069	Broto	a) <35 años	Jefe explotación agraria	Hombre	5
22069	Broto	b) >=35 a <55 años	Jefe explotación agraria	Hombre	25
22069	Broto	b) >=35 a <55 años	Jefe explotación agraria	Mujer	1
22069	Broto	c) >=55 años	Jefe explotación agraria	Hombre	16
22069	Broto	c) >=55 años	Jefe explotación agraria	Mujer	2
22072	Caldearenas	a) <35 años	Jefe explotación agraria	Hombre	4
22072	Caldearenas	b) >=35 a <55 años	Jefe explotación agraria	Hombre	28
22072	Caldearenas	b) >=35 a <55 años	Jefe explotación agraria	Mujer	7
22072	Caldearenas	c) >=55 años	Jefe explotación agraria	Hombre	22
22072	Caldearenas	c) >=55 años	Jefe explotación agraria	Mujer	3
22074	Campo	b) >=35 a <55 años	Jefe explotación agraria	Hombre	5
22074	Campo	b) >=35 a <55 años	Jefe explotación agraria	Mujer	2
22074	Campo	c) >=55 años	Jefe explotación agraria	Hombre	5
22074	Campo	c) >=55 años	Jefe explotación agraria	Mujer	1
22075	Camporrells	a) <35 años	Jefe explotación agraria	Hombre	5
22075	Camporrells	b) >=35 a <55 años	Jefe explotación agraria	Hombre	16
22075	Camporrells	b) >=35 a <55 años	Jefe explotación agraria	Mujer	2
22075	Camporrells	c) >=55 años	Jefe explotación agraria	Hombre	21
22075	Camporrells	c) >=55 años	Jefe explotación agraria	Mujer	4
22076	Canal de Berdún	a) <35 años	Jefe explotación agraria	Hombre	6
22076	Canal de Berdún	a) <35 años	Jefe explotación agraria	Mujer	1
22076	Canal de Berdún	b) >=35 a <55 años	Jefe explotación agraria	Hombre	41
22076	Canal de Berdún	b) >=35 a <55 años	Jefe explotación agraria	Mujer	6
22076	Canal de Berdún	c) >=55 años	Jefe explotación agraria	Hombre	43
22076	Canal de Berdún	c) >=55 años	Jefe explotación agraria	Mujer	5
22077	Candasnos	a) <35 años	Jefe explotación agraria	Hombre	7
22077	Candasnos	a) <35 años	Jefe explotación agraria	Mujer	1
22077	Candasnos	b) >=35 a <55 años	Jefe explotación agraria	Hombre	37
22077	Candasnos	b) >=35 a <55 años	Jefe explotación agraria	Mujer	7
22077	Candasnos	c) >=55 años	Jefe explotación agraria	Hombre	39
22077	Candasnos	c) >=55 años	Jefe explotación agraria	Mujer	11
22078	Canfranc	b) >=35 a <55 años	Jefe explotación agraria	Hombre	2
22078	Canfranc	c) >=55 años	Jefe explotación agraria	Hombre	1
22078	Canfranc	c) >=55 años	Jefe explotación agraria	Mujer	1
22079	Capdesaso	a) <35 años	Jefe explotación agraria	Hombre	1
22079	Capdesaso	b) >=35 a <55 años	Jefe explotación agraria	Hombre	8
22079	Capdesaso	b) >=35 a <55 años	Jefe explotación agraria	Mujer	2
22079	Capdesaso	c) >=55 años	Jefe explotación agraria	Hombre	10
22079	Capdesaso	c) >=55 años	Jefe explotación agraria	Mujer	2
22080	Capella	a) <35 años	Jefe explotación agraria	Hombre	3
22080	Capella	b) >=35 a <55 años	Jefe explotación agraria	Hombre	25
22080	Capella	b) >=35 a <55 años	Jefe explotación agraria	Mujer	3
22080	Capella	c) >=55 años	Jefe explotación agraria	Hombre	28
22080	Capella	c) >=55 años	Jefe explotación agraria	Mujer	6
22081	Casbas de Huesca	a) <35 años	Jefe explotación agraria	Hombre	2
22081	Casbas de Huesca	a) <35 años	Jefe explotación agraria	Mujer	2
22081	Casbas de Huesca	b) >=35 a <55 años	Jefe explotación agraria	Hombre	35
22081	Casbas de Huesca	b) >=35 a <55 años	Jefe explotación agraria	Mujer	7
22081	Casbas de Huesca	c) >=55 años	Jefe explotación agraria	Hombre	48
22081	Casbas de Huesca	c) >=55 años	Jefe explotación agraria	Mujer	5
22082	Castejón del Puente	a) <35 años	Jefe explotación agraria	Hombre	3
22082	Castejón del Puente	b) >=35 a <55 años	Jefe explotación agraria	Hombre	23
22082	Castejón del Puente	b) >=35 a <55 años	Jefe explotación agraria	Mujer	5
22082	Castejón del Puente	c) >=55 años	Jefe explotación agraria	Hombre	17
22082	Castejón del Puente	c) >=55 años	Jefe explotación agraria	Mujer	5
22083	Castejón de Monegros	a) <35 años	Jefe explotación agraria	Hombre	5
22083	Castejón de Monegros	a) <35 años	Jefe explotación agraria	Mujer	1
22083	Castejón de Monegros	b) >=35 a <55 años	Jefe explotación agraria	Hombre	51
22083	Castejón de Monegros	b) >=35 a <55 años	Jefe explotación agraria	Mujer	5
22083	Castejón de Monegros	c) >=55 años	Jefe explotación agraria	Hombre	54
22083	Castejón de Monegros	c) >=55 años	Jefe explotación agraria	Mujer	11
22084	Castejón de Sos	b) >=35 a <55 años	Jefe explotación agraria	Hombre	10
22084	Castejón de Sos	b) >=35 a <55 años	Jefe explotación agraria	Mujer	1
22084	Castejón de Sos	c) >=55 años	Jefe explotación agraria	Hombre	12
22084	Castejón de Sos	c) >=55 años	Jefe explotación agraria	Mujer	5
22085	Castelflorite	a) <35 años	Jefe explotación agraria	Hombre	5
22085	Castelflorite	a) <35 años	Jefe explotación agraria	Mujer	2
22085	Castelflorite	b) >=35 a <55 años	Jefe explotación agraria	Hombre	15
22085	Castelflorite	b) >=35 a <55 años	Jefe explotación agraria	Mujer	1
22085	Castelflorite	c) >=55 años	Jefe explotación agraria	Hombre	12
22085	Castelflorite	c) >=55 años	Jefe explotación agraria	Mujer	7
22086	Castiello de Jaca	b) >=35 a <55 años	Jefe explotación agraria	Hombre	7
22086	Castiello de Jaca	c) >=55 años	Jefe explotación agraria	Hombre	7
22086	Castiello de Jaca	c) >=55 años	Jefe explotación agraria	Mujer	1
22087	Castigaleu	a) <35 años	Jefe explotación agraria	Hombre	1
22087	Castigaleu	b) >=35 a <55 años	Jefe explotación agraria	Hombre	9
22087	Castigaleu	b) >=35 a <55 años	Jefe explotación agraria	Mujer	2
22087	Castigaleu	c) >=55 años	Jefe explotación agraria	Hombre	6
22087	Castigaleu	c) >=55 años	Jefe explotación agraria	Mujer	2
22088	Castillazuelo	a) <35 años	Jefe explotación agraria	Hombre	3
22088	Castillazuelo	b) >=35 a <55 años	Jefe explotación agraria	Hombre	12
22088	Castillazuelo	b) >=35 a <55 años	Jefe explotación agraria	Mujer	1
22088	Castillazuelo	c) >=55 años	Jefe explotación agraria	Hombre	28
22088	Castillazuelo	c) >=55 años	Jefe explotación agraria	Mujer	2
22089	Castillonroy	a) <35 años	Jefe explotación agraria	Hombre	2
22089	Castillonroy	b) >=35 a <55 años	Jefe explotación agraria	Hombre	34
22089	Castillonroy	b) >=35 a <55 años	Jefe explotación agraria	Mujer	4
22089	Castillonroy	c) >=55 años	Jefe explotación agraria	Hombre	31
22089	Castillonroy	c) >=55 años	Jefe explotación agraria	Mujer	6
22090	Colungo	a) <35 años	Jefe explotación agraria	Hombre	3
22090	Colungo	b) >=35 a <55 años	Jefe explotación agraria	Hombre	7
22090	Colungo	b) >=35 a <55 años	Jefe explotación agraria	Mujer	2
22090	Colungo	c) >=55 años	Jefe explotación agraria	Hombre	26
22090	Colungo	c) >=55 años	Jefe explotación agraria	Mujer	5
22094	Chalamera	b) >=35 a <55 años	Jefe explotación agraria	Hombre	16
22094	Chalamera	c) >=55 años	Jefe explotación agraria	Hombre	11
22094	Chalamera	c) >=55 años	Jefe explotación agraria	Mujer	1
22095	Chía	a) <35 años	Jefe explotación agraria	Hombre	2
22095	Chía	b) >=35 a <55 años	Jefe explotación agraria	Hombre	4
22095	Chía	c) >=55 años	Jefe explotación agraria	Hombre	5
22095	Chía	c) >=55 años	Jefe explotación agraria	Mujer	1
