Comarca código	Comarca nombre	Lugar trabajo o estudio	Personas residentes viviendas familiares	Situación preferente
07	Somontano de Barbastro	En este municipio	5828	Trabajadores
07	Somontano de Barbastro	En otro municipio	842	Estudiantes que no trabajan
07	Somontano de Barbastro	En otro municipio	2239	Trabajadores
07	Somontano de Barbastro	En otro país	13	Estudiantes que no trabajan
07	Somontano de Barbastro	En otro país	20	Trabajadores
08	Cinca Medio	En mi propio domicilio	35	Estudiantes que no trabajan
08	Cinca Medio	En mi propio domicilio	288	Trabajadores
08	Cinca Medio	En varios municipios (viajante, conductor,...)	551	Trabajadores
08	Cinca Medio	En este municipio	423	Estudiantes que no trabajan
08	Cinca Medio	En este municipio	5706	Trabajadores
08	Cinca Medio	En otro municipio	806	Estudiantes que no trabajan
08	Cinca Medio	En otro municipio	2302	Trabajadores
08	Cinca Medio	En otro país	7	Estudiantes que no trabajan
08	Cinca Medio	En otro país	23	Trabajadores
09	La Litera / La Llitera	En mi propio domicilio	25	Estudiantes que no trabajan
09	La Litera / La Llitera	En mi propio domicilio	353	Trabajadores
09	La Litera / La Llitera	En varios municipios (viajante, conductor,...)	508	Trabajadores
09	La Litera / La Llitera	En este municipio	210	Estudiantes que no trabajan
09	La Litera / La Llitera	En este municipio	4318	Trabajadores
09	La Litera / La Llitera	En otro municipio	758	Estudiantes que no trabajan
09	La Litera / La Llitera	En otro municipio	2256	Trabajadores
09	La Litera / La Llitera	En otro país	3	Estudiantes que no trabajan
09	La Litera / La Llitera	En otro país	28	Trabajadores
10	Los Monegros	En mi propio domicilio	23	Estudiantes que no trabajan
10	Los Monegros	En mi propio domicilio	264	Trabajadores
10	Los Monegros	En varios municipios (viajante, conductor,...)	2	Estudiantes que no trabajan
10	Los Monegros	En varios municipios (viajante, conductor,...)	433	Trabajadores
10	Los Monegros	En este municipio	199	Estudiantes que no trabajan
10	Los Monegros	En este municipio	4036	Trabajadores
10	Los Monegros	En otro municipio	1033	Estudiantes que no trabajan
10	Los Monegros	En otro municipio	3094	Trabajadores
10	Los Monegros	En otro país	10	Estudiantes que no trabajan
10	Los Monegros	En otro país	15	Trabajadores
11	Bajo Cinca / Baix Cinca	En mi propio domicilio	27	Estudiantes que no trabajan
11	Bajo Cinca / Baix Cinca	En mi propio domicilio	302	Trabajadores
11	Bajo Cinca / Baix Cinca	En varios municipios (viajante, conductor,...)	451	Trabajadores
11	Bajo Cinca / Baix Cinca	En este municipio	283	Estudiantes que no trabajan
11	Bajo Cinca / Baix Cinca	En este municipio	6522	Trabajadores
11	Bajo Cinca / Baix Cinca	En otro municipio	838	Estudiantes que no trabajan
11	Bajo Cinca / Baix Cinca	En otro municipio	1688	Trabajadores
11	Bajo Cinca / Baix Cinca	En otro país	10	Estudiantes que no trabajan
11	Bajo Cinca / Baix Cinca	En otro país	13	Trabajadores
12	Tarazona y el Moncayo	En mi propio domicilio	17	Estudiantes que no trabajan
12	Tarazona y el Moncayo	En mi propio domicilio	150	Trabajadores
12	Tarazona y el Moncayo	En varios municipios (viajante, conductor,...)	1	Estudiantes que no trabajan
12	Tarazona y el Moncayo	En varios municipios (viajante, conductor,...)	298	Trabajadores
12	Tarazona y el Moncayo	En este municipio	291	Estudiantes que no trabajan
12	Tarazona y el Moncayo	En este municipio	3510	Trabajadores
12	Tarazona y el Moncayo	En otro municipio	500	Estudiantes que no trabajan
12	Tarazona y el Moncayo	En otro municipio	1395	Trabajadores
12	Tarazona y el Moncayo	En otro país	4	Estudiantes que no trabajan
12	Tarazona y el Moncayo	En otro país	11	Trabajadores
13	Campo de Borja	En mi propio domicilio	19	Estudiantes que no trabajan
13	Campo de Borja	En mi propio domicilio	160	Trabajadores
13	Campo de Borja	En varios municipios (viajante, conductor,...)	403	Trabajadores
13	Campo de Borja	En este municipio	139	Estudiantes que no trabajan
13	Campo de Borja	En este municipio	2910	Trabajadores
13	Campo de Borja	En otro municipio	491	Estudiantes que no trabajan
13	Campo de Borja	En otro municipio	2082	Trabajadores
13	Campo de Borja	En otro país	4	Estudiantes que no trabajan
13	Campo de Borja	En otro país	4	Trabajadores
14	Aranda	En mi propio domicilio	17	Estudiantes que no trabajan
14	Aranda	En mi propio domicilio	148	Trabajadores
14	Aranda	En varios municipios (viajante, conductor,...)	3	Estudiantes que no trabajan
14	Aranda	En varios municipios (viajante, conductor,...)	153	Trabajadores
14	Aranda	En este municipio	83	Estudiantes que no trabajan
14	Aranda	En este municipio	1960	Trabajadores
14	Aranda	En otro municipio	222	Estudiantes que no trabajan
14	Aranda	En otro municipio	936	Trabajadores
14	Aranda	En otro país	1	Estudiantes que no trabajan
14	Aranda	En otro país	2	Trabajadores
15	Ribera Alta del Ebro	En mi propio domicilio	20	Estudiantes que no trabajan
15	Ribera Alta del Ebro	En mi propio domicilio	299	Trabajadores
15	Ribera Alta del Ebro	En varios municipios (viajante, conductor,...)	2	Estudiantes que no trabajan
15	Ribera Alta del Ebro	En varios municipios (viajante, conductor,...)	461	Trabajadores
15	Ribera Alta del Ebro	En este municipio	228	Estudiantes que no trabajan
15	Ribera Alta del Ebro	En este municipio	3919	Trabajadores
15	Ribera Alta del Ebro	En otro municipio	906	Estudiantes que no trabajan
15	Ribera Alta del Ebro	En otro municipio	4387	Trabajadores
15	Ribera Alta del Ebro	En otro país	6	Estudiantes que no trabajan
15	Ribera Alta del Ebro	En otro país	14	Trabajadores
16	Valdejalón	En mi propio domicilio	42	Estudiantes que no trabajan
16	Valdejalón	En mi propio domicilio	436	Trabajadores
16	Valdejalón	En varios municipios (viajante, conductor,...)	2	Estudiantes que no trabajan
16	Valdejalón	En varios municipios (viajante, conductor,...)	350	Trabajadores
16	Valdejalón	En este municipio	459	Estudiantes que no trabajan
16	Valdejalón	En este municipio	5168	Trabajadores
16	Valdejalón	En otro municipio	707	Estudiantes que no trabajan
16	Valdejalón	En otro municipio	3139	Trabajadores
16	Valdejalón	En otro país	9	Estudiantes que no trabajan
16	Valdejalón	En otro país	18	Trabajadores
17	D.C. Zaragoza	En mi propio domicilio	2532	Estudiantes que no trabajan
17	D.C. Zaragoza	En mi propio domicilio	5300	Trabajadores
17	D.C. Zaragoza	En varios municipios (viajante, conductor,...)	65	Estudiantes que no trabajan
17	D.C. Zaragoza	En varios municipios (viajante, conductor,...)	10193	Trabajadores
17	D.C. Zaragoza	En este municipio	41848	Estudiantes que no trabajan
17	D.C. Zaragoza	En este municipio	223244	Trabajadores
17	D.C. Zaragoza	En otro municipio	5529	Estudiantes que no trabajan
17	D.C. Zaragoza	En otro municipio	41451	Trabajadores
17	D.C. Zaragoza	En otro país	598	Estudiantes que no trabajan
17	D.C. Zaragoza	En otro país	770	Trabajadores
18	Ribera Baja del Ebro	En mi propio domicilio	14	Estudiantes que no trabajan
18	Ribera Baja del Ebro	En mi propio domicilio	142	Trabajadores
18	Ribera Baja del Ebro	En varios municipios (viajante, conductor,...)	1	Estudiantes que no trabajan
18	Ribera Baja del Ebro	En varios municipios (viajante, conductor,...)	181	Trabajadores
18	Ribera Baja del Ebro	En este municipio	157	Estudiantes que no trabajan
18	Ribera Baja del Ebro	En este municipio	2257	Trabajadores
18	Ribera Baja del Ebro	En otro municipio	430	Estudiantes que no trabajan
18	Ribera Baja del Ebro	En otro municipio	1096	Trabajadores
18	Ribera Baja del Ebro	En otro país	9	Estudiantes que no trabajan
18	Ribera Baja del Ebro	En otro país	11	Trabajadores
19	Bajo Aragón-Caspe / Baix Aragó-Casp	En mi propio domicilio	27	Estudiantes que no trabajan
19	Bajo Aragón-Caspe / Baix Aragó-Casp	En mi propio domicilio	313	Trabajadores
19	Bajo Aragón-Caspe / Baix Aragó-Casp	En varios municipios (viajante, conductor,...)	3	Estudiantes que no trabajan
19	Bajo Aragón-Caspe / Baix Aragó-Casp	En varios municipios (viajante, conductor,...)	238	Trabajadores
19	Bajo Aragón-Caspe / Baix Aragó-Casp	En este municipio	205	Estudiantes que no trabajan
19	Bajo Aragón-Caspe / Baix Aragó-Casp	En este municipio	3798	Trabajadores
19	Bajo Aragón-Caspe / Baix Aragó-Casp	En otro municipio	396	Estudiantes que no trabajan
19	Bajo Aragón-Caspe / Baix Aragó-Casp	En otro municipio	646	Trabajadores
19	Bajo Aragón-Caspe / Baix Aragó-Casp	En otro país	3	Estudiantes que no trabajan
19	Bajo Aragón-Caspe / Baix Aragó-Casp	En otro país	12	Trabajadores
20	Comunidad de Calatayud	En mi propio domicilio	68	Estudiantes que no trabajan
20	Comunidad de Calatayud	En mi propio domicilio	447	Trabajadores
20	Comunidad de Calatayud	En varios municipios (viajante, conductor,...)	1	Estudiantes que no trabajan
20	Comunidad de Calatayud	En varios municipios (viajante, conductor,...)	682	Trabajadores
20	Comunidad de Calatayud	En este municipio	741	Estudiantes que no trabajan
20	Comunidad de Calatayud	En este municipio	9462	Trabajadores
20	Comunidad de Calatayud	En otro municipio	1340	Estudiantes que no trabajan
20	Comunidad de Calatayud	En otro municipio	3896	Trabajadores
20	Comunidad de Calatayud	En otro país	9	Estudiantes que no trabajan
20	Comunidad de Calatayud	En otro país	23	Trabajadores
21	Campo de Cariñena	En mi propio domicilio	10	Estudiantes que no trabajan
21	Campo de Cariñena	En mi propio domicilio	135	Trabajadores
21	Campo de Cariñena	En varios municipios (viajante, conductor,...)	154	Trabajadores
21	Campo de Cariñena	En este municipio	107	Estudiantes que no trabajan
21	Campo de Cariñena	En este municipio	2383	Trabajadores
21	Campo de Cariñena	En otro municipio	347	Estudiantes que no trabajan
21	Campo de Cariñena	En otro municipio	1275	Trabajadores
21	Campo de Cariñena	En otro país	4	Estudiantes que no trabajan
21	Campo de Cariñena	En otro país	14	Trabajadores
22	Campo de Belchite	En mi propio domicilio	3	Estudiantes que no trabajan
22	Campo de Belchite	En mi propio domicilio	162	Trabajadores
22	Campo de Belchite	En varios municipios (viajante, conductor,...)	97	Trabajadores
22	Campo de Belchite	En este municipio	61	Estudiantes que no trabajan
22	Campo de Belchite	En este municipio	913	Trabajadores
22	Campo de Belchite	En otro municipio	168	Estudiantes que no trabajan
22	Campo de Belchite	En otro municipio	777	Trabajadores
22	Campo de Belchite	En otro país	2	Estudiantes que no trabajan
22	Campo de Belchite	En otro país	7	Trabajadores
23	Bajo Martín	En mi propio domicilio	2	Estudiantes que no trabajan
23	Bajo Martín	En mi propio domicilio	117	Trabajadores
23	Bajo Martín	En varios municipios (viajante, conductor,...)	143	Trabajadores
23	Bajo Martín	En este municipio	60	Estudiantes que no trabajan
23	Bajo Martín	En este municipio	1236	Trabajadores
23	Bajo Martín	En otro municipio	321	Estudiantes que no trabajan
23	Bajo Martín	En otro municipio	917	Trabajadores
23	Bajo Martín	En otro país	1	Estudiantes que no trabajan
23	Bajo Martín	En otro país	5	Trabajadores
24	Campo de Daroca	En mi propio domicilio	12	Estudiantes que no trabajan
24	Campo de Daroca	En mi propio domicilio	87	Trabajadores
24	Campo de Daroca	En varios municipios (viajante, conductor,...)	142	Trabajadores
24	Campo de Daroca	En este municipio	62	Estudiantes que no trabajan
24	Campo de Daroca	En este municipio	1327	Trabajadores
24	Campo de Daroca	En otro municipio	206	Estudiantes que no trabajan
24	Campo de Daroca	En otro municipio	715	Trabajadores
24	Campo de Daroca	En otro país	2	Estudiantes que no trabajan
24	Campo de Daroca	En otro país	6	Trabajadores
25	Jiloca	En mi propio domicilio	1	Estudiantes que no trabajan
25	Jiloca	En mi propio domicilio	147	Trabajadores
25	Jiloca	En varios municipios (viajante, conductor,...)	2	Estudiantes que no trabajan
25	Jiloca	En varios municipios (viajante, conductor,...)	367	Trabajadores
25	Jiloca	En este municipio	154	Estudiantes que no trabajan
25	Jiloca	En este municipio	2937	Trabajadores
25	Jiloca	En otro municipio	568	Estudiantes que no trabajan
25	Jiloca	En otro municipio	1320	Trabajadores
25	Jiloca	En otro país	9	Estudiantes que no trabajan
25	Jiloca	En otro país	9	Trabajadores
26	Cuencas Mineras	En mi propio domicilio	17	Estudiantes que no trabajan
26	Cuencas Mineras	En mi propio domicilio	141	Trabajadores
26	Cuencas Mineras	En varios municipios (viajante, conductor,...)	218	Trabajadores
26	Cuencas Mineras	En este municipio	184	Estudiantes que no trabajan
26	Cuencas Mineras	En este municipio	1613	Trabajadores
26	Cuencas Mineras	En otro municipio	389	Estudiantes que no trabajan
26	Cuencas Mineras	En otro municipio	1062	Trabajadores
26	Cuencas Mineras	En otro país	4	Estudiantes que no trabajan
26	Cuencas Mineras	En otro país	2	Trabajadores
27	Andorra-Sierra de Arcos	En mi propio domicilio	6	Estudiantes que no trabajan
27	Andorra-Sierra de Arcos	En mi propio domicilio	129	Trabajadores
27	Andorra-Sierra de Arcos	En varios municipios (viajante, conductor,...)	159	Trabajadores
27	Andorra-Sierra de Arcos	En este municipio	279	Estudiantes que no trabajan
27	Andorra-Sierra de Arcos	En este municipio	2229	Trabajadores
27	Andorra-Sierra de Arcos	En otro municipio	467	Estudiantes que no trabajan
27	Andorra-Sierra de Arcos	En otro municipio	774	Trabajadores
27	Andorra-Sierra de Arcos	En otro país	3	Estudiantes que no trabajan
27	Andorra-Sierra de Arcos	En otro país	6	Trabajadores
28	Bajo Aragón	En mi propio domicilio	39	Estudiantes que no trabajan
28	Bajo Aragón	En mi propio domicilio	361	Trabajadores
28	Bajo Aragón	En varios municipios (viajante, conductor,...)	1	Estudiantes que no trabajan
28	Bajo Aragón	En varios municipios (viajante, conductor,...)	765	Trabajadores
28	Bajo Aragón	En este municipio	480	Estudiantes que no trabajan
28	Bajo Aragón	En este municipio	7174	Trabajadores
28	Bajo Aragón	En otro municipio	1033	Estudiantes que no trabajan
28	Bajo Aragón	En otro municipio	2009	Trabajadores
28	Bajo Aragón	En otro país	12	Estudiantes que no trabajan
28	Bajo Aragón	En otro país	15	Trabajadores
29	Comunidad de Teruel	En mi propio domicilio	83	Estudiantes que no trabajan
29	Comunidad de Teruel	En mi propio domicilio	537	Trabajadores
29	Comunidad de Teruel	En varios municipios (viajante, conductor,...)	2	Estudiantes que no trabajan
29	Comunidad de Teruel	En varios municipios (viajante, conductor,...)	918	Trabajadores
29	Comunidad de Teruel	En este municipio	1754	Estudiantes que no trabajan
29	Comunidad de Teruel	En este municipio	13466	Trabajadores
29	Comunidad de Teruel	En otro municipio	1124	Estudiantes que no trabajan
29	Comunidad de Teruel	En otro municipio	2546	Trabajadores
29	Comunidad de Teruel	En otro país	13	Estudiantes que no trabajan
29	Comunidad de Teruel	En otro país	30	Trabajadores
30	Maestrazgo	En mi propio domicilio	4	Estudiantes que no trabajan
30	Maestrazgo	En mi propio domicilio	185	Trabajadores
30	Maestrazgo	En varios municipios (viajante, conductor,...)	73	Trabajadores
30	Maestrazgo	En este municipio	7	Estudiantes que no trabajan
30	Maestrazgo	En este municipio	770	Trabajadores
30	Maestrazgo	En otro municipio	136	Estudiantes que no trabajan
30	Maestrazgo	En otro municipio	339	Trabajadores
30	Maestrazgo	En otro país	1	Estudiantes que no trabajan
30	Maestrazgo	En otro país	1	Trabajadores
31	Sierra de Albarracín	En mi propio domicilio	3	Estudiantes que no trabajan
31	Sierra de Albarracín	En mi propio domicilio	73	Trabajadores
31	Sierra de Albarracín	En varios municipios (viajante, conductor,...)	127	Trabajadores
31	Sierra de Albarracín	En este municipio	19	Estudiantes que no trabajan
31	Sierra de Albarracín	En este municipio	1015	Trabajadores
31	Sierra de Albarracín	En otro municipio	173	Estudiantes que no trabajan
31	Sierra de Albarracín	En otro municipio	548	Trabajadores
31	Sierra de Albarracín	En otro país	1	Estudiantes que no trabajan
31	Sierra de Albarracín	En otro país	4	Trabajadores
32	Gúdar-Javalambre	En mi propio domicilio	3	Estudiantes que no trabajan
32	Gúdar-Javalambre	En mi propio domicilio	222	Trabajadores
32	Gúdar-Javalambre	En varios municipios (viajante, conductor,...)	1	Estudiantes que no trabajan
32	Gúdar-Javalambre	En varios municipios (viajante, conductor,...)	285	Trabajadores
32	Gúdar-Javalambre	En este municipio	18	Estudiantes que no trabajan
32	Gúdar-Javalambre	En este municipio	1751	Trabajadores
32	Gúdar-Javalambre	En otro municipio	279	Estudiantes que no trabajan
32	Gúdar-Javalambre	En otro municipio	711	Trabajadores
32	Gúdar-Javalambre	En otro país	1	Estudiantes que no trabajan
32	Gúdar-Javalambre	En otro país	1	Trabajadores
33	Matarraña / Matarranya	En mi propio domicilio	3	Estudiantes que no trabajan
33	Matarraña / Matarranya	En mi propio domicilio	168	Trabajadores
33	Matarraña / Matarranya	En varios municipios (viajante, conductor,...)	199	Trabajadores
33	Matarraña / Matarranya	En este municipio	45	Estudiantes que no trabajan
33	Matarraña / Matarranya	En este municipio	2141	Trabajadores
33	Matarraña / Matarranya	En otro municipio	367	Estudiantes que no trabajan
33	Matarraña / Matarranya	En otro municipio	657	Trabajadores
33	Matarraña / Matarranya	En otro país	5	Estudiantes que no trabajan
33	Matarraña / Matarranya	En otro país	2	Trabajadores
