Año	Código de la comarca	Comarca	Personas que son mano de obra familiar	Personas que son mano de obra familiar y titulares explotación	Personas que son mano de obra familiar y cónyuges	Personas que son mano de obra familiar distinta a las anteriores (otros)	Personas mano obra familiar son titulares <35 años	Personas mano obra familiar son titulares de 35 a 54 años	Personas mano obra familiar son titulares de 55 a 64 años	Personas mano obra familiar son titulares de más de 65 años	Personas mano obra familiar cónyuge <35 años	Personas mano obra familiar cónyuge de 35 a 54 años	Personas mano obra familiar cónyuge de 55 a 64 años	Personas mano obra familiar cónyuge de más de 65 años	Personas mano obra familiar otros (otra relación) con <35 años	Personas mano obra familiar otros de 35 a 54 años	Personas mano obra familiar otros de 55 a 64 años	Personas mano obra familiar otros de más de 65 años
1999	09	La Litera / La Llitera	3728	2481	564	683	221	889	586	785	39	292	128	105	299	145	68	171
1999	10	Los Monegros	5083	3769	465	849	497	1560	837	875	45	273	97	50	355	269	104	121
1999	11	Bajo Cinca / Baix Cinca	5301	2842	1099	1360	445	1201	647	549	124	623	230	122	692	276	165	227
1999	12	Tarazona y el Moncayo	2705	1861	326	518	102	570	491	698	5	139	98	84	224	169	40	85
1999	13	Campo de Borja	4938	2905	685	1348	241	1177	691	796	34	376	177	98	644	448	136	120
1999	14	Aranda	1998	1328	264	406	80	412	370	466	16	109	79	60	178	165	29	34
1999	15	Ribera Alta del Ebro	2992	2250	290	452	120	809	588	733	11	159	83	37	207	164	41	40
1999	16	Valdejalón	7868	4194	1170	2504	324	1531	1000	1339	59	644	313	154	1286	794	184	240
1999	17	Central	5262	4033	437	792	331	1337	1060	1305	12	215	124	86	278	306	89	119
1999	18	Ribera Baja del Ebro	1920	1427	237	256	166	502	345	414	11	108	63	55	90	95	39	32
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3514	2164	704	646	232	799	507	626	54	353	168	129	285	124	88	149
1999	20	Comunidad de Calatayud	9344	6073	1292	1979	517	1870	1518	2168	110	581	371	230	904	588	198	289
1999	21	Campo de Cariñena	4791	2994	639	1158	270	1163	699	862	52	347	141	99	567	377	97	117
1999	22	Campo de Belchite	2085	1462	271	352	108	466	379	509	19	112	89	51	153	143	32	24
1999	23	Bajo Martín	1969	1388	328	253	95	399	330	564	11	127	114	76	93	110	23	27
1999	24	Campo de Daroca	2375	1826	244	305	142	585	430	669	18	98	87	41	100	135	38	32
1999	25	Jiloca	3789	2663	763	363	224	876	671	892	45	301	249	168	157	103	54	49
1999	26	Cuencas Mineras	1184	801	217	166	75	252	208	266	17	80	59	61	71	65	14	16
1999	27	Andorra-Sierra de Arcos	2183	1277	486	420	60	370	298	549	19	217	144	106	147	203	32	38
1999	28	Bajo Aragón	5241	3148	1076	1017	247	1135	681	1085	66	546	247	217	433	284	93	207
1999	29	Comunidad de Teruel	3859	2731	649	479	235	972	734	790	16	293	213	127	205	154	64	56
1999	30	Maestrazgo	1248	850	233	165	83	331	222	214	17	99	63	54	48	61	21	35
1999	31	Sierra de Albarracín	739	480	160	99	40	201	136	103	8	76	50	26	44	30	7	18
1999	32	Gúdar-Javalambre	1588	1138	255	195	78	414	323	323	11	101	80	63	87	53	22	33
1999	33	Matarraña / Matarranya	3595	2303	701	591	204	998	522	579	48	423	148	82	235	156	78	122
