Mes y año	'Aragón'	Sector código	Sector descripcion	Sexo	Nº parados
Septiembre 2018	Aragón	2	Industria y energía	Mujeres	3505
Septiembre 2018	Aragón	3	Construcción	Hombres	3372
Septiembre 2018	Aragón	3	Construcción	Mujeres	587
Septiembre 2018	Aragón	4	Servicios	Hombres	13909
Septiembre 2018	Aragón	4	Servicios	Mujeres	28995
Septiembre 2018	Aragón		Sin empleo anterior	Hombres	1901
Septiembre 2018	Aragón		Sin empleo anterior	Mujeres	4138
Agosto 2018	Aragón	1	Agricultura, ganadería y pesca	Hombres	2139
Agosto 2018	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1055
Agosto 2018	Aragón	2	Industria y energía	Hombres	3816
Agosto 2018	Aragón	2	Industria y energía	Mujeres	3470
Agosto 2018	Aragón	3	Construcción	Hombres	3338
Agosto 2018	Aragón	3	Construcción	Mujeres	598
Agosto 2018	Aragón	4	Servicios	Hombres	13556
Agosto 2018	Aragón	4	Servicios	Mujeres	28651
Agosto 2018	Aragón		Sin empleo anterior	Hombres	1862
Agosto 2018	Aragón		Sin empleo anterior	Mujeres	3985
Julio 2018	Aragón	1	Agricultura, ganadería y pesca	Hombres	2023
Julio 2018	Aragón	1	Agricultura, ganadería y pesca	Mujeres	998
Julio 2018	Aragón	2	Industria y energía	Hombres	3595
Julio 2018	Aragón	2	Industria y energía	Mujeres	3406
Julio 2018	Aragón	3	Construcción	Hombres	3234
Julio 2018	Aragón	3	Construcción	Mujeres	594
Julio 2018	Aragón	4	Servicios	Hombres	12887
Julio 2018	Aragón	4	Servicios	Mujeres	28045
Julio 2018	Aragón		Sin empleo anterior	Hombres	1937
Julio 2018	Aragón		Sin empleo anterior	Mujeres	4087
Junio 2018	Aragón	1	Agricultura, ganadería y pesca	Hombres	1765
Junio 2018	Aragón	1	Agricultura, ganadería y pesca	Mujeres	924
Junio 2018	Aragón	2	Industria y energía	Hombres	3565
Junio 2018	Aragón	2	Industria y energía	Mujeres	3443
Junio 2018	Aragón	3	Construcción	Hombres	3360
Junio 2018	Aragón	3	Construcción	Mujeres	592
Junio 2018	Aragón	4	Servicios	Hombres	12932
Junio 2018	Aragón	4	Servicios	Mujeres	28364
Junio 2018	Aragón		Sin empleo anterior	Hombres	1976
Junio 2018	Aragón		Sin empleo anterior	Mujeres	4123
Mayo 2018	Aragón	1	Agricultura, ganadería y pesca	Hombres	2044
Mayo 2018	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1044
Mayo 2018	Aragón	2	Industria y energía	Hombres	3759
Mayo 2018	Aragón	2	Industria y energía	Mujeres	3606
Mayo 2018	Aragón	3	Construcción	Hombres	3558
Mayo 2018	Aragón	3	Construcción	Mujeres	620
Mayo 2018	Aragón	4	Servicios	Hombres	13934
Mayo 2018	Aragón	4	Servicios	Mujeres	29392
Mayo 2018	Aragón		Sin empleo anterior	Hombres	1971
Mayo 2018	Aragón		Sin empleo anterior	Mujeres	4278
Abril 2018	Aragón	1	Agricultura, ganadería y pesca	Hombres	2793
Abril 2018	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1303
Abril 2018	Aragón	2	Industria y energía	Hombres	4008
Abril 2018	Aragón	2	Industria y energía	Mujeres	3762
Abril 2018	Aragón	3	Construcción	Hombres	3894
Abril 2018	Aragón	3	Construcción	Mujeres	632
Abril 2018	Aragón	4	Servicios	Hombres	14711
Abril 2018	Aragón	4	Servicios	Mujeres	30572
Abril 2018	Aragón		Sin empleo anterior	Hombres	2050
Abril 2018	Aragón		Sin empleo anterior	Mujeres	4389
Marzo 2018	Aragón	1	Agricultura, ganadería y pesca	Hombres	3028
Marzo 2018	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1437
Marzo 2018	Aragón	2	Industria y energía	Hombres	4021
Marzo 2018	Aragón	2	Industria y energía	Mujeres	3794
Marzo 2018	Aragón	3	Construcción	Hombres	4140
Marzo 2018	Aragón	3	Construcción	Mujeres	645
Marzo 2018	Aragón	4	Servicios	Hombres	15130
Marzo 2018	Aragón	4	Servicios	Mujeres	31028
Marzo 2018	Aragón		Sin empleo anterior	Hombres	2065
Marzo 2018	Aragón		Sin empleo anterior	Mujeres	4419
Febrero 2018	Aragón	1	Agricultura, ganadería y pesca	Hombres	2922
Febrero 2018	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1434
Febrero 2018	Aragón	2	Industria y energía	Hombres	3987
Febrero 2018	Aragón	2	Industria y energía	Mujeres	3816
Febrero 2018	Aragón	3	Construcción	Hombres	4136
Febrero 2018	Aragón	3	Construcción	Mujeres	652
Febrero 2018	Aragón	4	Servicios	Hombres	15368
Febrero 2018	Aragón	4	Servicios	Mujeres	31622
Febrero 2018	Aragón		Sin empleo anterior	Hombres	2053
Febrero 2018	Aragón		Sin empleo anterior	Mujeres	4366
Enero 2018	Aragón	1	Agricultura, ganadería y pesca	Hombres	2972
Enero 2018	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1482
Enero 2018	Aragón	2	Industria y energía	Hombres	4108
Enero 2018	Aragón	2	Industria y energía	Mujeres	3905
Enero 2018	Aragón	3	Construcción	Hombres	4325
Enero 2018	Aragón	3	Construcción	Mujeres	684
Enero 2018	Aragón	4	Servicios	Hombres	15967
Enero 2018	Aragón	4	Servicios	Mujeres	32211
Enero 2018	Aragón		Sin empleo anterior	Hombres	2076
Enero 2018	Aragón		Sin empleo anterior	Mujeres	4351
Diciembre 2017	Aragón	1	Agricultura, ganadería y pesca	Hombres	3070
Diciembre 2017	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1532
Diciembre 2017	Aragón	2	Industria y energía	Hombres	4153
Diciembre 2017	Aragón	2	Industria y energía	Mujeres	3864
Diciembre 2017	Aragón	3	Construcción	Hombres	4329
Diciembre 2017	Aragón	3	Construcción	Mujeres	674
Diciembre 2017	Aragón	4	Servicios	Hombres	15849
Diciembre 2017	Aragón	4	Servicios	Mujeres	30921
Diciembre 2017	Aragón		Sin empleo anterior	Hombres	2016
Diciembre 2017	Aragón		Sin empleo anterior	Mujeres	4302
Noviembre 2017	Aragón	1	Agricultura, ganadería y pesca	Hombres	3169
Noviembre 2017	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1589
Noviembre 2017	Aragón	2	Industria y energía	Hombres	3908
Noviembre 2017	Aragón	2	Industria y energía	Mujeres	3778
Noviembre 2017	Aragón	3	Construcción	Hombres	4025
Noviembre 2017	Aragón	3	Construcción	Mujeres	689
Noviembre 2017	Aragón	4	Servicios	Hombres	15485
Noviembre 2017	Aragón	4	Servicios	Mujeres	31714
Noviembre 2017	Aragón		Sin empleo anterior	Hombres	2132
Noviembre 2017	Aragón		Sin empleo anterior	Mujeres	4502
Octubre 2017	Aragón	1	Agricultura, ganadería y pesca	Hombres	3464
Octubre 2017	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1498
Octubre 2017	Aragón	2	Industria y energía	Hombres	3931
Octubre 2017	Aragón	2	Industria y energía	Mujeres	3708
Octubre 2017	Aragón	3	Construcción	Hombres	4171
Octubre 2017	Aragón	3	Construcción	Mujeres	713
Octubre 2017	Aragón	4	Servicios	Hombres	15662
Octubre 2017	Aragón	4	Servicios	Mujeres	31734
Octubre 2017	Aragón		Sin empleo anterior	Hombres	2184
Octubre 2017	Aragón		Sin empleo anterior	Mujeres	4534
Septiembre 2017	Aragón	1	Agricultura, ganadería y pesca	Hombres	2897
Septiembre 2017	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1315
Septiembre 2017	Aragón	2	Industria y energía	Hombres	3888
Septiembre 2017	Aragón	2	Industria y energía	Mujeres	3657
Septiembre 2017	Aragón	3	Construcción	Hombres	4247
Septiembre 2017	Aragón	3	Construcción	Mujeres	735
Septiembre 2017	Aragón	4	Servicios	Hombres	14781
Septiembre 2017	Aragón	4	Servicios	Mujeres	30874
Septiembre 2017	Aragón		Sin empleo anterior	Hombres	2256
Septiembre 2017	Aragón		Sin empleo anterior	Mujeres	4588
Agosto 2017	Aragón	1	Agricultura, ganadería y pesca	Hombres	2586
Agosto 2017	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1207
Agosto 2017	Aragón	2	Industria y energía	Hombres	3904
Agosto 2017	Aragón	2	Industria y energía	Mujeres	3640
Agosto 2017	Aragón	3	Construcción	Hombres	4302
Agosto 2017	Aragón	3	Construcción	Mujeres	733
Agosto 2017	Aragón	4	Servicios	Hombres	14503
Agosto 2017	Aragón	4	Servicios	Mujeres	30448
Agosto 2017	Aragón		Sin empleo anterior	Hombres	2251
Agosto 2017	Aragón		Sin empleo anterior	Mujeres	4437
Julio 2017	Aragón	1	Agricultura, ganadería y pesca	Hombres	2730
Julio 2017	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1242
Julio 2017	Aragón	2	Industria y energía	Hombres	3834
Julio 2017	Aragón	2	Industria y energía	Mujeres	3657
Julio 2017	Aragón	3	Construcción	Hombres	4169
Julio 2017	Aragón	3	Construcción	Mujeres	729
Julio 2017	Aragón	4	Servicios	Hombres	14164
Julio 2017	Aragón	4	Servicios	Mujeres	29920
Julio 2017	Aragón		Sin empleo anterior	Hombres	2235
Julio 2017	Aragón		Sin empleo anterior	Mujeres	4531
Junio 2017	Aragón	1	Agricultura, ganadería y pesca	Hombres	2288
Junio 2017	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1064
Junio 2017	Aragón	2	Industria y energía	Hombres	3794
Junio 2017	Aragón	2	Industria y energía	Mujeres	3657
Junio 2017	Aragón	3	Construcción	Hombres	4221
Junio 2017	Aragón	3	Construcción	Mujeres	728
Junio 2017	Aragón	4	Servicios	Hombres	14152
Junio 2017	Aragón	4	Servicios	Mujeres	29884
Junio 2017	Aragón		Sin empleo anterior	Hombres	2181
Junio 2017	Aragón		Sin empleo anterior	Mujeres	4525
Mayo 2017	Aragón	1	Agricultura, ganadería y pesca	Hombres	2264
Mayo 2017	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1066
Mayo 2017	Aragón	2	Industria y energía	Hombres	3991
Mayo 2017	Aragón	2	Industria y energía	Mujeres	3715
Mayo 2017	Aragón	3	Construcción	Hombres	4513
Mayo 2017	Aragón	3	Construcción	Mujeres	734
Mayo 2017	Aragón	4	Servicios	Hombres	14852
Mayo 2017	Aragón	4	Servicios	Mujeres	30826
Mayo 2017	Aragón		Sin empleo anterior	Hombres	2164
Mayo 2017	Aragón		Sin empleo anterior	Mujeres	4637
Abril 2017	Aragón	1	Agricultura, ganadería y pesca	Hombres	3232
Abril 2017	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1351
Abril 2017	Aragón	2	Industria y energía	Hombres	4329
Abril 2017	Aragón	2	Industria y energía	Mujeres	3869
Abril 2017	Aragón	3	Construcción	Hombres	4979
Abril 2017	Aragón	3	Construcción	Mujeres	741
Abril 2017	Aragón	4	Servicios	Hombres	15957
Abril 2017	Aragón	4	Servicios	Mujeres	32134
Abril 2017	Aragón		Sin empleo anterior	Hombres	2230
Abril 2017	Aragón		Sin empleo anterior	Mujeres	4700
Marzo 2017	Aragón	1	Agricultura, ganadería y pesca	Hombres	3822
Marzo 2017	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1504
Marzo 2017	Aragón	2	Industria y energía	Hombres	4532
Marzo 2017	Aragón	2	Industria y energía	Mujeres	3989
Marzo 2017	Aragón	3	Construcción	Hombres	5244
Marzo 2017	Aragón	3	Construcción	Mujeres	753
Marzo 2017	Aragón	4	Servicios	Hombres	17034
Marzo 2017	Aragón	4	Servicios	Mujeres	33534
Marzo 2017	Aragón		Sin empleo anterior	Hombres	2339
Marzo 2017	Aragón		Sin empleo anterior	Mujeres	4782
Febrero 2017	Aragón	1	Agricultura, ganadería y pesca	Hombres	3614
Febrero 2017	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1517
Febrero 2017	Aragón	2	Industria y energía	Hombres	4591
Febrero 2017	Aragón	2	Industria y energía	Mujeres	4084
Febrero 2017	Aragón	3	Construcción	Hombres	5573
Febrero 2017	Aragón	3	Construcción	Mujeres	769
Febrero 2017	Aragón	4	Servicios	Hombres	17563
Febrero 2017	Aragón	4	Servicios	Mujeres	34359
Febrero 2017	Aragón		Sin empleo anterior	Hombres	2288
Febrero 2017	Aragón		Sin empleo anterior	Mujeres	4735
Enero 2017	Aragón	1	Agricultura, ganadería y pesca	Hombres	3668
Enero 2017	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1541
Enero 2017	Aragón	2	Industria y energía	Hombres	4934
Enero 2017	Aragón	2	Industria y energía	Mujeres	4242
Enero 2017	Aragón	3	Construcción	Hombres	5940
Enero 2017	Aragón	3	Construcción	Mujeres	820
Enero 2017	Aragón	4	Servicios	Hombres	18480
Enero 2017	Aragón	4	Servicios	Mujeres	35291
Enero 2017	Aragón		Sin empleo anterior	Hombres	2334
Enero 2017	Aragón		Sin empleo anterior	Mujeres	4661
Diciembre 2016	Aragón	1	Agricultura, ganadería y pesca	Hombres	3804
Diciembre 2016	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1618
Diciembre 2016	Aragón	2	Industria y energía	Hombres	5010
Diciembre 2016	Aragón	2	Industria y energía	Mujeres	4265
Diciembre 2016	Aragón	3	Construcción	Hombres	5867
