Municipio código	Municipio nombre	Personalidad jurídica	Explotaciones
22052	Belver de Cinca	Sociedad cooperativa	1
22052	Belver de Cinca	Sociedad mercantil	7
22053	Benabarre	Otras condiciones jurídicas	23
22053	Benabarre	Persona física	123
22053	Benabarre	Sociedad mercantil	18
22054	Benasque	Entidad pública	1
22054	Benasque	Otras condiciones jurídicas	6
22054	Benasque	Persona física	24
22054	Benasque	Sociedad cooperativa	1
22054	Benasque	Sociedad mercantil	8
22055	Berbegal	Otras condiciones jurídicas	3
22055	Berbegal	Persona física	81
22055	Berbegal	Sociedad cooperativa	1
22055	Berbegal	Sociedad mercantil	4
22057	Bielsa	Entidad pública	1
22057	Bielsa	Persona física	24
22058	Bierge	Entidad pública	1
22058	Bierge	Otras condiciones jurídicas	15
22058	Bierge	Persona física	85
22058	Bierge	Sociedad mercantil	10
22059	Biescas	Entidad pública	7
22059	Biescas	Otras condiciones jurídicas	3
22059	Biescas	Persona física	74
22060	Binaced	Entidad pública	1
22060	Binaced	Otras condiciones jurídicas	21
22060	Binaced	Persona física	229
22060	Binaced	Sociedad cooperativa	1
22060	Binaced	Sociedad mercantil	20
22061	Binéfar	Otras condiciones jurídicas	7
22061	Binéfar	Persona física	156
22061	Binéfar	Sociedad cooperativa	1
22061	Binéfar	Sociedad mercantil	17
22062	Bisaurri	Entidad pública	5
22062	Bisaurri	Persona física	42
22062	Bisaurri	Sociedad cooperativa	1
22063	Biscarrués	Otras condiciones jurídicas	1
22063	Biscarrués	Persona física	49
22064	Blecua y Torres	Otras condiciones jurídicas	2
22064	Blecua y Torres	Persona física	38
22064	Blecua y Torres	Sociedad mercantil	3
22066	Boltaña	Entidad pública	2
22066	Boltaña	Otras condiciones jurídicas	4
22066	Boltaña	Persona física	38
22066	Boltaña	Sociedad mercantil	2
22067	Bonansa	Otras condiciones jurídicas	1
22067	Bonansa	Persona física	12
22068	Borau	Entidad pública	1
22068	Borau	Persona física	5
22069	Broto	Entidad pública	2
22069	Broto	Otras condiciones jurídicas	1
22069	Broto	Persona física	45
22069	Broto	Sociedad mercantil	1
22072	Caldearenas	Entidad pública	2
22072	Caldearenas	Otras condiciones jurídicas	5
22072	Caldearenas	Persona física	53
22072	Caldearenas	Sociedad mercantil	4
22074	Campo	Otras condiciones jurídicas	2
22074	Campo	Persona física	10
22074	Campo	Sociedad mercantil	1
22075	Camporrells	Entidad pública	1
22075	Camporrells	Otras condiciones jurídicas	6
22075	Camporrells	Persona física	41
22076	Canal de Berdún	Entidad pública	2
22076	Canal de Berdún	Otras condiciones jurídicas	2
22076	Canal de Berdún	Persona física	93
22076	Canal de Berdún	Sociedad cooperativa	1
22076	Canal de Berdún	Sociedad mercantil	4
22077	Candasnos	Otras condiciones jurídicas	4
22077	Candasnos	Persona física	95
22077	Candasnos	Sociedad mercantil	3
22078	Canfranc	Entidad pública	1
22078	Canfranc	Persona física	3
22079	Capdesaso	Otras condiciones jurídicas	3
22079	Capdesaso	Persona física	19
22079	Capdesaso	Sociedad mercantil	1
22080	Capella	Entidad pública	1
22080	Capella	Otras condiciones jurídicas	2
22080	Capella	Persona física	57
22080	Capella	Sociedad mercantil	5
22081	Casbas de Huesca	Otras condiciones jurídicas	5
22081	Casbas de Huesca	Persona física	91
22081	Casbas de Huesca	Sociedad cooperativa	1
22081	Casbas de Huesca	Sociedad mercantil	2
22082	Castejón del Puente	Entidad pública	3
22082	Castejón del Puente	Otras condiciones jurídicas	4
22082	Castejón del Puente	Persona física	44
22082	Castejón del Puente	Sociedad mercantil	2
22083	Castejón de Monegros	Entidad pública	1
22083	Castejón de Monegros	Otras condiciones jurídicas	9
22083	Castejón de Monegros	Persona física	113
22083	Castejón de Monegros	Sociedad mercantil	4
22084	Castejón de Sos	Entidad pública	2
22084	Castejón de Sos	Otras condiciones jurídicas	4
22084	Castejón de Sos	Persona física	21
22084	Castejón de Sos	Sociedad mercantil	1
22085	Castelflorite	Otras condiciones jurídicas	2
22085	Castelflorite	Persona física	38
22085	Castelflorite	Sociedad cooperativa	1
22085	Castelflorite	Sociedad mercantil	1
22086	Castiello de Jaca	Entidad pública	2
22086	Castiello de Jaca	Persona física	12
22086	Castiello de Jaca	Sociedad mercantil	1
22087	Castigaleu	Otras condiciones jurídicas	3
22087	Castigaleu	Persona física	16
22087	Castigaleu	Sociedad mercantil	1
22088	Castillazuelo	Persona física	45
22088	Castillazuelo	Sociedad mercantil	1
22089	Castillonroy	Entidad pública	1
22089	Castillonroy	Otras condiciones jurídicas	6
22089	Castillonroy	Persona física	66
22089	Castillonroy	Sociedad mercantil	4
22090	Colungo	Entidad pública	1
22090	Colungo	Otras condiciones jurídicas	1
22090	Colungo	Persona física	41
22094	Chalamera	Entidad pública	1
22094	Chalamera	Otras condiciones jurídicas	6
22094	Chalamera	Persona física	21
22095	Chía	Entidad pública	1
22095	Chía	Otras condiciones jurídicas	1
22095	Chía	Persona física	9
22095	Chía	Sociedad mercantil	1
22096	Chimillas	Otras condiciones jurídicas	1
22096	Chimillas	Persona física	11
22099	Esplús	Otras condiciones jurídicas	10
22099	Esplús	Persona física	88
22099	Esplús	Sociedad mercantil	19
22102	Estada	Entidad pública	1
22102	Estada	Persona física	26
22102	Estada	Sociedad mercantil	4
22103	Estadilla	Entidad pública	1
22103	Estadilla	Otras condiciones jurídicas	8
22103	Estadilla	Persona física	117
22103	Estadilla	Sociedad cooperativa	1
22103	Estadilla	Sociedad mercantil	4
22105	Estopiñán del Castillo	Entidad pública	1
22105	Estopiñán del Castillo	Otras condiciones jurídicas	2
22105	Estopiñán del Castillo	Persona física	73
22105	Estopiñán del Castillo	Sociedad mercantil	9
22106	Fago	Persona física	1
22107	Fanlo	Entidad pública	4
22107	Fanlo	Otras condiciones jurídicas	10
22107	Fanlo	Persona física	14
22107	Fanlo	Sociedad mercantil	3
22109	Fiscal	Entidad pública	2
22109	Fiscal	Otras condiciones jurídicas	1
22109	Fiscal	Persona física	32
22109	Fiscal	Sociedad mercantil	1
22110	Fonz	Entidad pública	2
22110	Fonz	Otras condiciones jurídicas	14
22110	Fonz	Persona física	156
22110	Fonz	Sociedad mercantil	8
22111	Foradada del Toscar	Entidad pública	1
22111	Foradada del Toscar	Otras condiciones jurídicas	8
22111	Foradada del Toscar	Persona física	53
22111	Foradada del Toscar	Sociedad cooperativa	1
22111	Foradada del Toscar	Sociedad mercantil	6
22112	Fraga	Entidad pública	2
22112	Fraga	Otras condiciones jurídicas	58
22112	Fraga	Persona física	706
22112	Fraga	Sociedad cooperativa	5
22112	Fraga	Sociedad mercantil	60
22113	Fueva (La)	Entidad pública	1
22113	Fueva (La)	Otras condiciones jurídicas	14
22113	Fueva (La)	Persona física	103
22113	Fueva (La)	Sociedad mercantil	10
22114	Gistaín	Entidad pública	1
22114	Gistaín	Persona física	33
22115	Grado (El)	Entidad pública	1
22115	Grado (El)	Otras condiciones jurídicas	2
22115	Grado (El)	Persona física	100
22115	Grado (El)	Sociedad mercantil	1
22116	Grañén	Entidad pública	1
22116	Grañén	Otras condiciones jurídicas	16
22116	Grañén	Persona física	170
22116	Grañén	Sociedad cooperativa	1
22116	Grañén	Sociedad mercantil	18
22117	Graus	Entidad pública	2
22117	Graus	Otras condiciones jurídicas	24
22117	Graus	Persona física	250
22117	Graus	Sociedad mercantil	7
22119	Gurrea de Gállego	Entidad pública	3
22119	Gurrea de Gállego	Otras condiciones jurídicas	15
22119	Gurrea de Gállego	Persona física	183
22119	Gurrea de Gállego	Sociedad cooperativa	3
22119	Gurrea de Gállego	Sociedad mercantil	7
22122	Hoz de Jaca	Entidad pública	1
22122	Hoz de Jaca	Persona física	4
22124	Huerto	Otras condiciones jurídicas	7
22124	Huerto	Persona física	77
22124	Huerto	Sociedad mercantil	3
22125	Huesca	Entidad pública	3
22125	Huesca	Otras condiciones jurídicas	22
22125	Huesca	Persona física	269
22125	Huesca	Sociedad mercantil	22
22126	Ibieca	Otras condiciones jurídicas	3
22126	Ibieca	Persona física	19
22126	Ibieca	Sociedad mercantil	1
22127	Igriés	Entidad pública	1
22127	Igriés	Persona física	28
22127	Igriés	Sociedad mercantil	2
22128	Ilche	Otras condiciones jurídicas	6
22128	Ilche	Persona física	78
22128	Ilche	Sociedad cooperativa	1
22128	Ilche	Sociedad mercantil	3
22129	Isábena	Entidad pública	1
22129	Isábena	Otras condiciones jurídicas	6
22129	Isábena	Persona física	43
22129	Isábena	Sociedad cooperativa	1
22129	Isábena	Sociedad mercantil	2
22130	Jaca	Entidad pública	2
22130	Jaca	Otras condiciones jurídicas	4
22130	Jaca	Persona física	196
22130	Jaca	Sociedad cooperativa	1
22130	Jaca	Sociedad mercantil	3
22131	Jasa	Persona física	6
22133	Labuerda	Persona física	9
22135	Laluenga	Otras condiciones jurídicas	2
22135	Laluenga	Persona física	56
22136	Lalueza	Otras condiciones jurídicas	8
22136	Lalueza	Persona física	181
22136	Lalueza	Sociedad mercantil	7
22137	Lanaja	Otras condiciones jurídicas	17
22137	Lanaja	Persona física	215
22137	Lanaja	Sociedad mercantil	2
22139	Laperdiguera	Otras condiciones jurídicas	1
22139	Laperdiguera	Persona física	20
22141	Lascellas-Ponzano	Otras condiciones jurídicas	4
22141	Lascellas-Ponzano	Persona física	40
22141	Lascellas-Ponzano	Sociedad mercantil	4
22142	Lascuarre	Entidad pública	1
22142	Lascuarre	Otras condiciones jurídicas	1
22142	Lascuarre	Persona física	26
22142	Lascuarre	Sociedad mercantil	1
22143	Laspaúles	Entidad pública	2
22143	Laspaúles	Otras condiciones jurídicas	1
22143	Laspaúles	Persona física	35
22144	Laspuña	Entidad pública	1
22144	Laspuña	Persona física	31
22149	Loarre	Entidad pública	1
22149	Loarre	Otras condiciones jurídicas	2
22149	Loarre	Persona física	77
22149	Loarre	Sociedad cooperativa	1
22150	Loporzano	Entidad pública	1
22150	Loporzano	Otras condiciones jurídicas	1
22150	Loporzano	Persona física	108
22150	Loporzano	Sociedad mercantil	6
22151	Loscorrales	Persona física	37
22155	Monesma y Cajigar	Entidad pública	2
22155	Monesma y Cajigar	Otras condiciones jurídicas	4
22155	Monesma y Cajigar	Persona física	25
22155	Monesma y Cajigar	Sociedad mercantil	1
22156	Monflorite-Lascasas	Entidad pública	1
22156	Monflorite-Lascasas	Otras condiciones jurídicas	4
22156	Monflorite-Lascasas	Persona física	38
22156	Monflorite-Lascasas	Sociedad mercantil	2
22157	Montanuy	Entidad pública	2
22157	Montanuy	Otras condiciones jurídicas	8
22157	Montanuy	Persona física	73
22157	Montanuy	Sociedad mercantil	15
22158	Monzón	Entidad pública	2
22158	Monzón	Otras condiciones jurídicas	33
22158	Monzón	Persona física	411
22158	Monzón	Sociedad cooperativa	1
22158	Monzón	Sociedad mercantil	30
22160	Naval	Entidad pública	1
22160	Naval	Otras condiciones jurídicas	4
22160	Naval	Persona física	32
22160	Naval	Sociedad cooperativa	1
22162	Novales	Entidad pública	1
22162	Novales	Persona física	23
22163	Nueno	Entidad pública	1
22163	Nueno	Otras condiciones jurídicas	9
22163	Nueno	Persona física	55
22163	Nueno	Sociedad mercantil	3
22164	Olvena	Entidad pública	1
22164	Olvena	Persona física	22
22165	Ontiñena	Entidad pública	1
22165	Ontiñena	Otras condiciones jurídicas	11
22165	Ontiñena	Persona física	122
22165	Ontiñena	Sociedad cooperativa	1
22165	Ontiñena	Sociedad mercantil	3
22167	Osso de Cinca	Entidad pública	1
22167	Osso de Cinca	Otras condiciones jurídicas	13
22167	Osso de Cinca	Persona física	103
22167	Osso de Cinca	Sociedad mercantil	7
22168	Palo	Persona física	11
22168	Palo	Sociedad mercantil	1
22170	Panticosa	Entidad pública	2
22170	Panticosa	Persona física	17
22172	Peñalba	Otras condiciones jurídicas	9
22172	Peñalba	Persona física	118
22172	Peñalba	Sociedad cooperativa	2
22172	Peñalba	Sociedad mercantil	8
22173	Peñas de Riglos (Las)	Entidad pública	1
22173	Peñas de Riglos (Las)	Otras condiciones jurídicas	4
22173	Peñas de Riglos (Las)	Persona física	45
22174	Peralta de Alcofea	Otras condiciones jurídicas	9
22174	Peralta de Alcofea	Persona física	128
22174	Peralta de Alcofea	Sociedad cooperativa	1
22174	Peralta de Alcofea	Sociedad mercantil	3
22175	Peralta de Calasanz	Entidad pública	1
22175	Peralta de Calasanz	Otras condiciones jurídicas	6
22175	Peralta de Calasanz	Persona física	97
22175	Peralta de Calasanz	Sociedad mercantil	2
22176	Peraltilla	Otras condiciones jurídicas	1
22176	Peraltilla	Persona física	36
22177	Perarrúa	Otras condiciones jurídicas	3
22177	Perarrúa	Persona física	18
22177	Perarrúa	Sociedad mercantil	4
22178	Pertusa	Otras condiciones jurídicas	3
22178	Pertusa	Persona física	28
22178	Pertusa	Sociedad mercantil	2
22181	Piracés	Otras condiciones jurídicas	1
22181	Piracés	Persona física	21
22181	Piracés	Sociedad mercantil	3
22182	Plan	Entidad pública	2
22182	Plan	Otras condiciones jurídicas	2
22182	Plan	Persona física	36
22184	Poleñino	Otras condiciones jurídicas	5
22184	Poleñino	Persona física	49
22184	Poleñino	Sociedad mercantil	1
22186	Pozán de Vero	Entidad pública	1
22186	Pozán de Vero	Otras condiciones jurídicas	1
22186	Pozán de Vero	Persona física	57
22186	Pozán de Vero	Sociedad mercantil	1
22187	Puebla de Castro (La)	Entidad pública	1
22187	Puebla de Castro (La)	Otras condiciones jurídicas	1
22187	Puebla de Castro (La)	Persona física	38
22188	Puente de Montañana	Entidad pública	1
22188	Puente de Montañana	Persona física	8
22188	Puente de Montañana	Sociedad mercantil	1
22189	Puértolas	Entidad pública	1
22189	Puértolas	Otras condiciones jurídicas	2
22189	Puértolas	Persona física	22
22190	Pueyo de Araguás (El)	Entidad pública	2
22190	Pueyo de Araguás (El)	Otras condiciones jurídicas	2
22190	Pueyo de Araguás (El)	Persona física	31
22190	Pueyo de Araguás (El)	Sociedad cooperativa	1
22193	Pueyo de Santa Cruz	Entidad pública	2
22193	Pueyo de Santa Cruz	Otras condiciones jurídicas	4
22193	Pueyo de Santa Cruz	Persona física	30
22195	Quicena	Otras condiciones jurídicas	3
22195	Quicena	Persona física	11
22195	Quicena	Sociedad mercantil	1
22197	Robres	Otras condiciones jurídicas	8
22197	Robres	Persona física	116
22197	Robres	Sociedad mercantil	7
22199	Sabiñánigo	Entidad pública	1
22199	Sabiñánigo	Otras condiciones jurídicas	17
22199	Sabiñánigo	Persona física	144
22199	Sabiñánigo	Sociedad cooperativa	3
22199	Sabiñánigo	Sociedad mercantil	5
22200	Sahún	Entidad pública	1
22200	Sahún	Otras condiciones jurídicas	2
22200	Sahún	Persona física	22
22201	Salas Altas	Otras condiciones jurídicas	1
22201	Salas Altas	Persona física	95
22201	Salas Altas	Sociedad mercantil	1
22202	Salas Bajas	Persona física	45
22203	Salillas	Otras condiciones jurídicas	3
22203	Salillas	Persona física	17
22203	Salillas	Sociedad mercantil	1
22204	Sallent de Gállego	Entidad pública	4
22204	Sallent de Gállego	Otras condiciones jurídicas	1
22204	Sallent de Gállego	Persona física	59
22205	San Esteban de Litera	Entidad pública	1
22205	San Esteban de Litera	Otras condiciones jurídicas	17
22205	San Esteban de Litera	Persona física	209
22205	San Esteban de Litera	Sociedad mercantil	13
22206	Sangarrén	Otras condiciones jurídicas	6
22206	Sangarrén	Persona física	37
22206	Sangarrén	Sociedad cooperativa	1
22206	Sangarrén	Sociedad mercantil	3
22207	San Juan de Plan	Entidad pública	1
22207	San Juan de Plan	Otras condiciones jurídicas	1
22207	San Juan de Plan	Persona física	22
22208	Santa Cilia	Entidad pública	2
22208	Santa Cilia	Persona física	28
22208	Santa Cilia	Sociedad cooperativa	1
22209	Santa Cruz de la Serós	Entidad pública	1
22209	Santa Cruz de la Serós	Persona física	21
22212	Santaliestra y San Quílez	Entidad pública	1
22212	Santaliestra y San Quílez	Otras condiciones jurídicas	3
22212	Santaliestra y San Quílez	Persona física	10
22213	Sariñena	Otras condiciones jurídicas	17
22213	Sariñena	Persona física	352
22213	Sariñena	Sociedad cooperativa	2
22213	Sariñena	Sociedad mercantil	12
22214	Secastilla	Otras condiciones jurídicas	1
22214	Secastilla	Persona física	23
22214	Secastilla	Sociedad cooperativa	1
22215	Seira	Entidad pública	4
22215	Seira	Otras condiciones jurídicas	3
22215	Seira	Persona física	16
22217	Sena	Entidad pública	2
22217	Sena	Otras condiciones jurídicas	6
22217	Sena	Persona física	120
22217	Sena	Sociedad cooperativa	1
22217	Sena	Sociedad mercantil	3
22218	Senés de Alcubierre	Persona física	17
22218	Senés de Alcubierre	Sociedad mercantil	4
22220	Sesa	Otras condiciones jurídicas	3
22220	Sesa	Persona física	30
22220	Sesa	Sociedad mercantil	1
22221	Sesué	Otras condiciones jurídicas	1
22221	Sesué	Persona física	8
22221	Sesué	Sociedad mercantil	2
22222	Siétamo	Entidad pública	1
22222	Siétamo	Persona física	58
22222	Siétamo	Sociedad mercantil	1
22223	Sopeira	Entidad pública	2
22223	Sopeira	Persona física	18
22223	Sopeira	Sociedad mercantil	2
22225	Tamarite de Litera	Entidad pública	1
22225	Tamarite de Litera	Otras condiciones jurídicas	56
22225	Tamarite de Litera	Persona física	389
22225	Tamarite de Litera	Sociedad mercantil	34
22226	Tardienta	Otras condiciones jurídicas	5
22226	Tardienta	Persona física	73
22227	Tella-Sin	Entidad pública	2
22227	Tella-Sin	Otras condiciones jurídicas	3
22227	Tella-Sin	Persona física	17
22228	Tierz	Otras condiciones jurídicas	1
22228	Tierz	Persona física	13
22228	Tierz	Sociedad mercantil	2
22229	Tolva	Entidad pública	1
22229	Tolva	Otras condiciones jurídicas	4
22229	Tolva	Persona física	51
22229	Tolva	Sociedad mercantil	4
22230	Torla	Entidad pública	3
22230	Torla	Otras condiciones jurídicas	1
22230	Torla	Persona física	30
22230	Torla	Sociedad mercantil	1
22232	Torralba de Aragón	Otras condiciones jurídicas	5
22232	Torralba de Aragón	Persona física	39
22232	Torralba de Aragón	Sociedad mercantil	2
22233	Torre la Ribera	Otras condiciones jurídicas	1
22233	Torre la Ribera	Persona física	22
22234	Torrente de Cinca	Entidad pública	1
22234	Torrente de Cinca	Otras condiciones jurídicas	6
22234	Torrente de Cinca	Persona física	79
22234	Torrente de Cinca	Sociedad cooperativa	2
22234	Torrente de Cinca	Sociedad mercantil	4
22235	Torres de Alcanadre	Otras condiciones jurídicas	2
22235	Torres de Alcanadre	Persona física	21
22236	Torres de Barbués	Otras condiciones jurídicas	6
22236	Torres de Barbués	Persona física	38
22236	Torres de Barbués	Sociedad cooperativa	1
22236	Torres de Barbués	Sociedad mercantil	1
22239	Tramaced	Otras condiciones jurídicas	7
22239	Tramaced	Persona física	20
22239	Tramaced	Sociedad mercantil	2
22242	Valfarta	Otras condiciones jurídicas	2
22242	Valfarta	Persona física	28
22243	Valle de Bardají	Otras condiciones jurídicas	4
22243	Valle de Bardají	Persona física	19
22243	Valle de Bardají	Sociedad mercantil	6
22244	Valle de Lierp	Entidad pública	1
22244	Valle de Lierp	Otras condiciones jurídicas	5
22244	Valle de Lierp	Persona física	25
22244	Valle de Lierp	Sociedad mercantil	3
22245	Velilla de Cinca	Entidad pública	1
22245	Velilla de Cinca	Persona física	49
22245	Velilla de Cinca	Sociedad mercantil	3
22246	Veracruz	Entidad pública	1
22246	Veracruz	Persona física	18
22246	Veracruz	Sociedad mercantil	1
22247	Viacamp y Litera	Entidad pública	1
22247	Viacamp y Litera	Otras condiciones jurídicas	5
22247	Viacamp y Litera	Persona física	29
22247	Viacamp y Litera	Sociedad mercantil	7
22248	Vicién	Entidad pública	1
22248	Vicién	Otras condiciones jurídicas	2
22248	Vicién	Persona física	7
22248	Vicién	Sociedad cooperativa	1
22249	Villanova	Entidad pública	1
22249	Villanova	Persona física	7
22250	Villanúa	Entidad pública	2
22250	Villanúa	Persona física	10
22250	Villanúa	Sociedad mercantil	1
22251	Villanueva de Sigena	Entidad pública	1
22251	Villanueva de Sigena	Otras condiciones jurídicas	5
22251	Villanueva de Sigena	Persona física	100
22251	Villanueva de Sigena	Sociedad cooperativa	1
22251	Villanueva de Sigena	Sociedad mercantil	15
22252	Yebra de Basa	Entidad pública	1
22252	Yebra de Basa	Otras condiciones jurídicas	2
22252	Yebra de Basa	Persona física	23
22253	Yésero	Entidad pública	1
22253	Yésero	Persona física	2
22254	Zaidín	Entidad pública	1
22254	Zaidín	Otras condiciones jurídicas	33
22254	Zaidín	Persona física	268
22254	Zaidín	Sociedad mercantil	22
22901	Valle de Hecho	Entidad pública	1
22901	Valle de Hecho	Otras condiciones jurídicas	1
22901	Valle de Hecho	Persona física	62
22902	Puente la Reina de Jaca	Entidad pública	2
22902	Puente la Reina de Jaca	Persona física	43
22902	Puente la Reina de Jaca	Sociedad cooperativa	1
22902	Puente la Reina de Jaca	Sociedad mercantil	1
22903	San Miguel del Cinca	Entidad pública	2
22903	San Miguel del Cinca	Otras condiciones jurídicas	32
22903	San Miguel del Cinca	Persona física	157
22903	San Miguel del Cinca	Sociedad cooperativa	1
22903	San Miguel del Cinca	Sociedad mercantil	9
22904	Sotonera (La)	Entidad pública	1
22904	Sotonera (La)	Otras condiciones jurídicas	3
22904	Sotonera (La)	Persona física	208
22904	Sotonera (La)	Sociedad cooperativa	1
22904	Sotonera (La)	Sociedad mercantil	9
22905	Lupiñén-Ortilla	Otras condiciones jurídicas	5
22905	Lupiñén-Ortilla	Persona física	59
22905	Lupiñén-Ortilla	Sociedad cooperativa	1
22905	Lupiñén-Ortilla	Sociedad mercantil	6
22906	Santa María de Dulcis	Persona física	59
22906	Santa María de Dulcis	Sociedad mercantil	1
22907	Aínsa-Sobrarbe	Entidad pública	1
22907	Aínsa-Sobrarbe	Otras condiciones jurídicas	6
22907	Aínsa-Sobrarbe	Persona física	124
22907	Aínsa-Sobrarbe	Sociedad mercantil	2
22908	Hoz y Costeán	Entidad pública	1
22908	Hoz y Costeán	Otras condiciones jurídicas	2
22908	Hoz y Costeán	Persona física	93
22908	Hoz y Costeán	Sociedad mercantil	2
22909	Vencillón	Otras condiciones jurídicas	9
22909	Vencillón	Persona física	60
22909	Vencillón	Sociedad mercantil	1
