Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre	Comarca Código
2018	9	87	Asistencia en establecimientos residenciales	13	Campo de Borja	13
2018	9	84	Administración Pública y defensa; Seguridad Social obligatoria	18	Ribera Baja del Ebro	18
2018	9	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	28	Bajo Aragón	28
2018	9	84	Administración Pública y defensa; Seguridad Social obligatoria	28	Bajo Aragón	28
2018	8	56	Servicios de comidas y bebidas	15	Ribera Alta del Ebro	15
2018	8	84	Administración Pública y defensa; Seguridad Social obligatoria	15	Ribera Alta del Ebro	15
2018	8	10	Industria de la alimentación	33	Matarraña / Matarranya	33
2018	7	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	01	La Jacetania	01
2018	7	56	Servicios de comidas y bebidas	01	La Jacetania	01
2018	7	56	Servicios de comidas y bebidas	02	Alto Gállego	02
2018	7	93	Actividades deportivas, recreativas y de entretenimiento	02	Alto Gállego	02
2018	7	55	Servicios de alojamiento	04	La Ribagorza	04
2018	7	56	Servicios de comidas y bebidas	05	Cinco Villas	05
2018	7	87	Asistencia en establecimientos residenciales	05	Cinco Villas	05
2018	7	56	Servicios de comidas y bebidas	28	Bajo Aragón	28
2018	7	84	Administración Pública y defensa; Seguridad Social obligatoria	33	Matarraña / Matarranya	33
2018	6	81	Servicios a edificios y actividades de jardinería	01	La Jacetania	01
2018	6	55	Servicios de alojamiento	03	Sobrarbe	03
2018	6	56	Servicios de comidas y bebidas	03	Sobrarbe	03
2018	6	29	Fabricación de vehículos de motor, remolques y semirremolques	05	Cinco Villas	05
2018	6	86	Actividades sanitarias	05	Cinco Villas	05
2018	6	87	Asistencia en establecimientos residenciales	10	Los Monegros	10
2018	6	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	11	Bajo Cinca / Baix Cinca	11
2018	6	84	Administración Pública y defensa; Seguridad Social obligatoria	11	Bajo Cinca / Baix Cinca	11
2018	6	56	Servicios de comidas y bebidas	18	Ribera Baja del Ebro	18
2018	6	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2018	6	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	21	Campo de Cariñena	21
2018	6	84	Administración Pública y defensa; Seguridad Social obligatoria	21	Campo de Cariñena	21
2018	6	23	Fabricación de otros productos minerales no metálicos	23	Bajo Martín	23
2018	6	87	Asistencia en establecimientos residenciales	24	Campo de Daroca	24
2018	6	56	Servicios de comidas y bebidas	25	Jiloca	25
2018	6	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	26	Cuencas Mineras	26
2018	6	88	Actividades de servicios sociales sin alojamiento	26	Cuencas Mineras	26
2018	6	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	NC	Municipio del centro de trabajo fuera de Aragón	
2018	5	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	02	Alto Gállego	02
2018	5	56	Servicios de comidas y bebidas	04	La Ribagorza	04
2018	5	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	07	Somontano de Barbastro	07
2018	5	55	Servicios de alojamiento	07	Somontano de Barbastro	07
2018	5	81	Servicios a edificios y actividades de jardinería	08	Cinca Medio	08
2018	5	10	Industria de la alimentación	09	La Litera / La Llitera	09
2018	5	25	Fabricación de productos metálicos, excepto maquinaria y equipo	09	La Litera / La Llitera	09
2018	5	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	10	Los Monegros	10
2018	5	84	Administración Pública y defensa; Seguridad Social obligatoria	10	Los Monegros	10
2018	5	29	Fabricación de vehículos de motor, remolques y semirremolques	12	Tarazona y el Moncayo	12
2018	5	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	13	Campo de Borja	13
2018	5	10	Industria de la alimentación	25	Jiloca	25
2018	5	87	Asistencia en establecimientos residenciales	25	Jiloca	25
2018	5	10	Industria de la alimentación	26	Cuencas Mineras	26
2018	5	56	Servicios de comidas y bebidas	27	Andorra-Sierra de Arcos	27
2018	5	87	Asistencia en establecimientos residenciales	27	Andorra-Sierra de Arcos	27
2018	5	10	Industria de la alimentación	28	Bajo Aragón	28
2018	5	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	28	Bajo Aragón	28
2018	4	56	Servicios de comidas y bebidas	09	La Litera / La Llitera	09
2018	4	84	Administración Pública y defensa; Seguridad Social obligatoria	09	La Litera / La Llitera	09
2018	4	10	Industria de la alimentación	10	Los Monegros	10
2018	4	56	Servicios de comidas y bebidas	10	Los Monegros	10
2018	4	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	12	Tarazona y el Moncayo	12
2018	4	84	Administración Pública y defensa; Seguridad Social obligatoria	12	Tarazona y el Moncayo	12
2018	4	15	Industria del cuero y del calzado	14	Aranda	14
2018	4	84	Administración Pública y defensa; Seguridad Social obligatoria	14	Aranda	14
2018	4	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	18	Ribera Baja del Ebro	18
2018	4	84	Administración Pública y defensa; Seguridad Social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2018	4	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	25	Jiloca	25
2018	4	84	Administración Pública y defensa; Seguridad Social obligatoria	25	Jiloca	25
2018	4	29	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras	26
2018	4	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	27	Andorra-Sierra de Arcos	27
2018	4	56	Servicios de comidas y bebidas	32	Gúdar-Javalambre	32
2018	3	92	Actividades de juegos de azar y apuestas	02	Alto Gállego	02
2018	3	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	04	La Ribagorza	04
2018	3	84	Administración Pública y defensa; Seguridad Social obligatoria	04	La Ribagorza	04
2018	3	87	Asistencia en establecimientos residenciales	04	La Ribagorza	04
2018	3	93	Actividades deportivas, recreativas y de entretenimiento	04	La Ribagorza	04
2018	3	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	08	Cinca Medio	08
2018	3	10	Industria de la alimentación	08	Cinca Medio	08
2018	3	20	Industria química	08	Cinca Medio	08
2018	3	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	08	Cinca Medio	08
2018	3	84	Administración Pública y defensa; Seguridad Social obligatoria	13	Campo de Borja	13
2018	3	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2018	3	10	Industria de la alimentación	21	Campo de Cariñena	21
2018	3	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	21	Campo de Cariñena	21
2018	3	87	Asistencia en establecimientos residenciales	21	Campo de Cariñena	21
2018	3	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	24	Campo de Daroca	24
2018	3	55	Servicios de alojamiento	31	Sierra de Albarracín	31
2018	3	81	Servicios a edificios y actividades de jardinería	32	Gúdar-Javalambre	32
2018	3	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	NC	Municipio del centro de trabajo fuera de Aragón	
2018	2	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	03	Sobrarbe	03
2018	2	88	Actividades de servicios sociales sin alojamiento	03	Sobrarbe	03
2018	2	22	Fabricación de productos de caucho y plásticos	12	Tarazona y el Moncayo	12
2018	2	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	12	Tarazona y el Moncayo	12
2018	2	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	18	Ribera Baja del Ebro	18
2018	2	10	Industria de la alimentación	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2018	2	56	Servicios de comidas y bebidas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2018	2	10	Industria de la alimentación	23	Bajo Martín	23
2018	2	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	23	Bajo Martín	23
2018	2	20	Industria química	26	Cuencas Mineras	26
2018	2	84	Administración Pública y defensa; Seguridad Social obligatoria	27	Andorra-Sierra de Arcos	27
2018	2	11	Fabricación de bebidas	31	Sierra de Albarracín	31
2018	2	56	Servicios de comidas y bebidas	31	Sierra de Albarracín	31
2018	2	87	Asistencia en establecimientos residenciales	31	Sierra de Albarracín	31
2018	2	43	Actividades de construcción especializada	32	Gúdar-Javalambre	32
2018	2	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	32	Gúdar-Javalambre	32
2018	2	55	Servicios de alojamiento	32	Gúdar-Javalambre	32
2018	2	84	Administración Pública y defensa; Seguridad Social obligatoria	32	Gúdar-Javalambre	32
2018	2	93	Actividades deportivas, recreativas y de entretenimiento	32	Gúdar-Javalambre	32
2018	2	81	Servicios a edificios y actividades de jardinería	33	Matarraña / Matarranya	33
2018	2	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	NC	Municipio del centro de trabajo fuera de Aragón	
2018	1	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	03	Sobrarbe	03
2018	1	86	Actividades sanitarias	03	Sobrarbe	03
2018	1	87	Asistencia en establecimientos residenciales	03	Sobrarbe	03
2018	1	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	14	Aranda	14
2018	1	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	22	Campo de Belchite	22
2018	1	56	Servicios de comidas y bebidas	22	Campo de Belchite	22
2018	1	77	Actividades de alquiler	22	Campo de Belchite	22
2018	1	84	Administración Pública y defensa; Seguridad Social obligatoria	22	Campo de Belchite	22
2018	1	49	Transporte terrestre y por tubería	23	Bajo Martín	23
2018	1	84	Administración Pública y defensa; Seguridad Social obligatoria	23	Bajo Martín	23
2018	1	02	Silvicultura y explotación forestal	24	Campo de Daroca	24
2018	1	81	Servicios a edificios y actividades de jardinería	24	Campo de Daroca	24
2018	1	84	Administración Pública y defensa; Seguridad Social obligatoria	24	Campo de Daroca	24
2018	1	88	Actividades de servicios sociales sin alojamiento	24	Campo de Daroca	24
2018	1	94	Actividades asociativas	24	Campo de Daroca	24
2018	1	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	27	Andorra-Sierra de Arcos	27
2018	1	81	Servicios a edificios y actividades de jardinería	27	Andorra-Sierra de Arcos	27
2018	1	96	Otros servicios personales	27	Andorra-Sierra de Arcos	27
2018	1	97	Actividades de los hogares como empleadores de personal doméstico	27	Andorra-Sierra de Arcos	27
2018	1	84	Administración Pública y defensa; Seguridad Social obligatoria	30	Maestrazgo	30
2018	1	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	31	Sierra de Albarracín	31
2018	1	84	Administración Pública y defensa; Seguridad Social obligatoria	31	Sierra de Albarracín	31
2018	1	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	31	Sierra de Albarracín	31
2018	1	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	33	Matarraña / Matarranya	33
2018	1	55	Servicios de alojamiento	33	Matarraña / Matarranya	33
2018	1	88	Actividades de servicios sociales sin alojamiento	33	Matarraña / Matarranya	33
2018	1	14	Confección de prendas de vestir	NC	Municipio del centro de trabajo fuera de Aragón	
2018	1	17	Industria del papel	NC	Municipio del centro de trabajo fuera de Aragón	
2018	1	23	Fabricación de otros productos minerales no metálicos	NC	Municipio del centro de trabajo fuera de Aragón	
2018	1	52	Almacenamiento y actividades anexas al transporte	NC	Municipio del centro de trabajo fuera de Aragón	
2018	1	62	Programación, consultoría y otras actividades relacionadas con la informática	NC	Municipio del centro de trabajo fuera de Aragón	
2018	1	80	Actividades de seguridad e investigación	NC	Municipio del centro de trabajo fuera de Aragón	
2017	379	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	17	D.C. Zaragoza	17
2017	347	86	Actividades sanitarias	17	D.C. Zaragoza	17
2017	304	56	Servicios de comidas y bebidas	17	D.C. Zaragoza	17
2017	295	87	Asistencia en establecimientos residenciales	17	D.C. Zaragoza	17
2017	143	84	Administración Pública y defensa; Seguridad Social obligatoria	17	D.C. Zaragoza	17
2017	51	52	Almacenamiento y actividades anexas al transporte	15	Ribera Alta del Ebro	15
2017	48	29	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
2017	36	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca	11
2017	36	87	Asistencia en establecimientos residenciales	29	Comunidad de Teruel	29
2017	34	86	Actividades sanitarias	06	Hoya de Huesca / Plana de Uesca	06
2017	33	87	Asistencia en establecimientos residenciales	06	Hoya de Huesca / Plana de Uesca	06
2017	29	56	Servicios de comidas y bebidas	06	Hoya de Huesca / Plana de Uesca	06
2017	27	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	11	Bajo Cinca / Baix Cinca	11
2017	26	10	Industria de la alimentación	05	Cinco Villas	05
2017	22	96	Otros servicios personales	16	Valdejalón	16
2017	20	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	16	Valdejalón	16
2017	19	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	06	Hoya de Huesca / Plana de Uesca	06
2017	18	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	16	Valdejalón	16
2017	16	84	Administración Pública y defensa; Seguridad Social obligatoria	06	Hoya de Huesca / Plana de Uesca	06
2017	14	86	Actividades sanitarias	28	Bajo Aragón	28
2017	14	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	29	Comunidad de Teruel	29
2017	13	10	Industria de la alimentación	11	Bajo Cinca / Baix Cinca	11
2017	13	56	Servicios de comidas y bebidas	15	Ribera Alta del Ebro	15
2017	13	84	Administración Pública y defensa; Seguridad Social obligatoria	16	Valdejalón	16
2017	13	87	Asistencia en establecimientos residenciales	16	Valdejalón	16
2017	13	86	Actividades sanitarias	20	Comunidad de Calatayud	20
2017	13	56	Servicios de comidas y bebidas	29	Comunidad de Teruel	29
2017	13	84	Administración Pública y defensa; Seguridad Social obligatoria	29	Comunidad de Teruel	29
2017	13	86	Actividades sanitarias	29	Comunidad de Teruel	29
2017	12	86	Actividades sanitarias	07	Somontano de Barbastro	07
2017	12	87	Asistencia en establecimientos residenciales	09	La Litera / La Llitera	09
2017	12	29	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja	13
2017	12	87	Asistencia en establecimientos residenciales	13	Campo de Borja	13
2017	12	10	Industria de la alimentación	18	Ribera Baja del Ebro	18
2017	12	56	Servicios de comidas y bebidas	28	Bajo Aragón	28
2017	11	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	05	Cinco Villas	05
2017	11	87	Asistencia en establecimientos residenciales	05	Cinco Villas	05
2017	11	10	Industria de la alimentación	09	La Litera / La Llitera	09
2017	10	55	Servicios de alojamiento	01	La Jacetania	01
2017	10	55	Servicios de alojamiento	04	La Ribagorza	04
2017	10	56	Servicios de comidas y bebidas	07	Somontano de Barbastro	07
2017	10	87	Asistencia en establecimientos residenciales	07	Somontano de Barbastro	07
2017	10	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2017	10	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2017	10	55	Servicios de alojamiento	20	Comunidad de Calatayud	20
2017	10	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	27	Andorra-Sierra de Arcos	27
2017	9	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	09	La Litera / La Llitera	09
2017	9	10	Industria de la alimentación	13	Campo de Borja	13
2017	9	84	Administración Pública y defensa; Seguridad Social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2017	9	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	28	Bajo Aragón	28
2017	9	87	Asistencia en establecimientos residenciales	31	Sierra de Albarracín	31
2017	8	84	Administración Pública y defensa; Seguridad Social obligatoria	01	La Jacetania	01
2017	8	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	05	Cinco Villas	05
2017	8	84	Administración Pública y defensa; Seguridad Social obligatoria	05	Cinco Villas	05
2017	8	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	07	Somontano de Barbastro	07
2017	8	56	Servicios de comidas y bebidas	08	Cinca Medio	08
2017	8	56	Servicios de comidas y bebidas	11	Bajo Cinca / Baix Cinca	11
2017	8	25	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro	15
2017	8	84	Administración Pública y defensa; Seguridad Social obligatoria	15	Ribera Alta del Ebro	15
2017	8	87	Asistencia en establecimientos residenciales	15	Ribera Alta del Ebro	15
2017	8	56	Servicios de comidas y bebidas	20	Comunidad de Calatayud	20
2017	7	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	01	La Jacetania	01
2017	7	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	02	Alto Gállego	02
2017	7	55	Servicios de alojamiento	02	Alto Gállego	02
2017	7	93	Actividades deportivas, recreativas y de entretenimiento	02	Alto Gállego	02
2017	7	88	Actividades de servicios sociales sin alojamiento	04	La Ribagorza	04
2017	7	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	08	Cinca Medio	08
2017	7	87	Asistencia en establecimientos residenciales	08	Cinca Medio	08
2017	7	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	09	La Litera / La Llitera	09
2017	7	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	20	Comunidad de Calatayud	20
2017	7	31	Fabricación de muebles	21	Campo de Cariñena	21
2017	7	29	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras	26
2017	7	84	Administración Pública y defensa; Seguridad Social obligatoria	27	Andorra-Sierra de Arcos	27
2017	6	56	Servicios de comidas y bebidas	01	La Jacetania	01
2017	6	56	Servicios de comidas y bebidas	02	Alto Gállego	02
2017	6	93	Actividades deportivas, recreativas y de entretenimiento	04	La Ribagorza	04
2017	6	84	Administración Pública y defensa; Seguridad Social obligatoria	08	Cinca Medio	08
2017	6	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	20	Comunidad de Calatayud	20
2017	6	84	Administración Pública y defensa; Seguridad Social obligatoria	20	Comunidad de Calatayud	20
2017	6	84	Administración Pública y defensa; Seguridad Social obligatoria	23	Bajo Martín	23
2017	6	84	Administración Pública y defensa; Seguridad Social obligatoria	28	Bajo Aragón	28
2017	6	10	Industria de la alimentación	33	Matarraña / Matarranya	33
2017	5	85	Educación	01	La Jacetania	01
2017	5	87	Asistencia en establecimientos residenciales	01	La Jacetania	01
2017	5	84	Administración Pública y defensa; Seguridad Social obligatoria	02	Alto Gállego	02
2017	5	55	Servicios de alojamiento	07	Somontano de Barbastro	07
2017	5	56	Servicios de comidas y bebidas	09	La Litera / La Llitera	09
2017	5	87	Asistencia en establecimientos residenciales	10	Los Monegros	10
2017	5	87	Asistencia en establecimientos residenciales	12	Tarazona y el Moncayo	12
2017	5	84	Administración Pública y defensa; Seguridad Social obligatoria	13	Campo de Borja	13
2017	5	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	21	Campo de Cariñena	21
2017	5	11	Fabricación de bebidas	21	Campo de Cariñena	21
2017	5	10	Industria de la alimentación	25	Jiloca	25
2017	5	10	Industria de la alimentación	26	Cuencas Mineras	26
2017	5	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	NC	Municipio del centro de trabajo fuera de Aragón	
2017	5	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	NC	Municipio del centro de trabajo fuera de Aragón	
2017	4	55	Servicios de alojamiento	03	Sobrarbe	03
2017	4	56	Servicios de comidas y bebidas	03	Sobrarbe	03
2017	4	56	Servicios de comidas y bebidas	04	La Ribagorza	04
2017	4	84	Administración Pública y defensa; Seguridad Social obligatoria	04	La Ribagorza	04
2017	4	87	Asistencia en establecimientos residenciales	04	La Ribagorza	04
2017	4	55	Servicios de alojamiento	08	Cinca Medio	08
2017	4	81	Servicios a edificios y actividades de jardinería	08	Cinca Medio	08
2017	4	10	Industria de la alimentación	10	Los Monegros	10
2017	4	88	Actividades de servicios sociales sin alojamiento	10	Los Monegros	10
2017	4	32	Otras industrias manufactureras	11	Bajo Cinca / Baix Cinca	11
2017	4	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	11	Bajo Cinca / Baix Cinca	11
2017	4	84	Administración Pública y defensa; Seguridad Social obligatoria	11	Bajo Cinca / Baix Cinca	11
2017	4	88	Actividades de servicios sociales sin alojamiento	11	Bajo Cinca / Baix Cinca	11
2017	4	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	12	Tarazona y el Moncayo	12
2017	4	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	18	Ribera Baja del Ebro	18
2017	4	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	18	Ribera Baja del Ebro	18
2017	4	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	21	Campo de Cariñena	21
2017	4	84	Administración Pública y defensa; Seguridad Social obligatoria	21	Campo de Cariñena	21
2017	4	87	Asistencia en establecimientos residenciales	24	Campo de Daroca	24
2017	4	22	Fabricación de productos de caucho y plásticos	25	Jiloca	25
2017	4	84	Administración Pública y defensa; Seguridad Social obligatoria	25	Jiloca	25
2017	4	87	Asistencia en establecimientos residenciales	27	Andorra-Sierra de Arcos	27
2017	4	55	Servicios de alojamiento	32	Gúdar-Javalambre	32
2017	4	56	Servicios de comidas y bebidas	32	Gúdar-Javalambre	32
2017	3	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	13	Campo de Borja	13
2017	3	10	Industria de la alimentación	14	Aranda	14
2017	3	56	Servicios de comidas y bebidas	18	Ribera Baja del Ebro	18
2017	3	84	Administración Pública y defensa; Seguridad Social obligatoria	18	Ribera Baja del Ebro	18
2017	3	10	Industria de la alimentación	24	Campo de Daroca	24
2017	3	56	Servicios de comidas y bebidas	24	Campo de Daroca	24
2017	3	84	Administración Pública y defensa; Seguridad Social obligatoria	24	Campo de Daroca	24
2017	3	56	Servicios de comidas y bebidas	25	Jiloca	25
2017	3	87	Asistencia en establecimientos residenciales	25	Jiloca	25
2017	3	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	26	Cuencas Mineras	26
2017	3	10	Industria de la alimentación	28	Bajo Aragón	28
2017	3	55	Servicios de alojamiento	28	Bajo Aragón	28
2017	3	87	Asistencia en establecimientos residenciales	33	Matarraña / Matarranya	33
2017	2	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	10	Los Monegros	10
2017	2	18	Artes gráficas y reproducción de soportes grabados	10	Los Monegros	10
2017	2	22	Fabricación de productos de caucho y plásticos	12	Tarazona y el Moncayo	12
2017	2	29	Fabricación de vehículos de motor, remolques y semirremolques	12	Tarazona y el Moncayo	12
2017	2	56	Servicios de comidas y bebidas	12	Tarazona y el Moncayo	12
2017	2	15	Industria del cuero y del calzado	14	Aranda	14
2017	2	84	Administración Pública y defensa; Seguridad Social obligatoria	14	Aranda	14
2017	2	94	Actividades asociativas	14	Aranda	14
2017	2	94	Actividades asociativas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2017	2	56	Servicios de comidas y bebidas	27	Andorra-Sierra de Arcos	27
2017	2	81	Servicios a edificios y actividades de jardinería	27	Andorra-Sierra de Arcos	27
2017	2	11	Fabricación de bebidas	31	Sierra de Albarracín	31
2017	2	10	Industria de la alimentación	32	Gúdar-Javalambre	32
