Provincia código	Provincia nombre	Año	Orden	Siglas	Concejales
22	Huesca	2015	80	AGRUPACION DE ELECTORES SAN JUAN DE PLAN	4
44	Teruel	2007	1	PSOE	404
44	Teruel	2007	2	PP	336
44	Teruel	2007	3	PAR	326
44	Teruel	2007	4	CHA	34
44	Teruel	2007	5	IU	26
44	Teruel	2007	8	PCUA	3
44	Teruel	2007	29	L'ENTESA	1
44	Teruel	2007	30	IPN	1
44	Teruel	2007	36	FIA	1
44	Teruel	2007	37	CDIG	1
44	Teruel	2007	38	FAMILIA Y V	0
44	Teruel	2011	1	PP	391
44	Teruel	2011	2	PSOE	395
44	Teruel	2011	3	PAR	308
44	Teruel	2011	4	CHA	26
44	Teruel	2011	5	IU	20
44	Teruel	2011	6	UPyD	0
44	Teruel	2011	7	COMPROMISO CON ARAGON	49
44	Teruel	2011	8	FIA	4
44	Teruel	2011	9	ECOLO	0
44	Teruel	2011	26	ESQUERRA-AM	1
44	Teruel	2011	38	DN	0
44	Teruel	2011	39	LVE	0
44	Teruel	2015	1	PP	336
44	Teruel	2015	2	PSOE	358
44	Teruel	2015	4	PAR	352
44	Teruel	2015	5	C's	18
44	Teruel	2015	7	CHA	32
44	Teruel	2015	10	EB	0
44	Teruel	2015	12	COMPROMISO CON ARAGON	32
44	Teruel	2015	16	G:IU-LV	33
44	Teruel	2015	28	FIA	0
44	Teruel	2015	49	Asamblea Abierta	1
44	Teruel	2015	58	G.B.A.	0
44	Teruel	2015	64	C.S.I.E	2
44	Teruel	2015	79	UxA	4
44	Teruel	2015	90	YA	0
44	Teruel	2015	93	PNP	1
50	Zaragoza	2007	1	PSOE	787
50	Zaragoza	2007	2	PP	436
50	Zaragoza	2007	3	PAR	416
50	Zaragoza	2007	4	CHA	110
50	Zaragoza	2007	5	IU	13
50	Zaragoza	2007	6	LV-FIA	1
50	Zaragoza	2007	7	CPC	5
50	Zaragoza	2007	8	PCUA	0
50	Zaragoza	2007	9	CDL	3
50	Zaragoza	2007	11	PACMA	0
50	Zaragoza	2007	12	CIPV	6
50	Zaragoza	2007	14	CC-IU	1
50	Zaragoza	2007	15	PUM+J	0
50	Zaragoza	2007	16	PFYV	0
50	Zaragoza	2007	17	PH	0
50	Zaragoza	2007	21	GIC	1
50	Zaragoza	2007	22	IA	3
50	Zaragoza	2007	23	CAVA	1
50	Zaragoza	2007	24	PSD	0
50	Zaragoza	2007	31	UCL	1
50	Zaragoza	2007	33	A AL	1
50	Zaragoza	2007	35	AIL	4
50	Zaragoza	2007	39	IND	0
50	Zaragoza	2007	40	PAVIP	0
50	Zaragoza	2011	1	PP	528
50	Zaragoza	2011	2	PSOE	744
50	Zaragoza	2011	3	PAR	424
50	Zaragoza	2011	4	CHA	102
50	Zaragoza	2011	5	IU	17
50	Zaragoza	2011	6	UPyD	1
50	Zaragoza	2011	7	COMPROMISO CON ARAGON	1
50	Zaragoza	2011	8	FIA	9
50	Zaragoza	2011	9	ECOLO	0
50	Zaragoza	2011	10	LV-GV	0
50	Zaragoza	2011	11	PACMA	0
50	Zaragoza	2011	12	CDL	3
50	Zaragoza	2011	13	CPC	3
50	Zaragoza	2011	14	PUM+J	0
50	Zaragoza	2011	15	TA	0
50	Zaragoza	2011	16	PCUA	0
50	Zaragoza	2011	17	AES	0
50	Zaragoza	2011	18	PCPE	0
50	Zaragoza	2011	19	PFYV	0
50	Zaragoza	2011	21	PH	0
50	Zaragoza	2011	22	L'VIA	1
50	Zaragoza	2011	23	ACC	0
50	Zaragoza	2011	25	AISOS	1
50	Zaragoza	2011	27	CAVA	0
50	Zaragoza	2011	29	ECOLO VERDES	1
50	Zaragoza	2011	30	PIRUM	0
50	Zaragoza	2011	31	INDEPENDIENTE CALCENA	2
50	Zaragoza	2011	32	UCL	1
50	Zaragoza	2011	34	UCE	0
50	Zaragoza	2011	35	A E I SABIÑAN	0
50	Zaragoza	2011	36	PYLN	1
50	Zaragoza	2015	1	PP	533
50	Zaragoza	2015	2	PSOE	733
50	Zaragoza	2015	3	ZGZ	18
50	Zaragoza	2015	4	PAR	338
50	Zaragoza	2015	5	C's	29
50	Zaragoza	2015	7	CHA	99
50	Zaragoza	2015	9	UPyD	0
50	Zaragoza	2015	10	EB	0
50	Zaragoza	2015	11	PACMA	0
50	Zaragoza	2015	12	COMPROMISO CON ARAGON	9
50	Zaragoza	2015	13	ARAGONSIPUEDE	9
50	Zaragoza	2015	14	LV-GV	0
50	Zaragoza	2015	15	CAMBIAR	1
50	Zaragoza	2015	17	IU-ZGZ	16
50	Zaragoza	2015	18	P.C.P.E.	0
50	Zaragoza	2015	22	M.S.R.	0
50	Zaragoza	2015	25	EPC-ZGZ	2
50	Zaragoza	2015	28	FIA	2
50	Zaragoza	2015	30	BAR	0
50	Zaragoza	2015	32	E.A.	0
50	Zaragoza	2015	37	SZ - ZGZ	2
50	Zaragoza	2015	38	POR MALLEN	4
50	Zaragoza	2015	40	SOMOS EPILA	2
50	Zaragoza	2015	41	CCA-ZGZ	2
50	Zaragoza	2015	43	FIA-PILL	1
50	Zaragoza	2015	46	UNIÓN UTEBO	0
50	Zaragoza	2015	52	CALATAYUD PLURAL - ZGZ	0
50	Zaragoza	2015	55	GLM-ZGZ	1
50	Zaragoza	2015	59	A.V.P.	1
50	Zaragoza	2015	61	GA-ZGZ	2
50	Zaragoza	2015	62	IP ATECA - ZGZ	1
50	Zaragoza	2015	66	I.P.H.	3
50	Zaragoza	2015	72	IU	0
50	Zaragoza	2015	77	AGRUPACION DE ELECTORES TODOS CERVERA	2
50	Zaragoza	2015	78	AE MURILLO DE GALLEGO	3
50	Zaragoza	2015	81	AE EL FRAGO	5
50	Zaragoza	2015	84	A.E.L.H.A.	0
50	Zaragoza	2015	87	UCIN	1
50	Zaragoza	2015	88	JUNTOS POR ALADRÉN	1
50	Zaragoza	2015	89	GANAR-ZRZ	1
50	Zaragoza	2015	92	COMIENZOS NUEVOS	0
