Año	Inscripción provincia nombre	Inscripción provincia código	Edad (grandes grupos)	Sexo	Personas	Nivel de estudios Código	Nivel de estudios Nombre
2010	Teruel	44	0-15	Mujer	136	0	Sin clasificar
2010	Teruel	44	0-15	Mujer	21	2	Inferior a graduado escolar o ESO
2010	Teruel	44	0-15	Mujer	1	3	Graduado escolar o ESO
2010	Teruel	44	16-64	Hombre	317	0	Sin clasificar
2010	Teruel	44	16-64	Hombre	53	2	Inferior a graduado escolar o ESO
2010	Teruel	44	16-64	Hombre	217	3	Graduado escolar o ESO
2010	Teruel	44	16-64	Hombre	370	4	BUP, Bachiller, LOGSE ó superior
2010	Teruel	44	16-64	Mujer	282	0	Sin clasificar
2010	Teruel	44	16-64	Mujer	3	1	No sabe leer ni escribir
2010	Teruel	44	16-64	Mujer	56	2	Inferior a graduado escolar o ESO
2010	Teruel	44	16-64	Mujer	216	3	Graduado escolar o ESO
2010	Teruel	44	16-64	Mujer	395	4	BUP, Bachiller, LOGSE ó superior
2010	Teruel	44	65 y más	Hombre	322	0	Sin clasificar
2010	Teruel	44	65 y más	Hombre	3	1	No sabe leer ni escribir
2010	Teruel	44	65 y más	Hombre	115	2	Inferior a graduado escolar o ESO
2010	Teruel	44	65 y más	Hombre	205	3	Graduado escolar o ESO
2010	Teruel	44	65 y más	Hombre	121	4	BUP, Bachiller, LOGSE ó superior
2010	Teruel	44	65 y más	Mujer	362	0	Sin clasificar
2010	Teruel	44	65 y más	Mujer	1	1	No sabe leer ni escribir
2010	Teruel	44	65 y más	Mujer	143	2	Inferior a graduado escolar o ESO
2010	Teruel	44	65 y más	Mujer	208	3	Graduado escolar o ESO
2010	Teruel	44	65 y más	Mujer	89	4	BUP, Bachiller, LOGSE ó superior
2010	Zaragoza	50	0-15	Hombre	1273	0	Sin clasificar
2010	Zaragoza	50	0-15	Hombre	18	1	No sabe leer ni escribir
2010	Zaragoza	50	0-15	Hombre	184	2	Inferior a graduado escolar o ESO
2010	Zaragoza	50	0-15	Hombre	34	3	Graduado escolar o ESO
2010	Zaragoza	50	0-15	Hombre	7	4	BUP, Bachiller, LOGSE ó superior
2010	Zaragoza	50	0-15	Mujer	1128	0	Sin clasificar
2010	Zaragoza	50	0-15	Mujer	17	1	No sabe leer ni escribir
2010	Zaragoza	50	0-15	Mujer	164	2	Inferior a graduado escolar o ESO
2010	Zaragoza	50	0-15	Mujer	36	3	Graduado escolar o ESO
2010	Zaragoza	50	0-15	Mujer	11	4	BUP, Bachiller, LOGSE ó superior
2010	Zaragoza	50	16-64	Hombre	1377	0	Sin clasificar
2010	Zaragoza	50	16-64	Hombre	1	1	No sabe leer ni escribir
2010	Zaragoza	50	16-64	Hombre	195	2	Inferior a graduado escolar o ESO
2010	Zaragoza	50	16-64	Hombre	1059	3	Graduado escolar o ESO
2010	Zaragoza	50	16-64	Hombre	2352	4	BUP, Bachiller, LOGSE ó superior
2010	Zaragoza	50	16-64	Mujer	1555	0	Sin clasificar
2010	Zaragoza	50	16-64	Mujer	2	1	No sabe leer ni escribir
2010	Zaragoza	50	16-64	Mujer	161	2	Inferior a graduado escolar o ESO
2010	Zaragoza	50	16-64	Mujer	1173	3	Graduado escolar o ESO
2010	Zaragoza	50	16-64	Mujer	2775	4	BUP, Bachiller, LOGSE ó superior
2010	Zaragoza	50	65 y más	Hombre	762	0	Sin clasificar
2010	Zaragoza	50	65 y más	Hombre	181	2	Inferior a graduado escolar o ESO
2010	Zaragoza	50	65 y más	Hombre	508	3	Graduado escolar o ESO
2010	Zaragoza	50	65 y más	Hombre	361	4	BUP, Bachiller, LOGSE ó superior
2010	Zaragoza	50	65 y más	Mujer	945	0	Sin clasificar
2010	Zaragoza	50	65 y más	Mujer	4	1	No sabe leer ni escribir
2010	Zaragoza	50	65 y más	Mujer	251	2	Inferior a graduado escolar o ESO
2010	Zaragoza	50	65 y más	Mujer	713	3	Graduado escolar o ESO
2010	Zaragoza	50	65 y más	Mujer	359	4	BUP, Bachiller, LOGSE ó superior
2011	Huesca	22	0-15	Hombre	251	0	Sin clasificar
2011	Huesca	22	0-15	Hombre	6	1	No sabe leer ni escribir
2011	Huesca	22	0-15	Hombre	60	2	Inferior a graduado escolar o ESO
2011	Huesca	22	0-15	Hombre	10	3	Graduado escolar o ESO
2011	Huesca	22	0-15	Hombre	4	4	BUP, Bachiller, LOGSE ó superior
2011	Huesca	22	0-15	Mujer	276	0	Sin clasificar
2011	Huesca	22	0-15	Mujer	4	1	No sabe leer ni escribir
2011	Huesca	22	0-15	Mujer	40	2	Inferior a graduado escolar o ESO
2011	Huesca	22	0-15	Mujer	6	3	Graduado escolar o ESO
2011	Huesca	22	0-15	Mujer	2	4	BUP, Bachiller, LOGSE ó superior
2011	Huesca	22	16-64	Hombre	435	0	Sin clasificar
2011	Huesca	22	16-64	Hombre	1	1	No sabe leer ni escribir
2011	Huesca	22	16-64	Hombre	62	2	Inferior a graduado escolar o ESO
2011	Huesca	22	16-64	Hombre	299	3	Graduado escolar o ESO
2011	Huesca	22	16-64	Hombre	726	4	BUP, Bachiller, LOGSE ó superior
2011	Huesca	22	16-64	Mujer	451	0	Sin clasificar
2011	Huesca	22	16-64	Mujer	52	2	Inferior a graduado escolar o ESO
2011	Huesca	22	16-64	Mujer	267	3	Graduado escolar o ESO
2011	Huesca	22	16-64	Mujer	831	4	BUP, Bachiller, LOGSE ó superior
2011	Huesca	22	65 y más	Hombre	470	0	Sin clasificar
2011	Huesca	22	65 y más	Hombre	3	1	No sabe leer ni escribir
2011	Huesca	22	65 y más	Hombre	126	2	Inferior a graduado escolar o ESO
2011	Huesca	22	65 y más	Hombre	234	3	Graduado escolar o ESO
2011	Huesca	22	65 y más	Hombre	175	4	BUP, Bachiller, LOGSE ó superior
2011	Huesca	22	65 y más	Mujer	428	0	Sin clasificar
2011	Huesca	22	65 y más	Mujer	1	1	No sabe leer ni escribir
2011	Huesca	22	65 y más	Mujer	160	2	Inferior a graduado escolar o ESO
2011	Huesca	22	65 y más	Mujer	307	3	Graduado escolar o ESO
2011	Huesca	22	65 y más	Mujer	182	4	BUP, Bachiller, LOGSE ó superior
2011	Teruel	44	0-15	Hombre	125	0	Sin clasificar
2011	Teruel	44	0-15	Hombre	3	1	No sabe leer ni escribir
2011	Teruel	44	0-15	Hombre	28	2	Inferior a graduado escolar o ESO
2011	Teruel	44	0-15	Hombre	6	3	Graduado escolar o ESO
2011	Teruel	44	0-15	Hombre	2	4	BUP, Bachiller, LOGSE ó superior
2011	Teruel	44	0-15	Mujer	150	0	Sin clasificar
2011	Teruel	44	0-15	Mujer	1	1	No sabe leer ni escribir
2011	Teruel	44	0-15	Mujer	25	2	Inferior a graduado escolar o ESO
2011	Teruel	44	0-15	Mujer	3	3	Graduado escolar o ESO
2011	Teruel	44	16-64	Hombre	348	0	Sin clasificar
2011	Teruel	44	16-64	Hombre	56	2	Inferior a graduado escolar o ESO
2011	Teruel	44	16-64	Hombre	231	3	Graduado escolar o ESO
2011	Teruel	44	16-64	Hombre	444	4	BUP, Bachiller, LOGSE ó superior
2011	Teruel	44	16-64	Mujer	313	0	Sin clasificar
2011	Teruel	44	16-64	Mujer	3	1	No sabe leer ni escribir
2011	Teruel	44	16-64	Mujer	60	2	Inferior a graduado escolar o ESO
2011	Teruel	44	16-64	Mujer	228	3	Graduado escolar o ESO
2011	Teruel	44	16-64	Mujer	468	4	BUP, Bachiller, LOGSE ó superior
2011	Teruel	44	65 y más	Hombre	319	0	Sin clasificar
2011	Teruel	44	65 y más	Hombre	3	1	No sabe leer ni escribir
2011	Teruel	44	65 y más	Hombre	117	2	Inferior a graduado escolar o ESO
2011	Teruel	44	65 y más	Hombre	214	3	Graduado escolar o ESO
2011	Teruel	44	65 y más	Hombre	133	4	BUP, Bachiller, LOGSE ó superior
2011	Teruel	44	65 y más	Mujer	351	0	Sin clasificar
2011	Teruel	44	65 y más	Mujer	1	1	No sabe leer ni escribir
2011	Teruel	44	65 y más	Mujer	142	2	Inferior a graduado escolar o ESO
2011	Teruel	44	65 y más	Mujer	224	3	Graduado escolar o ESO
2011	Teruel	44	65 y más	Mujer	110	4	BUP, Bachiller, LOGSE ó superior
2011	Zaragoza	50	0-15	Hombre	1341	0	Sin clasificar
2011	Zaragoza	50	0-15	Hombre	20	1	No sabe leer ni escribir
2011	Zaragoza	50	0-15	Hombre	190	2	Inferior a graduado escolar o ESO
2011	Zaragoza	50	0-15	Hombre	31	3	Graduado escolar o ESO
2011	Zaragoza	50	0-15	Hombre	6	4	BUP, Bachiller, LOGSE ó superior
2011	Zaragoza	50	0-15	Mujer	1246	0	Sin clasificar
2011	Zaragoza	50	0-15	Mujer	23	1	No sabe leer ni escribir
2011	Zaragoza	50	0-15	Mujer	188	2	Inferior a graduado escolar o ESO
2011	Zaragoza	50	0-15	Mujer	35	3	Graduado escolar o ESO
2011	Zaragoza	50	0-15	Mujer	9	4	BUP, Bachiller, LOGSE ó superior
2011	Zaragoza	50	16-64	Hombre	1504	0	Sin clasificar
2011	Zaragoza	50	16-64	Hombre	3	1	No sabe leer ni escribir
2011	Zaragoza	50	16-64	Hombre	228	2	Inferior a graduado escolar o ESO
2011	Zaragoza	50	16-64	Hombre	1113	3	Graduado escolar o ESO
2011	Zaragoza	50	16-64	Hombre	2664	4	BUP, Bachiller, LOGSE ó superior
2011	Zaragoza	50	16-64	Mujer	1687	0	Sin clasificar
2011	Zaragoza	50	16-64	Mujer	2	1	No sabe leer ni escribir
2011	Zaragoza	50	16-64	Mujer	172	2	Inferior a graduado escolar o ESO
2011	Zaragoza	50	16-64	Mujer	1205	3	Graduado escolar o ESO
2011	Zaragoza	50	16-64	Mujer	3073	4	BUP, Bachiller, LOGSE ó superior
2011	Zaragoza	50	65 y más	Hombre	744	0	Sin clasificar
2011	Zaragoza	50	65 y más	Hombre	178	2	Inferior a graduado escolar o ESO
2011	Zaragoza	50	65 y más	Hombre	544	3	Graduado escolar o ESO
2011	Zaragoza	50	65 y más	Hombre	421	4	BUP, Bachiller, LOGSE ó superior
2011	Zaragoza	50	65 y más	Mujer	938	0	Sin clasificar
2011	Zaragoza	50	65 y más	Mujer	5	1	No sabe leer ni escribir
2011	Zaragoza	50	65 y más	Mujer	256	2	Inferior a graduado escolar o ESO
2011	Zaragoza	50	65 y más	Mujer	741	3	Graduado escolar o ESO
2011	Zaragoza	50	65 y más	Mujer	394	4	BUP, Bachiller, LOGSE ó superior
2012	Huesca	22	0-15	Hombre	289	0	Sin clasificar
2012	Huesca	22	0-15	Hombre	7	1	No sabe leer ni escribir
2012	Huesca	22	0-15	Hombre	62	2	Inferior a graduado escolar o ESO
2012	Huesca	22	0-15	Hombre	12	3	Graduado escolar o ESO
2012	Huesca	22	0-15	Hombre	3	4	BUP, Bachiller, LOGSE ó superior
2012	Huesca	22	0-15	Mujer	309	0	Sin clasificar
2012	Huesca	22	0-15	Mujer	4	1	No sabe leer ni escribir
2012	Huesca	22	0-15	Mujer	47	2	Inferior a graduado escolar o ESO
2012	Huesca	22	0-15	Mujer	9	3	Graduado escolar o ESO
2012	Huesca	22	0-15	Mujer	2	4	BUP, Bachiller, LOGSE ó superior
2012	Huesca	22	16-64	Hombre	476	0	Sin clasificar
2012	Huesca	22	16-64	Hombre	1	1	No sabe leer ni escribir
2012	Huesca	22	16-64	Hombre	62	2	Inferior a graduado escolar o ESO
2012	Huesca	22	16-64	Hombre	320	3	Graduado escolar o ESO
2012	Huesca	22	16-64	Hombre	846	4	BUP, Bachiller, LOGSE ó superior
2012	Huesca	22	16-64	Mujer	481	0	Sin clasificar
2012	Huesca	22	16-64	Mujer	52	2	Inferior a graduado escolar o ESO
2012	Huesca	22	16-64	Mujer	282	3	Graduado escolar o ESO
2012	Huesca	22	16-64	Mujer	978	4	BUP, Bachiller, LOGSE ó superior
2012	Huesca	22	65 y más	Hombre	447	0	Sin clasificar
2012	Huesca	22	65 y más	Hombre	2	1	No sabe leer ni escribir
2012	Huesca	22	65 y más	Hombre	130	2	Inferior a graduado escolar o ESO
2012	Huesca	22	65 y más	Hombre	248	3	Graduado escolar o ESO
2012	Huesca	22	65 y más	Hombre	197	4	BUP, Bachiller, LOGSE ó superior
2012	Huesca	22	65 y más	Mujer	407	0	Sin clasificar
2012	Huesca	22	65 y más	Mujer	1	1	No sabe leer ni escribir
2012	Huesca	22	65 y más	Mujer	162	2	Inferior a graduado escolar o ESO
2012	Huesca	22	65 y más	Mujer	329	3	Graduado escolar o ESO
2012	Huesca	22	65 y más	Mujer	206	4	BUP, Bachiller, LOGSE ó superior
2012	Teruel	44	0-15	Hombre	133	0	Sin clasificar
2012	Teruel	44	0-15	Hombre	3	1	No sabe leer ni escribir
2012	Teruel	44	0-15	Hombre	24	2	Inferior a graduado escolar o ESO
2012	Teruel	44	0-15	Hombre	8	3	Graduado escolar o ESO
2012	Teruel	44	0-15	Hombre	2	4	BUP, Bachiller, LOGSE ó superior
2012	Teruel	44	0-15	Mujer	148	0	Sin clasificar
2012	Teruel	44	0-15	Mujer	2	1	No sabe leer ni escribir
2012	Teruel	44	0-15	Mujer	30	2	Inferior a graduado escolar o ESO
2012	Teruel	44	0-15	Mujer	5	3	Graduado escolar o ESO
2012	Teruel	44	0-15	Mujer	1	4	BUP, Bachiller, LOGSE ó superior
2012	Teruel	44	16-64	Hombre	368	0	Sin clasificar
2012	Teruel	44	16-64	Hombre	57	2	Inferior a graduado escolar o ESO
2012	Teruel	44	16-64	Hombre	250	3	Graduado escolar o ESO
2012	Teruel	44	16-64	Hombre	507	4	BUP, Bachiller, LOGSE ó superior
2012	Teruel	44	16-64	Mujer	330	0	Sin clasificar
2012	Teruel	44	16-64	Mujer	2	1	No sabe leer ni escribir
2012	Teruel	44	16-64	Mujer	62	2	Inferior a graduado escolar o ESO
2012	Teruel	44	16-64	Mujer	237	3	Graduado escolar o ESO
2012	Teruel	44	16-64	Mujer	528	4	BUP, Bachiller, LOGSE ó superior
2012	Teruel	44	65 y más	Hombre	312	0	Sin clasificar
2012	Teruel	44	65 y más	Hombre	3	1	No sabe leer ni escribir
2012	Teruel	44	65 y más	Hombre	119	2	Inferior a graduado escolar o ESO
2012	Teruel	44	65 y más	Hombre	219	3	Graduado escolar o ESO
2012	Teruel	44	65 y más	Hombre	140	4	BUP, Bachiller, LOGSE ó superior
2012	Teruel	44	65 y más	Mujer	341	0	Sin clasificar
2012	Teruel	44	65 y más	Mujer	1	1	No sabe leer ni escribir
2012	Teruel	44	65 y más	Mujer	142	2	Inferior a graduado escolar o ESO
2012	Teruel	44	65 y más	Mujer	242	3	Graduado escolar o ESO
2012	Teruel	44	65 y más	Mujer	127	4	BUP, Bachiller, LOGSE ó superior
2012	Zaragoza	50	0-15	Hombre	1481	0	Sin clasificar
2012	Zaragoza	50	0-15	Hombre	22	1	No sabe leer ni escribir
2012	Zaragoza	50	0-15	Hombre	208	2	Inferior a graduado escolar o ESO
2012	Zaragoza	50	0-15	Hombre	35	3	Graduado escolar o ESO
2012	Zaragoza	50	0-15	Hombre	7	4	BUP, Bachiller, LOGSE ó superior
2012	Zaragoza	50	0-15	Mujer	1394	0	Sin clasificar
2012	Zaragoza	50	0-15	Mujer	20	1	No sabe leer ni escribir
2012	Zaragoza	50	0-15	Mujer	193	2	Inferior a graduado escolar o ESO
2012	Zaragoza	50	0-15	Mujer	48	3	Graduado escolar o ESO
2012	Zaragoza	50	0-15	Mujer	10	4	BUP, Bachiller, LOGSE ó superior
2012	Zaragoza	50	16-64	Hombre	1570	0	Sin clasificar
2012	Zaragoza	50	16-64	Hombre	4	1	No sabe leer ni escribir
2012	Zaragoza	50	16-64	Hombre	250	2	Inferior a graduado escolar o ESO
2012	Zaragoza	50	16-64	Hombre	1179	3	Graduado escolar o ESO
2012	Zaragoza	50	16-64	Hombre	2982	4	BUP, Bachiller, LOGSE ó superior
2012	Zaragoza	50	16-64	Mujer	1744	0	Sin clasificar
2012	Zaragoza	50	16-64	Mujer	3	1	No sabe leer ni escribir
2012	Zaragoza	50	16-64	Mujer	202	2	Inferior a graduado escolar o ESO
2012	Zaragoza	50	16-64	Mujer	1243	3	Graduado escolar o ESO
2012	Zaragoza	50	16-64	Mujer	3411	4	BUP, Bachiller, LOGSE ó superior
2012	Zaragoza	50	65 y más	Hombre	743	0	Sin clasificar
2012	Zaragoza	50	65 y más	Hombre	183	2	Inferior a graduado escolar o ESO
2012	Zaragoza	50	65 y más	Hombre	561	3	Graduado escolar o ESO
2012	Zaragoza	50	65 y más	Hombre	461	4	BUP, Bachiller, LOGSE ó superior
2012	Zaragoza	50	65 y más	Mujer	921	0	Sin clasificar
2012	Zaragoza	50	65 y más	Mujer	6	1	No sabe leer ni escribir
2012	Zaragoza	50	65 y más	Mujer	266	2	Inferior a graduado escolar o ESO
2012	Zaragoza	50	65 y más	Mujer	788	3	Graduado escolar o ESO
2012	Zaragoza	50	65 y más	Mujer	445	4	BUP, Bachiller, LOGSE ó superior
2013	Huesca	22	0-15	Hombre	351	0	Sin clasificar
2013	Huesca	22	0-15	Hombre	7	1	No sabe leer ni escribir
2013	Huesca	22	0-15	Hombre	62	2	Inferior a graduado escolar o ESO
2013	Huesca	22	0-15	Hombre	10	3	Graduado escolar o ESO
2013	Huesca	22	0-15	Hombre	4	4	BUP, Bachiller, LOGSE ó superior
2013	Huesca	22	0-15	Mujer	350	0	Sin clasificar
2013	Huesca	22	0-15	Mujer	4	1	No sabe leer ni escribir
2013	Huesca	22	0-15	Mujer	53	2	Inferior a graduado escolar o ESO
2013	Huesca	22	0-15	Mujer	8	3	Graduado escolar o ESO
2013	Huesca	22	0-15	Mujer	2	4	BUP, Bachiller, LOGSE ó superior
2013	Huesca	22	16-64	Hombre	497	0	Sin clasificar
2013	Huesca	22	16-64	Hombre	1	1	No sabe leer ni escribir
2013	Huesca	22	16-64	Hombre	71	2	Inferior a graduado escolar o ESO
2013	Huesca	22	16-64	Hombre	342	3	Graduado escolar o ESO
2013	Huesca	22	16-64	Hombre	937	4	BUP, Bachiller, LOGSE ó superior
2013	Huesca	22	16-64	Mujer	523	0	Sin clasificar
2013	Huesca	22	16-64	Mujer	56	2	Inferior a graduado escolar o ESO
2013	Huesca	22	16-64	Mujer	297	3	Graduado escolar o ESO
2013	Huesca	22	16-64	Mujer	1084	4	BUP, Bachiller, LOGSE ó superior
2013	Huesca	22	65 y más	Hombre	433	0	Sin clasificar
2013	Huesca	22	65 y más	Hombre	1	1	No sabe leer ni escribir
2013	Huesca	22	65 y más	Hombre	130	2	Inferior a graduado escolar o ESO
2013	Huesca	22	65 y más	Hombre	261	3	Graduado escolar o ESO
2013	Huesca	22	65 y más	Hombre	220	4	BUP, Bachiller, LOGSE ó superior
2013	Huesca	22	65 y más	Mujer	386	0	Sin clasificar
2013	Huesca	22	65 y más	Mujer	1	1	No sabe leer ni escribir
2013	Huesca	22	65 y más	Mujer	170	2	Inferior a graduado escolar o ESO
2013	Huesca	22	65 y más	Mujer	351	3	Graduado escolar o ESO
